-0.0001505+0.00087666i,0.0013719+0.0015368i,0.0018737+0.0019999i,0.0023833+0.0023973i,0.0020436+0.0025631i,-0.00049895+0.0023937i,-0.0013396+0.0016787i,0.00012089+0.0018987i,0.0013995+0.0023783i,0.0013803+0.0016748i,0.0011264+0.00030689i,0.0017134+0.00058727i,0.0012848+0.0011908i,0.00071452+0.00079834i,0.00047629+0.00078363i,0.0004823+0.00087045i,0.00022058+0.00074362i,0.0001665+2.433e-06i,0.00057042-0.0003767i,0.00067797-0.00023009i,5.3921e-05-0.00037101i,0.0001813-0.00079864i,0.00032359-0.0015891i
-0.00066829-0.00047977i,-0.00055704-0.00025182i,-2.4365e-05+0.002027i,0.00099217+0.0044906i,0.0022208+0.0039245i,0.0023935+0.0014665i,0.0016358+0.00033161i,0.0012162+0.0007586i,0.00101+0.00095522i,0.0011216+0.0006899i,0.0018601+0.0010713i,0.0020615+0.001563i,0.0013978+0.0013394i,0.0002901+0.00081627i,-9.4236e-05+0.00067062i,0.00073505+0.00046018i,0.00046037-0.00021047i,-0.00013527-0.00072944i,6.1146e-05-0.00012072i,0.00033581+0.00078667i,0.00072631+0.0015747i,0.00086276+0.0017398i,0.001149+0.00041165i
0.00026606+0.00041942i,0.00022001+0.00072371i,0.00091713+0.0026324i,0.0017953+0.004186i,0.0025176+0.0035072i,0.0021948+0.0017672i,0.0011439+0.0010746i,0.0013511+0.00098431i,0.0014135-6.2216e-05i,0.00052239-0.00057702i,-0.00012743-0.00018823i,-0.00081317+9.709e-05i,-0.00069114+3.2856e-05i,0.00022116-0.00021008i,0.0002151+6.0798e-05i,-0.00010876+0.00031094i,-0.00054217+0.00012857i,-0.00021842+0.00020881i,0.00079781+0.00011219i,0.001434-0.000172i,0.00094708-0.00011462i,-0.00011559+0.0005089i,-0.00064775+0.00073103i
-0.00031553+0.00068377i,-0.00015564+0.00154i,0.00048809+0.0037991i,0.00057099+0.0052528i,0.0015763+0.0046041i,0.0027074+0.00244i,0.002562+0.0012838i,0.0017851+0.001116i,0.00068315+0.0012514i,-0.00019224+0.00097587i,-0.00010906+0.0007778i,-0.00034743+0.00049742i,-0.0010446+9.6018e-05i,-0.00081511+0.00032743i,9.1106e-05+0.00055577i,0.00049204+0.00059764i,0.00060349+0.00022231i,0.00062352+0.00028464i,-0.00028445+0.00036233i,-0.00070986-0.00013681i,-0.00085758-0.00084446i,-0.00063952-0.00054655i,-9.0333e-05+8.969e-05i
0.00026621+0.0011558i,-0.00062509+0.0019774i,1.6788e-05+0.0035398i,0.001002+0.0051909i,0.0017435+0.0046902i,0.0011368+0.0022558i,-0.00023849+0.00094307i,-0.00020358+0.00074837i,0.00082261+0.0003393i,0.0010269-1.8601e-06i,0.00044161+7.9399e-05i,0.00064456+0.00064765i,0.00077536+0.00087752i,0.00067456+0.00092797i,0.00048988+0.0016906i,0.0001019+0.002273i,0.00023694+0.0015478i,0.00053955+0.00040201i,0.00059881-0.00019195i,-4.1228e-05-0.00090939i,-0.00069839-0.0011596i,-0.00055501-0.00053638i,-0.00039034+0.00056246i
-0.00075713-7.8428e-05i,-0.00064506+0.001703i,0.00055977+0.0035352i,0.0014752+0.0044635i,0.0019033+0.0039599i,0.0016818+0.0016705i,0.0012939+0.00092191i,0.0013133+0.0016749i,0.0014516+0.0015177i,0.00071244+0.00091705i,0.00019459+0.00095455i,0.0007258+0.00054742i,0.00053061+4.9333e-05i,0.00026106+0.00024591i,0.00024206+0.00034279i,0.00029441-9.1863e-05i,0.00096363-0.00010204i,0.0013211-0.00028024i,0.00097679+0.00021259i,0.00041323+0.0009022i,0.00014542+0.00034876i,1.4772e-05+0.0001007i,8.5069e-05+0.00018284i
-0.0015208-0.00067015i,-0.0012128+0.0011639i,-0.0010699+0.0031865i,1.9662e-05+0.00461i,0.0019969+0.0043606i,0.0021763+0.0022989i,0.0011256+0.00036994i,0.0015036+0.00055143i,0.0022078+0.0011297i,0.0015657+0.0010155i,0.00081688+0.00055299i,0.00046824+0.00011832i,0.00042258+0.00038243i,0.00055277+0.00073492i,-0.00011848+0.00092147i,-0.0011117+0.001357i,-0.00087205+0.0014429i,-0.00022978+0.0010388i,-0.0004152+0.00091501i,-3.5704e-05+0.00064585i,0.00013285+0.00074862i,-0.00014918+0.00086408i,-2.5044e-05+0.00050755i
0.000619-0.00084122i,-6.7579e-05+0.00030924i,-0.00030206+0.0031427i,9.451e-05+0.0060622i,0.00068223+0.0057711i,0.00094384+0.0027145i,0.00090751+0.0015177i,0.001851+0.0017264i,0.0024645+0.00067203i,0.0012229-1.9063e-05i,1.4503e-05+0.0010424i,-8.6883e-05+0.00095463i,-0.00018737-3.8391e-05i,2.0115e-05+0.00020918i,0.00051199+0.00090945i,0.00013542+0.0010585i,0.00016969+0.0011327i,0.00063915+0.0012845i,0.00027661+0.0013855i,-3.3401e-05+0.00061033i,-3.4752e-07-0.00052013i,-0.00054002-0.00070697i,-0.00059086-0.00013647i
0.00060215-0.00089427i,-0.00031283-0.00018325i,-0.0006195+0.0024627i,0.00079359+0.0045376i,0.0018801+0.0044625i,0.002062+0.0027514i,0.0017229+0.0014858i,0.0015501+0.0016862i,0.0015103+0.0012764i,0.0003774+0.0007685i,-0.00045158+0.00037018i,-0.00051988-0.00012854i,-0.00028785-0.00013521i,0.00040737+0.00013576i,0.00057847-5.4643e-05i,-1.7333e-05-4.7328e-05i,8.6333e-05+1.6132e-05i,0.00066515-0.00058254i,0.00089011-0.00021428i,0.0004073-0.00026557i,1.713e-05-0.00051249i,0.00018764-0.0003294i,5.482e-05-0.0012982i
-1.4602e-05+0.00037353i,0.00041845+0.0021258i,0.00047138+0.0040711i,0.001407+0.0058612i,0.002833+0.0045912i,0.0030928+0.0010575i,0.0024908+0.00057572i,0.0020953+0.0013366i,0.0018883+0.001093i,0.0011342+0.0010113i,0.00063386+0.00084556i,0.00067773+0.00063191i,0.001002+0.00074353i,0.00025326+0.00054655i,-0.00015453+0.00067796i,-0.00022993+0.00040668i,-2.2008e-05-0.00014505i,-9.3101e-06-8.1182e-05i,-0.00046827-0.00046348i,-2.5346e-05-0.00055657i,0.00037805-0.00060879i,0.00058048-0.00067106i,0.00022516-0.00041102i
7.7152e-05-0.00014433i,0.00022666+0.00070195i,0.0010035+0.0019893i,0.0015981+0.0040729i,0.0023848+0.0039682i,0.0029191+0.0014823i,0.002174+0.0010685i,0.001384+0.0017086i,0.0011487+0.0010335i,0.0002727+7.4371e-05i,6.9598e-05+8.7996e-05i,0.00026121+0.0004084i,-9.5733e-05-0.00053969i,6.3449e-05-0.00085946i,0.00017885-7.5834e-05i,-0.00060646-0.0002178i,-0.0004517+0.00039526i,-0.00018906+0.0013916i,-9.8304e-05+0.00076632i,0.00076175-9.128e-05i,0.00091435-0.00026577i,0.00080778-0.0006176i,0.00070096-0.0011774i
-0.00068332-0.00016195i,-0.0013806+0.0013285i,-0.001861+0.0040776i,0.00046619+0.0056036i,0.0029534+0.0046965i,0.002837+0.0026196i,0.0012872+0.0021006i,-3.5549e-05+0.0024413i,-0.00024089+0.0015035i,0.00080111+0.00064081i,0.0012741+0.00084916i,0.00070511+0.0010058i,-6.2039e-05+0.00055514i,-0.0002992+7.2632e-05i,-0.00034168+1.8563e-05i,-0.00037839+0.0004776i,-0.00024712+0.00060398i,0.00032305+0.00023758i,0.00029956-0.00019216i,-7.8079e-05-0.00088056i,-0.00011392-0.00043162i,0.00040115+0.00045961i,0.00041172-9.8989e-05i
-0.00088976+0.00027435i,-0.00057738+0.001424i,-0.00027146+0.0039686i,0.00098065+0.0062694i,0.0022034+0.0055492i,0.0023748+0.0028364i,0.001703+0.0009187i,0.00053748+0.00064565i,0.00044068+0.0007423i,0.00055537+0.0006015i,-6.2439e-05+0.0010926i,-8.8076e-05+0.0012476i,-0.00080572+0.00059272i,-0.000857+0.0012856i,0.00027001+0.0019623i,0.00082286+0.0017619i,0.00078455+0.0018226i,0.00085545+0.0014335i,0.00070404+0.0010234i,0.00043663+0.00092919i,-0.00018491+0.00035713i,-0.00045319-0.00012537i,2.7677e-05-0.00035776i
0.0021254+0.00081i,0.0021369+0.0015181i,0.0018137+0.0022718i,0.0015386+0.0032769i,0.0015779+0.0033955i,0.0016606+0.0020678i,0.0017579+0.00087268i,0.0013158+0.00094393i,0.00068615+0.0012626i,0.001019+0.0007261i,0.0014835+0.00034082i,0.00095067-0.00043015i,0.00040068-0.0012058i,0.0007211-0.0010557i,0.0012135+4.8917e-05i,0.00074558+0.00093803i,0.00045264+0.00090168i,0.00026457+0.00083828i,0.00010128-4.9023e-05i,8.1734e-05-0.0006435i,0.00016279-0.00031876i,0.00017783+6.5552e-05i,-4.5197e-05+0.00033655i
-0.00063964+0.00083403i,-9.4361e-06+0.0024316i,0.0011234+0.0050667i,0.0020971+0.0071119i,0.0031685+0.0051553i,0.0031684+0.00056256i,0.0023445-0.0012222i,0.0021141-0.00023802i,0.0023121+0.00030609i,0.0010648+0.0011456i,6.9437e-06+0.0015423i,0.00050396+0.00085205i,0.0006625+0.00072113i,0.00052708+0.00077216i,0.0005054+0.00019761i,0.00026149-0.0002395i,0.00020542-0.00025069i,0.00053374-0.00022316i,0.0007712-0.00044927i,0.00071474-0.001045i,0.00040203-0.00079793i,-1.96e-05+0.00026163i,-0.00012999+0.00089433i
0.00070096-0.00016262i,-0.0011507-0.00088993i,-0.0023233-3.6537e-05i,-0.0024826+0.0022505i,-0.0010106+0.0031011i,0.00035098+0.0017578i,-0.00023027+0.00081855i,-0.00029523+0.0010807i,0.00096394+0.00064119i,0.00073656+8.8811e-05i,0.00030086-4.9309e-05i,8.5505e-05-0.00011457i,-0.00050639-9.3303e-05i,-0.00074293+0.00016801i,-0.0004927+0.0010017i,5.5424e-05+0.0019039i,0.00035911+0.0017789i,0.0005598+0.00034237i,0.00050653+0.00014137i,1.0413e-05+0.00067307i,-0.00051001+0.00028402i,-2.1372e-05+5.2667e-05i,-3.0334e-05-0.00043332i
1.3676e-06+0.00027805i,0.00023689+0.0013332i,0.00035716+0.0041672i,0.00076616+0.0054629i,0.0017249+0.0048017i,0.0023641+0.0027525i,0.0017924+0.0014628i,0.0012422+0.00034926i,0.0014472-0.00065648i,0.0011102-0.00033012i,0.0011232+0.00034126i,0.0014881+0.00067366i,0.0015506+0.00067708i,0.00097022+0.00059467i,4.1584e-05+0.00020627i,0.00011639+9.7277e-05i,0.00050812+0.00037102i,0.00059113+0.0005813i,0.00034397+0.00052086i,0.00017361+1.5371e-05i,6.3138e-06-0.00023395i,0.00061672-0.0006117i,0.00095386-0.0007281i
-0.0015088+0.0014302i,-6.2635e-05+0.0021013i,0.0015207+0.0038886i,0.0019799+0.0050681i,0.0025461+0.0038594i,0.0020856+0.0016039i,0.00095795+0.0010242i,0.0010483+0.0012019i,0.0015811+0.0011734i,0.0018795+0.0013692i,0.0018791+0.00091824i,0.0018839-8.5434e-06i,0.0015886-2.3312e-05i,0.0011608+0.00027659i,0.00097844+0.0013779i,0.00099033+0.0014766i,0.00068459+0.00058212i,0.00072864+0.00045726i,0.00084466+0.00034681i,0.00068362-0.00025833i,0.0009995-0.00026925i,0.0011917+8.2165e-05i,-0.00022668-0.00020332i
-0.00068916+7.806e-06i,-0.00064823+0.0013039i,-0.00042384+0.0042473i,0.00072438+0.0059335i,0.0016624+0.0045048i,0.0021668+0.0023252i,0.0016258+0.00066275i,0.0012878+0.00062594i,0.0015528+0.00070511i,0.0014476+0.00044079i,0.0013111+0.00068975i,0.00038831+0.00017079i,0.00022805-0.00054249i,0.00059244+0.00079802i,0.00059762+0.0019804i,0.00063668+0.0015086i,0.00057415+0.001001i,0.00080118+0.00049439i,0.00023196+0.0002437i,-0.00027975-0.0001205i,0.00069351-0.00010187i,0.0005646-0.00062767i,6.5163e-05-0.0010072i
0.0010582+0.001374i,0.00091693+0.0013452i,0.00092348+0.0035148i,0.0019121+0.0048125i,0.0028949+0.0038043i,0.0023486+0.0019451i,0.0012966+0.0013331i,0.0012182+0.0015959i,0.0014228+0.0013963i,0.00082812+0.00059994i,6.9275e-05+0.00036367i,-0.00017869+0.00096832i,0.00066697+0.0011132i,0.0013347+0.00050886i,0.0011473+0.0011568i,0.00047693+0.0017985i,0.0004291+0.00089744i,0.00086194+0.00021841i,0.0003688+0.00012179i,5.0927e-05-7.9695e-05i,4.3549e-05-0.00061125i,0.00051354-0.00089335i,0.0010284-0.00041334i
0.0016432+0.0014312i,0.00017987+0.0021216i,-0.00012729+0.0025155i,0.001118+0.0035234i,0.0015441+0.0032065i,0.0010443+0.0010152i,0.00036462+0.0005282i,0.0012527+0.0013896i,0.0019579+0.00097843i,0.0010186+0.00034594i,-0.00020031+0.00017996i,-0.00020637+8.8593e-05i,-0.00017131+7.51e-05i,-0.00037694+0.00079656i,-0.00015932+0.0010874i,-8.5175e-05+0.00062485i,-2.2388e-06+0.00044766i,-0.00028792+5.0228e-05i,-0.00036496+0.00017475i,6.5064e-05+0.00036868i,0.00033419-0.00021329i,0.00049394-0.00087836i,0.00063223-0.0011252i
0.00053751+0.00064087i,0.00081503+0.0016282i,0.001353+0.0036454i,0.0023737+0.0050632i,0.0031656+0.0049148i,0.0028077+0.002949i,0.0012958+0.0016331i,0.00090632+0.0017033i,0.0011614+0.0010002i,0.00090894+0.00039187i,0.00071044+0.00069731i,0.00014347+0.0010522i,0.00017687+0.00097754i,0.00071462+0.00094693i,0.00079612+0.0010712i,0.00055287+0.0012625i,0.001118+0.0012918i,0.0014367+0.00089057i,0.0010889+0.00062124i,0.0006188+0.00057329i,0.00064478-8.7981e-06i,0.00049399-0.00027163i,2.194e-05+0.00022398i
0.0013805-4.0573e-05i,0.0012342+0.00044129i,0.00084443+0.0014702i,0.0014935+0.0030875i,0.0027449+0.0027442i,0.0024923+0.0021518i,0.00099874+0.0022188i,0.000116+0.0028233i,0.0008114+0.0016983i,0.000617+0.00011519i,-8.4534e-05+0.00025758i,9.3673e-05+0.00090001i,0.00052026+0.0008963i,0.00086122+0.00074041i,0.0006151+0.00059301i,0.00028299+0.00068676i,0.0004143+0.001374i,0.00012745+0.0010076i,-0.0011252+0.00045987i,-0.0010641+5.4377e-05i,-0.00084374-0.0004688i,-0.00068607-0.00061539i,-0.00022851-2.6187e-05i
-0.00048679-0.00012088i,-0.00075652+0.0012955i,-0.0011226+0.0031108i,0.0001933+0.0050254i,0.0013119+0.0046612i,0.0012259+0.0024227i,0.0010543+0.0011985i,0.00081153+0.0015875i,0.001432+0.0013703i,0.0010389+0.0011468i,0.00059873+0.0015719i,0.0012903+0.00098394i,0.0011501+4.4619e-06i,0.00036701+0.00023235i,0.00012636+0.0012064i,0.00095541+0.0017375i,0.0010073+0.0012067i,0.00058596-5.7895e-05i,-0.00023957-0.00023461i,-0.00055051+0.000357i,0.00010773-0.00013117i,0.00047042-0.0012094i,0.0005569-0.0011717i
