2.1875e-05+6.8978e-06i,-0.00062752+1.4062e-05i,-0.0017547+0.00090251i,-0.0010964+0.0015697i,-0.00043728+0.0022015i,-8.3331e-05+0.0023419i,-0.00084879+0.0020881i,-0.0004232+0.0020591i,0.0011401+0.0013363i,0.0016416+0.0006724i,0.00091845-0.00030569i,-0.00024462-0.00094535i,-0.0010237-0.00081078i,-0.000741-0.00059872i,-0.00032015-0.00034267i,-0.00061375-0.00014944i,-0.0011955+0.00037572i,-0.001678+4.7611e-06i,-0.00072718-0.00073028i,0.00014833-0.00063038i,-0.00017724-0.0001713i,0.00023793+0.00062858i,-9.1034e-05+0.00069342i
0.00093876+0.00040167i,0.00078686-0.00034346i,0.0018234-0.00079108i,0.0024476-0.0004675i,0.0018762-0.00070077i,0.00034397-0.001111i,-0.00043948-0.0010108i,0.00049372-0.00044704i,0.0012462-0.00040021i,0.0013979-0.00072757i,0.0010064-0.00037699i,-6.8176e-05+0.00036546i,-0.0007539+0.00071142i,-5.1204e-05+0.00059221i,0.00045725+0.00025466i,0.00012365+0.00038591i,0.00013284-0.00025803i,8.2601e-05-0.00096228i,-0.00041387-0.00033907i,-0.00016404+0.00018965i,-0.00030489-6.9823e-05i,-0.0010525-0.00049202i,-0.00011319-0.00022206i
0.0011435+9.2759e-05i,0.0010198+0.00070569i,0.0011036+0.00025077i,0.0015677-0.00021031i,0.0016086-0.00047433i,0.0012492-0.00068471i,0.0015448-0.00068503i,0.002034-0.00089631i,0.0011524-0.00045252i,3.4786e-05-0.0007475i,-0.00048887-0.0005904i,-0.0004308-3.7939e-05i,0.0001413+0.00017024i,0.00055245-0.00056986i,0.00033688-0.00058954i,-5.5887e-05+0.0001141i,-0.00028014-3.5088e-05i,-0.0011168-0.00015917i,-0.0011576+0.00035483i,-0.0003542+0.0011457i,-5.2229e-05+0.0006667i,0.00012672-6.9416e-05i,-0.00023059+9.25e-05i
0.0013511+0.00038602i,0.0016962+0.00039042i,0.0018642+0.00010858i,0.0016874+6.7029e-05i,0.001451+0.00012566i,0.00059354+0.00068934i,0.000433+0.00091331i,0.0010026-0.00067078i,0.0007598-0.0021469i,0.0001231-0.0018838i,-0.00028469-0.0011139i,0.00042577-0.00045914i,0.00052633-0.00014097i,-0.00034186+0.00022003i,-0.00089126+0.00035553i,-0.0004523-2.0118e-05i,-0.0001878+0.00029701i,-0.00024989+0.00069795i,-0.00012904+0.00058783i,0.00018512+0.00079877i,8.3426e-05+0.00065049i,-0.00062366+0.00047086i,-0.00065006+0.0009808i
0.00069851-5.9432e-06i,0.00020582-0.0007528i,0.0012467-0.0013165i,0.0015867-0.0012145i,0.00089945-0.00074301i,0.00079992-0.00067953i,0.0011247-0.00098225i,0.0016229-0.0012123i,0.0016625-0.0022374i,0.0013323-0.0026541i,0.00062461-0.0015766i,-0.00038421-0.0008984i,-0.00052284-0.0006313i,0.0003732-0.00032624i,0.00036493+0.00014581i,-0.00070852+0.00013007i,-0.00097186+0.00028252i,-0.00084688+0.00056952i,-0.00091173+0.00049601i,-0.00084047+0.00077731i,-0.00028584+0.0008723i,0.00022627+0.00045245i,0.00032502+0.00012861i
0.00041442-0.00065837i,0.00082478+0.0003357i,0.00096444+0.0008052i,0.0011397+0.00077453i,0.0012933+0.00046825i,0.001116+0.00068386i,0.0013545+0.00096312i,0.0015438-0.00032781i,0.00091275-0.0012774i,-0.00057617-0.0013111i,-0.0010071-0.0014156i,-0.00023138-0.0016204i,0.00055905-0.0017648i,0.00075968-0.0013298i,-0.0006015-0.00061111i,-0.001501-6.7351e-05i,-0.0011376+9.3455e-06i,-0.0013622-0.00041261i,-0.00087736-0.00058013i,-0.00040758+6.5002e-05i,0.00019263+0.00016686i,0.00044397-0.00010789i,-0.00064759-0.00062846i
-0.00028546+6.7603e-05i,-0.00053602+3.015e-05i,0.00030132+0.00013116i,0.0013213+3.2149e-06i,0.00090506-0.00026073i,-0.00038643+6.7233e-05i,-0.00052652+0.00062578i,0.00025614+0.0005174i,0.0013947-2.778e-05i,0.001064-0.00035437i,8.1799e-05-0.00064706i,-0.00027775-0.00062541i,-1.8289e-06-0.00023427i,0.00033851-0.00022894i,0.0001322-0.00062562i,-0.00012001-0.00054147i,-0.00059663-0.0011296i,-0.00065811-0.0015231i,-0.00054279-0.00033558i,-0.00081889+0.00072104i,-0.0010848+0.00078002i,-0.0010498+0.00013893i,-0.00092232-0.00029121i
0.00016648+0.00029978i,5.4331e-05-6.3543e-05i,0.00064338-0.00044426i,0.0017213-8.6937e-05i,0.0014917+0.00016321i,0.0015046-0.00031202i,0.0024422-0.00011917i,0.0015251-0.0001373i,0.00037564-0.001144i,0.00046875-0.0012308i,0.00048196+7.4051e-05i,0.00020486+0.00056292i,-5.4783e-05-0.00026163i,-0.00018509-0.00080973i,-0.00029592-0.00064303i,-0.00014948-0.00081065i,3.3236e-05-0.00034717i,-0.00064314+0.00033762i,-0.0010175+6.3293e-05i,-0.00033764+4.2704e-05i,0.00017897+0.00049114i,0.00039843+0.00074005i,0.00065024+0.00033403i
-0.00067047+0.0010823i,-0.00074302+0.00058121i,-0.00031621-0.00028248i,0.0011194+0.00015037i,0.00081016+0.0008756i,-0.00046861+0.00069702i,0.00046671+0.00016987i,0.0011997+0.00010946i,0.0014327-0.000381i,0.0011483-0.00080969i,0.00068766-0.0013287i,0.00059049-0.0010777i,0.00032164-0.00022186i,0.00047574-0.00043697i,0.00051502-0.00074471i,-0.00016505-0.00031797i,-0.00093012-0.0002126i,-0.001098+3.7524e-05i,-0.00035717+0.00041467i,0.00035483+0.00046068i,-9.903e-05+0.00051114i,0.00013076+0.001024i,0.0011908+0.00038363i
0.00069206-0.0017633i,0.00092401-0.0015023i,0.0009443-0.00082211i,0.0016949-0.00075796i,0.0018711+5.8683e-05i,0.0010791+0.00052196i,0.0013031+0.00049598i,0.0013822+0.00019193i,0.0014188-0.00079192i,0.000951-0.0013399i,-0.00024068-0.00088067i,-0.00068385+0.00028084i,-0.00015403+0.00046143i,0.0006265-7.7818e-05i,0.00045784-0.00022368i,-0.00098293-0.00016492i,-0.0014128-6.798e-05i,-0.00097257+0.00016432i,-0.00076859+1.8888e-05i,-0.00074196-0.00049695i,-0.00080948-0.00044384i,-0.00049036+0.00041973i,6.0182e-05+0.00081504i
0.00010576+0.00030224i,-0.00031818+0.0010912i,0.0010084+2.1624e-05i,0.0025489-0.00091152i,0.0026389-0.00037458i,0.0012856-0.00019321i,0.00069272+0.00017944i,0.0016182+0.00017441i,0.0019853-0.001075i,0.0006615-0.0019105i,-0.00054085-0.0013219i,-0.0012072-3.6303e-05i,-0.00079122+0.00051431i,-0.00017057+0.00063129i,-0.00037859+0.00025742i,-0.00042228-0.00037343i,0.00015078-0.00046522i,0.0006341-0.00012311i,0.00032025-0.00045868i,-0.00013305-0.00034895i,-0.00028929+0.0001282i,0.00048638-0.00022727i,0.00071811-0.00010519i
