-0.0028256-0.00020716i,-0.0028216+0.00021857i,-0.0015476+0.00038713i,-0.00063212+0.0006445i,-0.00065016+0.0017938i,-0.00059978+0.0026981i,-0.00053533+0.0021808i,0.00073829+0.0018025i,0.0014451+0.0020352i,0.0012576+0.00095904i,0.0015057+0.00012825i,0.00088278-0.00018405i,0.00045944-0.00077928i,0.00047674-0.0003673i,0.0002103+0.0001259i,-0.00042332-0.00048591i,-0.00022991-0.00040528i,0.00029988+0.00035036i,0.00010102+0.00083991i,3.2444e-06+0.00064208i,0.00052583-7.5795e-05i,0.00052114-0.00091706i,0.00025369-0.00088017i
-0.00093834-0.0016079i,-0.00093737-0.00067551i,-0.0014123-0.0002389i,-0.00092926+0.0013103i,-0.00032678+0.0024803i,0.00096056+0.0019847i,0.0015307+0.0002999i,0.0012889+1.4076e-05i,0.0007258+0.00037418i,7.9339e-05+0.00022169i,-0.00018691+0.0007322i,-0.00030955+0.00015625i,-1.6933e-05-4.6784e-06i,-0.00011236+0.00011647i,-0.00025031-8.1563e-05i,-0.00032509+0.00096574i,-0.00054076+0.00084383i,-0.00028636-0.00053185i,-0.00024752-0.0007349i,-0.00092556-0.00017353i,-0.00084078-8.8298e-05i,-0.00060725-0.00067862i,-0.00031353-0.00087603i
-0.0013349+0.00092847i,-0.001724+0.0010716i,-0.0019174+0.001661i,-0.00036214+0.0019587i,0.0018067+0.0013304i,0.0023928+9.4068e-05i,0.0013882-0.00059094i,0.0007014-0.0011056i,0.00054798-0.0013518i,0.00026049-0.00070818i,0.00019437-0.00064933i,-0.00035924-0.00058062i,-0.00028286-0.00037718i,0.00035258-0.00076995i,0.00096332-0.00076514i,0.00089762-8.6613e-05i,0.00066741+4.4948e-05i,0.00032+0.00059096i,0.00013904+0.00086067i,1.2445e-05+0.0001585i,0.00012672-0.00051757i,3.0274e-05-0.0007101i,-0.00046476-0.00034626i
-0.0018881+0.0003773i,-0.0012972+0.0012913i,2.4728e-05+0.00070048i,-6.307e-05+0.00011472i,-7.508e-05+0.00099833i,0.001098+0.00093787i,0.0018595-0.00036837i,0.001049-0.00041594i,-0.00029838+0.00010164i,-0.00055957-0.00032874i,6.1524e-05-0.00068526i,-0.00012467-0.00031845i,-0.00074378+0.00044587i,-0.0011975+0.00044974i,-0.00076543+0.00018808i,-0.00013919+0.00012564i,4.1261e-05+0.00019819i,4.1192e-05+0.00011569i,1.5947e-05+0.0002609i,0.00024547+0.00043749i,0.00036339+0.00081877i,0.0003475-0.00031797i,1.1662e-05-0.001213i
0.0021258+0.00050615i,0.001877+0.000444i,0.00087586-0.00086311i,0.00010088-0.0011787i,-0.0001658-0.00066972i,-0.00059068-0.00012298i,-0.00019256-0.0004667i,-9.2184e-05-0.00056803i,-0.00041912-6.633e-05i,-0.0002934+3.0726e-05i,9.9268e-06-9.4386e-05i,-2.0908e-05+5.8426e-05i,-0.00028482+0.00020017i,-0.00040145-0.00041901i,-0.00028366-0.00053634i,-0.00023058-3.8254e-05i,0.00030986+0.00014214i,0.00055213+0.00062157i,1.9296e-05+0.00069865i,-0.00034754+0.00048688i,-0.0005292-0.00014566i,-0.00026338+3.1455e-05i,0.00040743+0.00037364i
0.00078002+0.00054629i,0.00062549-4.0331e-05i,0.00021032-0.00010944i,0.00072703-0.00043685i,0.00033691+0.00030282i,0.00030637+0.00093674i,0.0011711+0.0010296i,0.00071644+0.0014507i,-0.0002366+0.0004141i,-6.5615e-05-0.0006396i,-7.0926e-06-0.00057078i,-0.00038251-0.00014249i,-0.00078961+0.00045892i,-0.00043222+0.00063684i,0.00035463+4.6935e-05i,7.8996e-05-0.00052977i,0.00010529-0.00026165i,-0.00033554+0.00011061i,-0.00071443+3.0442e-05i,-0.00012673-0.0001192i,-0.00018285-0.00027874i,-0.00072325-0.00018924i,-0.00038191-0.00013002i
0.00065925-0.00074299i,0.00055657-0.00076785i,0.00037355-0.0007784i,-0.0007112-0.00037946i,-0.0015522+0.00046351i,-0.00041927+0.00098673i,0.00037469+0.00071832i,-0.00057923-9.4142e-05i,-0.00052977-3.4488e-06i,0.00019709+0.00071131i,-0.00045357+0.00071237i,-0.00082473+0.00033591i,-0.0004145+0.00035952i,-6.9113e-05+0.00017219i,0.00038141-0.00019309i,-0.00019374+7.8629e-06i,-0.0010126-0.00049749i,-1.6811e-05-0.0011784i,0.00074623-0.0002426i,0.00015971+0.00056768i,-0.00025523+0.00045487i,-0.0003078+0.00057851i,0.00075529+0.00026743i
0.0012678-0.001255i,0.00088194-0.0013982i,0.00081251-0.0023841i,-0.00023879-0.0014567i,-0.00094291+0.00039186i,-0.00012481+0.0014693i,-7.8193e-06+0.0011312i,-0.0002271+0.00045357i,-0.00020355-0.00058976i,-0.00029113-0.00076144i,-0.00031885-0.00049454i,0.0002707-0.00017245i,0.00023409+0.00021866i,-0.00025483+0.00074255i,-0.00021727+0.00078407i,-0.00023084-2.8955e-05i,-0.00045893-1.6451e-05i,-0.00041349+0.00031857i,-0.00049966+0.00049894i,-3.4757e-05+0.00067321i,0.000426+0.00013285i,0.00061754-0.0001709i,0.00019316+0.00032096i
0.00021656+0.0010067i,0.0010289+0.0016601i,0.00053504+0.0022371i,0.00084122+0.0014074i,0.00097254+0.00066665i,0.00067462+9.5462e-05i,0.00019367-2.3938e-05i,0.00043653+0.00028719i,0.0010516+0.00047013i,0.00047377+0.0001905i,-0.00043258+0.0001529i,-0.000858+0.00031832i,-0.00071851+0.00032136i,-0.00084714+0.00074492i,-0.00068683+0.0011964i,8.6829e-07+0.00089594i,-0.00029319-0.00041081i,-0.0003807-0.00085031i,-0.00046704-0.00070078i,-0.00065741-0.00072378i,0.00010234+0.00032377i,0.00087423+0.0005377i,0.00036087+0.00033i
3.3006e-05+0.00062809i,-6.3179e-05+0.0010964i,0.00073731+0.00089022i,0.00083842+0.00017725i,-0.0003153-0.00049598i,-0.00075938+0.00022267i,9.4665e-05+0.00081087i,-0.00044818+0.000518i,-0.00092795-5.528e-05i,-6.0685e-05-0.00029877i,-0.00031078+0.00011572i,-0.00074164-0.00022183i,-0.00013004-0.00053399i,1.8734e-05-0.00027868i,7.7765e-05-0.00028551i,0.00086267-0.00054841i,0.00093642-0.00062297i,0.00039143+8.8872e-05i,0.00022773+0.00043312i,-0.00027971+0.00010847i,-0.00074626-0.00020961i,-0.00040831+5.3155e-05i,-0.0002442+0.00019694i
0.00080002+0.00089127i,0.0011083+0.00068289i,0.0016004-0.00033909i,0.0012532-0.00058176i,-0.00035935-0.00039594i,2.3105e-05+1.6681e-05i,0.0008461-0.00046635i,0.00062631-0.00090551i,0.00064551-0.0009764i,-2.5449e-05-0.0016622i,-0.00060697-0.0011558i,-0.0013372-2.4849e-05i,-0.0013148+0.00031247i,-0.00033229-4.0998e-05i,0.0001219-0.00056332i,-0.00017441-0.00074155i,-3.8207e-05-0.00056777i,0.0003038+0.00065296i,-1.1374e-05+0.0010704i,-0.00071819+0.00037164i,-0.00052514+0.00022924i,2.5341e-06+0.00028278i,1.0188e-05-0.00021719i
