-0.0045691-0.00059405i,-0.0050556-8.012e-05i,-0.0046594+0.0017855i,-0.0021216+0.0019075i,-0.00018794+0.0028596i,6.8521e-05+0.003608i,-0.0002996+0.0027979i,-2.1115e-05+0.0018325i,0.00054883+0.0012121i,0.00042359+0.00030959i,0.0010342-1.4361e-05i,0.00098273-0.0010922i,-0.00015615-0.0022095i,-0.0013226-0.0013164i,-0.0020316-0.00095355i,-0.0011193-0.0016152i,0.000202-0.0017168i,0.00057029-0.001305i,0.00034394-0.00033512i,0.00013288+0.0001732i,0.00084742-0.00020361i,0.00091166-0.0011023i,0.00018365-0.0016745i
-5.0058e-05-0.00091925i,-0.0016259-0.0020274i,-0.0028743-0.0012328i,-0.003323+0.00053511i,-0.0020803+8.7355e-05i,-0.0008691-0.00038586i,-0.00082537-0.00078025i,-0.00054011-0.00093149i,-0.00093736-0.00062185i,-0.0017012-0.00021008i,-0.0014664-5.0437e-05i,-0.00053862+0.00025542i,-0.00038652+0.0010417i,-0.00012267+0.0010387i,0.00023114+0.00017181i,0.00050842-0.00025911i,0.00068728+0.00013794i,-0.00037448+0.00012903i,-0.00040547-8.563e-05i,0.00049708+0.00036959i,0.00045701+0.00027902i,-0.00012141-0.0005083i,0.00035768-0.00046413i
-0.00067954+0.00047208i,-0.00085888+3.8564e-05i,-0.00019981-0.00041917i,0.0012956-0.00031684i,0.0026528-9.2463e-06i,0.0026181-0.00012225i,0.0015694-0.00045394i,0.00045031-0.00018739i,-4.5561e-05+0.00045594i,-0.00064401+0.00014998i,-0.0010597-0.00022298i,-0.0014934-0.00026978i,-0.0013679-0.00021522i,-0.0015447-0.00025751i,-0.0011659+0.00067353i,-0.00019603+0.00080776i,-0.00015587-0.00015038i,-0.00050158+8.0159e-05i,-0.00017433+0.00015889i,0.00020387+0.00023766i,0.00035282+0.00053168i,0.00023059+6.738e-05i,-0.00024974-0.000207i
-0.00075915-0.0022947i,-0.0011183-0.002362i,-0.0001505-0.0026741i,0.0010352-0.0027182i,0.00030136-0.0018488i,-0.00010512-0.0004929i,-3.1398e-05-0.00017272i,-0.00038811-0.00037625i,-0.00079615+0.00021241i,-0.0010996+8.3938e-05i,-0.0013628+1.7015e-05i,-0.0015644+0.00062565i,-0.00098609+0.00083547i,-0.00056095+0.00033219i,-0.00058599-0.00044109i,0.0002077-0.00040227i,0.00056775+0.00010574i,-0.00014016-0.00010514i,0.00023363-0.0009385i,0.00052481-0.00091282i,0.00080343-0.00048961i,0.00054462-0.00041755i,0.00018972-0.00078717i
-0.00020027+0.00041815i,-0.0012291+0.0003038i,-0.001323-0.00063419i,-0.00040831-0.00057462i,0.00025022-2.2204e-05i,0.00019918+0.00026429i,-0.00039607-0.00010128i,-0.00065626-0.00059383i,-0.00073788-0.00065751i,-0.00067142-0.00051259i,-6.5434e-05-0.0004535i,0.00023017-7.4418e-05i,-9.6898e-05+0.00035944i,-0.00020044+0.00031691i,0.00021632+0.00042792i,0.00023195+0.00077496i,-0.00027163+0.00028776i,0.00065353+0.00024096i,0.00034366+0.0011368i,-0.00046397+0.001663i,0.0010778+0.001362i,0.0014531+0.00028581i,0.00030933-0.00023798i
-0.0011073-0.00061798i,-0.0017557-0.00015703i,-0.0011594+0.00028133i,-1.666e-05+0.00043239i,0.00045712+0.0014046i,4.6681e-05+0.0018055i,-3.2555e-05+0.00086578i,-8.7295e-05+0.00064035i,-0.00066186+0.0011121i,-0.00068634+0.00080583i,-0.00054682+0.00036304i,0.00044644+0.00032842i,0.00057263+0.001067i,0.00010413+0.00099127i,0.0001473+0.00046019i,5.6946e-06+0.00050727i,-9.387e-05+0.00040739i,-0.00043659+0.00012233i,-0.00062746-4.1076e-05i,0.00029126+0.00029734i,0.00088091+8.6243e-05i,0.00032472-0.00024694i,0.00021583+3.1651e-05i
-0.00052609+3.7398e-06i,-3.4791e-05-0.00015797i,0.0011587+0.00078181i,0.0021872+0.00078323i,0.0023841-0.00034704i,0.0010289-0.00037592i,-0.00038295+0.00024887i,-0.0010849+0.00067101i,-0.00091597+0.00034769i,-0.00033216-0.00037379i,7.7962e-05-0.00053392i,0.00055576-0.00015167i,0.00057074+0.00034176i,-2.9891e-05+0.0002515i,-0.00079715-0.00081333i,-0.00081576-0.00080402i,-4.9354e-05+0.00014023i,0.00028705+0.0003383i,0.00032093+0.00057491i,0.00026856+0.00061242i,-0.00042872+0.00015225i,-0.00048019-0.00029507i,4.5221e-05-0.00048009i
-0.0015297-0.0014048i,-0.0026305-0.0013213i,-0.0030304-0.00051272i,-0.001374+0.0011495i,0.00011961+0.0015953i,0.00034393+0.00098101i,0.00035641+0.000528i,0.00010706+0.00013529i,-0.00076744+0.00032886i,-0.0013737+0.00065688i,-0.0010317-1.7848e-05i,-0.00032575-0.00047165i,-1.3021e-05-0.0001101i,0.00039841-0.00040155i,0.00039704-0.0007597i,6.2315e-05-0.00087519i,0.00059818-0.0012119i,0.00069467-0.00030436i,0.0001095+0.0005509i,-8.2697e-05-1.6735e-05i,0.00046143-0.00069517i,0.00037012-0.00061514i,-0.00046223-0.00011183i
-0.0014347-0.00171i,-0.0017229-0.0019888i,-0.0018604-0.0022229i,-0.00087159-0.0010004i,0.00092284+7.8801e-05i,0.0014827-0.00015975i,0.00078484-0.0008001i,-0.00032814-0.00085027i,-0.0014514-0.00028919i,-0.0017995+0.00016803i,-0.0019814-0.00018476i,-0.0016945-0.00068287i,-0.00030037-0.00082049i,0.00036082-0.00083887i,0.00030252-0.00069074i,0.00038665-0.00084085i,-5.9466e-05-0.00087287i,-0.00059748-0.00016366i,-0.0005863-0.00033268i,-0.00064396-0.0010156i,-0.00047607-0.0013946i,0.00093976-0.00082957i,0.001468-0.00037625i
0.00032196-1.9352e-05i,-0.00060118-0.0006536i,-0.001346-0.0013286i,-0.0011272-0.0012406i,-0.00096935-0.00080046i,-0.0008674-0.00038386i,-0.00015507+0.00021057i,0.0004167+1.6122e-05i,0.00014056+0.00024695i,-0.00012437+0.00026755i,-0.00013196+0.00028837i,-3.7313e-05+0.00059323i,7.1818e-05-9.4218e-05i,6.235e-05-0.00053409i,0.00069599-0.00034499i,0.0013699+0.00074986i,0.00061148+0.001132i,0.00022347+0.00031147i,0.000277+0.00026717i,-0.00063196-0.00013243i,-0.000894-0.00012649i,0.00033756+0.00031178i,0.0017328+0.0002681i
-0.00014632+5.7769e-05i,-0.00025747-0.00081785i,0.00030684+0.00040059i,0.00033136+0.0010033i,-4.9101e-05+0.0008787i,-0.0010587+0.00022755i,-0.0012174-0.00072882i,-0.00020672-0.00047642i,6.4666e-05-0.00038341i,-8.5678e-05-8.5111e-05i,-0.00033562+0.00025673i,-0.00066094-0.00010067i,-0.00036922+6.3853e-05i,-0.00025731+0.00048953i,-0.000334+0.00012804i,0.00025162+2.3913e-05i,0.00065589+0.00031989i,0.00023729+5.4247e-05i,-0.00037377-0.00044022i,0.00010709-0.00018384i,0.00061918-0.00046549i,0.00069837-0.00056286i,0.000985+0.00028906i
