-0.0020103+0.0018809i,-0.0020644+0.0012153i,-0.001588+0.001773i,-0.00022589+0.0020113i,0.0004721+0.0020373i,0.00081346+0.00046753i,0.00096982+2.5716e-05i,0.00056801+0.00014501i,0.00067722+0.00012484i,0.00052287+0.00088607i,0.00048837+0.00080947i,0.00084979+0.00032242i,0.00091416-9.7525e-05i,0.00060927+0.00019106i,0.00016188+0.00024044i,0.0001213+0.00023817i,-0.00049126+0.00048618i,-0.00047875-0.0004182i,0.00033132-0.00061091i,0.00045413-0.00039543i,-0.00034373-0.00028232i,-0.0011911-0.00031327i,-0.00022036-3.7671e-05i
-0.0012489-0.0018263i,-0.0014133-0.0023342i,-0.0020349-0.0025963i,-0.0025565-0.00079441i,-0.0016958+0.00059125i,-8.1527e-05+0.00069353i,-0.00021908+0.00037059i,-0.00080594+0.00042792i,-0.00018517+0.00062166i,-0.00014951+0.00066266i,1.5459e-05+0.00066037i,0.00046078+0.00041275i,0.000171+0.0003838i,0.00079396+9.6489e-06i,0.00096575-0.000333i,9.8937e-05+0.0001375i,-0.00021742+0.00045161i,-0.00088031+0.00016686i,-0.00069923-4.5887e-05i,-0.00012201-0.00016235i,5.437e-05-0.0003024i,0.00026979-0.00034124i,0.00047198-0.00049934i
0.0019787-0.00052123i,0.001817-0.00011646i,0.00062044-3.6167e-05i,-0.00033292-0.00097502i,-3.7801e-05-0.0010133i,0.00056608-0.00099483i,0.0010736-0.00084188i,0.00078159+0.00025423i,-0.00015416+0.0006646i,-0.00036437+0.00033836i,-0.00038181-0.00035156i,-0.00011041-0.00049821i,0.00070458+5.6823e-05i,0.00054287+0.00043289i,-0.0001151+0.00018471i,-0.00040345-0.00010418i,-0.00040718-0.00047802i,-0.00045659+0.00012064i,-0.00029727+0.00046934i,1.8501e-05-3.2561e-05i,0.00016652+3.1807e-05i,0.00052867+0.00018036i,0.00068302+0.00022148i
0.00091493+0.00020475i,0.00075413-0.00042243i,0.00057181-0.0013072i,0.00027684-0.0018269i,0.00032582-0.0010352i,0.00086789-0.00030978i,0.00064325-0.00052436i,-0.00017798-0.00071827i,0.00016751+0.00011401i,0.00084287+0.00078926i,0.00061655+0.00062769i,-0.00046535-0.0001106i,-0.00034582-0.00089187i,0.0013119-0.00079734i,0.0016764-0.00016618i,0.00065447+0.00016715i,0.00052172+0.00014909i,0.00062743+0.00024941i,0.00010787+0.00053797i,-0.00051088+0.00024189i,-0.00099765-0.00047196i,-0.0009455-0.00072926i,-0.00029728-0.00061326i
-0.0019916-0.00037994i,-0.00132+0.00020891i,-0.0022963+0.001082i,-0.0018853+0.00084156i,-0.00020203+0.00060602i,0.00081714-0.00012563i,0.0014753-0.00064409i,0.0011367-0.00032385i,0.00021905-0.00034028i,-0.00026913-0.000386i,0.00029661+0.00027474i,0.00071829+0.00038812i,0.00096858-0.00040076i,0.0013786-3.0824e-05i,0.00041548+0.00022488i,-0.00011097-0.00025951i,5.6784e-05-0.00011265i,-0.00074541+7.9865e-05i,-0.0011937-0.00035282i,-0.00037472-0.00022284i,-9.4655e-05+0.00032775i,-9.2814e-05+0.00061073i,0.00043103+0.00010124i
0.001738+0.00038859i,0.0017961-0.00036555i,0.0020752-0.00078536i,0.00092824-0.0019633i,-0.00033458-0.0018546i,-0.00049318-0.00080601i,8.7096e-05-0.00075456i,4.452e-05-0.00027763i,-0.00026229+0.00038356i,0.00017821+0.00055526i,0.00059068+0.00093087i,-6.707e-05+0.00084832i,-0.00063197+0.00041823i,-0.00033442-0.00020668i,0.00080083-0.00019804i,0.0012427+0.00032689i,0.00025904+0.00017983i,-0.00025603-0.00014387i,0.00068155+0.00012564i,0.00063806-0.00010539i,-7.8616e-05-0.00025681i,-0.00092508-8.261e-05i,-0.00073483+0.00032884i
-0.00026461+0.00012449i,0.00093273+6.3331e-05i,0.001294-0.00071248i,0.0011462-0.00061889i,0.00083913+0.00063082i,0.00077294+0.00057679i,0.00097375-0.00049684i,0.0012599-0.0013085i,0.00018212-0.0011076i,-0.00069877-0.00058623i,0.00052736-0.00071584i,0.00050506-0.00070058i,1.6926e-05-0.0004015i,0.00019391+0.00035566i,0.00014076+0.00089749i,-0.00012152+0.00059962i,0.00034488+0.00054559i,0.00069495+0.00077727i,0.00060087+0.0002985i,0.00041024-0.00015118i,-0.00032862+0.00039934i,-0.00026334+0.00048251i,-2.8298e-05-0.0001494i
0.0010689+0.00019506i,0.00062764+0.00020965i,0.00035053-0.00044828i,0.00056465-0.00067018i,0.0011553-0.0008303i,0.0011114-0.00072323i,7.7076e-05+0.00044372i,-0.00011539+0.00015242i,-6.1902e-05-0.00086409i,-0.00011655-0.00062212i,0.0002327-0.00040597i,-4.0667e-05-0.00038218i,-0.00020663-0.00054159i,0.00019138-0.00038207i,0.00029537+0.00046399i,3.2531e-05+0.00070263i,-0.00032043+0.00048391i,-0.00027481+0.00015286i,0.00017626-0.00012709i,0.00045002+0.00026278i,0.00047303-0.00019537i,-0.00011921-0.00019358i,-0.0005597+0.00036252i
0.00061243+0.00018926i,0.0014535-0.00043786i,0.0018791-0.0014344i,0.00022894-0.0022217i,-0.00055371-0.0018297i,8.6629e-05-0.00080656i,0.0002039+0.00043006i,0.00015824+0.00063162i,0.00028221-6.8043e-05i,0.00030395-0.00096032i,0.00028425-0.0010157i,0.00038972+9.1446e-05i,3.9792e-05+0.00072051i,-0.0005693+0.00011518i,-0.00070056-0.00077883i,-0.00057472-0.00093461i,-0.00073532-0.00062572i,-0.00069536-0.00050945i,0.00026033-0.00069697i,0.0010857-0.0012768i,0.00091361-0.00089903i,-0.00010408-0.00014726i,-0.00055886+5.9728e-05i
0.0018782+0.00087799i,0.00084909-0.00025768i,0.001218-0.00044975i,0.0011193-0.00065862i,0.0002831-0.001209i,-0.0001775-0.00082313i,6.2455e-05-0.00062463i,0.00038165-0.00034988i,0.0010348-0.00048881i,0.0015431-0.00050589i,0.00046724-0.00022969i,-0.00058375-0.00063702i,-0.00039991-0.0012266i,-0.00025043-0.00029728i,-0.00058294+0.00099439i,-0.00050223+0.00074481i,9.0986e-05+0.00010668i,0.0002074+0.00017575i,-0.00018679+0.00042454i,0.00013396+0.00039049i,0.00026989-0.00033972i,-0.00033145-0.001497i,-0.0008325-0.0009165i
0.0026694+0.0012052i,0.0024094+0.00047061i,0.0022058-0.00042221i,0.0021191-0.00036504i,0.0015335-0.00044496i,0.0014816-0.0005866i,0.0015012-0.0010411i,4.2688e-05-0.0010343i,-0.00085317-0.00013464i,-0.0006632-3.7979e-05i,1.5836e-05-0.00043585i,0.00022114-0.00012706i,1.4184e-05+0.00057076i,-0.00017091+0.00068885i,-0.00079361-9.0775e-05i,-0.00092439-0.00066264i,-0.00056863-0.00059327i,-0.00036844-0.00011409i,-0.00086911+0.00059887i,-0.00070111+0.00075262i,0.00028027+3.8248e-05i,0.00088754-0.00049732i,0.00023393-0.00029437i
