-0.0013873-4.5492e-05i,-0.0017262+0.00045286i,8.5397e-05+0.00051245i,-0.00030778+0.00043905i,-0.0010855+0.00062873i,-0.0015757+0.0016915i,-0.0017105+0.0022884i,-0.00061326+0.0017973i,0.00033632+0.0010068i,0.00067256-9.3945e-05i,0.00092213-0.00061526i,0.00061704-0.00058122i,0.00040455-0.00091217i,0.00055462-0.0012916i,0.00057345-0.00062612i,0.00043386-0.00029147i,0.00039479+0.00012678i,3.3389e-05-0.00035829i,-0.00064659-0.00079455i,3.8375e-05-0.00021176i,0.00047284-0.00061139i,-8.8299e-06-0.00073056i,-6.9186e-05+5.6886e-05i
0.0001443-1.362e-05i,0.00099213-0.00014575i,0.0012786+0.00041671i,0.002271+0.00095971i,0.0028056+0.00099248i,0.0019876+0.00058738i,0.0014509+0.00022333i,0.00081522+0.0001548i,8.5453e-05-6.5838e-05i,0.00012739-0.00054589i,0.00095792-0.0016011i,0.00066391-0.0016377i,0.00024861-0.0011935i,0.0008135-0.00049273i,0.00043753-0.00017356i,-5.1825e-05-0.00060915i,-0.00050074-0.00053505i,-0.00097956+8.9504e-05i,-0.0004128+0.00045498i,0.00046755+0.00054195i,0.00080405+0.00020734i,0.00049485-0.00017934i,3.2817e-05-0.00050458i
-0.0011169-0.00054873i,-0.0017639-0.00052202i,-0.0023242-0.00052414i,-0.0013222+0.0010417i,0.00014864+0.0020236i,0.0010686+0.0010324i,0.00055013+0.00058049i,-0.00057282+0.00075915i,-0.00048318+0.001101i,-0.00018804+7.6406e-05i,-0.00057125-0.00073805i,-0.0008496-0.00034995i,-0.00044748-0.00057089i,0.00010998-0.00014601i,0.0003198-0.00025377i,0.0003754-0.0008002i,-6.4759e-05-0.00044775i,-0.00060012-0.00034259i,-0.0012274+0.00016256i,-0.0012602+0.00050134i,-0.00024442+0.00075531i,7.9782e-05+0.0012421i,-6.3622e-05+0.00055082i
-0.00080987+0.00064485i,-0.00011295+0.00085784i,6.6311e-05+0.0010757i,0.00074412+0.00059824i,0.0012157+0.00073815i,0.00031387+5.0917e-05i,-1.4612e-05-0.00095611i,-0.00021057-0.0010423i,-0.00086899-0.00029948i,-0.00059835+0.00010131i,9.1248e-05+0.00040327i,0.00028414+0.00019726i,-0.00037995-0.00016232i,-0.0011066+0.00054835i,-0.00025714+0.00078793i,0.00033485-1.9832e-05i,-0.00097616+8.936e-05i,-0.0013933+0.00059782i,-0.0013623+0.00017298i,-0.00068747-0.00027863i,0.00059849+2.5538e-05i,0.0006671+7.811e-05i,0.00069121+0.00069806i
0.0020536-0.00037264i,0.0020965-0.00074538i,0.0031487-0.0010001i,0.0027137-6.8408e-05i,0.0013949+0.00097499i,0.0011832+0.00046143i,0.00023216+0.00043102i,-0.0003689+0.00082402i,0.00026086+0.00042676i,0.00027394-0.00027875i,-0.00019399-0.00046875i,-0.00034597+0.00022796i,-0.00073249+0.00029951i,-0.0012682+5.5626e-05i,-0.00086346+0.00056925i,0.00036324+0.00092788i,0.00099823+0.00076711i,0.00065896+0.00042183i,6.9438e-05+0.00060932i,-0.00040592+0.00080728i,-0.0011556+0.00078541i,-0.00058667+7.0204e-05i,0.00086831-0.00044957i
-0.0012764-0.0016337i,-0.0011158-0.0018841i,-0.0015173-0.0015051i,-0.00046912+0.00027609i,0.00049352+0.0015229i,0.00081874+0.00094689i,0.0008926-0.0005878i,-0.00023968-0.00095182i,-0.0011486-0.00053417i,-0.00042007-0.00016551i,0.00022565-0.00033071i,0.0007292-0.00040741i,0.00089393+3.8594e-05i,0.0007471-6.9256e-05i,0.00047888-0.00036995i,0.00019939-0.00023116i,-7.6945e-05+0.0004367i,-0.00040475+0.00081249i,-0.00061805+0.00056186i,-0.00091871+0.00022668i,-0.0011274+0.00071747i,-0.00021051+0.00052258i,0.00056064+0.00020848i
-0.0016264+0.00058035i,-0.0012133+0.00070543i,-0.0011971+0.0012041i,-0.00060796+0.00213i,-0.00028664+0.0015213i,-0.00053987+0.00040328i,-0.0012+0.0001921i,-0.001386+0.000365i,-0.0010435+0.0011333i,-0.0010131+0.0011561i,2.1331e-05-0.00044364i,0.0012425-0.00029158i,0.00097403+0.00043813i,0.00028427+1.7151e-05i,-0.00028056+4.9799e-05i,-0.00017866+3.2401e-05i,-0.00020523-0.00020703i,0.00028206+0.00024796i,0.00056749+0.00064762i,0.00027801+0.00048576i,0.00047254+0.00011732i,0.00012762+0.00019378i,8.1351e-05-0.00011035i
0.00118-0.00022012i,0.00083338+0.00017499i,0.001026+0.00051331i,0.0012407+0.00058026i,0.0012371-0.00038868i,0.0019427-0.00040841i,0.0013926+0.00034894i,-0.00024333+0.00073259i,-0.00070945+0.00012472i,-0.00021761-0.00032054i,3.8941e-05-0.0002935i,0.00021636-0.00021968i,-0.0004578-0.00056808i,-0.00039017-0.00071967i,0.00042546-0.00047915i,0.00053095-6.9437e-05i,0.00017634+0.00016873i,-0.0010232-4.6959e-07i,-0.0014725+0.00062523i,-0.0013228+0.0012768i,-0.00021037+0.0013681i,0.00027046+0.00088162i,0.00015098+0.00043845i
-0.00030608-0.00019374i,-0.001394+0.00050647i,-0.0019523+0.00021498i,-0.0013196+0.00037229i,0.00020607+0.0003271i,0.0014311+0.00024016i,0.00094235+0.00014857i,-0.00042449+0.00010142i,-0.00081844-1.0249e-05i,-0.00058715-0.00082908i,-0.00021233-0.00072555i,-4.943e-05-6.3058e-05i,0.0002684-0.00073025i,3.387e-05-0.00096674i,0.00012874+2.3272e-05i,0.00055543-0.00022772i,0.00074919-0.00043704i,0.00088321+0.00056886i,0.00050022+0.0014227i,-5.5433e-06+0.0010588i,-1.6809e-06+0.00024953i,-1.7414e-05-0.00019583i,-2.6724e-05-8.5374e-05i
-0.0017841-0.00081638i,-0.0019669-0.00093537i,-0.0028106-6.6655e-05i,-0.002354+0.0007843i,-0.0011971+0.0011308i,-0.00071249+0.00076132i,-0.001042+0.00034066i,-0.0015906+0.00033867i,-0.0019599+0.00050226i,-0.0014067+0.00086669i,-0.00057204+0.00027962i,-0.0003566-0.00011759i,-0.00033254+0.00051434i,-0.00022171+0.00035084i,0.00047875-0.00026319i,0.00092626-0.00021776i,0.0011422-0.00018912i,0.00067712+0.00012535i,9.0802e-05-0.00029628i,2.8178e-06-0.00037394i,-0.00029854+0.00059359i,-0.0001133+0.00074067i,0.00033451+0.00019088i
0.0011684+0.00031648i,0.00072557+0.0013317i,0.0014542+0.00089153i,0.0021758-0.00027828i,0.0026124-0.00091547i,0.0020053-0.00068549i,0.0002838+7.5471e-05i,-0.001005+7.6053e-05i,-0.00092147-0.00029861i,-0.00053662-0.00014607i,-0.00055096-0.00043428i,-0.00075358-0.001007i,-0.0011324-0.0003741i,-0.00066326+0.00068387i,-0.00030993+0.00059365i,-0.00054263+0.00072278i,-0.0011944+0.0010873i,-0.00067426+0.0012026i,0.00036695+0.0012874i,0.00028644+0.00087669i,0.00070913+7.4299e-05i,0.00068603+1.8883e-05i,0.00021395+0.00043341i
