-0.0011575+0.00049643i,-0.0020011-0.00088208i,-0.0015025-0.002224i,-0.0015779-0.0019604i,-0.0026399-0.0008338i,-0.002742+0.0010201i,-0.0017095+0.0020661i,-0.00022616+0.001304i,0.0010517+1.0956e-05i,0.0014555-0.00095448i,0.00063092-0.00075946i,5.4082e-05-0.00031037i,0.0004924-0.00090528i,0.00092191-0.0011638i,0.00061858-0.0009593i,0.00073077-0.00044352i,0.00039069-0.00023865i,-6.3176e-05-0.00067207i,-0.00026531-0.00067413i,-2.7659e-05-0.00041505i,0.00050452-5.0262e-06i,0.00018652+0.00010623i,-0.0002511-0.00014308i
-0.0010309+0.00032983i,-0.00050946+0.00026276i,-0.00018021+0.00072505i,1.65e-05+0.00016997i,-0.00037108-0.00082388i,-0.00034587-0.0011627i,5.7105e-05-0.00093157i,2.4014e-06-0.00077972i,-0.00015516-0.00073935i,0.00017769-0.00077221i,0.00073991-0.00064017i,-4.7101e-05-0.00041165i,-0.00038303-2.6189e-05i,0.00027077+0.00085438i,0.00092057+0.0010424i,0.0011369+0.00030119i,0.0003969-0.00010788i,-0.00049498+0.00063371i,-0.00055448+0.00084191i,-0.00040796+2.3781e-05i,-0.00028173-0.00061536i,0.00010773-0.0010787i,0.00038409-0.0011146i
-0.00063834-0.0019117i,-0.00076589-0.0012542i,-0.0010192-0.0005054i,-0.002191+0.00019453i,-0.0021601+0.0014824i,-0.0011731+0.002504i,-0.00030739+0.002041i,-0.00025509+0.00060432i,-0.00079763-0.00035839i,-0.00075381-0.00079672i,-0.00047421-0.00091293i,9.6386e-05-0.00056726i,0.0017686+0.00035177i,0.001316+0.00036863i,-9.2757e-05-0.00020223i,0.00041028+0.00015832i,0.0011333+0.00015418i,0.0007902-0.00018281i,-0.0001332+0.00019214i,-0.00013592+0.00065964i,0.00049804+0.00091134i,0.00027534+0.00036097i,0.00077542-0.00037056i
0.00064314+0.00074949i,0.0016395+0.00059921i,0.0025036-8.4958e-05i,0.0023464-0.0014965i,0.00081817-0.0019467i,-0.00063489-0.0003835i,-0.00072484+5.0863e-05i,-0.00088915-0.00053026i,-0.00045708-0.00023667i,0.00079467-0.0011604i,0.00094325-0.0010472i,-0.00032832-2.8701e-07i,-0.00071216-0.00016465i,-0.00053267-0.00062469i,-0.0011133-0.00039686i,-0.0013519+0.0001231i,-0.0013412+1.9264e-05i,-0.0013123-0.00038072i,-0.00054345-0.00024361i,-0.00035206-0.00014402i,-0.0008151+1.0875e-05i,-0.001009+0.00034858i,-0.00020916+0.0001069i
0.002042+0.00023447i,0.0022326-0.00018219i,0.00094431-0.00017039i,-0.00071876+5.3527e-05i,-0.0011135-0.0005173i,-0.00066076-0.00063677i,-0.0004608-0.00073975i,-0.00030136-0.00062648i,0.00012907-0.00088422i,0.00028987-0.0013082i,-3.3667e-06-0.0012701i,9.4327e-05-0.00025282i,-0.00032777+0.00027775i,-0.00022594-0.00060404i,-3.5614e-05-0.00084336i,-0.00066528+6.4105e-05i,-0.0010729+0.00050895i,-0.00086611+5.5222e-05i,-0.00023081-0.00048396i,0.00040838+0.00023308i,0.00053609+0.0010533i,8.7154e-05+0.00036147i,0.00010756-1.3366e-05i
3.3095e-05+0.0023499i,0.00054065+0.0018821i,0.0023474+0.002331i,0.0020119+0.00082452i,0.00024072-0.00011415i,-5.2396e-05+0.00046126i,7.2538e-05+0.00075595i,0.0002911+0.0005631i,0.00063093+3.0534e-05i,0.0012733-0.00027626i,0.0010551+0.00016477i,0.00019598+0.00036741i,-0.00061392+2.5291e-07i,-0.0010217-0.00055125i,-0.00050367-0.0016054i,-0.00025548-0.0019421i,-0.0008966-0.00078319i,-0.00053903+5.0637e-05i,3.7283e-05+0.00060665i,-2.3772e-05+0.0008653i,-0.00026273+0.00036596i,0.00018504-0.00014652i,0.00091337-3.4033e-05i
0.0029925+0.0016605i,0.0035751+0.00089444i,0.0041528+0.00067591i,0.0029249-0.00078874i,0.0012251-0.002191i,-0.00052957-0.0013696i,-0.00056689-0.00019842i,0.00018346+1.5349e-05i,-0.0001718+5.9207e-05i,-9.354e-05-7.1725e-05i,1.2469e-06-0.00026762i,-0.00015701-0.00034011i,-0.0010173-0.00029538i,-0.0012109-0.00033713i,-0.00083205-0.00030358i,-0.0011063+0.00020985i,-0.00079283+8.7782e-05i,-0.00060485+8.7189e-05i,-0.00040071+0.00049806i,0.00058881+0.00053383i,0.0004075+0.00035712i,0.00010904+0.00035606i,0.00058219+0.00016453i
-0.00021588+0.0008579i,-0.00043037+0.0012316i,-0.00082498+0.0012688i,-0.0011496+0.00041177i,-0.00029171+0.00012676i,0.00031356+0.00052943i,-0.0002782+0.0009153i,-0.00033401+0.00036246i,0.00053248-0.00055439i,0.0012562-0.0011945i,0.0010543-0.0011681i,0.00060776-0.00033658i,-7.9506e-05+0.00049189i,-0.00059068+0.00044704i,-0.00023011-4.1198e-05i,-1.6995e-05-0.00023457i,-0.00054889-0.00069637i,-0.00052725-0.00087796i,0.00065167-0.00041924i,0.00089724-0.00020426i,0.00073373-0.00024421i,0.00023244+0.00037189i,-0.00034675+0.00045721i
0.00056581+9.3103e-05i,0.0013136-0.00016271i,0.0014632-0.00036633i,0.0015991-0.00067745i,0.001569-0.0010642i,0.00057856-0.00057647i,0.00018391+0.0003795i,-0.0002784+0.00030163i,-0.00021268-0.00023095i,0.00065949-0.00083021i,0.00071102-0.0013134i,0.00049811-0.0011332i,0.00088725-0.00042893i,0.00071871+0.00023296i,0.00020439+0.0010158i,0.00054921+0.00063005i,0.00093978+0.00022045i,0.0006868+0.00075986i,0.00080708+0.00086395i,0.00089972+7.2788e-05i,-0.00014992-0.00028738i,-0.0002832+1.3737e-05i,0.00091567-0.00035723i
-0.0010668-0.0027944i,-0.0013628-0.0018777i,-0.0014448-0.0014484i,-0.0018197-0.00042845i,-0.0025873+0.00081761i,-0.0018475+0.001701i,-0.00055365+0.0012044i,-1.7517e-06+0.00023779i,-0.00056071-0.00046704i,-0.00085141-0.00059571i,-0.00077464+0.00014002i,-0.00019928+0.00039613i,0.0011141+0.00063775i,0.0012332+0.00056275i,0.00019207+0.00015433i,-0.00013088+9.7299e-05i,-8.6248e-05+0.00010212i,-0.00031092+0.00014705i,-0.00074068+0.00094273i,-0.00088974+0.0012641i,0.00049299+9.8468e-05i,0.0010369-0.00059813i,0.00037243-0.00024618i
-0.0014723-0.00070065i,-0.0013215-0.00018626i,-0.00089539+0.00058452i,-0.00166+0.00059799i,-0.0022734-8.6771e-05i,-0.002162-0.00039935i,-0.0013652-0.00071263i,-0.00076866-0.00066711i,-0.00020271+0.00042163i,0.00054864+0.0010169i,0.00074654+0.00060748i,0.00019478+0.00034218i,0.00058153+0.00056768i,0.001084+0.00055984i,0.001017+0.00015201i,0.00037671-0.00023459i,0.00023663-0.0010667i,0.00044073-0.0013488i,0.00046769-0.00087559i,0.00064761-0.00015095i,-0.00035193+0.00030485i,-0.00085734+0.00020547i,-0.00024762-0.00063466i
-0.00080667+0.0003649i,-0.00021212-0.00065894i,0.0006412-0.00086714i,0.00043578+7.1478e-05i,-0.00081079-0.00042082i,-0.00084745+0.00022448i,-0.00080204+0.0011103i,-0.0002909+0.00029617i,0.00016514-0.00020949i,0.00019072+0.00057895i,0.00065766+0.00073686i,0.00061273+3.6493e-05i,0.0005189-0.00041297i,0.0003943+0.0002815i,-0.00012975+0.00079023i,-3.6801e-05-3.9321e-05i,-3.4039e-05-0.00045347i,-0.00019746-0.00036436i,0.00050697+0.00027075i,0.00048007+0.00079587i,0.00038869+0.00051286i,0.00077048+0.00041327i,0.00033401+0.0002575i
0.00050991-0.0025471i,-0.00080697-0.0018593i,-0.001398-0.0023154i,-0.0020182-0.0017135i,-0.0018722+0.00018006i,-0.0010198+0.00096243i,0.00010706+0.0011151i,-5.2946e-05+0.0009903i,-0.00076335+0.00010033i,-0.00050678-0.00062241i,0.00085446-0.000141i,0.0014353+0.00042084i,0.00081113-1.4561e-05i,0.00066822+0.00015868i,0.0004201+0.00032472i,-0.00024017+0.00012562i,-0.00026459+0.00013709i,0.00017419-0.00013844i,-5.858e-05-0.00029668i,-0.00094857-0.00019012i,-0.00098956+0.00064079i,-0.00084075+0.0010088i,-0.00030002+0.00039013i
0.00052004+0.00034752i,0.0012461+9.1344e-05i,0.0022169-0.00015601i,0.0017574-0.0011772i,0.00039401-0.0022735i,-0.00074558-0.0010773i,-0.00086649-0.00039884i,-0.00041344-0.00079819i,-0.00052848-0.0012528i,-0.00026456-0.0014863i,-0.00016802-0.0007394i,-0.00021292-0.00048637i,-0.000226-0.00066973i,-0.0008949-0.00028618i,-0.00056891+3.1139e-05i,5.7983e-05+0.00010075i,-0.00012591+0.0001381i,-0.00069889-9.4358e-05i,-0.00033006-0.00031367i,-0.00020137+0.00011401i,-0.00015148+0.00018604i,-0.000135-0.00031861i,-4.4357e-05-0.00049037i
-0.0011667-0.00036527i,-0.0012079+0.00020485i,-0.0014441+0.00055828i,-0.0014748+0.0016109i,-0.0015668+0.0019232i,-0.0014921+0.00082857i,-0.0008874-6.3576e-05i,-0.00014659-0.00094457i,0.0002272-0.00077392i,0.00066458+1.6972e-05i,0.0010735-0.00045759i,0.0015044-0.0012692i,0.001479-0.00091334i,0.00065421-0.000275i,-3.3034e-05-0.00047294i,0.00016959-0.00042507i,0.00047249+0.00013418i,6.7508e-05+0.00020138i,0.0003209-0.00011247i,0.00076746-0.0003126i,0.00040967-1.5804e-05i,9.8862e-05+0.00056235i,3.1401e-05-0.00013449i
-0.00046114+0.0005059i,-0.00072265+0.00046274i,-0.00055232+0.00033355i,-0.00024354-0.00050388i,-0.00073286+6.7769e-06i,-0.00054008+0.00086692i,-4.1687e-06+0.00061257i,0.00023558-0.00083163i,0.00070341-0.0013445i,0.0016933-0.00046357i,0.0012599+0.00013248i,0.00068759+0.00020827i,0.0003115-0.00042394i,0.00036628-0.000143i,0.00062972+0.00032151i,0.00034041+8.8395e-05i,7.847e-05-9.5674e-05i,-0.0006973-0.00022274i,-0.0011393-0.00059311i,-0.00019666+0.00014997i,0.00056011+0.00029321i,6.7372e-05+1.1799e-05i,-0.00040864+0.00026199i
-0.00018633+0.0016734i,0.00018703+0.0020131i,0.0011821+0.0014541i,0.0018803-9.1387e-05i,0.00072188-0.00086987i,-0.00034374-0.0005076i,-0.00016349+0.00043487i,-1.9916e-05+0.00059596i,0.00014618-0.00026362i,0.00042596-0.0001868i,0.00091506-3.5041e-05i,0.00067597-0.00071046i,0.00049895-0.0014667i,0.0010772-0.001496i,0.00087184-0.00071626i,8.3153e-05-0.00012159i,-0.00011958+7.3899e-05i,-0.00023901+0.00018144i,-0.0001241+3.3543e-05i,0.00015817-0.00040014i,-6.3352e-05-0.00049341i,-0.0005974-7.9968e-06i,-0.0010113+8.2566e-05i
-0.0011369+0.0021551i,-0.00045488+0.002356i,0.00049727+0.0024617i,-0.00018553+0.0019127i,0.00020029+0.0015494i,0.00040596+0.0012143i,0.00017265+0.00075407i,-9.8709e-05+0.00014304i,-0.00074728-0.00035627i,-0.00018333-0.00094532i,0.0013767-0.0010484i,0.0017259-0.0006084i,0.00057488-0.00068448i,0.00037976-0.00088678i,0.001001-0.00043956i,2.3809e-05-0.00062289i,-0.00025753-0.0009604i,-0.00088219-5.177e-05i,-0.0015127+0.00036764i,-0.00073645+0.0002229i,0.0001256+0.00083523i,0.00087189+0.0010333i,0.00067814+0.00016453i
-0.0021192-0.00066943i,-0.0019087-0.00099783i,-0.0012917-0.00058115i,-0.0008456+0.00098423i,-0.00065671+0.00054553i,-0.00034755+3.8793e-05i,-0.00026553+0.00040632i,0.00019126-0.00033018i,0.00037103-0.00071883i,-8.4459e-05-0.00052903i,-0.00013738-0.00015736i,0.00035425-0.00053527i,0.0006743-0.0010417i,0.00021578-0.00091746i,6.2932e-05-0.00036655i,-4.4117e-05-0.00028276i,-0.00059137-0.00064989i,-0.00012099-0.00027549i,0.00087327+0.00056698i,0.0010918+0.00036134i,0.00035344+1.9396e-05i,0.00027007-7.4648e-05i,0.00091044-0.0003286i
-5.141e-05+0.00066232i,0.00058327+3.6867e-05i,0.00090449-0.00065619i,0.00021696-0.0010296i,-0.00045917-0.00043476i,-0.0002451+0.00037791i,0.0007961+0.00019875i,0.00060789-1.2241e-05i,8.0449e-05-0.00012181i,0.00055677-4.3517e-05i,0.00086339-2.9834e-05i,0.0012439-0.00024531i,0.0013073-0.00023126i,0.00056786-0.00081046i,-0.00022034-0.0010392i,1.379e-06-0.00028434i,0.00025405+0.00078807i,-0.00016308+0.00074669i,-0.0015271+0.00040407i,-0.0017819-0.00033132i,-0.0006663-0.00039952i,-0.00030015+0.00019723i,0.00020537+0.00019751i
-0.00054502+0.0015223i,-0.00077935+0.0008931i,-0.00045145+0.00080154i,-0.00069505+0.00016889i,-0.0010189-0.00091361i,-0.00066956-0.00038719i,-0.00087916+0.00028435i,-0.00099803+0.00017077i,-0.00050239+1.9952e-05i,-4.5971e-05+0.00031058i,-0.00038989-2.3002e-06i,-0.00031302-0.00075718i,6.9862e-05-0.00071602i,0.0001944-0.00073318i,0.00051837-0.00075381i,-3.3781e-05-0.00063023i,-0.00089407-0.00010346i,-0.00061768+0.00059299i,0.00075031+0.00032846i,0.0010366-0.00014092i,-3.5596e-05-4.979e-05i,-0.0001821+0.00015934i,0.00042285+0.0013475i
