0.00042181-3.8736e-05i,0.0012188-0.00018011i,0.00034571-0.001928i,0.00045395-0.0025888i,-0.0004321-0.0015494i,-0.0010438-5.6652e-05i,-0.00087674+0.00074391i,8.202e-05+0.00077073i,0.001114-7.9119e-06i,0.00080368-0.0012565i,0.00018182-0.0018453i,0.00018074-0.0015657i,0.00019388-0.0010667i,7.896e-05-0.00074803i,0.00081165-0.00030919i,0.0013269+0.00038535i,0.0004344+0.00037942i,-6.186e-05+0.00094974i,-8.5077e-05+0.0010811i,-0.00042964-0.00028954i,-0.00083355-0.00057469i,-0.0013443-0.00015374i,-0.00088272+6.6939e-05i
-0.00059561+0.00049617i,-3.1732e-05+0.0002816i,0.0019286+0.00057558i,0.0025595+0.00032135i,0.0028884-0.00052899i,0.0024176-0.00097375i,0.00061888-0.00048736i,-0.00052072+0.00027363i,-0.00033452+0.0014454i,-0.00020118+0.0017289i,-0.00052742+0.0011548i,-0.00027613+0.00071437i,6.3236e-05+0.0014203i,-3.2624e-05+0.0017312i,0.00051438+0.00053974i,0.00068728+0.00036445i,-0.00020592+0.0004635i,-0.00051325+0.0002454i,0.0002661+8.5616e-05i,0.00019493+3.7555e-05i,-4.6374e-05+0.00044192i,0.00036233+0.00047218i,0.00079726+0.00025808i
0.0011161-0.00010896i,0.0011122-0.0018086i,0.00059526-0.0028024i,0.00040113-0.0027093i,-0.0001859-0.0028727i,-0.0008291-0.0023648i,-0.0010393-0.00081144i,-0.0010549+0.00059961i,-0.0010743+0.00050946i,-0.00073004-0.00023823i,-0.00026543+6.4488e-05i,-1.9902e-05+0.00071199i,-0.00020102+0.00090888i,-0.00041984+0.00075208i,8.4635e-05+0.00066112i,0.00046595+0.00062511i,0.00020637+0.00025216i,-0.00016218-0.00020999i,6.5691e-05+8.7689e-05i,0.0003721+0.00024816i,0.00027734+0.00054625i,0.00012338+0.0010816i,0.00029582-6.5288e-05i
0.00084366+0.00081334i,0.0004957-0.00048165i,0.0016567-0.00088617i,0.002796-0.0014345i,0.0029475-0.0010788i,0.0015886-0.00022175i,4.3056e-05-0.00037663i,-0.0009913-0.00031953i,-0.0013306+0.00023162i,-0.00075853+6.7214e-05i,-3.6544e-05-0.00097719i,-0.00025451-0.0010348i,-0.00060392-0.00019976i,-0.00013893-4.1474e-05i,4.0603e-05-0.0001524i,-0.0002916-7.6572e-05i,-0.00019468-0.00035926i,0.00014911-2.4638e-05i,-1.8892e-05+0.00023057i,-0.00089917-0.00013717i,-0.00054062-0.0002986i,0.00084424-4.3351e-05i,0.00074794+0.00015686i
0.0021001-0.0022458i,0.001318-0.002047i,4.6476e-05-0.0028848i,-0.00026803-0.0034631i,-0.00046903-0.0023979i,9.8614e-05-0.0011422i,2.0355e-06+0.00018283i,-0.00074643+0.0008398i,-0.00089468-0.00032217i,-0.0011613-0.0011655i,-0.0006893-0.00075556i,-0.00010381+0.00036562i,-0.00032347+0.0010932i,-0.00021364+0.0013256i,0.00015175+0.00093347i,-2.1531e-05+0.00049088i,-0.00025506+0.00022788i,-0.00052669+0.00044829i,-0.0010482+0.00029997i,-0.00073381-0.00019825i,-0.00031715-0.00018517i,-0.00039719-0.00022084i,8.9843e-06-0.00020598i
0.00030924-0.00051522i,0.00062717+0.00049988i,0.0019966+0.0018233i,0.0026025+0.0014327i,0.0024603+0.00050622i,0.0027315-0.00013989i,0.0012708-0.00028154i,-0.00046836-0.00034131i,-0.0010307-0.00015748i,-0.00063304+0.00019017i,0.00019277+0.00029418i,0.00078767+0.00022868i,0.00095993+0.00054955i,0.00049282+0.00089577i,-0.00027403+0.00083907i,-0.00027967+0.0008923i,-6.1047e-05+0.00055212i,-0.00028662-0.00085313i,-0.00047947-0.001052i,-0.0013144-0.00012922i,-0.0011533-0.00021606i,-0.00046873-0.00025906i,-0.00024058+0.00041353i
0.0021176-0.00082735i,0.0022319-0.0012525i,0.001413-0.0021035i,-0.00017864-0.0025035i,-0.0002304-0.0022271i,-0.00030425-0.00097305i,-0.0010055-0.00036186i,-0.0013083+0.00028202i,-0.00097378+0.0017733i,-0.00044802+0.0016412i,-0.00017755+0.001044i,-8.2758e-05+0.0014515i,-1.1879e-05+0.0015677i,-1.3536e-05+0.0011834i,-0.00059379+0.0005661i,-0.0002945-0.00012244i,-1.0123e-05-0.0010059i,-0.00016407-0.00058808i,4.8021e-05-0.00044327i,2.6465e-05-0.00049723i,-0.00067789+0.0001301i,-0.00018827+8.2807e-05i,0.00053924-0.00012737i
0.0011657+0.00069895i,0.0028594+0.00023001i,0.0034345-7.303e-05i,0.0030964-0.0015133i,0.0020431-0.002505i,0.0015444-0.0014372i,0.00060578+9.6915e-05i,-8.0726e-05+0.0010101i,-5.4984e-05+0.0009684i,1.1968e-05+0.00034825i,-0.00056059-0.0003308i,-0.00091976-0.00092358i,-0.0005506-0.0010891i,-0.00020262-0.00071651i,-0.0003401+0.00029284i,-0.00047556+0.00088426i,7.1905e-05+0.00042079i,0.00029889-0.00023985i,-0.00034423-0.0004887i,-0.00085309-0.00016384i,-0.00089102+0.00017698i,-0.00074598-0.00038418i,-0.00065025-0.00072745i
0.00087572-9.0366e-05i,0.00071055-0.00053521i,0.001529-0.0005595i,0.0017459-0.0011026i,0.0012854-0.0021273i,-0.00042953-0.0018665i,-0.0014524-0.00091495i,-0.00040932+0.00021448i,0.0001144+0.000849i,-0.00085329+2.0121e-05i,-0.0011487-0.0011513i,-0.00093151-0.00036528i,-0.00088081+0.00028457i,-0.00099343-0.00022001i,-0.00064603-0.0008541i,0.00022199-0.00018766i,0.0001176+0.00046718i,-0.00057734+0.00031104i,-0.00026734-0.00015209i,-0.00016641-0.00037857i,-0.00080782+0.00020639i,-0.00089151-2.2665e-05i,-0.00038121+3.939e-05i
0.0015751+0.00088957i,0.001948-0.00015621i,0.0031482-0.0010274i,0.0042982-0.0014941i,0.0041509-0.002195i,0.0030868-0.0013843i,0.0016416-0.0002241i,-0.00014338+0.00013123i,-0.00096361+0.00026498i,-0.00051494+6.5038e-05i,8.7254e-05-0.00037384i,0.000102-0.00057709i,-6.9354e-05+0.00023134i,-0.00020318+0.00053193i,-0.00014786+3.9075e-05i,0.00034288+0.0004975i,0.00025693+0.00074473i,0.00026726+0.00047463i,0.00083776+0.00013052i,0.00084663-6.7324e-05i,-3.861e-05+0.00048601i,-7.5968e-05+0.00040522i,0.0011685+0.00026555i
0.0020938+0.00023243i,0.0018372-0.00079327i,0.0017519-0.0018893i,0.0010482-0.0031535i,5.3093e-05-0.0038353i,-0.0011961-0.0024091i,-0.00086834-0.00023915i,-0.00012514+0.0010818i,0.00020967+0.0006709i,0.00022686-0.00076318i,-0.00016065-0.00063127i,-0.00021559-2.5921e-05i,-0.00066352+0.00026625i,-0.0011804+0.0014128i,-0.00052072+0.001145i,2.5183e-05+3.5408e-05i,-0.00039026+0.00074725i,-0.00067422+0.00094715i,-4.0419e-05-4.6266e-05i,0.00062149-0.00050157i,0.00039931-0.00014853i,0.00021952+0.00040492i,0.00010407+0.00067527i
0.00038933-0.00016991i,0.0010899-0.00044811i,0.0022503-0.00041739i,0.0027366+0.0011476i,0.0024221+0.00096562i,0.001399+4.343e-05i,0.00038132+4.7198e-05i,-0.00036197+0.00094518i,-0.00059466+0.0014059i,-1.8161e-05+0.0009292i,-3.8606e-05+0.00025408i,-0.00038382+0.0005294i,0.00041015+0.00080071i,0.00037518+0.00030381i,-0.00030775-0.0012342i,-0.0003417-0.0024383i,-1.8913e-05-0.0019616i,0.00028922-0.0011459i,0.00014066-0.00051819i,1.5416e-05-0.00045947i,-8.9747e-05-0.00049121i,-0.00031376+0.00016412i,0.00010964-0.00040808i
-0.00086072-0.00036354i,0.00083373+0.00028419i,0.0018143-7.3362e-05i,0.0015597-0.0012267i,0.0010593-0.0014752i,0.0010269-0.0012714i,0.00034815-0.00057608i,-0.00029319-1.7508e-05i,-0.00023669+0.00095774i,-4.9692e-05+0.0011005i,-0.00036716+0.00016487i,-0.00077519-2.3029e-05i,-0.0010476+0.00021946i,-0.00064885+0.0001008i,2.3744e-05-5.8153e-05i,9.8321e-05+0.00025173i,-0.00058458+0.00043067i,-0.0014325-0.00040714i,-0.00079465-0.00093026i,-0.00036857-0.00013937i,-0.0007075-0.00045761i,-0.00094437-2.0101e-06i,-0.0010039+0.00062431i
0.00013776+9.636e-05i,0.0023643-5.5416e-06i,0.0045571+0.0006297i,0.0039942+1.879e-05i,0.0021542-0.0013171i,0.0024246-0.0016043i,0.0014964-0.00078786i,-0.00087036-0.00039382i,-0.0021135-0.00049239i,-0.0011739-0.00019869i,-0.00037921+0.00086211i,-0.00064423+0.0011529i,-0.00040068+0.0011406i,-5.2387e-06+0.00066039i,-0.00030586+0.00065912i,-8.4936e-05+0.00010639i,0.0008719-0.00041021i,0.00084534-0.00087178i,0.00010842-0.0010119i,-3.8932e-05-0.00067791i,-0.00026657-0.0003427i,-0.0005179-0.00019476i,-0.00050382-0.00043896i
0.00039648+0.00028676i,0.0012146+0.00020432i,0.0011452-0.00092014i,0.0010388-0.0013834i,0.0015082-0.0008868i,0.0016907-0.00096379i,0.0010905-0.00024918i,0.00019551+0.00039076i,-0.00051649+0.00063513i,-0.0006384+0.00040493i,0.00018483+0.00016186i,0.0013398+0.00023398i,0.00096334+0.00010166i,0.0001731-0.00067476i,-7.8016e-05-0.00092174i,6.886e-05+0.00014802i,0.00064254+0.0010319i,0.00040076+0.00095698i,-8.2101e-05+0.00022864i,-2.2692e-05-0.00093847i,-3.2677e-05-0.00042432i,8.2173e-05+0.00039927i,0.00013889+0.0003593i
0.00039301+0.0012672i,0.00118+0.0014009i,0.0025287+0.00037419i,0.0030436-0.00070212i,0.0020025-0.0013638i,0.00062102-0.0021107i,-0.00017333-0.0013463i,-0.00087477-0.00025043i,-0.00072457+0.00044255i,-7.8433e-05+0.00083362i,0.00062475+0.00056986i,0.00081653+4.2525e-05i,0.00020792-0.00020632i,-1.9316e-05+0.00014266i,1.909e-05+0.00033045i,-6.0095e-05+3.0635e-06i,0.00031288-1.9899e-05i,8.2786e-05-0.00035175i,-0.00052742-0.000101i,-0.00039161+0.00028441i,-0.0003293-0.00016835i,0.00011801-0.00021712i,-5.1998e-05-0.00046031i
0.0017323-0.00052154i,0.0019021-0.001125i,0.001512-0.0023704i,0.0017832-0.0033396i,0.0016441-0.0025199i,0.00089003-0.0015129i,2.1982e-05-0.00057262i,-0.00055452-0.0001567i,-0.0002195-0.0002926i,0.00033892-0.00065514i,0.00013128-0.0011677i,-0.00015401-0.00045698i,-3.8804e-05+0.00024177i,-0.0002524+0.0002491i,0.00021549+0.00042733i,0.0002418+0.00061675i,-0.00065853+0.00078061i,-0.0002107+0.00069893i,0.00033614+0.00044425i,-0.00043978-0.00034454i,-0.00032101-0.00054943i,0.00014684-0.00010102i,7.9699e-05+0.00016206i
