0.0032037-0.00094214i,0.0023399-0.00090228i,0.00054467-0.0018135i,-0.0012112-0.0019436i,-0.0019845-0.0010824i,-0.0019306+0.00022226i,-0.0014415+0.00098479i,-0.00055918+0.0010631i,0.00037358+0.00076432i,0.00057413-0.00025765i,-0.00023431-0.00061836i,-0.0011987-0.00033839i,-0.0011024-0.00012494i,-0.00067938+0.00078347i,-0.00024685+0.0011922i,0.00042662+0.00061567i,0.00041383+7.6021e-05i,0.00031987-0.00071386i,0.00042093+0.00044344i,0.00063168+0.0006475i,0.00040964-0.00049522i,-0.00022852-0.00077044i,-0.00012902-0.00085537i
0.0012229-0.0013786i,0.0017015-0.0014926i,0.0019409-0.00072739i,0.0010765-0.00078925i,-0.00014459-0.0011153i,-0.00096307-0.00094213i,-0.00070987-0.000566i,-0.0003806-0.0001519i,-0.00063747+0.00021639i,-0.0010322+0.00024039i,-0.0010854-0.00067481i,-0.00097254-0.00081601i,-0.00098334-0.00024422i,-0.00065912-0.00019189i,-0.00020848-0.00074872i,-0.00017498-0.00038185i,0.00014191+0.00036302i,-2.2363e-05-0.00016266i,-0.00064474+0.0002861i,-0.00065073+0.00079345i,-0.00040541+0.00050599i,-0.00060242+0.00035179i,-0.00054989+1.2729e-05i
0.00048142+0.0015318i,-4.7779e-05+0.0011039i,0.0003145-0.00015429i,0.00080782-0.0010642i,0.00087004-0.0017696i,0.00098576-0.0021305i,0.0014834-0.0012614i,0.0014984-1.0383e-05i,0.0010736-0.00052727i,0.00093501-0.00084137i,0.00061422-6.7756e-05i,-6.9965e-05-0.00075729i,-0.0003628-0.00084016i,0.00017893-0.00012286i,-0.00016269-0.00029687i,0.00012753-0.00012929i,0.0008986-0.00023628i,0.00050814-0.00047476i,-0.00024315+1.7576e-05i,0.0002967+0.00027625i,0.00037511+0.00023058i,0.00019859+0.00032729i,0.00023283+0.00046662i
0.0021774+0.00042814i,0.0024496-5.8775e-06i,0.0014598-0.00050584i,0.00068137-0.00095076i,0.0001549-0.0017225i,-0.00065795-0.0028863i,-0.00067678-0.0024001i,0.00010801-0.00070207i,0.00064977+7.2702e-05i,0.00056721+0.00010793i,-8.675e-05-0.00023939i,-0.0007461-0.00066305i,-0.00078714-0.00067641i,-0.00069466+0.0004114i,-0.00059095+0.00099966i,-0.00034759+0.00094132i,-0.00025875+0.00026359i,-1.4284e-05-0.00030847i,0.00023302+0.00049802i,-0.00041653+0.00093077i,-0.0004464+0.00058976i,-0.00021717+9.1959e-05i,0.00027627-0.00015761i
-0.0003021+0.0011666i,-0.00063841+0.00097828i,-0.00038556+0.00091016i,-0.00017355-0.00018266i,-0.0001582-0.00085641i,-0.00045258-0.00060191i,0.00061081-0.00025877i,0.001136+6.3823e-05i,0.00020613-3.387e-05i,-0.00024755-0.00033794i,-0.00059235-0.00019686i,-0.00068702+6.7155e-05i,-0.00034958+0.00010162i,7.4267e-05-0.00024106i,0.0002683-0.0013603i,-0.00020848-0.0011711i,-0.00070133+0.00032266i,-0.00085395+0.0016284i,-0.00031773+0.00044924i,0.00055608-0.0010756i,0.00086613-8.0614e-05i,0.00031412+0.00082805i,1.8334e-06+0.00048276i
-0.0033984-0.00049021i,-0.0031737-0.0011139i,-0.0034778+0.0001425i,-0.0011532+0.0010914i,0.0011665+0.00087624i,0.0021367+0.0013276i,0.0014174+0.0012251i,0.00050959-0.00038821i,0.00074019-0.00081076i,0.00083631+0.00013456i,0.00058272+0.00057207i,0.00072187-0.00020826i,0.0010923-0.00069342i,0.00072978-0.00055888i,0.00036943-0.00081407i,0.00032422-0.00052945i,0.00026067-0.00080056i,0.00010697-0.00024381i,7.3369e-06+0.0006528i,0.00021273-0.00022127i,0.0010483+0.00019319i,0.0010287+0.00075722i,0.00034339+0.00011654i
0.0026007-0.001976i,0.00097416-0.0027946i,-0.00038345-0.0033663i,-0.0002226-0.0015895i,-0.00069853+0.00045897i,-0.00016563+0.00088103i,0.00093254+0.00090504i,0.00022446+0.0010226i,3.7004e-05+0.00050356i,0.00047835+3.8057e-05i,0.00053659-0.00023522i,0.00038507-0.00047637i,-0.00028093+6.4293e-05i,-0.00024572+0.00098135i,0.00050223+0.00057352i,0.00091229-0.000496i,0.00086346-0.0008393i,0.00096901-0.0006792i,0.00057656-0.00059678i,-0.00018517+0.00016505i,-0.00030734+0.00055989i,0.00019371+0.00040117i,0.00024298+0.00044812i
-0.00046898-0.0030948i,-0.0011239-0.0031788i,-0.0025169-0.0018418i,-0.00348+0.00027515i,-0.002716+0.00088786i,-0.00090863+0.00071024i,8.4221e-05+0.00076934i,4.6359e-05+0.00039098i,-0.00042831-0.00054812i,-4.3611e-05-0.00053559i,0.00012184-0.00017929i,-0.0007999+6.2846e-05i,-2.261e-05-9.1317e-05i,0.0011481-7.1726e-05i,0.0011477+0.00042622i,0.00043458+0.00020171i,-0.00026525-0.00048291i,-0.00016701+0.00026599i,9.8571e-05+0.0002164i,0.0005215+0.0002975i,0.00026401+0.00081226i,-0.00034972+0.00060574i,-0.00020966+3.5142e-05i
0.00046241-2.9751e-05i,0.00032668-0.0015328i,-0.00044114-0.0014653i,-0.0001055-0.00061726i,0.00027327-0.0014424i,0.00022679-0.0018875i,0.00027505-0.0009051i,0.000522-0.00021677i,0.00029645+0.00012326i,-0.0003209-5.9682e-07i,-0.00042286+0.0001096i,-0.0003722+0.00039093i,-0.00023461-0.0002457i,-0.00065991-0.00019233i,-0.00090335+0.00022239i,-0.0008247-0.0002626i,-0.00021239-0.00029011i,0.00025651-0.00019527i,0.00010217-0.00042711i,-1.2571e-05-0.00057944i,-0.00039049-0.00024144i,-0.00073133-0.00076748i,0.00014474-0.00089747i
0.00033601+0.001466i,-9.8383e-06+0.0013259i,0.00090805+0.00093486i,0.0018597-0.00055399i,0.00093585-0.0018645i,-0.00048207-0.0018233i,-0.00068552-0.00050051i,0.00020751+0.0002956i,0.0011903+0.00045555i,0.00093938-0.00021271i,0.00024148-0.0012808i,-0.00017938-0.0011101i,-0.00032825-0.00067442i,-0.00027443+0.00012887i,2.4901e-05+0.00043442i,0.00022658-0.00041929i,0.00044094-0.0012857i,0.00059916-0.0010418i,0.0009287-0.00011903i,0.00032774+0.00033475i,-0.00077625+0.00071378i,-0.00099108+0.00041927i,-0.0004933-0.00076481i
-0.00057329-0.0010336i,-0.00075603-0.0010722i,-0.00093478-0.0011337i,-0.0012179-0.00096154i,-0.0014469-0.00063261i,-0.00091599-0.0010058i,0.00058831-0.0015026i,0.00099163-0.0010187i,2.4754e-05-0.00048783i,-0.00055506-0.00059865i,-0.00055009-0.00062596i,-0.0006728-0.0011858i,-0.00043216-0.0015273i,-0.000291-0.0010313i,-0.00017096+7.8193e-06i,0.00010916+0.00087008i,0.00075647+0.00079143i,0.00075277+0.00027648i,0.0005469+0.00016735i,0.0007917-9.7296e-05i,0.00068682-0.0012998i,0.00030022-0.0017135i,-0.00010371-0.00056645i
