-0.0013866+0.00019523i,0.00015527-6.8896e-05i,0.00014424+0.00061152i,-0.0002185+0.0014551i,-0.00079995+0.0020816i,-0.001293+0.0021161i,-0.00091155+0.0014795i,0.00018918+0.00069189i,0.00092623+2.5385e-05i,0.00095727+7.8203e-05i,0.00058933-7.0796e-05i,-7.4864e-05-0.00079246i,5.8668e-05-0.0010697i,-0.00032789-0.0013253i,-0.00075399-0.00087654i,-0.0003967+0.00042823i,-0.00024926+0.00081174i,7.4691e-05+0.00059533i,0.0004674+0.00021181i,0.00022664+5.3145e-08i,0.00019663+0.00011298i,0.00036028-0.00047232i,-0.00014212-0.00066899i
-0.0013633+6.2267e-05i,-0.002062-2.0636e-05i,-0.0012249+0.00013826i,-0.00083195+0.00031908i,-0.00060739-0.00012133i,-0.00076319-0.00019915i,-0.0012917+0.00082813i,-0.0013117+0.00072986i,-0.0011147-1.2605e-05i,-0.00097175+0.00030156i,-0.00065174+0.00053521i,0.0002146-0.00035703i,0.00054074-0.0010561i,0.00036631-0.0012868i,0.00026364-0.00079884i,-0.00060224-7.1688e-05i,-2.6916e-05-0.00011459i,0.00069086-0.00025376i,-7.8189e-05-0.0006934i,-0.00073256-0.00072997i,-0.0013335+0.00029538i,-0.0016115+0.00071802i,-0.00031594+0.00026894i
0.0013292-5.9054e-05i,0.00090732+0.00039576i,0.00081149-5.4696e-05i,-0.0003401-0.00082643i,-0.0019632-0.00047679i,-0.0022704+0.0006649i,-0.00086057+0.00078292i,2.81e-05-0.00079892i,7.2097e-05-0.0019615i,-0.00012804-0.00088156i,-0.00037909+0.00018106i,-0.00050836+0.00048141i,0.00020556+0.0006824i,-5.24e-05+0.00067245i,-0.00073132-1.8752e-05i,0.00012268-0.0013552i,0.00055924-0.0015324i,-8.1056e-05-0.00031029i,-0.00028495+0.00041317i,8.0306e-05+0.0007577i,0.00020472+0.00055391i,-0.00012768-4.2474e-05i,-0.00061224-0.00091319i
-0.0014599+0.00057316i,-0.0011469+0.00039664i,-0.00059262+0.0009135i,-0.00081795+0.0020834i,-0.0012637+0.0027075i,-0.00071881+0.0028274i,-7.564e-05+0.0024424i,-0.00017227+0.00045434i,-0.00021908-0.00047036i,0.00024519-0.00044031i,0.00035683-0.0002252i,-0.00025974+3.0895e-05i,-0.00051921-0.00027848i,-0.00070271-0.00035435i,-0.00031189-0.00029923i,-0.00020507-0.00057644i,-0.00062785-0.00028862i,-0.00051423-0.00010093i,-0.00038136-0.0007397i,9.157e-05-0.00063089i,0.00043117-0.00066235i,0.00027327-0.00088918i,0.00046705-0.00040181i
0.0008058-0.00051371i,0.00046424-0.00051045i,0.0003249+3.2427e-05i,0.00040193-0.0010603i,-0.00067977-0.0019779i,-0.0016217-0.0010181i,-0.001581-0.00037315i,-0.0012532-0.00065655i,-0.00049366+0.00015693i,2.2591e-05+0.0002807i,0.00057413-0.00031952i,0.0005-0.00030938i,-0.00030551-0.00051657i,-0.00072056-0.0006492i,-0.00042598-0.0003202i,-0.00025398+0.00017829i,-0.00015234+0.00080682i,-7.3866e-07+0.00029597i,0.00021426-0.00055476i,0.0002626-0.0011395i,0.00017928-0.00066831i,-0.00017598+4.0777e-05i,-0.00019698+0.00028871i
0.0016717+0.00017524i,0.00076624-0.00027057i,-0.0011377+0.00035471i,-0.0019332+0.0011222i,-0.0016917+0.0016657i,-0.00083239+0.0020887i,0.00016557+0.001682i,-0.00020964-9.8424e-05i,-0.0010761-0.0013561i,-0.0010059-0.0014415i,-0.00028371-0.0010752i,-0.00050393-0.001013i,-0.00079759-0.00054784i,-0.00061846+0.00038588i,-0.00085444+0.00031989i,-0.00086027-0.00029511i,-0.00025493-0.00041139i,-0.00021419-0.00030727i,-0.00058444-0.0002096i,-0.00035923+0.00032953i,-0.00047711+0.00088965i,-3.4222e-05+0.0011974i,0.00056922+0.00063499i
-0.00023562+0.0007203i,0.00044056+0.00099479i,0.0010093+0.00053759i,0.0014999-0.00073678i,0.0010719-0.0010529i,-0.00017512-0.00027543i,-0.00016042+0.00037216i,-5.6518e-06-4.1543e-06i,-0.00010415-0.00049039i,0.00083074-0.00096833i,0.00071792-0.0012887i,-0.00025026-0.00096241i,-0.00028774-0.00083487i,0.00053156-0.00043106i,0.0007634+0.00026444i,-6.5689e-05+0.00088989i,6.0372e-05+0.00084762i,0.00053401-4.9799e-05i,0.0005968+0.0003408i,0.00017827+0.0014052i,-0.00034778+0.0019767i,-0.00037805+0.0016979i,3.7242e-05+0.00076018i
0.00082828-0.00091429i,0.00076004+0.00014246i,0.00029697+0.00074125i,-0.0010177+0.00088635i,-0.0013598+0.0015889i,-0.00073198+0.0021473i,-0.0005726+0.0012876i,-0.00080036+0.0004123i,-0.00085916+8.9481e-05i,-0.00016852-0.00013423i,0.00068657-0.00018975i,0.00041714-0.00055033i,-2.7298e-05-0.00074241i,-0.00054998-0.00051207i,-0.00098075-0.0003983i,-6.6858e-05-0.0009478i,0.00099268-0.0012542i,0.0009247-0.0010661i,0.00069957-0.00069234i,1.3461e-05-0.00061785i,-0.00015171-0.00047875i,-0.00021473+0.00030405i,-0.00060217+5.9692e-05i
0.00030841-0.0014452i,0.00062978+0.00037675i,-0.00028946+0.00012474i,-0.00073156-7.3018e-06i,-0.0016074+0.00055474i,-0.0017191+0.0010289i,-0.00022543+0.0011804i,0.0007655-0.00019061i,0.00026875-0.00061881i,-9.9688e-05+0.00017485i,2.4687e-05-8.1533e-05i,-6.6494e-05-0.00042513i,-0.0003616-0.00094592i,5.7756e-05-0.0012414i,0.00051618-0.0010405i,0.00073577+1.4154e-06i,0.00028917+0.00014558i,-0.00038537-0.00057558i,-0.00055131-0.00068732i,-0.00073045-0.00078543i,-0.00038351-0.00054831i,-6.8619e-05-0.00052154i,-0.00044494+6.6601e-05i
0.00038738+0.00041708i,-7.0854e-05-0.0003957i,-0.00073089-8.9866e-07i,-0.0011391+0.00016749i,-0.00093559-0.0002056i,-0.00098454-0.0003267i,-0.00071265+0.00030883i,-0.00025499+0.00050051i,-0.0002497-0.00013975i,-0.00023315-0.00073048i,3.7628e-05-0.0012828i,-0.00014861-0.0010567i,-0.00046161+0.00027931i,-0.00016091+0.0010865i,0.00031318+0.0012196i,0.0005731+0.00087108i,0.00021652+1.9691e-05i,-1.5483e-05-0.00014185i,-0.00033006+0.00072154i,-0.00088436+0.00070166i,-0.00095849+1.4994e-05i,-0.00062935+0.00024763i,-0.00018076+0.00046257i
0.0025215-0.00047727i,0.0017482-0.00057813i,0.0017018-0.0015622i,0.0011981-0.0016916i,-0.00015383-0.0003863i,-0.0013241+0.0014042i,-0.00081462+0.0015441i,-0.00010003-0.00017747i,-0.00047819-0.00090202i,-0.00078866-0.0010399i,-0.0009557-0.00074712i,-0.00096349-0.00010107i,-0.00070371-0.00033295i,0.00026437-0.00044654i,0.0011184-0.00025793i,0.00073533+0.00013278i,5.9895e-06+0.00053441i,-0.00044212-0.0002366i,0.00013211-0.00086714i,0.00022182-0.00048526i,-7.2871e-05+0.00050557i,0.00053268+0.00093601i,0.00086023-0.0001218i
