0.0012707-0.00059158i,0.00076774-8.3377e-05i,-0.0002563-0.00038299i,0.00026712-0.0013648i,0.00040596-0.0011499i,-0.00037199+0.00056112i,-0.00052103+0.0019103i,-4.9464e-06+0.0026099i,0.00059897+0.0020852i,0.00056311+0.00075975i,-4.4241e-05-0.00048835i,9.0965e-05-0.00033636i,0.00071746+0.00045412i,0.00084296+0.00078561i,0.00020273+0.0005098i,-0.00060325+0.00012454i,-0.00020305+0.00015186i,-2.7395e-06+6.069e-05i,-0.00031858-0.0004261i,-4.5065e-05-0.00023152i,-0.00088929-0.00015364i,-0.0010136-0.00024695i,0.000465-8.4039e-05i
0.00046665-0.00084271i,0.0004163-0.00047921i,-0.00034954-0.0013083i,-0.0010343-0.0015469i,-0.00059448-0.00064059i,0.00035032+0.00054203i,0.0010061+0.00096615i,0.00084255+0.00049042i,0.00058435-2.1647e-05i,0.00025138-9.6842e-05i,-0.00013584-0.00053271i,-0.00050854-0.00072212i,-0.00050747-0.0004385i,-6.94e-05-0.00019924i,-0.00046601-0.00021029i,-0.00034764-0.00052164i,0.00049749-0.00042549i,0.00030193+0.00014673i,-8.8916e-05+0.00036864i,-0.00013365+0.0003208i,0.00023019-0.00016545i,0.00024394-0.00024741i,-0.00049333-0.00012497i
0.0017987+0.0015992i,0.0020373+0.00097396i,0.0018296+0.0011326i,0.0014161+0.00069628i,0.0012846-0.00071203i,0.0010982-0.00010705i,0.00075259+0.00037428i,0.00061408+0.00022491i,0.00044995+0.00035296i,-0.00017868-0.00011726i,-0.00055943-0.00038263i,-0.00049725-0.00074782i,-0.0001958-0.0011313i,3.7655e-05-0.00084855i,9.4384e-05-0.0010667i,-0.00012333-0.0013439i,-0.00027022-0.00064239i,5.3236e-05-4.7704e-05i,0.00030904+0.00048293i,0.00032152+0.00088101i,0.00059912+0.00018206i,0.00068824+2.5482e-05i,9.2261e-05+0.00066971i
9.1921e-06-0.00043734i,-0.00015523+4.6632e-05i,-0.0016277+0.00029941i,-0.0023667+0.00026798i,-0.0018887+0.00058477i,-0.00010912+0.00039637i,0.00052051+0.00046601i,-0.00016078+0.0010528i,-0.00060197+0.00092469i,-0.00069388-0.00023377i,-0.00057793-0.00078023i,-0.00024885-0.00053205i,-0.00018541+0.00010611i,-0.00049772+0.00071266i,-0.00066727+0.00062464i,-0.00059128+0.00038722i,-0.00045006+0.00018754i,-0.00037831+0.00013477i,-0.00027787-0.00036285i,-0.00054828-0.0002145i,-0.00095146+0.00033324i,-0.0005673-3.1432e-05i,-0.0003077-2.0415e-05i
-0.0010928-0.0010903i,-0.0012904-0.00065772i,-0.00061395+0.00027738i,5.5155e-05+0.0014141i,0.00024343+0.0017088i,-0.00010269+0.0010076i,3.1521e-05+0.000271i,0.00081348+0.00036295i,0.00059237+0.00033942i,2.2451e-05+4.1788e-06i,-0.00048592+4.7039e-05i,-0.00058132+0.00036768i,-0.00016628+1.4904e-05i,-0.00059743+0.00027361i,-0.0013081+0.00081101i,-0.00079442-6.7181e-05i,0.0003407-0.000758i,0.00049672-0.00079345i,8.0743e-05-0.00052362i,-8.8056e-05-0.00027094i,9.1866e-05-0.00055544i,1.4944e-05-0.00082889i,-0.0002156-0.0010491i
0.0003106+0.00030497i,9.4332e-05-8.1412e-05i,-0.00011564-0.00022055i,0.00026399+0.00034304i,6.8912e-05+8.8105e-05i,0.00081786-0.00071056i,0.0012575-6.5377e-05i,0.001055+0.0016503i,0.00077026+0.0017343i,0.00033647+0.00011244i,-0.00025501-0.00051758i,-0.00042739+5.4536e-05i,-0.00046805+0.00095012i,-0.00026646+0.0011665i,-4.6663e-05+0.0006211i,-2.4605e-05+0.00046502i,-0.00010301+0.00039136i,0.00027538-0.00035197i,0.00074804-0.00081782i,0.00057037-0.00071037i,-0.00011441-0.000938i,0.00010967-0.00051906i,-0.00031153+0.00034528i
0.0013133+9.4304e-05i,0.0002356-0.00014793i,0.0011135+0.00028161i,0.0015249-0.00027758i,0.001063-0.0003952i,0.00097942+0.00019377i,0.00059909+0.00029816i,0.00081078-0.00025279i,0.00040067+4.6933e-05i,-0.00077222-0.00031146i,-0.0010112-0.0013043i,-0.0011206-0.00095537i,-0.00017626+8.2441e-05i,0.00072547+0.00017279i,0.00030201+0.00021215i,-0.00059234+0.00030943i,-0.0003999-4.0784e-05i,0.00024092-7.8157e-05i,0.00029418-0.00062384i,0.00042204-0.00034128i,-0.00043752+0.00058994i,-0.00067894+0.00018595i,-0.00031274+0.00018981i
0.00070331-0.00035103i,-0.00012246+0.00023192i,-5.6749e-05+0.00063719i,-6.0413e-05+0.00066644i,-0.00046363+0.00087337i,0.00034192+0.0015894i,0.0001584+0.0018973i,1.8879e-05+0.0022042i,0.00027121+0.0018656i,-0.00016887+0.00035329i,-0.00049739-0.000512i,-0.00035148-0.00042636i,-0.00028568+0.00014991i,-2.8385e-05-9.4917e-05i,0.00021156-0.00051737i,0.00011041-0.00023418i,-0.00029279+1.909e-05i,-0.00016494-0.00024367i,0.00032483-0.00025536i,-0.00010175+0.00045644i,-0.00044888+0.00035151i,-0.00013508+0.00066124i,0.00073507+0.0010525i
-4.6128e-05+0.00015211i,-6.5575e-05-0.00019949i,-2.216e-05-0.0004242i,-0.00059995-0.0012117i,6.2522e-05-0.0012645i,0.00056773+9.932e-06i,9.1376e-05+0.00021539i,1.2344e-05-0.00021618i,-0.00022689-0.00020882i,-0.00017553-0.00090613i,0.00070343-0.00072366i,0.00045148+0.000296i,-0.00011177+0.00039847i,-0.00011483+2.7256e-05i,0.00044375+0.00043065i,0.00041017+0.00016794i,-0.00023-0.00014532i,-0.00052698+0.00039102i,-0.0011161+0.00057609i,-0.0010889+0.00071909i,-0.00039109+0.00045256i,9.3315e-05+0.00036774i,-2.1555e-05+0.00070406i
-0.00038367+0.00018822i,-0.00039312-0.00043777i,-0.00094016+0.00025575i,-0.00064301+0.0018134i,0.00073231+0.0020234i,0.0009828+0.00073956i,0.00051574-0.00048379i,0.0006235-0.00046842i,0.00040867+0.00027837i,6.8141e-05-6.6003e-05i,-0.00053342-0.00030044i,-0.00065163+0.00039857i,-0.00010113+0.0014751i,-0.00046757+0.0016079i,-0.00036046+0.0011607i,8.2087e-05+0.00077449i,0.00035127+5.9861e-05i,0.0012064+0.00025006i,0.00084946+0.00073115i,-0.00033642+0.00036824i,-0.0013133+0.00013401i,-0.0014197-2.7004e-05i,-0.0014039-0.00061498i
-3.9205e-05+0.00020478i,0.00014693+0.00018024i,0.0015627+0.00071955i,0.0023848+0.00081676i,0.0014378+0.00030269i,0.0005712-0.00014027i,0.00043645+0.0005142i,0.00025113+0.0016407i,0.00033838+0.001057i,0.00026377-0.00029495i,-0.00034188-0.00047918i,-0.00099062-0.00023038i,-0.00068651-0.00038161i,0.00010219-4.7251e-05i,0.00033798+4.1292e-05i,0.00088356-7.032e-05i,0.00082147-0.00018906i,0.00036616-2.1312e-05i,-0.00032799+0.00049651i,-0.00084312+0.00015787i,-0.00087956-0.00013648i,-0.00080736+0.00022813i,-0.00036895+0.00040963i
-0.00038312-0.00022903i,-0.00047758+0.00088536i,-0.00042931+0.0001104i,-0.0014821-0.00069822i,-0.0016163-0.0001947i,0.00025598+0.0010086i,0.00085406+0.00095128i,0.00037295+0.00013261i,0.0006272-0.00051873i,0.00016901-0.00067221i,-0.00036453-0.0004867i,-0.00047135-2.4715e-05i,-0.00022697+0.00038311i,1.7805e-05+9.4746e-05i,0.00027866-3.2565e-05i,0.00083448-0.00019256i,0.00064552-7.4665e-05i,0.00033929-2.818e-05i,0.00044864-0.00067527i,0.00049487-0.00084249i,0.00082761-0.00045065i,0.00083137+0.00011158i,0.00031592+0.00011278i
0.0021723+0.0010728i,0.0013657+0.00045856i,0.0012265-0.0004598i,0.00070354-5.7573e-05i,1.9645e-05+8.6467e-05i,5.9045e-06+0.00030712i,0.0001003+0.00096515i,0.00036031+0.0012502i,0.00046324+3.721e-06i,-7.2704e-05-0.001305i,0.0003074-0.0011185i,-3.5955e-05-0.00055348i,-0.00043988-0.00050158i,-0.0006075-0.00022533i,-0.00057337-9.0311e-05i,-0.00043008+0.00015911i,-0.00058961+0.00067838i,-0.000378+0.00049445i,-0.00034951+6.6078e-05i,-0.00049976-2.9714e-05i,-0.00017683-9.3197e-05i,-0.00011242+0.00011473i,-0.00070659+0.00032386i
0.0002867+0.00066365i,0.00060528+0.00026448i,0.00079882+0.00088118i,0.00067901+0.0010214i,0.0010018+0.00046089i,0.0012863+0.00044184i,0.0003564+0.00053129i,-7.7173e-05+0.00054204i,-8.1184e-05+0.00035225i,-0.00039873+0.00024034i,-0.0012637+2.5079e-05i,-0.0013321-0.00046017i,-0.00047849-0.0003665i,-0.00040088+0.00095964i,-0.00052144+0.0013029i,-0.00040805+0.00047742i,-0.00042198+1.5254e-05i,-0.00071534-0.00018252i,-0.00043866-0.00028129i,4.2111e-05-0.00066063i,0.00068901-0.00079286i,0.00013903-0.000328i,-0.00083025-3.079e-05i
-0.00019845-0.0010838i,-0.00052698-0.00086415i,-0.0010205-0.0015218i,-0.0020433-0.0011132i,-0.0018623-0.0004106i,0.00065001+0.00027864i,0.0015746+0.00074028i,0.00064669+0.00039167i,0.00067214-0.00059238i,7.1706e-05-0.00041202i,-0.0010887-2.9547e-05i,-0.000985+0.00016071i,-0.00063113+0.00038518i,9.8633e-05+0.00013607i,0.00051716+4.4906e-05i,-0.00027916+1.0938e-06i,6.69e-05-0.00032625i,0.00042893-0.00066055i,2.1155e-05-0.00035429i,0.00015637-0.00053975i,0.00011577-0.00089304i,-0.00039494-0.00061748i,-0.00026693-0.00026923i
0.000553+0.00099212i,0.00050107+0.00042084i,0.00082488+0.0015769i,0.00082714+0.0019928i,0.00059858+0.0019593i,0.00016205+0.0018636i,-0.00060139+0.00085947i,-0.00087346+0.00039673i,-0.00022689+0.00044802i,0.00016188+0.00035448i,-0.00010423-0.00035011i,-0.00076044-0.00047368i,-0.00083811+0.00029628i,-0.00074381+0.00042036i,-0.00062366+3.7939e-05i,-0.0001226+0.00017956i,0.00028684+0.00037941i,0.00072271-0.00084254i,-5.5462e-05-0.0017339i,-0.00077295-0.00035976i,-0.00078923+0.00013765i,0.00031287-0.00025121i,0.001092+0.00026385i
0.00052988+0.00030536i,0.00053635-0.0003086i,0.00055979-8.3245e-05i,0.00019114-0.00023993i,0.0004484-0.00027598i,0.00073391+0.00027509i,0.0011538+0.00087166i,0.00090257+0.0010064i,-0.00011355-7.3598e-05i,-0.00053591-0.00071498i,-0.00078415-0.00075197i,-0.0014642-0.00033574i,-0.0020239+0.0008864i,-0.0015792+0.0008917i,-0.00066447+0.00032093i,2.4385e-06+0.00020637i,0.00033871+0.00043484i,0.00051997+0.00028894i,0.00050192-0.00012875i,-0.00016256-0.0002126i,-0.000351+3.2458e-05i,-0.00023138+0.00045097i,-0.00014414+0.00032311i
0.0015058+0.0015598i,0.001443+0.0010505i,0.0013243+0.0010477i,0.00026422+0.00051165i,-0.0009932+0.0002995i,-0.0012109+0.00027159i,-0.00016523+8.1887e-05i,-5.2887e-06+0.00038919i,-0.00032029+0.00077998i,-0.00038763+0.00024039i,3.148e-05-0.00074118i,0.00041806-0.00087473i,0.00041045-0.00050584i,-0.00013383+2.98e-05i,-0.00055812-6.2759e-05i,-0.00019623-8.6905e-05i,-0.00049494-0.00056643i,-0.00078811-0.00072193i,-0.00062579-0.00046434i,-0.00022055-0.0002806i,-0.0003271+3.1065e-05i,-8.9387e-05+0.00034961i,7.923e-06+0.00018096i
-0.00197+0.0025014i,-0.0021876+0.0034032i,-0.0015787+0.0052217i,0.00078056+0.0039992i,0.0032445+0.0018388i,0.0028622+0.00035264i,0.0010669-9.5934e-05i,0.00041727+0.00073645i,0.00036644+0.00075829i,0.00043778-5.2599e-06i,2.8148e-05-0.00018461i,-9.7735e-05-0.0004841i,0.00026957-0.00014504i,0.00071602+0.00052642i,0.001138+0.00068043i,0.001288+0.00016127i,0.00076206+0.00062579i,-8.655e-05+0.00094596i,-0.00033391+0.00043912i,-0.00012598+0.00035619i,0.00015951-0.00017749i,-0.00027254-0.00026528i,-0.00019866+0.00056132i
