0.0012707-0.00059158i,0.00076774-8.3377e-05i,-0.0002563-0.00038299i,0.00026712-0.0013648i,0.00040596-0.0011499i,-0.00037199+0.00056112i,-0.00052103+0.0019103i,-4.9464e-06+0.0026099i,0.00059897+0.0020852i,0.00056311+0.00075975i,-4.4241e-05-0.00048835i,9.0965e-05-0.00033636i,0.00071746+0.00045412i,0.00084296+0.00078561i,0.00020273+0.0005098i,-0.00060325+0.00012454i,-0.00020305+0.00015186i,-2.7395e-06+6.069e-05i,-0.00031858-0.0004261i,-4.5065e-05-0.00023152i,-0.00088929-0.00015364i,-0.0010136-0.00024695i,0.000465-8.4039e-05i
-0.00041745+0.00051576i,-0.00082038+0.00033757i,-0.0020388-0.00029974i,-0.0025762+0.00054176i,-0.0014664+0.0019526i,-0.00028375+0.0016291i,-0.00066344+0.00053631i,-0.00046726+0.00017568i,0.00018902+0.00011486i,0.0001854-0.00047135i,-0.00029284-9.6106e-05i,-0.00083186+0.00090566i,-0.0011016+0.00041152i,-0.00029378-0.00013861i,0.00075311+0.00016738i,0.00084821+0.00014922i,0.00069062-0.00038353i,0.00038828-0.00036466i,0.00050119-0.00018685i,0.00021279+2.9218e-05i,-0.00060203+1.6404e-05i,-0.00044755-0.0009708i,-0.00068967-0.0010698i
0.00037443-0.0004232i,0.00048225-0.0003818i,-0.0004618+9.759e-05i,-9.0389e-05+0.00045439i,0.00054644+0.0012397i,0.00024139+0.0019307i,-0.00015848+0.0014573i,-6.6237e-05+0.00044228i,6.4074e-05+0.00028831i,-0.00049766+0.00043574i,-0.00065255+0.00024885i,-0.00073247+0.00016619i,-0.0011665+0.00018213i,-0.00055487+0.00020454i,0.00029945+0.00047058i,0.00098048+0.00057539i,0.0010848+0.0003701i,0.0011506+0.00034401i,0.0010326+0.00064117i,0.00078528+0.00079873i,0.00040798+0.00049201i,-0.00059769-1.9929e-06i,-0.0010236-0.0003757i
-0.00075263+0.00026748i,-0.0015296+0.0001676i,-0.0027723+0.00047532i,-0.0023365+0.00041627i,-0.00090074+0.00076627i,0.00016337+0.00078044i,-0.00037454+0.00057701i,-0.00075307+0.00040097i,-0.0006209-0.00061002i,-0.00068283-0.00095476i,-0.00017232-0.00035499i,0.00019263+0.00017147i,0.00019099+0.00051733i,5.0236e-06+0.0005382i,-0.00014575+0.00037933i,-0.00036972+0.00031472i,-0.00030858+0.0003969i,-0.00052319-0.0005238i,-0.001673-0.00095587i,-0.0012352-0.00063365i,-0.00023051-0.0011346i,-0.00010393-0.00082004i,-0.0002497-4.55e-05i
-0.0022453-0.0014806i,-0.0020255-0.0010004i,-0.0028957-0.00066281i,-0.0025315-2.7546e-05i,-0.00088496+0.0015862i,0.0002344+0.0017579i,0.0017092+0.00020468i,0.0010891-7.7005e-05i,-0.00052087-0.00039944i,-0.0013954-0.00037391i,-0.00097919+0.00065307i,-0.00019626+0.0007326i,0.00020753+0.00035772i,0.00073754+0.00033562i,0.001228+0.00053192i,0.00094805+0.0006996i,0.00081131+0.00012494i,0.00067951+0.00022173i,0.00026549+0.00033317i,-0.0003405-0.00029514i,-0.00062064-8.8599e-05i,-5.3282e-06+0.00065964i,0.00021019+0.00070439i
0.00039742+0.00019368i,-0.00043195+0.00072999i,9.8103e-05+0.00077309i,0.00045279+0.00057893i,0.00056683+0.0010787i,0.00050876+0.0018979i,0.00036451+0.0018995i,0.0002931+0.0012406i,-0.00012174+0.00087383i,-0.00031282+4.8929e-05i,-0.00011713-0.00074883i,0.0003954-0.00055743i,0.00045829-0.0005113i,0.00028802-0.00034885i,0.00033467+0.00019082i,0.00054893+0.00014613i,0.00033397+3.1391e-05i,0.0005051+0.00017809i,0.00098579+0.00018441i,0.00081492-0.0001716i,0.00020014-0.00067757i,-0.00019703-0.00046318i,-0.00049126+8.7947e-06i
-0.0016042+0.00035902i,-0.00080653+0.0012514i,-0.0013493+0.00073217i,-0.0011238+0.0011358i,-0.00019616+0.0025166i,0.00020022+0.0026662i,0.00023312+0.0018975i,-7.6744e-05+0.0019147i,-0.00021751+0.0017262i,-0.00030542+3.5555e-05i,-0.00013992-0.00090785i,-0.00039155+0.00021027i,-0.0011003+0.0013563i,-0.00042416+0.0010477i,0.0009572+0.00072761i,0.0011583+0.00032793i,0.000524-0.00030334i,0.00040735-0.00041157i,0.00048342-0.00039015i,0.00033298-0.0002972i,0.00016203-0.00029274i,0.00028906-0.00039602i,0.00060191-0.00035236i
0.00090568-0.00093228i,0.00016578-0.00078381i,7.7841e-05-0.0015566i,0.00076979-0.0013109i,0.00093884-0.00030911i,0.00027233+0.00041597i,-0.00032191-0.00026833i,-0.0010833-0.00025015i,-0.00097516+0.00011288i,-0.00016649-0.00049044i,4.2641e-05-0.0013616i,-0.00095842-0.0019348i,-0.0013901-0.0011803i,-0.00082505+0.0004075i,-0.00047725+0.00048472i,6.1497e-05+0.00024623i,8.4005e-05+0.0011085i,0.00018556+0.0013827i,3.1122e-05+0.0012545i,-0.00065258+0.00083282i,-0.00085509+7.0855e-05i,-0.00019453+2.9336e-05i,0.00025893+0.00023831i
0.001973-0.0009103i,0.00054485-0.00042609i,-0.00058307-0.00082857i,-0.00083329+9.2704e-05i,-0.0013282+0.0012594i,-0.0015569+0.0011013i,-0.00040933+0.0010063i,8.7592e-05+0.0010998i,-0.00027634+0.00072502i,5.1899e-05-5.6169e-05i,3.1856e-05-0.00065662i,-0.00061254-0.00066823i,-0.0005021-0.00034455i,-0.00034194+0.00034771i,-0.00058358+0.00071774i,-0.0002151-0.00018672i,0.00046059+1.586e-05i,0.00031097+0.00076789i,0.00020264+0.00042052i,0.00011742+0.00031177i,0.00026382-4.1068e-05i,0.00022756-0.00041092i,-0.00042528+6.082e-05i
0.0014152+0.0010566i,0.00098467+0.00035328i,0.0012884-0.0012525i,0.0011677-0.00077498i,0.0013448-0.00031606i,0.0012657+0.00030878i,0.00035118+0.0012593i,-0.00025442+0.00091514i,-0.00027432+0.0001468i,-0.0004987-0.00060348i,-0.0004253-0.0011533i,-0.00062647-0.0014511i,-0.0013045-0.0015751i,-0.00055166-0.0011259i,-0.00026883-0.00043494i,-0.0010218-0.00070344i,-0.00099002-0.00038125i,-0.00089647-2.5011e-05i,-0.00042208+0.00011712i,0.00012947+0.00072071i,-5.6318e-05+0.0003178i,-0.00058227-0.00019081i,-0.0011463+0.00032299i
0.00081753-0.00062798i,-0.00019101-0.00059755i,-0.00027874-0.00082738i,-0.00012999-0.0019628i,-0.0006178-0.0017584i,-0.00083762+0.0003967i,-3.173e-05+0.00086384i,0.00027698+0.00052154i,0.00027061+0.00039297i,0.00056349-0.00015635i,0.00034228-0.00065263i,-2.1216e-05-0.00068166i,-0.00071697-0.0010087i,-0.0011476-0.00087105i,-0.00040166+1.4092e-06i,6.6628e-05-4.627e-05i,0.00029482-0.00014637i,0.0005763-0.00013812i,0.00011355+0.00026407i,-0.00037741+0.00057311i,-0.00051186-0.00073741i,-0.00027745-0.00065735i,-0.00026382+0.00028054i
-0.0014192+0.0022553i,-0.0017609+0.0020987i,-0.0010447+0.0036569i,-0.00021968+0.0036656i,0.00035787+0.0025763i,0.00070553+0.0018349i,0.00057949+0.00085646i,0.00096439+0.00047496i,0.0010949+0.00054453i,0.00025411+0.00055087i,-4.1035e-05-3.8322e-05i,0.00041788-0.00065556i,-7.6441e-05+0.00012218i,-0.00058146+0.00070297i,-0.00032511+0.00041993i,-0.00032648+0.00071174i,4.9498e-05+0.0011401i,-0.00024019+0.00076041i,-0.00022779+0.0006528i,0.00035724+0.00045778i,0.00022544+6.8819e-06i,-0.00039915+0.00076719i,-0.00066363+0.0011171i
0.0007952+0.00026955i,-0.00025449+0.00092745i,-4.5737e-05+0.00027332i,0.0005221-0.00018627i,-0.00020215-0.00034088i,-0.0014476-0.00055918i,-0.0019235-0.00048906i,-0.00080584+0.00042422i,6.9975e-05+0.0008436i,-0.00023922-8.7656e-05i,0.00023972-0.00037342i,0.00032328-0.00050924i,0.00047991-0.001147i,0.00059962-0.00038355i,0.00054975+0.00034343i,0.00061471-0.00032858i,0.0008777-0.0010974i,0.0010047-0.0011435i,0.0007129-0.00044329i,0.0010639-0.00051091i,0.0012699-0.0006267i,0.0005443-0.00091136i,-1.6163e-05-0.0012195i
-0.00099168-0.0010296i,-0.0015296-0.0012518i,-0.0023555-0.0019758i,-0.00098099-0.001721i,0.00060462+0.00043189i,0.0010831+0.0019919i,0.00087977+0.00098387i,0.00070175+0.00035705i,0.0002083+0.00082691i,-0.00065532+0.00092652i,-0.0013884+0.00042994i,-0.00079917-0.00038874i,-0.00059023-0.00045169i,-0.00054813+6.7156e-05i,0.00016475+0.0007332i,0.00035596+0.00052588i,0.00026933+1.8006e-05i,0.00024171+0.00030834i,0.00027436+0.00020194i,-0.00026897+0.00030978i,-0.0006068+0.00027747i,-0.00016889-0.00019824i,-0.00025277-0.00014647i
0.00069899+4.6147e-05i,0.00044093-1.5503e-05i,0.00018464+0.00019689i,-0.00074754-0.00076331i,-0.0017677-0.00091054i,-0.0023807-0.00018889i,-0.0012713+0.0010096i,-0.00032101+0.0014969i,-0.00041637+0.00064532i,-0.00039458+0.00012986i,-0.00040073+0.00026185i,-0.001509-0.00033226i,-0.0012493-0.00039843i,7.4515e-05+0.00058151i,0.00014995+0.00039924i,0.0001989-0.00012276i,0.0003927-0.00015077i,7.4981e-05-0.00027809i,-8.9412e-06-0.00060543i,0.0002539+0.00023548i,0.00047914+0.00042526i,0.00019256-0.00051449i,0.00010257-0.00034816i
-3.0472e-05+0.0019205i,-0.00024756+0.00056622i,-0.00038445-9.5863e-05i,5.5652e-05+0.00049782i,0.00034113+0.0016005i,0.00024434+0.00080541i,0.00019387-0.00045422i,0.00025009+0.00061645i,0.00012244+0.0011388i,-0.00015469+0.00052617i,-0.00015767+3.2003e-05i,-6.7897e-05-0.00026537i,-3.928e-05-0.00049814i,-0.00048523-0.00043442i,-0.00089026-0.00014018i,-0.00094702-6.6402e-05i,-0.00065664-0.00039827i,-0.0008528-0.00040815i,-0.00068706-0.0001805i,-0.00012046-1.3082e-05i,0.00055892-0.00021896i,0.00057794-0.00022628i,-0.00028234-0.00038372i
0.0012484-0.0036021i,-0.00022702-0.0023485i,-0.00059176-0.0028584i,9.3233e-05-0.0020643i,-0.00044254+0.00011768i,-0.00026956+0.0015948i,0.00029501+0.0017077i,0.00050202+0.00076835i,-0.00024133-0.0006734i,-0.00097699-0.0012447i,-0.00085029-0.00096417i,-0.00077273-0.00048347i,-0.00098566-0.00010351i,-0.001214+7.8207e-05i,-0.00051249+5.0571e-05i,0.00035144+6.6062e-05i,0.0011868+0.00052019i,0.0016717+0.0007709i,0.00077658+0.00037553i,0.00039757-0.00044899i,0.000523-0.00045828i,0.00023708+3.8492e-05i,0.00023325+0.00026901i
0.00084861-0.0017091i,-0.00013628-0.0017528i,0.00076414-0.0026189i,0.00069846-0.0031713i,-0.00043454-0.0021161i,-0.00093943-8.3098e-06i,-0.00049276+0.0010688i,0.0002344+0.00072999i,0.00018368-0.00034032i,-0.00057596-0.001307i,-0.0011033-0.0013422i,-0.0015954-0.00056981i,-0.0019248-0.00017268i,-0.0012489-0.0003849i,-0.00089887-6.5468e-06i,-0.00052461-0.00010659i,0.00027825-0.00033128i,0.00024904+0.00015339i,0.00021926+0.00028099i,0.00035562+0.0005335i,-5.0509e-05+0.00086696i,-0.00093212+0.0013486i,-0.0010632+0.00083321i
-0.00037346-0.0003726i,-0.00090148+0.00011965i,-0.0014413+0.00069238i,-0.002031+0.00080282i,-0.0014753+0.00084271i,-0.00048592+0.001025i,-0.00059186+0.0017086i,-0.00034263+0.0020161i,8.6789e-05+0.0012406i,-0.00019801+0.00033389i,-0.00038009-0.00089947i,-0.00083228-0.0012505i,-0.00099237+1.7001e-05i,-0.00092146+0.00083482i,-0.00076542+0.00054766i,0.00013329+0.00030869i,0.00089805-0.00012629i,0.0014207-0.00074008i,0.0011196-0.0011736i,0.00073641-0.00051664i,0.00075832-0.0004882i,0.00055869-0.00052721i,-0.00016815-0.00065753i
0.0014313-7.0469e-05i,0.00080226+9.887e-05i,0.0011244+0.00042886i,0.00044327+0.0014694i,-0.00027296+0.0014693i,0.00031789+0.0011138i,0.0012061+0.0011228i,0.0011845+0.00073847i,0.00055002+0.00055107i,1.5243e-05+0.00019134i,-4.2005e-05-0.00041381i,-1.7581e-05-0.00063141i,-0.00048773-0.00075167i,-0.00051536-0.00066359i,0.00018551+1.639e-06i,0.00041304-4.9934e-05i,-2.181e-05-0.00014456i,-0.00046255+0.00037763i,-0.00033302+0.00057295i,0.00052131+0.00077079i,0.00048365+0.00059976i,-0.00021538-0.00036402i,-0.00012779-0.00087275i
0.0012388-0.0014829i,0.00029727-0.0021365i,-0.00048819-0.0026689i,-0.0013641-0.0023352i,-0.0016578-0.0016427i,-0.0011941-0.00060789i,-0.00083317+0.0015425i,-0.00092158+0.0019877i,-0.00072605+0.00048482i,-7.0907e-05-0.00063355i,0.00024313-0.0004926i,-0.00039188-0.00041432i,-0.00057355-0.00033325i,-0.00087789+0.00014773i,-0.00088814+0.00042693i,0.00038872+0.00097311i,0.0012396+0.0012684i,0.0016246+0.00097792i,0.0014182+0.00084154i,0.0007526-7.2131e-05i,-0.00011819-0.00092021i,-0.00045178-1.7456e-05i,-0.00026275+0.0005393i
0.00021844+0.00029151i,0.00019977+0.00035652i,-0.00053732-0.00016264i,9.0662e-05-0.00058432i,0.00044007-6.901e-05i,0.00043209+0.00038707i,0.00018113+0.00066898i,-6.3493e-05+0.00062439i,0.00054751-7.2233e-05i,0.00096839-0.00070017i,0.00070413-0.00085573i,-5.884e-05-0.0010336i,-0.00095259-0.0010596i,-0.0010709-0.0006988i,0.00010231-0.00087951i,0.00052017-0.00070446i,0.00012285-0.00023936i,-0.00012993+6.0627e-05i,-6.2031e-05+4.4344e-05i,-0.00012323-0.0001468i,1.3038e-05-0.00035086i,0.0011238-0.00073408i,0.0013247-5.6356e-05i
0.0022948+0.00072932i,0.0014001+1.7021e-05i,0.00049284+0.0012643i,-0.0005924+0.0011194i,-0.0010137+0.00016096i,-0.0010547+0.00071294i,-0.0010641+0.001424i,-0.00062385+0.00138i,-0.00034507+0.00065684i,-0.00018173+0.00022066i,-0.00030283-0.00033234i,-0.00029445-0.00076489i,-0.00025424-0.00028443i,-0.00042764+0.00019064i,-1.0945e-05-8.1509e-05i,0.00013861+0.00013998i,0.00041394+0.00046789i,0.0011155+0.00031023i,0.001484+0.00033188i,0.0014824+0.00064141i,0.0014866+0.00055487i,0.0011799+0.00022738i,0.00036291+0.00036604i
-0.0017719-0.0020889i,-0.0013175-0.0013686i,-0.0016686-0.00072974i,-0.0018927-1.5122e-05i,-0.00074821+0.0011763i,0.00083151+0.0015484i,0.00059264+0.0011121i,-0.00029281+0.0010402i,0.00016472+0.0015632i,0.00071242+0.00074379i,-0.00037044-0.00022866i,-0.0011068-0.00073262i,-0.00091476-0.000566i,-0.00031945-8.4712e-05i,0.00051736+0.00025676i,0.00036745+0.00091776i,0.00015099+0.00064852i,0.0006388-0.00034598i,0.00040176-0.00058288i,-0.00055992-0.00018353i,-0.0011943-2.4979e-05i,-0.00096298+0.00033889i,-0.0012704+0.0002317i
0.00062289+0.0008632i,0.00013716+0.00045i,-7.2182e-05-0.00027995i,-7.0955e-05-0.00068303i,-5.0821e-05-0.00013454i,5.1664e-05+0.00048125i,-0.00025531+6.3868e-05i,-0.00083455-1.3077e-06i,-0.00049362-7.1411e-06i,0.00012811-0.000384i,-0.00033982-0.0010167i,-0.00076909-0.0011954i,-0.00067008-0.00035792i,-0.00076811-0.00021792i,-0.00047122-0.00052108i,0.00041025+4.1931e-05i,0.00040398+0.0008401i,0.00021542+0.00079569i,0.00033073+0.00012946i,-6.5059e-05-0.00016982i,-0.00037158-0.00035487i,-0.00017805-8.3378e-05i,-0.00011905+0.00022321i
-0.00016748-0.00033959i,-2.5415e-05-0.00087997i,-0.00012261-0.00045312i,-0.00069738+0.00058423i,-0.00041379+0.00089429i,8.4412e-05+0.00095031i,-6.2943e-05+0.0012152i,-0.00051194+0.00083152i,-0.00065217+0.00024772i,1.7385e-06-0.00028629i,9.7608e-05-0.00071487i,-0.0010319-0.00024272i,-0.001236-0.00046792i,-0.00083641-0.00098243i,-0.00027431-0.00030301i,0.00079955+0.00032699i,0.001085+0.00043021i,6.7134e-05+0.00031867i,-0.00080103+0.00071112i,-0.00048721+0.00055344i,-9.8067e-06-3.3245e-05i,-3.1492e-05-0.00066219i,-0.00041624-0.0001326i
-0.00020753-0.0014276i,-0.0013002-0.000715i,-0.001794-0.00028808i,-0.00071963+0.00064956i,0.00074228+0.001312i,0.0010641+0.00072301i,0.00012608+0.00038062i,-0.0004179+0.00033915i,-0.00058305+0.00018325i,-0.00074892-0.00046168i,-0.00093608-0.00066232i,-0.00018678-0.00063725i,-0.0006599-0.00026674i,-0.0012878+0.00019451i,-0.00023913-0.00025965i,0.00048654-0.00017529i,0.0012833+0.00081521i,0.0013699+0.0013368i,0.0013928+0.0012342i,0.0013527+0.0010629i,0.0006598+0.00083001i,-2.7071e-05+0.00038518i,-0.00050086-6.7703e-05i
-0.00090852-5.955e-05i,-0.00094229-0.00015167i,-0.0013309+0.00037786i,-0.0025755+0.0012381i,-0.0032726+0.0019258i,-0.0019819+0.0013488i,-0.00027473+0.0005117i,0.00086154+0.00063405i,0.00084771+0.0011454i,0.00059507+0.00047401i,0.0003981-0.00096691i,-0.00080717-0.0015124i,-0.00067904-0.00063153i,0.00020049+0.00036229i,0.00055445+0.00019886i,0.00035848+9.5093e-05i,-0.00010317-0.00010771i,0.00032002-0.00085359i,0.00022288-0.0012101i,4.3228e-06-0.00043079i,-0.00046948+0.00056771i,-0.00048072+4.1984e-05i,-8.9311e-05-0.00077369i
0.0012512+0.00071545i,0.00078361-0.00057678i,0.0011616-0.00013477i,0.00053614-0.00010457i,0.00029082-0.00030767i,0.00040388-9.6881e-05i,-0.00010108+0.00019649i,-0.00096323+0.0005618i,-0.00090723+0.00039041i,-0.00050287+1.7228e-05i,0.00021892-0.00059531i,0.00029232-0.00071963i,-0.00066848-0.00036182i,-0.0014964-0.00016876i,-0.0013034+0.00022362i,-7.6671e-05+9.0856e-05i,0.0008307+0.00031472i,0.00062272+0.00070195i,0.00039517+0.00092133i,0.00074331+0.0016373i,0.00032306+0.0013742i,-0.00027923+0.00074676i,-4.1869e-06+0.00060626i
0.0027797-1.8382e-05i,0.0014771-0.00036568i,0.0016041-0.0012953i,0.0011422-0.0019903i,0.00036559-0.0016942i,-6.3876e-05-0.00021963i,-0.00014453+0.001249i,0.00056186+0.00153i,0.0012322+0.0011764i,0.0005229+0.00012147i,-0.00094605-0.0014771i,-0.00076102-0.0016848i,-0.00018099-0.00084954i,-0.00044384-2.975e-05i,-0.00081146-0.00029942i,-0.00044263-0.00078191i,0.00019163-0.00038364i,0.00046007-0.00040824i,-1.7743e-05-0.0001677i,0.00010394+0.00057908i,0.00055539+0.00089208i,-0.00066514+0.0012459i,-0.0014509+0.00095045i
9.2664e-05+0.0011551i,0.00028227+0.00051048i,0.00094389+0.0015371i,0.00062294+0.0023477i,0.00016276+0.0027489i,0.00011425+0.001467i,-0.0003499-0.00033128i,-0.00058142-0.00063497i,-8.5292e-05-6.6167e-05i,0.00027167-0.00046248i,-0.00034545-0.00054332i,-0.00045393-0.00014435i,6.4208e-05-0.0004872i,0.00051864-0.00030898i,0.00034365-0.0001545i,0.00039453-0.00050517i,0.00012405-0.00020349i,-0.00052435+0.00064203i,2.3161e-05+0.00077637i,0.0008025+0.00019194i,0.0010548+4.0997e-05i,0.00023544+0.00014607i,-0.00046264-0.00033616i
-0.00073309-0.00049792i,-0.0012447+0.00042311i,-0.001492+0.0012736i,-0.0013734+0.0015314i,-0.0011815+0.0015958i,-0.0011469+0.0016872i,-0.001198+0.00084985i,-0.0014856-0.00012649i,-0.00079593-0.00015698i,-0.00078574+0.00015598i,-0.0014554-0.00015394i,-0.0012878-0.00029822i,-0.0010462-0.00055609i,-0.00055181-0.00020138i,0.00068684-1.42e-05i,0.0010721-0.0003361i,0.00041196-0.00039214i,0.00014816-0.00047355i,0.0002004-0.00029378i,0.00032833-0.00017731i,5.8043e-05-0.00042464i,0.00017746-0.00056511i,0.00015433-0.0001106i
0.0010647-0.0015231i,0.0003537-0.0020926i,0.00044452-0.0025392i,0.00074992-0.0011964i,0.00026633+0.00047745i,-0.00058679+0.0016588i,-0.00070258+0.0025139i,-0.0006585+0.0016522i,-0.00051128+0.0006538i,-1.6887e-06+7.681e-05i,-0.00056042-0.00061959i,-0.0015868-0.000341i,-0.0016691+3.3534e-05i,-0.0011288+0.00059802i,-0.00067701+0.00096207i,-4.59e-05+0.0012379i,0.00040458+0.0010718i,0.00040444+0.00066144i,0.00049454+0.00038007i,0.00051667+0.00040564i,-0.00040613+0.00058661i,-0.00077386+0.00033814i,-0.00031563-0.00044908i
-0.0017225-0.00030874i,-0.0017125+0.00035106i,-0.0015617+0.0011418i,-0.0010514+0.0014525i,-0.0011916+0.0018569i,-0.00030449+0.0018784i,0.00010739+0.00083542i,-0.00038556+0.00096489i,0.00013695+0.0013337i,0.00067008+0.00056407i,0.00042056-0.00036602i,0.00026063-0.00073319i,-0.00038806-0.00080263i,-0.0010365-0.00055372i,-0.0011303+0.00022085i,-0.0011034-0.00012283i,-0.00067993-0.00097408i,-0.00034158-0.00068797i,2.5696e-05+0.0002103i,4.8175e-05+0.00015319i,7.1579e-05-2.2923e-05i,0.00028554+4.8715e-05i,0.00025063-0.00062332i
0.00025636+0.0014153i,0.0003291+0.00021852i,5.3885e-05+0.00026406i,-0.00070704+0.0023405i,-0.00027272+0.0028285i,0.00036921+0.0015728i,-7.851e-05+0.00070636i,-0.00067689+0.00042686i,-0.00029738+0.00077387i,0.00012648+0.00045533i,-0.00045112-0.00054079i,-0.00056198-0.00070486i,-0.00054933+0.00054148i,-0.00078165+0.0008652i,-0.0009009+0.0007886i,-0.00045345+0.00080419i,-0.0003584+0.00045251i,-0.00053106+6.8998e-05i,-0.00018355+0.00057491i,-0.00011914+0.00072038i,-0.00028337+1.8982e-06i,-0.0002347-0.00013984i,-0.00038281-0.00047224i
0.0005092-0.0014716i,1.6909e-05-0.0010225i,0.0002078-0.0018512i,0.00039981-0.0016834i,-0.00048053+0.00089644i,-0.00091429+0.0026352i,-2.9145e-05+0.0019336i,0.0001121+0.00044735i,-0.00014891-0.00042372i,-0.00023113-0.0003514i,-0.00056173+0.00050304i,-0.0012468+0.00088018i,-0.001331+0.00074293i,-0.00086015+0.00068824i,-0.00056587-0.00024662i,-0.00032683-0.00063921i,0.00021002-0.0001057i,0.00058929-0.0001589i,0.00086191-0.00051074i,0.00032362-0.00065351i,-6.3412e-05-0.00081685i,0.00031572-0.00072448i,0.00029901-0.00070306i
-0.00091999+0.00077044i,-0.00078707+0.00053587i,-0.00091084+0.00015481i,-0.0011118+0.00028143i,-0.00066464+0.00051578i,-0.00030607+0.0002049i,-0.00044327-0.00066792i,-0.00021408-0.0010671i,-0.00066253-0.00087585i,-0.00050642-0.0011699i,-0.00019381-0.0010987i,-0.00052864-0.00047743i,-0.0011739+0.00030612i,-0.001341+0.00085406i,-0.00097048+0.00063036i,-0.00068063+5.7161e-05i,-0.00057181+0.00019778i,-0.00023912+0.00068792i,-3.5591e-05+0.00078752i,-0.00017484+0.00046184i,-0.00058931-0.00074172i,-0.0009821-0.00027865i,-0.00091406+0.00064526i
-0.0030961-0.00091563i,-0.0036901-0.00021937i,-0.0039609+0.0019658i,-0.002538+0.003567i,-0.0013553+0.0030879i,-0.00022546+0.0013615i,0.00080005+0.00033808i,0.00067228+0.00065284i,0.00046468+0.00078953i,3.9265e-05+0.00070179i,-0.00033901+0.0002149i,-0.00045306+0.00046043i,-0.00039492+0.00090905i,-0.00041284+0.0013893i,-0.00022703+0.0010531i,8.3094e-05+0.00027948i,0.00079201+7.3181e-05i,0.0010373-6.5824e-05i,0.00062154+0.00012199i,-0.00026412+0.00011934i,-0.00098416-0.000605i,-0.00084205-2.1108e-05i,3.5005e-05+0.00072799i
-0.0010348-0.001682i,-0.0020878-0.00079684i,-0.0028708-0.0010094i,-0.0025824-0.00060155i,-0.0010628+0.00028392i,0.00043881+0.00092429i,7.6523e-05+0.00095235i,-0.00049705-8.5211e-05i,-0.00030614-0.00069274i,-0.00013102-0.00073754i,-0.00048365-0.00083905i,-0.00094715+0.00010468i,-0.0016271+0.00074607i,-0.0016774+0.00061932i,-0.001139+0.00055764i,-0.00048693+0.0004188i,0.00064685+0.00022178i,0.0010411-5.4439e-05i,0.00071403+0.00039693i,0.0002797+0.00023629i,6.1091e-05-0.00013195i,-0.00076825+1.8366e-05i,-0.0008037-0.00055458i
0.0018571-0.0017512i,0.0016905-0.0017484i,0.0015187-0.001573i,0.00021578-0.0006643i,-0.00096314+0.00089476i,-0.0010118+0.0016865i,-0.00033076+0.0019737i,-2.2447e-05+0.0018974i,-6.3784e-05+0.00062379i,0.00091348-0.00057026i,0.0010727-0.00058262i,-0.0001552-0.00070741i,-0.00070542-0.0011126i,-0.00079031-0.00045647i,-0.00021685+0.00014869i,0.00029114-7.5166e-05i,-1.8729e-05-0.00013324i,-4.6156e-05+0.00011997i,0.00037044+0.00020894i,-7.8878e-05+0.00037163i,-0.00011281+0.00046481i,-0.00012881+0.00033399i,-0.00078027+0.00025387i
-1.0663e-05-9.8437e-05i,0.00030078+0.00019482i,0.00014004+0.00062139i,0.00073784+0.00015484i,0.0010842-0.00011453i,0.00024755+0.00021157i,-0.00067897+2.833e-05i,-0.0018352+0.0002781i,-0.0017981+0.00010841i,-0.00058018-0.00030415i,-0.00025968-0.00099436i,-0.0007005-0.0014605i,-0.0011143-0.00084978i,-0.0013765-0.00038651i,-0.0010448-0.00015144i,1.2364e-07-9.9739e-05i,0.0005714-0.00034205i,-0.00046719-0.0009567i,-0.00091454-0.00092817i,-4.7906e-06-0.00043096i,0.00048177-0.00037996i,0.00019745-0.00038894i,-0.00043348+2.0036e-05i
0.00033582+0.00034534i,-0.00057773-0.00043921i,-0.00049223-0.00017252i,-0.00064888+0.00048383i,-0.00069469+0.0013565i,-0.00020416+0.0020715i,-9.034e-05+0.0020355i,0.00022867+0.0021354i,8.3839e-05+0.001126i,-0.00033705+0.00017348i,-0.00053921-0.00016265i,-0.0010851-0.00084709i,-0.00072448-0.0010966i,0.00034082-2.6067e-05i,0.00079667+0.00041856i,0.00064384-0.00021427i,-8.2078e-05-0.00026588i,-2.7852e-05+0.00050709i,0.00046053+0.00093956i,0.00089604+0.00044148i,0.00072116-0.00024225i,4.8521e-06-0.0007212i,-0.00015048-0.00050849i
3.1114e-05-0.0002519i,0.00018551+0.00029121i,-9.9814e-05+0.00038772i,6.5386e-05+0.00063297i,3.6756e-06+0.00096722i,0.00030652+0.00059391i,0.00037119+0.00031132i,-0.00037428+0.0011539i,-0.00036723+0.00065481i,-0.00037933-0.00020369i,-0.00095611-0.00044507i,-0.00093472-0.00061767i,-0.00053298-0.0005686i,-8.8784e-06+7.2616e-05i,0.00014627+0.00029615i,0.0002598+0.00044832i,0.00065385+0.00058415i,0.00027996+0.00020872i,5.6626e-05+0.00014884i,0.00015137+0.00058877i,2.2793e-05+0.00069241i,-0.00036844+0.00066912i,-0.00067147+0.00065761i
