0.00068784+0.00057352i,0.001285+0.00064123i,0.0012899-0.0008579i,0.00035188-0.0021233i,-0.00049157-0.0032268i,-0.00044069-0.0026223i,-0.00080576-0.00092567i,-0.00030188+0.00023138i,0.0006767+0.0012886i,0.0013202+0.00063026i,0.0012115-0.0005157i,4.1142e-05-0.00036517i,-0.00038372+0.0003593i,-0.00059481+0.0010226i,-0.00062305+0.00031357i,-0.00014855-0.00036249i,-0.00029879-0.00027927i,-0.00013909+1.4029e-05i,0.00052078-3.1244e-06i,0.00050869-0.00016602i,-0.00011861-0.00038225i,-1.6262e-05-0.00041522i,0.00044738-0.00010244i
-0.00091201+0.00035291i,0.00015402+0.00013093i,0.00081434+0.00038511i,0.0012154+0.0012472i,0.0014998+0.00071301i,0.00069133-0.00048263i,-0.00042476-0.0006117i,-0.00045359-0.00072451i,0.00034357-0.00079815i,0.00037121+0.00018814i,0.00059979+0.00074642i,0.00070839+0.00034077i,0.00044448-0.00018578i,2.1823e-05-0.00032691i,-0.00051629-0.0006442i,-0.00027248-0.00062206i,0.00015573-0.00024729i,0.00050982+0.00041187i,0.00082563-0.00030908i,0.0012323-0.00089661i,0.0006895+0.00015912i,8.2204e-05+0.00055268i,0.00048016+0.000143i
-0.00073268-0.00061094i,-0.00071119+0.00019553i,0.00018383+0.00056598i,0.0018622+0.00023701i,0.0026328-0.00075542i,0.0027707-0.00091236i,0.0017302-7.4049e-05i,0.00023715+0.00018781i,-0.00080917+0.00021828i,-0.0011513+0.00014378i,-0.0006872+9.2523e-05i,-0.00039146-0.00021081i,-0.00026917-0.00023974i,-2.713e-05+2.2351e-05i,-0.00013853+0.00063191i,-0.00093531+0.0013598i,-0.00047523+0.00075623i,8.0619e-05+0.00012011i,0.00019992+4.2353e-05i,0.00028496-7.1363e-07i,-2.7577e-05+0.00035207i,-0.00063539+0.00055198i,-0.00089429+2.6477e-05i
-0.00027983-0.00076548i,-0.00045257-0.0006044i,-0.00081729-0.00077278i,-0.00037364-0.00021039i,0.0012312-2.9277e-05i,0.0023118-0.0004599i,0.00091142-0.00022406i,-5.5292e-05+0.0001076i,-3.5602e-05+0.00069296i,8.8598e-05+0.00013192i,-0.00013872-0.00056632i,-0.00074788-0.00017357i,-0.00088564-0.00011213i,-0.00019055-0.00021212i,4.1399e-05+3.2067e-05i,-0.00028524+0.00015783i,0.00012658+0.00019929i,0.00044326+9.8103e-05i,0.00030356-0.00021321i,0.00061513-0.00080972i,0.00073187-0.00066666i,3.1772e-05+0.00028135i,-0.00019625+0.00050976i
0.0013145-0.00084238i,0.0013884+0.00083764i,0.000409+0.0010325i,0.00022438+0.00042437i,0.00068467-0.00022908i,0.00092083-0.00052059i,0.00071349-0.00082585i,-0.00015513-0.00066437i,-0.00054987+0.0007873i,0.00055285+0.0012991i,0.00094658-0.00013355i,-0.00024943-0.00023556i,4.3271e-05+0.00041118i,0.00039844+0.00032328i,-0.00013442+0.00051549i,0.0002695+0.00084397i,0.00083212+0.0010508i,0.0012737-0.00020398i,0.00085931-0.00084831i,0.00065961-0.00022858i,0.0011334-0.00041643i,0.00052899-0.00082215i,0.0001263-0.00064367i
0.00027993-0.001289i,0.00012422-0.00031278i,0.00073263-0.00068435i,0.002386-0.0021177i,0.0025485-0.0033235i,0.0013064-0.0033621i,0.0011788-0.0014788i,0.00063931+7.541e-05i,-0.00055902+0.00020254i,-0.0012129+8.4847e-05i,-0.00070723-0.00029314i,-0.0003111-0.0007706i,-0.00023409-0.00032313i,0.00056591+0.00053678i,0.00078115+0.00030893i,0.00056593-0.0006682i,0.000583-0.0006596i,0.00022246-0.00041313i,0.00046136+0.0001409i,0.0012731+0.00050199i,0.00070654+0.00023804i,-0.00022+0.00064359i,-0.00029369+0.00041862i
-0.0010339+0.0011469i,-0.00059611+0.00094429i,-0.00017751+0.0012342i,0.00066816+0.0010116i,0.0020395+0.00042138i,0.0018739-0.0006246i,0.00014133-0.00088123i,-0.00040596-3.3149e-05i,6.7451e-05+0.0012264i,2.7137e-05+0.0013649i,-0.0004635+0.00053051i,-0.00038149+0.00028047i,-0.0002344+0.00018917i,-0.00040049+3.3702e-06i,-0.00031234+0.00031943i,7.4143e-05+0.00021439i,-3.1658e-05-0.00013312i,-0.00022529-0.00014928i,0.00015951+6.7185e-05i,0.00067259+0.00025703i,0.0013288+0.00036436i,0.00097216+0.0003603i,0.00043465+0.00011149i
0.00082859-0.00015715i,0.00047817-3.9328e-05i,0.00086838+0.00054763i,0.0015822+0.00041956i,0.0017869-0.00062368i,0.0016413-0.0014045i,0.0010176-0.00083329i,-3.1446e-05-0.00018223i,0.0004888+9.5736e-05i,0.00074312+0.0003929i,0.00058668+0.00044197i,0.00045847+0.00030337i,-0.00012828-0.00023288i,6.9276e-05-0.00065069i,0.00049851-0.00065755i,7.9515e-05+2.4172e-07i,0.00027863+0.00046827i,0.00078425+0.00019333i,0.00094501+0.00025229i,0.00074691+0.00029796i,0.00047182+0.00028222i,-7.3645e-05+0.00024549i,-0.00055796-0.0001136i
-0.0023932+0.00065451i,-0.00166-0.00039874i,-0.00049088-0.00049917i,0.0014853-0.00021974i,0.0030544-0.001398i,0.0024471-0.0021239i,0.00074236-0.00073288i,-0.00032308+0.00084052i,-0.00081897+0.0014124i,-0.0013451+0.0010857i,-0.0013208+7.2469e-05i,-0.00065887-0.00070543i,0.00013868-0.00031345i,-1.5543e-05+0.00042604i,-0.00042744+0.00023074i,-0.0001461-2.9025e-05i,0.00038178+8.4326e-05i,0.0011592+0.00034711i,0.001153+7.6752e-05i,0.00050987-0.00017584i,-0.00012682+0.00036469i,-0.000482+0.00037547i,-0.00028366-6.427e-05i
-0.0018632+0.00021491i,-0.0003295+0.00071733i,0.00068483+0.0013783i,0.0015203+0.00024812i,0.0024571-0.0013171i,0.0022702-0.0028995i,0.0011389-0.002684i,0.00013941-0.00064954i,-0.0002623+0.00050689i,0.00071411+0.00066388i,0.00083434+0.0004554i,-0.00013716+0.00019682i,-0.00089666+8.3287e-05i,-0.0012807+0.00021209i,-0.0010681+0.00041408i,-0.00048234+0.00031362i,-8.5884e-05+0.00030019i,0.00022087-3.2668e-05i,-3.8527e-05-0.00039958i,-0.0001593-0.00054086i,-0.00028746-0.00073842i,9.6542e-05-0.00088956i,0.00087019-0.00084278i
-7.3305e-06-7.945e-05i,0.0008103-0.0007775i,0.0011966-0.00013266i,0.0014963+0.0011461i,0.0019062+0.00053714i,0.0018469-0.000746i,0.00094229-0.0013683i,-0.00010582-0.00079159i,-0.00078179+0.00063976i,0.00021469+0.00034892i,0.0012438-0.00033459i,0.00047109+0.000506i,-0.00019162+0.0011435i,-9.2608e-05+0.00046211i,0.00061159-1.2971e-05i,0.0010316+0.00056765i,0.0008436+0.00083863i,0.00031871+0.00027622i,1.8046e-05-0.0002408i,0.0003926+8.9388e-05i,7.3988e-05+0.00054292i,-0.00028749+0.0003222i,5.2166e-07-0.0003041i
-0.00019936-0.0013205i,4.0854e-05-0.00066357i,-0.00044455-0.00061276i,-0.00050693-9.2976e-05i,0.00030811+0.00028416i,0.00091607+0.00042866i,0.0003147+0.00036122i,-0.00061388-0.0002559i,-0.00072725-0.00031957i,-0.00013537-0.00021679i,-0.0002448-0.00023619i,-0.00020624-9.0497e-05i,0.00059347-0.00028858i,0.00077325-0.00081809i,-1.5642e-05-0.00090822i,-0.0002173-0.00094583i,0.0003688-0.00027845i,0.00068469+0.00021879i,0.00070647-0.00040029i,0.00019432-0.00068033i,-0.00040849-0.00046747i,-0.00040192+7.409e-05i,-0.00050433+0.00048062i
-0.00084065+9.7772e-05i,7.5163e-05-0.00011942i,0.0010994-0.00056365i,0.0023585-0.00074645i,0.0033779-0.0013641i,0.0022717-0.0019836i,0.00019816-0.0010279i,-0.00042356+0.00079955i,-0.0007554+0.0011182i,-0.00061698+0.00022673i,0.0001815-0.00050522i,0.00011061-0.00067826i,-0.00015435-0.00052597i,0.00014605-0.00019976i,0.00046743+0.00071759i,0.00060579+0.00095514i,0.0006293+0.00029109i,-4.0317e-05+9.8219e-05i,-0.00089814-7.2496e-07i,-0.0008725-0.00054478i,-0.0003991-0.00014761i,-7.1292e-05+0.00043541i,-1.3487e-05+0.00024257i
0.00095895-0.0010123i,0.00055994-0.00056154i,-0.00018406+0.00013004i,-7.3684e-05-0.00083665i,0.00022721-0.0022582i,-0.000147-0.0024296i,-0.00054749-0.001568i,-0.00092588-0.00066435i,-0.0011746-7.5572e-05i,-0.0012988-8.068e-05i,-0.00080611-0.00025006i,-0.00055975+0.00015146i,-0.00073948+0.00038051i,-0.00049279+0.00046595i,0.00016012+0.00073665i,0.00067086+0.00055203i,0.00042148+0.00050345i,0.0003764+0.00033002i,0.00090516-6.9374e-05i,0.00099063-0.00020006i,0.00092815-0.00061989i,0.00045249-0.00099065i,-0.00047193-0.00083636i
-0.00058795-0.0012678i,0.0003234-0.00094925i,0.0013046+0.00019197i,0.0027156+0.00037075i,0.003815-0.00061357i,0.0029768-0.0011885i,0.0012456-0.0011i,-0.00045809-0.00088436i,-0.00064257-0.0004403i,-7.9045e-06-0.00014429i,0.00038033-0.00027089i,0.00083779-0.00023046i,0.00084035+2.5723e-05i,0.0003401-0.00016195i,0.00013209-0.00045493i,0.00033617-0.0011161i,0.00063065-0.0013223i,0.0011889-0.00064736i,0.0010616-0.00078816i,0.00049339-0.0017396i,-2.5281e-05-0.0018345i,-0.00044327-0.00071575i,-0.00085431+0.00014876i
6.0103e-05-0.00040813i,0.00026922-0.00062075i,-0.00023367-0.00055265i,-0.0007065-0.00037293i,-0.0010111-0.00079628i,-0.00035304-0.0011333i,0.00035023-0.00034478i,0.00020585+0.00014349i,-0.00062942+0.00048687i,-0.00081788+0.00068456i,-0.00025292+0.00053117i,0.00031644+0.00081044i,0.00029143+0.00042934i,9.8781e-05-0.00022651i,-0.0002159+0.00037362i,0.00029129+0.00042624i,0.00073174+0.00037865i,-0.0001511+0.00020914i,-0.00048858+8.9707e-05i,0.00016032+0.00039505i,0.00023672+8.8133e-05i,3.1447e-05-0.00025109i,-6.1152e-05-0.00022707i
0.00030757-0.0028034i,0.001002-0.0017807i,0.0016432-0.001182i,0.0026177-0.0015809i,0.00321-0.0017586i,0.0028807-0.0017568i,0.0017849-0.0019571i,0.00060932-0.0013096i,0.00021396-0.00024272i,0.00063273+0.00066647i,0.00080982+0.00035283i,1.7302e-05-0.00020098i,-0.00019064-8.8889e-05i,0.00061713-0.00041351i,0.00048576-0.0002573i,-0.00048895+0.00027285i,-0.00023651+0.00071316i,0.00041034+0.00016263i,0.00052767-0.00068984i,0.00047085-0.00067966i,0.00047643-0.0007277i,0.00035595-0.00068093i,-0.00023049-0.00059374i
-0.0002779-0.0002543i,0.00040108+0.00030728i,-0.00055776-0.00010533i,-0.0010887-0.00084949i,-0.00024068-0.00087942i,0.00086173-0.00024745i,0.0011324-0.00021028i,0.00023069-0.00044409i,-0.00057495-0.00016398i,-3.0865e-05+0.00030839i,0.00068422-0.0001131i,0.0010283-5.0376e-05i,0.000554+0.00032297i,-2.3308e-05+0.00023838i,0.00015425+2.2358e-05i,0.00047187-4.7913e-05i,-2.0657e-05+0.00029231i,-0.0010714+0.00061203i,-0.0012874+0.00052462i,-0.00036881+0.00021155i,0.00013141-0.00061648i,0.00045115-0.00058355i,0.0011438+0.00019354i
0.0013663+0.00061617i,0.00091455+0.00093395i,0.0018455+0.00075723i,0.0031806+0.00036789i,0.0038402-0.00047363i,0.0023735-0.00076638i,0.00021822+0.00031799i,1.1695e-05+0.00075939i,0.00083542+0.00056328i,0.00090151+0.00034367i,0.00050428+0.00024836i,-0.00069532+0.00059925i,-0.00071536+0.00077401i,-0.00012378+0.00088991i,4.0041e-05+0.00081447i,0.00045927+0.00027067i,0.00066077-0.00036025i,0.00087289-0.0001267i,0.00096196-0.00020792i,0.0010875-0.00020236i,0.00074511+0.00024223i,0.00023028-0.00020353i,-0.0003484-0.0005788i
-1.6816e-05+0.00026083i,0.0001671+3.59e-05i,0.00099927-0.00027728i,0.0021789-0.00074122i,0.0020712-0.0012059i,0.0014353-0.0014104i,0.0016481-0.0012145i,0.00057555-0.00072587i,-0.00057245-0.00038107i,-0.00018677+0.00025235i,-3.2679e-05+0.00033054i,-0.00029883-0.00030383i,-0.00034671-0.00026832i,-0.00015171-0.00014146i,0.0002366+0.00015149i,0.00046474+0.00082328i,0.00065106+0.00069575i,0.00090654-0.00019013i,0.00078609-0.00051998i,0.00042531-0.00039223i,0.00091618-0.00065834i,0.00098955-0.00093572i,0.00075119-0.00061479i
0.00079713+0.00073111i,0.00020274-0.0001587i,0.00096914-0.00034242i,0.0017963-0.00019711i,0.0019537-0.001971i,0.00075927-0.0040696i,-0.00020032-0.0031537i,0.00022394-0.0011022i,0.00090184-0.00010023i,0.0014676+0.00049211i,0.0011495+0.00048216i,-0.00022778-0.00052629i,-0.00098312-0.00060305i,-1.1855e-05+0.00010082i,0.00077839+0.00039695i,0.00083903-7.6409e-05i,0.00052705-9.7421e-05i,-0.00014574+0.00023488i,-0.00073739-0.00027142i,-0.00045139-0.00026505i,-0.00027926+0.00031398i,-4.5519e-05+1.3441e-05i,0.00043035-0.00071535i
0.0010837-0.0020169i,-0.00013502-0.001759i,9.4918e-05-0.00080882i,0.0018495-0.00040529i,0.0031867-0.001431i,0.0023613-0.0012685i,0.0004423-0.00016015i,-0.0005314+0.00024408i,-0.00067817+0.0017379i,-0.00012894+0.0017166i,0.00035148+0.00041634i,0.00055419+0.00016533i,0.00065813+0.00029842i,0.00077887-0.00011378i,0.00069053-0.00059301i,0.0001529-0.00065509i,0.00032858-0.00035771i,0.000441-0.00069098i,0.00073433-0.0017051i,0.00062907-0.0018583i,0.0002934-0.00084953i,0.00045985-2.0384e-05i,0.00029372-0.00055898i
0.0012003-0.00040988i,0.00053187-0.00029021i,0.0011928-0.00033476i,0.0021135-0.00067945i,0.0017164-0.0010659i,0.0013027-0.0020255i,0.00066949-0.0013628i,-0.0002601-5.4927e-06i,-0.00037688+0.00064585i,0.00042352+0.00021304i,0.00079651-0.00065564i,-9.4643e-05-0.0006196i,-0.00075207-0.00046419i,-0.00083384-0.00054262i,-0.00042976-0.00068541i,-0.00052629-0.00020649i,-0.00048554-0.00045713i,0.00013795-0.00044037i,-0.00038281+0.00038606i,-0.0010685+0.00022616i,-0.00096107+0.00010782i,0.00019507+0.00020069i,0.00088171+0.00073821i
-0.0011218-0.00077673i,-0.00052651+3.3274e-05i,8.512e-05+0.00066239i,0.0013553+0.0011657i,0.0026303+0.00095507i,0.0026794-0.00038168i,0.0015818-0.0019081i,0.00021061-0.0017404i,-0.00014908-0.00024288i,-6.5421e-05+0.00060557i,0.00033816-0.00018961i,0.0001261-0.00078447i,3.2592e-05-0.00017689i,0.00093731+0.00060567i,0.0010538+0.00047048i,0.00030694+0.00029765i,-0.0001459+0.00025808i,-0.0001066-0.00038039i,0.00042302-0.00037212i,0.00052458-0.00033376i,0.00037036-0.00033325i,0.00025106-0.00011714i,-0.00060144-0.00030887i
-0.00092752+0.00012891i,-0.00039327+0.00027566i,0.0011699+0.00081222i,0.0030121+0.0012405i,0.0040357+0.00068438i,0.0033714-0.00020609i,0.0016332+0.00046703i,0.00097668+0.0014885i,0.00075969+0.00071686i,0.00050109-0.0006722i,0.0005854-0.00059756i,-0.00029234+5.4377e-05i,-0.0009243+0.00052344i,-5.4634e-05+0.0004069i,9.869e-05+0.00068151i,0.00019563+0.0004406i,0.00093246-0.00016557i,0.00084405-0.00059998i,0.00081181-0.00091726i,0.00080526-0.00077862i,7.1539e-05-0.00057141i,-0.00079209-0.00011036i,-0.00042433+0.00020862i
-0.00057878+0.00087418i,-0.00074349-0.0005485i,0.00096346-0.0014666i,0.0019056-0.0018581i,0.0021702-0.0021672i,0.0021615-0.0025245i,0.00062594-0.0017728i,-0.00093355+0.00028826i,-0.00071967+0.0010609i,0.00013554+0.00083589i,9.529e-05+0.00012042i,-0.00023184-0.00014062i,-0.00031591+0.00026404i,8.4552e-05-0.0003333i,0.00067776-0.00056551i,0.00073017-0.0002415i,0.0010512-0.00016956i,0.00099886-0.0002181i,0.00044935-0.00033304i,0.00012115-0.00022823i,0.00026841-0.00015697i,0.00057172+2.3498e-05i,0.0006549+6.3049e-05i
