-0.0013048+0.00088825i,-0.00064091+0.00052809i,-0.0010839-4.057e-05i,-0.0018463+0.00034659i,-0.0031302+0.001185i,-0.0019728+0.001586i,-0.00062749+0.0015861i,-0.001358+0.0011388i,-0.0013129+0.0015636i,-0.00023635+0.0018269i,0.00025975+0.00054381i,-0.00030709-0.00017432i,-0.00093675-0.00011514i,-0.000472-0.00042636i,0.00017002+0.00013462i,6.4307e-05+0.00033934i,-0.00010138+0.00037848i,4.5184e-05+0.00037765i,0.00024781+0.0001315i,-0.00062034+0.00020201i,-0.00061026-0.00012844i,-0.00016844-0.00023325i,5.2804e-05+4.827e-05i
0.00071758+0.00096515i,0.00022358-0.00030602i,-0.00052003-0.0023013i,-0.0022766-0.0022468i,-0.0037268-0.00092638i,-0.0028546+0.00023295i,-0.00054243+0.0017873i,-0.00010394+0.0025823i,-0.00078238+0.0016533i,-0.00033418+0.00090778i,-0.00033542+0.0003299i,-0.00054172-5.911e-05i,0.00065917+0.00098288i,0.0017085+0.0014144i,0.0016903+0.00063446i,0.00081284+0.00045657i,7.8555e-06+0.0010349i,0.00042452+0.00035642i,0.0011482-0.00049692i,0.00053199-0.00065308i,-0.00055514-0.00071118i,-0.00074039-0.00087049i,4.4031e-05-0.00035805i
0.0010308-0.0037781i,-0.0009941-0.0026321i,-0.0025576-0.0014791i,-0.0031264-0.0010417i,-0.0030091-0.00025685i,-0.00085394+0.0014223i,0.00060459+0.0017653i,-0.00042579+0.00069288i,-0.0020787+0.00094573i,-0.0021935+0.0016558i,-0.00077088+0.0010592i,-0.00027703+0.00088615i,-0.00034715+0.0014552i,0.00085764+0.00094437i,0.0016172-0.00010833i,0.0013293-0.00021642i,0.00068854+0.0005042i,-0.00026771+0.00022004i,-0.00050178-0.00076403i,-8.8168e-05-0.00032659i,-8.995e-05+0.00077989i,0.00016329+0.0008517i,2.0547e-05+0.00046284i
0.0007968-0.0003972i,0.0011087-0.0014579i,0.00064447-0.0021473i,-0.0021928-0.0023565i,-0.0039203-0.0015137i,-0.0031522+0.00044122i,-0.0014208+0.0014969i,-0.00026238+0.0010456i,-0.0011301+0.00094322i,-0.0018158+0.0005943i,-0.0014285-4.3973e-05i,-0.0010986+0.00023144i,-0.0010945+0.001226i,-8.2683e-05+0.0017043i,0.00032529+0.0014596i,0.00024846+0.0010424i,7.4713e-05-0.00036211i,0.00025434-0.0014412i,0.00053715-0.00066156i,0.00094756-0.00024916i,6.1807e-05-0.00037946i,-0.00097914+7.4118e-05i,-0.00034851+0.00054674i
-0.0015142+0.00061663i,-0.0011083+0.0018431i,-0.00093892+0.00333i,-0.0012783+0.0033698i,-0.0014454+0.0029596i,-0.00078497+0.0022467i,2.9425e-05+0.0013425i,0.00031065+0.0006932i,-0.00087365+0.0010753i,-0.0014204+0.0014543i,-0.00096763+0.001061i,-0.00033988+0.00080451i,0.00051788+0.00097035i,0.00039222+0.00071854i,-0.00070078-0.00035297i,-0.00081609-0.0002381i,-0.00042931+0.000425i,-0.00028349+1.0854e-05i,0.0004071-0.00031093i,0.00064661-0.00071213i,8.3251e-05-0.00048618i,-5.8357e-05+0.00011226i,0.00031871+0.00026685i
-0.00086348-0.00018922i,-0.00049293+0.00044841i,6.0154e-05+0.0016722i,-0.00081448+0.0012728i,-0.00060346+0.00064875i,0.00040602+0.0015054i,0.00062887+0.0014265i,-0.00045946+0.0005369i,-0.0021463+0.0014861i,-0.0017638+0.0021622i,-0.00056562+0.0014868i,-0.00038585+0.0003576i,-0.00069578+0.00026427i,-0.00026422+0.00083819i,0.00018322+0.00021586i,0.0001213-0.00052742i,-0.00035092-0.00019881i,-0.00042445-0.00019251i,6.1287e-05-0.00031155i,-0.00013485-0.00052866i,-3.9789e-05-0.00014725i,0.00011616+0.00013809i,0.00021975-0.00082973i
0.0011851+0.0027251i,0.0017388+0.0012831i,0.0013829+0.00030748i,4.5377e-05+0.00035555i,-0.0013032+0.00077812i,-0.0017478-0.00017478i,-0.0010117-0.00042486i,-0.0012481-0.00026794i,-0.0020458-0.00027022i,-0.0012311+0.00013325i,0.00028273+2.0652e-05i,0.00031352+0.0001971i,-0.00038035+0.00095178i,-0.00077345+0.0010793i,0.00021777+0.00087621i,0.00063751+0.00070834i,1.2636e-05+0.00068693i,-0.00039006+0.00040548i,-0.00024139-0.0003161i,0.00024472-0.00061516i,0.00022083-0.00014241i,-6.8318e-05+0.00010037i,-0.00015251+2.002e-05i
-0.00073778+0.00022963i,-0.00027934-0.00023258i,0.00023324-0.00067027i,-0.00090474-0.0012816i,-0.00063278-0.0018541i,0.00036381+0.00022715i,0.0013263+0.0014534i,0.0015515+0.0015183i,8.0352e-05+0.0024431i,-0.00049988+0.0024041i,-6.7937e-05+0.0015102i,0.0003903+0.0008409i,0.00089125+0.00043521i,0.00067103+0.00069596i,7.7034e-05+0.00088941i,-6.838e-05+0.00092507i,0.0003077+0.00066892i,-6.1243e-05-9.846e-05i,-0.00061767-0.00081406i,-0.0003301-0.00057148i,-2.9713e-05+0.0007299i,0.00032675+0.0013153i,0.00039189+0.00086622i
-0.00074919-0.00033763i,-0.00081011-0.00018684i,-0.0017633+0.00040543i,-0.0023386+0.0010696i,-0.0019019+0.00096229i,-0.0013025+0.00076085i,-0.00081553+0.00059274i,-0.0011954+0.00028208i,-0.0012972+0.0010135i,-0.001065+0.0017516i,-0.00077068+0.0011121i,-0.00020068+6.8906e-05i,0.00021089+0.00011932i,0.00041799+0.00034283i,0.00033468+0.00057824i,0.00046789+0.00088833i,0.00013593+0.00061358i,-0.00019723+0.00079273i,0.00028633+0.0006818i,0.00024153+0.00017609i,-0.00040158-0.00021769i,-0.00082918+1.4192e-05i,-0.00031501+0.00068842i
-0.00037503+0.00060438i,5.7026e-05-0.00010302i,4.9683e-05-0.00040158i,-0.0010029-2.3901e-05i,-0.0021599+0.0005347i,-0.0015271+0.0011178i,5.189e-05+0.0014539i,-4.5238e-05+0.00076118i,-0.0015989+0.00055874i,-0.0013596+0.0010053i,-0.00021668+0.00076758i,-0.00045329+0.00071594i,-0.0011906+0.00058067i,-0.00096449+0.00083735i,7.4334e-05+0.0010774i,0.00019365+0.00080474i,-0.00026644+0.00093961i,0.00037461+0.00050709i,0.00077248+3.3213e-05i,0.00051279+0.00010912i,0.00032762-2.4526e-05i,-0.00020868-0.00043499i,-0.0004723+0.00014355i
7.4246e-05+0.00064858i,0.00039249+0.0011638i,-0.00027816+0.00043414i,-0.0020672-0.00073785i,-0.0030586+4.6138e-05i,-0.0020194+0.0011825i,-0.00016701+0.0016202i,5.9255e-05+0.0014056i,-0.0013365+0.00067689i,-0.0014484+0.0011351i,-0.00032308+0.0013524i,-9.6604e-05+0.00073769i,-0.00041476+0.0008578i,-4.9537e-05+0.0010725i,0.00032993+0.00089865i,0.00051734+0.0012584i,0.00038837+0.00097363i,0.00065174-0.00019844i,0.00096563-0.00024523i,0.00073572+2.4046e-05i,0.00028742-5.5338e-05i,4.0073e-05-0.00056925i,-0.00017098-0.00060367i
