0.00069625-0.005005i,0.0018954-0.0039061i,0.0012008-0.0028967i,-3.5811e-05-0.0022516i,-0.00094392-0.0014835i,-0.00085934+0.00035887i,-3.1842e-05+0.0023268i,0.00034122+0.0034967i,-0.00021055+0.0046178i,-0.00080077+0.005421i,-0.001047+0.0051398i,-0.0011402+0.0031486i,-0.00068498+0.0012695i,-0.00025327+0.00079069i,-0.00089324+0.00063698i,-0.00073612+0.00094036i,0.00013456+0.00072535i,0.0001501+0.00030629i,0.00011791-0.00015599i,-0.00026858+0.00011005i,-0.00067919+0.00037384i,-0.00053805+0.00056607i,-0.00081747+0.00071637i
-0.0018193-0.0023529i,-0.00083754-0.0029347i,-0.00044238-0.002183i,-0.00049279-0.00065383i,-0.00056201-0.00045267i,0.00030022-0.00068209i,0.0013564-0.00087203i,0.00035016-0.002266i,-0.0016968-0.0037564i,-0.002962-0.0043786i,-0.0039786-0.0038961i,-0.0038788-0.0021362i,-0.0032591-0.00095727i,-0.00133-0.00093871i,0.00061904-0.00062142i,0.00085305+0.00025165i,0.00062222+4.9238e-05i,2.8439e-05-0.00060904i,-0.00075729-0.00059931i,-0.0011356-0.00050435i,-0.0010931-0.00037189i,-0.00061088-0.0005968i,-0.00028039-0.00091219i
-0.0029821+0.0025697i,-0.0018141+0.0002351i,0.00049684+0.00057489i,0.0016215+0.00025472i,0.0016932-6.8496e-05i,0.0017257-0.00084209i,0.0029647-0.0022804i,0.0036513-0.0040824i,0.0037341-0.0058414i,0.0039789-0.0069274i,0.003449-0.0063612i,0.0020648-0.0037486i,0.00088961-0.0017956i,0.00086617-0.0010016i,0.0009214-0.00065521i,0.00023024-0.00072887i,-0.00035944-0.00015404i,-0.00033994+0.00028669i,-9.407e-05+0.00032644i,0.00032537+0.00038538i,-5.0447e-05+0.00040518i,-0.00090635+0.00035961i,-0.00084844-0.00023036i
0.0015888+0.0040245i,0.00019925+0.00038205i,0.0020184-0.0027067i,0.0030131-0.003423i,0.0018533-0.0026487i,0.00018146-0.0014545i,-0.0005006-0.0012264i,-0.00049434-0.00047256i,-0.00027296+0.0012533i,0.0010854+0.0026383i,0.0020009+0.0035585i,0.0013937+0.0025934i,0.0006117+0.00057169i,2.8315e-05-0.00036996i,-0.00029919-0.00030568i,7.4547e-06-0.00032966i,-0.00022208-0.00054046i,-0.00026839-0.00064399i,-0.00011859-8.0768e-05i,-2.9703e-05+0.00028562i,-0.00018849-0.00014121i,-0.000817-0.0003695i,-0.00095497-0.00015623i
0.0022086+0.0020096i,-0.00056367+0.0021949i,-0.0039946+0.0011493i,-0.0031494+0.0002826i,-0.00065081+1.5109e-05i,0.00066513-0.00048917i,-0.00050505-0.001427i,-0.0035223-0.00021884i,-0.0065167+0.0014168i,-0.0076611+0.0025426i,-0.0063314+0.0023954i,-0.0037127+0.001408i,-0.0029219+0.0012221i,-0.0025388+0.00043453i,-0.0011631+4.2432e-05i,-0.000439+0.00076786i,-0.00055067+0.0011232i,-0.00039585+0.0014681i,-0.00078372+0.0015709i,-0.00079073+0.0013778i,0.00021883+0.00074722i,0.00077405+0.00012348i,0.00032867-3.8474e-05i
0.0042999-0.0025566i,0.0023984+0.00076599i,0.00010465+0.00045098i,0.00025704-4.7217e-05i,0.00010149-6.9164e-05i,-0.00078207-0.0008993i,-0.0020503-0.0012154i,-0.0030208-0.0024836i,-0.0026321-0.0043251i,-0.0017957-0.0048299i,-0.0010119-0.0048885i,-0.00031731-0.0042079i,-0.00011693-0.002181i,-0.00066561-0.00059375i,-0.0014139-0.00034013i,-0.0016798-0.00031916i,-0.0014721+6.0106e-06i,-0.00028168+0.00016193i,0.00078111-0.00034384i,0.0010122-0.0010833i,0.00054919-0.001063i,-0.00012507-0.0005164i,-0.00016849-0.00031308i
0.0017436-0.0060953i,0.0024315-0.0027123i,-0.00059741-0.0023955i,-0.0012625-0.0025753i,-0.00087049-0.0010514i,-0.00067222-0.00054822i,0.0006054-0.00048489i,0.0032921-5.5223e-05i,0.0060556+0.00029365i,0.0070821+0.00047939i,0.0055861-0.00030341i,0.0025962-0.00085383i,0.00087453+0.00060769i,0.00070454+0.0018218i,0.00054786+0.0020068i,-1.4342e-05+0.0014491i,-0.00015732+0.00058116i,0.00047738+0.00029899i,0.00040641+0.0003201i,0.00059931-8.4894e-05i,0.00091173+5.8243e-05i,0.00025751+0.0003579i,0.00011804-9.6046e-05i
-0.0012766-0.0047623i,0.00054751-0.0039352i,0.00097335-0.0027352i,0.00051215-0.0022004i,0.00081662-0.0014092i,0.00091417-0.00046939i,0.0018132+0.00083417i,0.002209+0.0029076i,0.000913+0.0036292i,-0.00020078+0.0031033i,-0.00055837+0.0030247i,-0.00068992+0.0027018i,0.00016848+0.0011629i,0.00065771+0.00030856i,0.00020704+0.00053161i,-0.00033476+0.00047564i,-0.00046193+0.00063872i,-0.00030995+0.00060685i,-0.00028422+9.1452e-05i,4.4884e-05-5.7834e-05i,0.00027643+2.8452e-05i,-0.00039781-1.8941e-05i,-0.00028461+0.00017701i
-0.0062785+0.00018265i,-0.0038357-0.0016794i,-0.0026583-0.0012998i,-0.0030706-0.0017448i,-0.002635-0.0017391i,-0.00050672-0.00076795i,0.00045852-0.0015302i,-0.00088027-0.0033393i,-0.0030781-0.0048727i,-0.005059-0.0051235i,-0.005271-0.0033644i,-0.0032228-0.0013993i,-0.0005108-0.00030742i,0.00052707-0.00020891i,0.00076893-0.00018396i,0.0012446-0.00044438i,0.0011094-0.001036i,5.7818e-06-0.0013692i,-0.00051299-0.0010124i,0.00019696-0.0006146i,-0.00045197+5.7435e-05i,-0.00095754+0.0012548i,-0.00072245+0.0014871i
-0.0027585+0.0040805i,-0.0035071+0.0017903i,-0.0039164+0.0011208i,-0.0026077+0.0011961i,0.00017159+0.00056903i,0.0025735-0.00021732i,0.0023415-0.0019916i,0.0012567-0.0036828i,0.0020932-0.0050591i,0.0030285-0.0049587i,0.0028411-0.0030922i,0.0022108-0.0019221i,0.00095859-0.0010933i,7.6037e-06-0.00021251i,1.2176e-05-0.00018578i,-0.00029788-0.00086959i,-0.00043988-0.0011312i,-2.9454e-05-0.00051711i,0.00052816+0.00065634i,0.00099691+0.00046669i,0.00063813-0.00045193i,-0.00060049+0.00017748i,-0.0010121+0.00097645i
