-0.0029436+0.0017555i,-0.00038904+0.0020536i,5.6158e-05+0.0024358i,0.00039803+0.0031578i,0.00039893+0.0043641i,0.0010346+0.0031694i,0.0017119+0.0007524i,0.0017098-5.0251e-05i,0.0011485+0.00028014i,0.00067645+0.00078218i,0.00058315+0.00066252i,0.00081955+1.424e-06i,0.0011854-0.00086134i,0.00071341-0.00078577i,4.9862e-05+0.00011961i,-0.00019257+0.0010935i,-0.00030042+0.00091055i,0.00045327-0.00025394i,0.0013008-0.0003569i,0.0010592+0.00059724i,0.00018578+0.00071487i,-8.2019e-05+0.00015909i,-9.0409e-05-0.00033252i
0.00071042-0.0015107i,-0.0014653-0.00059378i,-0.0036299-0.00033985i,-0.0034616+0.00053296i,-0.0012398+0.0022264i,-0.00037443+0.0023089i,-6.499e-05+0.000957i,0.00027129-9.847e-05i,2.8592e-05-0.00071205i,-0.00045159-0.00017561i,-0.00093431+0.00070321i,-0.00014026+0.00062798i,0.00078189+6.188e-05i,0.00090962+0.00047128i,0.00069843-1.6565e-05i,-1.6444e-05-0.0012456i,-0.00017481-0.0010369i,0.00037502-0.00013901i,0.00022637+0.00069667i,0.00050265+0.0006599i,0.00071059+0.00014959i,0.00034617-8.1697e-05i,0.00023138+7.9864e-05i
-3.265e-05+0.0016607i,-0.00033225+0.0016297i,-0.0003587+0.0023408i,-0.00023481+0.001754i,-0.0007921+0.00043839i,-0.00057561+0.00052832i,0.00033716+0.00089595i,0.00027225+0.00041771i,0.00019788+0.00025694i,0.00086382+0.00036404i,0.00097756+0.00094342i,9.2061e-05+0.0016116i,-0.00031942+0.0018146i,-0.00022785+0.00079571i,0.00036414+0.00044116i,0.00090821-4.482e-05i,0.00080209-0.00061549i,0.00052212-0.00063359i,0.00044298-0.00020013i,0.00042226-0.0001022i,-0.00018048-0.00046676i,7.5946e-05-0.000326i,0.00062788-0.00023515i
-0.00037141-0.00075846i,0.00011109-0.00035367i,-0.00013248-0.00017383i,-0.00062883+0.00037764i,-1.0853e-06+0.0016472i,0.00032638+0.0019855i,-0.00054777+0.0010391i,-0.00044944+0.00042019i,-2.6395e-05+0.00051937i,-0.00038435+0.00035397i,-0.00015958-0.00027262i,-0.00019204-0.00026349i,0.00020348+1.4268e-06i,0.0010849+0.00021393i,0.0008736+7.6387e-05i,0.00062919-0.00024603i,0.00079062-0.000389i,0.0001864-0.00015943i,-0.00036338-0.0002429i,-0.00035844-0.00028681i,-0.00059298+0.00018462i,-0.0002477+0.00070891i,-0.00026507+0.00098036i
0.0011663+0.00048001i,0.0010066-0.00048817i,0.0001632-0.00031687i,-0.00027758+0.00022953i,-0.00061916+0.00059069i,-0.00093697-1.047e-05i,-0.00082892+9.2747e-05i,-0.00066888+4.4828e-05i,-4.859e-05-0.00062815i,0.00077316-0.00069265i,0.00073034-7.022e-05i,-0.00041802+3.3803e-05i,-0.00091219-0.00024567i,-6.1608e-05-8.0953e-05i,0.00037065+8.6869e-05i,9.2335e-05-0.00097293i,-0.00016999-0.0010663i,-0.00059332+0.00027551i,-3.0036e-05+0.00082831i,0.00040704+0.00034579i,0.00051674-0.0004927i,-0.0002088-0.001148i,-0.00057989-0.0014155i
0.00039908-0.0016818i,0.00046256-0.0013184i,0.00070782-0.0019305i,0.0006018-0.0021503i,-0.00043647-0.0010567i,-0.00076815+0.00094273i,-0.00052278+0.0018306i,-0.0001753+0.00063503i,0.00016918+9.9297e-05i,-0.00050515+0.00030981i,-0.00057624+5.7746e-05i,-0.00064985+0.00050022i,-0.00048459+0.000762i,-5.9971e-06-0.00073863i,0.00066321-0.0011022i,0.0011977-0.00029427i,0.00050594+0.00010661i,-0.00025022-0.00017619i,0.00038187+0.0005219i,0.00092179+0.0012597i,0.00027174+0.00087818i,-0.00050747+0.00066999i,-0.00011095+0.00079128i
-0.00072927-0.001058i,-0.0013185-0.0005039i,-0.0014891-0.00048197i,-0.0025033+0.0010725i,-0.003054+0.0022268i,-0.0018124+0.0013683i,-0.00065869+3.9548e-05i,-1.2873e-05-3.7208e-05i,0.0003939+0.00064155i,-7.641e-05+0.0012081i,-0.00054789+0.00036357i,0.00011514-0.00035892i,0.00080483-0.00022675i,0.00025045-0.00053953i,-0.00042716-0.00063876i,9.6603e-05+2.9844e-05i,0.00087996+0.00019748i,0.00030901-0.00013713i,2.8613e-05-0.00040929i,-5.5061e-05+0.00028409i,-0.00081031+0.00034593i,-0.00075696-0.00028288i,-0.0001346-0.00059951i
-0.00010406+0.0025361i,0.00060328+0.0025753i,0.0013646+0.0024314i,0.0023003+0.0025344i,0.0020092+0.0022014i,0.00082382+0.0014111i,0.00078757+0.0008482i,0.0007724+0.00017486i,-0.00011931-0.00052666i,-0.00044831-0.0010179i,-0.00029709-0.00097065i,-0.00056216-0.00084789i,-0.00056887-0.00037178i,-7.8152e-05+0.00051887i,9.5e-05+0.00024214i,-8.7587e-05+0.00039115i,-0.00081648+0.0015402i,-0.0016205+0.0013124i,-0.00027864+0.0002366i,0.00083714-0.00060034i,0.0010848-0.00071466i,0.0012945-0.00018325i,0.00089979+0.00070198i
-0.00036211-0.0002815i,-0.00093813-0.0011169i,-0.00072211-0.0022371i,-0.00065058-0.0017813i,-0.0010508-4.6096e-05i,0.000304+0.0013803i,0.00093038+0.0011287i,0.0008731+0.00072765i,0.00045278+0.00050415i,0.00024717+4.5389e-05i,0.00024088-0.00027885i,0.00024172-0.00039453i,9.052e-05+0.00023946i,-1.1879e-05+0.00087096i,0.00061605+0.00082432i,0.0012196+0.00011761i,0.00092816+0.00029408i,0.00033306+0.00059564i,-0.00029957-0.00024439i,-0.00066726-0.00049056i,-0.00096746-6.9436e-05i,-0.00072681+0.00025297i,0.00011937+0.00092001i
-0.00047817-0.00054295i,-0.00058267-0.00020898i,-0.00089603+0.0010143i,-0.00025977+0.0018591i,0.00066435+0.0021016i,0.00051495+0.0010614i,0.00058659-1.74e-05i,0.00085214-0.00056581i,0.0010166-0.00064908i,0.0010213-0.00042028i,0.00061008-8.4927e-05i,0.00038778+0.00051658i,0.00067319+0.00045417i,0.00076456-6.4702e-05i,-1.4537e-05-4.8137e-05i,-0.00054474+0.00014569i,-0.00025904+0.0001725i,0.00014074-0.00027005i,0.00034197-5.6933e-07i,7.7869e-05+0.00012197i,9.2173e-05-9.4727e-05i,-0.0001709+0.00028252i,-0.00053725-9.1499e-06i
-0.00028854-0.0015625i,-0.0011318-0.0019479i,-0.0016638-0.0015295i,-0.0020051+0.00016019i,-0.0022388+0.00088594i,-0.0015458+0.00075548i,-0.0011963+0.0004807i,-0.00083225-0.00014507i,-0.00026431-0.00052856i,0.00016007+3.764e-05i,0.00037677+4.1852e-05i,0.00027947-3.0214e-05i,-4.8036e-05+0.00079283i,0.00030935+0.0013347i,0.00061369+0.0009028i,0.00031793+0.00035175i,-4.3191e-05-0.00018678i,-0.00014237-0.00015238i,-0.00029041+0.00052761i,-6.5133e-05+0.00096763i,0.00029724+0.00098547i,0.00041682+0.00046652i,0.00010306+0.00038713i
