-0.0025418+0.00043044i,-0.00073883+0.00072947i,-0.00066999-0.00010761i,-0.0013417+0.00043769i,-0.0022011+0.0017926i,-0.0026838+0.0016154i,-0.0021642+0.0021396i,-0.00071689+0.0021856i,0.0001417+0.001215i,0.00013541+0.00051614i,0.00027265+0.00042178i,0.00034346-0.00013992i,0.00013591-0.00073927i,-0.00013156-0.00078356i,-0.00045357-0.00013222i,-0.00057108+0.00064955i,-0.00016054+0.00032584i,0.00038701-0.00041019i,0.00067508-0.00060031i,0.00064991+0.00027163i,0.00045198+0.00038997i,-3.1954e-05+4.7565e-05i,0.00051111+0.00069561i
0.0012249-0.00055057i,0.0008614-0.0012413i,-0.00049842-0.0014737i,-0.0019247-0.00094076i,-0.0033756+3.9535e-06i,-0.0032378+0.001184i,-0.0020228+0.0020061i,-0.0013225+0.0019289i,-0.00051487+0.0011542i,-0.0005623+0.0011832i,-0.00085993+0.0010475i,-0.00058579+0.00054429i,-0.00027792+4.0661e-05i,-6.4619e-05-0.00012834i,-7.0044e-05+0.00016726i,3.1163e-05+6.9458e-05i,8.9299e-05-0.00064102i,-0.000241-0.00014084i,-0.00058348+0.00034507i,-0.00032959-0.00010294i,0.00013321+6.5386e-05i,0.0001881+0.00055983i,8.4802e-05+0.00039278i
0.0020008-0.0009768i,0.0021191-0.0015966i,0.0015102-0.0021527i,4.6923e-05-0.0020408i,-0.0010916-0.0021516i,-0.0019364-0.0018461i,-0.0022133-0.00064825i,-0.0018896+0.00046575i,-0.0012462+0.00070036i,-0.001331+0.0010004i,-0.0013846+0.0009168i,-0.00026164+0.00051196i,0.00071141+0.00058847i,0.00081448+0.00018804i,0.00018414+2.5393e-05i,-0.00051+4.643e-05i,-2.4577e-05+3.3067e-05i,0.00019036+0.00063407i,-0.00030158+0.00067392i,-0.00069214+8.9435e-05i,-0.00082689+0.00016239i,-0.00039897+0.00054695i,-0.00052292+0.0002228i
0.0010269+0.00060159i,0.00065873+0.00032586i,-0.00017459-0.00050843i,-0.00054068-0.00091446i,-0.0016537-0.00053106i,-0.0025595+0.00023087i,-0.0020042+0.0007543i,-0.0016302+0.0007701i,-0.0015774+0.00065983i,-0.0011212+0.0010565i,-0.00072868+0.00046597i,-0.00065703-0.00032705i,-0.00056068-0.00020125i,-0.0005697+0.00047368i,-0.0010404+0.00083715i,-0.0010367+0.00026006i,-0.000867-0.00016665i,-0.0013989+0.00012928i,-0.0013962+0.000374i,-0.00090055+0.00078257i,-0.00046843+0.00016118i,-0.00014002-0.00022262i,0.00012419-0.00035942i
0.00031503+0.00047851i,0.00022602-0.00026789i,0.00119-0.00075219i,0.0013336-0.00086098i,-0.00031199-0.00113i,-0.0020287-0.00063809i,-0.0024471+0.00033825i,-0.0021861+0.00037674i,-0.0014074+0.00025022i,-0.0012257+0.0011824i,-0.00057144+0.0014267i,0.00030388+0.00022196i,-5.2392e-05+0.00031768i,-0.00083507+0.0010014i,-0.00099234+0.0011583i,-0.00083652+0.0010738i,-0.00043265+0.001049i,-0.00031083+0.00098518i,-0.00028727+0.00071385i,-0.0001907-6.4666e-05i,-0.00020818-0.00059057i,-0.00023805-6.0216e-05i,-0.0006536+0.00021957i
-0.00013737-0.0024549i,-0.00092881-0.0021411i,-0.002016-0.001953i,-0.0032713-0.0010927i,-0.0041791-7.6198e-05i,-0.0031961+0.00093111i,-0.0022371+0.00069145i,-0.0019737+0.00089705i,-0.0023619+0.0010969i,-0.0021202+0.00092232i,-0.0013485+0.0013442i,-0.00025835+0.00092209i,0.00024669+0.0006804i,-0.00021733+0.0012573i,-0.00030665+0.00064712i,-1.698e-05-1.3871e-05i,0.00016984-0.00011145i,-7.8532e-06-0.00015522i,-0.0003392-0.00046324i,0.00033588-0.0007474i,0.00080051-0.00053413i,-0.00047793+0.00011409i,-0.0011358+0.00093839i
-0.00013368+0.00017104i,0.0014223-0.0008167i,0.0013395-0.00058602i,0.00108+0.000168i,-0.00030458+0.0010674i,-0.0023254+0.0013686i,-0.0020987+0.00063168i,-0.0010453+0.00017369i,-0.0017597+0.00018924i,-0.0021746+0.00043758i,-0.001045-4.6215e-06i,-0.00015228-0.00083202i,-0.00043811-0.0006644i,-5.0152e-05-0.00011654i,0.00075345+0.00025716i,0.00034866+0.00021844i,-0.00040427-0.0001403i,-0.00033889-0.00025157i,-0.00023359-3.7089e-05i,-0.00033896+0.00032663i,-9.5354e-05+0.00074394i,7.8433e-05+0.0010487i,1.2941e-05+0.00051143i
-0.0010031+0.00055037i,-0.0014012+0.00068548i,-0.0012104+0.0005056i,-0.0012987+0.00055167i,-0.0018535+0.00061834i,-0.0018727-3.276e-05i,-0.001585-0.00035452i,-0.0014232-1.9788e-05i,-0.0015788-0.00019959i,-0.0014728-0.00070132i,-1.6715e-06-0.0010944i,0.00077597-0.0011452i,-0.00032665-0.00074456i,-0.00029451-0.00034074i,0.00041897-0.00055108i,-0.0001696-0.00081151i,-0.00079398-0.0002269i,-0.00037436+0.00031181i,-0.00056192+0.00019604i,-0.00081097+0.00082182i,-0.00021168+0.001118i,0.00021484+0.00020064i,-0.00013391-0.00022511i
-0.0025117+0.0023142i,-0.00065787+0.0027176i,0.00061104+0.0038022i,0.0013076+0.0031367i,0.0017738+0.0021052i,0.0013698+1.1144e-05i,-0.0001877-0.0011566i,-0.00094158+2.2442e-05i,-0.0013757+0.0014453i,-0.00084995+0.0019291i,0.00036063+0.0004626i,0.00044399-0.00088473i,-0.00022917-0.00040674i,-0.00050696+5.3257e-05i,-0.00055935-0.00090482i,-0.00085097-0.0016568i,-0.0010826-0.00028572i,-0.0010157+0.001051i,3.1028e-05+0.0012096i,0.00039963+0.00085782i,-0.00013146+0.00060616i,0.00041909+0.00018486i,0.00099708-0.00042954i
0.001224-0.0012458i,6.7383e-05-0.0016168i,-0.00099508-0.00094002i,-0.0018246-0.00032206i,-0.0026941-0.0010127i,-0.002538-0.00039501i,-0.0026773+0.0010708i,-0.0031537+0.0009317i,-0.0030721+0.00037555i,-0.0024413+0.00077947i,-0.0011811+0.00088887i,-0.0002918+0.00074916i,-0.00056752+0.0017508i,-0.00059054+0.0019066i,-9.109e-05+0.00051335i,-0.00068369-0.00016318i,-0.00054685+0.00044698i,0.00020976+0.00075876i,0.00025908+0.00029701i,-0.00020118-0.00035923i,-0.00056895-0.00010225i,-0.00048244+0.00064925i,-0.00042799+0.00054322i
0.00090466+0.0017587i,0.0022787+0.0011562i,0.0031041+0.00050878i,0.0017618-0.00097448i,-0.00024668-0.0023537i,-0.0019234-0.0021016i,-0.0024397-0.0014485i,-0.0020752-0.0010091i,-0.0018994+0.00055016i,-0.0012382+0.0015449i,-0.00093409+0.00051922i,-0.00097299-8.7407e-06i,-0.0009435-0.00042057i,-0.00017887-0.00038357i,0.0004089-1.538e-05i,-0.00012277+0.00048088i,-8.5822e-05+0.00043664i,0.00010498+0.00031341i,-0.0001581+0.00030769i,-0.00010117-0.00046189i,0.00039999-0.00049485i,-4.5901e-05-0.00018559i,-0.00031963-5.2248e-05i
