-0.001337-0.0019096i,-0.0012319-0.00057087i,-0.001094+0.00038475i,-0.0013812+0.00053484i,-0.0025332+0.0010035i,-0.002221+0.0016309i,-0.00046425+0.0015453i,0.00054853+0.0010068i,0.00081118+0.00056065i,0.00064293-0.00010077i,0.00037745-0.0010331i,-0.00033689-0.00063607i,-0.00071268+1.2579e-05i,-0.00079734-0.00028992i,-0.00017901-0.0002564i,0.00037474-0.00017268i,-7.8096e-05-0.00027278i,-0.00039725-0.0004406i,1.2925e-05-0.00025297i,0.00021396+0.0003929i,0.00044365+0.0010665i,0.00025196+0.00042677i,-0.00023257-0.00051387i
-5.0651e-05-0.00079412i,8.9015e-05-0.00022425i,-0.00012156+0.0019676i,0.0001362+0.0016203i,0.00098721+0.00022734i,0.00062314+0.00061184i,-0.00034409+0.00047639i,-0.00032764+1.9388e-05i,3.2192e-05-0.00031186i,0.00055517-0.00010577i,0.00036552+0.00013495i,-0.00022077-0.00019795i,-0.00040247-0.00057345i,-0.00038411-0.0010514i,-0.00027461-0.00023838i,-0.00039926+0.00013511i,-0.00072258-0.00096358i,-0.00040402-0.0012008i,0.0002172-0.00075781i,-6.5049e-05-0.00050969i,-0.00023828+5.2127e-05i,0.00017069+0.00038147i,-3.6271e-05+0.00011642i
-0.0005943-0.0034524i,-0.0027465-0.0022472i,-0.0031587-0.00029834i,-0.0022228+0.00089704i,-0.0019562+0.00089108i,-0.0015807+0.0018229i,-0.00070515+0.0020748i,-0.00069518+0.0011972i,-0.00085553+0.00049667i,-3.1138e-05+0.00060107i,-1.476e-05+0.0007944i,-0.0012308+0.00055473i,-0.00085774-7.4622e-05i,-4.7066e-05-3.3864e-05i,-0.00042285-0.00022041i,-0.00087744-0.00075299i,-0.0015253-0.00098512i,-0.00039342-0.00099798i,0.00018123-0.0007279i,-0.00052314-0.00098014i,-0.00011637-0.0006966i,0.00068903-0.00016041i,0.00058303-0.00047636i
0.00026111-0.0026511i,-0.00049884-0.00078807i,0.000573+0.00022314i,0.00050226+7.2565e-05i,-0.0010025-0.0010725i,-0.001098-0.0012968i,-0.0003971-0.00013982i,0.0001991-0.00030475i,0.00036825-0.00069054i,-0.00047343-4.8271e-05i,-0.00047482+0.00026261i,0.00032884+0.00028184i,0.00029555+0.00044344i,-5.4127e-05-4.023e-05i,-8.7855e-05-0.00041841i,-0.000383-0.0001776i,-0.00064105-3.0974e-06i,-0.00069183-0.00029902i,-0.00034284-0.00023801i,5.9865e-05-8.0808e-05i,0.00047084-5.2559e-05i,0.00029164+0.00011323i,-0.00032856+0.00010675i
-1.4158e-05-0.0033703i,-0.00042649-0.0026155i,-0.00082066-0.0020551i,-0.00068015-0.0012514i,-0.00064177-0.0001336i,-0.0010286+0.00039484i,-0.00047216+0.00020389i,0.0010138-0.00047228i,0.00082251-0.00048334i,0.00023531+0.0001386i,-3.4036e-05-0.00011839i,-0.00016987+0.00016997i,-0.0004017+0.00065924i,-0.00079038+0.00033075i,-0.00022432+6.9661e-05i,1.5734e-05+0.00028646i,-0.0006798+0.00016262i,-0.00062215-0.00052391i,-0.0007222-0.00058839i,-0.0005023+0.00030771i,0.00069449+0.00066084i,0.0013877+0.00033292i,0.00063111+4.0876e-05i
0.00049909-0.0020713i,0.00057297-0.0017111i,0.00098185-0.00066663i,1.0639e-06-0.00028681i,-0.0012181-0.00063041i,-0.0010856+0.00034121i,-5.0565e-06+0.00049499i,0.00088178+0.0005599i,0.0011137+0.00057231i,0.00059475+2.5945e-05i,0.00021271-0.00011054i,0.00038983+0.00016126i,-1.4769e-05+0.00012648i,0.00027426-0.0003237i,0.00053751-0.0006878i,-7.2728e-05+0.00036484i,0.00027966+0.0014095i,0.00042628+0.00046982i,-0.00023381-0.00041023i,-0.00076997-0.00043437i,-0.00076847-0.00029794i,-0.00061409-0.0001901i,-0.00088966+0.00012057i
4.0016e-05-0.0040196i,-0.001579-0.0026686i,-0.0024272-0.0015213i,-0.00098633-0.00092546i,-0.00031484-0.00071115i,-0.00056991-8.4943e-05i,0.00031395-0.00036587i,0.0010405-0.00022576i,0.00066451+0.000585i,-0.00036801+0.00026264i,-0.0005333+0.00035458i,-0.0003634+0.00055218i,-0.00037207+0.00059575i,-0.00040878+0.00056718i,-0.00036795+0.00014254i,-0.00067214-0.00029349i,-0.00070405-0.00056465i,-0.00040455-0.00057874i,-9.8726e-05-0.00027969i,0.00029359-4.924e-06i,0.00076615-0.00062562i,0.00084028-0.0009221i,-6.5752e-05-0.00038247i
-0.00065435-0.00095296i,-0.00017265-0.00021103i,0.0015019+0.0010272i,0.0018203+0.0011593i,0.00053479+6.2749e-05i,-0.00073723-0.00092161i,-0.00043328+1.5962e-05i,-0.00030956+3.9544e-05i,-0.00015448-0.00031793i,0.00049225+0.000182i,0.00084984-0.00047635i,0.00042935-0.0012697i,-0.00020806-0.00090894i,-0.00054647-0.00065435i,-0.00050443-0.00044721i,-0.00046766+0.00034867i,-0.00091917+0.0010104i,-0.00084672+0.00076653i,-0.00061963+0.00029234i,-0.00063492+0.00014728i,-0.00091837+0.00054729i,-0.001062+0.00039029i,-0.0012336+0.00034366i
0.00044388-0.0031564i,-0.0012443-0.0017862i,-0.0013619-0.00044841i,-0.00017479+0.0002076i,0.00028119+0.0005535i,0.00041166+0.0012412i,0.0011021+0.0011017i,0.0012457+0.00021115i,0.00083186-0.00014164i,-2.5875e-05+0.00047172i,-0.00039169+0.00073779i,-0.00020703+3.1927e-05i,0.00063298-0.00052815i,0.00048851-0.00035876i,-0.0004705-0.00050863i,-0.00036711-0.0003706i,0.00045769+5.1009e-05i,0.00069375+8.5843e-05i,0.00033271-0.00025065i,-0.00046022-0.00010285i,-0.00087371+9.4014e-05i,-0.0010545+0.00067763i,-0.00097727+0.0011268i
-0.00042136-0.0020097i,-0.0013535-0.0010122i,-0.00098937+0.00073053i,-0.00022601+0.00054935i,0.00014973-0.00012847i,-0.00058342-0.00022037i,-0.00087971+0.00040098i,-0.00025281+0.00028324i,-0.00033254-0.00064382i,-0.00063972-0.0010707i,-0.00042001-0.00061515i,-0.00027026+0.00060222i,0.00034295+0.00041048i,0.0011585-6.1098e-06i,0.00074783-3.6859e-05i,0.00011237-0.00019232i,0.00051316+0.0002658i,0.00087958+0.00050505i,0.00040697-1.6107e-05i,-0.00048076+0.00046455i,-0.0012647+0.0010366i,-0.00071971+0.00028376i,0.00066767-0.00063592i
-0.0020101-0.0035648i,-0.0034627-0.0017148i,-0.0035834+0.00014297i,-0.0019824+0.00091777i,-0.00048009+0.0009294i,0.00027637+0.0007364i,0.00053526-8.5148e-05i,0.00058933-0.0010782i,0.00035592-0.00091789i,4.1757e-05+0.00021211i,0.00023896+0.0002378i,0.00030038-0.00044796i,-0.00042447-0.000396i,-0.00020978-0.00013931i,0.00068132-0.00036553i,0.00053009-0.00013198i,0.00024003+0.00016891i,-6.6006e-05-2.8193e-05i,-0.00064947-0.00034419i,-0.00019419-0.00040376i,0.0002794-0.00023323i,-0.00012811+1.0083e-05i,-0.00011114-0.00010599i
