-0.0020612-0.00042952i,-0.00043913-0.0023477i,0.00045843-0.0041478i,-0.001757-0.005415i,-0.0041151-0.00456i,-0.0034009-0.0015497i,-0.0010742-0.00024126i,7.1555e-06-0.00059279i,1.3145e-06-0.00018033i,0.00076705+0.00051017i,0.00074743+0.00029931i,-1.573e-05-0.00010528i,-0.00029287-0.00053113i,-0.0010565-0.00018527i,-0.00091788+0.00049873i,-0.00048706+0.001067i,-0.0013367+0.00098405i,-0.0014009+0.00029613i,-0.00023163-2.4016e-05i,3.1954e-05-0.00011395i,-0.0004713-0.0001495i,-0.00028925-0.00013251i,0.00057723+0.00066975i
-0.00021234-0.0012713i,-0.0011229-0.003237i,-0.0021822-0.0050744i,-0.003579-0.0059757i,-0.0040706-0.0044868i,-0.002465-0.0014895i,-0.00036894-0.00027305i,0.00045498-0.00051606i,-0.00014061-0.00018963i,-0.00052525-0.00038178i,0.00029225-0.0012735i,-0.0001408-0.0010226i,-0.00096898-0.00052965i,-0.00012758-0.00070944i,0.00031263-0.00076406i,-5.6986e-05-0.00066991i,0.00043786+0.00018456i,0.00060487+0.00053857i,-0.00024024+0.00074368i,-0.00071986+0.00059993i,-0.00072079+0.00051749i,-0.00059648+0.0008447i,-0.00072135+0.00040104i
0.00060224+0.00086295i,0.00063105-0.0011434i,-5.9678e-05-0.00344i,-0.0011329-0.0048934i,-0.002119-0.0042595i,-0.0012135-0.0017869i,0.00027526-0.0011229i,-0.00034025-0.0021121i,-0.0013426-0.0019262i,-0.0010845-0.00089757i,-0.00080163-0.0004515i,-0.00098732-0.00084811i,-0.00019345-0.00091986i,0.00020365-0.000282i,-0.00018403+0.00015658i,-0.00024111+0.00068779i,-0.00065991+0.00062366i,-0.0010088+0.0003236i,-0.0006109+7.9997e-05i,0.0001917-1.2863e-05i,0.00057186+0.00051927i,0.00061818+0.0011308i,0.00011193+0.00059706i
0.00092002-0.0010742i,-0.00013428-0.0032176i,-0.0013004-0.006177i,-0.002868-0.0066284i,-0.0037413-0.0046377i,-0.0029198-0.001735i,-0.00048231-0.00025316i,0.00082586-0.0005532i,-0.00051656-0.0005441i,-0.00087636-0.00031316i,-0.00066726-0.00054834i,-0.0013179-0.00029472i,-0.00093034+0.00071857i,-0.00040507+0.00054661i,-0.00036864-0.0001968i,-0.00010973-0.00038479i,-0.0005623-0.0006109i,-0.0012933+6.208e-05i,-0.00071183+0.00029118i,0.00024113-0.00017923i,0.00011995+5.1913e-05i,-0.00026478+0.00072711i,7.9602e-06+0.00070593i
0.0006417-0.0001642i,0.0018388-0.002097i,0.0013967-0.004359i,3.5846e-05-0.0064587i,-0.0012597-0.0056775i,-0.001303-0.0028628i,0.00037469-0.0015114i,0.00093531-0.0012355i,0.00054136-0.00021587i,5.6021e-06+0.00056774i,-0.00029623+0.0001414i,-2.6663e-05-0.00064336i,0.00032254-0.0010173i,0.00049153-0.00053158i,0.00011951-0.00064247i,-0.00061208-0.00059768i,-0.00090278-4.5981e-05i,-0.0008117+0.00026863i,-0.00072069+0.00078464i,-0.00071535+0.0012421i,-0.00028515+0.00058063i,-6.5964e-05+7.3601e-05i,-4.8983e-05+8.4978e-05i
-0.0015491+0.00047464i,-0.00089985-0.0016383i,3.3253e-05-0.0038548i,4.2394e-05-0.0057103i,-0.0004036-0.0046053i,0.00019349-0.0018947i,0.00068981-0.00034607i,0.00070793-0.00069978i,-0.00048226-0.00060682i,-0.0011222+3.093e-05i,-0.00025175-0.0004157i,0.00081013-0.00072149i,0.00093879-0.00034066i,-0.00019304-0.00051889i,-0.00018852-0.0005323i,-0.00010172+0.00072909i,7.6724e-05+0.0010057i,0.00016528+0.00034722i,-0.00021186+0.00017257i,5.4699e-05+0.00050071i,0.0004826+0.00060486i,0.00062828+0.00028031i,0.00010394-0.00021693i
-0.0015079-0.00098707i,-0.0010661-0.0015575i,-0.0010799-0.0040472i,-0.0022315-0.0068904i,-0.0024122-0.0054866i,-0.0015617-0.0014122i,-0.00045948-4.2801e-05i,0.00020763-0.0010545i,-8.6795e-05-0.00096824i,-0.00054543+4.8393e-05i,-0.00012705+0.00055587i,4.1127e-05+0.00050414i,-0.00010074+0.00031049i,8.5376e-05+0.00015835i,-0.00052171+0.00014869i,-0.001375+0.00045173i,-0.001402+0.0004922i,-0.0010368+3.6774e-05i,-0.00066881+0.00043629i,-0.00023938+0.00076216i,1.8527e-05+0.00037258i,0.00015983+0.00017114i,0.00072937+7.9298e-05i
-0.0002329+6.9167e-05i,0.00019416-0.00099751i,0.00047384-0.0029324i,0.0001301-0.004222i,-8.6256e-06-0.0041909i,-0.00015619-0.0028392i,0.0005935-0.0015711i,0.00068424-0.00065044i,-0.00053877-0.00014606i,-0.00035001-0.0002721i,-8.6541e-05-0.00037376i,0.00045548-0.0004102i,0.0011148-0.00031784i,1.8747e-05-0.00051142i,-0.0010238-0.00046078i,-0.00097666-0.00040143i,-0.00065144-0.0007395i,-7.6134e-05-6.4353e-05i,-8.4818e-05+0.00084546i,-0.00023709+0.00030835i,0.00010803+0.00012498i,7.735e-05+0.00029719i,0.00014493+0.00032793i
0.00027351-0.0008584i,-0.00046106-0.0010881i,-0.0015025-0.0028575i,-0.0018063-0.0049383i,-0.0011903-0.0041925i,3.0708e-05-0.0012758i,0.00098868-0.00078273i,0.00073684-0.0014335i,-0.00016246-0.00049196i,-0.00040756+8.6904e-05i,-0.00016784+8.0525e-05i,-0.00044773+0.00010245i,-0.00035043-0.00045799i,3.4207e-05-0.00026709i,-0.00063476+0.00032437i,-0.0015034+0.00058902i,-0.00078433+0.00047649i,4.5723e-05-1.9692e-05i,-4.2884e-05+0.00013639i,0.00022671+0.000338i,0.00060375+0.00065758i,0.00024414+0.00084806i,-7.3394e-07+0.00055151i
0.00036711+9.0133e-05i,0.00039749-0.0019926i,-0.00064528-0.0038881i,-0.0028008-0.0055539i,-0.0030918-0.0048218i,-0.0016205-0.0014341i,0.0001054-0.00060885i,0.00042325-0.0012496i,-0.00015391+0.00015684i,-0.00020577+0.00045223i,-6.0329e-05-0.00056896i,-0.00039776-0.00047887i,0.00013135-9.0888e-05i,0.00040597-5.7093e-05i,-0.00048707-0.00080576i,-0.0012585-0.00063005i,-0.0013431+0.00027832i,-0.00091274+0.00073991i,-0.00046402+0.00032273i,0.00018314+0.00024845i,0.00061822+0.00079413i,0.000791+0.0004203i,0.00058445+3.4751e-05i
0.00014324-0.00030069i,0.00072174-0.0027762i,0.00026172-0.0052075i,-0.0010499-0.0059387i,-0.0017339-0.004472i,-0.0013651-0.001084i,-0.00030995-5.1062e-05i,-0.00060978-0.00091815i,-0.0016898-7.6705e-05i,-0.0022475+0.00050612i,-0.0017616-1.1376e-05i,-0.0013667+2.191e-05i,-0.00082644-0.0005852i,0.00049962-0.00087368i,0.00042018-0.00054912i,-0.00030772-0.00016376i,-0.00081108+0.00068044i,-0.00091172+0.0014198i,-0.00087004+0.00093522i,-0.00042327+7.5063e-05i,-0.00052644+9.3992e-05i,-0.0010934+0.00017526i,-0.0010988+0.00027414i
