-0.0013405+6.9791e-06i,-0.00037941-0.00029583i,-0.00095888+0.00012246i,-0.0010357-0.00052632i,-0.0013523-0.0024807i,-0.0012789-0.0021311i,-0.00065943-0.00068221i,-0.00015002-7.2418e-05i,0.0006508-0.0002376i,0.00080149-0.00025758i,0.00074654-0.00021158i,0.00085202-0.000356i,0.00055932-0.00062071i,0.00019977-0.00066127i,-0.00069104-0.00026901i,-0.0011586+0.00050141i,-0.00066059+0.00049031i,0.00029532-0.00018692i,0.0010407-0.00079015i,0.0010068-0.00033166i,0.00020499+0.00035971i,-9.7031e-05+0.00025703i,0.00029811-1.2779e-05i
-0.0014358-0.00016675i,-0.00085393-0.00073565i,-0.00098141-0.00024185i,-0.00058215-0.00064753i,-0.00050263-0.0010439i,-0.00063485-0.0010574i,-0.00044741-0.0011158i,0.00019561-0.00062035i,0.0010048-0.00030335i,0.0013063+8.7476e-05i,0.00093615+0.00023579i,0.0003929-0.00071015i,-0.00027312-0.00071094i,-0.00016722-2.6975e-05i,-0.0006665+0.00016021i,-0.0014202+0.00024075i,-0.001228+0.00044056i,-0.00011841+0.00025189i,0.00020309-0.00069536i,-8.2804e-05-0.00054063i,-0.0005129-0.00021015i,-0.00012354-0.00082179i,0.00019906-0.00047956i
0.00070972+0.00064017i,-0.00029642+0.00055418i,-0.00050202+0.0010531i,-4.6831e-05+0.00038862i,-0.00026305-0.00082898i,-0.0012268-0.0015636i,-0.0020296-0.0012626i,-0.0017394-0.0011709i,-0.00088523-0.0016373i,0.00036648-0.0015189i,0.00029923-0.00025924i,0.00032502+0.00061239i,0.00055945+0.000673i,0.00038098+0.00079876i,0.00042619+0.00027016i,-0.0003737-3.7317e-05i,-0.00062411+0.00039722i,0.00041505+0.00062958i,0.0013551-3.9421e-05i,0.00085605-0.00017836i,-5.4418e-05+0.00055802i,0.00018673+0.00060217i,0.0010013-8.8337e-05i
0.00057115-0.00025121i,0.0012843-8.8582e-05i,0.00035054-0.00050826i,0.00014798-0.001947i,0.0013374-0.0031897i,0.0016619-0.0024462i,0.00058999-0.00081125i,0.00065187+0.00041154i,-0.00012892-2.0463e-05i,-0.0013236-0.00019851i,-0.00099899+0.00033055i,-0.00030222+0.00021674i,-0.00036797+0.00034408i,-0.00020319+0.00026815i,-0.00047052-0.00013865i,-0.00028396-0.00019614i,0.00050497+0.00040871i,0.00060132+0.00026703i,0.00073315-0.00044957i,0.0005784-0.00076274i,-0.00022891-0.00069885i,-0.00098041+0.00017346i,-0.00078346+0.00060858i
-0.0007522+0.00074727i,-0.0017645+0.0001765i,-0.0017578+0.00041891i,-0.0016093+0.0010016i,-0.0011499+0.00061373i,-0.00069185-0.0002917i,-0.0015512-0.00037379i,-0.0016224-0.00052298i,-0.00067259-0.0012718i,-0.0002746-0.0018172i,1.088e-06-0.00090686i,0.0012253-0.00010626i,0.0010315-0.00038374i,-0.00022625-0.000218i,-0.00039197+9.4011e-05i,-0.00054565-0.00013082i,-0.00078967+0.00017064i,8.5658e-05+0.00049838i,0.0005193+0.00014483i,0.00043295+0.00023769i,0.00072485+0.00023822i,0.00048106-0.00027503i,0.00064955-0.00041271i
0.00033022+0.00030642i,0.00014836+0.00020883i,0.00027896+0.00032008i,-0.0001532-0.00079528i,-0.001239-0.0027009i,-0.0015039-0.0026032i,-0.0011629-0.00032838i,-0.00093547+0.00091646i,-0.00082882+0.00034826i,-0.00074981+2.6538e-05i,-0.0007068-0.00010197i,-0.00035272-0.00053633i,5.5958e-05-0.00023783i,0.00035928+0.00044161i,-0.00024078+0.00072196i,-0.00064224+0.00085278i,-0.00020818+0.00075417i,-0.0001329+0.00040278i,0.0004539+0.00077022i,0.00061138+0.0004258i,0.00080625+0.00014111i,0.0011854+0.00025675i,0.00068403+0.00024432i
-0.00012764-0.00092182i,8.2103e-05-0.000983i,-0.00028066-0.00044783i,-0.00087144-0.00038632i,-9.2386e-05-0.00068488i,0.00043951-0.0014682i,0.00033927-0.001353i,0.00014167-0.00045628i,-0.00095091-0.00026148i,-0.0016179-4.4157e-05i,-0.00046171+0.00026177i,-0.00021287+0.00057292i,-0.00067035+0.00060115i,-0.00073064+0.00020403i,-0.00016771-0.00012925i,0.00034401+8.9633e-05i,-0.0001384+0.00042335i,3.2568e-05+0.00084393i,0.0006495+0.00073423i,0.00080331-8.9473e-05i,0.00031732-0.00042927i,-0.00012075+0.00039158i,-9.4918e-05+0.00023703i
0.00010419-0.00063185i,-0.00041257+4.3089e-06i,-0.0010075-0.00029234i,-0.00065873-0.0013242i,-0.00020112-0.0021704i,-0.00045377-0.0021628i,-0.00045643-0.0014025i,-0.00024999-0.0003788i,-0.00018431+0.00045386i,-0.00021523+0.00068624i,-0.00013777-0.00018071i,-5.4956e-05-0.00022126i,-0.00023762+0.00018482i,-0.00020027-0.00039796i,0.00030297-0.00047765i,0.00050635-0.00020612i,3.5593e-05-0.00039049i,-0.00044844-0.0005147i,-0.00010506-0.00070898i,-7.3942e-05-0.00025821i,-0.00031238+0.00014886i,7.1665e-05-0.00044006i,0.00043048-0.00047248i
0.00046982-0.0010698i,0.00076935-0.00015087i,-0.00043944-0.00061949i,-0.0019623-0.0017434i,-0.0014619-0.0021312i,-0.0004992-0.0020686i,-0.00030774-0.0015512i,-7.4768e-05-0.00079774i,-0.00065883-0.00041475i,-0.0013389+0.00010504i,-0.00082818-4.5374e-05i,-0.00038538-0.00011204i,0.00010328+3.5498e-05i,0.0004589-0.00022702i,-0.00025134-0.00051604i,-0.0010211-0.00039262i,-0.00028043+0.0005526i,0.00030532+0.00092283i,-2.6959e-05+0.0002065i,0.00023992-0.00019589i,0.00061335+0.00025902i,0.00039339+0.00027371i,0.00013574+0.00013374i
-0.0017637-0.00034153i,-0.00053234-0.00025839i,-0.00067267+0.00079952i,0.00020542+0.0011423i,0.00020029+0.00044131i,0.00024708-0.00095207i,0.00010072-0.0016915i,-0.00029305-0.00087362i,-0.00067688-0.0011999i,-0.00098598-0.00088592i,-0.00048358+0.00060115i,-5.8927e-05+0.00046837i,0.00026264-0.00014028i,-0.00013884+0.0001604i,-0.00065804+0.00033145i,-0.00018798+0.00031395i,0.0005545+0.0011382i,3.3369e-05+0.0012001i,-0.0001435+3.4586e-05i,0.0008205-0.00031165i,0.0012239-6.0468e-05i,0.0010019-0.00010494i,0.00094131-3.4308e-05i
0.0012579+0.00033481i,0.0012726+0.0001999i,0.00017812-0.0014535i,-0.00029582-0.0026051i,-0.00052136-0.0030077i,-0.0005628-0.002334i,-2.9968e-05-0.00092313i,7.0067e-05+0.0010799i,-0.00077477+0.0014737i,-0.00081319+0.0006893i,-0.00035374+6.7398e-05i,-0.00051748+7.2915e-05i,-0.00072922+0.00038604i,-0.00075326+0.00016729i,-0.00057242-0.0002775i,-0.00059333-0.00039655i,3.2178e-06-0.00083676i,0.00078032-0.00073156i,0.00089361+3.5464e-05i,0.00071223+0.00016888i,0.00043526+0.00033168i,-9.4544e-05+0.00046598i,-3.0552e-05+4.9208e-05i
