-0.0016426-0.00074604i,-0.0016167-0.0016925i,-0.0024275-0.00080325i,-0.0018942+0.00026613i,-0.0011548+0.00073877i,-0.00042815+0.00010073i,0.00031866-4.996e-05i,0.00078374+0.00089914i,0.00092128+0.0010945i,0.00039453+0.00050067i,5.8668e-05-6.5237e-05i,0.00035228+0.00039024i,0.00055785-4.1249e-05i,0.00014787-0.0012785i,-0.00063616-0.0012954i,-0.00050921-0.00091543i,-0.00016545-0.00017908i,9.5063e-05-0.00018983i,0.00017437-0.00095812i,0.0001653-0.00082544i,0.00022638-0.00013896i,-0.00012732+0.0001915i,0.00011514-7.5516e-05i
-0.00082621+0.00045035i,-0.00013029-1.8576e-05i,0.00092233-0.00012596i,0.0012934-0.00014928i,0.0014569-0.0002486i,0.0022263-7.8315e-05i,0.0021264-0.00029323i,0.0013392+6.5595e-05i,0.0013363+0.00078867i,0.0012955+0.0008468i,0.00039263+0.0003358i,0.0005334+0.00052029i,0.00072223+0.00093896i,-6.4976e-05+0.00048739i,7.4713e-05+0.00061802i,0.00029849+0.00075887i,0.00044749+0.00080359i,-0.00032294+0.00086444i,-0.0013404+0.00029228i,-0.00088813-1.4644e-05i,-0.00039669+0.00024865i,-0.0003596-0.00022121i,6.1251e-06-0.00014238i
0.00078117-0.0012926i,-0.00040119-0.00087352i,-0.0017536-3.3191e-05i,-0.0015431+0.00092995i,-0.00069422+0.0015876i,-0.00017518+0.0012164i,0.00034666+0.00047241i,-5.9704e-05+0.00053091i,-3.9894e-05+0.00043806i,0.00039684+3.6168e-05i,0.00046528-0.0005644i,0.00032834-0.00046941i,0.00021098-0.00051312i,0.00027644-0.00018312i,-0.00020016+0.00051241i,-0.00065517+0.00051983i,-0.00045848-0.00010009i,-0.00027788-0.00026389i,-0.00018198+0.00078595i,6.6551e-05+0.0007993i,0.00057273+0.00039095i,0.00050436-4.4691e-05i,0.00019973-0.00058651i
0.00091829-0.00048371i,0.00047564-0.0001839i,0.0002424-0.00019674i,0.0007463-0.00041431i,0.0012572-0.00045424i,0.0017114-0.00035754i,0.00089509-9.1178e-05i,2.0303e-05+0.00057645i,-0.00014612+0.00049895i,-0.00050257+0.00026379i,-0.00059756-0.00066081i,-8.5923e-05-0.0010656i,0.00040525+0.00026793i,6.321e-05+0.00055534i,-0.0001962+5.8387e-05i,0.00016202+0.00020196i,-0.00010683+0.00073086i,0.00021977+0.00076343i,0.0007623+0.00038364i,-6.893e-05+0.00088559i,-0.00079581+0.00083135i,-0.00071208+0.00042986i,-0.00061629+0.00040515i
-0.00032773+0.00048414i,-0.00073805+0.00047168i,-0.00049007+0.00052527i,-0.00027302+0.00060084i,0.00072138+0.00015928i,0.0013658-0.00052369i,0.00068658-0.0005612i,-0.00021963+0.00019675i,-0.00067349+0.00075476i,-0.00056915+9.2706e-05i,-0.00060825-0.00078257i,-0.00026822-0.00085023i,-0.00047507-0.00060659i,-0.00042102+8.2322e-05i,-9.0162e-06+0.00096967i,0.00017289+0.00097272i,0.00046656+0.00030981i,0.00040275+0.000198i,0.00082399+0.00045656i,0.0009767+0.00021972i,9.8667e-05-0.00016198i,-6.9893e-06-0.00016458i,0.00082773+0.00031476i
-0.00020705+0.00024426i,0.00012742+0.00048711i,0.00062776+0.00023601i,0.00094987+0.00052498i,0.0013625+0.00083416i,0.002009-0.00038054i,0.0022974-0.00081455i,0.0011056-4.4957e-06i,9.4926e-05+0.0011152i,-5.2021e-05+0.00090004i,0.0002264+0.00044839i,0.00014017+0.00046374i,-0.00012899+4.3422e-05i,-0.00077409+6.8789e-05i,-0.00061568-6.729e-05i,-0.0002549+0.00025546i,-0.00083585+0.00087367i,-0.001158+0.0005264i,-0.00043162-0.00033887i,0.0003449-0.0010842i,0.00090275-0.0011779i,0.00069942-0.00072211i,0.0002841-0.00025405i
0.0003708-0.0005813i,0.00019115+7.2436e-05i,-0.00011261+0.00059482i,-0.0010422+0.00081363i,-0.00055267+0.0010154i,0.00096746+0.0016848i,0.00113+0.0024165i,0.00093386+0.0013989i,0.00061588+0.00025035i,-5.3871e-05+0.00047167i,-0.0002472+0.00042071i,-0.00049052+0.00023102i,-0.0010431+0.00036118i,-0.001081-0.00045131i,-0.00037691-0.00036685i,-0.00018094+0.0003309i,-0.00031577+0.00015102i,9.7958e-05+0.00033893i,4.0911e-05-0.00015942i,-0.00078296-0.00070095i,-0.0015004-0.00057996i,-0.0012104-0.0001167i,-0.0011531+0.00071658i
-7.3992e-05+0.0002273i,0.00072624-0.00014965i,0.000583-6.4809e-05i,0.00042029+0.00035228i,0.0010928+0.00035234i,0.00094486+2.7559e-05i,-0.00034506-0.00048963i,-0.00086081-0.0010999i,-0.00059064-9.1119e-05i,-5.4074e-05+0.0009579i,0.0005226+0.00072378i,0.00022781+0.00071599i,-0.00022449+0.0002275i,-0.00027437-0.00036406i,-0.00034364-0.00034076i,-0.00038759-1.23e-05i,-0.00010004+0.00030349i,0.00061329-0.00054117i,0.00096818-0.0010566i,0.0001343-0.0002788i,-0.00068226-0.00011531i,-0.00041383-0.00022407i,-0.00075518-0.00025481i
-0.00069205-7.9853e-05i,0.00045841+0.0001909i,7.7471e-05+0.00034456i,0.00068832+0.00052229i,0.0017489+0.00066224i,0.0027695-0.00030693i,0.0032099-0.00094445i,0.0018769-0.00080615i,0.0003924+0.00027996i,0.00058632+0.0010378i,0.00049439+0.0009936i,0.00014707+0.00021131i,0.00051614+0.00014497i,0.00078775+0.00077473i,0.00070448+0.00036431i,0.00027704+0.00016052i,0.0004705+0.00022292i,0.0012114-0.00056562i,0.00068383-0.00020527i,-0.00076823+0.0004753i,-0.0011661+8.8789e-05i,-0.00069118-0.00041298i,0.00010762-0.00032124i
0.00096254+0.00062908i,0.00048734-0.00012012i,0.00043418-0.0011872i,0.00037172-0.0013481i,7.5026e-05-0.00024421i,-0.00035704+0.00070835i,-0.00033458+0.001293i,0.00039275+0.0013482i,0.00069263+0.00078709i,0.00043976+0.0004049i,-8.6376e-05+0.00070115i,-0.00027153+0.0012051i,-0.00023402+0.00070112i,5.9141e-06+0.0001537i,-5.3115e-05-0.00012516i,-0.0003464-0.00031484i,0.00012499-4.921e-05i,0.00030977+0.0001485i,-7.6485e-05+0.00030979i,-0.00067377+0.00012096i,-0.00021704-0.00017722i,0.00037261+0.00017428i,-0.00017544+0.00020446i
0.00032369+0.0021278i,-0.00071416+0.002045i,-0.00033586+0.0014338i,0.00068302-2.1327e-05i,0.00045263-0.0013989i,-0.00051246-0.0012427i,-0.0010677-0.00070618i,-0.00030197+0.00037443i,0.00026089+0.0012739i,-0.00039112+0.0010329i,-0.0010104+0.00023046i,-0.00053876-0.00033955i,0.0001113-2.1049e-05i,0.00033477+0.00071759i,0.00032101+0.00035193i,-0.00021302-2.4096e-05i,-0.00019394+0.00029077i,0.00025556-0.00025958i,0.00083482-0.0005452i,0.0011115-1.8608e-05i,0.0002182-9.8839e-05i,-0.0006204-0.00047961i,-0.00036048-0.00026291i
