-0.0045251+0.001886i,-0.0033684+0.0025169i,-0.002802+0.0018699i,-0.0017672+0.0016724i,-0.0007156+0.002228i,-0.00010165+0.001477i,0.00012513-0.00016384i,0.00053128-0.000436i,0.00091118-0.00018429i,0.0014426-5.9731e-05i,0.0020935+0.00038411i,0.0011794+0.0004961i,-0.0001917-0.00012023i,-0.00026135-0.0005843i,4.6913e-05-0.00079882i,0.00041384-0.00031006i,0.00088933-0.00027113i,0.00065968-0.0011217i,0.00026282-0.00031463i,-0.00019672+0.00049831i,-0.00065947+6.7605e-05i,-5.8309e-05+0.0002704i,0.0011117+0.00059918i
-0.011489+0.0011737i,-0.0070006-0.002385i,-0.0011858-0.0018443i,0.00026824+0.00019167i,-0.0012017+0.00046559i,-0.002451-0.00047633i,-0.0024304-0.0011802i,-0.0019076-2.4296e-05i,-0.0016133+0.00090916i,-0.00070389+0.00018466i,0.00010502-0.00092027i,-0.00046795-0.0009191i,-0.00080022+0.00036286i,3.59e-05+0.0010111i,0.00048564-5.3812e-07i,0.00086238-0.00088098i,0.0010191-0.00095684i,0.00083519-0.00094241i,0.00022204-0.00076413i,-0.00032123-0.00074948i,-0.00047781-0.00020978i,-6.7068e-05+0.00035049i,0.00062052+6.0222e-05i
-0.0035596+0.01174i,-0.0061488+0.0068724i,-0.004074+0.00083729i,-0.0014176-0.00075079i,-0.00082238-0.0004137i,-0.0015336-0.00050249i,-0.0017543+0.00020007i,-0.0011451+0.001409i,-0.00087014+0.0011252i,-0.00075489+0.00092912i,-0.0010573+0.00085425i,-0.0011906+5.0537e-05i,-0.00023408+0.00012035i,0.00048374+9.5692e-05i,0.00020735-0.00077261i,-0.00022317-0.00055513i,-6.4238e-05-0.00015093i,-5.2516e-05-0.00047265i,-0.00089623-0.0011272i,-0.0010418-0.00089606i,-0.00066767-0.00016224i,-0.00057693-0.00010746i,-0.00025275-0.00029612i
0.011638+0.0072263i,0.0066753+0.0071726i,0.0014651+0.0037768i,-0.0002882+0.002102i,0.00027176+0.0024693i,0.00062048+0.0024035i,0.00061388+0.0014531i,0.0012239+0.0013416i,0.0013261+0.0013521i,9.0667e-05+0.00099826i,-0.0010599+0.0012074i,-0.00082736+0.0017284i,-0.00035838+0.00063012i,-0.00040461-0.00025258i,-0.00073714+2.0464e-05i,-0.00099968-2.8382e-05i,-0.0011184-0.00022272i,-0.0013494-0.0001675i,-0.0013696+0.00083334i,-0.00093323+0.0009745i,-0.00052422+0.000278i,-0.00043593+0.00043161i,0.00044176-0.00033207i
0.013167-0.0071302i,0.011392-0.0031668i,0.0062644-0.0016217i,0.0027928-0.0012834i,0.0011803+2.6311e-05i,0.00076182+0.00096082i,0.0011834+0.0011047i,0.0020993+0.00014618i,0.0024322-0.00094692i,0.0018526-0.00078178i,0.00053745+0.0002919i,1.5762e-06+0.00063344i,0.00035627-6.1598e-05i,0.0005375+0.00016193i,5.15e-05+0.00040056i,-0.00058143+0.00012658i,-2.2472e-05-0.00019154i,-6.447e-06-0.0003591i,-0.00040363+0.00036069i,0.00041477+0.00026666i,0.0011189-9.0444e-06i,0.00097724+0.00036704i,0.00028212+0.00016921i
-0.0027678-0.015092i,0.00081787-0.012998i,0.0017895-0.0071211i,0.0010057-0.0028497i,0.00069594-0.0018221i,0.0010686-0.0016323i,0.00083981-0.0017882i,0.00024597-0.0023458i,-1.5119e-05-0.0026521i,-3.7228e-05-0.0031166i,0.00062007-0.0022061i,0.00054997-0.00083135i,0.00022563-0.00071659i,0.00042359-0.0008574i,-0.000102-0.00077888i,-0.00016171+0.00055792i,5.5812e-05+0.00095367i,-7.371e-05-0.00012589i,0.00046125+3.3321e-05i,0.0012991+0.00079718i,0.00079829-0.00011217i,0.00051105-0.00045278i,0.00095101+0.0002762i
-0.013365-0.0030828i,-0.0093866-0.0072835i,-0.0040033-0.0069241i,-0.0015278-0.0046551i,-0.00065945-0.0026361i,-0.0015593-0.0010621i,-0.002206-0.00022595i,-0.001852-0.00024535i,-0.0013264-0.00076423i,-0.0011969-0.0016577i,-0.00090805-0.0017501i,-0.0009686-0.00094714i,-0.00088853-0.0010654i,-8.1917e-05-0.00095174i,6.8563e-05-0.00037636i,-5.1653e-05-0.00055164i,-9.106e-05-8.2223e-05i,0.0002124+0.00011735i,0.00021928-0.00038878i,0.00037403-0.00045122i,0.00078512-0.00018443i,0.00054423-0.00038004i,-0.00011296-0.00057741i
-0.010142+0.01258i,-0.010509+0.0068929i,-0.0069714+0.0019109i,-0.0037685+0.0007295i,-0.0023086+0.00027109i,-0.0024076+0.00026517i,-0.0023632+0.00075719i,-0.0015404+0.0012921i,-0.00089778+0.00096199i,-0.00075694+3.4143e-05i,-0.00022938-0.00023034i,0.00070365-0.00028422i,0.00034876-0.00054066i,-0.00044972-0.001297i,-0.00028256-0.0011252i,-6.0238e-05-0.0011875i,0.0001242-0.001361i,0.00027584-0.0011642i,0.00055422-0.00095682i,-0.00048279-0.00051791i,-0.0017752+0.00015151i,-0.00078068+0.00022815i,0.00041331-0.00061333i
0.012316+0.01269i,0.0068778+0.012863i,0.0015291+0.0077985i,-0.00032133+0.0035448i,-0.00063217+0.0015971i,-7.2843e-05+0.0012936i,0.00028591+0.0016158i,0.00021985+0.0016717i,-0.00016961+0.0016205i,-0.00067638+0.0017601i,-0.00067316+0.0011713i,0.00022122+0.00074598i,0.00043309+0.00032608i,-0.00038988-0.0008597i,-0.000195-0.0015048i,0.00026783-0.00091956i,0.00023773-7.2248e-05i,-0.00049748-3.0989e-05i,-0.0012993+0.00010812i,-0.0013081-0.0001477i,-0.00065252-0.00062791i,0.0003999-6.8906e-05i,0.0010718+0.00037983i
0.01309-0.0067335i,0.01136-0.0015866i,0.0054648+0.0014064i,0.0021463+0.0015003i,0.0015958+0.0019267i,0.0018422+0.0018552i,0.0018685+0.00036308i,0.0016999-0.00074814i,0.0015265-9.6805e-05i,0.00068659+0.00082352i,0.00036704+0.00086711i,8.4108e-05+0.0010111i,-0.00023247+0.0011882i,0.00030287+0.00079664i,6.5836e-06+0.00055663i,-0.000194-0.00022361i,-4.3619e-05+0.00017298i,-0.00039679+0.0010209i,-0.00050294+0.0014557i,-0.00071144+0.00076103i,-0.0013136+0.00028456i,-0.00099192+0.0010408i,-0.00056481+0.001795i
0.0012937-0.016821i,0.0060835-0.012846i,0.0057901-0.0064444i,0.00262-0.0020792i,0.0011342-0.000519i,0.00061362-0.0012474i,-0.0007208-0.0018251i,-0.0010381-0.0011782i,-0.00015511-0.0015942i,0.00082192-0.0025666i,0.0012282-0.0021507i,0.0011542-0.00048319i,0.0011992+0.00082719i,0.0009147+0.00068124i,0.00044356+0.00044678i,-1.3466e-05+0.0010745i,-0.0003801+0.00097095i,-0.00013789+4.5448e-05i,0.00099486-0.0006725i,0.0017805-0.00054496i,0.0016792+8.9268e-06i,0.0015275+0.00047048i,0.0015842+0.00018409i
-0.017233-0.0098294i,-0.012158-0.011222i,-0.0045388-0.0087388i,-0.00081791-0.0052276i,0.00018756-0.0023775i,-0.00056722-0.001908i,-0.0019177-0.001603i,-0.0016994-0.00037093i,-0.0017426+0.00024406i,-0.0019335-0.00018356i,-0.0010016-0.0014247i,0.0003028-0.0021612i,0.00058107-0.0018015i,0.00054938-0.0016451i,0.0005854-0.00094625i,0.00042288-0.00073384i,-6.0251e-06-0.00071635i,-0.00051085-0.00096707i,4.6346e-05-0.0011756i,0.00032994-0.0015469i,0.00022139-0.001067i,0.00082693-0.00031462i,0.0012102-0.00054377i
-0.01186+0.015367i,-0.014042+0.0090223i,-0.010448+0.00197i,-0.0055552-0.00054202i,-0.0032533-0.0011476i,-0.0029396-0.00066511i,-0.0036642+0.00013266i,-0.0036108+0.00092962i,-0.001661+0.0012606i,-0.00041935+0.0012745i,-0.00070166+0.0011837i,-0.00093718+0.0010292i,-0.0010586-0.00033052i,-0.0010673-0.0018273i,-0.00048444-0.0012061i,-0.00049722-0.00064461i,-0.00043568-0.0010508i,-1.888e-06-0.0011431i,0.00021572-0.0007156i,-0.00011909-0.00043447i,-0.00098364+0.00011575i,-0.0010629+0.00011538i,-0.00065306+0.00010835i
0.0092794+0.019068i,0.0037871+0.016581i,-0.00067279+0.010301i,-0.0010338+0.0049464i,-0.00035084+0.0029232i,-7.5149e-05+0.0022495i,-0.00043414+0.0013709i,-5.645e-05+0.001477i,0.00028264+0.0015715i,0.00021566+0.0011099i,0.00038468+0.00040269i,-0.00053747+0.00037426i,-0.0011509+0.0012175i,-0.00078952+0.00092731i,-0.00076194+0.0003024i,-0.00064985+0.00033652i,-0.00086959-0.00046333i,-0.0005686-0.0002952i,-0.00012015+0.00042936i,-0.0010064+0.00079277i,-0.0014058+0.00053649i,-0.0014483+0.00038611i,-0.00067264+0.00042233i
0.020214-0.00077044i,0.017705+0.0034953i,0.010288+0.0039604i,0.0044587+0.0027341i,0.0018304+0.0023493i,0.0012391+0.0022416i,0.0011734+0.00085642i,0.00090533-0.00044207i,0.00090111-0.0009012i,0.0011132-0.00059961i,0.0010439+0.00035435i,0.00071081+0.00065517i,0.0006799+0.0007314i,0.00047898+0.00078134i,-8.5149e-05+0.00015726i,-0.00058651-9.4431e-05i,-0.00068812+0.0004907i,-0.00040839+0.0001349i,-0.00047475-0.00025787i,-0.00032174-0.00030239i,-0.00035933-0.00063141i,-0.00027618-0.00094802i,0.00057512-0.0012427i
0.0077938-0.021276i,0.010663-0.016143i,0.0096793-0.0077977i,0.006451-0.0033166i,0.0035402-0.00143i,0.0013152-0.00089257i,0.00026951-0.0012132i,6.517e-05-0.0016298i,0.00020622-0.0019316i,0.00034803-0.0022382i,0.00036783-0.0019972i,0.0008534-0.00063386i,0.0016078-0.00023062i,0.0014445-0.00046168i,0.0009903+0.00051229i,0.00025108+0.0005503i,6.4799e-05-0.00059449i,5.6637e-05-0.00075437i,1.2923e-05-0.00013958i,0.00028853+5.4136e-05i,0.00072541+9.9036e-05i,0.00087289+0.00052955i,0.0005165+0.00051349i
-0.01662-0.010668i,-0.011647-0.014281i,-0.003629-0.011067i,-0.00018491-0.0063663i,-0.00021668-0.0037192i,-0.0014761-0.0020562i,-0.0025018-0.00067743i,-0.0025741-0.00021032i,-0.0017799+0.00028604i,-0.00060683+0.0002609i,-0.00041836-0.00048887i,-0.0006438-0.00092255i,0.00017358-0.0010525i,0.00084087-0.00085248i,0.00075432-0.00087617i,0.00058932-0.00058983i,6.3612e-05-0.00070928i,-0.00022967-0.00096195i,-0.00048292-0.0001296i,-0.00042099-5.3531e-05i,4.5563e-05-8.0675e-05i,0.00064417+0.00068545i,0.00059899+0.00086504i
-0.018928+0.014452i,-0.018025+0.0081175i,-0.011388+0.00099986i,-0.0052602-0.0016831i,-0.0024343-0.00097998i,-0.0015447-0.00040221i,-0.0012974+0.00022125i,-0.0014687+0.0010845i,-0.0011496+0.00147i,-0.00072599+0.0012982i,-0.00056684+0.00062059i,-0.00061556+0.00039947i,-0.00066223+0.00012793i,-0.00014778-0.00031613i,-5.2555e-05-0.00049493i,0.00036773-0.00078469i,0.00062699-0.0010471i,0.00023062-0.00081147i,0.00022712-0.00031012i,0.0002679+0.00023139i,-0.00027146+0.00031582i,-0.00031991+0.00014444i,0.00027993-6.4643e-05i
0.0053469+0.025501i,0.0019418+0.021179i,-0.0012111+0.011192i,-0.0019957+0.0040912i,-0.0017945+0.0018674i,-0.0016662+0.0010347i,-0.00077935+0.0015766i,0.0002437+0.0018009i,0.00083176+0.0012431i,0.00059296+0.00045392i,-7.0002e-05-0.00083692i,-0.0002888-0.0010823i,0.00065521+0.00017957i,0.00094791+0.00071143i,-0.0004617+7.1852e-05i,-0.0010473-0.00033629i,-0.00018167+2.1592e-05i,0.00068063-0.00018015i,0.00077822-0.00091155i,0.00083607-0.00070271i,0.00078103-8.6431e-05i,0.00049608+0.00060152i,0.00076118+0.0007457i
0.025591+0.0016188i,0.02145+0.0041827i,0.012272+0.004735i,0.0056416+0.0032799i,0.002855+0.001774i,0.0010946+0.00094932i,0.00029564-0.00012887i,0.0004315-0.00080461i,0.00040538-0.00074152i,0.00021111-0.0004273i,0.00033739-0.00032892i,0.00046547+0.00051565i,0.00024447+0.0010065i,7.8238e-05+0.00053848i,-0.00014187-0.00042247i,-0.00094856-0.0007705i,-0.0010543-0.00049959i,-0.00089685-0.00031986i,-0.00097978-3.8932e-05i,-0.00051647+0.00011073i,-0.00024805+0.00016329i,-0.00018973+0.00048258i,0.00013332+0.0010777i
0.013584-0.022813i,0.013468-0.018999i,0.010152-0.0104i,0.006117-0.0041709i,0.0034256-0.0017478i,0.0010404-0.0013745i,-0.0005265-0.0012826i,-0.00038137-0.0007465i,0.00048832-0.00069967i,0.0016032-0.00082798i,0.0012952-0.00025859i,0.00063072+6.1474e-05i,0.00098236-0.00011852i,0.00084034-0.00053502i,0.00033192-0.00018729i,-0.00021889+0.00055639i,-0.00060489+0.00055417i,-0.0010255+0.000341i,-0.00047171+2.2175e-05i,0.00031947-8.3869e-05i,4.7534e-05+0.00023937i,1.507e-05+0.00029295i,0.00080723+1.3255e-05i
-0.01738-0.01884i,-0.012545-0.018379i,-0.0051674-0.011945i,-0.00068976-0.0053349i,0.00011781-0.0029833i,3.0243e-05-0.0028549i,-0.00087845-0.0022479i,-0.0014801-0.00087824i,-0.0010615+0.00082372i,-0.00088308+0.0005182i,-0.00094018-0.00013785i,-0.00072323+0.00022821i,0.00043361+1.6889e-05i,0.0010041-0.00047331i,0.00033633-0.0004094i,8.4761e-05-0.00010222i,-4.2674e-06-9.2393e-05i,-0.00046556-0.00028269i,-0.00049807-0.00064718i,0.00039109-0.00077181i,0.00072452-0.0006684i,0.00065932-0.00061262i,0.00078949-0.00048607i
-0.024175+0.0096253i,-0.021708+0.0048398i,-0.014441-0.00027179i,-0.0081878-0.0021358i,-0.0041003-0.0018308i,-0.0017213-0.00030671i,-0.0013994+0.00059491i,-0.0018412+0.00035515i,-0.00089456+0.00069601i,-5.9278e-05+0.0015188i,-9.9546e-05+0.0014892i,0.00015012+0.00065183i,0.00030302-0.00055515i,-1.9124e-05-0.00053815i,2.6025e-05+0.00033826i,0.00027566+0.00023834i,0.00069998-0.00069031i,0.00094333-0.0005884i,-0.00029917-0.00028061i,-0.00055601-0.00077256i,0.00046519-0.00094302i,0.0012229-0.00073421i,0.00065782-0.00033548i
0.00094893+0.028437i,-0.00038692+0.024815i,-0.0030048+0.014774i,-0.0020606+0.0069107i,-0.00051823+0.0037236i,-0.000436+0.0013889i,-0.00027763+3.7134e-05i,0.00029865-0.00036163i,0.00076148-0.00022769i,0.00054333-0.00026463i,-1.0174e-05-0.00029281i,-0.00044379-8.3926e-06i,-0.00062139-0.00065119i,-0.00077349-0.0011259i,-0.00037702-0.00087649i,0.00027656-0.00038934i,0.00070477-0.00055664i,0.00099-0.001421i,0.00026006-0.0020363i,-0.0007403-0.0015326i,-0.00071704-0.0007496i,-0.00057527-0.00066997i,-0.00041321-0.00095927i
0.027178+0.0066925i,0.02371+0.0072192i,0.013835+0.0060255i,0.0057801+0.0037498i,0.0023389+0.002173i,0.00079455+0.0013106i,0.00013864+0.00090577i,0.00097133+0.00093943i,0.0018377+0.00030337i,0.001502-0.00027652i,0.00070944-0.0010881i,-0.00024576-0.00040684i,-0.0010652+0.00055456i,-0.0010924+6.186e-05i,-0.00054666-0.00051665i,-0.00020509-0.0010799i,3.6404e-05-0.0013105i,0.00023789-0.0010453i,0.00032438-0.00058527i,-2.8124e-05+0.00035922i,-0.00023269+0.00066526i,-9.8221e-05+0.00028958i,6.7397e-05-0.00023479i
0.020042-0.025359i,0.017853-0.022445i,0.011971-0.014438i,0.0056667-0.0071592i,0.0016261-0.0026424i,-0.00065565-0.00068883i,-0.00078239-0.00067444i,0.00014614-0.00085474i,7.4368e-05-0.00092288i,-0.00045799-0.0006997i,-0.00035445-0.00055579i,-0.000231-0.00026437i,1.1072e-05+0.00032543i,-4.5214e-05+0.0011685i,-0.00049694+0.0014725i,-0.00052146+0.00075541i,-0.00037092+0.00029755i,-0.00046573+0.00049806i,-0.00087513+0.00033694i,-0.0012309-9.1095e-05i,-0.0012057-0.00014887i,-0.00090471+0.00061901i,-0.00046747+0.00016519i
-0.018949-0.027676i,-0.016495-0.024592i,-0.010592-0.015486i,-0.0061255-0.0068148i,-0.0023352-0.0013338i,0.0007233-8.1744e-05i,0.00082411-0.00070569i,-0.00034815-0.0011733i,-0.001322-0.0015157i,-0.0022989-0.00053895i,-0.0020649+0.0014221i,-0.00031236+0.0020911i,0.00073169+0.0015217i,0.00032652+0.00056382i,-0.00022727+0.00058598i,-0.00082642+0.00062208i,-0.00051214-5.9824e-05i,0.00010608+0.00023832i,0.00062808+0.0001681i,0.00036037-0.0004415i,-0.00056399-0.00051227i,-0.00039362-0.00026878i,-0.00016166+0.00044942i
-0.029817+0.0036035i,-0.027905+0.0027666i,-0.018973+0.00028909i,-0.010159+1.6064e-05i,-0.0049765+0.0013679i,-0.0020669+0.0020231i,-0.0011532+0.0014279i,-0.00036553+0.00064802i,-9.5399e-05+0.00073872i,-0.0006573+0.0010291i,-0.00046566+0.00070877i,0.00051595+0.00027312i,0.00034843-0.00025658i,-0.00035417-0.00080909i,-0.00032863-0.00054024i,0.00010512-0.00020282i,0.00078374-0.00065017i,0.0011514-0.00042058i,0.00089506-0.0005534i,0.0013578-0.0012666i,0.0019144-0.0015812i,0.0011066-0.00082626i,-0.00023196+5.7641e-05i
-0.004011+0.032023i,-0.0016148+0.028335i,-0.00050909+0.017791i,0.00052334+0.0085238i,0.00047149+0.003204i,-0.00088121+0.00033746i,-0.0018484-0.00080662i,-0.00077673-0.00024471i,0.00068953+0.00046031i,0.0011635-8.9586e-05i,0.0010334-0.00089902i,0.00047371-0.00096762i,-0.00050741-0.00087061i,-0.00071833-0.0010844i,-0.0005135-0.0010235i,-0.00020589-0.0008451i,0.0010828-0.00083404i,0.0014866-0.00073971i,0.0005034-0.0012676i,-0.00046088-0.0008491i,-0.001028-0.00029259i,-0.0006984-0.00056285i,0.00025063-0.00047839i
0.026703+0.015061i,0.025466+0.013015i,0.016898+0.0099107i,0.0081014+0.0056711i,0.0043898+0.0019086i,0.0019067+0.00080317i,-0.00062001+0.001248i,-0.00089702+0.00059942i,-0.00058194-0.00025656i,0.00014701-0.00011206i,0.00025336-0.00019635i,-0.00069217-0.00020594i,-0.00065325+7.4924e-05i,-1.6372e-05+0.00045115i,0.00026843+0.00019995i,0.00014021-0.0004725i,-0.00089233-0.000734i,-0.0010768-0.00077458i,-0.00078373-0.00028344i,-0.00094807+0.00070756i,-0.0010738+0.00089918i,-0.00041528+0.00034944i,0.00057897+3.8864e-05i
0.021915-0.022922i,0.018128-0.022568i,0.012305-0.013917i,0.0064391-0.0060262i,0.0023745-0.0016796i,0.00060797+9.6798e-05i,0.00018259-9.4758e-05i,0.00052099+0.00024209i,0.00050798+0.00032545i,-6.8173e-05+0.00053305i,-0.00029617+0.00078835i,-0.00019764+0.00077718i,0.00011563+0.0011195i,-1.9243e-05+0.0011817i,-0.00032086+0.0010189i,-0.00043647+0.00077624i,-0.00087005+0.00013495i,-0.00098798-0.00024123i,-0.00087123-0.00057772i,-0.00051463-0.0004247i,5.707e-05+0.00057516i,-6.1754e-05+0.001237i,6.3819e-05+0.0011148i
-0.011184-0.025718i,-0.012344-0.023567i,-0.0093197-0.015481i,-0.0045914-0.0074756i,-0.0009692-0.0036938i,0.00035076-0.002698i,-0.00047701-0.0014909i,-0.0012726-9.0201e-05i,-0.0016742+0.00025167i,-0.0020241+4.0962e-05i,-0.0011191+0.00053412i,0.00054509+0.00071151i,0.0010808-0.00024691i,0.0012109-0.000635i,0.0014742-1.1178e-05i,0.0015243+0.0004682i,0.0013568-0.00015016i,0.00091047-0.00018132i,0.0006019+4.6383e-05i,0.00055073-0.00027796i,0.00071699-0.00050504i,0.00092504-0.0003392i,0.00032882-0.00030356i
-0.031694+0.0030715i,-0.02924+0.0046282i,-0.019594+0.0022702i,-0.010062+0.00070875i,-0.0044553+0.00071899i,-0.0021668-8.6469e-05i,-0.00079318-0.0006254i,0.000116-0.00027357i,0.00026135-0.00040521i,0.00040725-0.00058778i,0.00066656-0.00097116i,0.00059196-0.0010406i,0.0010996-0.0011657i,0.0010771-0.0016377i,0.00017554-0.0015391i,-0.00017577-0.00094683i,-0.00021609-0.00039685i,-0.00032061-0.00039632i,-0.00034513-0.00073267i,-9.2367e-05-0.0013144i,0.00015465-0.0020446i,0.00061857-0.0017203i,0.0006954-0.00049558i
-0.0056257+0.029293i,-0.00075888+0.028097i,0.0013134+0.017555i,-0.00078502+0.0079904i,-0.0023609+0.0028936i,-0.0020346+0.0001183i,-0.0011504-0.00024954i,-0.00020439+0.00075863i,0.00061566+0.00073335i,0.0011564+0.00028606i,0.00029642+0.00057554i,-0.0012589+0.00047286i,-0.0021184+0.00047107i,-0.0013309-0.0003977i,-0.0002448-0.00076387i,-0.00057348-0.00039546i,-0.00073496+0.00020484i,-0.00020591+0.00076746i,-0.00024032+0.00061656i,-0.00017078+0.00012997i,-8.4872e-05-0.00078377i,-0.00038602-0.0014133i,-3.7997e-05-0.0014945i
0.02546+0.018204i,0.026583+0.013233i,0.01875+0.0086447i,0.0099563+0.0053344i,0.005079+0.001804i,0.0020192-0.00090581i,0.00026828-0.0011494i,-0.00044841+0.00013346i,8.3504e-05+0.00064307i,0.0012224-0.0004848i,0.00076517-0.0016908i,-1.8225e-05-0.0010444i,-0.00040299+0.0006119i,-0.00073621+0.0013281i,-0.00062929+0.00095189i,-0.00051+0.00043155i,-5.9783e-05-0.00035251i,0.00028282-0.00037714i,0.00031286-0.00021925i,-1.1856e-05+0.00049008i,-0.00052699+0.0011222i,-0.0010553+0.0008181i,-0.00070676+0.00047882i
0.027866-0.017914i,0.02266-0.0231i,0.013852-0.018254i,0.0065962-0.0091758i,0.0019707-0.0032017i,0.00011487-0.0012498i,-6.8234e-05-0.00060534i,-5.1458e-05-1.9418e-05i,-0.00014217-8.3548e-05i,-0.00027736-0.00036224i,-0.00051473-0.00049854i,-0.00035139+0.00052227i,4.2882e-05+0.0013236i,0.00018578+0.00070147i,0.00062155-0.00019083i,0.00042196-0.00024887i,5.381e-05+7.5485e-05i,-9.3012e-05-3.4751e-05i,0.00021347-0.00056092i,0.00043919-0.00022713i,2.6915e-05+0.00025937i,0.00021612+0.0003768i,0.00036285-9.6599e-05i
-0.0063428-0.029269i,-0.012722-0.028309i,-0.010313-0.020549i,-0.0056951-0.011418i,-0.0034567-0.0053516i,-0.002773-0.00075833i,-0.0014787+0.0016115i,-0.00034814+0.001384i,-0.00048631+0.00087386i,-0.0009796+0.00015271i,-0.00061707+0.00030212i,0.00049957+0.00071562i,0.0017125+2.1567e-05i,0.0018931-0.00036235i,0.0010973-0.00071688i,0.00033485-0.00071901i,-0.00033078-0.00069273i,-0.00048425-0.00030724i,-0.00016015+0.00084538i,0.00040322+0.00068209i,0.00092436-0.00015998i,0.0011306-0.00046852i,0.00079293+0.00015287i
-0.02892-0.0010797i,-0.02862+0.0049435i,-0.019406+0.0052859i,-0.0096647+0.0018587i,-0.0041024+0.00041487i,-0.00090795+0.00058953i,8.6789e-05+0.00032083i,0.0004915-0.00073022i,0.00045248-0.00057655i,0.00022414-0.00041948i,0.0010128-0.00079659i,0.00095563-0.00076144i,0.00030015-0.00072598i,-0.00026796-0.0008564i,-0.00077393-0.00084921i,-0.00061419-0.00057941i,-0.00028149+3.7861e-05i,-0.00026359+0.00054717i,-0.00022933+0.00020159i,0.00026113-0.00025989i,0.00018441-0.00041601i,0.00032556-0.00019149i,0.00054634+0.00048106i
-0.010299+0.023787i,-0.0032014+0.026751i,6.9167e-05+0.019617i,-0.00060068+0.010077i,-0.001094+0.0037823i,-0.0001722+0.00010701i,0.00018022-0.0011284i,-0.00031526+0.00010812i,-0.00058792+0.00056257i,-0.0007069-0.00057326i,-0.0012137-0.0011275i,-0.0015132-0.0010005i,-0.0010842-0.0005111i,-0.00064358+0.00027053i,-0.00095575+0.00046958i,-0.0013969-0.00024993i,-0.0011043-0.00048619i,-0.0003687+0.00039369i,-0.00032482+0.00088235i,-0.0010863+7.2905e-05i,-0.00092466-0.0004959i,1.6398e-05-0.00056193i,0.00070928-0.00056455i
0.022519+0.020687i,0.02692+0.013678i,0.019932+0.0066613i,0.010441+0.0032178i,0.0052325+0.00086963i,0.0019158-0.00040486i,-0.0010618-0.00078617i,-0.0013087-5.1658e-05i,-0.00015754+0.00062651i,-1.2668e-05-0.00023303i,0.00025282-0.00036646i,2.6095e-05+7.8724e-05i,-0.00026516+0.00046374i,-0.00023986+0.00092598i,-0.00059267+0.00082591i,-0.0001549+0.00032567i,0.00028569-0.00015381i,0.00018544-4.2197e-05i,-0.0001336+0.00035679i,-0.00072317+0.000229i,-0.0013509+0.00040739i,-0.0013933+0.00079699i,-0.00067645+0.00023044i
0.025156-0.012007i,0.020967-0.021342i,0.013015-0.018009i,0.0071254-0.0091976i,0.0033185-0.0035645i,0.00057143-0.0005058i,-0.00015074+0.00033676i,-0.00051501+0.00056348i,-0.0011969+0.00090283i,-0.0014888+0.00032023i,-0.0010782-0.00047427i,-0.00039869+8.5275e-05i,0.00051538+0.00046086i,0.0012233+0.00034739i,0.0010485+0.00010283i,0.00013569-0.00065819i,-0.00088499-0.0009283i,-0.00079994-0.00095602i,0.00012201-0.00048477i,0.0010457+0.000253i,0.00066516+0.00075397i,-0.00049258+0.00076151i,-0.00028707+0.00011091i
-0.0058536-0.02604i,-0.014276-0.024545i,-0.013547-0.016185i,-0.0072111-0.0082967i,-0.003024-0.0026828i,-0.0014761+0.00013094i,-0.00096361-3.5969e-05i,-0.00019202-0.00013696i,0.00025176-0.0004476i,0.00024929-0.00054138i,-0.00037509+0.001042i,-0.00025429+0.0010941i,0.0003053-0.00029937i,0.00067249-0.0012765i,0.00018146-0.00099118i,-0.00071766-0.00030865i,-0.00097087-2.6382e-05i,-0.00098659+0.00024856i,-0.00051521-0.00025288i,0.00048219-0.00036637i,0.00053008+0.0004367i,0.00069331+0.00042707i,0.00079887+0.00013683i
-0.02677-0.0070278i,-0.028768+0.0027503i,-0.020604+0.0065909i,-0.01164+0.0044185i,-0.0052136+0.0024685i,-0.0014739+0.00090449i,-0.00038403-0.00068803i,-0.00051878-0.00064483i,0.00062667-0.00057148i,0.00089513-4.6783e-05i,-9.2018e-05+0.00010449i,5.5097e-05-0.00021086i,8.6924e-05-0.0010576i,-5.5428e-05-0.0013606i,-0.00066658-0.00044526i,-0.00050281-6.6598e-05i,0.00013942+8.2019e-06i,0.00010238+7.7548e-05i,2.0581e-05-0.00033783i,-0.00020024-0.00063293i,-0.00019918-0.00019252i,0.00029569+0.0004414i,0.00049791+4.9703e-05i
-0.012092+0.021974i,-0.0031119+0.027437i,0.0026007+0.020952i,0.0018402+0.010499i,0.0013314+0.0048963i,0.0011155+0.0014535i,3.2078e-05-0.0009327i,-0.00030299-0.00063397i,-0.00046898+0.00055804i,-0.00014321+0.00082029i,0.0003022-0.00017483i,0.00042524-0.00032125i,0.0003316+0.00024405i,7.4012e-06+0.00012455i,-0.00062917+0.00034476i,-0.00084142+0.00062513i,-0.00036791-0.00023553i,-0.00052798-0.0012076i,-0.00091679-0.001331i,-0.0006477-0.00069029i,-0.00067324-6.1573e-05i,-0.00078118-0.00019515i,0.00012755-0.00019091i
