-0.0045251+0.001886i,-0.0033684+0.0025169i,-0.002802+0.0018699i,-0.0017672+0.0016724i,-0.0007156+0.002228i,-0.00010165+0.001477i,0.00012513-0.00016384i,0.00053128-0.000436i,0.00091118-0.00018429i,0.0014426-5.9731e-05i,0.0020935+0.00038411i,0.0011794+0.0004961i,-0.0001917-0.00012023i,-0.00026135-0.0005843i,4.6913e-05-0.00079882i,0.00041384-0.00031006i,0.00088933-0.00027113i,0.00065968-0.0011217i,0.00026282-0.00031463i,-0.00019672+0.00049831i,-0.00065947+6.7605e-05i,-5.8309e-05+0.0002704i,0.0011117+0.00059918i
0.00084087+0.00055873i,0.0010944+0.0003633i,0.00075241-8.4743e-05i,0.0002233-0.0007123i,0.00056162-0.00079983i,0.0003664-0.00024569i,-0.000342+0.00025583i,0.0001763+0.00061081i,0.0010933+0.00052313i,0.00097891+0.00023377i,0.00048415-0.00023155i,0.00059243-0.00043442i,0.0010397-0.00020913i,0.00055911-0.00023683i,0.00013874-0.00032065i,0.00044778-4.1661e-06i,0.00032337+0.0011095i,-2.9417e-05+0.00091674i,-0.00031256-0.00035989i,-0.00033371-0.00055475i,0.00022606-5.5676e-05i,0.0010633+0.00019651i,0.0011288-2.4686e-06i
-0.00028-6.4401e-05i,-0.00044941-0.0011612i,0.00049449-0.00091915i,0.00076576+0.00034314i,0.00044082+0.00063676i,4.2964e-05+0.00051358i,-0.00011188+0.00034748i,-0.0006259+0.00038087i,-0.00068017+0.00084684i,-0.00041389+0.00070223i,0.00026133+8.7035e-05i,0.00083467+0.00018403i,1.4237e-05+0.00076244i,-0.00033516+0.0007748i,-0.00048921+0.00041088i,-0.0011676-0.00052305i,-0.0012517-0.000835i,-0.00029237+2.8216e-05i,-4.9201e-07+0.00026726i,-0.00060297-0.00034752i,-0.00027241-0.00043649i,-0.00028047-0.00010037i,-7.548e-05-0.00028079i
0.0012782-0.00094669i,1.7148e-06-0.0012394i,-0.00056737-0.0017529i,-0.00041871-0.0010403i,-0.00039414-0.00010142i,-0.00078401+0.00018522i,-0.00042486+0.00072554i,0.00015348+0.00075406i,-0.00037241+0.0005922i,-0.00051006+0.00027404i,-0.0012072+1.1148e-05i,-0.0012325-0.0004792i,-0.00016-0.0006578i,-9.408e-05-0.00039792i,-0.0001282+0.00036236i,0.00022184+0.00060275i,0.00013238-0.00033806i,-3.3696e-05-0.0004704i,0.00036963+0.00039596i,0.00022829+0.00025608i,-9.8991e-06-0.00047519i,-0.00089451-0.0003508i,-0.001171-0.00039105i
0.00069405-0.00074489i,0.00018115-0.00050064i,-0.00074586-0.00027842i,-0.00051896-0.00096537i,-4.422e-06-0.0008371i,0.00016739+4.0832e-05i,0.00018328+0.0002629i,6.7321e-06+0.0006341i,-0.00049063+0.00022571i,-0.00055399-0.00044792i,0.00013648-0.00076219i,0.0006243-0.00020833i,0.00014549+0.00046721i,-3.9819e-05-0.00037793i,-0.00022458-0.00084046i,0.00013452-0.00012504i,0.00031937+0.00051237i,0.00059832+0.00048911i,0.00056124+0.00077908i,-0.00025025+0.0009224i,-0.00060619+0.00021554i,-0.00070851-0.00031997i,-0.00017027-0.00057648i
0.00026622+0.00089809i,0.00018649-0.00014936i,0.00043938+0.00011945i,0.00071497+0.00014479i,0.00041594-0.00053795i,0.00021023-0.00085266i,-0.00048092-0.00088256i,-0.0012216-0.00047574i,-0.00032799-0.00030371i,0.00068834-0.00035731i,7.0642e-05-0.00041196i,-0.00027737-0.00036162i,-0.00025893-0.0006859i,2.5171e-05-0.00069007i,1.5213e-05-0.00024868i,-0.00077787-0.00039765i,-0.00091882-0.00058517i,-0.0008612-5.3008e-05i,-0.00030372+0.00039502i,7.3225e-05+0.00031592i,7.3961e-05+0.00025893i,-0.0002601+0.00082464i,-6.0784e-05+0.00082259i
0.0030946-0.0012704i,0.0020968-0.0019515i,0.0013533-0.0019161i,0.00065226-0.0010773i,-0.00053553-0.00032705i,-0.00097508-0.0004165i,-2.6277e-05-3.5142e-05i,0.00030869+0.00050847i,0.00016834-4.7016e-05i,-0.00017988-0.00076601i,-0.00092611-0.00066453i,-0.00068833-0.0004644i,-0.00020146-0.00071719i,-5.2308e-05-0.00093311i,-0.00074007+1.2947e-06i,-0.0011733+0.00067377i,-0.00026457+0.00042964i,0.0005092-0.00019537i,0.0011157-0.00070377i,0.00022874-0.0010314i,-0.00039299-0.0010475i,0.00026841-0.00021257i,0.00079535+3.9552e-05i
-0.00085704-0.00060537i,-0.00092131-0.00022196i,-0.0012998+0.00020359i,-0.0015804-0.00022871i,-0.001634-0.00081905i,-0.00073081-0.00026045i,0.00012236+0.00035251i,0.00046979+0.00058354i,0.0012023+0.00038282i,0.0011042-0.00015139i,0.00011369+0.00043922i,-0.00019172+0.00073356i,-4.3876e-05+0.00056406i,-4.2692e-05+0.00044827i,-0.00021562+0.00010641i,0.0005413-0.00061331i,0.00081308-0.00095244i,5.1834e-05-0.00065855i,-0.00024342-0.00030471i,-0.00062405-0.00047292i,-0.00038766-0.00057446i,0.00015522-0.00062768i,0.00058181-0.00063179i
0.0021542+0.00051017i,0.0021091-0.0011662i,0.0020346-0.0015433i,0.0012265-0.0011794i,0.00084149-0.00080736i,0.00034058-0.00015345i,-0.00047423+0.00054938i,-0.00034834+0.0015194i,-0.00046089+0.00085419i,-0.00047351+0.00024119i,-0.00070037+0.00027687i,-0.00043316+0.0003482i,-0.00027187+0.00034956i,-0.0003677-3.5654e-05i,-8.7839e-05-5.6161e-05i,-0.00058549-0.00010062i,-0.00066985-0.00047386i,0.00016344-0.00011735i,-4.4854e-05+0.0001703i,-0.00057855-0.00017437i,-0.00067278-0.00046037i,-2.6782e-06-0.00028039i,0.00090714-8.9564e-05i
-0.0014495+0.00040901i,-0.0016221+0.0001614i,-0.0011465-0.00066491i,-0.0011115-0.00038898i,-0.00046401-0.0005274i,0.00049156-0.00037549i,-0.0002013+0.00025198i,-0.00085686+0.00066128i,-0.00033433+0.00072631i,6.6509e-05+0.00074478i,1.036e-07+0.00054569i,0.00013535+0.00028967i,-1.6118e-05-3.1183e-05i,-0.0001705-0.00052697i,6.3035e-05-0.00026709i,-1.2279e-05+0.00045955i,-0.00048614+0.00026723i,-0.0012016-0.0003203i,-0.0010895+1.0135e-05i,-0.00058618+0.00037259i,0.00012811+0.00032162i,0.00032842+0.00061967i,-0.00036711+0.00079133i
0.0031843-0.00036835i,0.0013785-0.0014481i,-0.00014206-0.0014112i,0.00051364-0.00083137i,0.0008887-0.0008805i,0.00021829-0.00070808i,0.00024095-3.0885e-05i,-0.00018882+0.00044795i,-0.00082761+0.0004677i,-0.00047819+0.00047877i,-1.375e-06+0.00051446i,0.00015361+0.00012213i,0.00030547-0.00030278i,-3.3995e-05-8.9048e-05i,-0.00038894+6.5688e-05i,0.00012636-0.00032526i,0.00060637-0.00092862i,0.00031137-0.00059983i,-8.5856e-05-4.7791e-05i,-0.00036187-0.00010319i,-0.00063275+9.5894e-05i,-0.00042009+0.00035337i,-0.00045352-7.2734e-05i
