0.00039476-0.00016104i,0.0015661-0.0020045i,0.0018013-0.0018493i,0.00079123-0.001322i,0.00058106-0.00088447i,0.00089919-0.00010843i,0.0012017+0.00050771i,0.00052354+0.0012339i,-0.00060755+0.0017239i,-0.00068061+0.0004192i,0.00026451-0.00071547i,0.00061763-0.0001648i,0.00020211+0.00026749i,-0.00050405-0.00022091i,-0.00070256-0.00062607i,4.671e-05-0.00026094i,0.00029636+0.00037923i,0.00017049+0.00068396i,0.00012441+0.00070284i,-8.337e-05+0.00013977i,-7.7097e-07-0.00011854i,0.00038501+0.00013315i,0.00065608-0.00045945i
0.0011985+0.00052889i,0.0015316-0.0011759i,0.001119-0.0036099i,0.00055268-0.0048703i,0.00039776-0.0038591i,0.0007554-0.0021474i,0.0011208-0.00043994i,0.00069235+0.00046849i,0.0003248+0.0011461i,-0.0003667+0.0012435i,-0.00097021+0.00048946i,-0.0014392-0.0001521i,-0.001358+0.00076164i,-0.00081436+0.001629i,-0.00058016+0.00019549i,-0.00010457-0.0013088i,0.0006342-0.0008902i,0.0010534+0.00054414i,0.00086403+0.00047317i,0.00034683+0.00025771i,-0.00011943+0.00038125i,-2.2967e-05+0.00027724i,0.00033864+0.00026308i
-0.00039398-0.00095362i,0.00031627-0.0016778i,0.0013487-0.0015024i,0.0022777-0.0012134i,0.0020072-0.0011064i,0.0013708-0.00076985i,0.00098869+0.00054199i,0.00035849+0.0010105i,-0.00033294+0.0013947i,4.5201e-05+0.0020058i,0.0007277+0.0018073i,0.00053465+0.0013428i,0.00038053+0.00088255i,0.0003326+0.0003488i,-1.1522e-05-0.00041881i,6.5599e-05-0.0010908i,0.00043541-0.0013601i,0.00093055-0.0013802i,0.00033289-0.0009794i,-0.0004351-0.00067269i,7.7461e-05-0.00034724i,0.00032678+0.00061468i,0.00019931+0.00062518i
0.0019388-0.00056832i,0.0013713-0.0022142i,0.00013038-0.0037934i,-0.0010063-0.0024555i,-0.00082551-0.00028739i,-8.4926e-05+0.00080342i,-0.00033738+0.00044661i,-0.00085731-0.00056477i,-0.00048008-0.0006089i,-0.00018689-0.00036573i,0.00011981-0.00077208i,1.9082e-05+0.00016074i,-0.0007024+0.00099091i,-0.00015479-0.00035106i,0.00077769-0.0012634i,0.00055332-0.00080695i,-5.0461e-05-0.00054003i,0.00017473-0.00077307i,0.0010734-0.00048831i,0.001458-9.6796e-05i,0.00086828-8.7982e-05i,0.00010349-0.0002239i,0.00039644-0.00021907i
0.00055245-0.0023983i,0.001135-0.0031716i,0.0014622-0.0022172i,0.0011307-0.0012276i,0.00060447-0.00073128i,0.001015-0.00098358i,0.00098924-0.0016217i,0.00052659-0.0005295i,0.00031204+0.00061013i,-4.9022e-06+0.00061533i,-4.9104e-05+0.00039003i,-0.00030606+8.3586e-05i,-0.00083148+0.00014882i,-0.00081824+5.6078e-05i,-0.00029734-0.00036086i,0.00025925-0.0011627i,0.00020118-0.00093845i,0.00047697+0.00011694i,0.00032786+0.00027287i,-0.00044877-0.00033808i,0.00021715-0.00022111i,0.00048757+0.00028408i,0.00037965-7.0128e-05i
0.0024169+0.001637i,0.0039361-0.001733i,0.0043472-0.0058824i,0.0032908-0.0067153i,0.0014144-0.0045511i,0.00043421-0.0014015i,0.00028898+0.00016666i,0.00021784+0.00064011i,0.00031136+0.00034247i,0.00067127-0.00079701i,0.00077072-0.0011908i,-0.00034758-0.00094966i,-0.00017807-0.0012177i,0.0004035-0.00085552i,2.0985e-06-0.00048591i,-0.00023454-0.00072427i,-0.00035081-0.00023149i,-7.8705e-05-0.00012145i,0.0002193-0.00030752i,-8.575e-06-0.00040488i,-4.4472e-05-4.5066e-05i,-1.6273e-05-7.2021e-05i,-1.3031e-05-0.0007779i
0.0021283-0.0020102i,0.0017649-0.0029327i,0.0012153-0.003356i,0.00074658-0.0035649i,0.00067386-0.0034388i,0.0012766-0.0015227i,0.0011684+0.00097414i,-1.0272e-05+0.0022297i,-0.00016943+0.001214i,0.0001683-0.00047991i,0.00028332-0.00042446i,4.5148e-05-0.00022671i,-0.00067728-0.00051078i,-0.0005413-0.00014288i,0.00033492-4.9517e-05i,0.00057382+0.00012479i,-0.00016225+0.00011801i,-0.00011588+2.0736e-06i,-0.00031234+0.00052667i,3.125e-05+0.00054076i,0.00061314+0.00022567i,0.00043021+8.2637e-05i,0.00077757-0.00054954i
-7.0887e-05+0.00077879i,0.00089577-0.0010944i,0.0019945-0.0015085i,0.0014816-0.0021407i,0.000683-0.00273i,-0.00029075-0.0017195i,-0.0004312-0.0007311i,0.00084623-0.00032133i,0.0011292+0.0003164i,0.00020718+0.00033091i,2.7072e-06-0.00015208i,1.5772e-05-0.00027276i,-0.00055173+0.0001652i,-0.00036569+0.00029321i,0.00046239-0.00059396i,0.0004811-0.00086319i,-1.038e-05+9.7113e-05i,0.00024493+3.1308e-05i,0.00069429+0.00017314i,0.00038+0.00059544i,-0.00010157+0.00021093i,0.00023303+0.00018093i,0.00063592+9.5037e-05i
0.0038845-0.00047883i,0.0024804-0.0010339i,0.0021735-0.0028257i,0.0015735-0.0038466i,-0.0002396-0.0027707i,-0.00026402-0.00084504i,0.00091623+0.00080702i,0.00014178+0.0013909i,-0.00044655+0.0014799i,-0.00026607+0.00094992i,-0.00029817-0.0001554i,-0.00044119-0.00027862i,-0.00058103+0.00043854i,-0.00059669+6.3548e-05i,-0.00047358-0.0009089i,-2.7427e-06-0.001152i,0.00034768-0.00048416i,0.00031008-0.0002469i,4.7933e-05-0.00089029i,6.0324e-05-0.0011694i,-4.1138e-05-0.00060999i,0.00043883-0.00067191i,0.00083202-0.00088845i
0.0004465+0.00047707i,0.0017326-0.00049361i,0.0021129-0.0015928i,0.0018202-0.0017628i,0.0015266-0.0013672i,0.0018441-0.0014083i,0.00087426-0.00067937i,-0.0006435+0.00082101i,-0.00027706+0.0011304i,4.4973e-05+0.00070287i,0.00035177+0.00046068i,0.00029598+0.00018367i,-0.00060122-0.00067294i,-0.00022547-0.00094925i,0.00035471-0.00032799i,-2.1528e-05+0.00016076i,-0.00053405-0.00024784i,0.00012487-0.00092277i,0.00079949-0.00093505i,5.9626e-08-0.0006182i,-0.00013342-0.00091319i,7.1697e-06-0.0010206i,-0.00020652-0.00073026i
-0.0014466-0.0012332i,0.00022462-0.00025992i,0.0012448-0.00019919i,0.0019864-0.00078961i,0.0025625-5.3196e-05i,0.002193-0.00030498i,0.0013981-0.00082136i,0.00043614-0.00077189i,-0.00038576-0.00062065i,-0.00033818+0.00022475i,0.00037254+0.00051902i,0.00075874+0.00047537i,0.00015782+0.00091891i,-0.00021647+0.00074494i,0.0001057+0.00020505i,0.00013628-0.00085597i,0.00029331-0.00097493i,0.0002252-0.00014129i,0.00052988+0.0003697i,0.00063997+2.6927e-05i,-0.00049638-0.00012743i,-0.0011362+0.0001629i,-0.00059565+5.7483e-05i
0.00097347-0.0018095i,0.0014063-0.002661i,0.0024113-0.0034656i,0.001174-0.0022897i,-0.00077591-0.00059464i,-8.1652e-05-1.4844e-06i,0.0012342-0.0004336i,0.0012835-0.0003935i,0.00092932+2.3771e-05i,0.00044516+0.00036237i,-0.00042338+0.00084045i,-0.00081977-0.00018144i,-0.0012219-0.0010152i,-0.00099317-0.00081537i,0.00013668+0.00018793i,-2.5154e-05+0.00078671i,-4.7645e-05+0.00021392i,0.00049374+0.00019731i,0.00045309-2.6032e-05i,-0.00011828+1.9337e-05i,-0.00023108+1.8854e-05i,0.0002111-0.00060802i,0.00047889-0.00047734i
0.0010294-0.0012173i,0.0011707-0.0025236i,0.0006423-0.0023398i,-0.00072219-0.0016023i,-0.00084075-0.0010159i,0.00094978+1.7357e-05i,0.0011983+0.00078069i,5.094e-06+0.0011162i,-0.00018931+0.0013128i,-1.7397e-05+0.00094136i,-0.00014447+0.00080439i,-0.00025832+0.00087447i,-0.00062433-7.9889e-05i,-0.00050232-0.00033326i,0.00070699+0.00018886i,0.00050648-0.00014218i,-0.00054895-0.00040861i,-0.0007414-0.00045755i,-4.4169e-05-0.00047246i,0.00057462+3.1278e-06i,0.00045846+6.8243e-05i,0.00012549-0.00044904i,0.00054781-0.0003673i
0.00026516+0.00016288i,0.0016861-0.0013074i,0.0037417-0.0029877i,0.0038767-0.0041513i,0.0022442-0.0040303i,0.0019575-0.0016491i,0.0017837+5.7752e-05i,0.0007802-0.00020241i,-0.0004245-9.4516e-05i,-0.00076409+0.00067838i,-0.00069405+0.00093154i,-0.0013109+0.00060376i,-0.0010192-0.00025784i,-0.00035048-0.00036279i,-0.00029213-0.00043179i,-0.00012843-0.00085661i,0.00034875-0.00054997i,0.00061145+2.2659e-05i,0.0005162+0.00036098i,-8.8948e-05+0.00032229i,0.00040258+0.00042696i,0.0011313-8.1673e-05i,0.00049797-0.00033521i
0.00020221-0.0017712i,0.0019378-0.0020319i,0.0019463-0.0034418i,0.0013504-0.0035559i,0.0010243-0.0013837i,0.001338-7.5143e-05i,0.0015884-0.000553i,0.00039763+6.2986e-05i,-0.00084422+0.00027841i,-0.0007725-0.0003778i,-5.8212e-05-0.00053934i,0.00041471-0.00018803i,-1.0865e-05+0.00041812i,-0.00087367+0.00075294i,-0.00079287+0.0008496i,4.8724e-05+0.00025095i,0.00030394-9.2237e-05i,0.0005673-0.00014641i,0.00043463+8.3404e-05i,0.00065019+0.00052003i,0.00071823+0.00026426i,0.0010052+8.6753e-05i,0.0011521+7.731e-05i
0.00088771-0.0010634i,0.00017643-0.0021093i,-0.00036263-0.0024201i,-0.00044594-0.0015376i,-0.00061619-0.00053947i,0.00022817-0.00031401i,0.0002495-0.00045456i,-0.00024338+0.00061297i,-0.00048241+0.0017207i,-0.0011502+0.0010044i,-0.00062718+0.00018792i,0.00027362+0.00043786i,-3.0737e-05+0.00039915i,-0.00032694+0.00032441i,0.00013892+0.00030704i,0.00066866-0.00028139i,0.00082699-0.00043602i,0.00062935-0.00044208i,0.00079855-0.00020865i,0.0009163+5.1548e-05i,0.00076007+0.0001857i,0.00022763+0.00049066i,4.4001e-05+3.3341e-05i
0.0018225-0.00050678i,0.0016805-0.0030819i,0.0019578-0.0041327i,0.0014953-0.0033655i,0.00063541-0.0020392i,0.00053136-0.00045397i,0.00020635+8.003e-05i,0.00084602+0.00015799i,0.00066184+0.00047795i,-0.00028018+0.00061756i,0.00015152-0.00012427i,4.0265e-06-0.00038022i,-0.0001211+0.00018836i,0.0003822+0.00020629i,0.00061961-0.00060694i,0.0011844-0.00054181i,0.0011763+0.000559i,0.00061001+0.00011216i,-0.00046428-0.00076037i,-0.00071367-0.00076144i,-0.0001364-0.00046168i,-0.00018378-0.00021073i,-0.00056945+0.00018967i
