0.0013781-0.00099654i,0.0010647-0.0023011i,-5.2899e-05-0.0031196i,0.00023321-0.0016759i,0.00083001-0.0014459i,0.00023906-0.0010202i,-0.0010437+0.00053763i,-0.0010393+0.002585i,2.6116e-05+0.0033194i,0.0012293+0.001695i,0.0015697-0.00041915i,0.00097067-0.00081695i,0.00083694-0.00025232i,-2.5744e-05-0.00026815i,-0.00056253-0.0001426i,-0.0001848-6.4265e-05i,-0.0003844+0.00011954i,-0.00044049+0.00062248i,-0.0005422+0.00063483i,0.00011428-0.00022681i,0.00083742-0.00049263i,0.00065449-8.3162e-05i,-8.1074e-05+8.3229e-05i
0.00052452+0.00087838i,0.00063575-0.00023434i,0.0011545-0.00022856i,0.0030946+5.6347e-05i,0.0032771-0.00098585i,0.0018047-0.0013794i,3.2996e-05-0.00054079i,-0.00085376+0.00072057i,-0.0003081+0.0017858i,0.0010154+0.0015984i,0.0020461+0.00068215i,0.0011624-0.00068825i,0.00019818-0.0017184i,0.00063923-0.0016894i,0.00078184-0.00071793i,-0.00010519+4.5052e-05i,-0.001034-2.859e-05i,-0.0013116-5.0758e-05i,-0.00056474+2.3872e-05i,-0.00044778-0.00011702i,-0.00040885-0.00040219i,0.00012835+0.00032654i,-3.4119e-05+0.0004462i
-0.00087349-9.044e-05i,-0.000895-0.00014772i,-9.9323e-05-0.0002246i,0.0011724-0.00033773i,0.0020188-0.00087316i,0.0019807-0.0012734i,0.00074602-0.00047926i,-0.00025223+0.00061094i,-0.00025856+0.0013376i,-1.5531e-05+0.0016123i,9.1736e-05+0.0010668i,-5.3611e-05-0.00019692i,-9.88e-05-0.0013713i,0.0012661-0.001709i,0.0017961-0.0016859i,0.00031232-0.00098848i,-0.00093816-0.00020139i,-0.0013999+0.00022505i,-0.0012822-0.00012381i,-2.5967e-06-6.391e-05i,0.00053788+0.00038622i,3.0998e-05+0.00026989i,-0.00026353+0.0002952i
-0.00042312+0.0020124i,0.00012938+0.001902i,0.00061399+0.0015833i,0.0019333+0.00074952i,0.0028572+0.00011214i,0.0013999-0.00023336i,-0.00059637-0.00036971i,-0.0016257-0.00011705i,-0.0015814+0.00050591i,-0.00024503+0.001343i,0.00069883+0.00083295i,0.0010643-0.00012995i,0.00099392-0.000975i,0.0012542-0.00014603i,0.00070109+0.00038895i,2.2203e-05-0.00029545i,-0.00011319+0.00025947i,-0.00048244+0.0013916i,-0.00041699+0.0016178i,-0.00046+0.00058277i,-0.00035008-0.00033438i,-0.0002539-4.3887e-05i,-0.00076652+4.9687e-05i
-0.0011699+0.00024405i,-0.00059576-0.00041413i,0.00049625-0.0001773i,0.0013555+0.00023296i,0.001916+3.3247e-05i,0.0024007-0.00025426i,0.0011875-0.00064544i,0.00046836-0.00010239i,2.9237e-05+0.00095081i,-0.00023807+0.0017058i,-0.00025329+0.00091015i,-0.00043865+5.1054e-05i,-0.00025675+0.00018676i,-0.00041532+0.00022692i,-0.00080471+3.4341e-05i,-0.00055675-0.00028642i,-0.00032349+0.000105i,-0.00071509+5.4575e-05i,-0.00052774-0.0002028i,-0.00012152-0.00061945i,-0.0003683-0.00066133i,-0.0002394-0.00035417i,-0.00055072-0.00029761i
-0.00021597-0.0017082i,-1.9737e-05-0.0014463i,0.00043552-0.0012709i,0.0013339-0.00023781i,0.0022249-0.00040517i,0.0015282-0.0013551i,0.00023629-0.0010114i,-0.00061118+0.00040592i,-0.00045151+0.0013221i,-0.00020654+0.00082077i,0.00016699+8.9352e-05i,0.00040596+0.00061331i,1.4801e-05+0.0010578i,0.00031593+0.0007225i,0.00051211-3.1383e-05i,0.00043145-0.00012034i,-0.0010111+0.00061027i,-0.0020555+0.00037967i,-0.00068152-0.00047666i,0.00050934-0.00021267i,-0.0004332+0.00031896i,-0.0014467+0.00026906i,-0.00085669+0.00016718i
-0.0024389+0.00025015i,-0.0010753+0.0013579i,4.4522e-06+0.0020402i,0.00096862+0.0018269i,0.001617+0.00091073i,0.0013849-8.4721e-05i,3.9658e-05+2.7707e-05i,-0.00043389+0.0013026i,-0.00045158+0.0019153i,-0.0002158+0.0016175i,0.00065352+0.00088449i,-0.00015461+0.00024588i,0.00019524-0.00029503i,0.00073229-0.00057409i,0.00015845-0.00045243i,-0.00024848-1.5108e-05i,-0.00089985-1.8616e-05i,-0.0016024-0.00013352i,-0.00080224+0.00053578i,0.00035335+0.0008171i,0.000704+0.00012234i,0.00046745-0.00052059i,0.0010255-0.00062604i
-0.00014202+7.3962e-05i,-0.00036644+0.0014277i,0.00015469+0.0022314i,0.0016136+0.0022575i,0.0038665+0.00076819i,0.003114-0.001047i,0.00039732-0.00083184i,-0.00030972+9.5091e-05i,0.00025815+0.00027562i,-0.0003696-0.00043132i,-0.00080323-0.0001385i,5.2096e-05+0.0003021i,0.00032526+2.4925e-05i,7.626e-05-0.00014858i,0.00050818-6.5419e-05i,0.00060484+0.00058879i,-0.00029709+0.00029655i,-0.00099661-8.7066e-05i,-0.00055884-0.00056962i,-0.00019266-0.00059985i,0.00027486+0.00021657i,0.00058377+0.00015136i,0.00013716+0.00011091i
-0.0019172-0.0006194i,-0.00019056-0.00016192i,0.00041907+0.00059655i,0.0020667+0.00067906i,0.0025436+0.00071158i,0.001162-0.00028972i,0.00078759-0.00018652i,0.00031092+0.0015385i,-0.0001655+0.0018064i,0.00063316+0.001371i,0.0011453+0.00087617i,0.00079446+0.00016561i,0.00030837-0.00043815i,0.00025029-0.00050687i,0.00044434-0.00037846i,0.00036531-0.00010991i,-0.00023696+4.6393e-05i,-0.00049939-6.0252e-05i,-0.00046047+0.00074598i,-0.00045046+0.0012066i,-0.00038691+0.00049452i,-0.00015231+1.0275e-05i,0.00037811-0.00018374i
0.00029692+0.00084315i,0.00053282+0.00029433i,0.00011526-0.00030736i,0.00054243-0.00097156i,0.0023339-0.0013786i,0.0023626-0.0012972i,0.00021117-0.00051577i,-0.00085757+0.0010718i,-3.8239e-05+0.0018228i,0.00089034+0.0009936i,0.0015028+0.00022475i,0.0015376-0.00039507i,0.00041733-0.0010878i,0.00033898-0.0016697i,0.00021574-0.0019424i,-0.00040054-0.0017334i,-0.00081655-0.0014773i,-0.0017388-0.0009536i,-0.0015094-0.00022849i,-0.00034155+0.00016123i,-0.00026701+0.00070512i,-0.00026377+0.00088711i,0.0002856+0.00014366i
-0.00017488+0.00058145i,-0.0002244+0.00039379i,0.00049962+0.00043319i,0.0023946+0.001032i,0.0024253+0.0003794i,0.00064572-0.0010594i,-0.00058612-0.0010614i,-0.0013869+0.0009327i,-0.00099885+0.0022071i,0.0001484+0.002203i,-0.00015994+0.00078087i,-0.00044324-0.00067118i,0.00017771-0.00032288i,0.00087872+0.00027034i,0.00085139+1.4087e-05i,0.0003962-0.0003697i,4.2504e-06-0.0009481i,-0.00062932-0.00097714i,-0.00055166-0.0003036i,-0.00027956+6.734e-07i,-0.00017763-0.00016907i,0.00015961-0.00065088i,0.00059511-0.00052038i
