-0.0022829+0.0002026i,-0.0020124-0.00011079i,-0.00249+0.00028862i,-0.0019724+0.00027793i,-0.0026888+0.00041768i,-0.0034904+0.0013503i,-0.0038847+0.0027023i,-0.0022916+0.003178i,2.2152e-05+0.0017839i,0.0011304+0.00053378i,0.0019237+1.5425e-05i,0.0011726+3.1542e-05i,0.00023047-0.00057747i,-8.7975e-05-0.0016584i,-0.0010317-0.0015143i,-0.0010802-0.00047897i,-0.00026967+0.00045771i,-0.00018725+4.6848e-05i,0.00026144-0.00017179i,0.00095537+0.00043971i,0.0009357+0.00075944i,0.00029175+0.00070732i,7.7138e-05+5.1993e-05i
0.00129-0.00022192i,0.00061751-0.00062294i,0.0001411-0.00089775i,-0.00034619-0.0015529i,-0.0015644-0.0023427i,-0.0036257-0.0021869i,-0.0047413-0.00010909i,-0.0025661+0.0015194i,0.00012917+0.00046691i,0.00074792-0.0005632i,-3.1033e-05-0.00030878i,-0.00033259-0.00075428i,-0.00055513-0.00037337i,-0.00037663+0.00015781i,0.00051313+0.00017083i,0.00060463+0.00029218i,0.00039341+0.00059584i,0.00056829+0.00069572i,0.00017364+0.00082283i,-0.00020526+0.00056324i,0.00016364-0.00011826i,0.00069466-0.00016831i,0.0011323+9.3352e-05i
0.0011992-0.00045524i,0.00028491-0.00026507i,-0.00075301-0.0010304i,-0.0021192-0.0018549i,-0.0036782-0.0018259i,-0.0048239-0.0010217i,-0.0027578-2.6899e-05i,-0.00046168-0.00045117i,0.00055479-0.0020128i,0.0010336-0.0023189i,0.00050735-0.0012499i,-0.00019889-0.00053558i,-0.00053339-0.00059799i,-0.00052246-0.00017472i,3.3079e-05-0.00018143i,0.00038853-0.00011291i,0.00037788-0.0003411i,0.00053718-0.00045636i,-0.00013674+0.00072551i,-0.000443+0.0013481i,0.00023145+0.00081151i,0.00043869+0.00015942i,0.00027082+0.00043793i
-0.0015874-0.00021283i,-0.00086972-0.00049915i,0.0001439-0.00025899i,-0.00040486-0.00068785i,-0.0015575-0.0020262i,-0.0023819-0.0018709i,-0.00218-0.0005652i,-0.000998-0.00021805i,-0.00028408-0.0010387i,0.00043658-0.00088688i,0.00037891-0.00014109i,-0.00010879+0.00039337i,-9.0584e-05+0.00043703i,-0.00050928+0.00029696i,-0.00025456+3.1439e-05i,7.6863e-05+0.00050053i,0.00055136+0.0012129i,0.0012009+0.001051i,0.00060209+0.00084009i,3.7697e-05+0.0005214i,0.00082204+0.00015121i,0.0011961+0.0005055i,0.0001349+0.00078063i
-0.00015232+0.00079852i,-0.0004442+0.0010015i,-0.0013389+0.00072519i,-0.0020883+0.00073148i,-0.002886+0.0005307i,-0.0033515-0.00013614i,-0.0027313-0.00019729i,-0.00062522-0.00043536i,0.00029015-0.0012011i,-0.00051204-0.0013387i,-0.0009871-0.00044129i,-0.0013881+0.00014888i,-0.00035494+0.00045691i,0.00042046+0.00042166i,0.00030234-0.00019265i,0.00033328-0.00064721i,-0.00049205-0.00027414i,-0.0011858+0.00061038i,-0.0016202+0.00060614i,-0.001289-0.0004879i,-0.00027544-0.00047163i,6.5376e-05+0.00031446i,0.00065585-1.8784e-05i
0.00065319-0.00020449i,0.0017385+8.5299e-06i,0.0011572-0.00028132i,-0.00071723-0.0014308i,-0.0023883-0.0017954i,-0.0036741-0.00043651i,-0.0034535+0.0010761i,-0.0015171+0.0009504i,0.00019775-0.00025757i,0.00070961-0.0011329i,0.00037322-0.00062334i,-6.8796e-05-0.00038778i,0.00031357+5.8485e-05i,0.00050699+0.00084291i,0.00025866+0.00079606i,-0.00051026+0.00056834i,-0.0010543+0.00083221i,-0.00080467+0.0011084i,4.4453e-05+0.001382i,0.00055771+0.00094396i,0.0004321-0.00025759i,0.00041985-0.0010176i,0.00047226-0.0004335i
-8.1974e-05-0.00016377i,-0.00039913+0.00026647i,-0.00087666-0.00060969i,-0.0016437-0.0020451i,-0.0024197-0.0022434i,-0.0037361-0.0017928i,-0.0038739-0.0004387i,-0.0015552+0.00014719i,0.00041651-0.00064902i,0.00068302-0.0016728i,0.00039817-0.0019784i,0.00030292-0.0013914i,-0.00014235-0.00057162i,-0.00061051+0.00046345i,-0.00061884+0.0012162i,-0.00078004+0.0010054i,-0.00053595+0.00030299i,-0.00026334+0.0012127i,0.00010459+0.001999i,-6.8904e-05+0.00088328i,1.5289e-05+0.00042336i,0.00092533+0.00070956i,0.00043799+0.00011139i
-9.9668e-05-0.00096242i,-0.00070257-0.00059837i,-0.00036138+0.00014017i,-5.1204e-05+0.00051564i,-0.0015466-0.00024049i,-0.0025303-0.00083679i,-0.0013352-0.00063802i,-0.00023267-0.00067164i,5.3192e-05-0.0004478i,-6.9153e-05+0.00020711i,7.0466e-05+6.6993e-05i,0.00043955+7.6371e-05i,0.00010126-0.00024437i,-0.00032134-0.00059401i,-7.1927e-05+0.0003108i,0.00086096+0.00086706i,0.0014371+0.00071518i,0.00028916+0.00049998i,-0.00029861+0.0004958i,-0.00022484+0.0003108i,-0.00071407+0.00054757i,-0.000555+0.00069078i,-0.00027855+0.00035586i
-0.00096218+0.00086381i,-0.00076165+0.00097763i,-0.00046529+0.0015197i,0.00015896+0.00064128i,-0.00087288-0.00057219i,-0.00289-0.00066716i,-0.0030959+8.1116e-05i,-0.0015666+0.00094389i,-0.00058166+0.00051082i,-0.00014654-0.00042728i,0.00023367-0.00053038i,-0.00049574-0.00037659i,-0.00067041-0.00042348i,-0.00061547-0.00027352i,-0.0013328+0.00031705i,-0.0010294+0.00091918i,-0.00062465+0.00096282i,-0.00047133+0.00054434i,-0.00032768-1.0486e-05i,-0.00016919-0.00033747i,-0.00037197-0.00022309i,-0.0009689+0.00020618i,-0.00088587-4.3166e-05i
-0.0013016+0.00022217i,-0.00045549-0.00032336i,0.00088467-0.00028238i,0.00046766-0.00074653i,-0.0015846-0.001365i,-0.0029304-0.0015111i,-0.0018845-0.001078i,-0.0002944-0.00055908i,0.00055889-0.0007649i,0.00088494-0.00055196i,0.00084404-0.00038197i,0.00019517-0.0001859i,-0.00039362+0.00045302i,-0.00053261+0.00084379i,-0.00053236+0.00075981i,-0.00037534+0.00029996i,-0.00012203+0.00036713i,-4.9346e-05+0.00041117i,0.00047273+0.00072227i,0.00044631+0.0014612i,-0.00018575+0.00084295i,-0.00038163-0.00018805i,-0.00041086-0.0011689i
-0.00032478-0.00012428i,-0.0014202+0.0003924i,-0.0020017+0.0008012i,-0.0024293+0.00089349i,-0.0029331+7.4461e-05i,-0.0031447-0.00023672i,-0.0027668+0.00022561i,-0.0013478+3.3624e-05i,0.00017237-0.00071551i,0.00093421-0.0011758i,0.00069194-0.00072527i,-0.00051114-0.00020677i,-0.00056905-0.0001454i,-0.00011152+8.8296e-05i,-0.0002984+0.00010374i,-0.00029129+0.00037698i,0.0003232+0.0012525i,0.00058248+0.0010153i,-8.5675e-05+0.00014995i,-0.0005573-8.2421e-05i,-0.00046763-0.00042381i,-0.00065503-0.0006811i,-0.00076529+2.9296e-05i
-1.3449e-05-0.0014301i,-0.00053554-0.0018512i,-0.00020047-0.0017256i,-0.00098934-0.0016538i,-0.0031308-0.0019586i,-0.0042228-0.0010963i,-0.002925+0.001013i,-0.0012293+0.00058152i,4.3088e-05-0.00096937i,0.00016569-0.0013294i,9.1533e-05-0.0006735i,-0.00015173+0.00014816i,8.3738e-06+0.00052481i,0.0006598+0.00042021i,0.00059033+0.00057493i,0.00014752+0.00070973i,0.00032413+0.00036155i,0.0011297+0.00037866i,0.00096926+0.00036378i,0.00016582-0.00011682i,-0.00067592+3.3289e-05i,-0.00046147-0.00028336i,0.00042236-0.0011259i
