-0.00028205+0.00054198i,0.00022211-0.00062176i,-0.00054753-0.0018182i,-0.00086205-0.0014671i,-0.00047434-0.0010507i,-0.001023-0.0010224i,-0.0017443+0.00046993i,-0.00041104+0.0019787i,0.0015303+0.0011668i,0.001333+0.00026515i,0.00055801-0.00014747i,0.00085102-0.00052323i,0.0011317-0.00010728i,0.00021885-6.0623e-05i,-0.00090791-0.00020942i,-0.00071788-3.7698e-05i,1.0798e-05+0.0001445i,0.00089131-0.0002085i,0.0014769-0.0003416i,0.0011224-0.00030871i,0.00041227-1.0226e-05i,0.00072205+0.00057756i,0.00084194+0.00061724i
-0.00033272+0.00080902i,-0.0006395+0.001446i,-0.00010279+0.0020999i,0.00063824+0.001869i,0.001005+0.00062762i,-0.00031958-0.00075486i,-0.0013983-0.0013197i,0.00042107-0.00060797i,0.0018452-0.00055855i,0.001013-0.00098694i,-1.3029e-05-0.00079293i,-0.00069628-0.0010694i,-0.00077899-0.0015485i,-0.00032336-0.0017964i,-0.0003745-0.0013519i,-0.00024739-0.00093694i,0.000159-0.00018197i,0.00050047+0.00065362i,-0.00012472+0.00035416i,-9.2034e-05-0.00037822i,0.00048148-0.00025338i,0.00014531-0.00024961i,5.6258e-05+3.8353e-05i
-7.6297e-05-0.00091175i,-0.00025206-0.0014168i,-0.0010021-0.00083379i,-0.0010946-0.00031793i,4.2248e-05-0.0010039i,0.00087634-0.00090978i,-0.00028568-0.00033057i,-0.00032874+0.00029724i,0.0010912-0.00039766i,0.00085733-0.0015493i,-3.0188e-05-0.0010584i,0.00033469+0.00015179i,0.0011745+0.00080401i,0.00096338+0.00045369i,0.00046064-0.00019476i,-0.00041406-0.00056618i,-5.6823e-05-0.00017393i,0.0014811-5.5616e-05i,0.0013394-0.00030536i,0.00030352-0.00033085i,-7.8722e-05+7.8914e-05i,-0.00014429+0.00059193i,-3.639e-05+0.00064196i
-0.00024195-0.0010439i,-0.00027309-0.00054912i,-0.0011895+0.00019894i,-0.0011426+0.0014259i,-0.00027702+0.00068618i,-0.00025424-0.00073681i,-0.001224-0.00032636i,-3.5991e-06+0.00030477i,0.0020707+0.00057282i,0.001915+0.00013425i,0.00049031-0.00010033i,-0.00020613+8.1933e-05i,0.00016593-0.00018914i,0.00054832-0.00035318i,0.00047661-0.00070852i,-0.0004217-0.0010652i,-0.00083719-0.0010757i,-0.00060838-0.00094171i,-0.00054543-0.00052009i,0.00032922+7.5397e-05i,0.00099488+0.00030231i,0.00074055+0.00056544i,0.00031424+0.00090369i
0.00099658+0.00082526i,-0.00036886+0.0006151i,-1.115e-05+0.00074798i,0.0013768+0.00017521i,0.0015161-0.00054652i,0.00022405-0.0011655i,-0.0010925-0.00080521i,-0.00097634+0.00020484i,-0.00018494+6.749e-05i,0.0003168-0.00092525i,0.0011123-0.0010685i,0.0012297-0.0010467i,0.0011572-0.00058392i,0.00030997+0.00041085i,-0.00070073+0.00015022i,-0.00088333-0.00018358i,-0.00062568+0.00046745i,-0.00045213+0.00088428i,-0.00074485+0.00068293i,-0.00065513-7.2131e-05i,-0.00018519-0.0004498i,-6.8624e-05-0.00043285i,-0.0003399-0.000257i
0.00051821+0.00029761i,-0.00056284+0.0007678i,-0.0016063+0.0015499i,-0.0013718+0.001643i,-0.00032067+0.0012468i,-3.7545e-05-4.6634e-05i,-0.00051515-0.00084318i,-0.00067867+0.00036618i,0.00067143+0.00016251i,0.001549-0.0001718i,0.0009806+0.00046939i,0.000361+0.00039398i,3.7859e-05-0.00033987i,0.00095503-0.0012448i,0.0011753-0.0017657i,0.00069278-0.0010438i,0.00035183-0.00042227i,0.00017401-0.00028757i,-0.00014144-0.00020077i,-8.5674e-05+0.00031561i,0.00023246+0.00047224i,5.5839e-05-2.2122e-06i,0.00024869-0.00028865i
-0.00019448+0.0023026i,-0.00042864+0.0021878i,0.0004363+0.0018942i,0.0020508+0.0012186i,0.0026732+0.00023502i,0.0021314-0.001274i,0.0005655-0.0013965i,-0.00056941+0.00017292i,0.00031594+3.8667e-05i,0.0012598-0.0011423i,0.00049172-0.00037789i,-0.00016661+0.00022246i,-0.00033823-0.00015776i,-0.00052276-9.3212e-05i,-0.0003032+2.0269e-05i,-0.00011169-0.00050352i,0.0001409-0.00080561i,0.00042493+3.9931e-05i,0.00024827+0.00019093i,1.6187e-05-6.8423e-05i,-0.00015818+7.2291e-05i,-5.1998e-05-0.00071235i,-7.2336e-05-0.00095642i
-0.0013615-0.00015959i,-0.0012466-0.00024459i,-0.0014163-6.7083e-05i,-0.00077064-0.00019638i,0.00046028-0.0010175i,0.00052135-0.0015122i,2.797e-05-0.0011475i,0.0001804+0.00019378i,0.0005655+0.00039289i,-0.0001906+6.5037e-06i,-0.00092215-8.6992e-05i,-0.00084441-0.00067425i,-0.00031892-0.00054705i,0.00033113-0.00067084i,0.00094067-0.00096326i,0.00079813-0.00033586i,-3.1728e-05+0.00066863i,-0.00017758+0.00099503i,0.00059369+0.00038455i,0.00092235+5.4919e-05i,0.00051077-0.00045782i,-5.6608e-05-0.00089982i,-0.00052709-0.00067661i
-0.0012829+0.00079825i,0.00014799+0.0010657i,0.0023325+0.0019978i,0.0023617+0.002278i,0.0010629+0.00022071i,-0.00044173-0.0021373i,-0.0019866-0.0013893i,-0.0015513+0.00024242i,0.00010972+0.0007822i,0.0011654+0.00033303i,0.00092334-0.00019603i,0.00030361-9.8276e-05i,4.7415e-05+2.9538e-05i,-7.9782e-05-0.00068771i,0.00028061-0.00075258i,-0.00012627+9.9779e-05i,-0.00076309-5.9003e-05i,-0.00045533-0.00024581i,-0.00051092-0.00021882i,-0.00042826-0.00069909i,0.00041722-0.00065602i,0.00046453-0.00018302i,0.00022582+0.00022045i
0.0014383+0.00032964i,0.0011154+0.0005554i,0.00093705+0.00036633i,0.0010524+0.00044336i,0.001012-0.00054775i,0.00067317-0.00047371i,0.00016622+0.0002113i,0.00085172+0.00063567i,0.0011698+0.00041349i,0.00069455-0.00038402i,0.0001846-0.00049955i,5.1788e-05-0.00049442i,-0.0005259-0.00064081i,-0.0007242-0.00054816i,-0.00034-0.0008155i,-0.00063514-0.00067056i,-0.00075213+0.00013732i,-3.6321e-05+3.7757e-05i,8.4116e-05+6.8685e-05i,-0.00019999+0.00023261i,0.00027886+0.00035107i,0.00014036+0.00075533i,9.5065e-05+0.00024884i
-0.0012261+7.2842e-05i,-0.00016157+0.00088507i,0.0003699+0.001421i,-5.9561e-05+0.00081246i,-0.00036882-0.00046554i,-0.00053515-0.00019069i,-0.0010709+0.00062657i,-0.00036613+0.00091171i,0.00082723+0.00062112i,0.00063557+7.2249e-05i,-9.2213e-06-0.00034797i,0.00071975-0.00067749i,0.00072965-0.00027332i,0.00017682-7.8288e-05i,-0.00013572-0.0006952i,-0.00026511-0.00081935i,0.00025396-2.7521e-05i,0.00061435-5.1312e-05i,1.4789e-05-0.0009959i,-0.00022315-0.00059807i,7.1152e-05+7.095e-05i,0.00010455-0.00044087i,-7.5465e-05-0.00057581i
0.00068376-0.0031913i,-2.8666e-05-0.0018919i,-0.00023281-0.00010603i,-0.00034453+0.00099775i,-0.00049983+0.00069439i,-0.00097802+0.00031487i,-0.0012011-9.3047e-05i,0.00020333-0.00028298i,0.00091624-0.00050858i,0.00056364-0.0007988i,0.00055713-0.00060913i,0.00044897-0.00011661i,0.00064355+0.00023974i,0.0007542+0.00040948i,0.00079809+0.00027432i,0.00064471+0.00017582i,0.00011888+0.00010873i,3.111e-05-0.0006355i,0.00016051-0.00072059i,0.00017318-0.00033071i,0.00020008-3.3017e-05i,0.00013373-7.8356e-05i,9.9847e-05-0.00019686i
