0.00045771+0.00011901i,0.0012744+0.001311i,0.0026344+0.00042391i,0.002874-0.0003863i,0.0024015-9.8382e-05i,0.0019661-8.0445e-05i,0.0012623-4.1359e-06i,0.00068503+0.0009987i,0.0013018+0.0016584i,0.0017275+0.0011162i,0.0010831+0.00073424i,1.3068e-05+0.00079033i,-0.00071906+0.00049044i,-0.00023427-0.00013913i,0.00028968-0.00042489i,-0.00067893-0.00024399i,-0.0010023+0.00048392i,4.6565e-05+0.001764i,6.9002e-06+0.0019848i,-0.00059868+0.0011329i,-0.0007657+3.2413e-06i,-0.0007166-0.00019436i,-0.00097607+9.8935e-05i
0.0025602-0.00038882i,0.0032359-0.00023925i,0.0019993-0.00092749i,0.0014413-0.0016478i,0.001927-0.0021599i,0.0017987-0.0021221i,0.0013988-0.0012578i,0.0010543+0.00033898i,0.00096111+0.00064095i,0.00080984+0.00045704i,-2.6283e-05+0.00076957i,-0.00071297+0.00031302i,-0.00089021+0.00020735i,-0.00044262+0.00069457i,0.00033995+0.00066747i,-0.00012708+0.00060395i,-0.0003571+0.00068663i,-0.00038036+0.00013283i,-0.00085532-1.4726e-05i,-0.00064568+8.8691e-05i,-0.00025414+0.00033127i,0.00021237+0.00046875i,0.00042528+0.00019249i
0.0014296-0.00041557i,0.00067231-0.00042467i,0.00075402-0.00081579i,0.0013724-0.0013433i,0.0018043-0.00092222i,0.0011932+0.00020068i,0.00041554+0.00039083i,-5.453e-05+0.00013032i,-4.3306e-05+0.00040375i,0.000275+0.00097582i,3.7135e-05+0.00066244i,-0.00017034+0.00047982i,-0.0009483+4.748e-05i,-0.0010146-0.00027488i,-0.00020674+0.00017693i,7.8036e-06-0.00036179i,0.00073255-0.001487i,0.0013778-0.001145i,0.00077163-0.00089437i,0.00036122-0.00056122i,0.00080031+9.3985e-06i,0.00019761-0.00032374i,-0.00014903-0.00029184i
-0.0021389+3.1122e-05i,-0.0017885-0.00044293i,-0.0013421+0.00044868i,-0.00044354+0.00095254i,0.0004617+0.00063068i,0.00032785-4.4059e-05i,9.7417e-05-0.00024994i,0.00062024+0.00017886i,0.0010322+0.00023287i,0.0010075+0.0002843i,-0.00034343+0.00032228i,-0.00029718-7.5586e-05i,0.00078556-0.0002599i,0.00068694-0.00069184i,0.0011271-0.00091302i,0.0017985-0.00019136i,0.0014657+0.00054928i,4.6789e-05+0.00075057i,-0.00085798+0.0010042i,-0.00095304+0.0010253i,-0.00060465+0.00088577i,0.00015061+0.0005108i,0.00044456-0.00023591i
-0.00034006-0.0010896i,0.0002265-0.00090773i,-0.00014685+0.00017634i,0.00048527+0.0004248i,0.0014063+0.00017979i,0.0027381-4.8074e-05i,0.0021946+0.00023963i,0.00055499+0.00051744i,0.00031313+0.00076457i,0.00062335+0.0010979i,0.00067252+0.0010996i,0.00086851+0.0011159i,0.00086825+0.0013664i,0.00069773+0.0013899i,0.0006031-0.00014768i,0.00063616-0.0005924i,0.0010383+0.00023939i,0.00068661+0.00061357i,-0.00014079+0.0011005i,2.6516e-06+0.00095319i,0.00042709-0.00023383i,0.00074876-0.00077877i,0.00016858+3.209e-05i
0.0011083-0.00040341i,0.0014118-0.00045943i,0.00085791-0.00021333i,0.001715-0.00026782i,0.0020654+0.00036771i,0.0010808-4.1622e-05i,0.00069768-0.00038643i,0.00076523+0.00046532i,0.00059418+0.00046138i,-0.00030189+0.00037204i,-0.00049478+0.00035935i,0.00078295+0.00045533i,0.00098516+0.0011286i,-0.0001771+0.0014613i,0.0001469+0.0010504i,0.00027958+0.00041476i,-0.00013245+1.692e-05i,-0.00031261-4.0893e-05i,-0.00027488+0.0011606i,7.7255e-05+0.0018811i,0.00028286+0.0010792i,0.00028284+0.00060286i,-0.00025707+0.00047138i
0.00010655-0.0003845i,-0.00038365-0.00014038i,0.0011721-0.0005574i,0.0026368-0.00070723i,0.0029824-0.0012412i,0.0023462-0.0016313i,0.0017569-0.00068761i,0.0013289+0.00089002i,0.00083171+0.0012827i,0.0006623+0.00088369i,0.00010099+1.4865e-05i,0.00047378-0.00037619i,0.00095116+0.00024607i,0.00074644+0.00072301i,0.00063619+0.00039549i,0.00086524+0.0001396i,0.0009064-0.00021223i,0.0008266+1.1268e-05i,0.0010113+0.00057644i,0.0010839+0.00072334i,0.00068112+0.00082917i,0.00010757+0.00033982i,-8.7539e-05+0.00039115i
3.0971e-05-0.00094661i,-0.0004001-0.0014243i,-0.00019743-0.00035822i,-0.0001388-0.00033505i,-3.3499e-05-0.0014026i,0.00030028-0.00038547i,9.7899e-05+0.0016019i,-3.7588e-05+0.0019461i,0.0010655+0.0010811i,0.001272+0.0001593i,0.00016357-0.00019149i,-0.00071342+0.00047456i,-0.00060847+0.0011791i,0.00043148+0.0012715i,0.00073061+0.00104i,0.00053655+0.00026825i,0.0002627-0.00053923i,-0.00063135-0.00029415i,-0.00081881+0.00050994i,-0.00074745+0.00028085i,-0.00019239-0.000331i,0.0002358-0.00010905i,-0.00013716-7.0853e-05i
0.00017921-0.00063268i,-0.00063767-8.385e-05i,0.00038041+0.00020082i,0.0016614-0.00016367i,0.0023923-0.0010337i,0.0027274-0.0012095i,0.001485-0.00086369i,0.00038735-0.00033241i,1.5015e-05+0.00038984i,-0.00083156+0.0010074i,-0.0013162+0.00034622i,-0.00033427+1.3538e-05i,0.0004317+0.00046552i,0.00010949+0.00027801i,0.00013314+0.00036803i,0.00062617+0.00042848i,0.00063234-0.00012992i,-0.00019896-0.00055952i,-0.00059088-0.00023275i,-5.3283e-05+0.00051857i,-0.00019037+0.0003294i,-0.00012848+0.00012265i,-3.572e-05+0.00066642i
-0.0011068-0.00041342i,-0.0011066-0.00027374i,-0.0012101-0.00060996i,-7.2163e-05-0.0004188i,0.0013073+0.00012665i,0.0012194-0.00032412i,0.0012252-0.00026898i,0.00097295+0.0013074i,1.0801e-05+0.001983i,3.3354e-05+0.00077705i,0.00011981-0.00031786i,0.00040603+0.00027494i,0.00068957+0.00094947i,0.00063515+0.00074967i,0.00085439+0.00042366i,0.00080207-0.00018796i,0.00050644-0.00014277i,2.7113e-05+0.00013017i,-0.00032722+0.00043258i,4.9138e-05+0.00016214i,-1.622e-05-4.7351e-07i,4.9781e-05+0.0002732i,0.00054903+0.00037446i
-0.00059642-0.0012017i,0.00035997-0.00011151i,5.6163e-05+0.0015631i,0.0010968+0.0021199i,0.0020327+0.0016444i,0.0014813+0.0014941i,-0.00033497+0.0013113i,-0.0015936+0.00048649i,-0.00045748-7.0547e-05i,0.00044757+8.0097e-05i,-0.00032878+0.00073719i,-0.00053601+0.00043868i,4.471e-07-0.00024421i,-0.00029337-0.00012101i,-0.00044625+0.00014111i,1.9078e-05-0.00030407i,0.00022189-0.00051967i,0.00050148-0.00013754i,-0.00033418-0.00036798i,-0.00058424-0.00032683i,0.00040086-1.8281e-05i,0.00067515+2.6517e-05i,0.00012618-4.0803e-05i
-0.00020008+0.0012431i,0.00046108+0.0018259i,0.0011515+0.0014106i,0.0021783-8.3546e-05i,0.0019613-0.00051754i,0.0012944-0.00036382i,0.0014229+0.00075683i,0.0011037+0.0014198i,0.00031536+0.00081298i,0.00037217+0.0008872i,0.00082565+0.00049409i,0.00083465+0.00033558i,0.0010178+0.00030597i,0.00067185-3.1077e-05i,0.00010448+0.00023608i,0.00048346+0.00044499i,0.00049069+0.00059221i,-0.00029819+0.0010382i,-0.00098517+0.0010424i,-0.00065337+0.0003157i,7.395e-05-0.00055054i,0.0010645-0.0003217i,0.0016779-0.00015612i
0.00064944+0.0010085i,0.00027954+0.0010357i,0.00096503-0.00020519i,0.0020049-0.00047393i,0.0021349+0.00057485i,0.0017734+0.0007771i,0.0011634+0.00083302i,0.0015422+0.0012623i,0.0017626+0.0011037i,0.00030812+0.00031064i,-0.00067891-0.00039985i,-0.00050907-0.00027459i,-0.000404+0.00028614i,0.00018768+0.00070363i,0.0006871+0.00034297i,0.0008751-9.4659e-05i,0.00093578+0.00019827i,0.00050925+0.00039861i,-0.00046808+0.00053111i,-0.00088176+0.00060356i,-0.00014443+8.3233e-05i,0.00063337-0.00013087i,0.00031471-0.00030134i
-0.0015163+7.8892e-05i,-0.00069476+0.00032828i,-0.00066372+0.00027734i,-0.00019668-0.0002336i,0.0011876-0.00032662i,0.0017699-0.00047504i,0.0010444-0.00062901i,4.4105e-05+1.2813e-05i,-0.00034138+0.00085701i,0.00052431+0.001257i,0.00079775+0.0010747i,0.0010026+0.00074723i,0.0014286+0.00044872i,0.0015175+0.00026854i,0.0011274+0.0003798i,0.00082634+0.00070189i,0.0012044+1.794e-05i,0.0017568-0.0010442i,0.00092545-0.0010707i,-0.00037014-0.00035451i,-0.00084229+0.00044179i,-0.0009869+0.00011522i,-0.0010487-0.00074034i
