0.00079959-0.00061647i,0.00083525-0.0016232i,-0.00063895-0.002672i,-0.0017827-0.0016318i,-0.0022169-0.00026431i,-0.0023592+0.00073116i,-0.00074828+0.0011207i,0.00063844+0.00090968i,0.00078988+0.00051082i,0.0010696-0.00089482i,0.0013471-0.0012313i,0.0011057+6.6646e-05i,2.8869e-05+1.1077e-05i,-0.00040918-0.00050546i,4.424e-05-0.00047286i,0.00037035-0.00047388i,-3.6854e-06-0.00068483i,-0.00030141-0.0010338i,0.00032869-0.00099486i,0.00015087-0.00066326i,-0.00014763-0.00095695i,7.1287e-05-0.0010113i,-0.00025395-0.00013304i
-0.0012928+0.0003775i,-0.0020799+0.0016259i,-0.0012884+0.0021088i,-3.1133e-05+0.00095837i,0.00018039+0.00015495i,-0.00024652+0.00018531i,-0.00029663-0.00039261i,5.453e-05-0.00043376i,-0.00025496-0.00011124i,-0.00027117-0.00046161i,2.4612e-05-0.00026468i,-0.0001705+0.0002808i,0.0004267+0.00020469i,0.00050834+0.00043534i,-0.00018651+0.00025483i,-0.00051263-0.00012723i,-0.00068336+2.5585e-05i,-0.0003636-0.00013031i,-0.00016585-0.0006236i,-0.00018794-0.00035146i,0.00018977-2.7046e-05i,0.00035953-0.00024815i,-9.5723e-05-0.00055633i
0.0016245+0.00023418i,0.0026132+0.0002642i,0.00081354-0.00035463i,3.1195e-05+0.00026915i,0.00058465+0.0016026i,0.001435+0.0016836i,0.0014787+0.00083151i,0.0013647-0.00011227i,0.00099886-0.00083901i,0.0008298-0.00082716i,0.00083511-0.00088877i,0.00021285-0.000334i,0.00012445+0.00030152i,5.9876e-05-0.0001428i,0.00060797-0.0010754i,0.00079133-0.0012111i,0.00021771-0.00090882i,0.00071134-0.00084655i,0.001253+0.00031395i,0.00077604+0.0011448i,0.00018159+0.00069845i,-0.00065712+0.00024702i,-0.0010452+0.00010151i
-0.0010086+0.00052486i,-0.00079781+0.001489i,-0.00052164+0.0021444i,0.00019994+0.0016413i,0.00049702+0.00085701i,0.00036595+0.00035296i,0.00039524-0.00072323i,-0.00033101-0.0010418i,-0.00023772-0.00061854i,0.000224-0.00037241i,-0.00058846-0.00063215i,-0.00015228-0.0002327i,0.00067985+0.00053363i,0.00050699+0.00059317i,3.6559e-05+0.00036877i,0.00017329+0.00038165i,0.0004958+0.00050139i,0.00091105+0.00060398i,0.00024751+0.0011186i,-0.0010055+0.0007175i,-0.0012532+3.9993e-05i,-0.00026671+0.00042226i,0.00046873+0.00038591i
0.0020767+0.0011162i,0.0031642+0.00020861i,0.002315-0.00084915i,0.0015775-0.00039083i,0.0017483+0.00052488i,0.0013979-3.2303e-06i,0.00052989-0.00071194i,-0.00024902-0.0010063i,-0.00027326-0.0008773i,-0.00025868-0.00023683i,8.6344e-05-0.00010317i,0.00054216+0.00016556i,0.00023001+0.00048885i,0.00031069+0.00060614i,3.0663e-05+0.0005603i,0.00012535+1.3012e-05i,0.00086916-0.00044995i,0.0006139-2.1341e-05i,-0.00084945+9.3431e-05i,-0.0017427+0.00056866i,-0.0016041+0.00092563i,-0.0012537-4.5325e-05i,1.8542e-05-0.00026938i
-0.0024272-0.0019457i,-0.0024844+0.00024169i,-0.0017436+0.0017206i,-0.0017159+0.002336i,-0.0013699+0.0020457i,0.00061168+0.0016102i,0.0016032+0.0010733i,0.0013396+6.6925e-05i,0.00045708-0.00062731i,0.00025355-0.00060857i,0.00041068-4.3523e-05i,0.00040217+0.00013209i,0.00059084-7.3239e-05i,-0.00042754-0.00092136i,-0.0011839-0.0012315i,-0.00021232-0.00064329i,0.0006035+4.4631e-05i,0.00068051+0.00060702i,0.00046109+0.00073519i,0.00042155-0.00018003i,0.00027429-0.00081397i,2.1137e-05-5.8751e-05i,-2.0205e-05+0.0002522i
0.0020734+0.001257i,0.0028214+0.0011934i,0.00232+7.2225e-06i,0.0013815-0.001801i,0.00090472-0.0018074i,0.00084341-0.0012976i,-8.248e-05-0.0014889i,-6.9887e-05-0.0010151i,0.00051659-0.00067632i,0.00045571-0.00064864i,0.00018004-0.00097619i,-3.8238e-05-0.00079938i,1.7871e-05+0.00079664i,-0.00021634+0.0016563i,-0.00025051+0.001152i,-4.6888e-06+0.00044663i,-0.00013146-2.7246e-05i,-0.00033749+0.00042518i,-0.0002639+0.00059793i,-0.00019415-0.00012105i,2.2178e-05-0.00052417i,0.00019486-2.9453e-05i,0.00024216+0.00049581i
-0.00078878-0.00071317i,-9.7316e-05+0.0006438i,0.00093597+0.0017606i,0.0015252+0.0010545i,0.0013713+0.00087574i,0.00069485+0.0012777i,0.00061661+2.7053e-06i,0.0006009-0.00085919i,0.00036137-0.00033309i,0.00054901-0.00022002i,0.00069294+0.00016542i,0.00074318+0.00083725i,0.0010788+0.0008087i,0.00042392+0.0011944i,-0.00089671+0.000678i,-0.0010766-7.4266e-05i,-0.00038713+0.00022274i,0.00049504+0.00026528i,0.00043436+0.0003525i,0.00022334+0.00057706i,-3.2907e-05-0.00012776i,-0.00061538-0.00081947i,-0.00044455-0.00032893i
-0.00055326+0.00097901i,0.00066079+0.00057441i,0.0006431-0.00043295i,-9.2778e-06+0.00022833i,8.1615e-05+0.00077048i,4.3469e-05-0.00029807i,-0.00027569-0.001049i,0.00024188-0.00080147i,0.00066901-0.00035147i,0.00025584+5.4774e-05i,-7.4439e-05+0.000261i,0.00038623+4.625e-06i,0.0003424-6.0246e-05i,-5.4113e-05+0.00011946i,6.2805e-05+0.0003119i,-7.2362e-05+0.00013701i,-0.00072989-0.00026431i,-0.0014199-0.00054894i,-0.0010949-0.00061244i,-0.00077839-6.8401e-06i,-0.0010484+0.00037696i,-0.00054665-0.00012893i,0.00036213-0.00040189i
0.0032393-0.00091514i,0.0033621-0.0018493i,0.0020732-0.0014278i,0.00044671-0.00099603i,-0.00076974-0.0010506i,-0.001252-0.00063469i,-0.00090753-0.00059145i,-0.0006014-0.0010053i,0.00025064-0.0004033i,0.00074467+3.2617e-05i,0.00040675-0.00026674i,0.00017018-1.7783e-05i,0.0004254+0.00045363i,0.00072525+0.00025453i,0.00077321-0.00029459i,0.0010795+7.2336e-05i,0.0010432+0.00069132i,0.00050175+0.00065503i,-0.00024008-4.0346e-05i,-0.00054519+0.00038183i,-0.00024788+0.0006556i,-2.6881e-05+0.00032091i,0.0002951+0.00025417i
-0.00014192-0.00013085i,-0.00029264-0.00047253i,-0.0004519-0.00032619i,-2.3477e-05+0.00054722i,0.00089108+0.0006454i,0.0012298+0.00034395i,0.00111-5.2645e-05i,0.00044977-0.00072924i,0.00042172-0.00059804i,0.0014907+0.00047262i,0.0015434+0.0012842i,0.00051312+0.0010726i,-0.00047621-3.7856e-05i,-0.0010218-0.00075405i,-0.00072165-0.00032553i,-0.00072421+0.00027126i,-0.00083013+0.00026683i,-0.00015747-1.6216e-05i,0.00087574-0.00020273i,0.0010831-3.3119e-05i,0.00053247+0.00029051i,0.00017351+0.00048758i,0.00021408+0.00020132i
-0.0004688+0.00062631i,0.00025087+0.00040035i,0.0008436+0.00050206i,0.00055843+0.00094378i,0.00029024+0.00077164i,0.00085766+0.00027881i,0.0012539+0.00022485i,0.00080844+0.00038906i,0.00057525+0.00066164i,0.00092107+0.00055289i,0.00039032+0.00026664i,5.9731e-05+3.9941e-05i,0.00060173+0.00023078i,0.00037577+0.00088801i,-0.00038411+0.0011153i,-0.00040838+0.00032059i,-0.00071954-0.00016123i,-0.00099655+0.00026796i,-0.00029842+0.00065628i,0.00040689+0.00074605i,0.0009226+0.00095483i,0.00068813+0.00061633i,0.00017984-0.00021778i
-0.00062051+0.00016341i,-0.00027122+0.00047751i,-1.9617e-05-0.00020456i,-0.0006429-0.00039517i,-0.00071589-0.00089863i,-0.00040545-0.00099137i,0.00024598-0.00035148i,0.00050015-0.00016552i,0.00022801-0.00039689i,0.00017232-0.00051659i,0.0001705+7.9067e-05i,7.3514e-05+0.00067876i,-0.00012187+0.00013175i,-0.00053773-0.00029982i,-0.00025044+0.00043235i,-0.00055215+0.00043449i,-0.00069502+0.00019169i,0.00010468+0.00090725i,0.00066591+0.00071926i,0.00055976+0.00059433i,0.00014629+0.00085303i,0.00021895+0.00085222i,0.0005602+0.00065954i
0.0010711+0.00060466i,0.0022745-0.00012823i,0.001488-5.2203e-05i,0.00069164+0.0007752i,0.00051332+0.00081799i,0.0009251-0.00032084i,0.0010146-0.00054867i,-0.00029214-0.00036007i,-0.00059607-0.00034626i,-2.894e-05-0.00093773i,0.00028503-0.00059466i,-0.00047022+0.00025538i,-0.00041797+0.00032561i,0.00030765-2.7257e-05i,4.7769e-05-0.00080023i,-0.00024761-0.00052707i,-0.00012679+0.00088569i,0.00039822+0.0014057i,0.00047577+0.0003533i,-0.00026401+0.00032228i,-0.00045955+0.00073406i,-0.00039337+0.00069647i,-0.00040972+0.00043028i
-0.00027142+0.00045659i,-0.0012066+0.00056278i,-0.0015611+0.0016854i,0.00045051+0.0028315i,0.0023419+0.0025762i,0.0022484+0.0010097i,0.0011673-0.00073081i,0.00097465-0.001567i,0.00067098-0.0010802i,0.00029541-0.0006496i,-6.6328e-05-0.00043451i,0.00047477+0.00027899i,7.2442e-05+0.00085367i,-0.0011133+0.00075804i,-0.00086524+0.00036935i,-0.00030869+9.6602e-05i,-0.00083912-0.00011925i,-0.0017506-0.0003073i,-0.0014138-0.000862i,-0.00057406-0.00051641i,0.00027762+0.00038477i,0.00030664+9.9763e-05i,3.9333e-05-0.00082731i
-0.0015293-0.00066487i,-0.0017896-0.00015545i,-0.0017438+7.0928e-05i,-0.0005717-0.00032273i,0.00064217-0.00015422i,0.0012174+0.0004101i,0.0010224+0.00018363i,0.00037057-0.0010666i,0.00050363-0.0017052i,0.0006974-0.001045i,0.00022299-0.00021399i,-0.00040642-0.0002373i,-0.00085893-0.00091781i,-0.0010983-0.0015688i,-0.00079515-0.0013621i,-0.0002425-0.00084165i,5.008e-05-0.00066986i,0.0004646-0.00044022i,0.0003922-0.00053228i,8.1601e-05+4.0335e-05i,-0.00060429+0.00066492i,-0.00077697+0.00020023i,-9.9552e-05+3.7352e-05i
0.0006636-0.00085083i,0.00093232-0.0014904i,0.00064686-0.00088302i,0.00010756+0.00015577i,-1.6484e-05+0.00083137i,0.00035484+0.00026827i,0.0010643-0.00088051i,0.0010954-0.00065478i,0.00056144-0.00047929i,-0.00018103-0.0010272i,-0.00093277-0.001378i,3.6543e-05-0.00092587i,0.0022324-0.00028577i,0.0019794+0.00025808i,0.00020892+0.00071194i,-0.00059639+3.6762e-05i,-0.00028333-0.0012893i,0.00028872-0.00091029i,0.00062646+4.3862e-05i,0.00021761+0.00036021i,1.3363e-05-2.9001e-05i,0.00032819-0.0001714i,0.00026562+0.00049439i
0.00081664+0.00021705i,0.00075506+0.00040872i,0.0008785+0.0002115i,0.00037603-0.00023101i,0.00022156-0.00024619i,0.00061745+0.00047091i,0.00056104+5.9666e-05i,0.00048767-0.00098022i,0.00047421-0.0010929i,0.00085617-0.0015201i,0.0002367-0.0020269i,-0.00066162-0.0015829i,-0.00011588-0.00034772i,0.0011282+0.00040413i,0.0014137+0.00051507i,0.00075413+0.00038848i,0.00027007+0.00076231i,0.00036849+0.00081303i,0.00055615+0.00051592i,0.00068688+7.6671e-05i,0.00023279-0.00087588i,-0.00048331-0.0012873i,-0.00043355-0.00066468i
0.0027261+0.00089643i,0.0043674+0.001172i,0.005149+0.00055513i,0.0034527+0.00065888i,0.00092825+0.0014303i,-0.0006893+0.0012414i,-0.0007381-0.00019552i,0.00059353-0.00052505i,0.001095+0.00010858i,0.00055652+0.00013636i,-7.6492e-05-0.00012056i,-0.00016154+0.00027163i,1.2222e-05+0.00090617i,-0.00011944+0.0012687i,-0.001034+0.00084131i,-0.0010966-0.00047779i,-0.00058523-0.00046118i,-0.00023189-8.798e-05i,-0.00015675-0.00068695i,-0.00025001+6.1199e-05i,0.00010226+0.00062575i,0.00083234+0.00024207i,0.00068508+0.00025806i
0.00107+0.00051308i,-0.00031727+0.00077147i,-0.00094096-0.0001567i,-0.0011519-0.0012928i,-0.001669-0.0011483i,-0.0012298-0.00090006i,0.00065583-0.00056726i,0.0014472-0.00025928i,0.00018252-0.0002847i,5.2318e-05-0.00070697i,0.00088555-0.00041252i,0.00064233-8.9925e-05i,0.00065636-0.00019995i,0.00034091+0.00026588i,0.00015652+0.00048754i,-0.00013735+0.00096019i,-0.00042015+0.0013752i,2.1241e-05+0.00031223i,-0.00016153-0.0008188i,-0.000235-0.00071352i,-0.0003381+0.00011152i,0.00011813+0.00044268i,0.00091355+0.00024506i
-0.0005885+0.00067728i,0.00074262+0.0014548i,5.091e-05+0.00063904i,0.00011174-0.00076896i,0.00080566-0.00096678i,0.00044627-0.0010142i,0.00015459-0.00099758i,0.00020475-0.00071713i,0.00012646-0.00040665i,0.00045701-0.00041954i,0.00096009-0.00020408i,0.00031069+0.00045103i,-0.00065508+0.00075501i,-0.0007808+0.0013952i,-0.0011874+0.0014111i,-0.00099512+0.00044416i,-0.0004345+0.00028252i,-0.00029036+0.00021043i,-0.00025195+0.00039648i,-0.00059493+0.00047739i,-0.00039704+0.00046115i,0.00017082+0.00087586i,2.6194e-07+0.00064276i
-0.0007893-0.0022974i,-0.0013739-0.00032455i,-0.0013946+5.6143e-05i,-0.00088966+7.6535e-05i,-0.0010571+0.00069909i,-0.00057041+0.0011019i,0.00023269+0.00011757i,0.00044431-0.00044498i,0.00025942-0.00046945i,0.00011747-0.00016632i,9.2447e-05+0.00092568i,-0.0002907+0.00033579i,-0.0001698-0.00026858i,0.00027752+0.00036198i,0.00060312+0.00025422i,0.0010098+0.00059863i,0.00060004+0.0010188i,-9.2014e-05+0.00078799i,0.00039685+0.00061558i,0.00014645+0.00022112i,-0.00067424-3.119e-05i,0.00011316-0.00031487i,0.00031786+8.6161e-05i
-5.996e-05-0.00030577i,0.0012093-0.00021735i,0.00097244-0.00060148i,0.00037411-0.00060135i,0.00089149+0.00081285i,0.0019485+0.00046647i,0.0017537-0.0015512i,0.0011261-0.0021708i,0.0010379-0.0012558i,0.00088993-0.00080128i,0.00044141-0.0010301i,1.7817e-05-0.0011589i,0.00015624-0.00063694i,0.00050056-7.6619e-05i,0.00059631+0.00085141i,0.00023969+0.0015141i,-0.00038086-5.7804e-05i,-0.00058142-0.0010363i,-0.0005607-0.00044321i,-0.00043544+0.00045495i,0.00027947+0.0011477i,0.00010681+0.00089484i,-4.2511e-05+0.00018516i
-0.0013234+0.0023685i,-0.00028008+0.0016709i,0.00096711+0.0013679i,0.0015672+0.0014294i,0.00085134+0.0010657i,0.00052187-0.00085087i,0.0013752-0.0015259i,0.0014339-0.00050801i,0.00074534+0.00028109i,0.0013877+0.00031816i,0.0017386-0.00031451i,0.00032077-0.00095422i,-0.00046525-0.0010203i,-0.00047592+0.00040557i,-0.0012839+0.0011973i,-0.0017631+0.00019599i,-0.0015464-1.3496e-05i,-0.00042604+0.00038198i,-3.1603e-05-1.397e-05i,-0.00060823-0.00072443i,-0.00054736-0.00021239i,0.00012182+0.00049116i,0.00042551+0.00014534i
0.0010748-0.00010884i,0.0014125+0.00069849i,0.0013113+0.0010777i,0.001312+0.00028575i,0.001042-0.00022492i,0.00031862-0.00018594i,0.00015185-0.001451i,-5.391e-06-0.0020917i,0.00014197-0.001053i,0.00066976-0.0001449i,0.00057883+0.00056797i,0.00016653+0.00028616i,-8.2379e-05-0.00041445i,0.00016671-0.0005471i,0.00028271-0.00058076i,-0.00027763-0.00011222i,-0.00061028+0.00060646i,-0.00059979+0.00095513i,0.00030068+0.00070217i,0.0011277-0.0002256i,0.00056911-0.00087857i,0.00013768-0.00062577i,-0.00051248+0.00014214i
-0.0020538-0.0011672i,-0.0017881-0.00078157i,-0.0016564-0.00088827i,-0.00021769-0.00046257i,0.00086522+0.0011262i,0.0011594+0.0012972i,0.00098165-0.00066306i,-0.00031743-0.001824i,-0.0014714-0.0014981i,-0.001013-0.00059132i,0.00020761+0.00039955i,0.00025512+0.00075569i,-0.00027386+0.00049972i,-0.00076537-0.0001606i,-0.0016699+0.00033579i,-0.001387+0.00038511i,-0.00070092-0.00013626i,-5.1885e-05-5.9337e-05i,0.00038453-0.00023161i,-0.00014484-0.0005775i,-0.0010091-0.00029744i,-0.0012414+4.0306e-05i,-0.0008915+0.00041042i
-0.00049803+0.0010848i,0.0010871-0.00048528i,0.0030538+0.00022512i,0.0029652+0.00091051i,0.00192+0.00068091i,0.0002944-0.00085177i,-0.00041835-0.001912i,0.00051042-0.00054458i,0.0010086+0.00051891i,0.00016659+5.0249e-05i,-0.00075807-0.00012777i,-0.00041801+0.00042792i,5.1759e-05+0.00090579i,-0.00085707+0.0012285i,-0.0016497+0.0011327i,-0.001494+0.00062737i,-0.00091241+0.00018484i,-0.00054534+0.00014289i,-4.584e-05+0.00062635i,-0.00042326+0.00090646i,-0.0001703+0.00028541i,0.00012656-0.00010023i,-0.00023752-0.00018375i
0.0011904-0.00054648i,-0.00020315-0.00021955i,-0.00088051+6.3147e-05i,-0.0010291+3.6788e-05i,-0.00031259+0.00018395i,6.6341e-05+0.00098905i,0.00019713+0.00034117i,0.00023271-0.00048557i,-0.00029045-0.00029565i,-0.00010652+7.8473e-05i,0.00040745+0.00027021i,0.00071478+0.00090187i,0.00058987+0.0010461i,0.00059483+0.00023466i,0.00072048+7.4316e-05i,0.00059073+0.00013058i,0.00034922+9.9535e-06i,0.00062943-0.00061464i,0.00082506-0.0010921i,0.00053593-7.5623e-05i,0.00060905+0.00017938i,0.00038688-0.00063062i,0.00028304-0.001164i
0.00014308-0.00038128i,-0.00075572-0.00057109i,-0.001277-6.2168e-05i,-0.0014364-0.00015084i,-0.001475-0.00022195i,-0.0011165-0.00068934i,-9.1123e-05-0.00073364i,0.0001249-0.00017137i,-0.00047437+6.9127e-05i,2.6178e-05-0.00059788i,0.0010121-0.0010054i,0.00071224-0.00049954i,6.4372e-05-0.00031714i,-0.00061283-8.4042e-05i,-0.00089208-0.00024233i,-0.00050066-0.00066402i,-0.00032361-0.00021811i,-0.00053847+0.00057102i,-0.0010791+0.0012871i,-0.0010197+0.00092706i,0.00068699-0.0004665i,0.0010087-0.00061905i,-7.1695e-05-0.00027097i
-0.00059358+0.00013063i,0.00080317-7.4145e-05i,0.0011892+0.00085869i,0.0010014+0.0013138i,0.0018863-0.00025438i,0.0027201-0.00083672i,0.0019392-0.00048538i,0.00047517-0.00058445i,0.00015521-0.00064524i,0.00074496-0.00031542i,0.00082895+0.00027719i,0.00011661+7.4025e-05i,-0.00076117-9.7888e-05i,-0.00096108+0.00050697i,-0.00060302+0.00070149i,2.6355e-05+0.00024806i,0.00030229-0.00024996i,-0.00017015-0.00015817i,-0.00082741+2.2716e-05i,-0.0012167+6.1567e-05i,-0.0013229+0.00014142i,-0.00068155+0.00020331i,-8.0928e-05+0.00013007i
0.00024965+0.00057635i,0.00091596+0.00050518i,0.00077533+0.00013801i,0.00048796+0.00063865i,0.00088417+0.0016329i,0.00089622+0.00092428i,0.00089198-0.00072879i,0.00056474-0.0015198i,6.7515e-05-0.0011498i,0.00050594-0.00047611i,0.00047458-0.00031201i,-0.00017585-0.00013851i,-0.00046335+0.0002076i,-0.00023102+4.3838e-05i,0.00026044-0.00075056i,0.00020767-0.0010233i,-0.00055273-9.6045e-05i,-0.00095261+0.00077045i,-0.0014285+0.00057848i,-0.0015923+0.00027954i,-0.0011671+6.4513e-05i,-0.0007518-0.00064593i,-0.00040254-0.0010004i
3.5541e-05-0.0014725i,-0.00013328-0.0014784i,-0.0011633-8.9644e-05i,-0.0012396+0.0011837i,-0.00086101+0.0012363i,-0.0007585+0.00046495i,-0.0004667-4.2908e-05i,-0.000251-0.0001923i,-0.00041556-0.00026771i,-5.7854e-05-0.00037888i,0.00026912-0.00044071i,-3.9394e-05-0.00036808i,-0.00033617-1.8949e-05i,9.1397e-05+0.00057923i,-0.00012782+0.00060845i,-0.00082185+0.00060042i,-0.00078416+0.00040338i,-0.0003781-0.0004174i,0.00027947-0.00070046i,0.00030977+5.852e-05i,2.2858e-05+0.00052652i,0.00010867-7.9397e-05i,0.00063604-0.00023664i
-0.0022948+0.0017928i,-0.0018609+0.0031384i,-0.00062774+0.0037739i,0.00053746+0.0029745i,0.0014223+0.0010727i,0.001457-0.00049836i,0.00026125-0.0010381i,-7.3538e-05-0.00062256i,0.00049621+0.0001283i,0.00040561+0.00020738i,5.1535e-05+0.00018533i,0.00016388+0.00034405i,0.00037423+0.00062573i,0.00020495+0.00099979i,-0.00052161+0.00058956i,-0.00090672-0.00027386i,-0.00021184-0.0003096i,0.00015627-0.00062183i,4.8296e-05-0.00085519i,4.258e-05-0.00012635i,-2.1559e-05+0.00036663i,-7.0145e-05-0.00017061i,-0.00011668+0.00041166i
-1.0847e-05-0.00033336i,0.0011173-0.00052023i,0.001514-0.00063792i,0.00086902+0.00051215i,-1.9668e-05+0.002115i,0.00049468+0.0027512i,0.00047105+0.0017018i,-0.0006331-1.3705e-05i,-0.00038142-0.0014648i,6.5537e-05-0.0015157i,-0.00026468-0.0005586i,-0.00039487-5.6337e-07i,0.00033836-9.0292e-05i,0.00097413-0.00011459i,0.00031742-0.00046924i,-0.00012755-0.0006321i,0.00048472-2.4417e-05i,0.00036229-0.00034715i,-1.675e-05-0.00061894i,0.00019257-0.0001487i,0.00010303-0.00012547i,-0.00069153+3.0014e-05i,-0.00089462+0.00035517i
-0.0011102-0.00082597i,-0.00036963-0.0013081i,-0.00018805-0.00046451i,-0.00033842+0.00071821i,-0.00032067+0.00098612i,0.00039687-0.00017566i,0.00084512-0.0012902i,0.00058874-0.00099463i,0.00051281-0.00011523i,0.0010835+0.00052409i,0.00078992+0.00019212i,0.00037081+3.3556e-05i,0.0005692+0.0003242i,-0.00013485+0.0007853i,-0.00088002+0.00093895i,-0.0002851-0.00030337i,-8.2553e-05-0.0014554i,0.00041806-0.00068354i,0.00077538+0.00040177i,0.0008087+0.00099822i,0.00076584+0.00071485i,0.00012149+0.00044409i,0.00011308+0.00047212i
0.00090111+0.0013146i,0.00043506+0.0018488i,-0.00061445+0.00076507i,-8.1804e-05+0.00054498i,0.0010057+0.00079547i,0.00094879-0.00013659i,-6.0463e-05-0.00092123i,-0.00058312-0.00097764i,-0.00048043-0.00053745i,-0.00012012-7.3118e-05i,0.00020267-0.00011841i,0.00053908-0.0010393i,0.00030689-0.00047752i,-0.0003276+0.00056186i,-0.00096627+0.00019492i,-0.00063599-0.00051484i,-0.00049148-0.00025166i,-0.0004634+7.0183e-05i,-0.00021301-6.7275e-05i,-0.00010877-0.00011864i,-0.00048342-0.00042472i,-0.00041482-0.00039145i,-6.2503e-05+2.0961e-05i
-0.00044892-0.00030066i,0.0007015+0.00064755i,0.0012116+0.0023641i,0.00042677+0.0022396i,-0.00076271+0.0011988i,-0.00040188+0.00071243i,0.00055982-0.00016331i,0.00035907-0.00031316i,-0.00038915-0.00065905i,-0.00024724-0.00098842i,0.00016642-0.00063961i,0.00018545-5.4448e-05i,-0.00032601+0.00028146i,-0.00052005-0.00064172i,0.00025039-0.001152i,-1.4844e-05-0.0002671i,-0.00042057+9.2899e-05i,-0.0005282-1.4472e-05i,-0.00057821+2.5287e-05i,-0.00063237-0.00056572i,-0.00062736-0.00069929i,-0.00022779-0.00041358i,-0.00011937-0.00010382i
-0.00054495+0.00090922i,-0.00055859+0.0003897i,-0.0013699-0.00031193i,-0.0023868+0.00024978i,-0.0014432+0.00079362i,-0.00050883+0.00063478i,9.9547e-05+0.0001373i,0.00075623+0.00020813i,0.00062602+0.00079672i,0.00056817+0.00045983i,0.00096095-0.0002771i,0.0008265+0.00028976i,0.00039753+0.00038138i,-0.00039448-0.00035742i,-0.00056056-0.000315i,-0.00039442+0.00019562i,-0.0003105+0.0010407i,0.00034388+0.00093873i,-0.00022083+0.00058435i,-0.00057019+0.00044558i,0.00043975+0.0003123i,0.00027344+0.00027819i,8.0624e-05-0.00035193i
0.00032247-0.001468i,-1.9691e-05-0.0019784i,0.0015246-0.00093492i,0.0023052+0.00095442i,0.0015333+0.0015053i,0.0014361+0.001039i,0.0020697-0.00051396i,0.002286-0.0014077i,0.0013039-0.00064637i,0.0004695-0.00014491i,3.085e-05-0.00011734i,0.00018115+7.9722e-05i,0.00056349+0.00084398i,5.5381e-05+0.001089i,0.00018828+0.0001473i,0.0005225+0.00010917i,5.939e-05+0.00040919i,-0.00025859+0.00039661i,-0.00050454+0.00030918i,-0.00091157-0.00063529i,-0.0010872-0.00086497i,-0.00046065-0.00030614i,5.6072e-05-2.9918e-05i
0.00092378-0.0023467i,0.00096468-0.00034051i,0.00032156+0.00078896i,-0.00010728+0.0012287i,0.00037987+0.0019665i,0.0016065+0.002657i,0.00083213+0.0023754i,-0.00037529+0.0014602i,-0.00032417+0.0004861i,-0.00047701+0.00013267i,-0.00023947+0.00066011i,3.918e-05+0.00010321i,0.00014157-0.0012746i,0.00060959-0.0015378i,-0.0002371-1.9215e-05i,-0.0014179+0.00077715i,-0.0013306+0.00056406i,-0.0014456+3.9593e-05i,-0.0008645-0.00058284i,7.8225e-05-0.00045792i,0.00045389-0.00052416i,0.0001453-0.00046032i,-0.00059382+8.5825e-05i
-0.0026211-0.00037972i,-0.0017762-0.00010128i,-0.001542+0.0012355i,-0.0014255+0.0013818i,-0.0012685+0.00065882i,-0.00089511-0.00063069i,-0.0010908-0.0026593i,-0.0010806-0.0025723i,-0.0011623-0.00064845i,-0.0012945+0.00027968i,-0.00018483+9.6086e-05i,0.0010465-1.6122e-05i,0.00062254+0.00025294i,-0.0008083+0.00045453i,-0.00070557-0.0002306i,-9.1138e-05-0.00061389i,-0.00035443-0.00019009i,-0.0002183+0.00021861i,5.2185e-05+0.00039898i,-0.0005718-0.00029085i,-0.0013404-0.00083758i,-0.00069612-0.00079838i,-8.0186e-05-0.00055946i
0.0091779+0.0050012i,0.010914+0.0030824i,0.011548-0.0031693i,0.0073383-0.0067636i,0.0012217-0.0070326i,-0.0029701-0.0038995i,-0.0017185+0.00019518i,0.001494+0.0012982i,0.002971+0.00053868i,0.001572-0.0012241i,-0.00034338-0.002161i,-0.00056501-0.00097368i,0.00037514+0.0018094i,0.0013744+0.0036589i,0.0021933+0.0034523i,0.00036978+0.0021901i,-0.00080514+0.0010688i,0.00051109+0.00032896i,0.0011419-0.00080459i,0.00081025-0.0010481i,6.9583e-05-0.00020679i,4.3973e-06+6.8227e-05i,0.00030626-9.449e-06i
0.0015009-4.7304e-05i,0.0026099-0.00029706i,0.0030736-0.0011329i,0.0017975-0.00048994i,0.00036733+0.00079268i,-0.00073788+0.0017367i,-0.0015832+0.002338i,-0.001715+0.0017025i,-0.00041506+0.00061886i,0.00088928-0.00020792i,0.00053703+0.00013321i,-0.00024124+0.00019741i,-0.0003452+0.0001518i,-6.4794e-06+0.00044332i,7.6739e-05+0.00023257i,-0.00051783+0.00014522i,-0.0011108+0.00042837i,-0.00059201+0.00043956i,0.00026285-0.00012739i,0.00063511-0.00033988i,-0.00025522-0.00061042i,-0.00081189-0.0003973i,-0.00061571+0.00079891i
-1.5553e-05-0.0010048i,0.00031321-6.8724e-05i,8.1943e-05+0.0013467i,0.00074748+0.0012001i,0.0012631+0.00053943i,0.00079173+0.00090218i,0.00063445+0.0012284i,0.00042833+0.00067936i,-0.00025365-5.7205e-05i,-0.00084138-0.0010251i,0.00019489-0.00052926i,0.00095339+0.00012837i,0.00017954-0.00052906i,-0.00063406-0.00055363i,-0.00096095-0.0003767i,-0.00074853-0.00053745i,-0.0001529-0.00053666i,-0.00067646-0.00063776i,-0.00040536-0.00039995i,0.00043993+0.00011522i,0.0010618+0.00011477i,0.001334+0.00036172i,1.9411e-05+0.00028388i
