0.00079959-0.00061647i,0.00083525-0.0016232i,-0.00063895-0.002672i,-0.0017827-0.0016318i,-0.0022169-0.00026431i,-0.0023592+0.00073116i,-0.00074828+0.0011207i,0.00063844+0.00090968i,0.00078988+0.00051082i,0.0010696-0.00089482i,0.0013471-0.0012313i,0.0011057+6.6646e-05i,2.8869e-05+1.1077e-05i,-0.00040918-0.00050546i,4.424e-05-0.00047286i,0.00037035-0.00047388i,-3.6854e-06-0.00068483i,-0.00030141-0.0010338i,0.00032869-0.00099486i,0.00015087-0.00066326i,-0.00014763-0.00095695i,7.1287e-05-0.0010113i,-0.00025395-0.00013304i
-0.00012038-0.0010206i,-0.00063839-0.0006225i,-0.0003896-0.00010147i,-0.00011248+0.00042173i,-0.00071679+0.001467i,-0.00061337+0.0013256i,-0.00016745+0.00020582i,2.5832e-06-4.481e-05i,0.00086401-0.00019741i,0.0010392-0.000549i,0.00024273-0.00060549i,-0.00035928-0.0001386i,-0.0004935+5.5406e-05i,-0.00020858+0.00010315i,7.7748e-05+4.0423e-05i,0.00020266-0.00032459i,0.0002284-0.00069225i,-0.00024996-0.001054i,-0.00030341-0.00052037i,0.00014793+0.00045526i,0.00023771+0.00044469i,0.00031933+0.00023862i,0.00026458+0.00036307i
0.00055521+0.0015975i,0.0025879+0.0011884i,0.0026495+0.001191i,0.0017892+0.00081325i,0.0010508-0.00010049i,0.0002655-0.0010285i,0.00016674-0.0011722i,-0.00034022-0.0005454i,-0.00015387-0.00011869i,0.00062274+0.00033534i,0.00084677+0.00013709i,0.00071638-0.00018506i,-4.245e-05+0.0001783i,-0.0010319-0.00023841i,-0.000906-0.00062191i,-0.00046306-0.00088478i,-0.0002375-0.00051052i,-0.00041222+0.00071318i,-0.00023781+0.00077717i,0.00011116-0.00033426i,-0.00010773-0.00032818i,2.7965e-05+0.00041651i,0.00020199+0.00010692i
-0.0012958-4.2482e-05i,-0.0012337-0.00040003i,-0.0015434-0.0010565i,-0.0013505+0.00016665i,5.6074e-07+0.00054889i,0.00090409+1.7908e-06i,0.00079098-0.00033474i,0.00035597-0.0011948i,0.00025784-0.0013753i,0.00012388+2.6592e-05i,-0.00034882+0.00085514i,-0.00055382+0.00033327i,5.4877e-05+0.00024862i,0.00028164+0.00093057i,7.981e-05+0.00070875i,-1.9533e-05-0.00036133i,-1.8199e-05-0.00016756i,-0.00018074+0.0002327i,-0.00062697-0.00050284i,8.5476e-05-0.00051766i,0.00045791-9.664e-05i,-0.0002179+0.00039231i,-0.00046483+0.00047871i
-0.00086721+0.0014597i,-0.00022352+0.0022648i,0.00043358+0.00273i,-6.7338e-05+0.0024105i,0.00046515+0.0011199i,0.0011592-0.00047271i,0.00054328-0.00080378i,-0.00047094-0.00026882i,-0.00038965-0.00028526i,-0.00033804-0.00063935i,-3.14e-05-0.00061559i,0.0006546-0.0002378i,0.00080456+1.2753e-05i,1.7098e-05+4.5873e-05i,-0.00040051-4.3539e-05i,-0.00054324-0.00036438i,-0.00087064-0.00062781i,-0.0010698+4.7161e-05i,-0.00035383+0.00054585i,0.00016195-0.00013736i,-0.00019194-0.00036857i,-0.0002822-0.00043587i,-0.00022237-0.00032323i
-3.5761e-05-0.00097751i,-0.00046618-0.00084464i,-0.0005463-0.0011073i,-0.00075451-0.00067145i,-0.00053733+0.00010479i,0.00031969+0.00035661i,0.00011884+0.00014111i,-0.00042648-0.00041987i,-0.00027039-0.00093831i,0.00012266-0.00046312i,0.00025501+0.00036524i,-0.00020048+0.00059723i,-0.00025903+0.00017226i,6.3245e-06-0.00033038i,0.0001553+3.2302e-05i,0.00059065+0.00031397i,0.00027744-0.00019804i,-1.6735e-05-0.0006133i,0.000234-0.00054656i,-2.012e-05+0.00026186i,-0.00032502+0.00053587i,-0.00040974-0.00023544i,-0.00016677-0.00055552i
-0.0011326-9.0765e-05i,-0.0006204+0.00037564i,-0.00069751+0.00045488i,-0.00025104+0.00046575i,-0.00013985+0.000972i,0.00012181+0.00032796i,0.00088956-0.0004492i,1.9066e-05-0.00026187i,-0.00068538-0.00025929i,0.00021538-0.00022427i,0.00040288+0.00054508i,-0.00018443+0.00039154i,-5.4626e-05-0.00017434i,0.00081252-0.00021158i,0.0012076+3.7349e-05i,0.00012911+0.00066486i,-0.00064386+0.00040163i,-0.00013214-0.00053001i,0.00061191-0.00069727i,0.00024777-4.1113e-06i,-0.00057229-3.6101e-05i,-0.00055609-9.9025e-05i,-3.7337e-05+5.6804e-05i
0.0028087-0.0012809i,0.0022869-0.0011277i,0.00037474-0.0014918i,-0.00069456-0.001151i,-0.00086378-0.00046975i,-0.00020534-4.0412e-05i,0.00011329-0.00012598i,0.00036748-0.00054482i,0.00063155+0.0001378i,-8.9585e-06+0.00055344i,-0.00057564-3.9861e-05i,-0.00043331-0.00018028i,0.00010026+0.00043001i,0.00051769+0.0005401i,0.00044274+0.0003199i,-0.00015374+0.00026085i,-0.00030764+0.00013796i,0.0001391+9.6717e-06i,-0.00020374-0.00034523i,-0.001355-0.00021131i,-0.0012338-0.00035665i,-0.00050694-0.0003062i,0.00015299-0.0001899i
0.00011016-0.0003471i,-0.00070751+2.6153e-05i,-0.00089357+0.00014047i,-0.0010206+0.00036864i,-0.00057176-0.00039515i,0.00094985-0.00083596i,0.0010932-0.00021781i,0.00023705+0.00021438i,-0.00029489-0.00033665i,-0.00022042-0.00050666i,0.00010961+0.00022951i,0.00028837+0.00088857i,8.9058e-05+0.00072569i,-0.00028541+0.00024108i,-6.2168e-05-0.00022643i,0.000454-0.00032099i,0.00035536+0.00031708i,-6.7424e-05+0.00064412i,-0.00050786+0.00016483i,-0.00090137-0.0001334i,-0.0009661+0.00025651i,-0.00055893-1.6541e-06i,0.00054923-0.00027952i
-0.0024465+0.0014823i,-0.0017318+0.0016005i,-0.00060291+0.0024577i,0.0011023+0.0028212i,0.001998+0.0019121i,0.0015641+7.0645e-05i,0.00066957-0.0014168i,3.1715e-05-0.0013679i,-0.00039409-4.9386e-05i,-0.00030693+0.00047604i,0.00024119+0.00022265i,9.0243e-05+0.00034258i,-0.0006526+0.00029312i,-0.00080843-0.00024032i,-0.00037892-0.00053138i,-0.00037078-0.00037862i,-0.00058041-0.00049486i,-0.0006876-0.00092566i,0.00010651-0.00070291i,0.0003884-0.00013943i,2.5073e-05+0.0003522i,-0.00017111+0.00092721i,-0.0011105+0.00024647i
-0.00092289-0.0015785i,5.3237e-06-0.0018912i,0.00079475-0.0020391i,0.00068556-0.0012626i,0.00061344-0.00065756i,0.00065351-0.0013715i,0.00053293-0.0018668i,0.00052239-0.0014742i,0.00032911-0.0016579i,-0.00044988-0.001617i,-0.00059237-0.00080526i,-0.00015667-0.00073466i,-0.0004356-0.0010783i,-0.00092403-0.00050319i,-0.0010328+9.2522e-05i,-9.9051e-05+0.00022489i,0.00099939-1.7044e-05i,0.00087519-0.0001838i,0.00026828-0.00074069i,0.00023897-0.0010536i,0.00017214-6.7126e-05i,-0.00016194+0.00024248i,-3.7005e-05+0.00011225i
