-0.0025594+0.0011529i,-0.0015497+0.00074462i,-0.0008674+0.00076592i,-6.5782e-05+0.00063404i,0.00023502+9.6154e-05i,0.00075553-0.00040857i,0.00051731-0.00013691i,0.00034379+0.00043408i,0.00064809+0.000739i,0.00060284+0.00044961i,0.00049158-0.00051103i,-8.1035e-05-0.00080315i,5.0318e-05-2.7991e-05i,0.00042011-0.00033408i,-0.00011251-0.00074036i,4.726e-05-0.00028427i,0.00030026+0.00014735i,0.00021614-0.00014208i,0.00064703-0.00018099i,0.0010013+0.00067794i,0.0010518+0.00074024i,0.000391-0.00017566i,0.00010052-0.00074322i
0.0004002-0.00073432i,-0.00022605-0.0010942i,-0.00039709-0.002301i,-0.00076641-0.0031565i,-0.0012532-0.002192i,-0.0018765-0.0006638i,-0.0016115+0.00035377i,-0.0008659+0.00039234i,0.00011935-0.00017526i,0.00019043+0.00013355i,-0.0004092-8.665e-05i,-0.00039025-0.00048487i,-0.00049021-0.0002863i,-0.00031841-0.00050564i,0.00033347-0.00041364i,0.00071253+3.5371e-05i,0.00070573+0.00028827i,0.00010398+0.00080664i,-0.00043468+0.00091664i,-0.00055258+0.00060945i,-0.00082066+0.00054514i,-0.00069943+0.00059285i,-5.8627e-05+0.00063958i
0.0023511+0.0010163i,0.0021471+1.3457e-05i,0.0016727-0.00084418i,0.00071841-0.0026719i,-0.00020789-0.0035391i,-0.0016835-0.0022478i,-0.001492-0.00048818i,-0.0010686+0.0006728i,-0.00058317+0.0010191i,-0.00030485+0.0013332i,-0.00069638+0.0010925i,-0.00083581+0.00065168i,-0.00099247+0.00066001i,-0.00092372+0.00051032i,-0.00035954+0.00057356i,0.00036889+0.00063936i,0.00087436-8.5563e-05i,0.00034682+9.6404e-05i,0.00030334+0.00013288i,0.00039286-0.00011139i,-0.00015394-0.0001832i,-0.00041125+6.3502e-05i,-0.0010416-6.5124e-05i
-0.002033-0.00050785i,-0.003273-0.00079107i,-0.0030726-0.0013406i,-0.0019618-0.0015852i,-0.0016716-0.0014222i,-0.0014779-0.0010111i,-0.0001237+1.0792e-05i,0.0010147+0.00016372i,0.0012459-0.0001143i,0.00079983-0.00022958i,0.00047495-0.00040815i,0.00074176-6.0513e-05i,0.00046281-0.00017173i,0.00040096-0.00028564i,0.00051151-0.00024405i,0.00049266-3.2963e-05i,0.00056522+0.00042215i,-0.00012349+0.00032032i,-0.00024048-4.1807e-05i,-0.00021964-0.00011964i,0.0002107-0.00057309i,0.00094436-0.00082374i,0.00019906-0.001159i
-0.0001249-0.00076496i,-0.00045754-0.0012757i,0.0002655-0.00094517i,7.6266e-05-0.00079144i,-0.0012311-0.00067027i,-0.0018767-0.00061047i,-0.0013599-0.00072985i,-0.00067556-0.0008783i,-0.00054235-0.00016904i,-0.00030572+0.00065966i,-0.0001448+0.000853i,-0.00045827+0.00054011i,-0.00078563-2.9532e-05i,-0.00064647-0.00051111i,0.00013332-0.00039686i,0.00031917-0.00054654i,-0.00023647-0.00052475i,-0.00074538-0.00028951i,-0.0012618-0.00014692i,-0.001927+0.0006252i,-0.0018855+0.00049115i,-0.00029162+1.5466e-05i,0.00063035-4.5238e-05i
-0.0003348+0.0016382i,-0.0014755+0.0013646i,-0.00027192+0.00017655i,0.00034578-0.0016081i,-0.00052221-0.00231i,-0.00069551-0.0020068i,0.0001095-0.0013209i,-0.00031163-0.0012948i,-0.00057269-0.001088i,-0.000148-0.00021785i,8.0864e-06-0.00046271i,-3.3037e-05-0.00064164i,-0.00073966-2.027e-05i,-0.0011577+1.0879e-05i,-0.00056661-0.0003582i,5.5694e-05-0.00032638i,0.00045465+0.00042866i,0.00061493+0.001085i,0.00047032+0.00019631i,0.00067962-0.00014315i,0.00051922+0.00020274i,-0.00060235+0.00011326i,-0.0010792+0.00031411i
0.0012979+0.00054704i,0.00086523+0.00090331i,0.0016081+0.00036652i,0.0018833-0.00073963i,0.00067128-0.0016225i,-0.00020299-0.0016045i,-0.00066745-0.00040577i,-0.00044821-0.00011223i,0.00053297-0.00011557i,0.0002176-4.3148e-05i,-0.00045051+0.00069832i,-0.00025661+0.0014578i,1.7388e-05+0.00091462i,0.00036723-9.6375e-05i,0.00073265-0.00055394i,0.00054875-0.00020826i,-0.00058843+2.0132e-05i,-0.0010957-0.00034905i,-0.00059183+0.00010639i,-0.00018432+0.00031202i,-0.00054615-0.00053898i,-0.00094513-0.00070915i,-0.00062327-0.00048365i
0.00075788-9.8764e-05i,0.0010794-0.0010182i,0.00023443-0.0026805i,-0.00015182-0.0035175i,-0.00033076-0.0038073i,-0.00085761-0.0021419i,-0.0011642-0.00074643i,-0.000811-0.00011181i,0.0001415+0.00056865i,4.6768e-05-0.00010656i,-0.000108-0.00058546i,-0.00017274+0.0001879i,-0.00021455+0.00046062i,2.8886e-05-0.00014568i,0.00039949-0.00054636i,0.00065652+0.00056444i,0.00022248+0.0011728i,0.00022236+0.00041123i,0.0010813+0.00034325i,0.00082139+0.00050047i,4.4388e-05+0.00021286i,-1.758e-05-1.5436e-05i,1.1804e-05+0.00023282i
-0.00020316+0.00040206i,0.00040587+0.00077669i,0.0010884+0.001815i,0.00082267+0.00049105i,0.00062446-0.0014209i,0.00054782-0.0015407i,0.00031171-0.0012943i,0.001097-0.00032645i,0.0016231+0.00061894i,0.00099331+0.00018271i,0.00015412+0.000268i,0.0001181+0.00019855i,8.8316e-05-0.00025145i,7.8654e-05-0.00022696i,-0.00018434+0.00017819i,-0.0002662+0.00036134i,0.00055753+0.00065923i,0.00065022+0.00082568i,-0.00046528+0.00054582i,-0.00082547+0.00077323i,-9.2018e-05+0.00024755i,0.00045479-0.00027413i,5.7796e-05+0.00011907i
0.0018662-0.0012463i,-0.00037849-0.0014108i,-0.0016654-0.0022714i,-0.0017471-0.0022013i,-0.0019709-0.00068354i,-0.001488+0.00088362i,-0.00076598+0.0014513i,-0.00052015+0.001542i,-0.00013638+0.0013799i,0.00024414+0.00066209i,0.00051985-0.00024452i,0.00040957-0.00023036i,-0.00025898-9.7743e-05i,3.5189e-05-0.00026993i,0.00042541+0.00094471i,-0.00036289+0.00071446i,-0.00048304-0.0002852i,-0.00060903-0.00043322i,-0.00084718-0.00038298i,0.00027791-4.0867e-05i,0.0011833+0.0008416i,0.00031748+0.0013515i,-0.00033596+0.00065584i
0.00031068-0.0013064i,0.00018494-0.0018155i,0.00056364-0.0025702i,0.00010042-0.0022063i,-0.00043018-0.0013555i,-0.00094958-0.00098005i,-0.00063711-0.00063817i,-0.00091838-0.00035546i,-0.0015801+9.7414e-05i,-0.0009738+0.0008311i,-0.00064363+0.00093612i,-0.00060843+0.00060338i,-9.4951e-05-0.00050495i,0.0003227-0.00034561i,0.00027772-0.00020006i,0.00022741-0.00028784i,-0.00027223+0.00072562i,-0.00034367+0.0004089i,5.7516e-05+0.00035602i,0.00035549+0.0012907i,-0.00026169+0.001449i,-0.00074741+0.00088129i,-0.00049165+1.4657e-05i
-0.00039048+0.0016537i,-0.00041342+0.0011388i,-0.00088301+0.00031016i,0.00036942-0.00079477i,0.0011748-0.0012036i,0.00086072-0.0010931i,-5.5222e-06-0.00090578i,-0.00074738-0.00073089i,-0.00060632-0.00041363i,0.00022022+0.00014506i,0.0004838+0.00045187i,-0.0002839+0.00024581i,0.00011138+0.00018216i,0.00034172-0.00063076i,0.00018699-0.0011279i,0.00050618-0.00072833i,-4.9245e-05-0.00043314i,-0.00011999-0.00046412i,0.00078841-8.3638e-05i,0.00048329+0.00086624i,-0.00013401+0.00054652i,-0.00023645-0.00064654i,-0.00064352-0.00051076i
0.00074238+0.0011126i,0.0008089-0.00042482i,0.0014685-0.0010156i,0.0012293-0.0010511i,0.0011152-0.0013217i,0.0012328-0.0010366i,0.00041675-0.00049406i,-0.00038265-0.00030492i,-0.00037997-0.00032217i,6.465e-05-0.00070089i,0.00012907-0.00037637i,-0.0012454-0.00048717i,-0.0017091-0.0011706i,-0.00077582-0.00057781i,0.00017518+0.00013292i,0.00036933-0.00032546i,0.00033049-0.00050578i,0.00041961-0.0003153i,0.00058253+2.6057e-05i,0.00062017+8.8817e-05i,0.00065159-0.00025214i,0.00059544+6.2884e-05i,-0.00016261+0.00060094i
-0.00099842+0.0017528i,-0.00087377+0.0012159i,-0.00031978+0.0011688i,5.4863e-05-0.00029664i,-3.4068e-06-0.0026373i,-5.2463e-06-0.0027631i,-0.00046793-0.0015445i,-0.00012947-0.00052453i,0.00055561+1.3077e-05i,0.00022854+0.00087194i,-0.00047578+0.0010753i,5.4166e-05+0.00088321i,0.00014361+0.00095204i,-0.00040119+0.0011921i,0.00011924+0.0006042i,0.00066863+4.4701e-05i,0.00025232+0.00023094i,0.00014903+0.00076657i,0.0010935+0.00091814i,0.001226+0.00083287i,0.00041579+0.00077538i,8.2549e-05+0.00064181i,-0.00053593+0.00046253i
-0.00066586+0.00035018i,-9.7518e-05+0.00020844i,0.00038275+0.00075887i,0.00049755+9.0446e-05i,-0.00011343-0.0011436i,-0.00093502-0.00121i,-0.00116-0.00071815i,-0.00070053-0.00044996i,-0.00036615+0.0009361i,-0.00025115+0.001634i,-0.00040514+0.00060349i,-0.00016402-8.5796e-05i,0.00044679+0.00014359i,0.00030308-0.00018769i,0.00024538-0.00056744i,0.00015577+0.00022401i,0.00012443+0.00017244i,0.00054353-0.00043766i,0.00082568-0.00047396i,0.00051827-0.00033627i,0.00019595+0.00040044i,5.6925e-05+0.00067968i,-1.2897e-05+0.00026517i
-0.0020717-0.0033078i,-0.0026847-0.001661i,-0.0029814-0.0022005i,-0.0024821-0.0022477i,-0.0018839-0.00054808i,-0.0010158+0.00059204i,-5.834e-05-5.2679e-05i,0.00025191-0.00090705i,-0.00012182-0.0012481i,-0.00035622-0.0011176i,0.0004513-0.00050909i,0.0015213+0.00021705i,0.0016736+9.5278e-05i,0.0015281-0.00038567i,0.00071237-0.00041232i,0.00024406-0.00061584i,0.00045585-0.00074262i,5.4721e-06-0.0003658i,-0.00033234+0.00030322i,-0.00081189+0.00020955i,-0.00092416-0.00048341i,-2.2578e-05-0.00073381i,0.0004197-0.0003033i
-0.0010734+0.0001745i,-0.00068707-0.00080116i,-0.00082253-0.00060587i,-0.00075658+0.00028582i,-2.1581e-05+0.00017124i,0.00048555-0.00050015i,4.5886e-05+0.00024648i,-0.00064321+0.00028955i,-0.00052584-0.00061046i,-0.0010028-0.0001441i,-0.0009835-0.0001396i,0.00020777-0.00019205i,7.9423e-05-0.00024441i,-0.00019328-0.0012373i,0.00041246-0.0011883i,0.00024609+2.5658e-05i,-0.00027887+0.00039061i,-0.00044291-0.00025939i,-0.0006945-0.00070283i,-0.00035212-0.0010309i,0.00031836-0.00079101i,-4.7616e-05-0.00033504i,-0.00025993-3.5108e-06i
