-0.0020799+7.9908e-05i,-0.0016772+0.00070958i,-0.0012408+0.00073462i,-0.0011148+0.00054118i,-0.0012913+0.00027627i,-0.0013361+0.00012988i,-0.00075336+0.00029363i,0.00030034+0.00082641i,0.00087501+0.00098085i,0.00024251+0.00020225i,-0.00046328-0.00030225i,-0.00042536-7.9227e-05i,-0.00039668-0.00035882i,-0.00021662-0.0010082i,-3.9214e-05-0.0010623i,0.00028893-0.0009709i,0.00051481-0.00048985i,0.00048791+3.6607e-05i,0.00071853+0.00041773i,0.00038282+0.00057078i,-0.00052118+0.00033555i,-0.0010154+7.6633e-05i,0.0001907+4.5583e-05i
-0.0011392+0.0021087i,0.00026296+0.0021282i,0.00080224+0.001762i,0.00076065+0.0020321i,0.0011412+0.0018515i,0.0016012+0.001415i,0.0012737-0.0002496i,0.00014115-0.00072097i,-0.00024304+0.00010119i,-3.439e-05+0.00036546i,-0.00035699-7.3451e-05i,-6.2974e-05+1.3523e-05i,0.00063144-9.5749e-05i,0.0012297-0.00047559i,0.00098034-0.00034375i,0.00016449+2.4684e-05i,-0.0007079+0.00014007i,-0.00061291+0.00050071i,0.00027901+0.00066752i,0.00080401-0.00031682i,0.0010844-0.00035843i,0.00078384+0.00019212i,3.0067e-05-8.5048e-05i
0.00040342-9.6626e-05i,0.00037433-0.00045233i,0.00012568-0.0013275i,-0.00041304-0.0014888i,-0.00054052-0.0017794i,-0.0001358-0.0016034i,0.00074656-0.00024301i,-0.00019048-0.00027149i,-0.0008321-0.00094768i,-0.00066105-0.00096222i,-0.00060528-0.00077457i,-0.00012528-0.00034759i,0.0004909-0.00050545i,0.00092728-0.00045519i,0.00071291-0.00020186i,-0.00034726-0.0002947i,-0.00066549-0.00030735i,-0.00044682+0.00058696i,-0.00079317+0.00065993i,-0.00015018+0.00032547i,0.00049782+0.00012333i,-0.00015356-0.00036714i,-0.00078231-0.00074051i
-0.00059122+0.00072883i,-0.00029083+0.00035109i,-0.0001329+0.00078787i,-0.00077183+0.0015411i,-0.00040034+0.0011143i,9.9639e-06+0.00078754i,-0.0002281+0.00014954i,-0.00026665-0.00026918i,-0.0002282-0.00042478i,0.00018353-0.0010018i,0.00059765-0.0011022i,0.00041118-0.00067612i,3.0702e-05-0.00012187i,0.00020493+0.00023206i,0.00032373-0.00023462i,-0.00044415-0.00078334i,-0.00022905-0.00011757i,-7.801e-05+0.00041025i,0.00054505+0.00058888i,0.0010866+0.00069261i,0.0011015+0.00046287i,0.00089443+0.00032669i,0.00019341+0.00040259i
0.00035169+0.0012758i,0.0005885+0.00043399i,0.0013908+0.00019893i,0.0014787-0.00024277i,0.00061464-0.0013495i,0.00020731-0.00080739i,2.786e-05+0.00097519i,-0.00037314+0.0006952i,-0.00040683-0.0013481i,-0.00078173-0.0016863i,-0.0011394-0.00064426i,-0.0010864-5.5113e-05i,-0.00051619+0.0004109i,0.00026593+0.00033405i,0.00070356+0.00031364i,0.00051564+9.8961e-06i,0.00045413-0.00060276i,0.00055081-0.00076008i,0.00075437-0.0004666i,0.00050576-0.00010927i,0.00032521-0.00015788i,0.000234-0.00015403i,0.00018101+0.00024844i
-0.0015493-0.0012226i,-0.0011967+0.0001096i,-0.0017641+0.0012991i,-0.0011409+0.0017574i,0.00038991+0.002438i,0.0012469+0.0026205i,0.00076257+0.00098998i,-2.2444e-05-0.0007278i,-0.0009663-0.0014072i,-0.0017632-0.00085691i,-0.0011128+0.00031699i,-0.00026258+0.00030966i,3.0333e-05-0.00078009i,-6.0653e-05-0.0010945i,0.00028672-0.00052926i,-0.00017256-0.00040909i,-0.0012113-4.4373e-05i,-0.0009209+8.8675e-05i,5.4749e-06-0.00030292i,0.00069138-0.00023457i,0.00065514+0.00025331i,0.00073214+0.00066932i,0.0005167+0.00056954i
-0.0010654-0.0020079i,-0.0013538-0.0011514i,-0.0022217-5.5272e-05i,-0.002924+0.00048968i,-0.0023646+0.0001149i,6.2283e-05-0.000403i,0.0015353-0.00044724i,0.0007158-0.00071864i,-0.00015886-0.00075957i,-0.00028709-0.00064548i,-0.00035139-0.00027723i,-0.00039144-6.3405e-05i,0.00063137-6.5283e-05i,0.001159-0.00082612i,0.0003505-0.0014452i,0.00026337-0.0011807i,0.00085132-0.00021147i,0.00061514+0.00061738i,0.0003095+0.0005055i,0.00069106-7.2829e-05i,0.0013373-0.00027872i,0.0012965-6.1093e-05i,0.00042695+0.00055101i
-0.00038299-0.00040597i,-0.00053573+0.00023974i,-0.00016351+0.00039699i,0.00031938+0.00090018i,0.0015454+0.0022537i,0.0013189+0.0019637i,-4.0797e-05+0.00058105i,-0.00057116-0.00040711i,-0.00060355-0.00059895i,-0.00064871-0.00064326i,-0.00037996-0.00042017i,4.8123e-05+0.00042283i,0.00053175+0.00080381i,0.0002203+0.00036986i,-0.00031318-0.00056819i,-0.00031841-0.0010467i,-0.00032759-0.00068477i,-0.00073288+0.000181i,-0.00063463+0.00063386i,1.2282e-05+0.00042105i,0.00059485+0.00017298i,7.7293e-05+4.9825e-05i,-0.00047543-0.00028091i
0.0014073-3.046e-05i,0.0025595-0.00040175i,0.0016182-5.6845e-05i,0.00054562+0.00014594i,0.00064146-0.00057461i,7.6789e-05-0.0012565i,-0.00050526-0.00057614i,-0.00028428-7.8404e-05i,-0.00026141-0.00039372i,-0.00042313-0.00028714i,-0.00075077-0.00021857i,-0.00028505-0.00055399i,0.00043286-0.00093062i,0.00057565-0.0011267i,0.00043377-0.0015709i,0.00049827-0.0010007i,0.00047922-0.00023892i,-0.00011385-0.00020527i,-0.00042792+1.3153e-05i,-0.00040897+0.00022819i,-0.00015118+0.00071455i,0.00020683+0.0010128i,-0.00045415+0.00061616i
-0.0012179-0.00044672i,-0.00047587+0.00068798i,-0.00059917+0.00086843i,-0.00044438+0.0011943i,0.00041673+0.0015715i,0.00094553+0.001664i,0.00034418+0.0013787i,-8.4862e-06+0.00055181i,0.00076536-0.00029415i,0.00036029-0.00049598i,-0.00049015-0.0003565i,0.00032399-0.00046416i,0.00088455-8.3702e-05i,0.0008903+0.00063739i,0.00084835+0.00031457i,-0.00033225+0.00012638i,-0.0006466-7.4317e-05i,0.00015646-0.00035496i,-0.00015113+0.0001446i,-0.00018427+0.0010922i,0.00026341+0.0010064i,-0.00015016+0.00043924i,-0.00044059+0.00047191i
-0.0011945-0.00050743i,-0.0015554+0.00026112i,-0.0016252+0.0011739i,-0.00080146+0.0012764i,6.1225e-06+0.0012609i,0.00028246+0.0019321i,-7.8206e-05+0.00072855i,-0.00066009-0.00078788i,-0.00026641-0.00017561i,-0.00027257-1.6845e-05i,-0.00033811-0.0011467i,5.3597e-07-0.0011353i,-0.0003873-0.00024544i,-0.00068993-0.00021761i,-0.00066432-0.00057236i,-8.3885e-05-0.00066579i,0.00030163-0.0010717i,4.1299e-05-0.0010012i,-0.00076155+0.00011845i,-0.00096383+0.00016435i,-3.5885e-05-0.0011822i,8.5059e-05-0.0015521i,-0.00011067-0.00014082i
