-0.00080381-0.00058473i,8.9501e-06-0.00087987i,0.00022668-0.0015058i,-0.00025676-0.0011282i,-0.00094883+3.9391e-05i,-0.0015655+0.00018415i,-0.001702+0.00026868i,-0.0016226+0.0010769i,-0.00066674+0.00095211i,0.00062391+0.00018029i,0.00058366-0.00057694i,-7.9372e-05-0.00014422i,-0.0003121+0.00036318i,-0.00048364-2.9241e-05i,-0.00042967-0.00038396i,0.00016727+0.0004102i,0.00082594+0.00085875i,0.00049195+0.00066584i,4.912e-05+0.0009691i,-0.00013746+0.00093446i,-0.00060894+0.00011415i,-0.00076204-0.0010112i,-0.00021854-0.0014066i
-0.0010446-0.00097794i,-0.0012126-0.00058176i,-0.00077723+0.00082651i,0.00040275+0.001983i,0.0020186+0.0018613i,0.0026631+0.0010288i,0.0017388+0.00015258i,0.0012393+0.00025223i,0.00076277+0.0007359i,0.00026862+0.00079614i,0.00067312+0.00051856i,0.0012386+0.0003122i,0.00104+0.00010766i,0.00090056-0.00038156i,-5.4229e-05-9.6485e-05i,-0.0015576-8.4932e-06i,-0.0025905-0.00024271i,-0.0017066-0.00012753i,-0.00024443+8.2034e-05i,9.9973e-05+0.00063185i,0.00014403+0.00059023i,-8.1704e-05+0.00030985i,0.00063939-0.000326i
0.00081102+7.5244e-05i,0.00027809+0.00076928i,0.00013365+0.00027365i,-0.00016935-8.441e-05i,4.5544e-05-0.00039828i,0.0012657-0.00023728i,0.001912+7.858e-05i,0.0014849+0.00038716i,0.0013094+0.0012115i,0.0010658+0.001397i,0.00018628+0.00064428i,-7.8404e-05-0.00016297i,7.1696e-05-0.00051697i,0.00014725-0.00046622i,-0.00047901-0.00031564i,-0.00046165+0.0002881i,-0.00032867+0.00033584i,-0.00027493-0.00012195i,-0.0004344-0.00031751i,-0.00095584-3.3972e-05i,-0.00061021+8.3158e-05i,0.00016768-4.2106e-05i,7.7095e-05-0.0002179i
0.0009022-0.00046568i,0.00063578+0.0002473i,0.00055879+0.00075974i,0.00074328+0.0011472i,0.00057901+0.0013752i,0.00043151+0.00066018i,6.1063e-05+0.00040063i,-0.00069682+0.00084698i,-0.0012203+0.0012525i,-0.0010258+0.0011571i,-0.00055161-0.00016536i,-0.00023602-0.00087816i,-0.00017339-5.3198e-06i,-0.00020426+0.0010598i,-2.7691e-05+0.0010035i,0.00063966+0.00043487i,0.00057374+0.00028263i,-0.00040678+0.00011188i,-0.00098899+0.00011343i,-0.00074841+0.00031104i,-0.0010312+0.00023801i,-0.00055961-1.2621e-05i,2.3384e-05-0.00024955i
-0.00045514-0.00089944i,0.0003746-0.00042728i,-0.00075235-0.00019618i,-0.0021128+4.4606e-06i,-0.0010274+0.0005149i,8.9541e-05+0.0015299i,-0.0002528+0.0010385i,-0.00030979-0.0003912i,-0.00071642-8.4981e-05i,-0.0010247+0.001264i,-0.00035021+0.00087472i,0.0001161-0.00013575i,0.00054162-0.00079249i,0.00037706-0.0015756i,-0.0002005-0.0013384i,-0.00026151+5.6769e-05i,-0.00022336+0.00034477i,-5.0556e-05-7.6609e-05i,-9.5296e-05+1.6168e-05i,0.00019746+0.00042284i,3.3361e-05+0.00050756i,-0.00041339+0.00017123i,-8.0108e-05-0.00026693i
-0.00022097-0.00082869i,-5.121e-05-4.7556e-05i,-0.00011924+0.00027655i,0.00040936+0.00082363i,0.0013179+0.0014908i,0.0021042+0.00069428i,0.0021475-0.0001179i,0.0011354+0.00012463i,-0.00042127+0.00013964i,-0.00085149-0.00024866i,-0.00030433+3.0203e-05i,-0.00030972+0.00089426i,-0.00032379+0.0010394i,0.00037193+0.00040604i,0.00018368-0.00046821i,-0.00067258-0.00094463i,-0.0010902+1.6268e-05i,-0.00096472+0.00094857i,-0.00044592+0.0012224i,0.00036539+0.0008852i,0.00053672+2.7453e-05i,-0.00078326-0.00016724i,-0.0010083+6.6131e-05i
0.0008049+0.00068294i,0.00044352+0.00056699i,0.0013118-4.0653e-05i,0.0011909-0.0004608i,0.0006252-8.0902e-05i,0.00016273-0.00037557i,0.00013577-0.00051439i,1.3e-05-0.0001906i,0.00075767-0.00022505i,0.0013825-0.0004622i,0.00052355-0.00052866i,-0.00058043-4.1143e-06i,-0.00099197+0.00095051i,-0.00074046+0.0015741i,-0.00034857+0.0014003i,0.00020662+0.00073266i,-0.00040457-5.8281e-05i,-0.000376-0.00093166i,-0.00016454-0.00091138i,-0.00072849+6.3999e-05i,-0.00031591+0.00025587i,0.00046451+9.8063e-05i,2.5609e-05+0.00024692i
-0.00078785+8.4071e-05i,-0.00067187+0.00037374i,-0.00085797+0.00032267i,-0.0010223-0.00044833i,-0.00080298+0.00019971i,0.00052535+0.0012152i,0.00041677+0.00091899i,-0.00060812+0.00036597i,-0.00049352+0.00033859i,-0.0001831+0.00065631i,0.00012489+0.00016313i,0.00021421-0.00018143i,0.00044445-0.00054144i,0.00052737-0.00056376i,-6.2668e-05-6.4508e-06i,-0.00040656-0.00012956i,-0.000577+0.00011889i,-0.00060963+0.00035394i,-2.3243e-05+9.6814e-05i,0.00039032+9.4849e-06i,3.6786e-05+0.0010067i,-0.00056187+0.0013617i,-0.00029149+0.00042235i
-0.00079796+0.0007481i,-0.0010133+0.00032332i,0.00072189+0.00016123i,0.0026134-0.00059423i,0.0027835-0.00066177i,0.0016023-9.4061e-05i,0.0008676+0.0011285i,0.00043587+0.0013724i,0.00079222+0.0015023i,0.00069856+0.00099652i,-0.00018701+1.104e-05i,-0.00063911+0.0003345i,1.3191e-05+0.00090608i,0.00047151+0.0012996i,0.00014103+0.0010027i,5.0929e-05+0.00015978i,-3.6614e-05+2.4429e-05i,-0.00056464-8.5818e-05i,-0.00037916-0.0001498i,-0.00029107-0.00021954i,-0.00070573+0.00016779i,-0.00051787+0.00075769i,0.00012108+0.00062833i
0.0015761-0.0011786i,0.00099086-0.00017112i,-0.00067375-0.00037036i,-0.0025148+0.00056453i,-0.0020551+0.0016003i,-0.00044465+0.0015364i,0.00070115+0.0011833i,0.00067047+0.0011213i,-0.00021749+0.00083431i,-0.0007133+0.0005382i,-0.0011351+0.00081761i,-0.0012351+0.00049552i,-0.0010828-0.00070407i,-0.00070291-0.00060428i,-0.00010828+0.00023278i,0.00027283+0.0001104i,0.00042392-0.00021455i,0.00014013+0.00024985i,-0.00042495+0.00077172i,-0.00046606+0.00044601i,-0.00052968-0.00012484i,-0.0015114-0.00067013i,-0.0014472-0.00077357i
-0.00083834+0.0019042i,-0.00099779+0.001067i,0.00074185+0.0014989i,0.0022094+0.0018201i,0.0029825+0.00063671i,0.0023492-0.00068881i,0.00048297-0.0010773i,-0.00066024-0.00044102i,-0.00078553+0.00093187i,-0.00039748+0.00038379i,0.00013107-0.00052012i,-0.00042912-0.00054123i,-0.00059291-0.00063821i,-0.00021127-0.0001929i,-0.00021362+0.00055484i,-0.00046768+0.00067076i,-0.00051599+0.00020426i,-0.0009919+0.00013563i,-0.00082137+0.0006143i,0.00028026+0.00070627i,-3.6875e-05+0.00015105i,-0.00064097-0.00062448i,-0.00046654-0.00027936i
-2.6777e-06+0.00016178i,7.4383e-05+0.00021992i,0.00020439-0.00018382i,0.00080904+0.00039063i,0.0014908+0.00093383i,0.0017312+0.0013357i,0.0012382+0.00084373i,0.0011749+0.00056669i,0.00082789+0.0012426i,0.00022263+0.00092197i,-0.00050663+2.7366e-05i,-0.0005281+0.00028833i,5.6357e-05+0.00050567i,-7.1164e-05+0.00038418i,-0.00065387+0.00010479i,-0.00061253-0.00038635i,3.6492e-05-0.00039725i,0.00029013-0.00029959i,0.00033142-0.00022217i,0.00065165+9.4283e-07i,0.00075746-0.00035478i,0.00057882-0.00044145i,4.768e-05-0.0002116i
0.00038885+5.2802e-05i,0.0010269+0.00011369i,0.00094591+0.0005499i,0.00031067+0.00060467i,0.0001568+0.0010784i,0.001003+0.00084301i,0.0017264-0.00011123i,0.0012059-0.00050895i,0.00040075-0.00017826i,0.00055411-4.3417e-05i,0.0012741-0.00025306i,0.0010873+0.00039664i,-0.00013356+0.00087799i,-0.00041964+0.00047012i,-0.0007252-0.00040408i,-0.00028548-0.00095243i,0.00020229-0.00063982i,-0.00067201-0.00035015i,-0.00047333-8.8983e-05i,-2.7076e-05-1.4313e-05i,-0.00078266+9.9834e-05i,-0.00099756+0.00060994i,-0.00064949+0.00068198i
-0.0018667-0.00017722i,-0.0014029-0.00042685i,-0.00050261-0.00013564i,0.00086442+0.00083483i,0.0017973+0.00061739i,0.0020882-0.0010515i,0.0010807-0.0014922i,-0.0005873-0.00039772i,-0.0011334+0.0008339i,-0.00094197+0.0011823i,-0.00072522+0.00093535i,-0.00046491+0.00086788i,8.5582e-05+0.00033218i,0.00063075+6.0989e-05i,0.00030311+0.0002331i,-5.543e-05+0.0001452i,-9.8103e-05-2.2883e-05i,-0.00035683-0.00050681i,-0.00012793-0.0011473i,9.3819e-05-0.000799i,0.00014585-0.00021544i,4.3873e-05+0.00011874i,-0.00067012-1.7281e-05i
0.00099985-0.00056997i,0.00075932+0.0001685i,9.9965e-05+0.00019144i,-0.0013011+0.00023799i,-0.0018584+0.0013212i,-0.00093527+0.0020724i,1.2337e-05+0.0013096i,0.00034298+0.00070499i,7.0692e-05+0.0004194i,0.00051136-4.7117e-05i,0.00049453-0.00094343i,0.00010696-0.0011606i,7.7284e-05+1.6321e-06i,0.00067415+0.00031017i,0.0010465-0.00030959i,0.00074902-6.6029e-05i,8.4009e-05+4.6705e-05i,-0.0007566-0.00034495i,-0.0010097+5.8571e-06i,-0.0009519+0.00012705i,-0.00092593-0.00010335i,-0.0011159-5.1798e-06i,-0.0011173-0.00027535i
0.0012465+0.00070907i,0.00080633+0.00050704i,0.00098773+0.00040856i,0.0020889+0.00071476i,0.0018774+0.00040684i,0.0011773-0.00016553i,0.00036159-0.00035037i,4.3331e-06+0.00011385i,0.00033797-0.00023718i,0.00020373-0.0005889i,-0.00041829-0.00010517i,-0.0013724-0.00057341i,-0.0017174-0.00079542i,-0.0014473-0.0001933i,-0.0010643+0.0001803i,-0.0012089-6.683e-05i,-0.0013615-0.00045766i,-0.0013509-0.00065698i,-0.00076403-0.0004853i,0.00011854+0.00021488i,0.00085913-0.00012663i,0.0010055-0.00092589i,0.00053117-0.00082601i
0.00027251+0.0021436i,0.00038742+0.0018781i,0.00081038+0.0003377i,0.0012039-0.00032881i,0.0014226+0.0011835i,0.00053113+0.0016976i,-2.5351e-05+0.00082851i,0.00044519+0.00017585i,0.0013578+0.00013066i,0.0019095+0.00057077i,0.0013108+0.00014358i,0.00032142-0.00071673i,0.00029314-0.00045271i,0.00052826+0.00014761i,0.00039741-0.00017054i,9.6711e-05-7.3904e-05i,-0.00023876-0.00030974i,-0.00028384-0.00097719i,-0.00033716-0.0011074i,-0.00026876-0.00094886i,-0.0003037-0.0001447i,-9.4514e-05+0.00064285i,2.5737e-05+0.00021304i
