-0.00018709+0.00089701i,0.00019882+0.00092406i,-0.0011498+0.00017331i,-0.0017283-6.6009e-05i,-0.0018809+0.0010695i,-0.001663+0.002134i,-0.00059882+0.0024251i,0.0010057+0.0016248i,0.0023637+0.00066898i,0.0013308+0.00068881i,6.2497e-05+0.00013183i,-8.2051e-06-0.00082653i,-0.0003443-0.0010609i,-0.00044315-0.00063642i,0.00026716-4.3802e-05i,9.723e-05+0.00067055i,2.8975e-05+0.00073843i,0.00046038+0.00063294i,-9.2258e-05+0.0005386i,-0.0010525-0.00014017i,-0.001297-0.00096511i,-0.00029577-0.0014821i,0.00029891-0.0010078i
-0.00044729-0.001301i,0.00085473-0.00085867i,0.00068072-0.00060031i,0.00075687-0.0001315i,0.00075937+0.00059422i,0.0012907+0.00037294i,0.00094355+0.001036i,0.00034622+0.0017117i,-6.5912e-05+0.0015921i,-0.00071812+0.0010405i,8.8933e-06+0.00051399i,0.00018144+0.00065051i,-0.00032303+0.00071352i,-0.00026849+0.0004067i,-0.0006376+0.0006918i,-0.00047501+0.00055172i,-0.00023324+0.00018089i,-0.00043623-0.00033378i,-0.00011928-0.00058792i,3.9035e-06-0.00068872i,-0.00011746-0.00090612i,-0.00048086-0.00062619i,-0.00063652-0.00098494i
0.00077799-0.0010663i,0.0005586-0.0001479i,-8.5409e-05+0.00027446i,-0.00037488+1.172e-05i,-0.0010784+0.00033175i,-0.0011853+0.00082772i,-0.0005792+0.00096214i,0.00046127+0.00094233i,0.00040409+0.00050095i,4.3388e-05-0.00019853i,6.9837e-05+0.00023512i,0.00042119+0.0003446i,0.00043841-1.4215e-05i,0.00062622+0.00054728i,0.0008648+0.0010133i,0.00038222+0.00075142i,-4.0586e-05+5.8744e-05i,-0.00026338+0.00024614i,-0.00039021+0.00019584i,-0.00054881+0.00021666i,-0.00073783+0.00069477i,-0.00050664+0.00075534i,-0.00043565+0.00025634i
-0.0011817+0.0030195i,-0.0016211+0.0026963i,1.444e-05+0.0029911i,0.0026309+0.0018951i,0.0035315+0.00053678i,0.0021565+7.871e-05i,0.00065915-0.00014204i,-0.00017057-0.00074378i,0.00018546-0.00087859i,0.00089721-0.00035671i,0.0011414+0.00044467i,0.0010764+0.0010329i,0.00056135+0.0004926i,0.00019234-0.00028437i,0.0002516-0.00026802i,0.0006917+2.2318e-05i,0.00071896-0.00018659i,0.00043753+3.8391e-05i,0.0007266+0.00070333i,0.00029447+0.00073059i,-0.00058884+0.00019909i,-0.0010135-0.00014269i,-0.00081638-7.9843e-05i
0.00072786+0.00086087i,0.00095719+0.00048753i,0.00025124+0.00087165i,-0.00034021+0.0010921i,-0.00010109+0.0010513i,-0.00065771+0.0017171i,-0.00044861+0.0020293i,0.00032762+0.00096242i,3.2646e-06+0.00037119i,-0.0005718+0.00031695i,-0.00030233-0.00012436i,0.0004071+9.5122e-05i,0.00094015+0.00029913i,0.00088214+0.00015806i,0.00048929+0.00079033i,-0.00010153+0.0011494i,-0.00064834+0.00029176i,-0.00023077-8.7682e-05i,5.7607e-05-7.2627e-05i,-0.00023945+8.7974e-05i,-0.00092628-0.00014078i,-0.00026891-0.00066156i,0.00094985-0.00026995i
0.0022146+0.0019198i,0.0028958+0.0018315i,0.0039733+0.00045242i,0.0025226-0.0014147i,0.00029695-0.0016624i,-0.00028551-0.00049482i,-5.4842e-06+0.00061445i,-0.00036699+0.00078717i,-0.00038699+0.00049354i,0.00024293+6.3117e-05i,-0.0001894-4.8314e-06i,-0.0011066+0.00050814i,-0.00070111+0.00034605i,-0.00091514-0.00012538i,-0.001176-9.7595e-05i,-0.00070362-3.0394e-05i,-7.9665e-05-0.0006366i,0.000443-0.00049813i,0.00013156+4.087e-05i,-0.00022078-0.00030249i,-0.00060501+7.637e-05i,-0.0012581+0.00041921i,-0.00096394-6.05e-05i
-0.00017296+0.0021243i,0.00023292+0.0029343i,0.00026813+0.0032562i,9.1618e-05+0.0016424i,0.00056948+0.00032368i,0.0007582+0.0003833i,0.00049554-0.00035756i,0.00071397-0.00026296i,0.00095081+0.00072036i,0.0013772+0.00071807i,0.0012644+0.00066012i,0.00072177+0.0002528i,0.0010938-0.00025605i,0.00072073-0.00028172i,0.00030175-0.00064976i,0.000113-2.5969e-05i,-0.00072087+0.00021777i,-0.00087893+0.00029401i,-8.1053e-05-3.2131e-05i,0.00054597-0.00011536i,0.00056909+0.0003004i,0.0002751+0.00071481i,6.5159e-05+4.3107e-05i
-0.0012886+0.00047107i,-0.00067406+0.00072145i,-0.00020167+0.0013873i,-3.3692e-05+0.00077221i,0.00028129-2.7247e-05i,0.00070046+0.00017187i,0.00039364+0.0006413i,0.00029617+0.00058585i,0.00033692+0.00047159i,-0.00021435+0.00040528i,0.00039168+0.00036495i,0.0011629+8.8088e-05i,0.00087806-0.00062215i,0.00010879-0.0010208i,-0.00016663-0.00022635i,-0.00015639+0.0002351i,8.016e-05-0.00022072i,0.00051884-0.00079486i,0.00043566-0.00030163i,-0.00014154+0.00039993i,-0.00070063+0.00063964i,-0.0010696+6.3892e-05i,-0.0010378-0.0001234i
-0.0015887+0.00063028i,-0.00098154+0.0011289i,0.0014361+0.0011202i,0.0021439+0.00069688i,0.0018277+0.00057148i,0.0015841+0.00094403i,0.0015504+0.0016409i,0.00097964+0.0013694i,0.00021898+0.00081198i,-0.00033684+0.00040548i,-7.2697e-05+0.00056357i,0.00041427+0.0010125i,9.8992e-05+0.00052833i,-0.00036874-7.7402e-06i,-0.00050024-0.00014819i,-0.00039204-0.00018915i,0.00031714-0.0007175i,0.00082086-0.0015466i,0.0013633-0.00095094i,0.0014001+0.0005612i,0.00047013+0.00073977i,-0.00040942-0.00020838i,-0.0003269-0.00010143i
0.001532-0.0012181i,0.0014667+0.00014115i,0.001667+0.00028187i,0.00083018-0.00091521i,0.00026947-0.00067017i,0.00053476+0.0010427i,0.00095466+0.0013136i,0.0012798+0.00068305i,0.0011563+0.00033054i,4.2603e-05+5.5803e-05i,3.2096e-05-0.00037724i,0.00079582-0.00056459i,0.00069838-0.00024891i,0.000411-0.00014904i,-2.0552e-05-0.00034073i,-0.00018516-0.00013798i,-0.00038506+0.00039697i,-0.00074785+0.00039442i,-0.00051046-0.00033175i,1.4943e-05-0.00052165i,3.4251e-05-0.00048973i,-2.7173e-05-0.00067804i,6.079e-05-0.0003152i
0.00083226+0.0024942i,0.0014891+0.0025127i,0.0021932+0.0014734i,0.0015186-0.00012997i,0.0006158-0.0010977i,-0.00022704-0.0006675i,-0.00057164-0.00018701i,0.00019016+6.5298e-05i,0.0002734+0.00051881i,5.9425e-06+0.00044603i,0.00031702+4.823e-06i,0.00087099-2.7262e-05i,0.00059095+2.9863e-05i,-0.00023671+0.00027125i,-0.00042802-0.00013614i,-0.00016513-0.00078734i,0.00045735-0.00017123i,0.0012351+0.00020549i,0.0009475+0.00022655i,-0.00010765-0.00012595i,-0.00053264-0.0004494i,-0.00060047+8.5368e-05i,-0.00079792+4.5109e-05i
