-0.0014345-0.00045127i,-0.0014167-0.00072197i,-0.0016015-0.00077822i,-0.0029272-0.00065543i,-0.0037833-0.00013139i,-0.0035744+0.0005657i,-0.0020679+0.00062798i,-0.00023187+0.0015395i,0.00088224+0.0022879i,0.0011553+0.0019092i,0.001078+0.0015024i,0.0008732+0.00094369i,0.000578+7.9544e-05i,0.00048641-0.0001375i,0.000558+0.00012403i,0.00088534+0.00024056i,0.0005068+0.00078491i,8.13e-05+0.00041988i,0.00057099-0.00060777i,0.00030811-0.00044275i,-0.00024681+0.00053825i,-0.00045747+0.0010411i,-0.00064676+0.0011198i
0.00011843+0.00020532i,-0.00041697+0.00066492i,0.00031684+0.00055667i,0.00041918+0.0013957i,0.0002284+0.00074876i,0.0007442-0.00042546i,-0.00011555-7.238e-05i,-0.00074305+0.00019533i,0.00011187+0.00046907i,0.00041981+0.00099855i,1.3703e-05+0.00072333i,-0.00037643+0.00044105i,-0.00029009+0.0014133i,-0.00022633+0.0018091i,-0.00051326+0.00085221i,-0.00058035-2.4312e-05i,0.00026378-1.2027e-06i,0.00057029+0.00037532i,0.00050463+0.00040265i,0.00066267+0.00055454i,0.00054508+0.00086048i,0.00028307+0.00073046i,-0.00037413-0.00022456i
0.0021856-0.001098i,0.0013938-0.0015802i,-0.00027899-0.0023826i,-0.0013373-0.0025153i,-0.0015325-0.0016733i,-0.0013531-0.00054515i,-0.00056026-0.00059787i,0.00070097-0.00090265i,0.0011215-0.00013573i,0.0003985+0.00045781i,-0.00059439+0.00053016i,-0.0009257+0.0010134i,-0.00056339+0.0013672i,0.00011157+0.0016366i,0.00079347+0.00092484i,0.0017007-4.8117e-05i,0.0017962-0.000112i,0.0017705-0.00011119i,0.0012383-0.00045165i,0.00085479-0.00060592i,0.00070642-0.00049275i,-0.00032523-0.00038986i,-0.001149-4.218e-05i
-0.00017123-0.0010315i,0.00027062-0.00087675i,-0.00053213-0.0011996i,-0.000992-0.00046876i,-0.0010951+0.00019271i,-0.0014984+0.00044253i,-0.0013826+0.00076388i,-0.00060148+0.00075144i,0.00037511+0.00062498i,-0.0001469+0.00073126i,-0.00086992+0.0012231i,-0.00062735+0.0015934i,-0.00039629+0.0014258i,-0.00026959+0.0010505i,0.0001488+0.00042318i,0.00021496+0.00031341i,0.00069351+0.00093613i,0.0011335+0.00043205i,0.00049367-0.00011075i,-0.00032484+5.7549e-05i,-0.00025691-3.7777e-05i,0.00062501+0.00031767i,0.00025255+0.00071212i
-0.00017174-0.00072548i,-0.0014416-0.00066671i,-0.00087765-0.00021397i,-1.9771e-05-0.00015353i,0.00032111-0.00064109i,3.1826e-05-0.00069024i,-0.00029218-0.00023864i,0.00018259+6.2083e-05i,0.00067305+0.00063804i,0.00073511+0.0011734i,0.00042823+0.0016632i,0.00025175+0.0013188i,0.0007772+0.00013176i,0.00075236+3.5816e-06i,0.00064775-0.00010582i,0.00055448-4.6591e-05i,0.00053044-0.00020892i,0.00037951-0.00085863i,0.00047634-0.00041104i,0.00044887+2.9575e-05i,-0.00064203+0.00034556i,-0.00076362+0.00019912i,0.0002048-0.00040472i
9.9646e-05+0.00046963i,-0.0007703+0.00054926i,-0.00092816+0.00013459i,4.8917e-05-6.3214e-05i,0.00042747-0.00017728i,0.00033564-0.00054846i,0.00084849-0.0011722i,0.00092369-0.00094845i,0.00038533-0.00013628i,-0.00011341+4.1573e-05i,0.00019853+0.00026661i,0.00062217+0.00079041i,0.00052793+0.00069194i,-0.00043297+0.00066041i,-0.0006991+0.00033693i,7.986e-05-0.00046205i,0.00064198-0.00085577i,0.0013634-0.00073275i,0.0014464-0.00059177i,0.00044315-0.00062336i,0.00022279-0.00050339i,0.00041886-0.00040905i,0.00031129-0.00055478i
-7.1095e-05-0.00082856i,8.7804e-05-0.00093458i,-0.00063654-0.00055597i,-0.0011497-0.00086907i,-0.0005172-0.0013453i,0.00037446-0.00076082i,0.00065348-9.5239e-05i,0.00077974+0.00028744i,0.00074556+0.00017567i,-0.00051148+0.00048937i,-0.0013801+0.0013287i,-0.00082022+0.00089597i,-0.00043191-0.00040473i,0.00037895-0.00063268i,0.00097941+6.4305e-05i,0.00052778+0.00075913i,-5.7297e-05+0.00054685i,0.00042305-0.00068876i,0.0010085-0.0010702i,0.00012003-0.00058157i,9.3317e-06-0.00037049i,0.00044551+0.00034875i,0.00048073+0.0013246i
-0.0028546-0.00023433i,-0.0027855-2.7258e-05i,-0.0016061+0.00098604i,-0.00013082+0.0014299i,0.00071296+0.00054863i,0.00060453-0.00063746i,0.00090086-0.00042093i,0.0007378+0.00068801i,6.8067e-05+0.0015711i,-0.00028368+0.0015923i,-0.00051438+0.00088259i,-0.00061951+0.00067677i,0.00020181+0.00055972i,0.00072192+0.00033134i,0.00042074+7.3199e-05i,0.00030762+0.00026586i,0.00028685+0.00033342i,0.00094176+0.00012574i,0.0013744-9.1053e-05i,0.00099976-0.00061119i,0.00076186-0.00031791i,0.00021828-0.00039875i,-2.9582e-05-0.00017582i
-0.0028467-0.00018472i,-0.0015534+0.00020483i,-0.00102+0.0017768i,-0.00075185+0.001041i,0.00014873-0.00030511i,0.00066682-0.00049515i,0.00021026+0.000732i,-0.00042468+0.00159i,-8.9453e-05+0.0017534i,0.00045929+0.001666i,0.00028112+0.0016714i,-9.6536e-05+0.001363i,-0.00030421+0.00050462i,-6.5445e-05+0.00030392i,0.00029088+0.0006723i,-5.1351e-05+0.00032274i,-0.0001646-9.2203e-05i,0.000679-0.00067353i,0.00085418-0.00089425i,0.00044222-9.7807e-05i,2.3911e-05-0.00038511i,-0.00036207-0.0010225i,-0.00031928-0.00032807i
-0.00094452+0.00085345i,-0.00040763+0.00031768i,-2.5864e-05+0.00059018i,0.00022958+0.00073135i,0.00068513-7.4265e-05i,0.0011557-0.0009577i,0.00058597-0.0012077i,0.00049297-0.00041186i,0.00064666+0.00061545i,0.00038941+0.00087272i,-1.9192e-05+0.00075021i,-0.00059607+0.0004308i,-0.001165+0.00061427i,-0.00074373+0.00094319i,0.0007914+0.00082604i,0.0013211+0.00093098i,0.00096704+6.4211e-05i,0.00089928-0.0010051i,0.00088113-0.0012181i,0.00044255-0.00092396i,-0.00013386-0.00049763i,-0.00014568-9.5538e-05i,0.00029313-0.00053539i
0.0008208-0.001083i,0.00056545-0.00043578i,0.00037522-0.00033432i,0.00023276-0.000664i,-0.00072889-0.0007948i,-0.0010093-0.0010003i,-0.0010515-0.00067472i,-0.00075041-0.00052965i,-0.00046695-0.00033476i,-0.00059707+0.00026409i,-0.00017592+0.00086548i,7.2849e-05+0.0011984i,-0.00033948+0.00085473i,0.0001201+6.147e-05i,0.00075666+0.00043221i,0.0010075+0.00098397i,0.00099216+0.00039562i,0.00024449-0.00015752i,2.3269e-05-0.00029934i,0.00028395-0.00012821i,-7.8633e-05-0.00012296i,-0.00093928+0.00014714i,-0.0015141-3.4243e-05i
-0.0011731+0.00073683i,-0.00085564+0.0009893i,-0.00048943+0.0013341i,2.7799e-05+0.00089056i,-0.00027776-0.00071203i,0.00010123-0.0014574i,0.00053283-2.717e-05i,0.00079795+0.0014914i,0.0015966+0.001854i,0.0008714+0.0018591i,-0.00013313+0.0014528i,-0.00051288+0.00081863i,-0.00071777+0.0010865i,-4.9115e-05+0.00068533i,0.00033887-9.0274e-05i,0.00024878-0.00013423i,0.00050941+0.00047062i,0.0010403+0.00071125i,0.0013337+0.00020836i,0.00083288+6.1814e-06i,0.00015022+0.00025331i,-0.00048565+0.00085346i,-0.00016404+0.00087187i
0.0013817+0.0019026i,0.0018869+0.0024248i,0.0022514+0.0013751i,0.0018763-0.00010267i,0.00089566-0.00028389i,-0.00036076+0.00030387i,-0.00011992+0.00038867i,0.00016851+8.9881e-05i,9.7076e-05+0.00044994i,0.00084813+0.00091196i,0.00022981+0.0006043i,0.0001356+0.00030171i,0.00032971+0.00098703i,-0.00029808+0.0015102i,0.00014016+0.00047777i,0.00019761+0.00028978i,-0.00031251-8.3752e-05i,6.3721e-05-0.001039i,0.00060555-0.0010026i,1.4224e-05-0.00074668i,-0.00014293-0.00069359i,0.00015248-0.00061093i,-0.00032633-0.00084688i
0.0011626+0.0017697i,0.0011894+0.0014355i,0.00072726+0.0014471i,0.00049276+0.000733i,0.00046926-0.00069548i,-3.9861e-05-0.0019119i,-4.8307e-07-0.00094589i,-0.00037566+0.00012312i,-0.0012213+0.00031144i,-0.00089346+0.00096264i,-0.00071667+0.0010089i,-0.00059892+0.00042053i,0.00032925-0.00024831i,0.00088523+0.00012937i,0.0012567+0.0005545i,0.0009909+0.00081653i,6.0036e-05+0.0010814i,0.00038172+0.00028702i,0.00067399-0.0010047i,0.00030648-0.00075855i,0.00048761-0.00016764i,0.00055381+0.00016049i,-1.4015e-05-0.00028027i
-0.0018746+0.00097413i,-0.0010212+0.00032748i,-0.00045388+0.0010076i,-0.00016093+0.0018636i,7.9589e-05+0.0005513i,0.00044969-0.00051746i,0.00057841+0.00014959i,0.00073929+0.00017336i,0.00048672-4.3635e-05i,-0.00051457+0.00072952i,-0.00019265+0.0013334i,0.00066673+0.0010137i,0.00078665+0.00071184i,4.6733e-05+0.0012998i,6.1394e-05+0.0012813i,0.00037323+0.0002997i,0.00017108-0.00015096i,0.00069963-0.00016257i,0.00085433-0.00026836i,0.00064812+0.00059695i,0.00017878+0.0010413i,-0.00028493+0.00071342i,-8.8699e-05+0.00034165i
0.0017216-0.0016543i,0.0020975-0.00078029i,0.001952-0.0012997i,0.00070787-0.0024396i,-9.2229e-05-0.00099643i,0.00045194+0.00059411i,0.0015019+0.0010932i,0.0015984+0.0013306i,0.00097025+0.00084306i,0.00033231+0.0009015i,-2.9434e-05+0.0010646i,-0.00036651+0.0010043i,0.00034103+0.001401i,0.00083982+0.0010451i,0.00026663+0.00032154i,0.0002315-8.1137e-06i,0.00090968-0.00034585i,0.0012175+0.00017309i,0.00062938+0.00077143i,0.00029028+0.00030677i,-0.00019555-0.00010654i,-0.00014914-6.9356e-06i,-8.9742e-05+8.1428e-05i
0.0004004+0.00036102i,0.00069995+0.00047336i,0.000104+0.00032098i,-0.00062953+0.0004075i,-0.0010506+0.00011144i,-0.00097361-0.00063176i,-0.00029194+9.6489e-05i,0.00082811+0.00092181i,0.001341+0.00012721i,0.00072968+0.00024702i,-0.00028147+0.00036054i,-0.00013875+0.00078976i,-0.00013084+0.0011867i,-0.00043214+0.00077437i,0.00019047+0.00092794i,0.00063527+0.0010103i,0.00058156-7.3073e-05i,0.00058651-0.00047895i,0.0005234-0.00022203i,0.00047045-0.00062575i,-0.00021486-0.00047587i,-0.00054638-3.2931e-05i,-0.00038547-0.00019594i
-0.0040079-0.00076892i,-0.0033278-0.00021017i,-0.0021669+0.00034124i,-0.001075+0.00054439i,-0.00044623+0.00071731i,0.00024305-9.907e-05i,0.00054124-0.0012459i,0.00031661-0.0011983i,-0.00034682+0.00046766i,-0.00071954+0.0010463i,-0.00072817+0.00025522i,-0.00022885+4.3046e-05i,0.00027641+0.00012927i,0.00058701+0.0005202i,0.0011097+0.00066735i,0.0011916+0.00011981i,0.00095227-0.00013201i,0.0011111-8.55e-05i,0.0014372-0.00027637i,0.0015718+9.9876e-05i,0.00053165+0.00046286i,-0.00025559+0.00051553i,9.7845e-05+0.00048i
0.0010215+0.0026507i,0.00050597+0.001314i,6.7838e-05-4.0687e-05i,0.00029033-0.00088196i,0.00036007-0.0015087i,0.00010102-0.0014936i,-2.0261e-05-0.00016826i,0.00040981-6.5027e-05i,0.00035948+0.000282i,-0.00030347+0.0014541i,-0.00065781+0.0013635i,0.00028058+0.0012616i,0.00067736+0.00081755i,7.2733e-05+0.00051265i,-0.00017643+0.00044588i,0.00019812+0.00016141i,0.00032652-0.00081747i,0.00026724-0.0013881i,0.00082198-0.00073105i,0.0008323-0.00016748i,-0.00031844-6.1057e-05i,-0.0011008+0.00022391i,-0.0011691+0.00057199i
0.0026287-0.0013967i,0.0035744-0.00069541i,0.0022424-0.0015078i,0.001072-0.0027746i,0.0002169-0.0027767i,-0.0002809-0.0017872i,-6.3034e-06-0.00043731i,-8.4484e-05+0.00044028i,9.1319e-05+0.00042041i,-0.00046061+0.00034679i,-0.0013876-8.9325e-05i,-0.0017612-0.00032083i,-0.0015524+0.00037872i,-0.00092175+0.0010141i,-0.00059215+0.00041946i,-0.00023478-0.00035427i,0.00047919-0.00063893i,0.00096041-0.00067474i,0.00040228-0.00044652i,-0.00096536-0.00026459i,-0.0011864-0.00012338i,-0.00048622-2.0592e-05i,-0.00014305-0.0004672i
0.00033684-0.0037933i,-0.00013724-0.00214i,-0.001817-0.0020487i,-0.0026635-0.0011073i,-0.002067+0.00023472i,-0.0016406+0.00075465i,-0.0011981+0.00070527i,0.00010051+0.0011629i,0.00049541+0.0013208i,-0.00039372+0.0009208i,-0.00090552+0.00047153i,-0.00049438+0.00055012i,-0.0010037+0.0013554i,-0.00091152+0.0019216i,-0.00022817+0.0017708i,0.00019189+0.00057193i,0.0014286-0.00082542i,0.0019508-0.00029699i,0.00096817+2.9727e-05i,0.0005915+0.00017006i,0.00022117+0.00068717i,-0.00077818+0.0006038i,-0.00068051-0.00022187i
