-0.0013126-0.00023859i,-0.00057505-0.00074679i,-0.00078122-0.0001174i,-0.0013695+0.00066698i,-0.0025615+0.0014975i,-0.003674+0.0024172i,-0.0031951+0.0023547i,-0.0015383+0.0012764i,-0.00036245+6.9871e-05i,-0.00048719+0.00028617i,9.4427e-05+0.00080049i,0.00060897+0.00033724i,0.00014992-0.00032986i,0.00045385-0.00040436i,0.00021329+9.4638e-05i,-0.00041961+0.00087359i,-0.00052723+0.00051647i,-0.00043036-0.00038114i,0.00020771-0.00074809i,0.00088438-0.00086262i,0.0018341-0.00077807i,0.0019744-0.00043916i,0.00074912-4.4799e-05i
0.00055337+0.0011436i,-0.00071637+0.00050005i,-0.00076526-0.00063217i,-0.00021843-0.0010124i,-0.0013703+4.0454e-06i,-0.0033974+0.0010245i,-0.0031677+0.0014712i,-0.00099119+0.00010203i,0.00020772-0.0012537i,2.5806e-05-0.0006306i,-0.00045496-0.0005174i,-0.00098376-0.00060044i,-0.00059231-0.00040602i,-0.00019501+0.00019163i,-0.00094088+0.00028194i,-0.00026193-0.00016008i,0.00054456+0.00010603i,-0.0004328+8.514e-05i,-0.00042321-6.4116e-05i,0.00016654+0.00024145i,0.00012359+0.00045014i,0.00024893+0.00033102i,0.00069348+1.4501e-05i
-0.001099+0.0019265i,-0.0017411+0.0012755i,-0.00058217+0.0018316i,-0.00028002+0.0022528i,-0.0013722+0.0019664i,-0.002845+0.0016329i,-0.0030782+0.0017438i,-0.002098+0.0014805i,-0.0012158+0.0011986i,-0.0005698+0.00095223i,-0.00067883+0.00028565i,-0.0011003-0.00025011i,-0.0013212-0.00050555i,-0.00094972-0.00045228i,-0.00062625+0.00019216i,5.3769e-05+0.0005011i,0.00025309+0.0007359i,-6.4434e-05+0.00023629i,-0.00011994-5.8431e-05i,-0.00064741+0.0007546i,-0.0011415+0.0010162i,-0.00034055+0.00070019i,-8.2701e-05+0.00032615i
-0.0001321+0.00059548i,-0.00066634+0.0015892i,-0.0004714+0.00094243i,-0.0010015+0.0004366i,-0.0023408+0.00096932i,-0.0027193+0.001695i,-0.0018935+0.0013527i,-0.0014115+5.5806e-05i,-0.001523-0.00064394i,-0.00090353-0.0006646i,-0.00031314-0.00095124i,-0.0004004-0.00087618i,-0.00054174+6.057e-05i,-0.00041834+0.00035413i,-0.00038128+0.00039209i,-0.00035315+7.8688e-05i,-0.00010676-0.00075443i,0.00012956-0.0006111i,0.00045759-0.00027466i,0.00043611-0.00064187i,0.00019767-0.00059647i,-3.0286e-05-0.00064737i,9.085e-05-0.00062592i
0.00098839-0.00049374i,0.00043773-0.00062431i,-0.00040905-0.00083242i,-0.0010442+0.00011154i,-0.0018422+0.0012476i,-0.0028131+0.0014449i,-0.0016299+0.0014891i,-0.00075055+0.00045752i,-0.0013923-0.0010951i,-0.0010059-0.00075868i,0.0003502+0.00020862i,0.00098584+2.2658e-05i,0.00099966+0.00025638i,0.00085628+0.00083575i,3.602e-05+0.000602i,-0.00065404+0.00043041i,-0.00047067+0.00055262i,-0.00018557+0.00056076i,-0.00013385+0.00051087i,-0.00057406+8.5535e-05i,-0.00052763-0.00063872i,4.9444e-05-0.00073738i,0.00035901-1.8668e-05i
-0.00074575+0.0003132i,-0.00024063+0.00023198i,-0.00097+0.00078377i,-0.0030435+0.0010211i,-0.0044196+0.0017216i,-0.003986+0.0014026i,-0.0025027+0.00072978i,-0.001637+0.00027816i,-0.0016533-0.00045366i,-0.0012564-0.00044875i,-9.2424e-06-0.00025847i,0.00060507-0.0005112i,0.00051716-0.00043595i,-4.5735e-05+6.0377e-05i,-0.0006305+0.00055983i,-0.00066775+0.00096991i,9.1135e-05+0.00165i,0.00048777+0.00092144i,0.00016831+5.5493e-05i,0.00062843-0.000255i,0.00083516-5.877e-05i,0.00019794+0.00054446i,0.00059336+0.00019012i
0.00057634+0.0016826i,0.00011505+0.0012706i,0.00027664+0.00066196i,0.00037478+0.00055892i,-0.00082206+0.00048715i,-0.0019013+0.0010234i,-0.0017435+0.0018921i,-0.00059146+0.0012476i,3.3953e-05+0.00033041i,-0.00032119+0.00013991i,0.00017015-0.00011286i,0.00066545-0.00029534i,-0.00021811+0.0006634i,-0.00024627+0.00084275i,8.2272e-05-0.00013601i,-0.00029914-0.00056552i,0.00024355-0.0001286i,0.00062463+0.00087552i,0.00012913+0.00064893i,-0.00016181+0.00016505i,-0.00023081+0.00022453i,-0.00022034+0.00041246i,-6.3356e-05+0.00068899i
0.00021478+0.0010311i,-0.0002836+0.00097257i,-0.00078015+0.0018614i,-0.0023788+0.001979i,-0.0041414+0.0020862i,-0.0044541+0.0024099i,-0.0035046+0.0026688i,-0.0023027+0.0017678i,-0.0016271+0.00041868i,-0.00079909+0.00030938i,0.00012328+0.00071288i,0.00057812-0.00020253i,0.00088769-0.00040774i,0.0003791-0.00016088i,-0.00066609-0.00065474i,-0.00052328-0.00077i,-0.00032239-0.00068381i,-0.00057722-0.00067645i,-0.00024116-0.00021754i,-0.00016111+0.00015629i,-0.00075262+0.00028861i,-0.00027618+0.00030972i,0.00071167+0.00048888i
0.00029421-0.00041856i,0.00025016-0.0011016i,0.00044647-0.00054908i,-0.00021203-0.00021133i,-0.0019516-0.00085524i,-0.0036073-0.00068135i,-0.0031421+0.00060075i,-0.0015969+0.00073773i,-0.0012437-0.00049389i,-0.0012041-0.00029319i,-0.00061801+0.00063022i,-3.1168e-05+0.00055772i,8.7139e-05+0.00023842i,-6.0917e-05+4.4514e-05i,-0.00013935+0.0003207i,-0.00034838+0.00043173i,-0.00028136-0.0004133i,7.7099e-05-0.0010826i,7.6103e-05-0.00055871i,-0.00020875+0.00028735i,-0.00036394+0.00015072i,-0.00016938-0.00033614i,-6.4115e-06+0.00014403i
0.00039544-0.00020045i,7.0443e-05+0.00070902i,-0.00011651+0.00075659i,-0.0016789+0.0010057i,-0.0028379+0.0016778i,-0.0034668+0.001883i,-0.0030155+0.0015961i,-0.0014871+0.00029296i,-0.00017839-0.0012726i,6.3012e-05-0.00095639i,0.0006321+0.00024492i,0.00072912+0.0014456i,4.2742e-05+0.0012521i,-0.00019593+0.00082557i,-5.8834e-05+0.00050745i,0.00014651+0.00035483i,0.00024711+0.00041321i,0.00031088+7.6172e-05i,0.00016752-0.00022454i,-0.00019158-0.00029967i,-0.00056738+0.00028738i,-0.0003644-7.4519e-05i,0.00014698-0.00038673i
-0.00015296+0.0014722i,-0.0004788+0.0013984i,-6.5017e-06-2.0347e-07i,-0.00080533-0.0011234i,-0.0022474-0.00068561i,-0.0027082+0.00060067i,-0.0013605+0.00070273i,-0.00020738-0.00027879i,-0.00075963-0.00050017i,-0.00026981+0.00014643i,0.00022672+0.0003068i,7.0245e-05-0.00047808i,-0.00013733-0.00045543i,-0.00030122+6.8127e-05i,-0.00035441+0.00025243i,-0.00016577-0.00037826i,-0.00051473-0.00074578i,-0.00093125+0.00020523i,-0.00022048+0.00025709i,0.00027553-0.00064876i,-0.00039219-0.00056683i,-0.00053556-9.701e-05i,0.00043007+0.00031908i
