-0.0024069+0.0010283i,-0.0011584+0.00018665i,-0.00076104-0.0012255i,-0.00012903-0.0024824i,-0.00031742-0.0033074i,-0.00060369-0.0025158i,-0.00083497-0.00068468i,0.00046231-0.00045807i,0.002368-0.0020159i,0.002527-0.002356i,0.0019325-0.0017001i,0.0012866-0.0013665i,0.0002598-0.00040042i,-0.00022168+0.00034858i,-0.00021991+0.00023328i,-0.0011864+4.813e-06i,-0.0011585-0.00013641i,0.0001767+0.00018877i,0.00074196+0.00092751i,0.00029891+0.0010251i,0.00048371+0.00055745i,0.00087843+0.00022082i,0.00085271-0.00010192i
0.00023625-0.0006565i,0.00054759-0.0002429i,0.0019161-0.0010568i,0.0034887-0.0020862i,0.0039176-0.0022727i,0.002721-0.0025993i,0.0019103-0.0016193i,0.002729-0.00072803i,0.0027888-0.0010275i,0.0014519-0.00058962i,0.00082687-0.00036664i,0.0012047-0.00070831i,0.0012539-0.00060935i,0.00050531-0.00044089i,-2.8021e-05+9.8413e-05i,0.00017694-0.00031348i,-2.7173e-05-0.00018421i,-0.00027494+0.00057685i,-0.00040532+0.00038828i,-0.00061807+0.00022269i,-0.00033174+0.00017594i,-0.0007236-0.00027975i,-0.00081276-0.00025775i
-0.0012858+0.0011573i,0.00043446+0.0013579i,0.0029881+0.00058976i,0.0032761-0.0014061i,0.001568-0.0033211i,0.00083547-0.0032822i,0.0005484-0.00202i,0.0004938-0.0017711i,0.00073793-0.0018961i,0.00093409-0.0011651i,0.0012266-0.00030535i,0.00044933-0.00015437i,-0.00017101-0.00033772i,-0.00045068-0.00039789i,-0.00036754+7.399e-05i,0.00019644+0.00030987i,0.00039464-0.00013448i,0.00017654-0.00051981i,-0.00065421-0.00036472i,-0.00087455+0.00019636i,0.00025984-7.2798e-05i,0.00090371-0.00015358i,0.0004853-0.00035068i
-0.00212+0.00092369i,-0.00051798+0.0012421i,0.0013322+0.00090518i,0.0032282+0.00056652i,0.0037587-0.001663i,0.002394-0.0037979i,0.0011093-0.0030582i,0.0020007-0.0031203i,0.0024594-0.0035661i,0.00080591-0.0025767i,0.00040533-0.00097522i,0.00098333+0.00016169i,0.00085049-0.00035164i,0.00010652-0.00056609i,-0.00021516+0.0003856i,0.00043046-0.00016313i,0.00040342-0.0011458i,-4.3964e-05-0.00066161i,0.00073781+0.00051998i,0.0011237+0.00048889i,0.0004345-0.00015501i,0.00016135+0.000472i,0.00063308+0.00073516i
-0.00067717-0.00062656i,-0.0015139-0.00038797i,-0.00023102-0.0013165i,0.0024303-0.0029402i,0.0035948-0.0023142i,0.0027246-0.0011024i,0.0015925-0.00083185i,0.0024421-0.00062272i,0.002334-0.0014762i,0.00047341-0.0018413i,0.00042455-0.0012506i,0.0011098-0.00074971i,0.0007035-0.00064503i,0.00026388-0.00063299i,0.00045128-0.00072757i,0.0011262-0.001198i,0.00080989-0.00094315i,0.00040508-0.00039776i,0.00028557+8.0275e-05i,-0.0001956+0.0004612i,-0.00040593+0.00088779i,-0.00023458+0.00055268i,-7.2569e-05+0.0001408i
-0.00010266-0.0029281i,-0.0010226-0.0013636i,-0.0011137-0.00025109i,0.0016778+0.00035167i,0.0029987-0.00042352i,0.0015422-0.0014582i,0.00088533-0.0018523i,0.0019748-0.0014753i,0.0020785-0.0013985i,0.00028463-0.0013891i,-0.00060641-0.00034935i,0.00038707-0.00037669i,0.0011091-0.00048894i,0.00064558-0.00019273i,-0.00015432+0.0003244i,-0.0006255+0.00014504i,-0.00055583-0.00020274i,-0.00083464+0.00056182i,-0.00026156+0.00054282i,0.0002444+0.00042651i,-0.00047357+0.00054755i,-0.00055373+0.00084269i,0.00032825+0.00077746i
0.00058127-0.0014953i,0.0015126-0.0020515i,0.002586-0.0025859i,0.0040459-0.002267i,0.0041228-0.00261i,0.0029193-0.002146i,0.0025639-0.000624i,0.0030766-0.00030503i,0.0033224-0.0015291i,0.0022508-0.0019819i,0.0007828-0.0010688i,0.0003919-0.00041106i,0.00083247+0.00057551i,0.00086071+0.0008581i,0.00076965-0.00032485i,0.00085959-0.00023699i,0.00069458-0.00018338i,0.00019164-0.00020767i,-0.00024955+0.00063636i,-0.0002549+0.00023414i,-0.00032558-0.00064371i,-7.595e-05-0.00059853i,0.00043142-0.00022787i
-6.4557e-05+0.00041852i,-0.0002122+0.00044044i,-0.00048005+0.00028612i,0.0012958-0.00039203i,0.0016433-0.0014547i,0.00057248-0.0015232i,0.00027997-0.0011597i,0.00087676-0.0016297i,0.00163-0.0020288i,0.0017763-0.0014106i,0.0011004+2.782e-05i,0.00055967+0.00028545i,0.00069477+0.00040037i,0.00094707+0.00045964i,0.00069708-0.00028604i,-6.0071e-05-0.0010723i,-0.0007601-0.0010059i,-0.00096242-0.00051452i,-0.00099503+3.7987e-06i,-0.00083078+0.00028185i,0.00046511+3.7887e-05i,0.00034461-4.4872e-05i,-0.00022295+0.00020264i
-4.3753e-05+0.00052818i,0.00051621+0.00064757i,0.0022566+0.00033837i,0.0046324-0.0018388i,0.0051721-0.0032891i,0.0029416-0.0027952i,0.0013187-0.002008i,0.0016676-0.002313i,0.0016532-0.002468i,0.0015433-0.0014535i,0.0012503-0.00029585i,0.00081312-7.3047e-05i,-0.00040386-0.00022466i,-0.0010924-0.00037921i,-0.00039167+0.00016816i,-0.00031666+7.5418e-05i,-0.00047546-0.00075806i,-0.00013582-0.001015i,0.00015543-0.0011445i,0.00026198-0.00028422i,0.00018737+0.00054141i,2.9697e-05+1.3191e-05i,0.00028565-0.00023403i
0.00073507+0.0010049i,0.00059501+0.00099671i,0.00082219-6.0054e-05i,0.0028304-0.0020192i,0.0034279-0.0030623i,0.0017193-0.0024113i,0.0011261-0.0013173i,0.0023715+0.00028206i,0.0020661-0.00022555i,0.0013825-0.0010139i,0.0014078-0.00031893i,0.0011929+0.000164i,0.00084069-0.00018513i,4.6146e-05-0.00062924i,-0.0002248-0.00077232i,-0.00012246-0.00097204i,-0.00036016-0.00066199i,-0.00018921-7.8474e-05i,-0.00043502+0.00035874i,-0.0004843+0.00034558i,-0.00016496+0.0006155i,-0.0003543+0.00094829i,-0.00071708+0.00013124i
0.0012724+0.00053802i,0.001031+0.0017208i,0.0016109+0.0015291i,0.0044162-0.00045302i,0.0048941-0.0027227i,0.0024288-0.0032254i,0.00053903-0.0022398i,0.00083947-0.0014407i,0.0018337-0.0013478i,0.0018181-0.0011846i,0.001279-0.00063196i,0.0012693-0.00053313i,0.00078947-0.0007481i,0.00030862-0.00060323i,0.00026342-0.00020171i,-0.00033375-0.00039725i,-0.00085275-0.00053683i,-0.001031+8.5381e-05i,-0.00053702+0.00021494i,0.00068985+0.00035787i,0.0010872+0.00040372i,0.0011989-9.5079e-05i,0.0012855-0.00060861i
