-0.0025092-0.00050919i,-0.0017004-0.0016578i,-0.0023876-0.0015611i,-0.0030476-0.00032485i,-0.0032185+0.0013985i,-0.0025277+0.0022034i,-0.001553+0.0018425i,-0.001175+0.0015279i,-0.00024308+0.00075128i,0.00084475+0.00018344i,0.0010552-0.00027184i,0.0010819-0.00047316i,0.00012962-2.1235e-05i,-0.00083505-0.0001922i,-0.00018456-0.00016541i,0.00051336+0.00085362i,0.00015708+0.00152i,-0.00072121+0.00099329i,-0.00067986+0.00014619i,0.00032491-0.00023566i,-4.2425e-06+0.00040452i,-0.00041013+0.001093i,-0.00013399+0.00093303i
-0.0027743+0.00061181i,-0.0018292+0.00040263i,-0.0015115+0.00069293i,-0.0016176+0.0018159i,-0.001438+0.0021116i,-0.00050645+0.0017777i,-0.00029875+0.00018464i,-0.0010168+0.00041244i,-0.00056647+0.0015821i,0.00035547+0.00061213i,0.00085312+0.00030607i,0.00062624+0.00030125i,0.00031229-0.00021297i,0.00033652-0.00032951i,0.00016746-6.9924e-05i,-0.00018506+0.0001586i,0.00023921+0.00028337i,0.00039504+0.00052261i,0.00023818+0.00033529i,0.0001271-0.00030557i,0.00047402-0.00024825i,0.00033364+0.00033353i,-0.00094124+0.00044213i
0.00069979-0.001161i,0.00060441-0.0014986i,-0.00092184-0.0020885i,-0.0029331-0.0026665i,-0.0032356-0.0025151i,-0.0023836-0.0013172i,-0.0013556+8.8135e-05i,-0.00066527+0.00066262i,-8.1714e-05+0.00011284i,0.0004826-0.00054505i,-0.00013897-0.00066509i,-0.00073341-3.0412e-05i,-0.00062972+0.00057822i,-0.00055357+0.00052876i,-6.5464e-05-7.0421e-05i,0.00037152+0.00039022i,0.00039259+0.00065921i,0.00073274+0.00014913i,0.00039695-0.00023965i,-0.00033252-0.00038507i,-0.00017678+0.0001446i,0.00038105-0.00028299i,0.00050254-0.00049458i
0.0015654-0.00011204i,-0.00038596-0.0008778i,-0.0010593-0.0018621i,-0.0017871-0.0016179i,-0.0026196-0.00035493i,-0.0028913+0.00079044i,-0.0029529+0.0008334i,-0.0015537+0.00070121i,0.00014745+0.00083892i,0.00086252+0.00052812i,0.00050352+0.00038067i,-0.00032466+0.00080827i,-0.00017958+0.00066665i,0.00022832+0.00024923i,-0.00048597+0.0002812i,-0.0003208+0.00025046i,0.00048449+9.4876e-05i,0.00053023+0.00049378i,0.00089128+0.0015553i,0.0012434+0.0016572i,0.0004864+0.00095317i,0.00014629+0.0001585i,-0.00018113+8.3098e-05i
0.00047812+0.00020175i,0.00039565+0.00052492i,0.00025076+0.00053718i,-0.00029189+6.5014e-05i,-0.00070784+9.7235e-05i,-0.00069087+0.00032931i,-0.0012625-0.00043801i,-0.0016187-0.00024057i,-6.9527e-05+0.00079744i,0.00090275+0.00072382i,0.0011181-6.0169e-05i,0.00090758-0.00010034i,-0.00012185+0.00065041i,-0.00037498+0.0011268i,-0.00022549+0.00065819i,-0.00024329+5.2002e-05i,-0.00034811-5.9657e-05i,-0.00041507+0.00033141i,-0.00058392+6.3971e-05i,-0.00018142-0.00052899i,1.9982e-05-4.6051e-05i,-0.00046912+3.5754e-05i,-0.00037988+7.3109e-05i
-0.001112+0.00091757i,-0.00092424+0.00043458i,-0.00054956-0.00015816i,-0.00067001-0.0007011i,-0.001689-0.00021084i,-0.0020055+0.00024747i,-0.0015274+9.7201e-05i,-0.0019532+0.00038016i,-0.0020048+0.00059292i,-0.00087997+0.00062404i,-0.00064181+0.00073114i,-0.00010638-2.9832e-05i,-1.9614e-05-0.00088762i,-4.123e-05-6.2298e-05i,0.00026257+0.0011504i,7.8239e-05+0.00092759i,0.0001364+0.00043838i,-5.5853e-06+0.00035154i,1.0608e-05+0.00045863i,0.00035614+0.0001089i,-3.0355e-06-7.3815e-05i,4.4613e-05+0.00057303i,0.00014123+0.00089582i
-0.0021643+0.0005992i,-0.0011704+0.00026681i,-9.0821e-05+0.001355i,-0.00079673+0.0013339i,-0.0016627+0.0010596i,-0.0011939+0.0011489i,-0.0012891+0.00063814i,-0.0016663+0.00049813i,-0.00056428+0.0010082i,0.0011283+0.00077768i,0.0015439-0.00048238i,0.0006078-0.00084256i,-0.00032333+0.00021323i,-0.00058931+0.00033563i,-0.00041335+0.00039807i,-0.00041613+0.00015992i,-0.00027864-0.00046911i,-0.00010761-0.00058136i,-0.0002406-0.0003526i,-4.2586e-06+0.00029953i,0.0001958+0.00076928i,0.00012295+0.00062338i,-0.0001756+3.8074e-05i
-0.00038573-0.00030391i,-0.00035572-0.00042204i,-0.00055832+0.00032326i,-0.001143+5.8902e-05i,-0.0013842-0.00040022i,-0.0015004-0.00024442i,-0.0013031-0.00033631i,-0.0011119-0.00016492i,-0.00029347-8.8896e-05i,0.0003262+0.00064643i,-0.00036222+0.00090918i,-0.00049848+2.9342e-05i,1.4927e-05+3.1874e-05i,-0.00011142+0.0010405i,-0.000856+0.00073582i,-0.00010696-0.00014504i,0.00041871-7.0631e-05i,0.00010101+0.00037521i,-0.00059653+8.3139e-06i,-0.00053718-0.00067331i,0.00022424-8.5718e-06i,0.00010799+0.00061417i,0.00019294+0.00087324i
-2.5422e-05+0.00095981i,0.00038162+0.0001743i,0.00086877+0.00019667i,-0.00012598+0.00025818i,-0.0012267+0.00055995i,-0.0013395+0.00052174i,-0.00082846-6.8629e-05i,-0.00077396-0.00044628i,-0.00054662+9.1876e-05i,-0.00014873+0.00091121i,-5.8801e-05+0.0016503i,0.00048158+0.00094552i,0.00067341+0.00048084i,0.00078242+0.00021595i,0.0011153+0.00048298i,0.00067486+0.00055425i,-5.9014e-06-0.00040942i,-0.00027591-0.00072347i,-0.00021465-0.00075859i,-0.0001288-0.00076954i,6.4914e-06-0.00031164i,0.00030163+0.00026201i,6.4237e-05+0.00041984i
0.0011286-0.001479i,0.000362-0.0015623i,-0.0011291-0.0017439i,-0.0026555-0.0021552i,-0.0034943-0.00098249i,-0.0031807+0.00023313i,-0.0016575+0.0010536i,0.00012602+0.00086494i,0.0008524+0.0005324i,0.00020904+0.0010178i,-0.00085726+0.00088448i,-0.00086511+2.1024e-05i,-0.00039868-0.00026509i,-0.00036137-0.00043037i,-0.00022264-0.00016424i,-0.00033054+0.00025711i,-0.00040108+0.00018843i,-8.7258e-06-9.186e-05i,-0.00011832+0.00019363i,-0.00025488+0.00050185i,0.00030173-0.00016433i,-0.00010759-0.00059783i,-0.0011571+4.6754e-05i
0.0010379+0.00052766i,0.0025752+0.00089783i,0.0019521+7.2478e-05i,-0.00018908-0.00032503i,-0.0016701-0.00030239i,-0.0019865-0.00018784i,-0.0014421-0.00018119i,-0.00047601+0.00040803i,-0.00037164+0.0016171i,-0.00039068+0.0016781i,-0.00046788-6.3519e-05i,-7.7463e-05-0.0011533i,0.00019895-0.00056147i,-5.3621e-05+0.0001515i,2.1514e-05+0.00032313i,-8.5317e-05+0.0001925i,8.2439e-05-0.00039069i,0.00037252-0.00082013i,0.00014813-0.00070633i,0.00041415-0.00084004i,-2.4154e-05-0.00060699i,-0.00058605-6.4593e-05i,-5.8171e-05+0.00033302i
