-0.0036478-0.0012713i,-0.0039531-5.6001e-05i,-0.0035655+0.0017509i,-0.0018627+0.0026752i,-0.001018+0.002028i,-0.00058541+0.0013455i,-0.00011102+0.0013968i,0.00063143+0.0019748i,0.00092025+0.0022889i,0.00060003+0.0015628i,0.0012391+0.00068015i,0.0012814-0.00035366i,-2.0652e-05-0.0015405i,-0.00091188-0.0014074i,-0.0011081-0.00065487i,-0.0013667-0.00058357i,-0.0012612-0.00045569i,-0.00062975+3.1568e-05i,-2.1103e-05+1.0265e-05i,-7.1872e-05+6.8681e-05i,0.00073712+0.00012993i,0.0006112-8.5715e-05i,-0.00027863-0.00019455i
-0.00055118+0.0016942i,0.00056481+0.001423i,0.0013903+0.001836i,0.0012814+0.0022317i,0.00077314+0.0014397i,0.00096905+0.00085231i,0.00098804+0.00064135i,0.0012565+0.00021633i,0.00079149+4.9843e-05i,0.0003933+0.00013302i,0.00054395+0.00031038i,0.00035009-0.00016724i,0.00032709-3.2882e-05i,0.00028679+0.0003944i,0.00014071+0.00016421i,3.7016e-05-0.00012036i,0.00044011-0.00021717i,-0.00021759-2.124e-05i,-0.00069929+0.00040121i,-0.00063375+0.00086824i,-0.00061518+0.00056786i,-0.00041152+0.00018216i,-0.00019174+0.00037559i
-0.00056098+0.0006789i,9.6655e-05+0.00088749i,0.00089364+0.0019996i,0.0014522+0.0030428i,0.0011574+0.0021289i,0.00081992+0.00031165i,0.0011087-0.00093467i,0.0012592-0.0012136i,0.00018512-0.0008386i,0.00024575+0.00010547i,0.0011362+0.00061403i,0.001558+5.2277e-05i,0.00085833-0.00061138i,-9.6316e-05-0.00085612i,-0.0002101-0.00065105i,0.00013124-0.00041216i,-0.00026333-0.00033517i,-0.00017542-0.000111i,-0.00014834+0.00027318i,-0.00031755+0.00040421i,-6.6901e-05-0.00010354i,0.00014165+4.8586e-05i,0.0006427+0.00064436i
-4.8431e-05-0.00064185i,-0.00090606-0.000707i,-0.0009483-0.00023652i,-0.00040816+0.00050141i,0.00022385+0.00082041i,0.0014016+0.00082046i,0.0017746+0.00095969i,0.0011703+0.00032103i,0.0014459-0.0011722i,0.00082923-0.0010271i,-0.00023922-0.0003354i,-0.00010848-0.00088855i,9.3381e-05-0.001268i,0.00040662-0.00037313i,0.00011514+0.00014229i,-0.00051056+0.00024119i,-0.00099627+3.4476e-05i,-0.00054147-0.00051275i,0.00028991-0.00075701i,-1.9452e-05-0.00050473i,-0.00011924+0.00015591i,-2.4381e-05+0.00030085i,0.00019632-4.8166e-05i
0.0010694+0.0010754i,0.00065233+0.0010865i,0.00034925+0.00092262i,9.6274e-05+0.0016809i,-0.0003217+0.0027567i,-0.00031583+0.0015802i,0.0008211-0.00051487i,0.0012452-0.0015246i,0.00051833-0.0016791i,-0.00067487-0.0011337i,-0.00074991-0.00026622i,5.469e-06-0.00036248i,-6.9615e-05-0.00065733i,-0.0011207+0.00015168i,-0.0013427+0.00067056i,-0.0012645+0.00012286i,-0.0013865-4.0088e-05i,-0.00086612+0.00047111i,-0.00033227+0.00020353i,0.00033282-0.00041027i,4.3033e-05-0.00077056i,-0.00038737-0.0010925i,0.00015988-0.00066763i
0.00019032+0.00055727i,2.336e-05+0.0011774i,-8.1518e-05+0.0019489i,0.00035991+0.0014426i,0.0014079-9.7717e-05i,0.0022533-0.00094655i,0.0019058-0.00055577i,0.00094945+0.0002684i,0.00016642-0.00011458i,-0.00041946-0.00094182i,-9.3424e-05-0.0010364i,0.00033913-0.00020907i,-0.00037062+0.00022188i,-0.00036742-0.00051584i,-0.0002318-0.001372i,-0.00062053-0.00074512i,-0.0010259+0.00022276i,-0.0016194+0.00027182i,-0.0015232+0.00074127i,-0.00063106+0.00071048i,-9.8829e-05+0.00091964i,0.00051371+0.0010696i,0.00085447+6.6245e-05i
-0.00037472+0.00035962i,-0.00064386+0.00020687i,-0.00089639+0.001043i,0.00029671+0.0025464i,0.0011911+0.0026456i,0.00064304+0.0011927i,0.00018834+0.00054354i,0.00067036+7.4416e-05i,0.00038836-0.00058569i,-0.00013821-0.00077359i,-6.8175e-05-0.00036366i,0.00054556+0.00016066i,0.00032341+0.00026137i,-0.000202-0.00013274i,-0.00044312+5.5909e-05i,-0.00093165+0.0012662i,-0.00086425+0.0015197i,-0.00054529+0.0010446i,-0.0002554-4.4577e-05i,7.1045e-05-0.00088886i,0.00027798-0.00098716i,0.00080067-0.0012479i,0.0012909-0.0006203i
-9.3078e-05-0.00024448i,-0.0019642-0.00010944i,-0.0014792+0.00043143i,-0.00086506+0.00055833i,-0.0008584+0.00034264i,-0.00041946-0.00035456i,0.00046825-0.00062247i,0.00067911-0.00083511i,0.00068796-0.0006856i,0.00053541+1.8587e-05i,0.00036198+0.000484i,-0.00010198+0.000278i,-0.00062044-0.00011602i,-8.349e-05-0.00045657i,0.00014956-0.0004398i,0.00010743-0.00026887i,0.00018782-0.00022896i,-0.0002937+1.7656e-06i,-0.00061307-0.00036576i,0.00010044-0.00070598i,-1.4719e-06-2.896e-05i,-0.00011516+0.00062252i,-8.9746e-05+0.00058177i
0.00022202-0.00081173i,0.00037017-0.00050719i,0.00013378+0.00057251i,0.00037227+0.0018969i,0.0013284+0.0019941i,0.0013454+0.00088636i,0.0011937-0.00014759i,0.0009087-0.00069579i,0.00077543-0.00074778i,-6.216e-07+8.0619e-05i,-0.0004829+0.00022523i,4.5723e-05-0.0004053i,0.00012087-0.0005669i,0.00010672-0.00064796i,3.4352e-05-0.00075748i,-0.00014927-0.00011591i,-0.00063399+0.00022359i,-0.00067018+2.721e-05i,-0.00012075+0.00016394i,-0.00022842+1.4691e-05i,3.7053e-05+9.1683e-05i,0.00088908+0.00028261i,0.0012107-0.00012319i
0.0018281-0.00063152i,0.0007635-0.00060302i,-0.000712-0.00062864i,-0.0013315-0.0003566i,-0.0010625+0.001113i,-0.00070526+0.0016101i,-0.00037286+0.00016759i,0.00062973-0.0004549i,0.00050788-0.0012462i,0.00010794-0.0012672i,0.0005042-0.00016224i,0.00011445+0.00043379i,-0.00075252-0.00017791i,-0.00038079-0.00097974i,-9.3694e-05-0.0011772i,-0.00039412-0.001119i,-3.469e-07-4.8083e-05i,0.00015688+0.00053442i,-1.0814e-06-0.00028437i,0.00014481-0.00042382i,9.5853e-05-0.00061551i,0.00023217-0.0011923i,0.00035449-0.00079857i
2.7853e-05+0.00033803i,-0.00049333+0.00042941i,-0.00077737+0.00078213i,-4.407e-06+0.00043103i,0.001365+0.0003701i,0.0020457+9.06e-05i,0.0015341+0.00078101i,0.00047618+0.0010854i,0.00023953-7.3542e-05i,0.00062609-0.00091685i,0.00012716-0.00074428i,-0.00010607-0.00043966i,-0.00015336-0.00022197i,-0.00074266-0.00054933i,-0.00020455-0.00080468i,0.00071582-0.00054378i,0.00077312+4.0032e-05i,0.0005718+0.00045906i,-0.00043965+0.00012223i,-0.0013059-0.0006173i,-0.00053842-0.00039867i,0.00075802+5.6647e-05i,0.0010564+0.00052148i
