0.0010554-0.0013115i,0.00071523-0.002506i,-0.0004447-0.0030278i,-0.0018875-0.0023724i,-0.0018653-0.001079i,-0.00090436+0.00066659i,6.2628e-06+0.00096329i,0.00069902+0.00044383i,0.00088666+0.00015723i,0.00050301-0.00049391i,0.00078621-0.00088029i,0.00084221-0.0010321i,5.339e-05-0.00011611i,-0.0004814+0.0011673i,0.00041024+0.0011688i,0.00033142+0.00024256i,-3.3657e-05+0.0006031i,0.00039786+0.0010129i,0.00050828+0.00047065i,0.00066571+4.0903e-05i,0.00094804+0.00015473i,0.0010247+0.00039799i,0.00096913+0.00012543i
-0.001408+0.00062806i,-0.0012199+0.0018467i,-0.0016504+0.0018554i,-0.0011258+0.0014174i,-0.00069992+0.00068351i,-0.00070217-0.00053311i,-0.00085566-0.0010873i,-0.00094691-0.00069929i,-0.00094149+9.8167e-05i,-0.00059593-0.00012573i,-0.00028376+0.0004226i,-0.00023539+0.00086365i,-0.00013813+0.00014189i,8.9293e-06-0.00023101i,2.5254e-05-5.6038e-05i,-6.5914e-05+0.00025575i,5.3387e-05+0.00053624i,0.00011884+7.6929e-05i,7.3933e-05-2.6751e-06i,0.00027471-0.00021498i,0.00079733-0.001051i,0.00070634-0.0010174i,-0.00016797-0.00022137i
-0.0015355-0.00055175i,-0.0017847+0.00096967i,-0.0023344+0.0019899i,-0.0014793+0.0019359i,-0.00040184+0.0019206i,-0.0008256+0.0011917i,-0.0010322+0.0002961i,-0.00064525+9.2111e-05i,0.00013088+0.0006876i,0.00027389+0.0008792i,-0.0003696+0.00090448i,-0.00053114+0.0010355i,-0.0009409+0.00052242i,-0.00046395-0.00021189i,0.00072448-0.00017984i,0.00062847-0.0004174i,0.0005015-0.0012655i,0.00039288-0.00068022i,-0.00029957-2.1375e-05i,-0.00073902-4.2293e-06i,-0.00048347-0.00042497i,-0.00027854-0.00056636i,0.00013763+0.00021215i
-0.0016585+0.0010759i,-0.0018668+0.0014947i,-0.0016136+0.0015231i,-0.0013598+0.001478i,-0.00064684+0.00097622i,-0.00037309-0.00022225i,-0.0010058-0.00023715i,-0.0011077-0.00020056i,-0.0003721+0.00013255i,0.00039275+0.00035859i,0.00072057+0.0002432i,0.00044414-0.00014359i,-1.722e-05-0.00069954i,-0.00057055-0.00024776i,-0.00073994+0.00027462i,-0.00068246-0.00022425i,-0.00040621-0.00038565i,-0.00037161-0.00067999i,-0.00041457-0.00090854i,0.00047773-0.00022497i,0.00044943+2.8589e-05i,-0.00026898+0.00026782i,-0.00019122+0.00019801i
0.0013267+0.00076877i,0.0010371+0.0011038i,0.00086671+0.0011176i,0.00052669+0.00050554i,0.0013216-0.00071624i,4.841e-05-0.0010111i,-0.0012955-0.00047808i,-0.00018966+8.6789e-05i,0.0010714+0.00019353i,0.0010983+0.00038923i,0.000989+0.0006331i,0.0011839+0.00077875i,0.0005895+0.00039788i,0.00038549+0.00045388i,0.00091193+0.0012577i,0.0010678+0.0011123i,0.00077707+0.00090354i,0.00043252+0.00074891i,-0.00017156+0.00032162i,-0.00050524+0.0001491i,-0.00010067+4.0205e-05i,3.6617e-06+9.3188e-05i,-0.00045929+0.00021992i
-0.0028954-0.00021649i,-0.0027576-0.00046782i,-0.0029043-0.00046114i,-0.0015779+0.00040769i,-0.00010243+0.00044118i,0.00033373-0.00063495i,0.00057706-0.00072897i,9.9421e-05-0.00096895i,-0.00074386-0.0011626i,-0.0006302-0.00084972i,-0.00011623-0.00026827i,0.0002035+0.00034763i,0.00060254-3.1643e-05i,0.00023217+1.2602e-05i,4.9041e-05-9.4228e-05i,0.00035043-0.00087678i,0.00093035-0.0010171i,0.0015304-0.00024818i,0.0010632+0.00024148i,0.00018057+0.00018413i,-0.00025321-0.00026116i,-0.0003875-0.00027022i,-0.00075044-0.00012307i
7.6483e-05+0.00055406i,0.00051484+0.0012131i,-2.7812e-05+0.0013774i,-0.00016693+0.00019718i,0.00069163-0.00024969i,0.00064788-0.00016031i,-0.0002628+3.4026e-05i,-0.00085869+0.00039566i,-0.0010639+0.00034109i,-0.00075196-4.39e-05i,0.00064808-0.00054998i,0.0012176-0.00098209i,0.00032436-0.00012591i,-0.00040082+0.00079897i,-0.00020437+0.00079991i,-0.00070364+0.00032345i,-0.00088003-7.8541e-05i,-0.00025151+0.00023194i,-3.4257e-05+0.00081215i,0.00010272+0.001189i,-0.00030015+0.0011971i,-0.00066484-3.4092e-06i,-0.00041003-0.00077139i
-0.00063339-0.00060789i,-0.00060202-0.00026927i,-0.00048828-0.001053i,-6.0825e-05-0.00051172i,-0.00014945+0.00015056i,-0.0006458-0.00029483i,-0.00071697-0.00024592i,-0.00048213+1.4825e-05i,0.00012103-0.00045495i,0.00032895+0.00021322i,0.00069432+0.0011377i,0.0002623+0.0012587i,-0.00049501+0.00067352i,0.00015526+0.00024415i,0.00042231+0.00041511i,-0.00015445+0.00035653i,-6.5078e-05-0.00012747i,0.00071755+0.00033288i,0.001101+0.00037916i,0.00057541-0.00064903i,0.00022615-0.00095064i,0.00034398-0.00070574i,0.00043921-0.00079546i
0.001125-0.00027304i,0.00087245-0.0011896i,0.00060301-0.0015761i,-6.7987e-05+0.00032442i,-0.0014769+0.0017939i,-0.0016082+0.00061886i,-0.001098-0.00024598i,-0.0006172+0.00034022i,0.00014678+0.0001026i,0.0005886-0.00040989i,7.4276e-05-0.00023921i,-0.00041054-0.00028085i,-8.2383e-05+0.00041192i,0.0012709+0.0011351i,0.0013275+0.00071428i,0.00037843+0.00015429i,5.5574e-05+6.9128e-05i,-0.00024547+0.00072284i,-0.00053205+0.0010503i,-0.00077634+0.00041382i,-0.00088805-0.00014595i,-0.00069377-0.00023991i,-0.00071049+0.00023217i
-0.0014857+0.002153i,-0.0021929+0.00285i,-0.0015441+0.0025054i,-0.00057852+0.0014635i,0.00015809+0.0015121i,-7.4516e-05+0.0012285i,-0.00046276+0.00037838i,-8.2088e-05-0.00016681i,0.00014676-0.00024599i,7.8307e-05-0.00041729i,0.00013019-0.0007568i,-6.0233e-05-0.00071644i,-0.00021964-0.00093085i,-5.1012e-06-0.00049941i,0.00015286-9.8067e-05i,-0.0004114-0.00016802i,-0.00068046-8.2835e-05i,0.0001027-0.00025689i,0.00026689-0.00026744i,-0.00032709+0.0003172i,-0.00056184+0.0010347i,-0.0007239+0.00073948i,-0.00091065-0.00010039i
-0.00044141-0.00021233i,-0.00088298-0.00065237i,-0.0014571+0.00043348i,-0.00052054+9.5733e-05i,0.00016329-0.00082018i,0.00034983-0.0011513i,0.00048354-0.0007895i,4.8669e-05-0.00033312i,-0.00011528-3.3904e-05i,0.00010833-0.00014994i,9.5164e-05-8.6812e-05i,0.00043478+0.00068602i,7.4768e-05+0.00068933i,-0.00052341-0.00012123i,1.9455e-05-0.0001548i,0.00026901+0.00013906i,0.00028451-5.0537e-05i,0.00028752-0.00044995i,0.00025723+0.00015656i,0.00037158+0.0006928i,0.00017675-0.00030196i,-6.6419e-05-0.00080306i,-0.0001099-0.0003287i
