0.00042381+0.0012098i,0.00099605-0.0014465i,0.00076509-0.0032189i,0.00025874-0.0021005i,-0.00093516+0.0002801i,-0.0022252+0.0016339i,-0.0011814+0.0021954i,0.00067315+0.0018792i,0.00026785+0.00051695i,2.2354e-05-0.0008005i,-0.00014081-0.00037372i,-0.00052906-0.00024325i,-0.00016704+9.4158e-05i,-0.0003414+0.00094824i,-0.00018155+0.0012691i,-0.00025191+0.0011243i,-0.00028539+0.00022534i,0.00028585-8.6034e-05i,-4.0424e-05+0.00012055i,-0.0011418-0.00024506i,-0.00085649-0.00056983i,3.5424e-05-0.00013069i,-0.0004209-7.8534e-05i
-0.0013522-0.0025159i,-0.0020855-0.0027675i,-0.0024996-0.00093534i,-0.0016497+0.00060958i,-8.8445e-05+0.0011024i,0.0012097+0.00074638i,0.00072308+0.00052148i,-0.0005402-4.9213e-05i,-0.0012282-0.00029303i,-0.00064466-5.6054e-05i,0.00078382+1.2195e-05i,0.00091237+0.00019365i,-1.5442e-06+0.00040603i,0.00045567+0.00065971i,0.00054365+0.00043409i,0.00063376+5.599e-05i,0.0012778+0.00041726i,0.00020847+0.00073249i,-0.00048611+0.00064545i,-0.00029095+0.00010846i,2.8622e-05+0.00040735i,0.00042412+0.0012892i,0.00076744+0.0012701i
0.0007313-0.0011922i,-0.00037931-0.0024399i,-0.0015355-0.002443i,-0.0020454-0.00067367i,-0.0020331+0.001608i,-0.0014894+0.0018187i,0.00028105+0.0011462i,0.0013428+0.0011366i,-2.1759e-06+0.0010863i,-0.001191+0.00036237i,-0.0015636-0.00037875i,-0.00077661-0.00023914i,0.0002651+0.00049686i,9.9701e-05+0.0015248i,8.1347e-05+0.0011554i,0.00034854+0.0002133i,-0.00023247+0.00043981i,-0.00093011+0.0010055i,-0.00042951+0.0010207i,-0.00010897+0.00051959i,-0.00036009+0.00036081i,-0.00018569+0.00017992i,-7.921e-05+0.00047171i
-0.0012473-0.0031254i,-0.0010224-0.0031712i,-0.00085077-0.0016138i,-0.00076625+0.00055759i,-0.00040932+0.0015218i,0.00040195+0.0011537i,0.00056855-3.1982e-05i,-0.00022471-0.00067416i,-0.00068558-0.00014955i,1.7502e-05+3.8758e-05i,0.00054179+0.00063609i,-0.000415+0.00084844i,-0.00077033+0.00075256i,0.0004181+0.0008167i,0.00097412+0.00054078i,0.00052419+0.00092104i,-0.00017264+0.0013735i,-0.00063308+0.0010679i,-0.00015018-0.00061115i,0.00030878-0.001545i,-0.0002659-0.00089361i,-0.0007615-0.00048705i,-0.001059-7.872e-05i
-0.00054613-0.0030568i,-0.0010409-0.0023802i,-0.0014177-0.00074658i,-0.00076155-0.00038899i,-0.00023593-0.00030806i,-0.00018844-0.00020458i,-0.00079266-0.00017385i,-0.0011472-0.00017615i,-0.00093509-0.00034672i,-0.00075292-0.00012428i,5.5706e-05+0.00066965i,8.5772e-05+0.00075651i,0.00010218+0.0002245i,0.00097463+2.8268e-05i,0.0017033+0.00011341i,0.0015057+0.0004701i,0.00083007+7.7993e-05i,0.00068725-0.00033527i,-6.3873e-05-0.00049697i,-0.0010362-0.00036841i,-0.001659+8.9679e-05i,-0.0015391-4.5924e-05i,-0.00060833-3.4462e-05i
-0.00015737-0.00078362i,-0.00040656-3.5948e-05i,-1.5779e-05+0.00067829i,3.6391e-05+0.0013161i,0.00032653+0.0018177i,0.00013117+0.0016613i,-0.00074102+0.00018585i,-0.0012843-0.0008785i,-0.00076571-0.00024504i,0.00036149+0.00022739i,0.00040654+0.00026415i,5.8406e-05+0.00027974i,0.00067562-0.00025809i,0.00092342-0.00010127i,0.00018957+0.00042679i,0.00017272+0.00021004i,0.00066704-0.00013324i,0.00020388-0.00039094i,-0.00035348-0.00026417i,-0.00028952+0.00012114i,-0.00031488+0.00028524i,-0.00020593-0.00021869i,0.00050285-0.00081574i
-0.00091508-0.0023962i,8.5284e-05-0.00159i,-0.00024415-0.00023198i,-0.00090223+0.00042694i,-0.0011386-9.1559e-05i,-0.00090311-0.00067592i,-0.00064832-0.00087801i,-0.00097685-0.00080089i,-0.0013848-0.00055527i,-0.001259-0.00050036i,-0.00088842-0.00023371i,-0.00038452+0.0002253i,2.9987e-05-0.00025261i,-0.0002277-0.00037085i,-0.00054685+0.00013471i,0.00011878-0.00042197i,0.00029064-0.00051477i,-0.00012801-7.2339e-06i,-0.00058092-1.7194e-05i,-0.00046304-1.2037e-05i,0.00064607-0.00033126i,0.00087986-0.00060647i,3.4676e-06-0.00052022i
0.00053404-0.00037875i,-0.00039031-0.0010622i,-0.00029061-0.00080418i,6.1483e-05-0.00071679i,-0.00026083-0.00068674i,-0.0014356+0.00019419i,-0.0019055+0.0010114i,-0.0006976+0.00047357i,0.00012165+7.3247e-05i,-0.00034552+0.00019304i,-0.00090382-0.00028991i,-0.0009714-0.00015438i,-0.0010744+0.00046234i,-0.0013922+0.0005075i,-0.00059092-3.9674e-05i,0.00012767-0.00043573i,0.00041154+0.00027823i,0.00042986+0.00063636i,-0.00046952+0.00022163i,-0.00047973+0.00021121i,0.00047558+0.00014296i,0.00043776+0.00057921i,9.2503e-05+0.0006662i
-6.9758e-05+0.00023095i,6.6694e-05-0.0010261i,0.00033707-0.00017741i,0.00080372+0.0010053i,0.000746+0.0013024i,-0.00059562+0.0012558i,-0.001363+0.00064234i,-0.00072066+4.9479e-05i,-0.00073661-0.00012766i,-0.00065824-0.00020025i,-6.8633e-05+4.9741e-05i,-0.000225-4.7856e-05i,-0.00074953-0.00053496i,-0.00079238-4.6474e-05i,-0.00047695+0.00049039i,3.2861e-06+0.00013118i,0.00015537-0.00055807i,-0.00023784-5.2088e-05i,-0.00019802+0.00077467i,-0.00018612+0.00040072i,-0.00044488+0.00037864i,-0.00048879+0.00077744i,0.00016537+0.00067844i
0.0006632-0.0011894i,6.2007e-05-0.0011472i,0.00050543-0.00035781i,0.0011536-2.3654e-05i,0.00083792-0.00082107i,-0.00074032-0.00060471i,-0.0016209+0.00018854i,-0.0010426+0.00060782i,-0.0010596+0.00063022i,-0.0010846+0.00056892i,-0.00070211+0.00037335i,-0.00042111-0.00015159i,-0.00031575-9.0997e-05i,-0.00046502-0.00025928i,0.0001397-0.00055235i,0.0013351-1.478e-05i,0.0013801+1.4135e-06i,0.00072886-0.00013761i,-0.00035675-0.00027236i,-0.00052779-0.00032995i,-0.00010553+5.175e-05i,0.000496-9.8703e-05i,0.00095817-0.00046664i
0.00033936-0.0019343i,-0.00013287-0.001001i,-0.00051074+0.00043601i,-9.1921e-05+0.0019317i,0.00056596+0.0018698i,0.00026728+0.001105i,-8.6823e-05+0.00034019i,-0.00065236-0.00012687i,-0.001016+0.00033115i,-0.0008262+4.3381e-06i,-0.00065859-0.00070237i,-0.00020531+0.00010324i,-0.00039219+0.00076861i,0.00021686+0.00042435i,0.00061912+0.00017968i,-4.6147e-05-0.00028213i,0.00011239-0.00042931i,0.00077102-0.00015513i,0.00031148-0.00020933i,-0.00038204-0.00047747i,-0.00042288-8.6295e-05i,-0.00041438+6.5546e-05i,-0.00032605+0.0001534i
