-0.002478-0.00050498i,-0.0008702+6.9389e-05i,-0.00040617-0.0010565i,-0.00027159-0.00092014i,0.00016562+0.0005638i,0.0010088+0.00023281i,0.0013759-0.00014266i,0.001122-0.00057579i,0.00054884-0.00062607i,-0.00017238-0.00025523i,-0.00027085+0.00012268i,7.2564e-05-0.00029674i,-0.00031568-0.0010626i,-0.0010266-0.0010434i,-0.0010436-9.8149e-05i,-0.00038858+0.00041737i,-0.00024196+0.00027798i,-0.00032875+0.00012756i,5.92e-05-0.00016598i,0.00014218-0.00079044i,0.00052344-0.0013631i,0.0005537-0.00094128i,0.00033716-0.00029609i
-0.00026874+0.0018822i,0.00094236+0.0011172i,0.0021955+3.4177e-05i,0.0028037-0.00097434i,0.0030016-0.001692i,0.0027687-0.002694i,0.0028782-0.0027284i,0.0027817-0.0025193i,0.0016604-0.0019794i,0.00088475-0.0011752i,0.00026664-0.00074584i,0.00027149-0.00079274i,0.0012627-0.00069324i,0.00097287-3.6171e-05i,3.337e-05+0.00022486i,-0.00016079-0.00024744i,-0.0002321-0.0004558i,-0.00066247-0.00026654i,-0.0010771+0.0002269i,-0.0010282+0.00073221i,-0.00054802+0.00051009i,-0.00039632+5.2617e-05i,-0.00032811+0.00032151i
0.00013554-0.0029726i,-0.00061695-0.0020215i,-0.0018187-0.0031208i,-0.0019248-0.0030462i,-0.0013567-0.00059948i,8.9327e-05+0.0016078i,0.0013565+0.00060846i,0.00095989-0.0016194i,-0.001066-0.0022044i,-0.0016173-0.0013622i,-0.00020659-0.00062543i,0.00091878+0.00064598i,0.00037425+0.0010211i,-0.00020727+0.00060374i,-0.00013595+0.00069214i,0.00033338+0.00077742i,0.00053795-0.00024294i,-8.8314e-05-0.0010583i,-0.00018656-0.0007715i,4.435e-05-0.00014514i,-0.00080333+0.00044435i,-0.00093122+0.00021784i,-9.2745e-06-2.0945e-05i
0.00019972+0.0017159i,-0.00060161+0.001781i,-0.00053831+0.00076018i,0.002392-0.0011482i,0.0041605-0.0024774i,0.0021622-0.002652i,0.00050615-0.0023805i,0.00032361-0.0026404i,7.5541e-05-0.0020928i,0.0001117-0.0012354i,0.00040452-0.001034i,0.00034038-0.0010032i,-8.6686e-05-7.2072e-06i,-0.00073049+0.00047519i,-0.00075443+0.00058651i,-0.0012921+0.0011115i,-0.00099055+0.00051005i,0.00060889+1.3586e-06i,0.001359-0.00029786i,0.00076396-0.00038336i,-0.00043837+0.00052469i,-0.00034181+0.00018413i,0.0005749-0.0010003i
-0.0019742-1.2658e-06i,-0.0012735+0.00095637i,0.00015762+0.0018484i,0.0016717+0.0019359i,0.0022925+0.0019058i,0.0026216+0.0017137i,0.0018605-0.00014468i,0.00036442-0.0018569i,-0.0011254-0.001758i,-0.0014389-0.00056794i,-0.00052398-0.00029791i,-0.00019492-0.00051877i,-0.00057173-0.0002482i,-0.0012875-0.0001517i,-0.00058532+0.00026507i,-3.5901e-05-3.216e-05i,-0.00013782-0.0010718i,-0.0003956-0.00070168i,-0.00088737-0.00065439i,-0.00057542-0.0010649i,-0.00052042-0.00025656i,-0.00038847+0.00046741i,-0.00013278+1.5647e-06i
0.0013682-0.001021i,0.0014349-0.00078533i,0.00091424-0.0023041i,0.00071644-0.0032087i,0.00019939-0.0032471i,-0.00016891-0.0010129i,0.00079002+0.0010108i,0.00112+0.00031434i,0.00020566-0.00058786i,-0.00037499-0.00057728i,-5.1344e-05-0.00022308i,0.0003517-0.00047424i,-9.1582e-05-0.00069385i,-0.00055657+3.4056e-06i,-0.00029751+0.00096557i,0.00047632+0.00087787i,0.00076956-0.00041552i,0.00052234-0.0016918i,-3.0087e-05-0.0021531i,-0.00029585-0.0017512i,-0.00032351-0.00085896i,0.00015995-0.00017088i,0.00044028+0.00028615i
0.00072928-0.0012354i,5.071e-05-0.00081826i,0.00037032-0.0014891i,0.0011736-0.0023149i,0.0010448-0.002292i,0.0018733-0.00085879i,0.0035618-0.00024865i,0.0036439-0.00096784i,0.0022808-0.0014017i,0.0015714-0.00051471i,0.0017108+7.4922e-05i,0.0011514+0.00030837i,0.00019883+0.00056902i,0.00015007+0.00083845i,0.00010614+0.00068125i,-0.00026737+0.0004734i,-0.00054576+0.00040677i,-0.00048029+4.6108e-05i,-0.00071782-0.00061725i,-0.00070962-0.00089498i,-0.00066551-0.00096012i,-0.00068131-0.00073113i,-0.0011508-0.00060573i
6.2555e-05-0.00096648i,0.00021798-0.0011398i,-0.00033781-0.0016563i,-0.0006724-0.0022666i,-2.9366e-05-0.0016207i,0.0015772+0.00033813i,0.0028629+0.00010547i,0.0020404-0.0013929i,0.00027018-0.0011395i,-0.00042273+3.1976e-05i,-0.00016069+0.00077418i,0.0002529+0.0011244i,0.00048249+0.00051441i,0.00029286-0.00023067i,-7.2468e-05+0.0007371i,-0.00017805+0.0012441i,-0.0006104+0.00075194i,-0.00076473+0.00060403i,-3.6963e-05+0.00024168i,0.00064302-0.00064949i,5.5127e-05-0.00084098i,-0.00025984+8.4409e-06i,0.00035302+0.00044736i
-0.00077539+0.00056892i,-0.00073757+0.00011172i,0.00086651-0.0001292i,0.0019379+9.3552e-05i,0.0025004+2.5009e-05i,0.0020725+0.00043884i,0.001394+1.603e-05i,0.00084772-0.0021364i,9.7678e-05-0.0033688i,-0.00011632-0.0028945i,0.00055925-0.0016905i,0.0015792-0.00076741i,0.0014156-0.00017781i,-7.1285e-05-0.00010388i,-0.00069502-0.0001067i,-0.00074998-0.00017097i,-0.00034172-0.00064056i,0.00097199-0.00077896i,0.00097333-0.00050707i,-8.5082e-05-0.00047357i,-0.00020709-0.00017924i,-0.00026504+0.00071805i,0.00011088+0.00073921i
-0.0011717+0.00082034i,-0.00062947+0.0014225i,0.0002669-0.000495i,0.001201-0.0011153i,0.0021704-0.00018961i,0.0031426+0.00059046i,0.0029705-0.00019248i,0.0010292-0.0022001i,-0.0008946-0.0024206i,-0.0011645-0.0006682i,0.00010416+0.0001297i,0.001091-0.00070442i,0.00071531-0.0011772i,-5.6605e-05-0.00043304i,-0.00038067+0.00022002i,0.00017276+5.1259e-05i,0.00055443+8.1298e-05i,0.00040039-0.00027029i,0.00049447-0.00062276i,0.00054274-0.00057152i,0.00046092+0.00038591i,7.1767e-05+0.001046i,4.6401e-05+0.0008976i
-0.00018648+0.00077484i,0.00075497+0.00073612i,0.0025142-4.7914e-05i,0.0027516-0.00091872i,0.0022231-0.00030206i,0.0022387+0.0003i,0.0025133-0.0001487i,0.0022039-0.0011284i,0.00029516-0.0009932i,-0.0006874-0.00022463i,-0.00067958+0.00016839i,-0.0010162+0.00011731i,-0.0011639-0.00012491i,-0.00076478+0.00040244i,-0.00065461+0.00083365i,-0.00055545-0.00010953i,-0.00040424-0.00085478i,9.0092e-05-2.4157e-05i,0.0004497+0.00087819i,0.00039049+0.00034804i,0.00066933-0.00016942i,0.00053106-0.00026214i,0.00016057-0.00023592i
-0.00028186+0.00092377i,0.00039619+0.0016334i,0.0010714+5.3579e-06i,0.0014486-0.002554i,0.0015481-0.0042706i,0.0017997-0.003197i,0.0019721-0.001945i,0.00087114-0.0015553i,-0.00077819-0.0016654i,-0.00073534-0.0006252i,0.00037565+0.00055422i,0.00036125+0.00075012i,0.00017533+0.00059411i,-0.0004132+0.00052265i,-0.0013166+0.00024094i,-0.00089653-0.00031488i,0.00054334-0.00010186i,0.0010829-0.00086932i,0.0008626-0.0020914i,0.0006476-0.0017437i,0.00033964-0.00043517i,0.00044776+1.5793e-07i,0.000597+0.00013761i
-0.0018453-0.0015864i,-0.0030924+0.00012524i,-0.003158+0.00093356i,-0.0015575-0.00018956i,3.1766e-05+0.00016423i,0.00032306+0.0022719i,0.0006565+0.002067i,0.0018062-0.0003849i,0.0015717-0.0018479i,2.7357e-05-0.0015261i,-0.00063977-0.00017384i,-0.00028045+0.00075972i,-8.0371e-05+0.00049897i,4.9165e-05+4.0168e-05i,-0.00059011+0.00025831i,-0.0011343+0.00012284i,-0.00070984-0.00011513i,-0.00032576-0.00093399i,-0.0003922-0.00094973i,-0.0010375-0.00015997i,-0.00062377+0.0001188i,0.00064584-0.00012033i,0.00075957+8.6848e-05i
0.0014638+0.00016293i,0.00014739-0.00166i,-0.00024232-0.0032692i,0.00075935-0.0041819i,0.0013348-0.0029785i,0.00070022-0.00068003i,0.0010339-0.00031605i,0.001403-0.0022688i,0.00014546-0.0024532i,-0.00059767-0.0011705i,-0.00056201-0.00082019i,-0.0005699-0.00035601i,-0.00060582+6.8594e-05i,0.00030237-0.0001136i,0.00068616+0.00017795i,0.00024625+0.00021362i,-0.00046744-0.00050142i,-0.00059236-0.00087741i,-0.00029748-0.00129i,6.1333e-05-0.00082331i,0.00030533-0.00033755i,-0.00022092-0.00010933i,-0.00060134+4.9367e-05i
-0.0032874-9.5813e-06i,-0.0017699+0.00088259i,-0.00056643+0.0023307i,0.0016849+0.0018448i,0.0040304+0.00070013i,0.0049556-1.5188e-06i,0.0035289-0.00081061i,0.00094441-0.0024654i,-0.00063546-0.0021359i,-0.00066849-0.00050879i,-0.00024576+0.00010124i,7.1282e-05-0.00069945i,-0.00051452-0.0017423i,-0.0013262-0.0016875i,-0.00068345-0.00079914i,0.00026846+0.00055129i,0.00050284+0.00083403i,0.00030093-7.6065e-06i,-0.00025367-0.00016991i,-3.3546e-05-0.00014115i,-0.00017392-0.0001481i,-0.00069098-7.3158e-05i,-0.00012102-0.00076097i
-0.00030648-0.0024948i,-0.00014038-0.0017438i,0.00059767-0.0015153i,0.00084631-0.0024424i,0.00023552-0.0023504i,0.00044544-0.0012975i,0.0012459-0.0010944i,0.00061111-0.0013567i,-0.00034721-0.00069504i,-0.00063112-0.00019337i,-0.0011754+0.000281i,-0.00081659+0.00046822i,0.0002468-3.452e-05i,0.0001122+0.00022087i,-9.6686e-05+0.00086887i,-0.00011627+0.00045926i,-0.00033398+0.00010371i,-6.1901e-05+0.00024224i,-1.6651e-05+0.00017917i,-0.00083576-6.718e-05i,-0.00061845-2.49e-05i,-0.00016479+0.00030058i,0.00015952-0.00045257i
-0.00016544-0.0027399i,-0.001288-0.0021599i,-0.0028756-0.0017322i,-0.0025279-0.0017975i,-0.001613-0.0013817i,-3.1274e-05+0.00018824i,0.0019927-1.1133e-05i,0.0020927-0.0015656i,0.0018143-0.0020658i,0.00099238-0.00074141i,8.9422e-05+0.00050744i,8.304e-05+0.0012377i,0.00020419+0.0013516i,6.1761e-05+0.00072584i,-0.00021841-0.00049002i,-0.0006154-0.0011111i,-0.0008092-0.0010691i,-0.00040929-0.0010881i,0.00028023-0.00076711i,0.00022419-0.00063235i,-0.00024454-0.00038425i,-0.00029513-0.00039143i,-0.00029317+0.00033887i
0.0028086+0.0025048i,0.0036059+0.0010482i,0.0035801-0.001248i,0.0039718-0.0030384i,0.0036111-0.0031784i,0.0015951-0.00036964i,0.00016202+0.0011332i,-0.00059867-0.00030421i,-0.0011197-0.00080611i,-0.00049393+4.69e-05i,-1.1273e-05+0.00070399i,-0.00066035+0.00012837i,-0.0011913+0.00011666i,-0.0001791+0.00061518i,0.00021595+0.0010798i,4.0823e-05+0.0005868i,0.00067734-0.00024557i,0.00083308-0.00020697i,-0.00023588-0.00015295i,-0.00052372-0.00038848i,-0.00042848-0.00059309i,-0.00098731-0.00052439i,-0.00079802-0.00014905i
-0.00021247-0.00021782i,0.00030273+0.0011248i,0.00021623+0.00085807i,0.00044259+7.3498e-05i,0.0010648+0.0007715i,0.001129+0.0016166i,0.0017402+0.00028186i,0.0013418-0.0014393i,-0.0004315-0.0018854i,-0.00048116-0.00051508i,0.00048744+0.00035269i,0.00043889-0.00026906i,-0.00033055-0.00053704i,-0.00081593-9.3661e-05i,-0.0010178+0.00082521i,-0.00059828+0.00075193i,-0.0004189+0.00019935i,-0.00081666-0.00040309i,-0.0013194-0.00087937i,-0.00069681-0.000887i,-0.00043211-0.00066367i,-0.00035441+0.00012501i,-2.8624e-05+0.00023971i
7.4888e-05-0.00057978i,3.6514e-05-0.0012403i,0.00032858-0.0025237i,0.0013664-0.0034762i,0.0019446-0.0032194i,0.0025321-0.0014485i,0.0031408-0.00051668i,0.00208-0.001066i,-5.9202e-05-0.0010062i,-0.00060883-0.0011232i,-1.8678e-05-0.00084263i,-9.2431e-05-0.00048189i,-0.00043008-0.00042232i,-0.00063114+0.0002438i,-0.00043645+0.00064036i,-2.2468e-05+0.0009222i,-0.00032341+0.0010993i,-0.00049957+0.00029819i,6.7795e-05+0.00022062i,1.6024e-05+0.0006089i,-0.00022257+0.00031535i,-0.00038948+0.00023972i,-0.0001921+0.00039686i
-0.001425-0.0012276i,-0.00048097-0.00035098i,0.00064952-8.4996e-05i,0.0013699-0.00068865i,0.0020944-0.00085678i,0.0026417-2.8837e-05i,0.0027429+0.0001687i,0.0020728-0.001479i,-0.00028793-0.002314i,-0.0020038-0.001352i,-0.001781-0.00080442i,-0.0010684-0.00023559i,-0.00019432-1.3674e-05i,0.00037283-0.00022115i,0.00086826-0.00023873i,0.00047057-0.00069777i,0.00014914-0.0006416i,0.00081201+0.00018133i,0.0002744+0.00024865i,-0.00079214-0.00032843i,-0.00049707+0.00026521i,-0.00070334+0.00041512i,-0.00091199-4.4909e-05i
-0.00035459-0.00073971i,-0.0004882-0.00089874i,0.00039543-0.00088135i,0.00020336-0.0012235i,-0.0016303-0.0015953i,-0.0010166-0.0014012i,0.00041113-0.0011278i,0.00047367-0.0010621i,4.5589e-05-0.00080769i,-0.00010459+0.00010001i,-0.0005106+0.00028113i,-0.00065064-0.00049208i,-0.00052244-0.00044531i,-0.00021211+5.5014e-05i,-0.00053019+6.2827e-05i,-0.00092752-0.00018343i,-0.00056673-0.00035866i,0.00070963+0.00043867i,0.0014774+0.00057266i,0.0014177-0.00029976i,0.0002159-0.00017193i,-0.00094062+0.00079272i,-0.00084871+0.00090701i
7.5571e-05-0.00024923i,-0.00051741-0.00031563i,-1.3489e-07-0.00068129i,0.0021351-0.0013109i,0.0034468-0.00091829i,0.0026011+0.0018735i,0.001958+0.0014907i,0.0019827-0.0018695i,0.00069078-0.0022871i,0.00029914-0.0001606i,0.001195+0.00082208i,0.00095419+8.3204e-05i,2.1946e-05+0.00031046i,-0.00061274+0.00038858i,-0.0014863+1.4645e-05i,-0.0015896+0.00055945i,-0.0013892+0.0010515i,-0.0010164+0.00068959i,-0.00066496+3.7119e-06i,-0.00051656+0.00014919i,-0.00083401-3.9884e-05i,-6.4984e-05-0.00069182i,0.0010046-0.00041383i
-0.00029531+0.00053439i,0.00023923-0.00079848i,0.0012186-0.0014151i,0.0013956-0.0013483i,0.0012966-0.00050706i,0.0016298-2.5448e-06i,0.0019606-2.9982e-05i,0.0012736-0.00071486i,4.1193e-05-0.0015145i,0.00053469-0.0010461i,0.00072909+0.00024586i,-0.00014488+0.00019773i,-0.0007805+4.855e-05i,-0.0012831+0.00061931i,-0.0014988+0.00083781i,-0.00085159+0.0012219i,-0.00014175+0.0006725i,3.4301e-05+2.8417e-05i,0.00010117+0.00011762i,-8.4818e-05-1.0994e-06i,-0.00050662+6.9901e-05i,-0.00074862+0.00041364i,-0.00089785+0.00039289i
0.00015192+0.00091436i,0.00012804+0.0010937i,0.0014221+0.0011672i,0.0040077+0.00027339i,0.0063607-0.00062459i,0.0057155-0.00061571i,0.003838-0.0011443i,0.0019392-0.0028391i,2.7037e-06-0.0029781i,-0.00086615-0.0015816i,0.00025759-0.00073436i,0.0010475-0.00033874i,2.3249e-05+0.000213i,-0.00099092+0.00062534i,-0.00046837+0.00063563i,-7.8512e-05+0.00064013i,0.0001887+0.00060933i,0.00085997+0.00066965i,0.00061613+0.00011062i,0.00018491-0.00061817i,-1.3608e-05-0.00034123i,-0.00018143-0.00042399i,-1.9587e-05-0.00067865i
-0.00098156-0.0014164i,-0.00083714-1.2537e-05i,-0.00071617+0.00078088i,-0.0012336-0.00044847i,-0.0013125-0.0010107i,-9.0349e-05-3.8802e-05i,0.0011218-0.00036104i,0.00067035-0.0013166i,-0.0017126-0.0017155i,-0.0020423-0.00084458i,-0.00030533-0.00010873i,0.00060134-0.00079615i,-0.00018323-0.001264i,-0.00017735-0.00090769i,0.00094707-0.0010884i,0.0011043-0.0011004i,0.00049982-0.00080883i,0.00019284-0.00080169i,0.00041997-0.00078636i,0.0001088-0.00041684i,-0.00022397+5.2332e-05i,-0.00038026-0.00023437i,-0.0004936-0.0002193i
0.00040937+0.00052614i,0.0019982+0.00031416i,0.0030834-2.2121e-05i,0.0038493-0.0012585i,0.0031395-0.0024022i,0.0014835-0.00073339i,0.001278-0.00025375i,0.0016745-0.0022777i,0.00015739-0.002694i,-0.001614-0.0012418i,-0.0017047-0.00020153i,-0.00023865+0.00031389i,0.00046908-0.00023977i,-0.00072723-0.00089351i,-0.0013001-0.00060989i,-0.0011273-0.00042911i,-0.001367-0.0010384i,-0.00064052-0.0013257i,0.00033719-0.0006617i,0.00011052-0.00010022i,-1.839e-05-0.000213i,-0.00032416+0.00012497i,-0.00025837+0.0001919i
0.00038129-0.0004006i,0.00068369-0.00089234i,-0.00015214-0.002567i,-0.00060286-0.0029206i,-0.00097073-0.0010919i,-0.00047494+0.00088722i,0.0010199+0.00051007i,0.0018821-0.001385i,0.0011909-0.0013204i,0.00090879+0.00029864i,0.0011446+0.0012044i,3.0223e-05+0.00073501i,-0.00068012+0.0010302i,-0.00072161+0.00097395i,-0.00081116+0.00068018i,-0.00040443+9.714e-05i,-0.00024157-0.00026152i,-0.00065525+0.00033529i,-0.00045563+0.00020595i,-0.00020258-0.00054646i,0.00016504-0.00086559i,0.0008078-0.00085493i,-9.4186e-05-0.0010513i
0.0008369+0.0011007i,0.0020401+0.0010316i,0.0027586-0.00025011i,0.0033531-0.0012125i,0.0028702-0.0012444i,0.0022901-0.00047618i,0.0026948+0.00029584i,0.001769-0.0014881i,-0.00062809-0.0028346i,-0.00052386-0.0018805i,0.00053134-0.000966i,0.00010224-3.2303e-05i,-0.00062939+0.00050564i,-0.0011767+0.00045833i,-0.00086397+0.00098238i,0.00034664+0.0014578i,0.00063642+0.00078014i,0.00041716-6.6308e-05i,-3.2281e-05+7.9419e-05i,-0.00013088+2.4723e-05i,0.00026636-0.00026621i,0.00062549-7.4646e-05i,0.00033606+0.00018567i
0.00025445-0.0005777i,0.00052218-0.0010133i,0.00057671-0.0024692i,0.00072201-0.0032394i,0.00043294-0.0025835i,0.00022799-0.0012569i,0.0010957-0.00048898i,0.0018424-0.0017515i,0.0012625-0.002087i,0.00043893-0.00041238i,0.00015589+0.00098776i,-0.00015308+0.0010186i,-7.4372e-05+0.00064173i,0.00015704+0.00042957i,-0.00017211+0.0011597i,-0.00033166+0.0014401i,1.5916e-05+0.0010704i,0.00063401+0.00055119i,0.0010528+0.00040556i,0.00063979+8.7723e-05i,0.00045416-0.00069847i,0.00010938-0.0004471i,-0.00052441-8.2847e-06i
-0.00069068+0.00073698i,0.0007252+0.0014246i,0.003554+0.00080395i,0.0039005-0.001024i,0.0026016-0.0023863i,0.001988-0.0019464i,0.0020051-0.00085973i,0.0010962-0.001409i,-0.0004012-0.0015816i,-0.0015181-0.00055009i,-0.0014117-0.00026901i,-0.00043694-0.0001306i,-0.00032289+0.00016122i,-0.0010642+0.00024695i,-0.0012755+0.0011569i,-0.00046462+0.00094768i,6.5698e-05-0.0003848i,-0.00027809-0.0011262i,-0.0012071-0.00073168i,-0.0012904-0.00035859i,-0.00067715-0.00031455i,-0.00064686-0.00024515i,-0.00074502-5.8686e-05i
0.00040607+0.0001028i,0.00078951-0.00017909i,-3.886e-06-0.00046804i,-0.00048593-0.0014348i,0.00038696-0.00097107i,8.0833e-05+0.0010399i,0.00048155+0.0011706i,0.0016106-0.0013376i,0.00057461-0.002081i,-0.00081793-0.0010523i,-0.00026682-0.00058414i,5.9193e-05+7.7585e-05i,-0.00074264+0.00064372i,-0.00099384+0.00037318i,-0.00086282-0.0009036i,-0.00057062-0.0010158i,-0.00013191-0.00061293i,0.00037939-0.00039457i,6.9849e-05-0.00035698i,-4.0778e-05-0.00057773i,0.00019937-0.0001672i,6.2622e-06+0.0011137i,-6.0102e-06+0.00095292i
0.0001827+0.0004175i,0.00056368-0.00047826i,0.0004709-0.0012428i,6.4327e-06-0.0019602i,-1.4885e-05-0.0025118i,0.00088271-0.0016585i,0.0019833-0.0016715i,0.00045972-0.0025152i,-0.0012076-0.0019671i,-0.0014199-0.0010492i,-0.0010166-0.00025795i,-0.00064012+0.00023177i,-0.00085165+0.00049671i,-0.0012584+0.00014791i,-0.00088585-6.7551e-05i,-0.00012324+0.0001069i,-5.4218e-05+9.2741e-07i,-0.00018653-0.00011414i,0.00013436-0.00013439i,0.0003117-0.00030617i,-0.00061998-0.00069004i,-0.0012066-0.00043167i,-0.00044296-0.00087057i
-0.0016545+0.00073331i,-0.0012255-0.00031745i,0.00035577-0.00025919i,0.0031732+0.00028761i,0.0056558+0.00069859i,0.0054636+0.00030175i,0.003019-0.0011708i,0.00063527-0.0023309i,-0.00051674-0.0016937i,-0.0003778-0.00042782i,0.00013496-0.00052946i,0.00041369-0.0012887i,-0.0001245-0.001031i,-0.00025377+0.0004159i,-4.2621e-05+0.0010713i,-3.7806e-05+0.0012889i,0.0002904+0.0011699i,0.0012303+0.00082347i,0.0015083+0.00014998i,0.00060071-0.00066081i,-0.00033915-0.00071958i,0.00042778+2.5704e-05i,0.00083829+0.00018613i
6.9357e-05-0.00029524i,0.0001868-0.00059952i,0.00054104-0.0013324i,0.0012108-0.0015494i,0.00066843-0.0013938i,6.8173e-05-0.0015941i,0.00032639-0.0024831i,0.00021237-0.0029112i,-0.00083123-0.0023859i,-0.0016514-0.0012841i,-0.0009021-0.00043585i,0.00080262-0.00040272i,0.00099565-0.0009491i,0.00050464-0.0012358i,0.00060935-0.00065889i,0.001041+0.00037663i,0.00070569+0.00092331i,0.00040517+0.00056805i,-9.8494e-05-0.00057135i,-0.0012087-0.00074391i,-0.00084678-0.00028403i,3.0744e-05-0.00047799i,0.00073409-0.00070962i
-0.00015349-0.00041117i,-0.0015902-0.00081954i,-0.0015901-0.0015123i,0.00015333-0.0018677i,0.0014915-0.0013746i,0.0021456+0.00030315i,0.0022233+0.00033093i,0.0021314-0.0014594i,0.0013943-0.0023707i,0.0002163-0.001296i,-0.00032858-0.00041005i,0.00014609-0.00081008i,0.0003012-0.00067691i,-0.00010034-0.00058057i,0.0005164-0.00087547i,0.00042947-0.00015004i,-0.00033394+0.00090557i,-0.00069387+0.0003732i,-0.00080072-0.00092105i,-0.00055247-0.0013739i,-0.00058407-0.0012591i,-0.00089796-0.00042361i,-0.00030126+0.00098092i
0.00065484+0.00079098i,0.0010585+0.00086111i,0.0019376+0.00021639i,0.0023095-0.0012282i,0.0019831-0.00085162i,0.00099042+0.0019054i,0.0014795+0.0021632i,0.0014947-0.00095239i,-0.00036669-0.0026256i,-0.0011803-0.0015696i,-0.00082886+0.00010655i,-0.00052171+0.00011724i,-0.00014201-3.2853e-05i,-0.00020734-3.0649e-05i,-0.0013844-0.00049339i,-0.001413+0.00017532i,-0.00046963+0.00028875i,6.1024e-05-0.00036095i,-9.3478e-05-0.00043417i,-0.00011178+9.813e-05i,-3.8018e-05+0.00041699i,-0.00015237+0.00082931i,-4.2763e-05+0.0011423i
0.0015259-0.0014419i,0.0016888-0.0015328i,0.0011638-0.0028358i,0.00078438-0.0044389i,0.00043529-0.0043485i,0.00056943-0.0022271i,0.0020002-0.00074473i,0.0025064-0.0014154i,0.0010063-0.0018223i,-0.00041858-0.0014937i,-0.0010185-0.00096624i,-0.0012545+5.8542e-05i,-0.00081095+0.00044035i,-0.00031118+0.00055239i,-0.00096719+0.00058661i,-0.0011315-0.00032987i,-0.0004218-0.0010535i,-0.00032025+0.00029038i,-0.00011251+0.00089252i,0.00015335+0.00016626i,-0.00037552+0.00011813i,-0.00089864+0.00012917i,-0.00048981-0.00055818i
0.0009801+0.00021766i,0.0014676-0.00070877i,0.0025569-0.0016866i,0.002445-0.0021797i,0.0024532-0.0023041i,0.0029944-0.0013673i,0.0030129-0.00069096i,0.0012499-0.0015963i,0.00013134-0.0018503i,0.00014731-0.00064131i,0.0008344+0.00020396i,0.00074236+0.00028241i,-0.00018527+0.00049775i,-0.00077564+0.001187i,-0.00066139+0.0011867i,-0.00032981+0.0010913i,0.00066175+0.00078211i,0.0013444+9.4207e-05i,0.0010778-0.00037565i,0.00089085-0.00055901i,0.00086331-0.00036881i,0.00069637-0.0003203i,0.00050217-0.00026359i
-0.0008014-0.00091406i,-0.00037973-0.0001943i,-0.00017278-0.0006244i,0.00062012-0.0021669i,0.00018145-0.0027062i,-0.00081092-0.00087139i,5.4334e-05-0.00086565i,0.00089739-0.0022561i,-0.00014893-0.0019887i,-0.00034235-0.00024293i,0.00044175+0.00027792i,0.00072837+0.00015219i,0.00084505+0.00026973i,0.00068227+0.00048241i,0.00057743+0.001111i,0.00096846+0.0010743i,0.00048317+0.0001247i,-0.00010302-0.00025015i,-0.00012887-0.00090785i,-0.00018136-0.0015981i,-0.00014207-0.0010782i,-0.00036941-0.00016854i,-0.0003901-0.00023836i
0.00017744-0.00019245i,0.0014401-0.0010616i,0.0027383-0.0022649i,0.0031254-0.002832i,0.0027811-0.0024526i,0.0023532-0.00067033i,0.001187+0.00038936i,-0.0003973-0.00056282i,-0.0010221-0.00078656i,-0.00027139-0.00041647i,0.00073243-0.00058814i,0.00061871-0.00075899i,0.00025201-0.0007624i,-0.00035352-0.00015158i,-0.00015467+0.00025095i,0.00059938+0.00050755i,0.00050641+0.0008913i,-9.2948e-07+0.00033363i,-0.00056186-0.00024374i,-0.00070893-0.00074892i,-0.0004673-0.00067344i,-0.00031057-0.00017562i,-0.00040788+0.00030156i
-0.00057457-0.0006513i,-0.00074018-0.00020967i,-4.9204e-05+0.00041624i,-0.0001047+0.00093538i,-0.00061997+0.0017779i,0.00039058+0.0019909i,0.0020447+0.0009121i,0.0015666+0.00018906i,-0.00049314-0.00054715i,-0.00059906-0.0013888i,-0.0003275-0.0015574i,-0.00067505-0.00086554i,-0.00038323-0.00076447i,-0.00068194-0.00058928i,-0.0010896-0.00035437i,-0.00060989-0.00043919i,-0.00052636-0.00054596i,-0.00088773-0.0011156i,-0.00070554-0.00083987i,-0.00064581-0.00022125i,-0.00048902-0.00023411i,-0.00045694-0.00017601i,-0.00070104-0.00012285i
0.00086889+0.0001002i,0.0010695+6.8047e-05i,0.0015526-0.00061667i,0.0017866-0.0023955i,0.0019061-0.0025943i,0.001672-0.00086289i,0.0016691+0.00013309i,0.001253-0.0013047i,0.00016061-0.0028271i,-0.00043908-0.0024709i,-0.00087555-0.0013001i,-0.0013554-0.00069327i,-0.0015676-0.00025764i,-0.0015222-3.9072e-05i,-0.001157-0.00018779i,-0.00077207-0.00072654i,-0.00036023-0.0010787i,0.00038712-0.00085297i,0.00086537-0.00047233i,0.00052215-0.00035027i,0.00025059-0.00039642i,0.00040864-0.00052346i,5.1095e-05-0.0010176i
-8.1864e-05+0.0013224i,0.0010389+0.0020776i,0.0020727+0.0018369i,0.0023099+4.9759e-05i,0.0033762-0.001375i,0.0037362-0.0015722i,0.0034794-0.0007098i,0.0025601-0.0018776i,0.00019665-0.0028785i,-0.0010385-0.001287i,-0.0012778+0.00044945i,-0.0010448+0.00075629i,-0.00036139+0.00078236i,-0.00047802+0.000692i,-0.0012505+0.00084904i,-0.002024+0.0011259i,-0.0016677+0.00096878i,-0.0011047+0.00034995i,-0.00081703-7.8616e-05i,0.00014872-0.00024262i,0.00038981-0.00076296i,5.5308e-05-0.00078774i,-0.00040547+0.00012421i
