0.00062495+0.00062003i,0.00018372-0.00048689i,0.00017748-0.0026462i,0.00014938-0.0048044i,-0.0014138-0.0045353i,-0.0029007-0.0016309i,-0.0027236+0.001283i,-0.0008291+0.0016755i,6.9849e-05+0.00060666i,0.00044166+0.00023322i,4.5739e-06-0.00018563i,-0.0012368-0.00021619i,-0.0012624+0.00020978i,-0.00030145-5.3243e-05i,-0.00024786+0.00047109i,-0.00026426+0.001023i,0.00051816+0.00054248i,0.00056325+0.00025354i,0.00053103-0.0004213i,0.0005735-0.00062756i,0.00036358+7.9825e-05i,-0.00019935+0.00092106i,-0.00038515+0.0009113i
-0.0010236+0.0033832i,0.00042789+0.0017149i,0.0030368+0.00085202i,0.0033631+6.4216e-05i,0.00060057-0.002806i,-0.003021-0.0044766i,-0.0036425-0.0023659i,-0.0017765-4.5042e-05i,-0.00072894-0.00039275i,-2.6517e-05-0.0011315i,0.00045206-0.00055789i,-2.2401e-05-0.00025834i,-0.00062661-0.00025517i,-0.0013698-0.00016i,-0.0012172-0.00037594i,-0.0010186+0.00011705i,-0.0012551-8.1411e-05i,-0.00019809-0.00069555i,0.00036062-0.00097293i,-0.00077842-0.001112i,-0.0013729-6.8016e-05i,-0.00092461+0.00071912i,-0.00032944+0.00066912i
-0.0017962+0.00016051i,-0.00066401-0.00055666i,-0.00010357-0.00035384i,-0.00060762-0.00030381i,-0.00096143-0.0016006i,-0.0011536-0.0016547i,-0.0013613-0.00055461i,-0.0012189-0.00018737i,-0.0011713-5.5633e-05i,-0.00088167+0.00034585i,0.00031349-0.00020712i,-2.505e-05-0.00095928i,-0.00058905-0.00091197i,-7.6203e-05-0.00040385i,0.0002843-0.00015914i,0.00028054-0.0004916i,-0.00017341-0.00010899i,-0.00080352+0.00068088i,-0.0011042+0.0011274i,-0.00078091+0.00031941i,-7.3459e-05-0.00064562i,0.00084334+8.2542e-05i,0.00029464+0.00059512i
-0.0019537+0.00081589i,-0.0025457+0.0008827i,-0.0030825+0.00016353i,-0.0033273-0.00098626i,-0.003395-0.0014792i,-0.0030557-0.0013502i,-0.0030676-0.00055186i,-0.0021759-0.00084049i,-0.0011728-0.00097064i,-0.00095468-0.00044291i,-0.00043704-0.00021651i,-0.00051772-0.0005367i,-0.0010783-0.00033517i,0.00029858-0.00027953i,0.0010725-0.00077033i,-0.00016954-0.0012555i,-0.00046246-0.0014241i,-0.00011234-0.00077101i,0.00067735+0.00034784i,0.00052591+0.00098718i,-0.00035721+0.00048785i,-0.00035341-0.00035458i,0.00017409-0.00049469i
0.0016276+0.0015195i,0.0012662+0.00051861i,0.0020644-0.00055925i,0.0023218-0.0019504i,0.0010146-0.0044512i,-0.00095726-0.0040444i,-0.0016059-0.0012194i,-0.00065545-0.00050831i,5.5359e-05-0.00079588i,0.00012528-0.00092971i,-3.443e-05-0.0003305i,-0.00070832+0.00098081i,-0.0015071+0.0014693i,-0.0010113+0.0011791i,2.8231e-05+0.00048299i,0.00073317-0.00037731i,0.0001958-0.00030633i,-0.00085062+0.00058037i,-0.0009068+0.00028397i,-0.00037592-4.3151e-05i,-1.6219e-05+8.0952e-05i,-0.00026171-0.0002184i,0.00010755-0.00047432i
0.00057392-0.00027884i,0.0010939-6.423e-05i,0.00035032-3.0552e-05i,-0.0017881-0.0020314i,-0.0022031-0.0041829i,-0.0020278-0.0039603i,-0.0028491-0.0015147i,-0.001795-4.9905e-05i,-0.00079451+0.00058529i,-0.0011548+0.00070448i,-0.0017712-0.00031439i,-0.0016324-0.00045164i,-0.0010785+0.00011998i,8.0718e-05+0.00031082i,0.00071394+0.00029483i,0.00033175+1.0929e-05i,5.6425e-05+0.00027125i,-2.1042e-05+0.00078976i,3.4673e-05+0.00088399i,-2.1246e-05+0.00041036i,-7.5027e-05+0.00024834i,0.00012473+0.00046664i,0.00087623+0.00076514i
0.00012673+0.00072658i,0.00027506+0.00080623i,0.00097179+7.0359e-05i,0.001495-0.0018521i,0.0011704-0.0032243i,-0.00097395-0.0022596i,-0.0024375-0.00042362i,-0.0023311-0.0001464i,-0.0018905-0.0006479i,-0.0015837-0.00012774i,-0.0014082+0.0006437i,-0.00062039+0.00020567i,0.0002329+5.1542e-05i,0.00042396+0.00035582i,-0.00017979-0.0004083i,-0.00073728-0.00027796i,-0.00066468+6.2713e-06i,-0.00016816-0.00056737i,0.00071814-0.00029654i,0.00071234-0.00053201i,-7.4474e-05-0.00067908i,-4.633e-05-0.00010335i,0.00048015+0.00018788i
0.0015445-0.0010163i,0.00029651-0.001883i,-0.00077144-0.0025988i,-0.0012471-0.0032008i,-0.0024791-0.0045564i,-0.0031596-0.0034191i,-0.0021207-0.00078606i,-0.00086739-4.3981e-05i,-0.0014248-0.00081936i,-0.0020915-0.00073255i,-0.00093421+3.6713e-05i,-0.00033427-0.00021655i,-0.0008628-0.00045345i,-0.00042401-0.00030017i,0.00015303+8.8452e-05i,-0.00016033+0.00013844i,-0.00074379-0.00018774i,-0.00084521-0.00026421i,-0.00096567+0.00021934i,-0.0014455+0.00072015i,-0.00070598+0.0008385i,0.00014463+0.00034131i,0.00034426-0.00024618i
-0.0004695+9.1677e-05i,-0.0001722+0.00056908i,-0.0012504+0.00077549i,-0.0017542-0.00022106i,-0.0012445-0.0011659i,-0.0010484-0.0011435i,-0.0015552+0.00066099i,-0.0018516+0.0013416i,-0.0010244-2.5093e-06i,-0.00087416-0.00032893i,-0.00063733-0.00049745i,0.00034095-0.001132i,0.00015368-0.0010115i,-0.00035989-0.0002817i,0.00021811-3.3711e-05i,0.00015877-0.00025122i,-0.0003723+0.00047736i,-1.5269e-05+0.00053643i,1.096e-05-0.00033989i,0.00017568-0.00039749i,0.00057905-0.00018355i,0.00075741-0.00031833i,0.00056546+0.00034953i
0.0004458+0.00014864i,-0.00030315+3.4506e-05i,-0.00039678-0.0006782i,0.00095402-0.0017617i,0.00074209-0.0028836i,-0.0020553-0.0032943i,-0.0029722-0.0015763i,-0.0011279-6.4783e-05i,-0.00065928+0.0001098i,-0.0010108-0.00068534i,-0.00025847-0.00032569i,0.00018406+1.3469e-05i,-0.0007731+6.4104e-05i,-0.0013299+0.00030258i,-0.00043686-0.00028549i,0.00032161-0.00040181i,-8.679e-05-0.00021461i,-8.8755e-06-9.8e-05i,0.00022412+5.778e-05i,-8.2778e-05+5.4039e-05i,2.7348e-05-0.00084223i,0.00056174-0.00068027i,0.00076093+0.00070266i
0.0021122-0.00013121i,0.0018523-0.00074016i,0.00099956-0.0015708i,0.00015491-0.0022861i,-0.00093577-0.0032096i,-0.0022957-0.0028387i,-0.0029982-0.0010112i,-0.0025567-0.00058499i,-0.0019119-0.00068779i,-0.0011382+0.00017506i,-0.00016692+0.00084281i,-7.1086e-05+0.00044955i,-0.00086581-0.00022128i,-0.00064867-0.00014649i,-0.00019786-3.3388e-05i,-0.00021078-0.00013104i,-0.00020289-0.00027462i,-0.00049511+2.2405e-05i,-2.3556e-05+0.00028014i,0.00078096+0.00030217i,0.00041848-5.0989e-05i,-4.8922e-05-0.00036521i,0.0003575-1.0264e-05i
