0.0008115+9.9248e-05i,0.00049101+0.00020097i,-0.001713-0.00064206i,-0.0022926-0.00021171i,-0.0013989+0.0006103i,-0.00083614+0.0017278i,0.00028958+0.0020891i,0.0010446+0.0015925i,0.00088173+0.00032113i,7.94e-05-0.00074708i,-0.00085226-0.00059846i,-0.0013309-0.00019791i,-0.0014337-0.00043439i,-0.00054315-0.00054081i,0.00020087-0.0001246i,-0.00049148-0.00041198i,-0.00041564-0.00021345i,0.00016051+9.3946e-05i,-0.00022136-0.00042602i,-0.00092787-0.00073911i,-0.0013248-0.0012299i,-0.0012391-0.00042546i,-0.001091+0.000302i
-0.0010044-0.0013585i,-0.00090017-0.0011235i,-0.00054954+0.00033656i,-0.00096237+0.00069344i,-0.00078765+0.0012354i,0.00079184+0.0013305i,0.0012611+0.00038997i,0.0010094-0.00016311i,0.0010796-0.00082056i,0.0012663-0.0010074i,0.00024928-0.0003219i,-0.00033403+2.9769e-05i,0.00062876-0.00031833i,0.0007785-0.00078479i,0.00045914-0.00052634i,0.00024586-0.00027164i,2.5601e-05+0.00034394i,2.6338e-05+0.0012199i,-8.1932e-05+0.0007457i,-0.00012878+6.1795e-07i,-0.000272-0.00069952i,-0.00020743-0.0012871i,6.7049e-05-0.0016076i
0.00079593+0.0034634i,0.00091437+0.003099i,0.001603+0.0011012i,0.0015893-0.00054441i,0.0013029-0.000953i,0.0011159+0.00013828i,0.0015471+0.00089272i,0.00172+0.00073866i,0.0014318+0.00048719i,0.0010985+0.00036743i,0.00026778-0.00024883i,-7.222e-05-0.00046501i,2.0599e-05+0.00064027i,-0.00028336+0.0012273i,-0.00035282+0.0005219i,-0.00010979+0.00023063i,0.00044464+0.00068601i,1.4441e-05+0.00039366i,-0.00031805+0.00021898i,-8.3562e-05+0.00041183i,-0.00026596+0.00050881i,-0.00061034+0.0010156i,-4.8762e-05+0.00065286i
-0.0017298-0.001026i,-0.0027137-0.00043747i,-0.001325+0.00078406i,0.00030282+0.0014718i,0.00044256+0.0010824i,7.5846e-05+0.00012769i,0.00031425+0.00051671i,9.7377e-05+0.00076593i,0.00047841+0.00047984i,0.0012211+6.5279e-05i,0.00060176-0.00013999i,6.6923e-05+6.3063e-06i,0.00018289+0.00033563i,-3.5962e-05+0.00027249i,-0.00039379-0.00013445i,-5.2473e-05+0.00021727i,-0.00014687+0.0012344i,-0.00047749+0.0012542i,-0.00061158+0.00036731i,-0.0010272+0.00057898i,-0.00085855+0.00087762i,3.1371e-05+0.00060595i,0.00057668+0.00042215i
-0.00058464+0.00026336i,-0.0013847+0.0013286i,-0.001246+0.00084876i,0.00024719+0.00072486i,7.5057e-05+0.00083777i,-9.09e-05+0.00032943i,0.00069721-0.00026555i,0.00094066-0.00028257i,0.00077664+5.4076e-05i,0.00035655-0.00028296i,0.00013578-0.00071127i,-0.00027012-0.00020767i,0.00014668+0.00075383i,0.0010651+0.00027394i,0.00080923-0.0002178i,0.00068463+0.00041269i,0.00076053+6.4896e-05i,0.00054226+0.00016255i,0.0001188+0.00078609i,-0.00014314+3.2853e-06i,-0.00015638-0.00051185i,0.00025416+0.00010877i,0.00055365+0.00012281i
-0.0011814+0.00031543i,-0.0016326-0.00027541i,-0.0015772-0.00091725i,-0.00062621-0.0004361i,-0.00035995-5.9443e-05i,0.0004428+0.00086951i,0.001442+0.00080613i,0.0012761-0.00024506i,0.00091687-0.00041191i,0.00098994-0.00079684i,0.00026136-0.00083919i,-7.7861e-05+8.4667e-05i,-4.2793e-05+0.00062529i,-0.0003381+0.00056317i,-0.00079768+0.00029706i,-0.0005297-5.41e-05i,0.00087655-8.6235e-05i,0.001436-0.00020449i,0.00096545-0.00027838i,0.00022832-0.00036756i,0.00019117-0.00026129i,0.00045826-0.00013565i,0.00014804-0.00011562i
0.0016895+0.00059831i,0.0026707+0.0025923i,0.0022873+0.0025965i,0.0025013+0.00096913i,0.0025592+0.00044566i,0.002013+0.00056601i,0.0015814+0.00069045i,0.0017312+0.00084125i,0.0015251+0.0007307i,0.0006788-0.00066848i,0.00037227-0.0010809i,0.00065721-0.00031275i,0.00081242-0.00023685i,0.00030875-0.00042632i,0.00032329-0.00029748i,0.00027568+0.00050731i,0.00015447+0.0012065i,0.00092377+0.00073002i,0.001479+0.00049179i,0.0007237+0.00022558i,-6.4897e-05+0.00019423i,5.0494e-05+0.00078681i,0.00013205+0.00066178i
-0.0020601+0.00065217i,-0.0017558+0.00069645i,-0.0025039+0.0021865i,-0.0010496+0.0019658i,0.00077113+0.00085554i,0.0016051+0.00010417i,0.0019616-7.1453e-05i,0.0015145+0.00037531i,0.00080646+0.00038198i,0.00051584-0.00036926i,0.00053461-0.00047856i,0.00050165-0.0001722i,6.5897e-06+0.00071311i,-0.0010164+0.00045004i,-0.0012092-0.00018223i,-0.00080683+4.975e-05i,-0.001103-0.00014382i,-0.00093688-0.00063328i,0.00057086+0.0002878i,0.0009736+0.00016302i,0.00021444-0.00095739i,1.6057e-05-0.0011635i,-2.004e-05-0.00054712i
-0.00025264+0.0022431i,-2.2778e-05+0.0012508i,0.00024533+0.00011597i,0.00074032-0.00081803i,0.00082753-0.00032488i,0.00062993+0.00062931i,0.00053601+0.00053301i,0.00046787-0.00026234i,-0.00017217-0.00035115i,-0.00059741-0.00038431i,0.00019637-0.0010959i,0.0005692-0.00066905i,0.0002401-0.00014804i,0.00046849-0.0006398i,0.00093281-6.5759e-05i,0.00038202+0.00045893i,-0.00030064+6.3837e-06i,7.3597e-05+0.00040497i,0.00054326+0.00060463i,0.0004729-0.00023841i,0.00066142-0.00086424i,0.00010988-0.00093933i,-0.0002125-0.00028754i
-0.0012319+6.8184e-05i,-0.0010684-0.00028887i,-0.00012521+0.00050351i,0.00054643+0.00060345i,0.00065514+0.00020243i,0.0010383+0.00028303i,0.0014995+0.00069163i,0.0015806+0.00074704i,0.0014964+0.00026699i,0.0015894+3.8263e-05i,0.0011317+0.00025322i,0.00084473+0.00038295i,0.00057441+0.00060153i,-0.00028343+0.00028302i,0.0001178-0.0002407i,0.00022585+8.1388e-05i,0.00017811-0.00010206i,0.00063403-6.5837e-05i,0.00057848+0.00067853i,0.00022112+0.00049998i,0.00020559-0.00015595i,0.00079831+0.00010951i,0.00083719+7.5469e-05i
-0.0014772+0.0006654i,-0.00060554+0.0011821i,0.00036872+0.0016383i,0.00070244+0.001333i,0.00082679+0.0010107i,0.0012545+0.0012528i,0.0011431+0.00099314i,0.0011232-0.00064222i,0.0012393-0.00084131i,0.00086403-0.00037505i,0.00060529-0.00045708i,0.00021585-0.00026975i,-0.00014628+4.521e-06i,-1.3819e-05-3.3757e-05i,-0.00025723+3.3027e-05i,-0.00043137-0.00012634i,8.636e-05-0.00012128i,0.00042056+1.1796e-05i,-6.0422e-05-0.00036767i,-0.00053266+0.00030679i,-0.00052552+0.0018565i,-0.00024286+0.0013758i,-0.00012164+0.00037883i
-0.0014194-0.0015273i,-0.00072166-0.00083714i,6.9141e-05-0.0001802i,0.00033034+0.00031633i,0.00059771+0.00093644i,0.00051777+0.0016743i,0.00053704+0.0010373i,0.00052263-0.00050399i,0.00062744-0.001189i,0.0013705-0.00046141i,0.0011124+0.00010659i,0.00052624-0.00028718i,0.0011334-0.0001947i,0.0016607-3.9308e-06i,0.0015327-0.00011276i,0.0010918-0.00038106i,0.00034662-4.0887e-05i,-0.00059387+0.0005925i,-0.00067419+0.00033728i,-0.00019982+0.00017625i,-0.00018846+0.00043924i,0.00015965-0.0001089i,0.00093049-0.00088729i
-0.0008025+0.0010959i,-0.0010551+0.0025689i,-0.0010343+0.0032399i,-0.000755+0.0022444i,-0.00046616+0.00063921i,0.00014037+0.00092899i,0.00022369+0.0006773i,-9.3329e-06-9.2229e-05i,0.00030055-0.0004474i,0.00025134-0.00013162i,0.00058028+0.00045004i,0.00050806+0.00010698i,0.0006749-0.00017485i,0.00087073-5.6545e-05i,0.00040662-0.00018092i,0.00076914-0.00030437i,0.00059492-0.00034403i,0.0004062-0.00020109i,0.00055973+6.635e-05i,0.00070186-0.00016799i,0.00062336-0.00069446i,-0.00036482-0.00039271i,-0.0003471+7.975e-05i
-8.2493e-05+0.0011263i,0.0018049+0.00018077i,0.0030418-0.00141i,0.0022443-0.0016528i,0.0011023-0.00088753i,0.0009436-0.00068667i,0.0011839-0.00039735i,0.0011104-0.00016264i,0.00095884+0.00022338i,0.00027483-0.00014488i,0.00018337-0.00070562i,-0.0005546-0.00030468i,-0.0010484-0.00055198i,-0.00023059-0.00086209i,0.00012244-0.0001656i,-0.00030121+0.00015851i,-0.00084669-0.00014229i,-0.00046945-0.00014024i,0.00029032+0.00015193i,-0.00027405+0.00038043i,-0.0010884+4.9868e-06i,-0.0006915-8.9503e-06i,-0.00013051+0.00040383i
