-0.0018402+0.00021961i,-0.0017832-9.7391e-06i,-0.001406+4.574e-05i,-0.0013294-0.00079964i,-0.0013962-0.001405i,-0.0018146-0.00038763i,-0.0017917+0.0010219i,-0.0014327+0.0019646i,-0.00076539+0.0019768i,0.00039012+0.0016912i,0.0016165+0.0011101i,0.0013437+7.0901e-05i,0.00036903-0.00099253i,-3.9907e-05-0.00096902i,-0.00012044-0.00050678i,9.6153e-05-0.00029361i,0.00046475-0.000139i,0.0004882-0.0004018i,7.1128e-05-0.00044263i,-0.00010837-0.00075826i,-0.00018736-0.0011722i,-0.00011404-0.00059337i,0.00025816-0.00026785i
0.00066015+0.00076725i,-0.00037469+0.00075204i,-0.00074045+5.9055e-06i,-0.00056237-0.0010941i,4.0188e-05-0.001345i,0.00082214-0.00091364i,0.0012329-0.0011735i,0.00027856-0.0013111i,-0.00029382-0.00052465i,-6.5368e-05-0.00013901i,-4.6327e-05-0.00027266i,-0.00039191-0.00035949i,-0.00051235+0.00017436i,-4.089e-05+0.00037955i,-5.8209e-05+0.00016207i,0.00030055+0.00051137i,0.00093907+0.00059616i,0.00097363+1.2724e-05i,0.00023176-0.00016985i,-0.00026695-5.1672e-05i,-6.7464e-05-0.00061391i,0.00058928-0.001092i,0.00079237-0.0011857i
-0.0018982-0.0006167i,-0.0022804+0.00042094i,-0.0017363+0.0017354i,-0.00035002+0.0023232i,3.7654e-05+0.0011689i,0.00026053-0.00018325i,0.00037889-0.00064008i,-0.00066757-0.00072302i,-0.0011369-6.5681e-05i,-0.00037154+0.00068043i,8.6566e-05+0.0010332i,0.00044394+0.00063172i,0.00024313-0.00021388i,4.7242e-05-0.00074138i,-2.9292e-05-0.0006726i,-0.00065563-3.9567e-05i,-0.00017423+0.00056007i,-0.00014714+0.00040051i,-0.00078424-0.00046816i,-0.00093131-0.00072566i,-0.00036724-0.00059628i,0.00041217-0.00018461i,0.00039977+0.00087941i
0.0012564+0.00086644i,0.0008731+0.00012909i,0.00066107-0.00093849i,-7.189e-05-0.00062297i,-0.00075157+0.00066307i,-0.0011955+0.00079372i,-0.0018308-0.00023099i,-0.0013688-0.00026621i,-0.00048926-0.00027634i,0.00064137-0.00047711i,0.0010016+0.00035321i,0.00050261+0.00082812i,0.00040311+0.0010108i,0.00093659+0.00083443i,0.0015078+0.00039828i,0.0008582-2.2074e-06i,0.00015912-0.00018293i,0.00058114-0.00041085i,0.00088041-0.00024981i,0.00019321+0.00049523i,-0.00032829+0.0006104i,0.00079477+0.00061526i,0.00080003+0.0004955i
0.00096682-0.00070487i,0.0019438-0.0020306i,0.0027499-0.0029214i,0.0013635-0.0027303i,0.00051145-0.0024747i,6.3886e-06-0.0014127i,-0.00028646-0.00046427i,0.00010689-0.00031306i,0.00028004+0.0003673i,-0.00015401+0.00017288i,-2.4042e-05-0.00017824i,0.0013269+0.00011483i,0.0013992+0.0003762i,0.0010624+0.00044258i,0.00071488+0.00049728i,-4.0648e-06+0.00050118i,-0.00012442+0.00015146i,9.904e-05+7.3109e-05i,-6.3841e-06+0.00036395i,-0.00018319+0.00030845i,-5.3041e-06+0.00022363i,0.00055126+6.3728e-05i,0.00023948-6.4337e-05i
-0.00031963-0.0013021i,-2.2934e-05-0.0010843i,-0.00024296-0.00076911i,-0.00036926-0.00010835i,-0.00099935+0.00047617i,-0.0010375-1.2034e-05i,-0.0010944+1.0852e-05i,-0.0010165+0.00031871i,-0.00061756+4.9735e-05i,-0.00057646-0.00011088i,-0.00011501+0.00026186i,-0.00019253+0.00020014i,-0.00033603+0.00010453i,0.0005311+0.00034936i,0.00090357-3.5452e-05i,0.0010777-0.00025099i,0.0011968+0.0004609i,0.00048598+0.00015312i,-0.00044265-0.00032726i,-0.00049076-0.00010003i,-0.00029561-0.00020541i,-0.00069716+0.00037797i,-0.00052637+0.00049175i
0.00056934+0.00023131i,0.00012626-0.00026968i,0.00064947-0.0010203i,-3.3964e-05-0.0011029i,-0.00080407-0.0011735i,-0.00029637-0.0013137i,0.00052863-0.0014185i,0.00088414-0.0012166i,0.00036597-0.001167i,0.00011091-0.00083596i,0.00020111+0.00054813i,-0.00012662+0.00074994i,0.00025737+0.00014592i,0.00047474-9.2254e-05i,4.9508e-05+0.00063511i,0.00026133+0.0011629i,0.0013023+5.088e-05i,0.0017069-0.0010457i,0.00066106-0.0011201i,-0.00024646-0.00015543i,-0.00039941+0.00058967i,0.00064178+2.7513e-05i,0.0014158-0.00056131i
0.00084002+0.00030759i,0.00079782+0.00025486i,0.00090907+0.00020156i,0.00049681-0.0001836i,0.0011082-0.00032536i,0.00073412-0.00027867i,-0.00083275+0.00014221i,-0.00025764+0.0007218i,0.00049792+0.00072851i,0.00043183+0.00087944i,0.00045572+0.00075056i,0.00058119+0.00031932i,0.00061161+0.0002325i,0.0006395+0.00038866i,0.0010501+0.00059867i,0.001575+0.00011504i,0.001017+0.00016928i,0.00019093+0.00056541i,2.4063e-05+0.00031128i,0.00064025+0.00047707i,0.00062281+0.00060558i,0.00023598+0.00031589i,-0.00016166+0.00013034i
-0.00054603+0.0010474i,-0.00075972+0.00088824i,-0.00079933+0.0013924i,-0.00063856+0.0015094i,0.00012971+0.0010155i,-0.00022265+0.00020854i,-0.00084047-0.0010192i,-0.00078613-0.00098782i,-0.00056198-0.00048895i,8.2444e-05+2.0918e-06i,0.00027951+0.00078153i,-0.00016594+0.00085679i,-0.00026584+0.00016413i,-0.00022331-0.00022578i,-0.00029854+0.00012887i,0.00031056+0.00083821i,0.00065234+0.000892i,0.00029784+0.00019305i,-0.00045574-0.0004395i,-0.00040829-4.0981e-05i,0.00068408+0.00052206i,0.00070118+0.0001201i,-0.00010332-0.00022881i
0.0024141+0.00069189i,0.002391-0.00077649i,0.002054-0.0008623i,0.0010338-0.00087794i,0.0003728-0.0019724i,0.00016439-0.0019336i,3.6498e-05-0.0003835i,-0.00021822-0.00016239i,-0.00011358-0.0003807i,-0.00016082+6.5443e-06i,0.00026798+0.00017696i,0.00053034+3.8339e-05i,2.0426e-05+0.00046547i,0.00025502+0.0010697i,0.00054856+0.00095869i,0.00070685-7.1353e-05i,0.0011942-0.00033413i,0.0012902-0.00042004i,0.00079324-0.00069586i,0.00058207-0.00030207i,0.00046963+8.7179e-05i,0.00039648-0.00014491i,0.00072059+9.5928e-05i
0.00084174-0.00028603i,0.00042107-0.0010024i,0.00060741-0.0020047i,0.0003219-0.0021898i,-0.00060233-0.0015243i,-0.00021704-0.00086283i,0.00060577-0.00078461i,0.00075891+0.00011043i,0.00049712+0.00040958i,0.00024996-0.00063261i,0.00017445-0.0012276i,-0.00028624-0.0002834i,-0.0002199+0.00049932i,0.00058783+5.5521e-05i,0.0012603-0.00019047i,0.0011218+0.00020634i,0.0006333-0.00013161i,0.00015825-0.00038732i,0.00056067+0.00013417i,0.00087197+0.00023429i,-0.00019946-0.00016172i,-0.00055677+2.0943e-05i,0.00025755+0.00046096i
