-0.00076312+0.00070361i,-0.0020095-0.00040148i,-0.0016896+0.00078094i,9.3818e-05+0.00098256i,0.00012525+0.0007225i,-0.00021853-6.5153e-05i,-0.00027952-0.00032299i,0.00067137+0.00022415i,0.0015303+0.00037189i,0.0014289+0.00089381i,0.00070484+0.00063473i,0.00014647-0.00027062i,-0.00061223-0.00044346i,-0.00031557-0.00039525i,0.00034971+0.00029811i,-2.3417e-05+0.0006285i,6.4545e-05+8.1154e-05i,0.0004565-0.00041727i,0.000187-0.00095543i,0.00034245-0.00061426i,-0.00051486-0.00056194i,-0.00077725-0.00077956i,-1.3304e-07-0.00051534i
0.0007572+0.00019115i,-0.00012655-0.00061773i,-0.0024423-0.00033052i,-0.0029378+0.00043459i,-0.0015887+0.00051451i,-0.00010551+0.00049985i,0.00024636+1.7871e-05i,-2.3316e-05-0.00066027i,-8.3036e-05-0.00083168i,-0.00046572-0.00037467i,-0.00015796+0.00016506i,0.00059288-0.00021047i,0.00023295-0.0013993i,-0.00063935-0.0013348i,-0.00072365-0.00069612i,4.8314e-05+0.00010688i,0.00065566+2.0758e-05i,0.00077602-0.00015967i,0.001017+0.0004779i,0.0011226+0.00015101i,0.00062413-0.00034093i,0.00060548-0.00015574i,0.00079363+8.6882e-05i
0.00064346-0.0041315i,-0.0003745-0.0035811i,-0.002235-0.0019734i,-0.0026761+0.00044926i,-0.0019382+0.0015848i,-0.00082955+0.0017638i,0.0002691+0.0011678i,0.00030748+0.00021696i,0.00011973+0.00017741i,4.9617e-05+0.00040181i,-0.0005757+0.00072051i,-0.0001466+0.00080687i,2.6699e-05+0.00054217i,-0.00014881+0.0007556i,0.00014178+0.0013573i,3.0195e-05+0.00035514i,-1.0502e-06-0.00089269i,0.0006228-0.00062189i,0.0011095+0.00032782i,0.0010115+0.00036136i,0.00020268-0.00015777i,0.00034699-0.00057237i,0.0010714-0.00068504i
0.00030111+0.00090191i,0.00040764+0.00065025i,0.00054596-3.1445e-05i,0.00058134-0.00052002i,0.00088832-0.00060886i,0.00035758-0.00095548i,-9.1888e-05-0.00083285i,0.00015251-0.00044287i,0.00041193-0.00050143i,-0.00011432-0.00038711i,-0.00090087-8.2876e-05i,-0.00074725-0.00022487i,0.00030578-0.00013052i,9.2188e-05+0.00021552i,-0.0013121-0.00015285i,-0.0013909-0.00033912i,-0.00075303+0.0003506i,-0.00069202+0.00089734i,-0.00042263+0.0010836i,-0.00011674+0.0010926i,2.2859e-05+0.0005241i,2.5909e-05+0.00028422i,-0.00025695+0.00016562i
0.00089898+0.00032765i,-0.0007344-2.7018e-06i,-0.00082825+0.00041509i,-0.00031568+0.00068532i,5.2048e-05+0.00016558i,0.00061971-0.00057801i,0.0012207-0.0010874i,0.00128-6.2498e-05i,0.00020853+0.00091814i,-0.00028318+0.00075143i,-0.00012199+0.00032853i,-6.3876e-05-0.00012773i,0.00015447+0.00025947i,0.00015882+0.00035592i,0.00012796+1.6423e-05i,-0.00012867-0.0001728i,-0.00034147-0.00056322i,9.6565e-05-0.0009323i,0.00047155-0.00034428i,0.0009144-3.6112e-05i,0.00068251-0.00034868i,-0.00037564-0.00026585i,-0.00052107-0.00058141i
-0.00087144-0.00082479i,-0.00063934-0.00147i,-0.00098765-0.0018619i,-0.00051342-0.001775i,-0.00023675-0.00018718i,-0.00041304-0.00021662i,0.00023744-0.00084072i,0.00025651-0.00030075i,-0.00015376-0.00022668i,0.00061033-0.0003657i,0.00050449-9.7378e-05i,-0.00055453-0.00033508i,-0.00080638-0.00079443i,-7.2135e-05-0.0002116i,0.0003429+0.00066277i,-3.2164e-05-0.00012097i,-0.00035968-0.0011493i,0.00014075-0.00080574i,0.00060876-0.00082187i,0.00038242-0.0010792i,0.00036769-0.00093654i,5.855e-05-0.0012768i,-0.00026255-0.00053795i
-0.00082719-0.0021847i,-0.0019103-0.0029799i,-0.0022079-0.0017263i,-0.0016089-0.00028986i,-0.00080103-0.0009128i,-0.00020371-0.0020078i,0.00091688-0.0014874i,0.001052-0.00056752i,0.00019217-0.00012916i,-0.00089328-0.00020005i,-0.0013841-0.00081326i,-0.00084656-0.00058055i,-5.7978e-05-0.00031849i,7.0272e-05+0.00019115i,0.0003549+0.00076717i,0.00027052+0.00033512i,-1.9838e-05+0.00020719i,-0.00039966+0.00020729i,0.00067513-0.00015032i,0.0014228-0.00017892i,-0.00019931-3.1343e-05i,-0.00048855+0.00022371i,9.4049e-05+0.00011548i
-0.00021555+0.00030412i,-0.00040224+1.7835e-06i,-0.00054893-0.00021327i,-0.0010867+0.00010263i,-0.00025446+0.00049911i,0.00061573+0.00038124i,0.00061313-0.00038911i,0.00042933-0.00062116i,-0.00043868-0.00017658i,-0.0006414+0.00056453i,-0.00057659+0.00062398i,-0.0011746-4.8745e-05i,-0.0014782+8.7724e-05i,-0.00091314+0.00028097i,-0.00063758-0.00037797i,-0.00079291-0.0003543i,-4.3924e-05+0.00011338i,0.00076399+0.00062766i,0.00096692+0.00041956i,0.00060856-1.8274e-05i,-8.8479e-05+0.00034539i,-5.0596e-05+0.00044611i,0.00038712-0.00049404i
-0.00254-0.0003864i,-0.0023347-0.00031979i,-0.0021192-0.0005829i,-0.0010994-0.00027954i,-0.00045436+0.00053171i,-0.00055096+0.00013833i,3.0546e-05-0.00032732i,0.00069666-0.0002268i,0.0012439-0.00025399i,0.00079475-1.6285e-05i,0.00011939+0.0003578i,0.00013744-7.353e-05i,-0.00029453+0.00027503i,-0.0014311+0.00058666i,-0.0011312+0.00021223i,0.00022183+0.00034206i,0.00057481+0.0003207i,0.00026076-0.00030496i,0.00021933-0.00021243i,0.00047985-0.00018902i,0.0008164-0.00080027i,0.00058669-0.00063681i,-8.9386e-06+0.000659i
-0.00034533+0.00036812i,-0.00012819+0.00058822i,-0.0011582-0.00018633i,-0.00097823+0.00019122i,-0.00044113+0.00030771i,-0.00063135-1.9674e-05i,4.0092e-05-0.00056779i,0.00054378-0.00069732i,0.00024678-0.00068687i,-0.00014645-0.00052317i,-0.00050605-0.00024802i,-0.00064398-0.00047647i,-0.00045155-0.0007311i,-0.00030973-0.00071359i,0.00017106-0.00042071i,0.00028613-0.00017956i,0.0007361-0.00024242i,0.00032452+0.0001406i,-8.0727e-05+0.00057289i,-0.00031506+4.8718e-05i,-0.0011672-0.00025457i,-0.0011395+0.00025301i,-0.00030576+0.00089205i
0.00014898-0.00063517i,-0.00033148-0.0012528i,-0.00093189-0.0015016i,-0.0013836-0.00091657i,-0.0015979-0.00050069i,-0.0012149-0.0016285i,-0.00060863-0.0018242i,9.508e-05-0.0010945i,0.00041442-0.0010208i,-0.00013228-0.0011014i,-0.00057369-0.00061329i,-0.00090737-0.00042033i,-0.0006606-0.00030257i,0.00016488-0.00068739i,0.00014868-0.00074689i,-0.00023603-0.00010053i,0.00035387+0.00041842i,0.00064732+0.00057077i,7.8081e-05+0.00036144i,-0.00076239+0.00037112i,-0.0012181+0.00062128i,-0.00043707+0.0010246i,-3.9198e-05+0.00089573i
-0.0010204-0.00086617i,-0.0012953-0.00045494i,-0.0017306+0.00075246i,-0.0013945+0.0013104i,-0.00090278+0.0005399i,0.0004671-0.00093272i,0.00084499-0.00096333i,0.00054281-0.0002782i,0.00044651+0.00013174i,-5.5457e-05+0.00022057i,0.0001902-0.00046548i,0.00059976-0.00056896i,0.00053982+0.0001081i,0.00016508+0.00050142i,0.00013199+0.00026786i,-0.00013593-0.00045921i,-0.0002826-0.00039012i,1.3126e-05+0.00065903i,-7.4357e-06+0.00066236i,-0.00011869+0.000162i,8.1063e-05+0.00042611i,0.00062959+0.00058579i,0.0006552+0.00068984i
-0.00099356+1.0446e-05i,-0.0016533-0.000787i,-0.0021332+8.5369e-06i,-0.0011956+0.00040145i,0.00029326-0.00061553i,0.00097949-0.0021476i,0.00080496-0.0024796i,0.00047358-0.0016035i,0.00027421+3.9032e-06i,0.00034783+0.0010919i,0.00034243+0.00077742i,-0.00027078-0.00023964i,-0.00088255-0.00052957i,-0.00044481+1.4039e-06i,0.00029691+0.00033545i,0.00054796+0.00068997i,0.00090927+0.00071756i,0.000564+0.00025843i,0.00017793-0.00018406i,5.8515e-05-0.00046076i,9.0336e-05-3.4883e-05i,0.00019094-2.2605e-07i,-0.00032871-0.0003122i
