-0.0033158+0.00050816i,-0.0030508+0.00077141i,-0.0025555+0.0021421i,-0.0014311+0.0028111i,-0.0005691+0.0035521i,3.9283e-05+0.0036927i,0.0011112+0.0021632i,0.0016283+0.0010721i,0.00077105+0.0015761i,0.00058824+0.00096676i,0.001083-0.00038568i,0.0010863-0.0013601i,0.00039581-0.0018671i,-0.00085699-0.0015207i,-0.0010154-0.00043816i,-0.00058922-0.00032527i,-0.0001887-0.00061172i,0.00089653-0.00041138i,0.0010675-0.00018587i,0.0006771+8.8601e-05i,9.9358e-05+1.0598e-05i,-0.00017892-0.00019676i,0.00054333-0.00031846i
0.0035496-7.4986e-05i,0.0029963-0.00091615i,0.0011911-0.0022314i,0.00010024-0.0023816i,0.00021594-0.0014612i,-0.00040859-0.000281i,-0.0012781+0.00033157i,-0.00053865+0.00089111i,0.00035796+0.00080493i,0.00029105-2.9303e-05i,-0.00026772-7.8177e-05i,-0.00085148+0.00022096i,-0.00077151+0.00026587i,-9.4297e-05+2.4179e-05i,0.00048959-0.00024627i,0.00075867-2.1966e-05i,0.00074048+8.2828e-05i,7.7655e-05-0.00039367i,-0.0001539-0.00066797i,-0.00033201-0.00030562i,-5.699e-05+3.1228e-05i,0.00063784+0.00051991i,0.00069171+0.00082658i
-0.00033805+0.0017846i,-0.00044142+0.002024i,0.00034755+0.0021068i,0.0011301+0.0012399i,0.00071702-0.0003653i,-0.00025135-0.00052698i,0.00016199-1.5985e-05i,6.401e-05+0.00013349i,6.7692e-05+0.00011747i,0.00023384-1.7871e-05i,0.00024941-7.2755e-05i,0.00052181+0.00039608i,2.3016e-05+0.00084755i,-0.00019653+0.00081197i,-6.515e-06+0.00023866i,-0.00034304-0.00034425i,-0.00026093-0.00015248i,0.00031135-0.0004814i,0.00094095-0.00082977i,-1.3221e-05-0.00032087i,-0.00090208+0.00011121i,-0.00051689+0.00031137i,-0.00015777+0.00023016i
0.0017238-0.00084652i,0.0012926-5.6216e-05i,0.00040688-0.00019697i,-0.000766+9.9427e-05i,-0.0009628+0.0011771i,-0.00014562+0.0015279i,0.00046815+0.00073531i,0.00052536+0.00039708i,4.5755e-05+0.00048533i,-0.00058824+0.00019896i,-0.00062967+0.00027463i,0.00028418+0.00077958i,0.0010909+0.00077928i,0.00097399+0.00076399i,0.00049327+3.2489e-05i,0.00044407-0.00061339i,0.00050518+0.00026419i,-0.00027635+0.0004415i,-0.001533+7.3048e-05i,-0.0012809+0.0001405i,1.9451e-05+0.00038892i,0.00025846+0.0001355i,-0.00032547-5.1538e-05i
0.00069864+0.0015529i,0.00030829+0.0013343i,0.001561+0.00076974i,0.0024366-0.00042071i,0.0010587-0.00094234i,6.0113e-05-0.00045386i,-0.00017864+0.00020455i,-0.00029429+0.00055838i,0.00022916+0.00027094i,0.00072508+5.7992e-05i,0.0002389+7.8041e-05i,3.6786e-06+0.00014671i,0.00061429+0.00087032i,0.00094316+0.0011242i,-8.7407e-05+0.00047539i,-0.00034305+0.00022878i,0.00023441+1.4184e-05i,0.00041906-0.00028849i,0.00050106+6.7294e-05i,0.0007519+0.00098376i,0.00026298+0.00078114i,-1.5935e-05-0.00033889i,0.0010105-0.00045379i
0.0005146+0.0013538i,0.0006354+0.0013887i,9.1135e-05+0.001152i,-0.00080026+0.00065018i,-0.00014147+0.00020433i,0.0007655+0.00056694i,-2.8204e-05+0.00025569i,-0.00023638-0.00017872i,0.00020438+0.00043063i,0.00028013+0.00032782i,8.0103e-05-6.8168e-05i,0.00029891-0.00025445i,0.00077118-0.00061237i,0.0013473-0.00073987i,0.001623+0.00032653i,0.00025887+0.0008825i,-0.00068408-0.00038136i,-0.00066092-0.0010619i,-0.00035332-0.00069617i,-0.00049264-0.00020234i,-0.000485+0.00032539i,7.4435e-05-2.4217e-05i,0.00020704-0.00057558i
0.00050347-0.0015923i,-0.00011054-0.0017221i,0.00067564-0.0012734i,0.001069-0.00094458i,0.00049456-0.0010918i,0.00048479-0.00060444i,0.0008512-0.00022088i,0.00010249-0.0003531i,-0.00029801-0.00018718i,-0.00032747+0.00018362i,-0.00090648+0.00035753i,-0.00098245-0.00023687i,-0.00038314-0.0011843i,0.00024706-0.0011555i,0.00013861+0.00021263i,-0.00023249+0.00089278i,7.203e-06+0.0010922i,0.00052617+0.00088357i,0.00049484+0.00018694i,1.6639e-05-0.00028491i,-0.00048134-0.00059363i,1.4098e-05-8.281e-06i,0.0001314+0.00084687i
0.00090281+0.0011531i,0.00034971+0.0015782i,0.00058878+0.0020267i,0.0012709+0.0010437i,0.001323-0.0005649i,0.0010677-0.00093512i,0.00038235-0.0007079i,-0.00078141-0.0007673i,-0.00053572-0.00089841i,0.00016548-0.00023478i,-2.2808e-05-0.00014445i,-0.00023908-0.00056943i,-9.9688e-05-0.00076676i,0.00014409-0.00092454i,-0.00029347-0.00067167i,-0.00061333-0.00018865i,-0.00073366+0.00021839i,-0.00052738+0.00031627i,7.3786e-05+0.0002158i,-0.00012286+8.3529e-06i,-0.00033991+0.00038773i,1.5546e-05+0.00041674i,1.6053e-05-8.4647e-05i
0.00024863+0.0011288i,-9.144e-05+0.00046752i,1.2279e-05+7.3883e-05i,0.00043337-0.0002566i,0.00012828-0.00065658i,-0.00023197-0.00060008i,-0.00052994-0.00084467i,-0.00013462-0.00033842i,0.00021812+0.0010499i,-0.00033934+0.00086859i,-0.00045021+0.00023461i,-0.00025477-0.00022906i,-0.0004529-0.00011025i,-0.00071246-9.3707e-05i,-0.00060013-5.9555e-05i,-8.4111e-05+0.00025785i,0.00048362-9.6967e-05i,0.0002699-0.0005115i,-0.00026327-0.00043336i,0.00022646-0.00026056i,0.00092523-9.1145e-05i,0.00064499-0.00017188i,0.00031348-4.0987e-06i
0.00016079+0.00117i,-0.00013884+0.00065526i,-0.00060604-8.0413e-05i,-3.4886e-05-0.0005245i,0.00044687-0.00041076i,0.00061838-0.00058023i,0.00067609-0.00032557i,-0.00066234+4.984e-05i,-0.00079459-0.00049491i,-0.00022268-0.00053431i,-0.00045791+0.00010199i,0.00017827+0.00032834i,0.00082524+0.00052736i,0.00033596+0.00026324i,-0.00091389-2.8329e-05i,-0.00087759+0.00010478i,-0.00052845+0.00021563i,-5.4653e-05-0.00053912i,0.00068543-0.00049041i,0.00044318+0.00066566i,2.1412e-05+0.0010382i,-0.00030663+0.00037466i,-0.00034736-2.7301e-05i
0.00042315+0.00047413i,-0.00068589+0.0010248i,-0.00020487+0.00082107i,0.00084638+0.00029641i,0.00095524-0.00053619i,0.0013317-0.00074387i,0.001332-0.00038464i,0.0007842-0.00080085i,0.00034742-0.0011715i,5.1206e-07-0.00023938i,-0.00027998+0.00078167i,0.00016485+0.00077713i,0.00040324+8.4385e-05i,0.00072834-0.00026878i,0.0013895+0.00020521i,0.00099727+0.0006888i,-0.00030722+0.00063842i,-0.00078109+0.00049122i,-0.00019565+0.00021989i,0.00010917+3.5959e-05i,0.00018072-0.00057419i,0.00070182-0.00034299i,0.00077186-0.00018192i
-0.00065503+0.0013946i,3.1426e-05+0.0015464i,-0.00046209+0.0013336i,-0.00049162+0.00042116i,0.00044549-0.00055217i,0.00075293-0.00099598i,0.00017777-0.0012015i,3.7952e-05-0.00056437i,-0.00043579-0.0002174i,-0.00059251-0.00025319i,-0.00045291+7.6452e-05i,-0.00052349-2.3672e-05i,-0.00040036+0.0002922i,-0.00047968+0.00029991i,-0.00034464+0.00039753i,0.00086442+0.0006349i,0.00078677+0.0003464i,-0.00052516+0.00069427i,-0.00056601+0.00036366i,1.1708e-06+2.196e-05i,-0.00024733+0.00049712i,0.00010243+6.4497e-05i,0.00024108-0.00063429i
