-0.0019301+0.00036231i,-0.00096951-3.1436e-05i,-0.0025511+5.6541e-05i,-0.0027465+0.0002983i,-0.0017197+0.001566i,-0.0012336+0.0036932i,-0.00074838+0.0043665i,0.0002741+0.0035153i,0.0015332+0.0020843i,0.0016861+0.0005407i,0.0012428-0.00056128i,0.0014475-0.00081473i,0.0015034-0.00074162i,0.0010172-0.00055542i,4.2485e-05+0.00024676i,-0.0006826+0.00026329i,-0.00054005-0.00016869i,0.00024418-0.00023506i,0.00050578+0.00017247i,2.4693e-05+0.00039739i,-0.00042593+0.00016998i,-0.00059647+0.00016986i,-0.00052123+0.00031358i
-0.0028606+0.00042342i,-0.0026192+0.0013553i,-0.00055942+0.0021568i,-8.8421e-05+0.0028891i,-5.526e-05+0.0026684i,1.4066e-05+0.0018511i,-9.8943e-05+0.0012834i,-0.00032224+0.0012224i,-0.0009063+0.00072465i,-0.0010499-3.5129e-05i,-0.00027373+0.00012644i,0.00090922+0.00021424i,0.0012966-0.00026067i,0.00075971-0.00030149i,-0.00017044-6.5743e-05i,-0.0010468+0.00025528i,-0.00090143+0.00031415i,-0.00054131+0.00015313i,-0.00043234-0.0003366i,-0.00024042-0.00022638i,0.00045061+0.00011372i,0.0012859+0.00015555i,0.00052427+0.00048218i
-0.00055186-0.00046276i,0.00041662+1.9661e-05i,0.00044958-0.00066357i,5.1311e-05-0.0011388i,0.00031927-0.00027672i,0.00035719+0.00046325i,0.00018014+0.00061403i,-0.00023506+0.00036223i,-0.00020726+0.00020089i,0.00016322+0.00065973i,0.00027872+0.00079864i,0.000163+0.00033637i,-0.00049436-0.0004164i,2.2658e-05-0.00051884i,0.00098362+1.7193e-05i,0.0010661+0.0003586i,0.00053941+0.00027787i,0.00039075-0.00035961i,0.00087575-0.00078306i,0.00054367-0.001102i,-0.00010872-0.00076957i,0.00034651-7.993e-05i,0.00061782-0.00016554i
-0.0028714+0.0016772i,-0.0017283+0.0025765i,-0.00088246+0.0029417i,-0.00069044+0.002348i,-0.00010211+0.0006109i,0.0003814-0.00022837i,0.00028338+0.00054909i,0.00023793+0.00024756i,0.00035159-5.7312e-05i,-2.1966e-05+0.00055857i,-0.00024678+0.00044985i,-0.00027235-0.00022869i,-0.00011826-0.00059262i,-0.00026915-0.0001842i,3.1795e-05+0.00019773i,0.00054689+0.0005772i,0.00048298+0.0011124i,0.0006244+0.00057149i,0.00047645+0.00010151i,-0.00010216+0.00017637i,-0.00018053+0.0003876i,9.7628e-05+0.00047512i,-0.00015876+1.5452e-05i
-0.000421+0.0017196i,0.0010909+0.00098229i,0.0025741+0.00037405i,0.0020026+0.0013188i,0.00078291+0.002559i,0.0002626+0.0021609i,8.9408e-05+0.0017467i,-0.00021164+0.0018922i,-0.00041786+0.0017921i,-2.849e-05+0.001455i,0.00010473+0.00087841i,0.00034239+0.00037425i,0.00068452-0.00036877i,0.00085717-0.0012546i,0.00049071-0.00096768i,-0.00015544-0.00022364i,-1.7738e-05-0.0005656i,0.00088534-0.0011857i,0.00079447-0.0010461i,-4.6345e-05-0.00090825i,0.00027247-0.00073301i,0.00053561-7.2512e-05i,2.5851e-05-0.00035945i
-0.00021111+0.0011011i,0.00040326+0.0016674i,0.0010774+0.0017744i,-0.00020565+0.00056046i,-0.0012712-0.00044969i,-0.00071565+0.00019479i,-0.00024296+0.00074467i,1.4562e-05+1.5827e-05i,-7.9012e-05-0.00039607i,0.00028361+0.00062929i,0.0008887+0.0013338i,0.00062676+0.00039762i,0.00042688+0.00036022i,0.00023483+0.0011795i,0.0004025+0.00092225i,0.00061081-2.0545e-06i,0.00026821-0.00014498i,-0.00038134-0.00033244i,-0.00060311-0.000783i,-0.00055131-0.00097576i,-0.00042076-0.00085745i,1.1788e-05-0.00030944i,0.00017363-0.00028141i
-0.002237+0.00035053i,-0.0029046+0.00084707i,-0.0022444+0.0010043i,-0.0016862+0.0014062i,-0.00062891+0.0017798i,0.00058632+0.0017451i,0.0004406+0.0017167i,0.00011393+0.0015157i,-0.00011856+0.00077579i,-0.00022974-1.527e-05i,0.00029535+3.735e-05i,0.00039579+0.00025928i,0.00018543-2.9516e-05i,0.00020106-0.00047457i,0.00034774-0.00068919i,-8.7452e-05-0.00053773i,-0.00011189+6.1509e-05i,0.00025531+0.00019556i,0.00018992+0.00024969i,3.7558e-05+0.00055894i,1.7563e-05-0.00013645i,-0.00018124-0.00054688i,-0.00023209-0.00014944i
0.00060695+0.00042085i,0.0012112+0.00086973i,0.0012058+0.00074507i,0.00055663+0.00036074i,-0.00034133+0.00019079i,-0.00090583+0.00040149i,-0.00057688+0.000945i,-0.00055916+0.00109i,-0.00058424+0.00032659i,-0.00011625-0.00030606i,0.00029858+4.1127e-05i,0.0009609-0.00013139i,0.0011958+0.00046911i,0.00086704+0.0013425i,0.001047+0.0010122i,0.00095396+0.00039227i,0.00046703-0.00092297i,0.00067422-0.00033187i,0.00037388+0.0006209i,-0.00046728-0.00027492i,-0.00016657-0.0010743i,0.00044344-0.00063244i,0.00044771+0.00051863i
0.00043964-0.00012088i,0.00066663-0.00049839i,5.0498e-05-0.00067152i,-0.00031168-0.0014768i,-8.1143e-06-0.0014192i,-0.00023808+0.00047286i,-0.00061478+0.00097356i,-0.00022663+0.00018484i,0.00054311+0.00016058i,0.00041058+0.00051342i,-0.0003893+2.1114e-05i,-0.00052379-0.00036453i,-7.4649e-05-0.00026053i,-0.00016627+1.921e-05i,-0.00060262+0.00028919i,-0.00060108+0.00031984i,-0.00043812+0.00048294i,-0.00015977+0.0003398i,-0.00019082+0.00025393i,-0.00029852-0.00019741i,0.00043127-0.00054474i,0.0011052-0.00033142i,0.00063513-0.00050865i
0.00017021+0.0036408i,0.0015254+0.0034691i,0.0022262+0.0013514i,0.00171+0.00034895i,0.00073457+0.00018498i,0.00029616-0.00041552i,-0.0001565+0.00040244i,-0.00050374+0.0006893i,0.00016527+0.00067756i,0.00082542+0.00078147i,0.00043787+0.00068275i,-0.00056771+0.00039175i,-0.0011996-0.00048292i,-0.00045252-0.00055415i,0.00016823+0.00033916i,0.00015833+0.0011261i,4.762e-06+0.0011162i,-0.00037395+0.00070727i,0.00040019+0.00044307i,0.00041517-0.00018401i,-0.00044183-0.00044792i,-0.00044772-4.9077e-05i,-0.00016228-0.00018809i
-0.0010462+0.00043298i,0.00066574+4.7884e-05i,0.00084935+0.00075407i,0.00048805+0.0014437i,-8.582e-05+0.001442i,-0.0007965+0.0013293i,-8.9525e-05+0.0011254i,0.0010613+0.0010378i,0.00054313+0.0012441i,-8.0912e-06+0.0013078i,0.00050069+0.001062i,0.00052226+0.00022976i,0.00065757-0.00010528i,0.00059006+0.00011336i,0.00045461-0.00042845i,0.00057502-0.00080095i,0.00017424-0.00056219i,-0.00029744-0.0004668i,-0.00063354-0.00074601i,-0.0004629-0.00091549i,-0.00059186-0.00088647i,-0.00062762-0.00033302i,-0.00041749-0.00022827i
-0.00036103+0.0018092i,-0.00024379+0.0016029i,0.00062244+0.0005365i,-9.1108e-05+0.0005115i,-0.0016272+0.0012482i,-0.0017621+0.0011306i,-0.0016313+0.0012242i,-0.0017288+0.0014305i,-0.0014435+0.0010457i,0.00012229+0.0005732i,0.00061547+8.4709e-05i,0.00018634-0.00012827i,0.0008634+0.00011294i,0.0015282+0.00058279i,0.0011874+0.00073219i,7.5714e-05-0.00017737i,0.00021606-0.00030312i,0.0007247+8.2084e-05i,0.0001507+0.00013136i,0.00032615+0.00027975i,0.00032165+0.00051686i,8.4113e-05+0.00039908i,0.00022554+0.00019198i
0.00097239-7.9433e-05i,0.00075375-0.00064484i,0.00016459+0.00045592i,-0.00023227+0.0017337i,-0.00052352+0.0016247i,0.00023987+0.0010126i,0.0011698+0.00061004i,0.0011062+5.1522e-05i,0.0003291-0.00025581i,1.8688e-05-1.6766e-05i,0.00046814+2.5613e-05i,0.00068964+0.00031647i,0.00036635+0.00042228i,-0.00018136+0.000294i,-0.00059652-0.00028925i,-0.00034794-0.00037984i,-0.00034214-0.00064132i,-0.00057301-0.0011997i,-0.00034823-0.00073264i,-2.8233e-05-8.141e-05i,0.00013778+0.00049257i,-3.8226e-05+0.00085299i,-0.00042143+0.00098706i
0.00077664+0.00070832i,0.00098634-0.00044674i,0.00057494-0.00038726i,-8.7935e-05+2.3286e-05i,-4.2985e-05+0.00011924i,5.2622e-05+0.0010656i,-4.6003e-05+0.001524i,0.00045598+0.00083435i,0.00042042-1.1334e-06i,-0.00020852+0.00038355i,-7.9708e-05+0.00070215i,0.00083604-1.7093e-05i,0.00062963-0.00081838i,-0.00018939-0.00063764i,1.6708e-07+0.00076282i,-0.00028286+0.00036844i,-0.0011362-0.00058379i,-0.00081088-0.00042999i,-7.8919e-05-0.0010045i,-0.00031515-0.0011725i,-0.0002767-0.00028512i,0.00018341+0.00018348i,0.00027104+0.00013232i
-0.00023799-0.00015135i,-0.00089966-0.00025809i,-0.0010961+8.4311e-06i,-0.00089314+0.00033732i,-0.00025343+0.0013196i,-4.4103e-05+0.0018463i,-0.00037083+0.0016036i,-0.00077271+0.00090877i,-0.00074138+0.00055253i,-0.00055489+0.0001218i,-8.8364e-05-0.0004692i,0.00023994-3.0421e-05i,-0.00027156+0.00037289i,-0.00013765+0.00021611i,0.00032213-9.0394e-05i,0.00016582-0.0002114i,-8.6188e-05+0.00016321i,0.00012156+6.7287e-05i,0.00020713-6.0561e-05i,7.3225e-05+0.00028923i,-8.4425e-05+0.00068914i,-9.5276e-05+0.0011008i,9.2878e-05+0.00099824i
0.00058779-0.00022795i,0.0016314+0.00060597i,0.0020848+0.00011787i,0.0017421+4.3699e-05i,0.0014008+0.00059922i,0.00088114+0.0011685i,0.00017011+0.0011335i,4.0496e-06+0.00050755i,0.00034363+0.00025496i,0.00085408+5.8164e-05i,0.001365+0.00018887i,0.00090331+0.00026637i,-0.00023979+0.00088991i,-0.00060828+0.0013975i,0.00017776+0.00086042i,0.000949-0.00044736i,0.00071948-0.00072034i,-3.2181e-06-4.2178e-05i,-0.00058836-2.2026e-06i,-0.00042053-0.0004011i,-0.00017474-0.00042218i,-0.00016202-0.00039992i,-0.00025804-0.00022711i
-0.0012885-0.00074265i,-0.0025275-0.0011745i,-0.0029641-0.00094637i,-0.002931-0.00075547i,-0.0017411-0.00016399i,-0.00016864+0.00089302i,-0.00032895+0.001165i,-0.00066492+0.0009942i,-0.00066478+0.00038991i,-0.00090027-0.00033891i,-0.00021414-0.00043842i,0.00060523-0.00010722i,0.0009421-0.00028238i,0.00091735-0.00094841i,0.00093101-0.00096565i,-0.000311-0.00075015i,-0.00091685+0.00021162i,0.00017+4.6759e-05i,1.2863e-05-0.0010577i,1.9319e-06-0.0010945i,0.00037023-0.00070223i,0.00085436-0.00039104i,0.00087245+0.00016155i
0.0014646+0.0025762i,0.0018889+0.0017851i,0.0026524-6.4667e-05i,0.0019974-0.00087592i,0.00076359-9.3069e-05i,6.0902e-05+0.00075777i,-0.00065752+0.0010204i,-0.00034385+0.00067981i,0.00050163+0.0002461i,-0.00011314+0.00014866i,-0.00053666+0.00014869i,0.00014644+3.796e-05i,0.00060821-0.00019836i,0.00075867-7.6184e-05i,0.00062407-8.2787e-05i,9.4526e-05+0.00030423i,-0.00032615+0.00071346i,-0.00021793+0.0005869i,-0.00024867+0.00040365i,-0.00014818+0.0004708i,-2.4341e-05+7.6665e-05i,9.8838e-07-0.0010146i,3.8256e-05-0.00093276i
-0.00091205-0.0010123i,-0.0019233+0.00025538i,-0.0026423+0.00040953i,-0.0018243+0.00081707i,-0.00070513+0.0015612i,-0.00087784+0.0012307i,-0.00062375+0.00083307i,-0.00025498+5.895e-05i,-0.00058027-0.00045486i,-0.00017623+0.00078887i,0.00073098+0.0018098i,0.0011761+0.0010035i,0.00030666+0.0007198i,-0.00030844+0.00048727i,-0.00023124+0.00036642i,-0.00021748+0.00042585i,-0.00029704+0.00027085i,-0.00052126+4.5087e-05i,-0.00066629+0.00012278i,-0.00026493-0.00043151i,0.00010351-0.00086084i,0.00083884-0.00048468i,0.0013688-0.00013979i
-0.00085995+8.9988e-05i,-0.00051966+0.00034247i,-0.0010065+0.00042488i,-0.0014045+0.0012061i,-0.001206+0.0019686i,-1.3262e-05+0.0028068i,0.0002189+0.0017877i,-0.00010849+0.0005746i,-0.00034145+0.00037419i,-0.001381+0.00042721i,-0.0010354+0.00012118i,-0.00022832-0.00019535i,-0.00043395+0.0001086i,4.3422e-05+0.00079593i,0.00070112+0.00075099i,0.00025789+0.0003256i,0.0004515-3.4865e-05i,0.0004891+0.00011927i,2.7135e-05+0.0003926i,-0.0003991+0.00018393i,-8.5425e-05-0.00061874i,0.00013077-0.0010561i,-5.978e-05-0.00030823i
9.6422e-05+0.0012982i,0.00057868+0.0019464i,0.00032212+0.0021769i,0.00045753+0.0018572i,0.00051729+0.002136i,0.00011612+0.0017357i,2.1786e-05+0.00099807i,0.00089405+0.00098201i,0.00121+0.00093985i,0.00060686+0.0013239i,0.00070221+0.0014454i,0.00069756+0.00013974i,0.00042107-0.00060568i,0.00038596-8.1137e-05i,-0.00011576+0.00089844i,6.4301e-05+0.00069602i,0.0014215+0.00049164i,0.0015322+0.0010545i,0.00096803+0.00060533i,0.00056251+3.9223e-05i,0.00029189-5.9547e-05i,0.00043714+0.00033344i,3.7274e-05+0.00026278i
0.0010881-0.0015288i,0.00085573-0.0020268i,0.00022751-0.0018327i,-0.0005019-0.0012957i,-0.0013836-0.00048188i,-0.0018876+0.00041202i,-0.00082234+0.00069953i,-0.00095349+0.00094742i,-0.0012139+0.00091662i,-0.001177+0.00077806i,-0.00072938+0.0003935i,-8.6187e-05+0.00039174i,-0.00054652+0.00012503i,-0.0002785+6.9708e-05i,0.00016378+0.00030377i,0.00013788+0.00014632i,0.00035575-3.2283e-05i,-8.4906e-05+7.4154e-05i,-0.00044569+0.00058182i,-0.00040981+0.00031042i,-0.00020383-0.0003405i,0.00021686-4.7543e-05i,0.00079777-0.00028143i
1.8797e-05+0.0017515i,-0.00054416+0.0014827i,-0.00012648+0.0012486i,0.00013549+0.0010565i,-0.00035867+0.00096104i,-0.00027025+0.0010137i,0.00014282+0.0012253i,0.00024736+0.00069997i,6.129e-05+0.00030433i,-0.00036639+0.00072919i,-4.503e-05+0.00028688i,0.00015407-0.00086733i,-9.4503e-05-0.0014896i,7.678e-05-0.0013286i,-0.00015219-0.0010245i,-0.0002541-0.00031562i,-0.00028674-8.129e-05i,-6.1801e-05-0.00044302i,2.1682e-06-0.00021841i,-0.00026487+0.00017236i,-0.00067583-0.00041227i,-0.0004668-0.00090688i,-0.00027463-0.00090807i
0.0018997+0.0013364i,0.0027199+0.0019089i,0.0024394+0.00067728i,0.0011438-0.00090004i,0.00044057-0.00065564i,0.0005441+0.0013089i,0.00014698+0.0021567i,-0.00054643+0.0012188i,0.00010832+0.00028782i,0.0014102-0.0005901i,0.0017241-0.00091552i,0.0010803-0.00076328i,0.00018401-0.0010939i,-0.00067913-0.00080302i,-0.0010939-0.00033778i,-0.00050399-0.00054396i,-0.00019604-0.00071594i,-0.00032913-0.00099798i,0.00029973-0.00090204i,0.00064088-0.00021464i,0.00035729-0.00077935i,-0.00020059-0.00061477i,-0.00043321+0.00061313i
-4.215e-05+0.001284i,-0.0002832+0.00041305i,0.00087565-0.00012719i,0.0014021-0.00027531i,0.00030337-0.00039474i,-0.00041216+0.00033997i,-0.00024658+0.0010564i,-0.00024956+0.00072242i,9.6864e-05+0.00037399i,0.00046846+0.00081639i,0.00046898+0.00074454i,0.00012107+0.00049224i,3.457e-05-0.00010385i,0.00019993-8.2731e-05i,0.00023485+7.733e-05i,7.7776e-05+0.00013072i,-4.1067e-05-5.4074e-05i,-0.00014201+0.00010167i,0.00014824+0.00049239i,0.00014974+0.00074021i,0.00030966+0.00066683i,-0.00056729+0.0005321i,-0.0012729+0.00052043i
0.0027472+0.00078182i,0.0033147+0.0012213i,0.0014734+0.00050161i,-4.1421e-05-0.00046679i,-1.2599e-05+0.00065069i,3.9008e-05+0.0010894i,0.00030178+0.0013371i,0.00036361+0.0013482i,-4.4268e-06+0.00040992i,0.00016538+5.6869e-05i,0.0010388-0.0005789i,0.00123-0.00062469i,0.00031721+0.00018401i,-0.00013998+4.8911e-05i,0.00032354-0.00081354i,0.00030173-0.0012035i,-0.00026893-0.00096542i,-0.00019955-0.00029055i,-0.00012014+0.0002711i,-0.00027512-3.2798e-05i,-0.00028486-3.8202e-05i,-0.00068967-0.00024814i,-0.00052643-0.00043368i
-0.001147-0.0016971i,-0.0010563-0.0013754i,-0.0011109-0.0012104i,-0.0011041-0.00054344i,-0.0015487+0.00013749i,-0.0012322+0.00075278i,-0.00040234+0.00070054i,-0.00029084+0.0008879i,1.9991e-05+0.0013053i,-0.00028686+0.00081603i,1.5033e-05+0.00032028i,0.00073492+0.00045249i,0.00014965+0.00077147i,0.00022824+0.0003065i,0.0010345+9.2509e-05i,0.0016861+0.00047526i,0.0012984+0.00043429i,0.00079584+0.00015097i,0.00066861-0.00015643i,0.0009071-0.00026619i,0.00061874+1.71e-05i,0.00037565+0.00044609i,0.00056218+0.00075388i
-0.00015754+0.0022721i,0.00039112+0.0015828i,0.0013205+0.0011894i,0.00071228+0.00098609i,-7.116e-05+0.00030801i,-0.00042542+0.000393i,5.0952e-05+0.0010131i,0.00031879+0.0008829i,0.00049977+0.00036876i,0.00034585+6.1127e-05i,4.0065e-05+0.0003268i,-0.00014183+0.00030206i,-0.0002403-0.00036637i,-0.00026983-0.00014393i,-0.0002942+0.00043786i,-0.00061596+0.00095159i,-0.00073463+0.0012882i,-0.00053093+0.00091951i,-0.00028905+0.000739i,0.0001838+0.0011441i,0.00099197+0.0011541i,0.00051991+0.00023761i,-0.000694+4.4954e-06i
0.00045648+0.00075393i,0.001032+0.00052108i,0.0016165-0.00012663i,0.0013706+2.7709e-05i,0.00064187+0.00028265i,0.00020971+0.00052818i,0.0004167+0.0011697i,0.00065888+0.001338i,-0.00010605+0.00063911i,-2.0709e-05+0.00014398i,0.00092698+0.00026248i,0.00048609+0.00037161i,-0.00049992-0.0005427i,-0.00078214-0.00091518i,-0.00035035-0.00070705i,0.00034911-0.00058514i,0.00043411-0.00054301i,-0.00016107+0.00017094i,-0.00065373+0.00013847i,-0.00042419-0.00072964i,-0.00019997-0.00080503i,-0.00043017-5.5737e-05i,-0.0005619+9.3804e-05i
-0.002294+0.0023431i,-0.0009064+0.0025781i,0.00060922+0.0021793i,0.0010487+0.0012414i,0.00037833+0.0017152i,-0.00016407+0.0020307i,-0.00068176+0.0012986i,-0.00089064+0.0007151i,-0.00057839+0.00032215i,-0.00018906+7.6884e-05i,-2.0561e-05+3.7726e-05i,-0.00040619-0.0001156i,-4.1518e-05-0.00013214i,0.00066671-6.0117e-05i,0.00041048-0.00041008i,0.00098085-0.00038491i,0.0012445-0.00010264i,0.00015579+0.00023053i,0.00011997+0.00026184i,0.00018151-7.7539e-05i,-0.00010012-0.00066324i,2.9562e-05-0.00060928i,-0.00049979-0.00024487i
-0.00077255+0.00063104i,-0.00040584+1.573e-05i,-0.0002988+0.00038968i,-0.00092262+0.000986i,-0.00044712+0.00048266i,0.00028919+0.00026672i,-0.00016334+0.0010044i,-0.00066922+0.0015962i,0.00026255+0.0014428i,0.00082027+0.00089538i,0.00041762+0.00089894i,0.000131+0.00073797i,0.00028376-9.273e-05i,0.00075997+4.7642e-05i,0.00038011+0.00078477i,-0.00050023+0.00047911i,-0.00020443-0.0004571i,-3.7567e-05-0.00042989i,-0.00043104-0.0003523i,-0.00067578-0.00086096i,-0.0003043-0.00021266i,0.00037257+0.00037868i,0.00021921-5.7302e-06i
-0.0019295+0.0021724i,-0.00048176+0.0028914i,0.00077555+0.0024943i,0.00083572+0.0028616i,0.001034+0.0024592i,0.00083102+0.0014258i,0.00015565+0.00090832i,8.1595e-05+0.0007453i,-4.3097e-05+0.00094178i,-5.0849e-05+0.00067597i,0.00048577+0.00019661i,0.00084513-0.00038708i,0.00075999+3.2573e-05i,0.00052314+0.00074069i,0.00070223+0.00041465i,0.0007779+0.00055257i,-0.00012949+0.00077783i,-0.00059614+0.00026054i,-0.00067711+0.00029422i,-0.00044741+0.00064798i,-0.00022603+0.00049122i,1.8857e-05+0.00014674i,0.00068012-0.00031977i
-0.00050689-0.0012209i,-0.0011988-0.0017026i,-0.0021068-0.0018706i,-0.0025268-0.0015855i,-0.0016726-0.00099853i,-0.00060385+0.0002634i,-0.00068412+0.0010446i,-0.00096828+0.00061346i,-0.00087245+0.00016849i,-0.00037435+0.00026309i,0.00051276+0.00096476i,0.0012122+0.00030004i,0.00094583-6.4945e-05i,-0.000179+0.000181i,-0.00078583+0.00041117i,-0.00018905+0.00052508i,5.0592e-05+0.00043951i,0.00022184-0.00010347i,0.00027832-0.00020333i,-0.00021176-6.0744e-05i,-0.00019147-9.1254e-05i,0.00013014-0.000552i,0.00016578-0.00086399i
-0.0019418+0.0027131i,-0.0017223+0.0038288i,-0.0018785+0.0061625i,-0.0012639+0.0054372i,-0.00010489+0.0035236i,0.00031397+0.0028687i,0.00026089+0.0020636i,-0.00036385+0.0010632i,-0.00024799+0.0010232i,0.0003619+0.00058862i,0.00052307+0.00027677i,0.00056128+0.00076065i,0.00071837+0.00012899i,0.0005187-0.00054056i,-0.00012664+0.00025071i,-0.00053697+0.0010933i,0.0001324+0.0011329i,0.00016303+0.00027802i,-0.00098829-0.0005563i,-0.00070027-0.00010122i,-0.00071467+4.4689e-05i,-0.00083048-0.0004563i,0.00013755-0.00086237i
-0.0034812-0.001574i,-0.002039+0.00014707i,-0.0016045+0.0012618i,-0.00020671+0.0016927i,0.00059074+0.0017517i,0.0011196+0.0014083i,0.001423+0.0011503i,0.0012638+0.00091403i,0.00037305+0.00035747i,-0.00047044+0.00079668i,-3.0534e-05+0.0010993i,0.0011636+0.00061609i,0.0016582+0.00021224i,0.00065325-0.00027894i,-0.00016775-0.00010257i,-0.00036534-1.2636e-05i,-0.00068684+0.00043074i,-0.00064598+0.0010733i,-0.00038999+0.00062768i,-0.00030008-0.00025192i,0.00030693-0.0005644i,-0.00023376-0.00028686i,-0.00076718+0.00010262i
-0.0042468+0.00063297i,-0.0033671+0.0011639i,-0.0021171+0.0018811i,-0.0015493+0.0031905i,-0.0010148+0.0034323i,0.00017476+0.0019635i,-0.00016576+0.00093711i,-0.0011683+0.00041748i,-0.0011829+5.6851e-05i,-0.00033564+0.00085187i,0.00068964+0.0012654i,0.00052542+0.00022082i,0.00019952-0.00082418i,0.00039026-0.0013398i,0.00068652-0.0012995i,0.00096125-0.00052245i,0.0012809+0.00029088i,0.00096103+0.00033906i,-7.8407e-05-4.4362e-05i,-0.00032393+2.6686e-05i,-0.00054133+0.00018296i,-0.0004936+0.00037167i,0.00020526-7.0767e-05i
0.0025798+0.0027622i,0.002481+0.0022196i,0.0029401+0.00084318i,0.0021216-0.00022759i,0.00012941-5.9243e-05i,-0.0010857+0.0011293i,-0.0013239+0.0013231i,-0.00015+0.0011797i,0.001115+0.00044178i,0.0010424-0.00020958i,0.00062888+0.00033713i,0.00027941+0.00019937i,0.00047547+0.00021466i,0.00090286+0.00050435i,0.00062245+0.00054324i,0.00015417+0.00052721i,0.00047769+0.00021151i,0.00016811-0.00077876i,-0.00083083-0.0012481i,-0.00088482-0.000779i,-0.00023964-0.00048481i,-9.0714e-05-0.0002472i,-0.00032391+0.00014134i
-0.0019738+0.00031582i,-0.0027234+0.0013712i,-0.0021068+0.00085284i,-0.00048876+8.8124e-05i,0.00056352+0.0006482i,0.00054604+0.0014696i,0.00023066+0.0023139i,0.00034151+0.0022155i,0.00013608+0.001408i,-0.00027708+0.00093132i,5.4292e-05+0.00043972i,0.00049025+0.00077859i,0.0003762+0.0010425i,9.1402e-05+0.00082143i,-0.00037769+0.00066068i,-0.0003082+0.00023223i,-7.7128e-05+0.00043711i,-5.2027e-05+0.0001911i,-0.00061695-0.00035083i,-0.0010089-5.0911e-05i,-0.00033081+0.00038587i,0.00016277+0.00076914i,-8.9916e-05+0.00042008i
1.1448e-06+0.00048276i,0.0011566+0.00012096i,0.0011368+0.00044219i,-0.00062717+9.3356e-05i,-0.0011431+0.0006535i,-0.00054345+0.0010104i,0.00020001+0.00063108i,0.00070858+0.00066103i,0.00023365+0.00067902i,-0.00028777+0.00066518i,-3.8969e-05+0.0012401i,0.00053956+0.00061496i,0.0008869-0.00025827i,9.0928e-05+1.5591e-05i,-0.00030871+5.7749e-05i,-7.7597e-05+0.00039892i,0.00011571+0.00076454i,0.00030421+0.0008398i,0.0003308+0.00018001i,1.2749e-05-0.00021488i,0.00048189-0.00031346i,0.0006778-0.00038415i,7.8266e-05+0.00011312i
0.0010503+0.00063604i,0.00093462-0.00028682i,0.00093737-0.00058204i,0.00056831-0.00073028i,-0.00040776+0.00045766i,-0.0015544+0.0020445i,-0.0013213+0.001829i,-0.00055511+0.0012058i,-9.6249e-05+0.00098515i,5.9519e-05+0.00064012i,0.00015717+0.00057752i,0.00038442+0.00088645i,0.00055503+0.00089348i,0.0012312+0.00057638i,0.0012461+0.00046048i,0.00068348+0.00055278i,9.0798e-05+0.00015967i,-0.0010185-0.00058574i,-0.00038085-0.0010737i,0.0012103-0.00098976i,0.00097002-0.00058749i,0.0001143+7.1409e-05i,0.0002796+0.00069512i
0.0021613+0.00029709i,0.0030107+0.00021474i,0.0023961-0.00091789i,0.00062501-0.0011147i,0.00023118-0.00041971i,0.00065109+0.00063789i,0.00054034+0.0011783i,0.00047389+0.00097234i,-0.00032375-0.00013376i,-0.00087825-0.00050972i,-0.00043636+0.00055165i,0.00018541+0.00040806i,0.0003193+0.00078306i,-0.00031853+0.0015377i,-0.00060479+0.00087036i,0.00045009-1.7497e-05i,0.0007667+1.5728e-05i,0.00033108-2.2957e-05i,0.00029446-5.9767e-05i,0.00038558+3.931e-06i,0.00040953-0.00049658i,0.00057543-0.00018548i,0.00037269-0.00021801i
-0.0008462+0.0022194i,-0.0010401+0.0020527i,-0.00048252+0.0013341i,-0.0004832+0.00071407i,-0.00064759+0.00047563i,-0.00040523+0.00080854i,-0.00033556+0.0014735i,-9.2245e-05+0.0013782i,-0.00015351-1.2428e-05i,-0.00043249+0.00026971i,0.00034226+0.00083171i,0.00046722+0.00040472i,-0.00057844-0.00038325i,-0.0010812+7.5934e-05i,-0.00061555+0.00025578i,-0.00051034+3.9555e-05i,-0.00041279-0.00038767i,0.00021983-0.00047754i,0.00073505+0.0012276i,0.00045456+0.0014017i,0.00016257+0.00029429i,-2.9167e-05+0.00052809i,-2.5961e-05+0.00029408i
