0.0016234-0.00022919i,0.00025007-0.0012518i,-0.0010921-0.0027374i,-0.0018575-0.0036563i,-0.0032816-0.0033956i,-0.0038618-0.001035i,-0.0022843+0.00052039i,-0.00026825+0.0010675i,0.00082339+0.0015769i,0.00084637+0.00099523i,0.00028525-0.00010836i,0.0002633-0.00037273i,0.00037814-0.00025817i,0.00067334-5.4092e-05i,0.00092884+0.00027091i,0.0012593+0.0004221i,0.00078674-0.00015567i,0.00045875-0.00081278i,0.00068516-0.00098042i,0.00028366-0.00057973i,-0.00012852-2.3869e-05i,-0.00045546-0.00038379i,-0.00089779-0.0010274i
0.0012938+0.00011272i,0.0019396-0.0010998i,0.0014198-0.0017165i,0.00081512-0.0017558i,-0.00052048-0.00077561i,-0.0022561+0.00049685i,-0.0017139+0.001287i,-0.00063139+0.00070118i,-0.00062709+7.8216e-05i,-0.00025653+6.9038e-05i,7.1791e-05-0.00035323i,-0.00047935-0.00066656i,-0.00063806-0.00041805i,-6.8844e-05+0.00011162i,0.00035067+0.00039161i,0.00037683+0.00029411i,-3.3659e-05+0.000465i,0.00033701+0.00063792i,0.00032996+0.00035708i,-0.00058944+6.2863e-05i,-0.0004805-0.00037489i,0.00054578-0.00081826i,0.00052274-0.00025922i
-0.00056586-7.2529e-05i,-0.00068133-0.00026794i,-0.00062792-0.0006046i,-0.00056142-0.0019388i,-0.0001184-0.0024027i,-0.00018564-0.00099281i,-0.00047532-0.00041525i,-0.00015097-0.0011716i,6.3568e-05-0.0014431i,-0.00047938-0.000371i,-0.00035161+0.00022889i,0.00026206+0.00065055i,0.00054614+0.00070587i,0.0006054+0.00062058i,0.00051496+0.00095675i,0.00016591+0.00091183i,-0.00051009+0.000715i,-0.00079503+0.00051931i,-0.00035234+0.00063016i,-0.00026659+0.00033156i,-0.00011405-0.00052658i,-0.00022336-0.0003355i,-0.00013485+1.9521e-05i
0.0014904+0.00029387i,0.0022431-0.0005991i,0.0018033-0.0005114i,0.00027808-0.0011421i,-0.0012195-0.0020918i,-0.0014083-0.00088766i,-0.00043272+1.6393e-05i,2.2194e-05-0.00068955i,-0.00012388-0.0015537i,-0.00025773-0.00099166i,-0.00049423-0.00025045i,-0.00080009-0.00018476i,-0.0010036+0.00027949i,-0.00071018-0.00023663i,-0.00025808+0.00014222i,-0.00032021+0.00081293i,-0.00050558+0.00039791i,-0.00056941+0.00034922i,-0.00026318-0.00032416i,-0.00010214-0.00078408i,-9.7153e-05-0.00068591i,0.00021685-0.00037706i,0.00065107-0.00030071i
-0.00085042-4.972e-05i,8.35e-05-0.0012571i,0.00040365-0.0018798i,-0.00052183-0.0016192i,-0.0020436-0.0011867i,-0.0027552-0.00066868i,-0.0018136+0.0003046i,-0.00094587+0.0011316i,-0.00070854+0.0010029i,-0.00082988+0.00043831i,-0.00038946-3.273e-05i,0.00025206-0.00025378i,0.00059195+0.00015416i,0.00050044+0.00053956i,-0.00040412+0.00010769i,-0.00044834+1.8183e-05i,0.00013103+0.00016701i,0.00023517+0.00016395i,0.00063917+0.00018152i,0.00092849+0.00015082i,0.00091786-0.0002573i,0.00065472-0.00016148i,0.00071492+0.00060231i
0.00017933+0.0017597i,-4.6717e-05+0.0013271i,0.0003996+0.00026327i,0.00024571-0.00050926i,-0.0010663-0.0018943i,-0.0016971-0.0018818i,-0.0016953-0.00032898i,-0.00090098-0.00029129i,-0.00051169-0.00081746i,-0.0011404-0.00069225i,-0.00074294-0.00072162i,0.00027457-4.41e-05i,0.0002323+0.00063541i,-0.00044174+0.00017644i,-0.00050845+4.0089e-05i,0.00014323+0.00031726i,0.00091463+0.00044023i,0.001166+0.00039957i,0.00090587+0.00034511i,0.00034178+0.00058515i,-0.00040752+1.0302e-05i,-0.00047078+0.00014332i,-0.00016059+0.00085997i
9.9988e-05+0.00078381i,0.00037728+0.00078129i,-0.0001258+0.00063631i,-0.00098334-0.00061364i,-0.0012074-0.001003i,-0.0014025-0.00061665i,-0.00090473-0.00028312i,-0.00015055-0.00012165i,-0.00045685+0.00017258i,-0.00089395+2.6391e-05i,-0.00044504-0.00030687i,7.8489e-05-0.00079015i,-7.5741e-05-0.00048076i,3.1304e-05+0.00010117i,0.00069717+0.00048387i,0.00051211+0.001095i,-0.00050333+0.00075075i,-0.00056366+8.1107e-06i,-0.00069512-0.00039374i,-0.00090244-0.00037618i,0.0002869-5.8106e-05i,0.00063962-0.00041193i,4.7716e-05-0.00090128i
1.3803e-05+6.6909e-05i,-0.00041457+0.00052791i,0.00019029+0.00019222i,-0.00027625-0.0011403i,-0.00090863-0.002401i,-0.00097768-0.0018811i,-0.00026367-0.00028948i,0.0003182+0.00060729i,-0.00057137+0.0005877i,-0.0011742+0.00061571i,-0.00067257+0.00069416i,-0.00036822+0.00031879i,-5.699e-05+0.00019475i,0.00074455-1.7961e-05i,0.00081884-0.00058373i,0.00057877-0.00067742i,0.00078949-0.0002641i,0.00058069-3.0243e-05i,-0.00052798-0.00071029i,-0.00080732-0.00077562i,2.037e-06-0.00044165i,-2.9163e-05+9.8907e-05i,-0.00022517+0.00029434i
-0.00049047-0.00036405i,-6.6204e-05-0.0001122i,-0.00048798+0.00025849i,-0.0011394-0.00013177i,-0.0013882+0.00029894i,-0.0017896+0.00011769i,-0.0016138+0.0004087i,-0.0010324+0.00042988i,-0.00090305-0.0010263i,-0.00084293-0.0010977i,-0.00071599-0.00027486i,-0.00082671+4.5415e-05i,-0.00066025+0.00039866i,-0.0012949+9.0074e-06i,-0.001338-0.00056221i,-0.0010358-0.00042136i,-0.00015679-0.00067557i,0.0010012-0.00059139i,0.0011064-0.00010013i,0.00051101+0.00037392i,-0.00040751-7.9382e-05i,-0.00031288-0.0004015i,0.00051133-2.932e-05i
-0.0013346+0.0013018i,-6.3056e-05+0.00044245i,0.00071558+0.00087839i,0.00050238+0.00012078i,0.00043514-0.0014847i,0.00039584-0.0016972i,0.00032585-0.0011884i,-7.4113e-05-0.00051773i,-0.00062133-7.2108e-05i,-0.001068+0.00024553i,-0.00089521+0.00015286i,-5.0245e-05-3.661e-05i,0.00011594+0.00027913i,-0.00037328+0.0010889i,-0.00019465+0.0012052i,0.00049074+0.00097469i,0.00051495+0.0011157i,0.00026215+0.00067337i,-5.9086e-05+0.00010298i,0.00050538+0.00041245i,0.00071945+0.00093746i,0.0002208+2.3427e-05i,0.00023057-0.00046753i
0.00085296+0.00025388i,0.00095767-4.5799e-06i,0.00079271-0.00079758i,-0.00020457-0.0019053i,-0.0016806-0.0018233i,-0.0015762-0.0011569i,-0.0012094-0.00050067i,-0.00064916-7.7474e-05i,-0.00022905-9.3974e-06i,-0.00098356-8.1562e-05i,-0.0014967+0.00017086i,-0.00039907+0.00063952i,0.00072837-3.0671e-05i,0.0002582-0.00067755i,-0.00034074-0.00024095i,0.00055726+0.00054746i,0.00088735+0.00053923i,0.00038533+7.6527e-05i,-0.00027689+0.00030492i,-0.0006145+0.00094852i,-0.00061834+0.0010182i,-0.00050031+0.00042524i,-0.00045637-9.9572e-05i
