0.0016234-0.00022919i,0.00025007-0.0012518i,-0.0010921-0.0027374i,-0.0018575-0.0036563i,-0.0032816-0.0033956i,-0.0038618-0.001035i,-0.0022843+0.00052039i,-0.00026825+0.0010675i,0.00082339+0.0015769i,0.00084637+0.00099523i,0.00028525-0.00010836i,0.0002633-0.00037273i,0.00037814-0.00025817i,0.00067334-5.4092e-05i,0.00092884+0.00027091i,0.0012593+0.0004221i,0.00078674-0.00015567i,0.00045875-0.00081278i,0.00068516-0.00098042i,0.00028366-0.00057973i,-0.00012852-2.3869e-05i,-0.00045546-0.00038379i,-0.00089779-0.0010274i
0.00012657-0.00031677i,-0.00027106+0.00046297i,-0.00044777+1.4118e-05i,-0.00014956-0.0011804i,-0.00033995-0.0012247i,-0.00087298-0.00069183i,-0.00040192+0.00015186i,-3.7679e-05+0.0011867i,-0.00085722+0.0010449i,-0.0012358+0.00017835i,-0.0010967-0.00047512i,-0.0009299-0.0013249i,-0.00085212-0.0011078i,-0.00047673-0.00013616i,0.0002032+0.00042332i,0.00081178+0.00060839i,0.0010178+0.00018844i,0.00015401+0.0004551i,0.00015195+0.00059032i,0.00023836-0.00054841i,0.00050467-0.00082242i,0.00017104-4.1817e-05i,-0.0011603-0.00016559i
0.0012502+0.00055329i,0.0010989+0.00016306i,0.0024203-0.00051794i,0.0020214-0.0032014i,1.6898e-05-0.0048461i,-0.0022285-0.003641i,-0.0024963-0.0010224i,-0.0007344+0.00022881i,0.00023266-0.0004951i,0.00011652-0.00020206i,-0.0005564+0.00010261i,-0.0013347-0.0002521i,-0.0010641+5.4929e-05i,-0.0007096+0.00042496i,-0.00055534+0.00030493i,0.00025502+0.0009594i,0.00036457+0.0016194i,0.00051883+0.000951i,0.00093959+0.00015753i,0.0001542+0.00024186i,-0.00024242+0.0010939i,-3.9489e-05+0.0010818i,-2.2901e-05+0.00020972i
0.0005207+0.00047221i,0.00026221+9.283e-05i,0.0006228-0.0020973i,0.00064671-0.0039741i,-0.00043602-0.0039949i,-0.00096716-0.0023976i,0.00023434-0.001057i,0.00083523-0.0017995i,7.8454e-05-0.002551i,-0.00024183-0.0014667i,-0.0003161-0.00014781i,-0.00065476-0.00015668i,-0.00097264-0.00064964i,-0.00057637-0.00045429i,0.00029452-0.00033821i,0.00069657-6.5205e-05i,3.7295e-05+0.00050601i,-0.00022525-4.0604e-05i,-0.00026234-0.00043351i,-0.00072466-0.00014022i,-0.00075324-0.00010623i,-2.48e-05-0.00033542i,0.00025954-6.4201e-05i
0.00020426+0.0018148i,0.00036699+0.0017232i,0.0013224+0.00049269i,0.0014576-0.0011496i,0.00052135-0.0028383i,-0.0016418-0.0025865i,-0.0022082-0.00031249i,-0.00094267+0.00054753i,-0.00039148-0.00012003i,-0.00019231-0.00045847i,0.00017458-0.00041559i,-0.0001928-0.00040718i,-0.00073802-0.00017101i,-0.00075208+5.6484e-05i,-8.298e-05+0.00020518i,0.00043289+0.00030611i,0.00034644-0.00014363i,0.00077361-0.0002331i,0.0011192-0.00034648i,0.0010763-0.00051189i,0.00065595-0.00030555i,6.6704e-05+0.00032094i,0.00036641+0.00047225i
0.0019808-0.0029505i,0.00091543-0.0027508i,-0.0011502-0.0040173i,-0.0022656-0.0046502i,-0.0022267-0.0040903i,-0.0019283-0.0023885i,-0.0017418-0.00042476i,-0.0016372+0.000115i,-0.0007551-0.00083661i,-0.00062586-0.0011028i,-0.0011236-0.00086019i,-0.00068076-0.00030035i,-0.00037992+0.00027797i,-0.00081603-4.0914e-05i,-0.00053026-0.00016986i,-6.7289e-05-0.00051779i,-8.8779e-05-0.0007107i,-6.9304e-05+4.5318e-05i,-0.00013066+0.00023124i,-0.00057008-0.00065605i,-0.00021284-0.00088377i,4.3387e-05-0.00085102i,-0.00010005-0.0008686i
0.001155-0.00015339i,0.0011401-0.00066392i,0.0019176-0.00087386i,0.0018477-0.0024053i,0.00073906-0.0038077i,-0.00036077-0.001638i,-0.00075823+0.00033247i,-0.0012302-7.737e-05i,-0.0014076-0.0011558i,-0.00051834-0.0017038i,0.0004239-0.0013448i,0.00074253-0.00057968i,0.00068588-6.5742e-05i,0.00043877-9.5539e-05i,-0.00025998+0.00047828i,-0.00099827+0.00070117i,-0.00035649+0.00026909i,0.00016957+0.00019261i,0.00057203-0.0001876i,0.00060558-0.00067851i,9.3744e-05-0.00057083i,-0.00022051-3.1223e-05i,-0.00085138+0.00036318i
-0.0012713+0.0012332i,-0.00088932+0.00060372i,-0.0008135+0.0001386i,-0.0012664-0.0014107i,-0.00094239-0.0030664i,-0.0012744-0.0030337i,-0.0011801-0.0010701i,-0.00041315+0.00067664i,-0.00064543+0.00026083i,-0.00031112-0.00048542i,0.00013517-0.000538i,-0.00043345-0.00099036i,-0.00016821-0.0012073i,7.9451e-05-0.00047854i,-0.00034074+7.3643e-06i,-0.00010131+0.00057397i,0.0003414+0.0012228i,0.00048659+0.0012672i,0.00057471+0.00071374i,0.00054671+6.8836e-05i,5.1425e-06+0.0004424i,-7.7827e-05+0.00048736i,-8.4665e-05-0.00032023i
0.00074762+0.0010808i,0.001579+0.00051254i,0.0030489-0.00039155i,0.003196-0.002393i,0.0012762-0.0038902i,-0.00049249-0.0020227i,-0.00035798-0.00021144i,2.8717e-05-3.0953e-05i,8.3495e-05-0.00049184i,0.0001666-0.00071124i,-0.00040489-0.00038767i,-0.00085439-2.135e-06i,-0.00019019+0.00026796i,0.00047054-0.00014724i,-0.00041117-0.00043146i,-0.00075809-0.00050148i,7.6529e-05+0.00032747i,0.00031066+0.0013878i,0.00028334+0.00086932i,0.0005216+0.00039572i,0.00025589+6.6397e-05i,-0.00014895-0.00018587i,-0.00027787-2.0864e-05i
-0.0019918-2.8459e-05i,-0.0024239-0.00013922i,-0.0030239-0.00019286i,-0.0024229-0.00075042i,-0.0022022-0.0016217i,-0.0025895-0.001292i,-0.0018437-0.0003771i,-0.00015795-0.00011883i,0.00069325-0.00041543i,0.00080644-0.00098764i,0.00031009-0.0006299i,-0.00040277-3.0926e-05i,-0.0004593+0.00017872i,-0.0010412+0.00092104i,-0.001599+0.0013642i,-0.00066892+0.00090126i,0.00043726+0.00053827i,0.00072211+0.00027131i,-8.392e-05+0.00030815i,-0.00084313+0.00010227i,-0.00038435-0.00043681i,0.00073662-0.00018995i,0.00089883+0.00017856i
-0.00098922-0.0019072i,-0.00080039-0.00058716i,-0.00027472-6.1094e-05i,9.9554e-05+3.3516e-05i,-0.00027353+0.00059303i,-0.00076505+0.00059453i,-0.00022152+0.00016217i,0.00073193-0.00095794i,-0.00011886-0.0016571i,-0.0011662-0.00108i,-0.00083589-0.00089196i,-0.00047798-0.00072442i,-0.0010803+1.2497e-05i,-0.00059483+0.00034037i,-0.00036303-0.00031699i,-0.00065636-0.00065793i,-0.00044402-0.00038524i,0.00016709-0.00016119i,0.00026389+0.00010059i,-1.4798e-06+4.4037e-05i,0.00025531-0.00069397i,0.00033569-0.00069212i,-0.00013016-0.00060722i
-3.3608e-05-0.0032621i,-0.0010651-0.0029578i,-0.0031757-0.0038316i,-0.0039148-0.0044558i,-0.0030191-0.0034191i,-0.0020729-0.0014472i,-0.0011796-0.00054824i,-3.555e-05-0.00066027i,-0.00064582-0.0019482i,-0.00095153-0.0015349i,-0.00094573-0.00040126i,-0.0010551-0.00031363i,-0.00047027+0.00012024i,-0.00025957+0.00081416i,-0.00041803+0.00087806i,-0.0005806+0.00043817i,-0.00013911+0.00015834i,0.00059071-9.8506e-05i,0.00042161-0.0006653i,0.00042469-0.00077155i,-0.00011261-0.00032894i,-0.00061214+0.00042956i,-0.00039944+0.00049543i
-0.00092043-0.00090106i,-0.0016401-0.0013524i,-0.0013848-0.0013474i,-0.00047693-0.0015316i,-0.00030073-0.0026164i,-0.00030974-0.0024392i,-0.00028442-0.00056121i,-0.00066133-9.1338e-05i,-0.0013297-0.00060156i,-0.00091113-0.0002141i,-7.0235e-05+0.00045689i,-0.00013277+0.00026419i,9.1549e-05+0.00021799i,0.00086142+0.00038113i,0.0011405+0.00064272i,-4.2876e-05+0.001024i,-0.00082111+0.00083603i,-0.00039112+0.00079369i,-0.00075591+0.00070784i,-0.0010448+0.00090572i,-0.00017825+0.00025736i,-6.4886e-05+2.948e-05i,-0.0003264+0.0001155i
0.0018831-2.9455e-05i,0.002141-0.00086544i,0.00054087-0.0022987i,-0.0014702-0.0040806i,-0.002548-0.0038445i,-0.0033252-0.0018987i,-0.0032117-5.3196e-05i,-0.0024231+0.00091084i,-0.001698+0.00041921i,-0.00070078-0.00059394i,-0.00094261-0.0010637i,-0.0014821-0.00082675i,-0.00037157-0.00025623i,0.00024351+0.00016735i,-0.0010388+0.00070354i,-0.0014283+0.0011693i,-0.00079522+0.00040942i,-0.00012657-0.00068947i,-1.1098e-06-0.00039399i,-0.00036029+0.0012099i,-0.0005962+0.0012621i,-0.00070704+0.00023188i,-0.00054769+0.00060156i
0.0013873-0.0010574i,0.00057602-0.0024808i,0.001226-0.0040792i,0.0009887-0.0047012i,-0.00047816-0.0048203i,-0.0013525-0.0034175i,7.4671e-06-0.0010579i,0.00057173-0.00016654i,-0.00024768-0.00037921i,-0.00043984-0.00082043i,-0.00041343-0.0016425i,-7.8847e-05-0.0017584i,0.00029816-0.0011721i,7.3316e-05-0.00079927i,0.00013302+0.00034415i,0.00063394+0.0012156i,0.00070624+0.0013144i,0.00053501+0.0010676i,0.00057668+0.00094639i,0.00047711+0.00062022i,0.00023198+0.00080251i,-5.1391e-05+0.0011257i,0.00016821+0.00063677i
0.00022772+1.0141e-06i,-0.00066461-0.0014866i,-0.0015613-0.0025282i,-0.0016386-0.002533i,-0.0015153-0.001748i,-0.00066603-0.00031864i,0.00075635+0.00094427i,0.0013356+0.00049844i,0.0012056-0.00015071i,0.00039318-0.00016403i,-0.00058154-0.00031572i,-0.0011343-0.0012623i,-0.0011785-0.0016006i,-0.00061405-0.00034699i,-2.0345e-05-0.00045715i,0.0002881-0.00036356i,1.4294e-05+0.00057208i,0.00014828+0.00028469i,0.00021542-0.00047131i,-0.00017125+6.1506e-05i,0.00023825+0.00075876i,0.00072782+3.0205e-05i,0.0010037+8.5647e-05i
-0.0008692-0.00049074i,-0.00054436-0.0010354i,-0.0013346-0.00069415i,-0.001732-0.0011856i,-0.0024642-0.0021151i,-0.003007-0.001666i,-0.0017865-0.0011252i,0.00087641-0.0013448i,0.0013938-0.0019412i,-0.00045991-0.0014097i,-0.0011361-0.00014062i,-0.0011281+0.00033594i,-0.0011691+0.00071926i,-0.0010236+0.0012721i,-0.00095619+0.0013695i,-4.6812e-07+0.0010728i,9.7689e-05+0.00047001i,-0.00012966-0.00081286i,0.00022572-0.0010776i,0.00022545-0.00068137i,0.00093125-0.00030629i,0.0010306+7.6594e-05i,0.00043005+0.00025255i
0.000498-0.00096273i,0.0010956-0.0016828i,0.00073948-0.0031274i,-6.513e-05-0.0037799i,-0.0011482-0.0037111i,-0.0016125-0.0025812i,-0.00012039-0.00075483i,0.00060114-0.00053i,0.00010181-0.0018792i,0.00013416-0.0013089i,0.00014927+0.00021745i,-0.00046136+0.00058452i,-0.0001628+0.00047732i,0.00031702+0.00065628i,-0.00056465+0.000331i,-0.00092011-0.00042359i,-0.00017398-6.9667e-05i,9.0578e-05+0.00028942i,0.00041704-0.00081999i,0.00069704-0.0011907i,0.00034761-0.00035148i,-0.00020043-5.559e-05i,-0.00053575+3.4567e-05i
-0.0018354+0.00090326i,-0.0014011+0.00091199i,0.00010746+0.0002842i,0.00021613-0.0013398i,-0.0010152-0.0026616i,-0.0024038-0.0022133i,-0.0023256-0.00062745i,-0.0015197-0.00065793i,-0.00073017-0.00084675i,-0.00023626-0.00029298i,2.5926e-05+0.00088286i,0.00015439+0.00093579i,-1.5428e-06+4.1864e-05i,-0.00038121-0.00030192i,-0.00054997-6.8825e-07i,-0.00085406-0.00027808i,-0.00073579-0.00064382i,-0.00062905-0.00051551i,-0.00099704-0.00046695i,-0.0015318-0.00047896i,-0.0013482-0.00013294i,-0.0003486+0.0003149i,0.00014208+0.00059699i
0.0027278-0.0011783i,0.0028036-0.001775i,0.0035811-0.0031246i,0.0030224-0.0044376i,0.001044-0.0054467i,-0.00099061-0.0038976i,-0.0011281-0.00089609i,-0.00026486+0.00014821i,-8.0043e-05-0.0010929i,-0.00062321-0.0015098i,-0.00094204-0.0016423i,-0.00095783-0.0015764i,-0.0010462-0.00098086i,-0.00097133-0.00083267i,-0.00043239+0.00026629i,-7.7902e-05+0.0012957i,-0.0006641+0.00094576i,-0.00071293-5.3581e-05i,-0.00060222-0.00025089i,-0.00029265+4.0993e-05i,-0.0001215+0.00054513i,-0.00075372+0.00078648i,-0.00061186+0.00030934i
-0.00061365+0.00052798i,-0.00030681-0.00012087i,2.9806e-05-3.8747e-05i,0.00010311-0.0010665i,-0.00076215-0.0019597i,-0.0015929-0.0016108i,-0.00079896-0.00050282i,-0.00030131+0.00054508i,-0.00073222+0.00089944i,6.4585e-05+0.00034704i,0.0010085-0.00012103i,0.00066383+8.1028e-05i,6.8545e-05-5.2949e-05i,0.00021041-0.00043056i,0.00014809+0.00021994i,-0.00027366+0.001157i,-6.0406e-05+0.00052616i,0.00048987-0.00040328i,0.0010522-4.9581e-06i,0.0014493+0.00036354i,0.0014803+0.00011863i,0.00060952+0.00027735i,-0.00015162+0.00055133i
0.00048009-0.0017503i,0.00059662-0.0017031i,-0.00045306-0.0025435i,-0.0011799-0.0038285i,-0.00076481-0.0043156i,-0.0012705-0.0027011i,-0.0021549-0.00031723i,-0.0015749+0.0009137i,-0.00089194+0.0014054i,-0.00030205+0.0013082i,0.00024449+0.00014043i,-0.00038772-0.00063186i,-0.0019567-8.9804e-06i,-0.0017885+0.00036469i,-0.00027528+0.00050396i,-9.4444e-05+0.00031088i,-0.00064434+0.00022682i,9.8328e-05+0.00044645i,0.00083037+0.00038949i,8.2899e-05-0.00040336i,-0.00046195-0.00082053i,-0.00020237-0.00012126i,-6.5308e-05+0.00032428i
-0.00027699+0.001128i,0.00010957-6.0497e-05i,0.0010974-0.001071i,0.0014866-0.0023472i,0.0012302-0.0037044i,-0.00042555-0.0025031i,-0.00050952-0.00017044i,-0.00025693+0.00033454i,-0.0001956+4.0512e-05i,0.00057518-0.00017567i,-8.3985e-05-0.00069409i,-0.00081351-0.0016099i,-0.00011465-0.0015282i,0.00030937-0.00021058i,0.00033514+0.00037541i,0.00016076+5.6429e-05i,-0.00010931-1.7484e-05i,0.00048594-0.00015441i,0.0012077-0.00055898i,0.00051257-0.00091601i,-0.00032557-0.0011491i,-0.00047065-0.0012594i,-0.00021484-0.00079513i
0.00065414+0.0019114i,0.0020562+0.0012728i,0.0021169+9.8582e-05i,0.0014541-0.00117i,0.00020967-0.0024323i,-0.00088565-0.0021835i,-0.00027715-0.00041091i,0.0010861-0.00023858i,0.0018226-0.00052102i,0.0019715+0.00066568i,0.00099061+0.00064788i,-0.00063532-0.00060603i,-0.0007831-0.00085356i,-5.3308e-05+3.6214e-05i,0.00059488+0.00054793i,0.0010639-0.00024061i,0.0011204-0.001251i,0.0010518-0.0011501i,0.00031595-0.00082784i,-0.00058768-0.0011302i,-0.00067-0.00062654i,-7.4685e-05+0.00011893i,0.00046191-3.5756e-05i
-0.0019897-0.0014095i,-0.0028917-0.002443i,-0.0032368-0.0018216i,-0.0013969-0.0020204i,-0.00096897-0.0027771i,-0.0015439-0.0018375i,-0.0015238-0.00080298i,-0.0011791-0.0013033i,-0.00048355-0.0021625i,-0.00047012-0.002005i,-0.00067105-0.0011308i,-0.00036556-0.00042372i,-0.00047396+5.1329e-05i,-4.8881e-06+0.00053991i,-2.0102e-06+0.0010719i,-0.00028713+0.00080339i,0.00065416+9.8375e-06i,0.00044658-0.00062336i,0.00024461-0.00054543i,-0.0001081+0.00050485i,-0.0011063+0.00088808i,-0.00076351+0.00076632i,-8.44e-05+5.1604e-05i
-0.0012894+0.00041491i,-0.001362+0.00057256i,-0.00078598+0.0010899i,0.00052358-0.00010485i,0.00095678-0.0011467i,-2.3547e-05-0.0008981i,-0.0010701-0.00024776i,-0.0013829-5.2542e-05i,-0.00068117-0.0010163i,0.00065573-0.0013268i,5.9838e-05-0.00070033i,-0.00048178-0.00029828i,5.8431e-05-0.00017891i,0.00010898-1.4828e-05i,0.00022475+0.00034502i,0.00036852+0.0010379i,-0.00014618+0.00092936i,-0.00042518-9.7136e-05i,-0.00010962-0.00023981i,7.5052e-05+0.00019619i,0.00044247+0.00012654i,0.00064178-2.0189e-05i,0.00032639+0.00022421i
0.0015428-0.0019292i,0.0017498-0.002432i,0.0019713-0.0035194i,0.0011565-0.0037289i,-0.00058193-0.0041783i,-0.0021397-0.0025036i,-0.0019463-0.0001582i,-0.0011679+0.00029956i,-0.0014273-0.00063282i,-0.0011632-0.0011595i,-0.0008504-0.00043014i,-0.0012368+4.5989e-07i,-0.00098888-0.00015214i,-0.0007068+0.00031401i,-0.0014461+0.00081044i,-0.0016029+3.9067e-05i,-0.0012263-0.00018019i,-0.00052738+0.00014766i,0.00071126+0.00015929i,0.00059491+1.4891e-05i,9.6684e-05+0.00040539i,-0.00010515+0.00060996i,4.7301e-05+0.00023628i
0.00056315+0.0013039i,0.00038538+0.00087574i,0.0012691-0.00010532i,0.0018732-0.0018999i,0.00098774-0.0031527i,-0.00078972-0.0027519i,-0.0011872-0.00068708i,-0.00058205+0.00021759i,-0.00071005+8.199e-05i,-0.0011556-7.1396e-05i,-0.00081992+3.5829e-05i,-3.5545e-06-0.00050502i,5.1489e-05-0.00070523i,-7.7916e-05-0.00015443i,0.00033582+0.00057624i,0.00087412+0.0010543i,0.00061793+0.00041168i,-0.00018105+0.0002151i,-9.2326e-05+0.00038538i,0.00060947+0.00016905i,0.0010194-1.2743e-05i,0.00044619+0.0001898i,7.1566e-05+0.00018596i
-0.0011453+0.0003306i,-0.00087498-0.00017423i,-0.00075635-0.00029129i,-0.0005132-0.00081653i,4.0355e-05-0.002365i,-4.6912e-05-0.0022881i,0.00017463-0.00046013i,0.0004854+0.00057278i,0.00038743+0.00074073i,-7.8276e-05+0.0013831i,4.8929e-05+0.001653i,-0.00010367+0.0010734i,-0.00073239+0.00041799i,-0.00066335-0.00029029i,-0.00033143-1.9447e-05i,-4.2243e-05+0.00082054i,0.00028075+0.00084218i,0.00042021+0.00051588i,0.00021461-0.00014773i,-0.00015258-0.00029724i,-0.0003809+0.00012324i,-0.00030256-0.00015662i,-0.00027222-0.00033222i
-0.0026099+0.0012659i,-0.00095978+0.0014227i,-0.0012621+0.0015422i,-0.00068804-0.0001008i,0.00030623-0.0013048i,0.00044014-0.00031037i,0.00053238+0.0006351i,0.00030673+0.0010276i,0.00031582+0.00022686i,0.0009955+0.00023554i,0.0010928+0.00051524i,0.00071992+1.223e-05i,0.00026943+0.00026316i,-6.5464e-05+0.00053327i,-0.00012195-0.00042721i,1.1354e-05-0.00097301i,3.4739e-05-0.00010974i,0.00010643+4.192e-05i,0.00020276-0.00026262i,-0.00033992+0.0003929i,-0.0007113+0.0010343i,-0.00031325+0.00084978i,0.00029113+0.00050206i
-0.0014854+0.00061222i,-0.0013241+0.00013074i,-0.001285-0.00075923i,-0.00062941-0.00073723i,-0.00070782-0.00087998i,-0.00082725-0.00072411i,-0.00086667+0.0003907i,8.9091e-05+0.00056209i,0.00038782-0.0013439i,0.00045392-0.0019828i,-7.6457e-05-0.00070332i,-0.00038465-0.00033494i,-0.00028431-0.00026857i,-0.00045171-9.3393e-05i,-0.00094454-0.00014581i,-0.0010658-0.00049493i,-0.00044899-0.00024444i,0.00040487-0.00011273i,0.00060489+0.00040218i,-3.4305e-06+0.00088012i,-0.00046511+0.00075455i,-0.00070367-5.1652e-05i,-0.00038371-0.00010731i
0.00080482-0.0028245i,0.0013537-0.0023064i,-7.9535e-05-0.002741i,-0.0013022-0.0030376i,-0.0017486-0.0021507i,-0.0025758-0.00068178i,-0.0019333-0.00069535i,-0.00064727-0.00088672i,-0.0004241-0.0017678i,-0.00094192-0.0028502i,-0.00082749-0.0022624i,-0.0011206-0.0013197i,-0.001957-0.00032125i,-0.00098338-3.5629e-05i,0.0005204+0.00032852i,0.00031105+0.00033913i,-0.00088344-0.0001599i,-0.0009447+0.00021318i,-0.00032186+0.00086835i,0.00019483+0.00089922i,0.00046148+0.00025716i,0.0003155-0.00011215i,-0.00032549+0.00039374i
-0.0013006-0.0036707i,-0.0017098-0.0032041i,-0.0031589-0.0043056i,-0.0023466-0.0042614i,-0.0017442-0.003415i,-0.0015815-0.0019414i,-0.0012435-0.00082653i,-0.0010791-0.0012568i,-0.0014857-0.0019155i,-0.0021169-0.0012952i,-0.0018748-0.0009781i,-0.0013768-0.00031729i,-0.0016796+0.0007256i,-0.0018791+0.001302i,-0.00039285+0.00072747i,0.00037547+0.00053723i,-0.00061588+0.00072598i,-0.00077775+0.00077837i,0.00040605+0.00030255i,0.0010447+0.00028819i,0.00094727+0.00085329i,0.00068511+0.00065749i,0.00014939-0.00038216i
-0.00051193-0.00029062i,3.3769e-05-0.00048843i,-0.00042193-0.001927i,-0.00073422-0.0022066i,-0.00043785-0.0015489i,-0.00082553-0.00084999i,-0.0011609+3.5489e-05i,-0.0010785-0.00011108i,-0.0015443-0.0002007i,-0.0016569+0.00035913i,-0.0013089+0.00052613i,-0.00060962+0.00069034i,1.0685e-05+0.0005747i,2.8448e-05+0.00030211i,0.00026882+0.00043932i,0.00088401+0.0004914i,0.0017685+0.00053531i,0.0015349+0.00046949i,0.0010801-4.3413e-05i,0.00088072-6.577e-05i,4.3531e-05-0.00028079i,-0.00038421-0.00048526i,-0.00027088-0.00014237i
0.00051065-0.0026057i,-0.00065196-0.0033202i,-0.00095852-0.0039646i,-0.0010757-0.0040574i,-0.0016708-0.0040622i,-0.0027577-0.0021598i,-0.0028598+0.00043589i,-0.0012937+0.0005399i,-0.00035559-0.00032714i,-0.00082261-0.00022983i,-0.0014648+0.00031647i,-0.0015273-0.00010672i,-0.00097812+0.00013157i,-3.2682e-05+0.00097001i,4.4537e-05+0.00049816i,-0.00053126-0.00066292i,2.6044e-05-0.00019478i,0.00048048+0.00059778i,0.00010436+0.00039442i,-0.00065681-0.00027443i,-0.00073489-0.00075108i,-0.00053976-0.0011044i,-0.00070349-0.0006328i
0.0029216-0.00022781i,0.0017621-0.00086138i,0.0023497-0.003825i,0.0011407-0.0057445i,-0.0014631-0.0051209i,-0.0019048-0.0020745i,-0.00085926-0.0001016i,0.0012431+0.00024533i,0.0020244+0.00047495i,0.001323+0.00031843i,0.00027569+0.0001122i,-0.00069336+0.00032176i,-0.001231+4.0018e-05i,-0.0012123-0.00081224i,-1.9593e-05-0.0011036i,0.00054018-0.00036194i,0.00038447+0.00024525i,0.00013154+0.00061741i,-0.00061482+0.00024203i,-0.00071761-0.00052507i,-0.00053443-5.6301e-05i,-0.00060281+0.00066058i,-0.00029381+0.00081205i
-0.0014016-0.00015875i,-0.0015722+3.8675e-05i,-0.0019997+0.00067734i,-0.0014642-0.00026784i,-0.00084638-0.0021103i,-0.00089381-0.0011258i,-0.00024872+0.0005563i,0.0013427+0.00036812i,0.0016372-0.00064172i,0.0010451-0.0010558i,0.00047509-0.00060216i,-0.00015266-2.403e-05i,-0.00074805+0.00017083i,-0.00090242-0.00015598i,-0.00063643-0.00083388i,-0.00067177-0.0010105i,-0.00072986-0.00088605i,0.00048147-4.4585e-05i,0.0015982+0.00080054i,0.001221+0.0010776i,0.00049556+0.0011045i,0.00017469+0.0004067i,-3.0267e-05+7.2874e-05i
-0.0038938+0.00011211i,-0.0029041+0.00038309i,-0.0027076-0.00066362i,-0.0011642-0.0019874i,0.00027825-0.0030705i,-0.00041035-0.0024239i,-0.0014604-0.00070007i,-0.001499-0.0010251i,-0.00019512-0.0014867i,0.00084445-0.0007615i,0.00075672-0.00016252i,-0.00013236-2.0185e-05i,-0.0011854+0.00067337i,-0.0014145+0.00082221i,-0.0016296+0.00068156i,-0.0006858+0.00075704i,0.00043213+0.00065751i,0.00030669+0.00081073i,0.00033179+0.00069487i,0.00040594+9.521e-05i,0.00048934-0.00042865i,0.00080627-0.00025031i,0.00095235+0.00011874i
0.0019095-0.0016553i,0.0014237-0.001979i,0.00082748-0.0019738i,0.00069534-0.0032092i,0.00038091-0.0036884i,-0.0010719-0.002083i,-0.00066872+0.00024467i,0.00044278+0.00034703i,-4.416e-05-0.0011898i,-0.0013057-0.0018537i,-0.0017523-0.0018724i,-0.00074054-0.0015136i,-0.00083743-0.00049093i,-0.0012424+9.5698e-05i,-0.001209+0.00024854i,-0.0011854+0.00058953i,-0.00078576+0.00087416i,0.00023761+7.7762e-05i,0.00025291-0.00054213i,-0.0001929-0.0010047i,0.00021836-0.000974i,-0.00015061-0.00025733i,-0.00041612+0.0002863i
0.0017117-0.00012001i,0.0014371+0.0001377i,0.00077075-0.0015189i,-0.00049129-0.0036663i,-0.0026731-0.0042464i,-0.0031571-0.0021644i,-0.0019941+0.00021889i,-0.0017933+0.00025947i,-0.00095713-0.0011471i,-8.9163e-05-0.0018625i,-0.00013042-0.0017963i,-0.00011035-0.0016449i,0.00064232-0.00080124i,0.0015205+0.00031314i,0.00099638-0.000112i,0.0005608-7.1295e-05i,0.00036248+0.00047164i,0.00047164+0.00062266i,0.00062102+0.0004059i,0.00063317+0.00017338i,0.00071893-9.2461e-05i,0.00032267-0.00046273i,0.0005051-0.00023494i
-0.00021307-0.0023945i,-0.0003122-0.0020034i,0.00025598-0.0036515i,0.00082991-0.0041236i,1.859e-05-0.003902i,-0.0008025-0.002647i,-0.00062959+5.9324e-06i,-0.00069051+0.00071463i,-0.0011008-0.00073678i,-0.0015168-0.0007738i,-0.0022767-0.00015315i,-0.0017348-0.00033326i,-0.00025103-0.00036534i,0.00021151-0.00030613i,0.00032318+0.00034106i,0.00012129+0.00090197i,-0.00031185+0.00043699i,-0.00054889-0.00026697i,-0.00032453-0.00042787i,-0.00010552-4.3352e-05i,0.00069986+4.3328e-05i,0.00082218+0.00028684i,-0.0001797+0.00035406i
-1.6441e-05-0.00065644i,-0.00020308-0.0011862i,0.00075017-0.0015267i,0.001598-0.0026706i,0.0013286-0.0037291i,-0.00013905-0.0032154i,0.00014169-0.0011445i,0.00066231+0.00074368i,-5.0325e-06+0.0010133i,-0.0006033+0.00073651i,-0.00058351+0.00063876i,-0.0011404+0.00026448i,-0.0014822-3.1288e-05i,-0.0010616-2.9267e-05i,-0.00087808-4.2898e-05i,-0.0004035-0.00065849i,0.00024834-0.00070493i,0.00088138-0.00034585i,0.0012026-0.00023342i,0.0010495-0.00024683i,9.9814e-05+0.00032892i,-0.00024726+8.9406e-05i,-0.00023453-0.00049584i
0.00037775-0.0012835i,0.0011909-0.00079991i,0.00045099-0.0015665i,-0.00088077-0.0036747i,-0.0020138-0.0044481i,-0.0032373-0.0036768i,-0.0032454-0.0019161i,-0.0015322-0.00039219i,-8.5202e-05+0.00056341i,0.00071107+0.0012955i,0.00069874+0.0012334i,-0.00059415+0.0010727i,-0.0015585+0.0012006i,-0.0014895+0.00066052i,-0.00094729+5.8925e-05i,-0.00013471-0.00021277i,-3.064e-05-0.00062417i,-0.00025254-0.00097037i,-0.00049252-0.0015486i,-0.00078172-0.00077809i,-0.00089596+0.00058615i,-0.00051144+0.0010591i,-0.00033903+0.0010039i
