-0.0021372-0.00091746i,-0.0031802-0.00022316i,-0.0031393+0.00061103i,-0.0025399+0.00037663i,-0.0020103-0.00041573i,-0.0018307+9.3093e-05i,-0.0011579+0.0013791i,-4.0917e-05+0.0012829i,0.00050021+0.0010651i,0.0005726+0.0014458i,0.00078221+0.0013788i,0.00044989+0.00086796i,0.00032841+5.5858e-05i,0.00092841+0.00023695i,0.0012106-0.00034029i,0.00073741-0.00097603i,0.00069315-0.00035545i,0.00071112+0.00030988i,0.00027946-6.0196e-05i,0.00019569+0.00014914i,0.00016066+0.00032932i,1.1369e-05+0.000251i,-6.4626e-05+2.8669e-05i
-0.0016906+0.00036488i,-0.0011866-0.00020434i,-6.5904e-05+0.00011881i,0.0012183+0.0014966i,0.001108+0.0018945i,0.00081993+0.00084614i,-7.1819e-06+0.00013931i,-8.892e-05+0.00024882i,0.00070475+8.7145e-05i,0.00074976-6.5546e-05i,0.00050411+0.00041294i,3.1999e-05+0.00028879i,-0.00040169-0.00079315i,-0.00050983-0.00084643i,2.3793e-05-0.00027285i,-0.00020489-0.00061979i,-0.00084651-0.00085589i,-0.0010953-0.00027366i,-0.00079715+0.0004825i,0.00022464+0.00092334i,0.00072158+0.0010335i,0.00071382+0.000631i,6.8176e-05+0.00054993i
-0.0010634+0.0027851i,-0.00034844+0.0022219i,4.7636e-05+0.0016177i,0.00016911+0.0012817i,0.00034712+0.00089594i,-8.3315e-05+0.0012959i,-0.00036007+0.0009578i,-0.00023905+0.00044646i,4.4385e-05+5.6123e-05i,0.00058139-0.00035719i,0.00086203-0.00096074i,0.00051168-0.00066167i,0.00015655-0.00017388i,-1.0262e-05-0.00051369i,-0.00020969-0.0009209i,3.6807e-05-0.00087287i,0.00025447-0.0006015i,0.00072077-0.00016545i,0.00082293+0.00053164i,0.0005616+0.00016159i,0.00089454-0.00017887i,0.00072477+0.00014469i,0.00034673-5.4612e-05i
0.0013906-0.00086259i,0.00069616+0.00040952i,0.00072666+0.00023496i,0.00065752+0.00057687i,-4.9887e-05+0.0011092i,-7.3577e-05+0.0002126i,0.000285+0.00013103i,0.00056583+0.00056712i,0.00087632-0.00033847i,0.00041235-0.0006222i,-0.00065493+0.00038705i,-0.0010317+0.00080945i,-0.00038362+0.00028091i,7.138e-05+0.00051342i,8.9383e-05+6.62e-05i,0.00049184-9.473e-05i,5.495e-05+0.001124i,-0.00058722+0.0011267i,-0.000322+0.00055417i,-0.00055129+0.00019154i,-0.00089289-0.00069534i,-0.00055605-0.00077132i,-0.00035916-0.00026247i
-0.0014961+0.0014813i,-0.0015498+0.0024077i,-0.00083672+0.0032072i,0.00072016+0.0019985i,0.0013684+0.00049837i,0.00069365-6.0251e-05i,0.0002016+0.00018045i,-1.6268e-05-0.00032222i,-0.00032119-0.00080027i,-0.00046828+0.00019291i,-0.00051911-0.00012695i,-0.00040929-0.00059794i,-0.00023635-0.00031375i,-0.00012215-0.00038342i,-7.7538e-05-6.73e-05i,0.0002559-0.00037067i,0.00068315-0.0007823i,0.00023063-0.00051873i,-0.00049388-9.7648e-05i,-0.00019562+0.00011358i,0.00060066+0.00039001i,0.00098048+0.00029068i,0.0007352+2.9835e-05i
-9.1838e-05+0.0007713i,3.362e-05+0.0011363i,9.6773e-05+0.0026526i,1.0382e-05+0.0040245i,-9.2561e-05+0.003695i,0.00020405+0.0021349i,0.00033339+0.00027819i,0.00029127-0.00054282i,0.00034341-0.00010784i,0.00057516+0.00081864i,0.00067854+0.0013973i,0.00039959+0.0017169i,3.0572e-05+0.00025028i,-0.00021901-0.0013146i,0.00031236-0.0012597i,0.00035551-0.00024484i,-0.00044658+0.00021521i,0.00036215+0.00086014i,0.00081238+0.0011106i,4.9141e-05+0.00040766i,-0.00044202+0.00044515i,-0.00031144+0.0009312i,-4.2919e-05+0.00097517i
0.0007955-0.00065922i,-5.8044e-05-0.00076165i,0.00047457-0.0015233i,0.00087549-0.0017345i,0.00026796-0.0012565i,3.3364e-05-0.0004062i,0.00050319+0.0001727i,0.00085526+0.00034862i,0.00040915+0.00017555i,-0.00013242-0.00086401i,-0.00037598-0.00082151i,-0.00014304+0.00027591i,-0.00021226-0.00035167i,-0.00047171-0.0017759i,-0.00019193-0.0014471i,3.4454e-05+0.00020619i,-3.5117e-05+0.00062552i,0.00077382-0.00044612i,0.0013729-0.00014452i,0.00074633+0.00055798i,0.00024146+0.00038417i,0.00011911-0.00016817i,-0.00049073-0.00037198i
-0.0018532-0.0016007i,-0.0023065-0.0015918i,-0.0026402-0.0014671i,-0.0032097-0.00013512i,-0.0024733+0.0020427i,-0.0018313+0.0034984i,-0.0014622+0.0014647i,-0.00051202-0.00036115i,-3.7193e-05-0.00074405i,0.00011158-0.00053904i,0.0001892+0.00061747i,0.00014116+0.00012013i,0.00026902-0.00049511i,0.00035467+0.00010105i,-0.00041613+0.00054251i,-0.00022284+0.00016418i,0.00028142-0.00013312i,0.00026697-0.00019015i,-4.0157e-06+7.2245e-05i,-0.00028254+0.00022816i,1.9072e-05-0.00010199i,-0.00018571-0.0003266i,0.00025926-7.3861e-06i
0.001212-0.0006411i,0.00074973-0.00050189i,0.00065581-0.0014043i,0.00063453-0.0011625i,-0.00030875+0.00011317i,-0.00076322+0.00072158i,-0.00043702+0.00018902i,6.2399e-05-0.00018923i,7.4646e-06+0.00024199i,-0.0011341-0.00014505i,-0.0012062-0.0015409i,-0.00042237-0.0011844i,-0.0008565-0.00032029i,-0.00065059-0.00062049i,0.00031222-0.00033433i,0.00029313-0.00035215i,0.00031808-0.00054322i,0.00076475-0.00031643i,0.00054434-0.00031665i,0.00033165-0.0002433i,0.00046981+3.1708e-05i,0.00043809-0.00016312i,0.00039324-0.00016418i
-0.00033563+0.0018001i,-0.00055835+0.0013123i,2.8209e-05+0.0019168i,-8.8254e-05+0.0019601i,0.00026666+0.0013212i,0.0010055+0.0012742i,0.00086474+0.00051866i,0.00033928-3.1292e-05i,0.00036552-1.477e-06i,0.00079739-0.00029236i,0.00067077-0.00072398i,0.00016751-0.0011749i,-0.0001572-0.00098816i,-7.7055e-05-0.00016563i,-2.0364e-05-0.00018425i,-0.00035783-0.0005548i,-0.00043833-0.00033672i,7.0275e-05+0.00036169i,0.00064462+0.00056178i,0.00078707+0.00032775i,0.00088586+0.00014427i,0.0010978-0.00013025i,0.0010917-3.2601e-05i
0.0011064+0.00063507i,0.0012618+1.4685e-05i,0.0019754-0.00048121i,0.0021767-0.00076748i,0.0013257-0.00032505i,-0.0001405+0.00016312i,-0.0005105-0.00027446i,0.00030069-0.00061901i,0.0012694-0.00053351i,0.0010651-2.5312e-05i,7.9393e-05+0.00049207i,-0.00077534+4.8539e-05i,-0.00094063-0.00075383i,-0.00010919-0.00086595i,-0.00031055-0.00060902i,-0.00045013-0.00050942i,-0.00043353-0.00026385i,-0.00051924+0.00016774i,0.00037019+0.00052327i,0.00056776+0.00065845i,0.00010734+0.00034172i,0.0001673+0.00012578i,-0.0001533+0.0002008i
