-0.00015186+0.00022867i,0.0015567-0.00063041i,0.00091026-0.0020645i,0.00033215-0.0020604i,-0.00082622-0.00093774i,-0.001838-0.00013046i,-0.0009245+0.00091527i,0.00081705+0.0020315i,0.0017271+0.0023054i,0.0020291+0.0014385i,0.0018459-3.4095e-05i,0.00085417-0.00018981i,4.1407e-05-0.00010248i,0.00017091+0.00011421i,-2.5013e-05+0.00087635i,-0.0011007+0.00092816i,-0.00083815+0.00095816i,-6.0397e-05+0.00098123i,-0.00021651+0.00056521i,-0.0004882+0.00064261i,5.94e-05+0.00053582i,0.00087791+2.7925e-05i,0.00074827+6.9904e-05i
-0.00051759+0.0010585i,-0.00014999+0.00067613i,-0.00015679+0.00060109i,-0.00012292+0.001013i,1.4363e-05+0.00051821i,0.00075722-0.0010916i,0.00010491-0.00072575i,-0.00055622+0.00080909i,0.00025267+0.00090317i,0.00040795+0.00030352i,-0.00045413-0.00047075i,-0.0005118-0.0011193i,-0.00041499-0.0012293i,-0.0001112-0.000102i,-0.0001663+0.00016778i,-0.00050462-0.00081254i,-0.00061023-0.00096355i,-0.00064818-0.00090541i,-0.00062733-0.00036853i,-0.00035293-0.00019225i,0.00020621-1.2962e-05i,0.00021913+0.00020334i,-0.00067301-0.0001025i
0.00042941+0.00051049i,0.00052978+0.00013525i,0.00060247-0.0010964i,0.0012598-0.001663i,0.0012001-0.002342i,-1.395e-05-0.0016678i,-0.0011968+0.00045767i,-0.0011175+0.0016508i,0.00020263+0.0017469i,0.00069049+0.0011057i,0.00068683+0.00052764i,0.0001266+0.00072642i,-0.00010905+0.00096296i,0.00060817+0.00070565i,0.00031322-0.00025358i,-0.00054795-0.0005822i,-0.0010093-0.00013219i,-0.00058465-0.00035378i,-4.9693e-05-2.0526e-05i,0.00064739+0.00028084i,0.00098375+0.00014298i,0.00069131+0.00063109i,9.8077e-05+0.0012139i
-0.00014828+0.00055483i,-0.00060721+0.00077463i,-0.0008886+0.00087869i,-0.00038262+2.3762e-05i,-0.00031108-0.00046335i,-0.001175-0.0011244i,-0.0016098-0.00035365i,-0.0014986+0.0012083i,-7.5103e-05+0.0018776i,0.0009947+0.00097095i,0.0015606+0.00023003i,0.0012878+0.00036418i,0.00044729+0.00015972i,0.00032614-0.00035077i,0.00012343-0.00050135i,-0.00044336-0.00016949i,-0.00054516-0.00053435i,2.4772e-05-0.00067011i,0.00022723+0.00026126i,0.00093244+0.00079253i,0.00047904+0.00034952i,-0.00015713-0.0001926i,-0.00017753-0.00018212i
-0.00051246-0.0013892i,-0.00093054-0.00013502i,-0.00090348+0.00054459i,0.00023501-0.00043518i,0.00066643-0.0013703i,-0.00067426-0.0017835i,-0.0012121-0.001472i,-5.571e-05-0.00045813i,0.0012292-3.769e-05i,0.001042-0.00067153i,0.00071532-0.000753i,0.00092443+0.0004266i,0.00087452+0.00086297i,0.00058585+0.00026539i,-2.1713e-05-0.00029713i,-2.7395e-05-0.00028659i,-0.00025546+0.00020241i,-0.00049229+0.00043997i,-0.00032115+0.00010558i,4.1664e-06+1.4486e-05i,0.0006431+0.00067687i,0.00072271+0.00081431i,0.00024617+0.00072494i
-0.00059137+0.00031623i,-0.00032837+0.00036694i,-0.00071858+1.9475e-05i,-0.0014571-0.00073787i,-0.0019074-0.0013808i,-0.0014767-0.0010497i,-0.0010264-9.817e-05i,-0.00049752+0.00056268i,0.00030639+0.00086565i,0.0011118+0.00040147i,0.0019041-3.2709e-05i,0.0021706+0.00039587i,0.0014572+0.0011297i,0.00048762+0.00083711i,-0.00022283+0.00063069i,-0.00084894+0.00025529i,-0.00032704-0.00053225i,-0.00028374-0.00026355i,-0.00043908+0.00028881i,-0.00026142+0.00034562i,-0.00012515+0.00033509i,0.00027811+0.00043678i,-0.0001464-8.1629e-05i
-0.00031001+0.0002796i,-0.00033457+0.0013572i,0.00091783+0.0015635i,0.0013947+0.00081517i,0.00073249-0.0014949i,0.00025589-0.0026663i,-0.00028638-0.0017883i,-2.9132e-05-0.00074128i,0.0010431+0.00019887i,0.001979+0.00059437i,0.0020279-0.00011827i,0.0010717-0.00020457i,0.00066342+0.00011693i,0.0004412-0.00017491i,-7.6266e-07-2.2868e-05i,-0.00056084+0.00019402i,-0.00023364-0.00030828i,0.00058965-0.00035391i,-0.00030616-0.00026227i,-0.0006204+0.000123i,0.00082262+0.00072999i,0.00090522+0.00015466i,0.00040322-6.6116e-05i
0.0011029-0.00052809i,0.00063355-0.00098551i,0.0013149-0.0028014i,0.0010275-0.0039651i,-0.00026444-0.0030593i,-0.00055698-0.0018922i,-0.00071454-0.00051804i,-0.00011674+0.00074585i,0.0015529+0.0013638i,0.0022872+0.00087876i,0.0014524+0.00016605i,0.0003124-9.8252e-05i,-0.00020787-0.00040036i,-0.00028018-9.128e-05i,0.00033002-8.1146e-05i,0.00096112-0.00045072i,0.0009126-0.00014094i,0.00055641+0.00047759i,-0.00038639+0.00034257i,-0.00039525+0.0004996i,0.00021216+0.00018607i,-0.00026782-0.00052613i,-0.0004092-0.00051995i
-0.00052619-0.0023229i,-0.0014264-0.0028566i,-0.0027533-0.0033234i,-0.0030616-0.0020962i,-0.0028855-0.0010131i,-0.0024394-0.0012255i,-0.0017332-0.001133i,-0.00022616+0.0001402i,0.001253+0.00084689i,0.0012579+0.00076243i,0.00092774+0.0003036i,0.0014414+0.00035029i,0.00090899+0.00090012i,-0.0003766+0.00093416i,-0.00052822+0.00016126i,0.0002179+0.00025888i,0.00029692+0.00082741i,-0.00050905+0.00031583i,-0.00056874-0.00062595i,-0.00015581-0.0011403i,-0.00019688-0.00019177i,8.333e-05+0.00048952i,-0.00027835-0.00037249i
0.00087691-0.00054556i,0.00018415-0.0004407i,0.00010901-0.0012657i,-0.00019918-0.0026317i,-0.0019073-0.0033756i,-0.0026101-0.0026416i,-0.0016711-0.0012008i,0.00018828+0.00036217i,0.0012668+0.0011925i,0.0013856+0.00076608i,0.0011968+0.00015107i,0.00078222+0.00028915i,0.00092098+0.00085831i,0.0010047+0.00087954i,0.00026362+0.00062442i,5.7364e-05-0.0002722i,0.00062151-0.00023148i,0.00045469-0.00063344i,0.0003195-0.00093399i,0.00041348-0.00074225i,-6.6156e-05-0.00025806i,-0.00028366-5.8156e-05i,-8.0148e-05-0.00038455i
0.0004772+0.0015581i,-0.00071596+0.0012693i,-0.0010386-0.00020868i,-1.5828e-05-0.0010143i,0.00069265-0.001331i,-0.00026182-0.0015825i,-0.0010708-0.00048278i,-0.00036623+0.00082245i,0.00073469+0.0013688i,0.0011466+0.00096031i,0.00061806+0.00046029i,0.00030407-2.8284e-05i,0.00018726+0.00011855i,0.00011245+0.00030134i,0.00041986-0.00051179i,0.00035468-0.00069899i,-0.00011364-0.00054776i,-0.00010748-0.00059374i,0.00035406-0.00080073i,0.00054847-0.00074169i,0.00045635-0.00031323i,-0.00012403+0.00050297i,-0.00020199+0.00072597i
