-0.00018133+0.00036553i,-0.0003411-0.0010189i,-0.00049884-0.0011777i,-0.00058785-0.00072439i,-0.001711-0.00041588i,-0.0019063-6.9333e-05i,-0.00023461+0.00058607i,0.00083038+0.00071007i,0.00066913+0.00028987i,0.00054497+8.1659e-05i,0.00043988-0.00030024i,3.3323e-05-0.00039423i,-0.00036807+3.3974e-05i,-0.00040752-0.00028216i,-0.0002024-0.00021072i,-0.00038602+3.2087e-05i,-0.0002103+7.6407e-05i,0.00022598-0.00018288i,0.00045905-0.00012324i,0.00078307+0.00050441i,0.00058127+0.0005437i,5.7192e-05+0.00031577i,-0.00040085+0.00048142i
0.0004553+0.0007329i,0.00057788+0.00039104i,0.00058454+0.0004897i,0.0012481+0.00029436i,0.0017755-0.00050982i,0.0011639-0.00051137i,0.00019487-5.2858e-05i,-8.4379e-05-0.00015589i,0.00011625-0.0001124i,0.00025241+0.00011541i,-0.00010114-0.00078422i,0.00037204-0.0015546i,0.00090096-0.00072552i,0.0002949+0.00025819i,9.1819e-05+0.00018552i,0.00083929-0.00030294i,0.0015377-0.00019469i,0.00095723+0.00014594i,0.00036949+0.00041592i,3.8717e-05+0.00044194i,9.78e-05-0.00015456i,3.2587e-05+5.3728e-05i,-3.9868e-06+0.0002503i
-0.0014152+0.0011666i,0.00017482+0.0006499i,-0.00033699+2.8722e-07i,-0.001236+8.126e-05i,-0.00085866+0.00070245i,-0.00080373+0.00060151i,-0.00061136+0.00022116i,-0.0007355+0.00035448i,-0.0012562-6.7213e-05i,-0.0011898-0.0007147i,-0.00030501-0.0003615i,0.0006099+0.00057997i,0.00054148+0.0011678i,0.00079692+0.00041087i,0.0011449-7.7887e-05i,0.00071994+0.00021002i,0.00034438+0.00041815i,0.00021183+0.00020295i,0.00092119+5.883e-05i,0.0013098+0.00046276i,0.00071271+0.00020337i,0.00082148+6.4131e-05i,0.00092967+0.00089303i
0.00181-0.0017266i,0.0011755-0.0019777i,0.00021407-0.00137i,0.00033321-0.0011867i,-0.00031011-0.00064284i,-0.00048573-0.00049722i,0.0002918-0.000695i,0.00030623-9.798e-06i,0.00045423+0.00046405i,0.00024048+0.00012672i,-0.00055477-0.00010961i,-0.00058011-0.00018187i,-0.00012808-0.00012522i,-0.00055523+9.1397e-05i,-0.00093703+1.9289e-05i,-0.00050184-0.00019865i,0.00055461-0.00036056i,0.00087903-0.00016397i,0.00083971+0.00029761i,0.00010398+0.00020025i,-0.00020502+0.00044603i,-6.0836e-05+0.0008908i,-2.6142e-05+0.00058188i
8.7926e-05+0.0037664i,0.00040607+0.0036035i,0.001222+0.0022342i,0.00052236+0.0013087i,-0.0003059+0.00019109i,-0.00035797-0.00023021i,-0.00081731+0.00066878i,-0.00086139+0.0007232i,-0.00023791-0.00018798i,0.0002229-0.00056705i,0.00046102-9.5917e-05i,-0.00016979+0.00011183i,-0.00039249-0.00047613i,-0.00061601-0.00045284i,-0.00039698-0.00018437i,0.00057725-0.00048306i,0.00080836-0.00049017i,0.00052003-0.00012102i,0.00038736+0.00032395i,0.00069318-4.5216e-05i,0.00055634-0.00022196i,-0.0003137+1.8459e-05i,0.00021137-8.7859e-06i
-0.0013539-0.0048118i,-0.0016634-0.0040233i,-0.00164-0.0015618i,-0.00059253-6.3025e-05i,-0.00065658+0.0004911i,-0.00064396+0.0011016i,-0.00017161+0.0011427i,0.00051787+0.00059365i,0.00026125+0.00062033i,-0.00083069+0.0002256i,-0.00060149-0.00017072i,0.00020694+0.00016559i,0.0008721+0.00013299i,0.00072756+0.00043121i,0.0012392+0.00014742i,0.00080389+9.8534e-05i,-0.00039307-0.00014296i,-0.00043624-0.00089933i,0.00015973-0.001302i,0.00073509-0.0011122i,0.00039836-0.00056508i,-0.00045695-0.00037435i,-0.00033682+5.7579e-05i
0.0023112+0.0017492i,0.0014528+0.0010164i,0.00025962+0.00036508i,-0.00048344+0.00062669i,-0.00026764+0.00029456i,-0.00041187-0.00070922i,-0.0011941-0.00050925i,-0.0010769-0.00015947i,-0.00021307+7.9714e-05i,0.00057894+0.00016757i,0.00038956+0.00016544i,-0.00068595+0.00066706i,-0.0010786+0.00041925i,-0.0006458-0.00046353i,-0.00041999-0.00040436i,3.4216e-05+0.00019401i,0.00033224+0.00026868i,-0.00032332-3.2775e-05i,-0.0013103-0.00024975i,-0.0011927+0.00029519i,-0.0003554+0.00091959i,5.5839e-06+0.00046213i,0.00023274+0.00015939i
-0.0017338+0.00065288i,-0.0007586+0.0019593i,0.00033958+0.0023225i,0.00037541+0.00098571i,-0.00032192-0.00046128i,-0.0001348-0.0010707i,0.00034481-0.00077149i,0.00023882-0.0001763i,-0.00036211-0.00030436i,-0.0011484-0.00055594i,-0.0011084-8.6336e-05i,-0.00076351+0.00023113i,-0.00054878+2.9588e-05i,-0.0013014+0.00011225i,-0.0014651-0.00042281i,-0.00060011-0.00090368i,0.00013444-0.00054569i,0.00067742-0.00023438i,0.00054869+0.00017904i,-1.8724e-05-9.4174e-05i,-0.00034619+1.6921e-05i,-0.000214+0.00019791i,0.00041838+0.00033977i
0.0036462-0.00076379i,0.0030924-0.00089504i,0.0028333-6.068e-05i,0.0019401-0.00014424i,0.00020154-0.0013501i,-0.00043852-0.0011999i,-0.0002886+0.00013373i,-3.4121e-05+0.00088449i,6.5559e-05+0.00060079i,-0.00029594+0.00021043i,-0.00049562+2.079e-05i,-0.0007358+0.00055784i,-0.00021888+0.0010476i,0.00055895+0.00025315i,0.00036427+0.00031607i,-0.00010101+0.00052354i,-0.00026058+0.00024179i,-0.00044711-0.00024833i,-0.00069907-0.00036339i,-0.00098572+9.5637e-05i,-0.00079545+0.00070767i,0.00061166+0.00037392i,0.00057824-0.0004926i
-0.0016239+0.0017366i,-0.0014016+0.0019919i,-0.0013947+0.0021711i,-0.00017782+0.0019421i,0.00061349+0.00032331i,0.00072722-0.00068801i,0.00027032-0.00018827i,0.00047579-0.00011177i,0.00057203-0.0006013i,-0.00042819-0.0002649i,-0.00056319+0.00047523i,-3.5769e-05-9.4436e-05i,-2.9902e-05-0.00077648i,0.00013386-0.00027746i,0.00062613-0.00031999i,0.00056739-0.00032036i,8.2572e-05+0.00035453i,-0.00031317+0.00015804i,-0.00063029-0.00060463i,-0.00029952-0.00063921i,-8.6094e-05+0.00025049i,-0.00041048+0.00048393i,-9.1362e-05-0.0006304i
0.0012589-0.00063533i,0.00057149-0.00041605i,8.2306e-06+1.7291e-05i,-3.9079e-05-0.0002376i,-0.00042806-0.0008798i,-0.001234-0.0010068i,-0.0011185-0.00058411i,-0.00010182-0.00025908i,0.00030318-0.00058465i,-0.00050625-0.00089732i,-0.00115-0.0011104i,-0.0014294-0.00094981i,-0.0013261-0.00072371i,-0.00040446-0.00054517i,0.00042026+0.00011388i,-4.3558e-05+2.9417e-05i,-0.00099239-0.00083439i,-0.00040438-0.00095841i,0.00027472-0.0008558i,0.00068439-0.0006257i,0.0005111-0.00020879i,7.1776e-05-0.00023891i,-0.00035175-0.00040247i
0.0012915+0.0012815i,0.00042186+0.0012766i,0.00036556+0.00089113i,0.0014221+0.000214i,0.0010553-0.00010796i,-0.00062402+2.1852e-05i,-0.0011434-7.722e-05i,-3.5015e-05-9.6058e-05i,-0.00016358-0.00019744i,-0.0013337-0.00031265i,-0.00079775+9.3058e-05i,6.9094e-05+0.00053896i,-0.00027491+0.00051784i,0.00024133-0.00018498i,0.0010305-0.00076015i,0.0009543-0.00090393i,-0.00011414-0.00037539i,-0.00097454+0.00049537i,-0.0012818+0.00080684i,-0.00061877+0.00031542i,-0.00016807+0.00067412i,-0.0004184+0.00020648i,0.00025566-0.00051504i
-0.00029756+0.00068365i,7.842e-05+0.0014959i,0.0011404+0.001624i,0.0007691+0.0017741i,4.698e-05+0.001567i,-0.00052631+0.00081485i,0.00036633-7.0376e-05i,0.0014865-0.00087602i,0.00090215-0.0017741i,0.00044202-0.0014201i,-5.1092e-05-0.00068359i,-0.00045395-0.00067412i,-0.00066452-0.0011114i,0.00017653-0.00098663i,0.00060258-0.00024375i,0.00032267+0.00060875i,0.00032186+0.00076747i,0.00034809+0.00024393i,6.8843e-05-0.00032342i,8.4809e-05-0.00019266i,0.00055485-0.00040036i,0.0012062-0.00061057i,0.00086646+0.00014739i
0.0014103-0.00021001i,0.00046493-0.00027416i,0.00066148+0.00038819i,0.00095505-0.00019157i,0.00060091-0.00088648i,-3.7836e-05-0.00036424i,-1.2477e-05-7.325e-05i,0.00024969-0.00021915i,9.695e-05-0.00011998i,8.9668e-05-0.00012168i,-0.00030341-0.00049073i,-0.00054629-0.00015688i,-0.00033946+0.00045494i,-0.00015773+0.0001825i,-0.000351-0.00030179i,-0.00067706-0.00034654i,-0.00045402-0.00042801i,-0.00036784-8.7164e-05i,-0.00042701-0.00036939i,-0.00031686-0.00045499i,0.00032817+5.7986e-05i,0.00045257+1.8131e-05i,-0.00048643+0.00011838i
-0.0012524+0.0014194i,-0.00043359+0.00024406i,-0.0003025+1.6215e-05i,-0.00053862+0.00047888i,-2.8038e-05-7.4413e-05i,0.00055113+0.0001071i,0.00038171+0.00043465i,0.00029723+0.00011582i,0.00014729+0.00042931i,-5.5376e-05+0.00093776i,-0.00040004+0.00096719i,-0.0003377+0.00057413i,0.00011191-0.00016304i,-4.4879e-06-0.00093947i,-0.00041123-0.0010786i,-0.00070759-0.00080091i,-0.0010701-0.00093022i,-0.00082993-0.0011814i,-0.00070853-0.0012689i,-0.00065226-0.00099235i,-0.00018547-0.00035801i,-1.9717e-05-3.3943e-05i,0.00042948+0.00038111i
0.00027131-0.00069487i,0.00027651-0.000349i,0.00040682+0.0010314i,0.00083315+0.00067663i,0.00011544-0.0010212i,-0.0011215-0.00059664i,-0.0010772+0.00027675i,-2.6985e-05-0.00021022i,0.00045282-0.0010775i,-5.5236e-05-0.00078616i,-0.00032392-0.00027657i,-0.00043637-0.00080466i,0.00041724-0.0005306i,0.00075552+0.00019708i,0.00033905+8.7114e-05i,3.3942e-05-7.8259e-05i,-9.0015e-05+0.0005203i,0.00035618+0.00041706i,0.00039488-0.0002742i,0.00043474-0.00066354i,4.1929e-05-0.00037672i,-0.00040153+3.5306e-05i,-0.00022689+0.00015317i
0.0021723-0.00019767i,0.0019754+0.00014959i,0.0013455+0.00072712i,0.0006754+0.00084969i,-0.00019623+2.6913e-05i,-0.00024014-0.00014227i,0.0010518+0.00082819i,0.0010153+0.0012584i,0.00042911+0.00050288i,0.0002249-0.00015906i,-0.00021595-0.00046729i,-0.00039031-5.6308e-05i,-0.00013503+0.00030082i,0.00027569+0.00075159i,0.00064389+0.0004764i,0.0010006-0.00020543i,0.00047984-7.6025e-05i,-6.2456e-05-0.00013011i,4.5753e-05-0.00048716i,4.7017e-05-0.00055672i,-0.00014604-0.00031571i,0.00033023-0.0002821i,0.00028046-0.00026474i
0.00037882-0.00010534i,0.00054609+0.00021787i,-0.0002207+0.00048777i,-0.00049584+0.00095018i,-0.00018747-0.0001879i,-0.00077815-0.0013931i,-0.00082593-0.00067424i,-0.00078504+0.00033644i,-0.0012503+0.00019569i,-0.00089871-0.00052045i,-0.00056399-0.00022148i,-0.00066478+0.00035392i,-0.00072097-5.6854e-05i,-0.00025992-0.00032783i,0.00025206+1.7097e-05i,0.00061551+0.00017144i,-1.9458e-06+8.2033e-05i,-0.00048787+0.00030447i,-0.00040556+0.00041902i,-1.8681e-05-0.00016595i,0.00033201-0.00030453i,0.0005156+0.0003668i,0.00083791-8.6278e-05i
0.0016111+0.0011883i,0.001647+0.0025722i,0.0012471+0.0019321i,0.00042974+0.00054121i,-0.00065701-0.00031063i,-0.0001547-0.00041445i,0.00051583+0.00013327i,3.1956e-05+0.00074919i,-0.00076545+0.00049094i,-0.00085267-0.00012379i,-0.00019737+0.00011694i,0.00020754+0.0003893i,6.8969e-05-0.00022257i,-0.0006793-0.00080414i,-0.00092133-0.00054434i,-0.00021271-0.00013375i,9.6084e-05+0.00040461i,0.00018981+0.0005379i,0.00071045+0.00052265i,9.0244e-05+0.00021488i,-0.00052195-0.00015131i,7.7517e-05+0.00018344i,7.6437e-05+0.00061355i
-0.0012825+0.00063671i,-0.00071448-7.3949e-07i,-0.00042397+0.00026038i,0.00075409+0.00013155i,0.0012617-0.00085939i,0.00036692-0.00080119i,0.0001502-0.00021119i,0.00023216-0.00025657i,4.714e-05-8.0613e-05i,-0.00050559+4.668e-05i,-0.0010042-0.00033167i,-0.00048233-0.00049955i,-0.00055628-0.00066823i,-0.00091996-0.00075744i,-0.00059241-0.0006014i,-0.00081334-0.00064316i,-0.0012943-0.00038183i,-0.0011767-0.00021531i,-0.00053794-0.00034034i,-0.00057077-0.00015714i,-0.00046519+5.7786e-05i,0.00059022+0.00011926i,0.00088666+0.00074291i
0.00028805-0.00046429i,0.00074656+0.00036145i,0.00027179+0.00086964i,0.00053975+0.00093275i,0.00068757+0.00082149i,0.00035821+9.7552e-05i,0.00049197-0.00044287i,0.00034829-1.8403e-05i,-0.00035607+0.00052332i,-0.00034571+0.00029112i,3.1141e-05-0.00073972i,3.2905e-05-0.00089483i,0.000333+0.00019304i,0.00085264+0.00044776i,0.00093292+0.00030995i,0.00030035+0.00021072i,-0.00035972+4.924e-05i,-0.00014869-0.00011947i,0.00039315-0.00047289i,-0.0001065-0.00019777i,-0.00023241+0.00045977i,-0.00015561+0.0006112i,-1.2765e-05+0.00010528i
-0.0012809-0.00094954i,-0.00037992-0.00051017i,-0.00044172-7.6448e-05i,-0.00052433+0.00010827i,-0.00015284+0.00038706i,0.00041266-5.9174e-05i,0.00047643-0.00091123i,0.00039253-0.00027956i,-0.00016509+0.0002001i,-0.00094096-0.00013878i,-0.00028612+0.00010046i,0.0002887-0.00050695i,-0.00038868-0.0011142i,-0.00017566-0.001122i,0.00040167-0.00061737i,0.00068008-5.3876e-05i,0.0002661-0.00049345i,-0.00069767-0.0010919i,-0.00021778-0.00054406i,0.00035435-0.00014178i,1.9865e-05-0.00044982i,0.00014353-0.00044532i,6.4234e-05-7.2111e-05i
