-0.00018133+0.00036553i,-0.0003411-0.0010189i,-0.00049884-0.0011777i,-0.00058785-0.00072439i,-0.001711-0.00041588i,-0.0019063-6.9333e-05i,-0.00023461+0.00058607i,0.00083038+0.00071007i,0.00066913+0.00028987i,0.00054497+8.1659e-05i,0.00043988-0.00030024i,3.3323e-05-0.00039423i,-0.00036807+3.3974e-05i,-0.00040752-0.00028216i,-0.0002024-0.00021072i,-0.00038602+3.2087e-05i,-0.0002103+7.6407e-05i,0.00022598-0.00018288i,0.00045905-0.00012324i,0.00078307+0.00050441i,0.00058127+0.0005437i,5.7192e-05+0.00031577i,-0.00040085+0.00048142i
-0.00087899-0.0034453i,-0.0005107-0.0034639i,-0.00031402-0.0024876i,-0.00035416-5.5433e-05i,-0.00070137+0.0015831i,0.00047103+0.0010363i,0.0012703+0.00040297i,0.00044209+9.1447e-05i,-0.00059119+0.00037504i,-0.0017071+0.00065628i,-0.0015548+0.00033589i,-0.001078+0.00097413i,-0.00035797+0.0015992i,0.00077339+0.00089677i,0.0012558+0.00058353i,0.00016947+0.0012172i,-0.00096289+0.0007693i,-0.00044756-0.00035529i,0.00019933-0.00027257i,-0.00042326+0.00060121i,-0.00045653+0.00043878i,0.00014963+8.8404e-05i,0.00024901+0.00062469i
0.00057498+0.00049071i,0.00018833+0.0011736i,-0.00056912+0.00048831i,0.00047528-0.00066453i,0.0016381-0.00071284i,0.0012798+0.0001529i,0.00013748+0.00051269i,2.043e-05+0.00045475i,0.00026605+0.00052112i,-0.00019597+0.00028004i,-0.0001936+0.00018152i,-0.00011525-0.00010146i,-0.00064423-0.001068i,-0.0008424-0.0018485i,-0.0010465-0.0010262i,-0.0010775-0.00017949i,-0.00028774-7.4158e-05i,-0.00015632+0.00072773i,-0.0010796+0.00060862i,-0.00097066-0.00031302i,-0.00067906-0.00060915i,-0.00085386-5.5543e-05i,-0.00060847+1.2826e-05i
-0.00011551-0.0004996i,-4.6528e-05-0.00016281i,-0.00088795+0.00060182i,-0.0012562+0.0012605i,-0.00028252+0.00096161i,0.0010968+0.00084031i,0.00096307+0.00036334i,0.00035629-0.00019111i,-0.00064421-0.00052144i,-0.0014719-0.00033451i,-0.00089091+0.00032361i,0.00031396+0.00019666i,0.00038384-0.00016573i,0.00032536+1.0265e-05i,-1.3437e-05+0.00031781i,-0.00020603+0.00031095i,-0.0003086+3.5481e-06i,-1.5709e-05+0.00059227i,0.00053929+0.00091695i,0.00018788+0.00027851i,-0.00037016-3.9817e-05i,-0.00032173+4.3152e-05i,-0.00041597+0.00050842i
-0.0017364-0.00021392i,-0.0012698-5.4811e-05i,-0.00056387+0.00071625i,0.00039817+0.0013042i,0.0010992+0.00092841i,0.0010714+0.00057894i,0.00041238-0.00039431i,-0.00054016-0.00059057i,-0.0018217+4.6395e-05i,-0.0014771-0.00049153i,-0.00094239-0.00039361i,-0.00030879+1.1662e-05i,0.00093401-6.6488e-05i,0.0016838-0.00072959i,0.0022041-0.00074786i,0.001969+0.00013202i,0.00046781+0.00060117i,-0.00057917-0.00017753i,8.3615e-06-0.00019713i,0.0005614+7.5291e-05i,0.00096506+1.8098e-05i,0.00059711+0.00070295i,0.00038412+0.00084929i
-0.00021334-0.00055662i,-0.00065483-0.0013844i,0.00018359-0.00089669i,-0.00028542+0.000432i,-0.0015782+0.00068499i,-0.0013709+0.00021782i,7.7236e-05+0.00063003i,0.00040565+0.00046809i,0.00031005+0.0006536i,0.00028141+0.0012047i,3.3137e-05+0.00087819i,-0.00074559+8.8839e-05i,-0.00049799-0.00011226i,0.00070433+0.00017651i,0.00077581+1.3609e-05i,0.00044333+8.4712e-05i,0.00071356-0.00019575i,0.00076779-2.6707e-05i,0.00061178+0.00059532i,0.00021156-5.7666e-06i,-0.00014612-0.00032292i,0.00010163+0.00013109i,0.00028308+0.00017197i
-0.0006696-0.0018183i,-0.00023516-0.0014307i,-0.0010179-0.00044623i,-0.00056596+0.00028567i,-3.8107e-06-0.00020076i,0.00052164-0.00059521i,0.0011547-0.00044829i,0.00031011-0.00046776i,-0.0007015-0.00036837i,-0.00073538-1.8625e-05i,-0.00027282+0.00037267i,0.00010888+0.00025666i,-8.2807e-05+1.3131e-06i,-4.5055e-05-0.00041015i,0.00014038-0.00049155i,5.2484e-05-0.00087782i,-4.5596e-05-0.0012103i,0.00055961-0.00082441i,0.0012795+0.00014194i,0.00065054+0.00098499i,-0.00049469+0.00063443i,-0.00012608+0.0001348i,0.00026772-1.8264e-05i
0.0037978+0.00041219i,0.0026719+0.00052998i,0.0017507-0.0011686i,0.00028117-0.0018784i,-0.00099075-0.0025066i,-0.0010133-0.0020468i,-0.00092292+7.5538e-05i,-0.00099164+0.0009731i,-0.00086743+0.00024206i,-0.00084218-0.0003813i,-0.00039062-0.00023485i,8.4756e-05-0.00010659i,0.00015992-3.5131e-05i,-0.0004476+0.00055798i,-0.00077722+0.0011575i,-0.00014859+0.00094391i,0.00031718+0.00017268i,0.00074704-0.0001669i,0.00043059-0.00015558i,-7.8317e-05-0.00025255i,-0.0002515-0.00022578i,8.4294e-05-0.00016527i,0.00022711-0.000288i
0.00074544-0.0011741i,0.0011314-0.00076867i,0.0014546+0.00056558i,0.0025203+0.0001233i,0.0017682-0.00059196i,0.0014654-0.00021381i,0.0013581+3.2623e-05i,0.00029288-7.1385e-05i,-0.00025735-0.00040517i,-0.00056776-0.00022266i,-0.0007317-9.1781e-06i,-0.00043762-0.00039483i,-0.00081452-0.00039501i,-0.0010619+0.0001572i,-0.00079365+0.00011121i,-0.0012613-0.00026096i,-0.001062+0.00028295i,7.5972e-05+0.0003554i,0.00058449-0.0001595i,0.00016806-0.00033143i,-3.7264e-05-0.00036267i,-3.971e-05-0.00026391i,-0.00029524-6.9415e-05i
0.0012166+0.00053537i,0.00053305-0.0004014i,0.00090782+0.0001706i,0.00076744+0.00065026i,0.00062277+0.00071544i,0.00021091+0.00075617i,-0.00079321+0.0001847i,-0.0009636-0.00014201i,-0.00064745-0.00037541i,-0.00050507-0.00029128i,-0.00059001+0.00012293i,-0.00020333+0.00031037i,-0.00032915+0.00016353i,-0.0002659-2.6452e-05i,-0.00026508-0.00025043i,-0.00042861-0.00059715i,-0.00030724-0.00071917i,-0.00066936-0.00023412i,-0.00047663+0.00018893i,2.2437e-05-0.00016174i,0.0001999-0.0002785i,0.00045168+9.5266e-06i,0.00031295+0.00018363i
-0.0016025-0.00053561i,-0.0018137+0.00039215i,-0.001265+0.00040146i,-0.00091783-0.00028424i,-0.0011561+0.00019794i,-0.0010624+5.7418e-05i,0.0004131-0.00036257i,0.0014366-0.00061433i,0.00065527-0.0010983i,-0.00042317-0.00053917i,-0.00069521+0.00062358i,-0.00043378+0.0016819i,0.00013381+0.0013709i,0.00060429+0.0004124i,0.00062706+0.0002253i,0.00065407+0.0002195i,0.00047345+0.00037131i,0.00019256+0.00076416i,6.0314e-05-0.00011797i,-0.00061147-0.00074811i,-0.00059392-0.00039038i,-0.00023182+0.00014941i,-0.00024371+6.5599e-05i
0.0027968-0.0016295i,0.0020343-0.0011721i,0.00053935-0.00065692i,0.00054123-0.00070787i,-6.4465e-05-0.00036187i,-0.0012875+0.00041249i,-0.0010571+0.00027064i,-0.00025102-0.00077133i,-0.00024038-0.0013696i,-0.00017639-0.00076734i,-0.00075978+0.0003291i,-0.0011371+0.0011123i,-0.00017649+0.00046102i,-0.00011064+0.00041973i,0.00022041+0.00079395i,0.00035403+6.9256e-05i,1.8694e-05-6.0106e-05i,0.00033686+0.0006789i,0.00034454+0.0006063i,0.00012781+4.3614e-05i,0.00053317-8.6373e-05i,0.00063751-0.00034306i,0.00023462-0.0004531i
-0.0005077+0.0021004i,-0.00043393+0.0021195i,0.0011298+0.0012213i,0.0019725+0.00016984i,0.0019628-0.00053714i,0.0015407-0.00051223i,0.00074926+0.00063097i,0.00048005+0.00092907i,8.7216e-06+4.2198e-05i,-0.00081334-0.00061568i,-0.00062717-0.00097674i,-0.00040455-3.5545e-05i,-0.00042698+0.00086514i,-0.00060911+0.0011919i,-0.00057497+0.00068952i,-0.00016328+3.7328e-05i,-0.00040234+0.00072535i,-0.0007838+0.00094539i,-0.00019058+0.00021237i,0.0010161-0.00040948i,0.0010403-0.00032129i,0.00021769-0.00016084i,0.00030764-0.00096237i
0.0025692-0.00062345i,0.0020858-0.00092245i,0.0014582-0.0010519i,0.00086918-0.001382i,-0.00039069-0.00084964i,-0.0014535-0.00044107i,-0.0017917-0.00022174i,-0.0014327+0.00018882i,-0.00097846+0.0005528i,-0.00026535+0.00087885i,-0.00030506+0.00093605i,-0.00035341+0.00029412i,-0.00025643-2.067e-05i,-0.00031918+0.0001083i,-0.00036979+0.0002064i,-0.0010212+0.00057588i,-0.00080169+0.0001097i,-7.6025e-05+9.9648e-05i,-0.00033328+0.00031471i,-0.00010323+0.00046358i,2.0443e-05+8.5215e-05i,0.00017203-0.00050956i,5.7723e-05-0.00018551i
0.0013215+0.0014833i,0.0013853+0.0012926i,0.0010332+0.0015475i,0.0005445+0.0014078i,-0.00011131+0.00053985i,0.00011414-0.00049194i,0.00027976-0.00066456i,-6.3485e-05-0.00041842i,0.000124-0.00029117i,-4.5332e-05+0.00011736i,-0.00021564-1.4945e-05i,0.00014089-0.00019417i,0.00044352+0.00015717i,0.00053447+0.00079178i,0.00063779+0.00068424i,-0.00015089-0.00031394i,-0.00079821-0.00092036i,-0.00089524+6.6513e-05i,-0.00044787+0.00059001i,-5.43e-06+0.00024027i,0.00016116+0.00023266i,0.00020079-0.00017403i,0.0001084-9.5577e-05i
0.0003213-0.00026994i,0.0010171-0.00061215i,0.00087356-0.0012421i,0.00023704-0.0016844i,-0.00053683-0.0017503i,-0.00085499-0.00092149i,-7.0805e-05-0.00032472i,0.00024774-0.00018866i,0.00058746+3.0556e-05i,0.00058808-5.6133e-06i,-0.00048804-0.00067176i,-0.0010538-0.00050573i,-0.00042927-0.00021347i,-0.00052279-0.00059981i,-0.00021781-0.00051881i,3.0579e-05-0.00053077i,0.00029748-0.00065129i,-2.7262e-05-0.00012651i,-0.00061689+0.00039466i,-0.0001548+0.0002142i,0.00034125-0.00035741i,0.00044567-0.00052438i,0.00072585-0.00075648i
0.001361+0.0025671i,0.0021473+0.0029034i,0.0024291+0.0019088i,0.0023237+0.00095098i,0.00065973+1.5145e-05i,0.00013697-0.00066527i,-0.00022184-0.00081073i,0.00022044-0.00059811i,0.00045809-0.00063236i,-3.7625e-05-0.00078089i,-0.00020178-0.00030622i,-0.00026094+0.00013414i,-0.00028661+0.00049623i,-0.00093942+0.0010218i,-0.0011958+0.00051142i,-0.00083027-0.0004997i,-0.00034258-0.00090259i,-0.00043334-0.00019359i,-0.00036291-0.00011398i,-0.00028632-0.00035606i,-0.0007234+0.00025646i,-0.00055845+0.00062481i,-0.00016426-6.5988e-05i
-0.0026078+0.00018147i,-0.0012727-0.00050572i,-0.00025455-0.00032899i,-0.00026231+0.00018259i,-0.00049592+0.00040888i,-2.7614e-05+0.00098547i,-7.4847e-05+0.0014539i,-0.00063692+0.00080408i,-0.0010017-0.00011719i,-0.0014356+0.00019685i,-0.0016352+0.00018031i,-0.0009269+3.635e-05i,0.00019979-0.00039319i,0.0006933-0.00075969i,0.0011779-0.00037551i,0.0012523+0.00048931i,0.00074889+0.00055287i,0.0008208+0.0004752i,0.00024513+0.00047877i,-0.00038506-0.0001779i,5.6025e-05-0.00033382i,-0.00022907+0.00039249i,-0.0010141+0.00025429i
0.0003068-0.0014703i,5.0526e-05-0.0010048i,0.00025995-0.00068877i,-2.5332e-05-0.00030587i,8.4415e-05-0.00022468i,0.0012797-0.00047385i,0.0016104-0.00057417i,0.0013051-9.0531e-05i,-5.1638e-06+0.00061323i,-0.0014141+0.00092745i,-0.0011237+0.00086237i,-0.00070649+0.00093912i,-0.00079153+0.0011544i,-0.00084792+0.00055815i,3.1204e-05-7.9489e-05i,0.00058429+0.00016338i,0.00038643+0.0010429i,0.00020023+0.0010763i,0.00034069+0.00027508i,0.00075152-5.4147e-05i,0.00052253-4.9422e-05i,0.00070201-0.00027176i,0.00074981-7.6372e-05i
0.0009344+0.001216i,0.0015828+0.0001553i,0.00094135-0.00083812i,0.00031179-0.00033976i,0.00028829-0.00026945i,0.0012694-0.00071496i,0.0012662-0.0011249i,0.00020744-0.0016625i,-0.00040555-0.0010241i,0.00014869+0.00021099i,0.00034874+0.00028296i,-0.00066987-0.00021551i,-0.00029552-0.00038681i,-7.0789e-05+8.4895e-05i,-0.00056963+0.00049198i,-0.0004552+0.00057598i,-0.00054192+0.00026632i,-0.00016958+8.1765e-05i,0.00065431+8.4426e-05i,0.00074123+0.00025104i,0.00029582+0.00044055i,-0.0002242+0.0002287i,-0.00014328+0.00014804i
-0.00017902-0.00060762i,0.00092643-0.00036934i,0.00079492+0.00078464i,0.00018218+0.00099939i,4.5383e-05+0.00016614i,1.2881e-05-2.7458e-05i,0.0006117+0.0001931i,0.0010014+0.00051309i,0.00079729-0.00012433i,0.00066254-5.287e-05i,0.00020708+0.00048578i,-0.00038+0.00026122i,-0.00044088+5.8508e-05i,-0.00016087+0.00014409i,7.5747e-05-0.00036288i,7.0312e-05-0.00026244i,0.00043375+0.00084189i,0.00061436+0.00089777i,0.00028368-0.00036986i,0.000384-0.0010372i,0.00031059-0.00034248i,-0.00083328+0.00042546i,-0.00094997+0.00037849i
0.0018827-0.0010214i,0.002128+0.0002419i,0.0012556+2.0243e-05i,-5.0408e-05-0.0010644i,-0.0014496-0.00092081i,-0.0015796-0.00030894i,0.00012015+2.7371e-05i,0.00094689-7.8591e-05i,-6.3508e-05+0.0003201i,-0.00058115+0.0009504i,-0.0010124+0.00087811i,-0.0014754+0.00019903i,-0.00096229+0.00043154i,-0.0012253+0.00094811i,-0.00088909+0.00047708i,0.00032133+0.00018808i,0.00014752+0.00030679i,-0.00013104+0.00028285i,-0.00034851+0.00017527i,-0.00020004+0.00083907i,0.00064343+0.0013531i,0.0010742+0.0012308i,0.00045024+0.00055917i
0.00073051-0.00010433i,0.00077279-0.00045984i,0.0011662-0.00079788i,0.00028265-0.00066859i,-0.00057338-0.00017958i,4.7148e-05+0.00017409i,0.00027269+6.5889e-05i,-0.00011677-0.00049589i,-7.0823e-05-0.00057909i,-0.00033694+9.6636e-05i,0.00015001+0.00062677i,0.00086183+0.00076729i,0.0010731+0.00078382i,0.0012243+0.00065139i,0.00076282-0.00026664i,0.00075926-0.00043825i,0.00033885-0.00019144i,-0.00039144-2.1858e-05i,-7.1408e-05-0.0002177i,-0.00047251+0.00024596i,-0.0006218+0.00048254i,-0.0004541+0.00040875i,-0.00011679+0.00061151i
0.00034508-0.00082339i,0.00097464-0.00057694i,0.00068728-0.00060776i,-5.2966e-05-0.00052444i,-3.8827e-05-0.00011003i,0.00045169+0.00087442i,0.00068662+0.0012284i,0.00045374+0.0006504i,-9.6402e-05+2.2546e-05i,-0.00044803+0.00031427i,0.00025026+0.00070358i,0.00068766+0.00086714i,0.00015603+0.00050022i,-0.00069795+0.00019932i,-0.00031246+0.00030046i,0.00044406+0.00051802i,0.00038289+0.00053583i,-6.1653e-06+0.00026474i,-0.00039122+0.000378i,9.546e-05+0.00076279i,0.0005319+0.00075554i,2.8234e-05+0.00046241i,0.00012616+0.00014353i
-0.00015749-0.00022283i,0.00010117-0.00029929i,4.7834e-05+0.0002198i,4.1662e-05+0.0013867i,-0.00025596+0.0012406i,-6.1249e-05+0.00061929i,0.00048161-0.00022275i,0.00047927-0.00086567i,-0.00066205-0.00093501i,-0.001168-0.00033849i,-0.0010557+0.00057234i,-0.001335+0.0013117i,-0.00086039+0.00087756i,-0.0003637-2.514e-05i,1.6319e-05-0.00073048i,0.0008088-0.00097743i,0.00069216-0.00073022i,9.6667e-05+6.6044e-05i,-0.00038893+0.00035661i,-0.00034875-0.00052865i,-0.00036369-0.0010669i,-0.00056134-0.00071407i,-0.00064714+0.00018893i
-0.00020966-0.0014509i,0.00062669-6.3967e-05i,8.917e-05+0.00016704i,-0.00071453-0.00099817i,-0.00068185-0.00086986i,-0.00059504-0.00012303i,-0.00034086+0.00018693i,0.00024071-8.9433e-05i,-0.00020601-0.00044329i,-0.00064346+0.00017349i,-0.0013957+0.00051159i,-0.0015438-0.00030123i,-0.00055068-0.00010881i,-0.00021348+0.00060077i,-0.00030463+0.00089443i,-9.2959e-05+0.00080329i,0.00035331+0.00065177i,0.00062967+0.00028959i,0.0010631-0.00061465i,0.001281-0.00050503i,0.00091668-0.00010425i,0.00010449+0.00019986i,-0.00050918+0.0004839i
0.00053324-0.0014762i,0.00018364-0.0011637i,0.00045555-0.0010796i,0.00027852-0.0014069i,-0.00021088-0.0013499i,-0.00083891-0.00058329i,-0.00076844-0.00027728i,0.00014339-0.00073358i,1.3236e-05-0.00044002i,-0.00011264-0.00023093i,0.00029287-0.00055065i,0.00039276-0.00023665i,0.00013576+0.00045057i,0.00036244+0.0005524i,0.00072267-0.00020372i,0.00035188+0.00011754i,0.00012603+0.00052684i,0.00022416+4.5022e-05i,0.00074224-0.00057839i,0.00016278-0.00061472i,-0.00042402-0.00068023i,5.7734e-05-0.00064454i,1.1129e-05+4.9599e-05i
0.0014812+0.0013564i,0.0018972+0.0014606i,0.0020964+0.00030369i,0.0016192-0.00060601i,0.00071207-2.9049e-05i,0.00040977+0.00086478i,0.00081977+0.0011458i,0.00077455+0.0010824i,0.00019644+0.00058385i,-0.00024395+0.00024837i,-0.00092667+3.9496e-05i,-0.0010036-0.00039051i,-3.2438e-05-7.6506e-05i,6.0699e-05+8.3119e-05i,-0.00020032-0.00067758i,-5.8892e-05-0.0010713i,0.00029517-0.00041694i,0.00041179+0.0003666i,-8.9052e-05+0.00084701i,-0.00025284+4.3585e-05i,-0.00014641-0.00064033i,4.2366e-05-0.00037889i,0.00029528+0.00020888i
0.00067127-0.0010847i,0.00040738-0.0007214i,0.00020183-0.00027518i,-2.2729e-05-0.00030363i,-0.001165-0.00015328i,-0.0018118+0.00015825i,-0.0012839+0.00026934i,-0.00054875+0.00021553i,-0.00040633-5.0147e-05i,-0.0013295-0.00012942i,-0.0008886+0.00032633i,-0.00041592+0.00045264i,-0.0010339+9.5846e-05i,-0.00088759-0.00016411i,-0.00056058-7.5668e-05i,0.00033932+1.6249e-06i,6.8844e-05-0.00037832i,-0.00015833-0.000435i,0.00035516-8.2995e-05i,0.00044228-0.00017307i,0.00023142-0.00068652i,0.00037669-0.00030064i,0.00052112+0.00041719i
0.0021688+0.0010802i,0.0020218+0.000531i,0.0017753+0.00072686i,0.0004278+0.00055202i,-0.00089639-0.00019225i,-0.00091158-0.00052625i,0.00010512-0.00037359i,0.00078307+0.00010121i,0.00012284+0.00038924i,-0.00067994-0.00014214i,-0.00017653-0.0010033i,-5.9502e-05-0.0009174i,-0.00040255-6.9133e-05i,-0.0004201+0.00013955i,-0.00015378-7.7336e-06i,-7.9692e-05+0.00024329i,-0.00035952-0.00016817i,-0.00027781+0.0002904i,0.00066618+0.0011226i,0.00087226+0.00075582i,0.00034771+0.00091113i,4.2895e-05+0.00063507i,-0.00057967-0.00019374i
-0.0011074+0.00030881i,-0.00081284+0.0012137i,2.6931e-05+0.0023591i,0.00039928+0.0011154i,0.00018541-0.0011005i,0.0001116-0.0014293i,0.00020613-0.00065268i,0.00056588-8.9004e-05i,4.562e-05+0.00076786i,-0.00027017+0.0011319i,0.00029017+0.00093342i,0.00020836-0.00050627i,3.3575e-05-0.0017321i,-0.00027278-0.00069268i,-0.00058921-0.00077161i,-0.00054719-0.0010423i,-0.00037523-0.00040928i,0.00016229+0.00048712i,7.9737e-05+0.0011344i,-0.00011658+0.0006325i,-8.0733e-06+0.00028373i,0.0002607+0.00013879i,0.00046087-0.00012975i
0.0015675-0.0009131i,0.0021935-0.0017287i,0.0018485-0.0014411i,0.00096972-0.00086011i,0.0002811-0.00044777i,-0.0007281-0.00036834i,-0.00042744+0.00016011i,0.00016958+0.00096881i,-0.0001838+0.00085757i,-0.00069185+0.00010192i,-0.00078698-0.00076866i,-0.0010074-0.00040115i,-0.00082585+0.00015765i,-0.00013683-0.00037616i,0.00043308-0.00016061i,0.0011702+0.00058443i,0.0014637+0.0012631i,0.00062311+0.00056462i,-1.9779e-05-0.00037479i,-0.00040925-0.00023378i,-0.00029802-0.00039254i,0.00036084-9.1666e-05i,0.00027485+0.00071065i
-0.0014509-2.9643e-05i,-0.0011758+0.00089088i,-0.0010474+0.0023004i,-0.00036165+0.0022505i,4.09e-05+0.0012411i,0.00012764+4.3444e-05i,-0.0001514+2.2952e-05i,-0.0004151+0.00012125i,-0.00015047-0.00048254i,-0.00029055-0.00059867i,-0.0010871+3.3096e-05i,-0.0011422-0.00037575i,-0.00065567-0.00076901i,-0.00066175-0.00068152i,9.5007e-05-5.0144e-05i,9.024e-05+9.5346e-05i,-0.00056798-4.7755e-05i,-0.00077495+0.00042533i,-0.00032061+0.00036505i,4.0991e-05+2.6646e-05i,-0.00025424+0.00020616i,0.0004795-5.9686e-05i,0.00059537-0.00037068i
0.0009842-0.001564i,-0.00018414-0.0024709i,-0.00026669-0.0021899i,-0.00087593-0.0010054i,-0.0017734-0.00048561i,-0.0013028+6.0477e-05i,-9.4526e-05+0.00077406i,0.00034917+0.00072194i,-0.00047931+0.00045066i,-0.0010814+0.0010609i,-0.00076496+0.0012545i,-0.0011677+0.00047182i,-0.00063921-7.7425e-05i,0.00052471-0.00024902i,0.00080864+0.00048591i,0.00042623+0.0010973i,0.00040977+0.00053133i,0.00016766+0.0003649i,-0.00059233-0.00018033i,-0.00027356-0.00039343i,-0.0002298+3.3758e-06i,-9.4453e-05+2.7322e-05i,0.00013632-0.00053801i
-0.0016379+0.00025764i,-0.00065884+0.00086686i,-0.0010274+0.00063972i,-0.0013698+0.00078977i,-0.00026371+0.0012753i,0.00018582-0.00010331i,0.00053099-0.0012717i,5.5398e-05-0.00088087i,-0.00071747-0.00061752i,-0.00047007-0.00050677i,1.673e-05-0.00019399i,-6.0555e-05+0.00010934i,0.00014358-0.00017389i,7.1908e-05-0.0010975i,0.00010705-0.0013376i,0.00054878+1.5108e-05i,0.00076416+0.0011588i,0.00098899+0.00056996i,0.00024775-0.00014022i,-0.00010379-8.2507e-05i,0.00015171-4.2953e-05i,0.00050325-0.00017558i,0.00098443-0.00025704i
0.00053688+0.00038243i,0.0016274+0.00044668i,0.0019043-0.00046834i,0.00058694-0.0016101i,-0.0011535-0.0012297i,-0.00094658+0.00028117i,-0.00020642+0.0012093i,2.2189e-05+0.0013645i,0.00043167+0.00072352i,0.00017967-0.00016849i,9.9962e-05-0.0010697i,0.0001859-0.00087718i,-0.00034545-0.00026199i,-0.00064223-8.0591e-05i,-0.00059909-6.0963e-05i,0.00015511-4.7703e-05i,-0.00039271+0.00083602i,-0.00086432+0.00088049i,-0.00020146+0.00012563i,-0.00021292+0.000186i,-0.00043077+0.00020801i,-0.00026817+6.1095e-05i,-0.00030713-0.00024917i
-0.00079684+0.00093215i,-0.00010323+0.0012536i,-0.0002048+0.0023511i,0.00013894+0.0020163i,0.00078567+0.00057508i,0.00070732-0.00079194i,0.00033208-0.00088968i,5.7384e-05-0.00048885i,-0.00050404-0.00089494i,-0.00088832-0.00019449i,-0.0003875+0.00044406i,0.00019795+0.00059776i,9.0019e-06-6.7607e-07i,0.00021009-0.00097879i,0.00023729-0.00020714i,-4.55e-05+0.00026452i,-4.4119e-05+0.00015352i,0.00025303+0.00074058i,0.00022035+0.00012988i,-0.00011513-0.00020327i,-0.00016396+0.00032044i,-8.7704e-05+0.00055756i,1.4345e-05-0.00053581i
0.0026141+0.00024969i,0.0026279+0.00035064i,0.002144-0.0006689i,0.00080624-0.0012009i,-0.0001209-0.00056963i,-0.00050847-0.00072594i,-0.00069828-0.00065928i,6.2436e-05-0.00023868i,0.00013366-0.00084578i,-0.00093578-0.0008311i,-0.0012578+1.5788e-05i,-0.00095578+0.00056189i,-0.00071873+0.001352i,5.4153e-05+0.001035i,0.00060114+0.00065508i,0.00032421+0.0011407i,-0.00065235+0.00044471i,-0.00060613+0.0001233i,0.000344+0.00068163i,0.00092909+0.00063494i,0.00077079+0.00021518i,0.00058423-0.00015598i,-3.9011e-05-0.00025761i
0.00068506+0.0011548i,0.00035153+0.00091808i,7.5619e-05+0.00055193i,0.00066277-0.00012442i,0.0011677-0.0008866i,-0.00010924-0.0002514i,-0.001001+0.00061685i,-0.0016777+0.00019534i,-0.001461-0.00021366i,-0.0005662-0.00017905i,-0.00024222-0.00054598i,-0.00020822-0.00048936i,-1.7381e-05-0.00022946i,0.00015792-0.00053386i,0.00026413-0.0013198i,0.00039891-0.001376i,0.0011035-0.00065167i,0.00084197+0.0001827i,-0.00052651+0.00066262i,0.00030135+0.00032201i,0.0014605-0.00038677i,0.0013603-0.00048071i,0.0014514-0.0004436i
-8.1998e-05+0.00014283i,-0.00022399-0.00054783i,-4.7148e-05-0.0010939i,-0.00075972-0.00012642i,-0.0006086+0.00060021i,0.00066948+0.00026697i,0.00026779-0.00043828i,-7.7662e-05-0.0006361i,0.00025202-5.2972e-05i,-0.00016699+0.00057134i,4.1297e-05+0.00053637i,-0.00012848+0.0005986i,9.3482e-05+0.0013886i,0.00019462+0.0012703i,4.359e-06-6.2307e-05i,-2.2315e-05+8.0123e-05i,9.5618e-05+0.000434i,0.00040877-0.00016771i,0.00065426-0.0004754i,0.00096011-0.0002509i,0.00057343+0.00011478i,-9.4917e-05+0.00044828i,0.00019319+0.00022549i
-0.0021781-0.00046313i,-0.00069519+0.00040042i,0.00074107+0.0015673i,0.00075758+0.0011474i,-0.00023181+0.00047316i,-0.0008573+0.00033596i,-0.00048314-0.00013277i,0.00030145-0.00018373i,3.6634e-05-0.00043928i,9.7473e-05-0.00018583i,0.00038391+0.00056448i,-7.0127e-05+0.00038956i,1.8485e-05-0.00029282i,0.00075048-0.00019626i,0.0005359-0.00071986i,0.00034399-0.0011957i,0.0005344-0.00069508i,0.00048062-7.517e-05i,8.5862e-05-0.00020769i,0.00015117-0.00038353i,0.00018499-5.323e-06i,0.00032161-0.00046941i,0.00069844-0.00083877i
0.00027458-0.00028395i,0.00031691-0.0002006i,0.00073166-0.0009624i,0.00021262-0.0010533i,-0.00079657-0.00064881i,-0.0014816-0.001134i,-0.001346-0.0016466i,-0.00082993-0.0012802i,-0.00036947-0.001249i,-2.6975e-05-0.0012875i,0.00017941+2.3115e-05i,-0.00011571+0.00077887i,-0.00038973-5.756e-05i,0.00018181-0.00079297i,0.00067983-0.00081422i,0.00029374-0.00015254i,-0.00021514+0.00062363i,-0.00011937+4.1371e-05i,7.3059e-05-0.00051751i,-0.00012583+0.00059611i,0.00031665+0.00078334i,0.00027978+0.00048736i,0.00022426+0.00012748i
-0.00099411+0.00091804i,0.00026949+5.2662e-05i,-0.00013524-0.00070927i,-0.00049586-0.0001619i,2.1647e-05-3.1973e-05i,6.4446e-05-0.00031905i,-5.7411e-05-8.0734e-05i,-0.00064037+0.00014831i,-0.00040867-0.00023903i,0.00058627-0.00047332i,0.0010641+0.00033746i,0.00068897+0.00052221i,-9.7793e-05-0.00089013i,-2.3964e-05-0.00094136i,0.00075369+0.00010817i,0.0002674+0.00031771i,-0.000625-0.00033955i,-1.6594e-05-0.0007036i,0.00014071-0.00024408i,-0.0010677-0.00048713i,-0.0014173-0.00096489i,-0.0010251-0.0011948i,0.00040493-0.00053757i
