-0.0002571+0.00061091i,1.9826e-06-0.00092973i,-0.0019132-0.0010991i,-0.0026388+0.00052813i,-0.0015166+0.0017528i,2.2343e-06+0.0014579i,0.0011631+0.0014396i,0.0018343+0.0012741i,0.0022805+0.00019251i,0.0017707-5.1568e-05i,8.5927e-05-0.00016442i,-0.00050736-0.0001255i,-0.00023512-0.00012933i,0.00040726-0.0010712i,0.00055889-0.0010658i,-0.00016409-0.00033653i,-0.00014793-0.0001144i,0.00013402+6.2498e-05i,-5.0331e-05-0.00024809i,-0.00034354-0.00067137i,-0.00039289+0.0002153i,-0.00069081+0.00086836i,-0.00074677+0.00030198i
0.0016435+4.6476e-05i,0.0014168-0.00077507i,0.0010986-0.000721i,0.000743+0.00041227i,0.0013443-3.3473e-05i,0.0016922-0.00075827i,0.0011323+0.00029258i,0.00057762+0.00018618i,0.00079535-0.00046504i,0.00022539-0.00066632i,-0.00029804-0.00087692i,-0.00048831+6.8476e-05i,-0.0013683+0.00021881i,-0.0012306-0.0010311i,-0.0007601-0.00096099i,-0.0011321+0.00032232i,-0.00097478+0.00041365i,-0.00014868-0.00074844i,0.00026044-0.00076924i,0.00080704+0.00039767i,0.0011982+0.00062034i,0.000862+0.0005511i,-0.00034995+0.00057379i
0.0033629+0.0012767i,0.0032859-0.00032588i,0.0029517-0.0016011i,0.00091827-0.00064039i,-0.00037272+0.00019285i,-0.00024014-0.00066595i,0.00021061-0.0010922i,0.0008067-0.00095293i,0.0010358-0.00070762i,0.0005202-0.0010236i,-0.00014552-0.0010135i,-0.00033785-0.00016533i,-0.0012541+0.00031737i,-0.0025156+0.00050004i,-0.0031043+0.00033244i,-0.0025883+0.00037506i,-0.00092156+0.00060469i,0.00010553+0.0010423i,-0.00056084+0.00077305i,-0.00048543+0.00044898i,0.00072522+0.001158i,0.0012097+0.0014949i,0.00023351+0.0012868i
0.0029163+0.0015192i,0.0040528-5.344e-06i,0.0030277-0.00035635i,0.0013573-7.7239e-05i,0.00026431+0.00071269i,0.00070501+0.00062391i,0.0011343+8.6568e-06i,0.0004811-0.00016056i,0.00049121+0.00012095i,0.00053429+0.00057976i,0.00028069+0.00049132i,0.00011629+0.00022308i,0.00042555+0.00047166i,0.00075187+0.0005096i,8.4116e-05-4.0561e-05i,-0.00036372+0.00012881i,-0.00032145+0.00065018i,0.00021921+0.00085582i,0.00063667+0.00022564i,0.0013912-0.00082696i,0.0016149-0.0011985i,0.0010326-0.0011453i,0.00079937-0.00078658i
0.0012915+1.1104e-06i,0.0013149-0.00023706i,0.00027673+0.00048171i,-0.000451+0.0013454i,-0.00044547+0.0013263i,-8.9953e-05+0.00061759i,0.0011956+0.00025339i,0.0017082-0.00024444i,0.00089034-0.00061449i,-3.9589e-05-0.00015188i,-0.00010012+7.9667e-05i,0.00047096-1.2889e-05i,0.00065263+0.00010436i,-0.00029603+0.00031197i,-0.0010504+0.00039386i,-0.00062756+0.00031903i,-0.00039797-0.00032703i,-0.00031035+7.4143e-05i,-0.00044377+0.00072041i,0.00017932+0.00031595i,0.00088746-0.00016683i,0.00063917-0.00079079i,-0.00026299-0.00080435i
0.0030296+0.0013767i,0.0031999-0.00021435i,0.001746+8.2058e-05i,0.00050945+0.00050556i,0.00019439+0.00067374i,0.00051618+0.00030084i,0.00085403-0.00054959i,0.0005432-0.0010122i,0.0003942-0.0013549i,-3.6057e-05-0.00060621i,-0.00054777+0.00012242i,-0.00041531-0.00022669i,-0.00023337-0.00047365i,-0.00083139-0.00040657i,-0.001262-0.0014294i,-0.00026242-0.0016083i,0.00055615-0.00021048i,0.00038669+0.0003034i,-0.00042792+1.2642e-05i,-0.00068166-0.00011452i,-0.00016981-3.9235e-05i,0.00043941-0.00029336i,0.00063099+0.000496i
-6.2045e-05+0.0010977i,3.4297e-05+0.0011386i,-0.0005744+0.0015704i,-0.0016848+0.0022785i,-0.00089677+0.001822i,0.0010057+0.0005611i,0.0018018+0.00026768i,0.0011158+0.00014767i,0.00018049-2.9143e-05i,-0.00010093-0.00086547i,0.00029308-0.00082929i,0.00037993-0.00024046i,2.6408e-05-0.00033773i,-9.308e-05-0.0007464i,-0.00065912-0.0010619i,-0.0010232-0.00070761i,-0.00022468-4.1948e-05i,0.00018419+0.00035306i,-0.0002932-7.5048e-05i,-0.00076501-6.03e-05i,-0.00083884-0.00043701i,8.1453e-05-0.00056381i,0.00058301+0.00031641i
0.003106-0.0016175i,0.0027927-0.0020866i,0.0011226-0.0011299i,-0.00088375+0.00081954i,-0.001121+0.0012404i,0.00018645+0.0010502i,0.0015211+0.00067768i,0.0018555-0.00045505i,0.0010275-0.00059915i,0.0003302+5.1949e-05i,-0.00021074+0.00019139i,-0.00094364+0.00062605i,-0.00066028+0.00095333i,0.00028216+0.0010239i,0.00061936+0.00083885i,-9.5377e-06+0.00083841i,-0.00022129+0.00031505i,0.00057669-9.2586e-05i,0.00077532-0.00012217i,-5.3406e-05-0.00090847i,-0.00086452-0.00060384i,-0.0012188+0.00063185i,-0.0008621+0.00083968i
0.00326+0.00068178i,0.003015-1.7721e-05i,0.0019557-0.00035493i,-7.9132e-05-0.00035137i,-0.00038977-0.00063391i,0.00080225-0.00051601i,0.0013836-0.00050861i,0.0016178-0.00086518i,0.0012047-0.00074049i,-5.4908e-05-0.00099331i,-0.0006816-0.001128i,-0.0011243-0.00084873i,-0.00092698-0.0001395i,-0.0012835+0.00011354i,-0.0017809-0.00014428i,-0.0015438-0.00041725i,-0.0011105-0.00036293i,-0.0010135+8.2952e-05i,-0.0010747+0.00044732i,-0.00045221+0.00020189i,0.00014853+0.00043323i,-2.0205e-05-1.6597e-05i,-0.00033183-0.00092971i
0.0026577+0.00066795i,0.0022091-0.00014356i,0.00044083-0.00011931i,3.4387e-05+6.896e-05i,0.0008314-0.00010743i,0.001097-0.00081013i,0.0014158-0.0010445i,0.00081456-0.00061426i,0.00044477-0.00021221i,6.7681e-05-0.00018765i,-0.00033616+0.0001477i,-9.7324e-05+0.00072818i,1.7654e-05+0.00032864i,-0.00042849+3.7008e-05i,-0.0015433-0.00029842i,-0.0017044-9.582e-05i,-0.00082584+0.00074515i,-0.0006852+0.00086176i,-0.00019754+1.8252e-05i,0.00017501-7.6478e-05i,-0.0005807+0.00051637i,-0.00075691-0.00031913i,-7.9191e-05-0.00092127i
0.0020336+0.00041958i,0.0021809-0.00077151i,0.00085851-0.00026419i,-0.00015731+0.0013369i,-8.365e-05+0.0023311i,0.00047862+0.0015127i,0.0014446+6.1059e-05i,0.0014181-0.0002814i,0.0008554-6.8165e-05i,0.00071106-0.00012602i,-0.00021418-0.00056661i,-0.00039615-0.00052062i,-0.00045943-0.00010274i,-0.00090653-0.00033818i,-0.00064153-0.0005197i,-0.00072202-0.00065213i,-0.00037698-0.00033713i,0.00024488-0.00017676i,0.00039006-0.00034554i,-0.00026667+0.00025978i,-0.00014587+0.00050888i,-0.00020938+0.00054325i,-0.0013044-6.5787e-05i
