-0.00015202+0.00051268i,0.0011526-0.0010508i,0.0021839-0.0021286i,0.0021993-0.0019763i,-0.00013155-0.0015671i,-0.0015417-0.00071185i,-0.0022038-0.00025083i,-0.0026715+1.4775e-05i,-0.0015681+0.00016088i,-0.00061215+5.4864e-05i,7.7671e-05-0.00068245i,0.00094527-0.00071414i,0.00094707-0.0007638i,0.00051365-0.0010268i,0.00033738-0.00068377i,0.00010784-0.0010731i,-0.00097663-0.0019333i,-0.00076313-0.0018475i,-2.0345e-05-0.00088809i,9.0104e-05+8.1779e-05i,5.7964e-05+0.00053981i,-0.00032168-5.3203e-05i,-0.00041464-0.00061453i
-0.00023975-0.0011919i,0.00026628-0.00047841i,0.0011323+1.6512e-05i,0.0020273-0.00012545i,0.0012023+7.2947e-05i,-0.0002445-7.2888e-06i,-0.00031918-0.00049321i,-0.00029224-0.00011406i,-0.00013174+0.00018146i,-0.00047975+0.00098909i,-0.0011939+0.00095608i,-0.00030461+0.00022652i,0.00024883+0.00021716i,0.0004919-0.00019091i,0.00093736-0.00032146i,0.0010924-0.00028368i,0.00072904-0.00054226i,-0.00020082-0.00011656i,0.00011878+0.00082612i,0.00054577+0.00061211i,0.00015494+0.0004339i,0.00029838+0.00044584i,0.00026623+0.00057395i
0.00049834+0.00047955i,0.0015909+0.00022199i,0.0025232-0.00068438i,0.0013235-0.00099451i,-0.0004399-0.0010827i,-0.0013378-0.00087276i,-0.0010147-0.00041348i,-0.00045909+0.00041623i,-0.00092742+0.0017345i,-0.001122+0.0012389i,-0.00057752+5.4379e-05i,-0.00030099-0.00023732i,-0.00019467-0.00019635i,6.5877e-05-1.9429e-05i,0.00058721-0.00040599i,0.00092016-0.00060291i,0.0010003-0.00035468i,0.0015195-0.00043776i,0.0012158-0.000413i,0.00062495-0.00059185i,-9.4335e-05-0.00050098i,-0.00030844+6.2739e-05i,0.00037724+0.00027191i
0.0015439+0.0003956i,0.0022605-0.0002785i,0.0017451-0.0015059i,0.0014399-0.0022576i,0.0003209-0.0016754i,-0.00043025-0.00034214i,-0.00037838-0.00027102i,-0.0012213-0.00055763i,-0.0017744-0.00038025i,-0.00087662+0.00011319i,-0.0002424+0.00099515i,0.00023085+0.00086277i,0.00028995-0.00034641i,0.00013668-0.0011155i,0.00027833-0.0010261i,0.00025378-0.00046595i,0.00038776-0.00070195i,0.00052922-0.00075432i,0.00053437-0.00010664i,5.219e-05+4.4987e-05i,-0.00021268+0.0003816i,-0.00035812+0.00099616i,-0.00031273+0.00074975i
-0.0010931+0.00010378i,1.3643e-05+0.00039285i,0.0011801+0.00028624i,0.0019103-0.00091346i,0.00073485-0.0014057i,-0.00019443-0.00083689i,0.00011376-0.00035492i,3.309e-05-0.00031228i,-0.00063848+0.0002319i,-0.00020936+0.00049315i,0.00042169-0.00077896i,9.5385e-05-0.0014918i,0.0001597+0.00011236i,0.00010044+0.00066274i,-4.57e-05+5.002e-05i,0.00028662-0.00043752i,0.00036243-0.00096076i,0.00027116-7.7794e-05i,0.00020662+0.00080822i,-1.9266e-05+0.00092385i,0.00019554+0.00084229i,-0.0001486+0.00065105i,-0.00054857+0.00021685i
-0.00031596-0.00062946i,0.00069318-0.001022i,0.0014521-0.0013954i,0.0022744-0.0012522i,0.0016731-0.00057038i,0.00056297-0.0002438i,-0.0002319-0.00030359i,-0.00087645-0.00072122i,-0.00066026-0.00044i,-0.00071204+0.0002719i,-0.00083867+0.00043926i,-0.00040217-0.00028617i,0.00021924-0.00064908i,0.00031316-0.00047406i,0.00038667-0.00039637i,0.00051998-0.00018351i,0.0005827-0.00052241i,0.00047096-0.00025301i,0.00051994+0.00018118i,0.00013014-0.0002919i,-0.00053674+4.9265e-05i,-0.00089137+0.00062324i,-0.0011936+0.00049531i
0.00066681+0.00054424i,0.00091374+2.3238e-05i,0.0016693-0.00086417i,0.00022845-0.001914i,-0.0012924-0.0017374i,-0.00145-0.0010097i,-0.0016911-0.0009675i,-0.0012934-0.00096796i,-0.00063478-0.0002521i,0.00020898+0.0005553i,0.00064303+0.00046743i,0.00043738-0.00022702i,0.0013918-0.00056545i,0.0014183-0.00057147i,0.00062362-0.00059534i,0.0004963-0.00057681i,0.00034276-0.0007287i,0.0011665-0.00063066i,0.0010754-0.00018712i,8.3827e-05-8.1321e-05i,-0.00052605-1.4017e-05i,-0.00061155-2.9258e-05i,-0.00033383+0.00061618i
1.3803e-05+0.00031692i,0.00090329+0.00022704i,0.0012747+4.6702e-05i,0.00040254+0.00049343i,0.00011826+0.00013139i,0.00030911-0.00062278i,0.00046308-0.00042283i,0.00047761-0.00013317i,9.4149e-06+0.00024044i,0.00021999+0.00075853i,0.00044011+2.5083e-05i,0.00040903-0.00077183i,0.00052407-0.00059934i,0.00085548+0.00011353i,0.00094938+0.0004303i,0.00063889+0.00066624i,-0.00043333+0.00031419i,-0.00026546-0.00039227i,0.00059379-7.9784e-05i,0.00046633+0.00031356i,2.7681e-05-0.00014353i,-6.389e-05+6.754e-05i,-1.137e-05+0.00045373i
-0.0008037+0.0012174i,-0.00059734+0.0011282i,-2.9408e-05+0.0010373i,0.0008762+0.0015042i,0.00098983+0.0016934i,-0.00031884+0.0015225i,-0.0014327+4.3167e-05i,-0.0010799-0.00095962i,-0.0006021+0.0001892i,-0.00040016+0.00057072i,1.7033e-05+0.00034281i,0.00047983-6.746e-05i,0.00023996-0.00068689i,0.00070804-0.0011678i,0.0012776-0.00071778i,0.00041796-0.00033735i,-0.00022038-0.00086805i,-0.00054159-0.0005158i,6.621e-05-0.00033802i,0.001124-2.3432e-05i,0.0012445+0.00026259i,0.00066938-0.00028596i,0.00019539-0.00024122i
-0.00035952+0.0002603i,0.00026825+0.00047451i,0.0019133+0.00060849i,0.0023892+0.00027345i,0.00086534-0.00041871i,-0.00057127-0.00085827i,-0.00057955-0.0003597i,-0.00058984-0.00054743i,-0.00088951-0.00059557i,-0.00060123-9.2318e-05i,0.0003128-0.0001594i,0.00085645-9.73e-05i,0.0010144+0.00012411i,0.0015985-0.00052764i,0.00085949-0.00074514i,0.00032196-0.00020488i,0.0012424+0.00016515i,0.001624+0.00033895i,0.00064644+0.00051518i,-5.1243e-06+5.8479e-05i,9.7367e-05-0.000175i,0.00011955+0.00082358i,-0.00024963+0.00065124i
0.00062731+0.00051825i,0.0014719-0.00035068i,0.0018475-0.0017029i,0.0019931-0.002392i,0.00034508-0.0014526i,-0.0012588-0.00049594i,-0.00076291-0.00087182i,-0.00070579-0.0010083i,-0.00085636-0.00036196i,-0.00026525+0.0004561i,-0.00011034+0.00054287i,4.9428e-05+0.00022352i,0.0011648-0.0004591i,0.0015262-0.00037068i,0.00034431-0.00036065i,-8.4289e-05-0.00067392i,0.0009865-0.00056275i,0.0016503-0.00013485i,0.0013468-9.1688e-05i,0.0010002-0.00081375i,0.00069499-0.00073051i,0.00044235+0.00010948i,-0.0002299-0.0005219i
