0.0011222-0.0012963i,0.001521-0.0025409i,0.00010372-0.0035882i,-0.0016717-0.0033633i,-0.0026551-0.0021989i,-0.0029065-0.00036831i,-0.0023401+0.00065659i,-0.0013629+0.00046251i,-4.9785e-05+0.00056457i,0.0013454+0.00011992i,0.0015569-0.00070769i,0.00047832-0.00029906i,0.00010321+0.00014656i,7.3655e-05-0.00016386i,-0.0003743+0.00017306i,-0.00078194+0.00050184i,-0.00052779-0.00042831i,-8.8831e-06-0.001147i,0.00060647-0.00061931i,0.00093409-0.00012573i,1.9401e-05-0.00038519i,-0.00050653-0.0015633i,-0.00027337-0.0014601i
-0.0079871-0.021942i,0.029584-0.022238i,0.11174-0.031562i,0.12113-0.080147i,0.046642-0.069757i,0.053955+0.051328i,0.15823+0.12278i,0.19509+0.090824i,0.13422+0.041155i,0.060814+0.0079969i,0.019578-0.0020693i,0.014401-0.0018549i,0.014388-0.0063774i,0.0038799+0.0034852i,0.00070615+0.025679i,0.0094785+0.031685i,0.015758+0.019851i,0.0095796+0.011671i,-0.0017521+0.013254i,-0.010443+0.017028i,-0.013386+0.021631i,-0.0034917+0.024551i,0.012623+0.017373i
0.00056668+0.072i,-0.071714+0.13837i,-0.1575+0.19758i,-0.13362+0.24148i,-0.051392+0.21533i,-0.084528+0.088248i,-0.18732-0.018879i,-0.20798-0.045159i,-0.14095-0.035085i,-0.053214-0.017537i,0.0070383-0.017938i,0.018102-0.029185i,0.0074523-0.0247i,0.0063575-0.011466i,0.016468+0.0011598i,0.024444+0.007174i,0.014356+0.004846i,-0.0035894+0.0037498i,-0.012282+0.0037465i,-0.011668+0.0012688i,-0.0052302-0.0021028i,-0.0033376-0.0023133i,-0.0091518+0.0053128i
0.072745-0.051761i,0.21701-0.047833i,0.34625-0.057503i,0.2928-0.12295i,0.15591-0.14754i,0.154-0.057984i,0.22334+0.0076053i,0.20981+0.0012738i,0.13058-0.011361i,0.044828-0.0162i,-0.014563-0.0073194i,-0.032752+0.0077756i,-0.028047+0.014792i,-0.012184+0.0088471i,0.00097952-0.017213i,-0.0040847-0.039829i,-0.010202-0.033001i,-0.0071169-0.013087i,-0.0028447+0.0033858i,0.0034328+0.013059i,0.010159+0.011628i,0.012931+0.0028691i,0.010828-0.0065061i
-0.044384-0.027452i,-0.12181-0.094649i,-0.19409-0.14059i,-0.13943-0.069497i,-0.027286+0.0021352i,-0.02881-0.026798i,-0.1114-0.024674i,-0.12977+0.031265i,-0.08615+0.055576i,-0.039356+0.048796i,-0.01062+0.028289i,-0.0027709+0.013053i,0.0089601+0.0068156i,0.014069-0.0055983i,0.00024209-0.0088177i,-0.0097824+0.002909i,-0.0068013+0.0081795i,0.0013886+0.0017206i,0.011134-0.009546i,0.015284-0.020049i,0.0072864-0.023979i,-0.0032889-0.020095i,-0.0049109-0.01132i
-0.02705-0.022984i,-0.010351+0.027554i,-0.0013923+0.092922i,-0.048335+0.072242i,-0.1194-0.011601i,-0.11373-0.044965i,-0.01542-0.05656i,0.060437-0.078948i,0.060976-0.076818i,0.035751-0.040307i,0.026147+0.0030012i,0.029758+0.019038i,0.016115+0.015393i,-0.015479+0.017373i,-0.036661+0.026616i,-0.032807+0.031294i,-0.013537+0.022532i,0.0012867+0.012266i,0.0058471+0.0096873i,0.0034954+0.0074169i,-0.0016254+0.0081263i,-0.0037541+0.010901i,-0.0031737+0.0090319i
-0.034408+0.064362i,-0.062434+0.055552i,-0.053375-0.0071681i,0.027867-0.03145i,0.093526+0.031563i,0.073337+0.091442i,0.011992+0.10303i,-0.027423+0.081882i,-0.025459+0.052841i,0.00087031+0.019094i,0.012379-0.021886i,-0.0021739-0.042128i,-0.0072327-0.033417i,0.015889-0.011131i,0.050833+0.0087511i,0.068694+0.007144i,0.052569-0.0044703i,0.020023-0.006083i,-0.0089509-0.0032437i,-0.023453+0.00068935i,-0.019107+0.0027098i,-0.0083807+0.00095313i,-0.003604-0.00064648i
0.07443+0.0042453i,0.16044+0.070468i,0.17868+0.15742i,0.058141+0.16082i,-0.047425+0.10533i,-0.016983+0.073426i,0.049159+0.027368i,0.052917-0.022868i,0.015544-0.036452i,-0.012593-0.028148i,-0.017781-0.0090236i,-0.0081763+0.014308i,-0.00035365+0.028306i,-0.0011978+0.020378i,-0.012513-0.0064622i,-0.031548-0.02225i,-0.039868-0.016898i,-0.031753-0.012127i,-0.014896-0.0092878i,0.0045472-0.0048533i,0.016214-0.0060864i,0.016762-0.01118i,0.012074-0.012541i
-0.0075981-0.044419i,-0.038364-0.17929i,-0.03119-0.32486i,0.048001-0.32444i,0.12829-0.23934i,0.12101-0.20423i,0.050708-0.14882i,0.012983-0.04823i,0.019007+0.010015i,0.0094001+0.020724i,-0.013931+0.020596i,-0.018285+0.0086287i,-0.0032963-0.01544i,0.011551-0.035903i,0.013294-0.041423i,0.0063752-0.035176i,0.0074716-0.022283i,0.018026-0.0087592i,0.023991-0.0038797i,0.017371-0.0046317i,0.0017709-0.0042633i,-0.010688-0.00027288i,-0.012555+0.0060263i
-0.01863-0.011926i,-0.080255+0.098003i,-0.16162+0.27226i,-0.21066+0.33991i,-0.19894+0.25602i,-0.15086+0.15366i,-0.084639+0.092801i,-0.027824+0.039044i,-0.0031823+0.0065676i,0.016318+0.0097018i,0.045478+0.014901i,0.055104+0.010988i,0.031594+0.012042i,-0.012307+0.022693i,-0.047033+0.043883i,-0.043663+0.06324i,-0.022447+0.058754i,-0.01404+0.040341i,-0.012037+0.025529i,-0.0072354+0.012163i,-0.0039348+0.0031581i,-0.0022954+0.0020158i,1.2691e-05-1.3632e-05i
-0.026621+0.028516i,-0.0056787-0.011229i,0.088895-0.12331i,0.17701-0.21513i,0.12639-0.1961i,-0.00084927-0.095735i,-0.049347-0.013906i,-0.021152+0.0001632i,-0.0032231-0.013264i,-0.0031033-0.012731i,-0.006465-0.013971i,-0.02432-0.019966i,-0.035587-0.010174i,-0.010596+0.011895i,0.03173+0.018171i,0.049941-0.0033521i,0.038565-0.025266i,0.018849-0.02985i,0.00035416-0.021631i,-0.010759-0.0047166i,-0.0074185+0.0098015i,0.00024406+0.012888i,0.0023518+0.011109i
0.059554+0.023017i,0.10566+0.1368i,0.075449+0.2746i,-0.016545+0.31129i,-0.028118+0.24915i,0.076135+0.15957i,0.14605+0.054426i,0.10093-0.0057474i,0.043673-0.010415i,0.017951-0.023495i,-0.0064355-0.029543i,-0.0094884-0.0050964i,0.012244+0.013921i,0.029161+0.0080284i,0.035337-0.0072765i,0.029701-0.013729i,0.012322-0.010957i,-0.00066173-0.0052813i,0.00068857-0.0024074i,0.0079653-0.0057026i,0.0096602-0.010998i,0.0086247-0.012167i,0.010431-0.008593i
-7.1338e-05-0.053078i,0.060197-0.21665i,0.13933-0.40779i,0.16771-0.4185i,0.1187-0.25869i,0.039698-0.092971i,-0.02156+0.0055931i,-0.037041+0.028379i,-0.036162+0.019466i,-0.028183+0.028449i,-0.0018188+0.033004i,0.016899+0.014391i,0.01961-0.0066549i,0.0089071-0.025822i,-0.021984-0.036985i,-0.046997-0.025199i,-0.036019-0.00094354i,-0.0033337+0.015066i,0.019499+0.015418i,0.022475+0.0066833i,0.01327-0.00226i,0.00055488-0.0089385i,-0.010661-0.012515i
-0.039438+0.0019474i,-0.15521+0.088822i,-0.30436+0.22472i,-0.30759+0.25896i,-0.16465+0.1231i,-0.052262-0.062429i,-0.017102-0.13722i,0.0059806-0.094017i,0.03096-0.041881i,0.027655-0.024363i,0.0047122-0.013894i,-0.0074716-0.0056506i,-0.011578-0.0095132i,-0.018669-0.0080815i,-0.013204+0.003995i,0.0056928+0.0080454i,0.0105-0.00080379i,-0.0086511-0.0091441i,-0.031052-0.010614i,-0.039099-0.010496i,-0.032619-0.008477i,-0.016581-0.0014736i,0.0031549+0.0043877i
-0.0090448+0.01668i,0.063197-0.0075001i,0.18944-0.067476i,0.21913-0.10323i,0.10003-0.065827i,-0.0037047+0.02753i,0.0012599+0.087188i,0.019648+0.071341i,0.004495+0.04444i,0.0086306+0.037033i,0.028896+0.017277i,0.024197-0.0023287i,0.002463+0.0060735i,-0.01171+0.029796i,-0.016965+0.051167i,-0.015799+0.052972i,-0.01126+0.033323i,-5.121e-05+0.010369i,0.01509-3.4352e-05i,0.023826+0.0040729i,0.028694+0.0078183i,0.024511+0.00034211i,0.004037-0.0069698i
0.030549+0.013818i,-0.0095612+0.094004i,-0.10086+0.16258i,-0.15698+0.1462i,-0.11843+0.10889i,-0.072877+0.093355i,-0.058326+0.054597i,-0.035901-0.0035565i,-0.013932-0.042137i,-0.02296-0.047382i,-0.041544-0.018935i,-0.040719+0.013964i,-0.024203+0.026215i,0.010777+0.01518i,0.051895-0.022429i,0.05938-0.063073i,0.034619-0.073985i,0.0069468-0.055078i,-0.013646-0.026457i,-0.025586-0.0094946i,-0.033775-0.0060234i,-0.033799+0.00045124i,-0.016958+0.0092708i
0.022239-0.036777i,0.13098-0.10537i,0.27918-0.14286i,0.30996-0.073359i,0.24027-0.0012766i,0.20888-0.019073i,0.1726-0.044517i,0.10286-0.020406i,0.052119+0.010006i,0.042614+0.020123i,0.05481+0.0072157i,0.057395-0.015115i,0.048771-0.026448i,0.0217-0.025815i,-0.023223-0.0045063i,-0.04363+0.044374i,-0.024871+0.08525i,0.0046931+0.085748i,0.02552+0.056336i,0.034697+0.023541i,0.034727+0.0050994i,0.023122-0.0014606i,0.0013463-0.0025474i
-0.04625-0.020688i,-0.21954-0.026811i,-0.42018-0.054006i,-0.43154-0.10866i,-0.28188-0.13751i,-0.18017-0.096853i,-0.12533-0.023798i,-0.072132+0.014079i,-0.045172+0.013484i,-0.043177+0.0060321i,-0.047101+0.0013628i,-0.046692+0.0013873i,-0.034896+0.007182i,-0.013749+0.0090242i,0.0028965-0.001674i,0.0091111-0.026071i,0.0036328-0.051918i,-0.01449-0.057396i,-0.032319-0.039668i,-0.036282-0.015112i,-0.026467+0.0017159i,-0.0038993+0.0096046i,0.024132+0.01127i
0.017051+0.057478i,0.14217+0.15098i,0.32313+0.27907i,0.37607+0.33604i,0.23349+0.23803i,0.071171+0.072945i,0.01727-0.035457i,0.034414-0.063926i,0.054886-0.046367i,0.055367-0.020672i,0.043605-0.003698i,0.034957+0.0046715i,0.024581-0.00020758i,0.0042351+0.00092626i,-0.0053063+0.020329i,0.0033707+0.032851i,0.0087747+0.02559i,0.016925+0.01167i,0.03078-0.0001173i,0.034794-0.0075715i,0.027832-0.010829i,0.013851-0.015312i,-0.0047915-0.022251i
0.026825-0.020266i,-0.018733-0.085588i,-0.15032-0.24423i,-0.26317-0.37783i,-0.24486-0.26025i,-0.11006+0.024655i,0.019496+0.16625i,0.045812+0.11279i,0.0038173+0.031078i,-0.016507-0.004174i,-0.010266-0.012188i,-0.012701-0.0046926i,-0.017376+0.011792i,-0.0029468+0.013147i,0.013569-0.012601i,0.0079672-0.038119i,-0.0012612-0.036334i,-0.0018823-0.018112i,-0.0038211+0.0005962i,-0.0049808+0.0094398i,-0.0059701+0.0019951i,-0.013832-0.0062419i,-0.019621-0.0029206i
0.014353-0.0067843i,0.14084+0.042341i,0.30732+0.21035i,0.39943+0.39735i,0.36611+0.35855i,0.23914+0.1235i,0.074805-0.033479i,-0.01282-0.028791i,0.0020807+0.0089414i,0.022287+0.027506i,0.026854+0.031201i,0.033293+0.009766i,0.031761-0.012641i,0.020721-0.017708i,0.0050646-0.0076117i,-0.0063788+0.013906i,-0.01299+0.033016i,-0.021572+0.041224i,-0.026778+0.033283i,-0.027207+0.016495i,-0.026077+0.0084536i,-0.018952+0.0097534i,-0.0066583+0.013158i
-0.052124-0.065316i,-0.20085-0.19105i,-0.39926-0.39015i,-0.49204-0.52259i,-0.40462-0.48235i,-0.20921-0.3505i,-0.026092-0.23653i,0.038712-0.15261i,0.0030364-0.075111i,-0.031444-0.037393i,-0.047506-0.032923i,-0.053139-0.013475i,-0.044051+0.011963i,-0.034207+0.03015i,-0.024445+0.04837i,-0.00062663+0.054383i,0.030496+0.032489i,0.048858-0.0096704i,0.044068-0.039174i,0.027839-0.038051i,0.020086-0.018871i,0.024278-0.0026011i,0.025486-0.001806i
