0.0011222-0.0012963i,0.001521-0.0025409i,0.00010372-0.0035882i,-0.0016717-0.0033633i,-0.0026551-0.0021989i,-0.0029065-0.00036831i,-0.0023401+0.00065659i,-0.0013629+0.00046251i,-4.9785e-05+0.00056457i,0.0013454+0.00011992i,0.0015569-0.00070769i,0.00047832-0.00029906i,0.00010321+0.00014656i,7.3655e-05-0.00016386i,-0.0003743+0.00017306i,-0.00078194+0.00050184i,-0.00052779-0.00042831i,-8.8831e-06-0.001147i,0.00060647-0.00061931i,0.00093409-0.00012573i,1.9401e-05-0.00038519i,-0.00050653-0.0015633i,-0.00027337-0.0014601i
0.00039717+0.0017306i,0.0017956+0.00045654i,0.0030911+0.00041061i,0.0032672+0.0010085i,0.0021737+0.001047i,0.00050661+0.00033973i,0.00021847-0.00041972i,0.00048865-0.0008714i,-0.00030511-0.00050263i,-0.00079763-0.00064281i,-0.00041055-0.0010939i,-7.0251e-05-0.0003516i,0.00066179-9.2058e-05i,0.0012992-2.3333e-05i,0.00057165+0.00050726i,0.00016987+0.00042448i,0.00069373-2.7807e-05i,0.00021599-2.9021e-05i,9.1776e-05-0.00039204i,0.00071531-0.00089236i,0.00065168-0.00070401i,0.00087475-0.00051907i,0.00053795+0.00032714i
-0.00053966-0.0013233i,7.1474e-05-0.00057731i,0.00049386-0.00021795i,0.00044771+6.4863e-05i,-0.00049486+0.00096049i,-0.00098021+0.00092298i,-2.185e-05+0.00017294i,-0.0002921-0.00081126i,-0.00077067-0.0015182i,-0.00080825-0.00097375i,-0.00081658-0.00084588i,-0.00078585-0.001219i,-0.00016342-0.0011866i,0.00051716-0.00027042i,0.00015234+0.00019909i,-4.7937e-06+0.00026895i,-0.00018268+0.00078136i,0.00023841+0.00011781i,0.00090232-0.00069559i,0.00082815-0.00024391i,9.354e-05-0.00033905i,-0.00010128-0.00046278i,-0.00031958-0.00016412i
0.0002211+0.0015088i,0.00034162+0.0011601i,0.0012396+0.00059081i,0.0018757-0.00045089i,0.0014579-0.00087641i,0.0010836-0.0017379i,0.0012609-0.0018106i,0.00083235-0.00042036i,-0.00063897-0.000357i,-0.0013915-0.00057595i,-0.00068527-0.00072121i,0.0001043-0.0012898i,0.00042827-0.0010703i,-9.9359e-05-0.000428i,0.00015905+0.00010273i,0.00039971+0.00031643i,0.00027177+0.00012143i,0.00022909-0.0007394i,0.00032453-0.00046286i,0.00047805+0.00075704i,-0.00016229+0.00037451i,-0.00036034-0.00031374i,-0.00030807-0.00036691i
-2.7566e-05+0.00044534i,0.00032399-0.00022183i,0.0009602-0.0001512i,0.00022313-0.00068454i,-0.00035579-0.0015212i,0.00028777-0.0010246i,0.0011447-0.00069742i,0.00057939-0.0014395i,-0.00010795-0.0013797i,-0.00012312-0.00054679i,8.8827e-05-0.00068727i,0.00016845-0.00061433i,0.00043501-0.00062832i,0.00057227-0.00029775i,0.00039423+4.9338e-05i,6.1054e-05-0.00081475i,-0.00016072-0.0012029i,-0.00034958-0.00048518i,-0.0010845-0.00051328i,-0.00094324-0.00097296i,6.5041e-05-0.00067148i,0.0009598+7.0306e-05i,0.0004599+0.00028509i
0.00026664-0.00013139i,0.00057513-0.00099593i,0.00047321-0.0020364i,0.0003101-0.0024287i,0.00041911-0.001402i,0.00046618-5.5008e-05i,-0.00025327-0.00067722i,-0.00081505-0.0013737i,-0.00047231-0.00096304i,-0.00025678-0.00086424i,-0.00028637-0.00089747i,-0.00052958-0.000406i,-0.00048577+0.00012782i,-0.0003119+0.00088324i,-0.0004472+0.001155i,-0.00036774+0.00030756i,0.00022938-0.00046893i,0.00023732-0.00036959i,-0.00053905-0.00057018i,-0.00017132-0.00082401i,0.00075554-0.00091472i,0.0010401-0.00013008i,0.00018901+0.0013652i
-0.00092152-0.00092465i,-0.0011858-0.00059908i,-0.00031021-0.0003763i,-0.00053416-0.00041822i,-0.00044848-0.00017652i,-0.00052454-0.00015401i,-0.0011191-0.001101i,-0.0011198-0.0018823i,-0.0010203-0.0020076i,-0.00019828-0.00089277i,0.00072515+0.0002957i,0.00087095+0.00012318i,0.0001046+4.4611e-05i,-0.000239+0.00038111i,0.00016999-5.0648e-05i,0.00039703-0.00034598i,-2.301e-05-0.00040051i,6.5984e-05-0.000362i,0.00077744+4.0867e-05i,0.00036323-0.00038567i,-0.00067321-0.00076039i,-0.00098524-0.00041213i,-0.00094178-0.00040293i
-0.0012001-0.00057468i,-6.3375e-05+8.277e-05i,-0.00016835+0.00010746i,-0.00032905-0.00063255i,0.00062593-0.00055056i,0.00079302-0.00076991i,0.0010419-0.001556i,0.0010281-0.0014284i,7.8661e-06-0.00098689i,-0.00015673-0.00062981i,-6.9149e-05-0.00027209i,-0.00020017+2.5058e-07i,0.00077723+4.5372e-05i,0.0012657-9.4575e-05i,0.00085358-0.00010698i,0.001047+0.00035014i,0.00082743+8.3931e-05i,0.00064157-0.00045177i,0.0006079-0.00031017i,2.3836e-05-1.4398e-05i,-0.00050616+0.00021027i,-0.00036198+0.00059995i,-0.00021205+0.00060686i
-0.0005901-0.00013514i,0.0010198+0.00094136i,0.0018595+0.00095923i,0.001857+0.0013775i,0.0014219+0.0021037i,0.001041+0.0012622i,0.00039674-0.00047392i,-0.00051859-0.0012729i,-0.00099926-0.0011612i,-0.00078271-0.0012083i,0.00032092-0.00078178i,0.0006766-0.00049044i,7.9161e-05-0.0010193i,0.00030002-0.0014655i,-9.621e-05-0.00069269i,1.8768e-05-0.00017848i,0.00057009-0.00088272i,-0.00037535-0.00037476i,-0.0014052+0.00031001i,-0.00088109+0.00019955i,-0.00060149+0.00028144i,-0.00010596+0.0001399i,0.00065639+0.00025699i
-0.00014875+0.0011464i,0.00097475-0.00077282i,0.0018293-0.00031039i,0.0017081+0.00019921i,0.00097329-0.00051563i,0.00021887-0.0010694i,8.4577e-05-0.0022528i,-0.00016607-0.0021574i,-0.0011655-0.0010409i,-0.0014479-0.00081081i,-0.00058424-0.0009845i,0.00017414-0.00093643i,0.00038969-0.00090049i,8.0431e-05-0.00041776i,-0.00039433+0.0002519i,0.00060599+0.00068123i,0.00087704+0.00025871i,0.00033764-0.00018299i,0.00072846-0.00050714i,0.00056442-0.0013374i,1.7574e-05-0.0013712i,0.00042256-0.00068411i,0.0010229-0.00028169i
-0.00049658-0.00041139i,-0.00092332-0.00025686i,-0.00024977-0.001382i,0.00072217-0.0014904i,0.0010947-0.0010607i,0.0010826-0.0014899i,0.00059715-0.001703i,6.4195e-06-0.001301i,-7.3974e-05+8.7489e-05i,0.00021341+0.00055236i,-0.00044242+1.2806e-05i,-0.001127-0.00015875i,-0.00064614+0.00070698i,0.00027173+0.00043007i,0.00081398-0.00054877i,0.00072681-8.7225e-05i,0.00037032+0.00092903i,0.00026192+0.00045162i,-0.00018663-0.00063816i,-0.0005496-0.0010797i,-0.000616-0.0012515i,-0.00063576-0.0010151i,-0.0002036-0.00072327i
0.00043952-0.00089047i,7.1454e-05-0.0011673i,-0.00011634-0.0028034i,2.0308e-05-0.002817i,-0.0001702-0.0005918i,-0.0010385+0.00084085i,-0.0012253+0.00031866i,-0.001129-0.00098863i,-0.0006805-0.0016321i,-0.00010797-0.00075279i,8.789e-05-0.00022494i,-3.9763e-05-0.00027827i,-4.3941e-05-0.00013531i,0.00023328-0.00024338i,0.00046772+5.6007e-05i,-0.00010155+0.00041624i,-0.00058277-9.2141e-05i,-0.00031493-0.00024236i,-0.00039049+0.00028234i,-0.00082988+3.266e-05i,-0.00038186+0.00029685i,-0.00018514+0.00077284i,-0.00064233+0.00068105i
0.00027156+0.00063805i,0.0009716-0.0002362i,7.8694e-05-0.00030156i,0.00070572+0.00043215i,0.00088708+0.00052606i,0.0003197+0.00028344i,0.00033158-0.00049553i,0.00061036-0.00079632i,0.0012179-0.00055488i,0.0020095+0.00015597i,0.0012717+0.00050019i,0.00023173+0.0006678i,0.00034121+7.0974e-05i,0.00061334-0.00078652i,0.00078594+6.7989e-05i,0.00053138+0.00077988i,-0.00041339-0.00012291i,-0.00077907-0.00095033i,4.9866e-05-0.00035197i,0.00079298-0.0001187i,0.00095403-0.0001837i,0.00027104+0.00034617i,-0.00036263+0.0003483i
-0.00011058+0.00037985i,0.00061811-0.00040037i,0.0012057-0.0017965i,0.0011852-0.0022036i,0.00076832-0.001201i,0.0009859+0.00043374i,0.00098484+8.3804e-05i,0.00027008-0.00083766i,1.5943e-05-0.00081211i,0.00014021-0.0006563i,0.00073508-0.00062187i,0.0010501-0.0011254i,0.00041555-0.0015811i,0.00027956-0.00084565i,0.00029871+5.653e-05i,0.00010445+0.00012231i,-0.00017264+6.8421e-05i,-6.6985e-05+0.00016953i,-0.00037014+0.0001388i,4.2427e-05-0.00018656i,0.00036848-0.00032656i,1.535e-05-0.00033453i,1.5685e-07-0.00017145i
-0.0010538+0.00016607i,-0.00066612-0.00031048i,0.00036995-0.00081584i,0.0017984-0.00022525i,0.0019915+0.00077598i,0.00040415-0.00015072i,-0.0003626-0.0010248i,-0.0010081-0.0014084i,-0.0012585-0.0012199i,-3.1753e-05-0.00082953i,0.00067303-0.00085612i,0.0002317-0.00083186i,-0.00018251-0.00066134i,-0.00065986-0.00034653i,-0.00087995+0.00033652i,-0.0006135-0.00020509i,0.00016891-0.00073095i,0.00038149-0.00011392i,0.00026712+0.00063355i,6.8574e-05+0.00047331i,3.019e-05+0.00036842i,-0.00043257+0.00057168i,-0.0014853+2.3655e-05i
0.0020218+0.0011556i,0.0021391+0.00053518i,0.0025984-0.0010706i,0.0026533-0.001743i,0.0016771-0.0010883i,0.00030408-0.00049494i,-0.00027658-0.0007549i,-0.000627-0.0012279i,-0.0008175-0.00091015i,-0.00043619-0.00047163i,4.742e-05-0.00064261i,0.00077408-0.00056906i,0.00040076-9.2242e-05i,-0.00080376+3.1936e-05i,-9.3733e-05+4.8333e-06i,0.00071515+2.2253e-05i,4.1882e-06-0.00019134i,-0.00023945-0.00027608i,-0.00016106-0.00068191i,-2.4994e-05-0.00012022i,0.00027034+0.00069264i,-9.2418e-05+0.00073185i,-0.00029242-5.11e-05i
-0.00035381+0.00075673i,-0.00024792+0.00049613i,0.00048158+0.00079711i,0.0012268+0.0015731i,0.00093511+0.0022699i,0.00072068+0.0010664i,0.0012731-0.0010596i,0.00055933-0.0014929i,0.00028868-0.0004774i,0.0013007+0.00025998i,0.0015212-0.00016987i,0.0011197-0.00044565i,0.0011778-0.00052453i,0.0011689-0.00033911i,0.00084395+0.00065723i,0.00075882-0.00016643i,0.00025632-0.00046672i,-2.7769e-05+0.00034024i,0.00032565+0.00028603i,-4.1471e-05-0.00046509i,-0.00076347-0.00035525i,-0.00086725-9.5881e-06i,-0.00069336-0.0004227i
-0.00071979-0.001653i,0.00050434-0.0028762i,0.0022829-0.0032752i,0.0024491-0.0020411i,0.0021521-0.00076273i,0.001515-0.00033984i,0.00052249-0.00068111i,0.00026726-0.0010868i,0.00022326-0.00077988i,0.00070978-0.00018579i,0.00041367+0.00027065i,-0.00033924+0.00018173i,-7.1792e-05-0.00040855i,0.00051097-6.9006e-05i,0.0012333+4.1728e-05i,0.0012168-0.00058563i,0.00052993-0.0001649i,0.00013517+0.00080986i,0.00028443+0.0011469i,-0.00030512+0.00097296i,-0.0011633+0.00094341i,-0.00059259+0.00092355i,0.00021666+0.00020518i
4.6187e-05+0.00014524i,0.00048398-0.00031607i,0.00056141-0.00094151i,0.00035609-0.0012732i,0.00042695-0.0018558i,-0.00044815-0.0020389i,-0.001372-0.0021709i,-0.00059215-0.0025862i,0.00041804-0.002112i,0.00097117-0.00075567i,0.0011309-2.0485e-05i,0.00035846+1.2205e-05i,-0.0001871-0.00035675i,0.00020427-0.00081175i,0.00015707-0.00046055i,-0.00015663+0.00027668i,-0.0003837+0.00064461i,-0.00015074+0.00059913i,0.00048883+0.00014374i,0.00037136-2.3998e-05i,0.00017105-0.00012529i,-0.00025506+0.00023857i,-0.00039026+0.00010287i
0.00081046-0.00055611i,0.00093128-0.0017277i,-5.7095e-05-0.00312i,-0.0012619-0.0031454i,-0.0015998-0.0020644i,-0.00041108-0.0010462i,0.00056064-0.00094602i,0.00070652-0.0014269i,0.00013189-0.0016595i,-0.00042263-0.0011368i,-0.0010624-0.00075094i,-0.00070677-0.00071706i,-0.00016352-0.00055112i,-0.00051541-0.00054602i,-0.00049744-0.00091373i,-0.00026994-0.00042696i,-4.7508e-06+0.00024194i,0.00023333+6.2043e-05i,0.00048157-0.00034441i,0.00040675-0.00093432i,0.00033706-0.00076883i,0.00025714-0.00017749i,-0.00065252-0.00043751i
-0.00058601+2.6981e-05i,-0.00021676+0.0004728i,-0.00049947+0.00047529i,-0.00086899+0.0014257i,-0.00055359+0.0023208i,0.00060991+0.0016428i,0.00097325+1.9871e-05i,-5.7015e-05-0.0012164i,-0.00091985-0.0011664i,-0.0011789+0.00020044i,-0.0013249+0.00054427i,-0.00082301-0.00011934i,0.00070429-0.00020639i,0.0010421-5.3643e-05i,0.0003215-0.00060814i,0.00044611-0.00048443i,0.00057218-0.00017387i,0.00020807-0.00018013i,-0.00018304-4.8965e-06i,-0.0004284-5.6247e-05i,-0.00038043-0.00037277i,-0.00024629-0.0006363i,-0.00014346-0.0013555i
-0.00068701+0.00078495i,-0.00075855+0.00073276i,-0.0014501+0.00054302i,-0.0009764+0.00087162i,0.00049535+0.0015462i,0.00085018+0.00058368i,0.00092564-0.00057658i,0.00093681-0.00044922i,0.00068571+0.00044805i,0.00060767+0.0011063i,0.00016896+0.00045674i,-0.0001731-2.0633e-05i,0.0004538-0.00011807i,0.0012207-9.8296e-06i,0.0012475+2.6282e-05i,0.00035677-0.00022647i,-0.00033169-7.9976e-05i,-0.00014264+0.00011384i,-0.00016743-9.4541e-05i,-0.00083043-0.0002611i,-0.00095135+5.6121e-05i,-0.00024863+0.00037547i,0.00059124-0.00014655i
0.00041+0.00063736i,0.002478+0.00011453i,0.0040672-0.00030094i,0.0040141-6.1401e-05i,0.0028206+0.00077998i,0.00099239+0.00068004i,0.0004216-0.00018709i,0.0013129-0.00033833i,0.0015657+0.00032607i,0.0015007+0.00059849i,0.00095628+0.00013689i,-0.00012938-0.00028261i,-0.00022967-0.00084881i,0.00025676-0.0011989i,0.00077845-0.0008144i,0.00099314-0.00046857i,0.00018492+3.8528e-05i,-0.00027836+0.00044238i,-0.00036757+0.00059528i,-0.00068793+0.00046057i,2.8954e-05+0.00011832i,0.00078084-0.0004123i,0.00038412-0.00054723i
0.00093522-0.0011588i,-0.00010989-0.001881i,0.00074553-0.0018434i,0.0015979-0.001816i,0.00099684-0.00072091i,0.0011895-0.00016837i,0.00039541-0.0011701i,-0.00081149-0.0016769i,-0.0010641-0.00057289i,-0.0004641-0.00016442i,0.00021835-0.00039255i,0.0010282-0.0003912i,0.0013865+0.00029652i,0.00072986+0.00051522i,-0.00018445-0.00066331i,0.00011141-0.0006673i,0.00028821-0.00062873i,0.00027851-0.00071464i,0.00030056+0.00025619i,3.5237e-05+0.00081524i,3.8497e-05+0.00043602i,-4.0648e-05-0.00013624i,-0.00025663+0.00044837i
-0.0019183-0.0011153i,-0.00074546-0.00034614i,0.00036828-0.0013531i,0.00014444-0.001501i,-0.00035655-0.00062247i,0.00058853+5.3768e-05i,0.0003553+0.00011686i,-0.001294-0.00069011i,-0.0010665-0.0009288i,-0.00053892-0.00099487i,-8.7719e-05-0.0009651i,0.00081254-0.00031242i,0.00099857+0.00020996i,0.00046454+0.00021898i,-0.00025773+8.1615e-05i,-0.00073147-0.00036855i,-0.00012491-0.00044771i,0.00075789-0.0005421i,0.00017114-0.00022293i,-0.00045156+0.00055794i,-0.00047744+0.0010755i,-0.00064689+0.00075315i,-0.00059126-0.00010425i
6.9767e-05+5.7505e-05i,-2.9777e-05-0.0015925i,0.00027742-0.0028598i,0.00047957-0.0032615i,0.00094355-0.0022268i,0.00099863-0.001406i,0.00092208-0.0012163i,0.00039336-0.00083546i,-0.00094079-0.00081386i,-0.0013897-0.001158i,-0.00060272-0.0011407i,0.00032284-0.0012289i,0.000134-0.0011053i,-0.00047283-0.00077557i,0.00019518-0.00052595i,0.00052782-0.00052896i,-0.00033436-0.00084198i,-0.00054327-0.00056357i,-0.00049259-0.00038126i,0.0001061-0.00057912i,0.00076409-0.00039611i,0.00014165-0.00023798i,-0.00015836-0.00032544i
-0.00038498+0.00025893i,0.00066337+0.00099665i,0.00059783+0.00090018i,0.0001218+0.00063736i,-0.00033416+0.0010211i,0.00047444+0.0013387i,0.00093537+0.00045355i,0.00013169-0.00074728i,-0.00076834-0.0010925i,-0.00070594+0.00027342i,-0.00011472+0.00084619i,7.7548e-05+0.00028679i,-0.00014451-0.00038702i,0.00029047-0.00024191i,0.00057778+0.00036302i,0.00051297+0.00029664i,0.00052962+0.00064286i,-0.0001666+0.00081138i,-0.00047227+0.00034864i,-0.00065567+0.00061323i,-0.00076731+0.0013034i,-0.00092621+0.00059752i,-0.00063625-0.00051096i
7.6439e-05-9.2251e-05i,0.00044055-0.00087208i,0.00080292-0.0011984i,0.00015321-0.00081437i,-0.00086048-0.0015512i,-0.00055025-0.0017423i,-0.00027389-0.0011396i,-0.0004668-0.0016626i,0.00026187-0.0016554i,0.001122-0.0006927i,0.0011278+0.00019023i,1.9893e-05+0.00086505i,-0.0015685+0.00077788i,-0.0016719-0.00031908i,-0.00070084-0.00051572i,-0.00090608-0.00023732i,-0.00084426-0.00023583i,-9.6104e-05+7.4445e-05i,0.00018408+2.0655e-06i,0.00031067-0.00021935i,-1.3421e-06-0.0007332i,-3.2147e-05-0.00028482i,0.0001794+0.00095114i
-0.00025557-0.00099553i,0.00015126-0.001444i,-6.7066e-05-0.0016082i,-0.00022329+0.00039384i,0.00023623+0.0019649i,0.00031759+0.0017407i,-0.00070576+0.00064065i,-0.00075175+0.00013604i,1.5328e-05+0.00025012i,0.00067803+0.00035943i,0.00096177+2.3338e-05i,0.0010097-0.00028249i,0.0012571+0.0010369i,0.00066649+0.001415i,0.00015776+0.00048338i,0.00010429+0.00025327i,0.0001336+0.00043769i,0.00049457+0.00017768i,0.00025771-9.9578e-05i,-0.00021296+0.00048673i,-0.00042057+0.00060927i,-0.00033038+0.00030521i,1.5873e-05+0.00073386i
0.0013499-0.00082193i,0.0011657-0.0014363i,0.001881-0.0024855i,0.0011762-0.0022786i,-1.5792e-05-0.0013098i,-0.00046305-0.00059427i,-0.0010096-0.00043107i,-0.00088855-0.00063297i,-0.00014426-0.0009737i,-1.3983e-05-0.0014673i,-0.00046594-0.0025087i,-0.00040124-0.001553i,0.00068422+0.00037281i,0.00086743+0.00045746i,0.00021051-0.00073269i,0.00045772-0.00070657i,0.00035101+0.00041504i,-2.2768e-06+0.00040011i,-0.00013482-0.00036918i,6.4914e-05-0.00058153i,0.00039427-0.00037529i,-9.4206e-05+0.00047041i,-0.00027877+0.0014356i
-0.00061098+0.00053814i,0.00062471+0.00093341i,0.0011217+2.2565e-05i,0.0020874-0.00062929i,0.0025529+3.279e-05i,0.0016898-6.2001e-05i,0.00023868-0.0011598i,8.7855e-05-0.0014639i,0.00044761-0.00082121i,0.0003853-0.00085035i,0.00011902-0.00098438i,-0.00057707-0.00084186i,-0.00017788-0.00078218i,0.00077346-0.00018233i,0.0011631-6.2366e-05i,0.00055366+0.00026198i,-9.0183e-05+0.00015605i,7.5345e-05-0.00056318i,-0.0003724-0.00060971i,-0.00065141-0.00026883i,-0.0003345-0.00028794i,-0.00041209-0.00037667i,-0.0010331+0.0002718i
0.00013156+0.00013448i,0.0021396-0.00065527i,0.0022308-0.00088139i,0.00088532-0.0013574i,0.0013186-0.0013681i,0.0019012-0.00074422i,0.0013052-0.00042818i,0.00036801-0.00088173i,-0.00074554-0.0011226i,-0.00082923+0.00026821i,0.00031326+0.0013888i,0.00062648+0.00092182i,0.0002363+9.2431e-05i,-0.00042357-0.00038431i,-0.0006337-0.00062737i,7.5708e-05-0.00064444i,0.00049561-0.00012462i,0.00022938+0.00027421i,0.00042014+0.00011129i,1.0686e-05+0.000139i,-0.0011861+0.00017166i,-0.0013016+0.000149i,-0.00079+0.00015285i
-1.2387e-05-0.0010176i,0.00048552-0.0015479i,0.0017226-0.0014087i,0.0019749-0.00098476i,0.0014799-0.00030922i,0.0011199-0.00069278i,0.00061821-0.00098473i,-0.00013308-0.0013296i,-0.00027158-0.0015695i,0.00018814-0.00035134i,0.00061503+0.00065302i,0.00054833+0.00033686i,0.00038223+0.00084117i,0.00025332+0.00093602i,0.0006454+0.00025464i,0.0010389+0.00022013i,0.00087759+0.00033465i,0.00034476+0.00023668i,-6.2821e-05-8.9819e-05i,-9.7499e-07-5.5785e-05i,7.3028e-05+0.00023922i,8.3754e-05+0.00041114i,-0.00056024+0.00014437i
0.0010643+0.0018071i,0.002288+0.0012448i,0.002919-0.00026811i,0.0014442-0.00056813i,0.00053267-0.0001981i,0.00042579-0.00067709i,-0.00030764-0.0014285i,-6.6747e-05-0.0021458i,0.00046908-0.0018614i,0.00027155-0.00071232i,0.00039459+7.58e-05i,0.0016708-0.00028838i,0.0011371-0.00083777i,-0.0001791-0.00067276i,-0.00033405-0.00019594i,-0.00029443+3.1556e-05i,-0.00019182-0.00048553i,0.00078703-0.00087721i,0.0010558-0.0008733i,8.4159e-05-0.00069555i,-4.5274e-05-1.8889e-05i,0.00085723+0.00049608i,0.00046197+0.00098484i
0.00035937-0.00022273i,0.00024056-0.0010957i,0.00034456-0.0009225i,0.0010587-0.00090115i,0.0013321-0.00026738i,0.00052832+0.00025997i,-8.4463e-05-0.00020222i,0.0001483-0.00087905i,0.00014851-0.00082524i,-0.00056569-0.0011609i,-0.00037782-0.0013962i,-0.00023943-0.0009969i,-1.1625e-05-0.000703i,0.00046523-5.126e-05i,0.00078272+0.00024136i,0.00025251+0.00019754i,-0.00035178-0.00035048i,-0.00083151-0.0012138i,-0.00108-0.00079305i,-0.0006826+0.00044949i,-0.00069623+0.00098205i,-0.00080514+0.00082356i,-0.00082352+0.000787i
-0.00041184+0.0013197i,0.00032439-0.00053137i,0.0016146-0.00012987i,0.0016958+0.0015218i,0.0011337+0.0021329i,0.0010869+0.0020841i,0.00053132+0.00051356i,0.00011413-0.00026254i,3.9059e-05+0.00081046i,-0.00076612+0.00042944i,-0.0012832-0.00089297i,-0.0009793-0.001158i,0.00024344-0.0014461i,0.0014416-0.0013896i,0.00087995-0.00097033i,0.00013724-0.0010103i,0.0001056-0.0002588i,5.962e-05+0.00042317i,0.00019643+0.00064528i,-2.9664e-05+0.00053125i,3.337e-05+0.00046001i,0.00078856+0.00031026i,0.00099203-0.00020778i
0.00059177-0.0001862i,0.0013591-0.00080447i,0.0011052-0.00068081i,0.0013683-0.00072609i,0.0012798-0.0012068i,0.00087176-0.0010789i,0.0011125-0.00072344i,0.0011531-0.00087047i,0.00096511-0.00068152i,0.00098075+0.00032902i,0.00039498+0.00059917i,-0.00087945+0.00048766i,-0.00094789+0.00019785i,0.00012818-0.00045022i,0.00068498-0.00044291i,0.00042147-8.9204e-05i,0.00030811-0.00033487i,0.00049174-0.00032223i,0.00015167+9.7727e-05i,-5.6377e-05-0.00015832i,-0.00025219-0.00024627i,-0.00026702+6.263e-05i,-0.00013128-0.00023772i
0.00023733-0.00054614i,0.00090691-0.0011554i,0.0023955-0.0021424i,0.0023548-0.0018436i,0.00082869-0.0013378i,0.00092153-0.0013068i,0.0019364-0.00056064i,0.0012658-0.00085156i,0.00037304-0.0015157i,0.00052566-0.001066i,0.00077204-0.00012359i,0.00061698+0.00038698i,0.0009725+1.8822e-05i,0.0011516-0.00055327i,0.00050592-0.00013811i,0.00031643+0.00030825i,0.00022661-0.00047647i,0.00034399-0.00037727i,0.00018104+1.4167e-05i,-0.0002285-0.00077394i,0.00015497-0.001241i,0.0004286-0.00053442i,6.3284e-05-0.00014167i
-0.00041503-0.0028909i,0.00014319-0.0020698i,0.00061203-0.0014446i,-0.0004022-0.0017371i,-0.001724-0.001607i,-0.00036848-0.00081224i,0.00078688-0.00053182i,-0.00017934-0.0011589i,-0.0010903-0.0010671i,-0.00042953-0.0011761i,5.3681e-06-0.0012532i,-0.00025355+7.9113e-05i,0.00033879+0.0006647i,0.00016618+0.00086638i,-0.00027721+0.0016156i,0.0003861+0.0013276i,0.0011705-0.00017975i,0.00061047-0.00092816i,-0.0004756-0.0010848i,-0.0012895-0.00086299i,-0.0015112-0.00029232i,-0.00031378-0.00037229i,0.00037588-0.00031924i
0.00035301+0.0012759i,0.00082057+0.00053742i,0.0019158+0.00013336i,0.0013543+0.00085527i,0.0005972+0.001021i,0.00068397-0.00046426i,-0.00020644-0.0010567i,-0.00092749-0.0010864i,-0.00047969-0.0016454i,1.2141e-05-0.0013538i,-0.0002996-0.00087276i,1.1e-05-0.0012751i,0.00064011-0.0011996i,0.00042385-0.00030807i,0.00027619+0.00010964i,0.00041001+0.00028087i,-9.1942e-05-0.00035312i,-0.00083157-0.00080932i,-0.0010828-0.00067933i,-0.00037918-0.00064043i,0.00045558-0.00034617i,0.00016411+9.9266e-05i,0.0005008+0.00060642i
-0.00096891+0.0015129i,4.7398e-05+0.0013187i,0.0010671+0.0018881i,0.0018032+0.0024031i,0.002006+0.0021952i,-0.00011385+0.001059i,-0.0013416-0.00026857i,-0.00046011-0.00068552i,7.7934e-05-0.00073136i,-0.00016186-0.00033436i,-0.00060281-8.1931e-05i,-0.0010707-0.00022923i,-0.00099023-0.00061497i,-0.00020491-0.0012173i,-0.00051985-0.0014356i,-0.00073529-0.0010175i,-0.00030743-0.00010142i,-0.00016906+0.00081719i,-0.000641+0.0010881i,0.00024416+0.00053115i,0.0011177+0.00029712i,0.00010016+0.00048094i,-0.00026245+0.00065214i
0.0013268-0.00022859i,0.0014182-0.00064515i,0.0027107-0.00076915i,0.0035733+3.6114e-05i,0.002505+0.00034239i,0.00040524-0.00013204i,0.00014149-0.00033048i,9.6456e-05-0.000438i,-0.00041017-0.00064328i,0.0006112+1.0936e-05i,7.6054e-06+0.00055681i,-0.00090435+0.00025243i,-0.00058255-0.00020542i,-0.00051076-0.00036605i,-0.00047814-0.00075246i,-0.00072752-0.0009139i,-0.00077349-0.00068477i,-0.00023-0.00018671i,0.00032135+0.00078965i,-0.00016445+0.0010094i,7.9887e-05+0.00040806i,0.00034419+9.5001e-05i,-9.0559e-05-0.0003076i
-0.00053247-0.00079078i,-0.00013085-0.00051894i,0.0013503-0.00023054i,0.0016892+0.00080792i,0.0003411+0.0012062i,-5.2119e-05+0.0013184i,-3.6062e-05+0.0011465i,-0.00029484+0.00017593i,0.00043558-0.00073743i,0.0014827-0.00065856i,0.0020205+0.00034308i,0.0021461+0.0015176i,0.0010008+0.0012349i,-5.7745e-05+9.0957e-05i,0.00016422+0.00013885i,0.000256+0.00070838i,-1.2402e-05+0.0010245i,-0.00012921+0.00087705i,0.00036092+0.00057069i,0.00073691+0.00027403i,0.00035098+0.00023452i,-0.00034658+0.00019425i,-0.00045592-0.0006773i
-0.00013694-0.00010916i,4.1873e-05-0.00011673i,0.00010818-0.001067i,5.4858e-05-0.0019496i,0.001659-0.00091221i,0.0028554-4.3005e-05i,0.0018797-0.0005135i,0.00074178-0.0011571i,0.00014683-0.0013159i,0.00043396-0.0013025i,0.0010411-0.0003314i,0.0015834+9.1602e-05i,0.0014205+0.00068508i,0.0015547+0.00092188i,0.0020939+0.00040503i,0.0013517+0.0002495i,2.6827e-05+7.5824e-05i,0.00020643+2.2051e-05i,0.00071684+0.00051744i,-0.0005028+0.00054195i,-0.00081252+0.00027371i,-0.00026868+4.0484e-05i,-0.00018676+2.8744e-05i
