-0.0012751-0.00046687i,-0.0010442-0.00036998i,-0.00012667-0.0001882i,0.00054692-0.0003189i,0.00057215-0.00018071i,0.00083663+0.00063345i,-0.00037369-0.00011319i,-0.0025013-0.00014371i,-0.0023389+0.0020973i,-0.00054902+0.0029335i,0.00038327+0.001991i,0.0007408+0.00054897i,0.00073366-0.00031616i,0.00032676-0.00094098i,0.00015727-0.0011067i,-8.001e-05-0.00018897i,-0.00045984+0.00026006i,-0.00024354+0.00020647i,0.00031963-0.00042259i,0.00037956-0.00092706i,0.00013006-0.00049286i,-2.9108e-05-0.00011134i,-4.5012e-05+0.00015847i
-0.00084458+0.00045059i,-0.00054478-0.00072992i,0.00034385+0.00019668i,0.0012664+0.001005i,0.0015617+0.00085113i,0.0016613+0.00029508i,0.0014573-0.00078461i,0.00034426-0.00086344i,-0.00097301+0.00071218i,-0.0010681+0.00092832i,-0.00072755+7.6738e-05i,-0.0003677-0.00037856i,-5.3945e-05-4.4503e-05i,0.00025238+0.00028415i,2.9656e-05-0.00013298i,-0.00042025+0.00024255i,-0.0004381+0.0014367i,-0.00017279+0.0013832i,-0.00048907+0.00058027i,-0.00082235+0.00012309i,-0.00066392-0.00024142i,-0.00058009-0.00046667i,-0.00042548+0.0002711i
-0.0010316-0.00076149i,-0.00095614+0.00017191i,-0.00060733+0.00049702i,0.00012529+0.00069255i,0.0019637+0.0011998i,0.002366+0.0007822i,0.0018924-0.00099508i,0.00078326-0.0012731i,-0.00033903-0.0002294i,-0.00019282+0.00080233i,-0.00045259+0.0005873i,-0.00088488+0.0003665i,-0.00057835+0.00033331i,0.00018651+0.00021654i,0.00024274+0.00051764i,0.00016253+0.0010012i,0.00032806+0.0010599i,3.2893e-05+0.00017727i,-0.00060034-0.00074328i,-9.747e-05-0.00042856i,0.00067139+0.00041839i,0.00077345+0.0005241i,0.00019767+3.3414e-05i
-0.0010961+0.0012696i,-0.00061005+0.00099638i,-0.00047887+0.0013295i,-0.00024293+0.0015533i,0.00037391+0.0013014i,0.00084926+0.00044517i,0.00085282-0.00066632i,-0.00012243-0.00090017i,-0.00099732-0.00021494i,-0.00060043+0.00080888i,-0.00029113+0.00016518i,-8.9426e-05-0.0004096i,0.00044416-0.00046423i,0.00060233-0.00051251i,0.00034493-0.00026366i,-0.00047583+0.00027667i,-0.0007639+0.0005613i,-0.00031493+0.0001949i,-0.00018545-9.6859e-05i,-9.9093e-05-0.000246i,0.00027068-0.00049464i,0.00072465-0.00078938i,0.00094706-0.00042632i
0.00077819-0.0010265i,0.00027411-0.00058689i,-7.1452e-05-0.0010886i,-0.00021765-0.0010814i,0.00014904-0.00029585i,0.0014036-0.00024401i,0.0018246-0.00073172i,0.00080845-0.0011946i,-0.00031519-0.00050709i,-0.00096109+0.00050357i,-0.001028+0.00032914i,-0.00023495+0.00063646i,7.7763e-05+0.00078114i,0.0002725+3.3377e-05i,0.00059586+8.8219e-05i,0.0001924+0.0001909i,3.9836e-05-0.0010674i,-0.00010979-0.0015225i,-0.00011984-0.0012013i,8.9986e-05-0.00067185i,2.5103e-05-0.00027676i,0.00014726-9.9573e-05i,-3.2523e-05+0.00056121i
7.774e-05-0.00061148i,-4.2559e-05-0.00021745i,0.00098519-0.00084163i,0.0010591-0.00020181i,0.0010603+0.00071251i,0.0017401+0.0002665i,0.00153-0.00098861i,0.00041136-0.0012843i,-0.0014765-0.00030262i,-0.0023172+0.00053742i,-0.0012287+0.00071838i,-0.00016412+0.0008894i,6.119e-05+0.00049362i,0.00038907-8.2006e-05i,-2.7006e-05+0.00057716i,-0.00061685+0.00031776i,-0.00048616-0.00040494i,-0.00042118-0.00029712i,-0.0001018+0.00023068i,4.4472e-05-0.00018594i,-0.0004261-0.00072887i,-0.00063903+0.00017123i,-0.00057017+0.00080812i
-0.00012004+0.00090491i,-6.3146e-05+0.00095757i,0.00099873+0.00096812i,0.0018674+0.0014671i,0.0026123+0.00091079i,0.0023532-0.00055438i,0.0016947-0.0016162i,0.00072319-0.00095132i,0.00020412+7.6846e-05i,-1.2933e-05+0.00022379i,-0.00051626+9.8646e-05i,-0.00027686+0.00046846i,0.00018703+0.00030511i,-2.9517e-05+0.00044429i,-0.00033079+3.9344e-05i,0.00025452-0.0010614i,0.00054917-0.0011365i,0.00013649-7.5142e-05i,-0.00054281+0.00018101i,-0.00026676+0.00019637i,0.00089+0.00097869i,0.00059121+0.00068059i,0.00027131-0.00028524i
0.0001857-0.00013097i,0.00010931+0.00062354i,-0.0012328+0.00108i,-0.0010207+0.0010149i,0.00096728+0.0012174i,0.003007-0.00033941i,0.0026897-0.0017994i,0.00061999-0.0011669i,-0.0015202-0.00013427i,-0.0023107+0.00011063i,-0.001653+0.00030056i,-0.00077629+0.00094442i,-0.00033663+0.00098535i,-0.0004883+4.3128e-05i,-9.0066e-05+0.00014193i,0.00011567+0.0001506i,-0.00015863+1.9404e-05i,2.7335e-05-0.00020441i,-7.2241e-06-0.00052732i,0.00015213-7.5114e-05i,9.6124e-05+0.00055176i,-0.00049526+0.0005053i,-0.0003843-5.7092e-05i
-0.0011074-0.00058761i,6.7871e-05+1.1356e-05i,0.0008504+0.0010119i,0.00079166+0.00084406i,0.0021963+0.0012115i,0.0027904+0.0011413i,0.0017375-0.00034766i,-7.933e-05-0.00099701i,-0.001572-0.00023831i,-0.0019209+0.00055917i,-0.0018904+0.0008532i,-0.00095004+2.5551e-05i,0.00014476-0.00029946i,-1.418e-05-6.4502e-05i,0.00020468-0.0003893i,0.00031082-0.00046256i,0.00054872-0.0008976i,0.00031163-0.0012554i,-0.00010248-0.0004723i,0.00012052-0.00067387i,0.00039836-0.0007004i,4.2271e-05+0.00027552i,-0.00073251+0.00013674i
0.00055301+0.00096323i,0.00097015+0.00077496i,0.0010042+0.00030272i,0.0011544-2.7131e-05i,0.0017288-0.0002524i,0.0017818-0.0010294i,0.00067446-0.0016975i,-0.00048536-0.0012051i,-0.00041186+0.00051079i,-0.00011348+0.0011565i,-0.00014376+0.00088791i,-2.3107e-06+0.00084493i,0.00023555+0.00075287i,0.00027378+0.00049793i,-0.00016561+0.00011038i,2.3575e-05+0.00035607i,1.32e-05-0.00022865i,-0.00028921-0.0012526i,-0.00013622-0.00080491i,-0.00041868+0.00046744i,-3.101e-05+0.00067725i,0.00067892+0.00071407i,0.00044613+0.00052639i
-0.0015851+0.0011785i,-0.0013262+0.001377i,-0.00030149+0.0020866i,0.00041102+0.0024615i,0.0013956+0.0024857i,0.0023636+0.00093852i,0.0017215-0.0014937i,-0.00019134-0.0021248i,-0.0016916-0.00034082i,-0.0010748+0.00061314i,-0.0001702+0.0004869i,-0.00058596+0.00059566i,-0.00074592-0.00053566i,-0.0003572-0.001178i,-0.00045138-0.00074793i,-0.00048005-0.0001621i,-0.00011665+0.00036174i,-0.00027636-0.00021675i,-0.00039437-0.00064711i,-0.00032105-0.00045984i,-0.0004411-0.0008548i,-6.8566e-05-0.00097416i,0.00072446+3.3814e-06i
-0.00042101-0.0014357i,-0.0011298-0.00066199i,-0.00018273+0.00017656i,0.00098372+0.00085023i,0.00099075+0.0014111i,0.0013998+0.001352i,0.0015698+0.00024146i,0.00071965-0.00053307i,-0.00014774-0.00016905i,-0.00022574+0.00048354i,-0.00031023+0.00062383i,6.0331e-05+0.00072691i,0.00043722+0.00076055i,0.00014725+0.00057551i,0.00074698+0.0004923i,0.0012254+0.00039233i,0.00056816+7.1712e-06i,0.00085372-0.00053969i,0.0009922-0.00090871i,0.0006163-0.0011458i,0.00090085-0.00066653i,0.00090905-0.00040952i,0.00063265-0.00043865i
-0.00011644-5.3222e-05i,-0.00066696+0.0003049i,-0.00059589+2.0794e-05i,-0.00070233+0.0011762i,-0.00021558+0.0021687i,0.0014093+0.0012359i,0.0017431-0.00023293i,0.00052487-0.00042634i,-0.00085753+1.9769e-05i,-0.0014627+0.0004065i,-0.00085146+0.00028546i,-0.00013182+0.00025309i,-0.00014498+0.00075861i,-0.00020976+0.00042756i,0.00045262-0.00029732i,0.00042722-0.00028227i,7.6823e-05+0.00017411i,-0.00012777+0.00037961i,-0.00070805+2.7075e-05i,-0.00077846+0.00061153i,-8.8375e-06+0.00044i,0.00069048+0.00041085i,0.00030076+0.00060938i
7.7431e-05+0.00065584i,0.00017596+0.0009559i,0.0002693+0.0014994i,0.00098058+0.0016043i,0.0021034+0.00082227i,0.0029231-6.5368e-05i,0.0026995-0.0010396i,0.0012985-0.0013719i,-0.00083328-0.00050471i,-0.0016812+0.00019988i,-0.0011353-9.7913e-05i,-0.00017384+5.8145e-05i,0.0007869+0.00042682i,0.00020659-5.1408e-05i,-0.00067716-0.00049602i,-0.00042791-0.00047136i,0.00019876-0.00043156i,0.00018055-0.00090453i,-0.00033238-0.00097616i,-0.00055495-0.00078189i,-0.00029308-0.00069417i,4.4974e-05-0.00068632i,-0.00044723-0.0009233i
0.00052473+0.00072149i,0.00056249+0.00085476i,0.00025978+0.0010821i,0.00074905+0.0001146i,0.0021042-3.4994e-05i,0.0030799-0.00075034i,0.0019773-0.0013947i,0.00033509-0.00078885i,-0.00080227+0.00059405i,-0.0015233+0.0014429i,-0.0012105+0.001199i,-0.00070308+0.00052585i,-0.00041559-0.0001622i,-3.995e-05-0.00016189i,0.00068529-0.00010418i,0.00019946-0.0001321i,-0.00073973-0.00030236i,-0.00019187-0.00029642i,0.00019292-0.00049067i,0.00046066-0.0010755i,0.00037913-0.00068971i,-0.00010183-0.00063576i,-7.777e-05-0.0004824i
0.00068321+0.00060348i,-0.00045166+0.0006738i,-0.00088112+0.00050431i,0.0002209-2.1174e-05i,0.0020346+0.00048789i,0.0028559+0.00079473i,0.0018973-0.00016898i,3.7257e-05-0.00095977i,-0.0012423+3.0732e-05i,-0.0010994+0.0013175i,0.00023605+0.00084631i,0.00083373+0.00027514i,0.00071697+0.00049932i,0.0005048+0.00072141i,-0.00015883+0.00068685i,9.4949e-05+0.00080018i,0.000197+0.00095907i,-0.00053355+0.00014252i,-0.00055866-0.0001167i,-0.0011399+0.00038575i,-0.00080908+0.00050315i,0.00013878-0.0002364i,-3.2399e-05+0.0001075i
-0.0011694-0.0012903i,-0.00097005-0.00062111i,-0.00070159+0.0013546i,0.00028219+0.0026934i,0.0015338+0.0026513i,0.0015717+0.0016756i,0.0012654+0.00010564i,0.00050722-0.00026548i,-0.00046128+0.00063557i,-0.00089406+0.0010238i,-0.00080118+0.00074333i,-0.00049383+0.0010606i,-2.8292e-05+0.0010109i,0.00032091+0.00033337i,0.00067734+0.00036612i,0.00018766-4.169e-05i,-0.00036364-0.00079037i,-0.00015547-0.00072209i,-0.00016921+5.7028e-05i,-0.00046849+0.00093813i,-0.00052217+0.00087764i,-0.00015273+0.00047126i,0.0001528+0.00036913i
-0.00012441+0.00082243i,-0.00034187-5.2664e-05i,-0.00015653-8.378e-05i,0.00060573-0.00028594i,0.0014742-0.00025925i,0.0021127+0.00010484i,0.0015467-0.000651i,0.00038505-0.00093193i,1.2717e-05-2.8879e-05i,-0.00024634+0.00046917i,-0.00067513+0.00051102i,-0.0006205-0.00020288i,-0.00050053-0.00079708i,-0.0013638-0.00055604i,-0.0011346-0.00044417i,7.6184e-05-0.00015662i,0.00026068+0.00018039i,0.00014745-0.00034752i,0.00033253-0.00055002i,0.00065063-8.1422e-06i,0.00037037+0.00044754i,-0.00042416+0.0011316i,-0.00087056+0.00088122i
0.00083347+0.00027594i,0.00087925+0.00052576i,0.0011087+0.00035105i,0.00087043+0.00084553i,0.00086967+0.0012067i,0.0020463+0.00084672i,0.001832-8.8853e-05i,0.00036241-0.00029857i,-0.0010777+0.0008171i,-0.0016644+0.0012642i,-0.0012643+0.00050037i,9.4429e-05+0.00021772i,0.00090647+0.0003672i,0.00064827-0.00051534i,0.00020122-0.00054463i,5.3232e-05-2.8529e-05i,-0.00062864+2.2815e-05i,-0.00067637-8.6152e-05i,-0.00059072-6.8015e-05i,-0.00063651+9.3413e-05i,-6.636e-05+0.00037764i,-0.00011617+0.00021683i,-5.7533e-05-1.4979e-05i
-0.00060146+0.001278i,-0.00024274+0.00096818i,-9.4531e-05+0.00084012i,0.00052026+0.00035628i,0.0013136-6.4317e-05i,0.0023331-0.00049104i,0.0020593-0.0011647i,-4.0635e-05-0.0014069i,-0.001503-0.00035461i,-0.0010792+0.00086904i,-0.00022515+0.0015014i,-0.00013298+0.0013969i,0.00019705-5.852e-05i,0.0005497-0.00036407i,0.00029161+0.00070765i,2.6916e-05+0.00078944i,0.00043886+0.00036778i,0.00058424-0.00012659i,0.00047364-0.00037549i,-0.00022555+1.1852e-05i,-0.00036664+0.00015856i,0.00055099+0.00099975i,0.00052177+0.0011732i
-0.00054182-0.00056208i,-0.0010653-6.7814e-05i,-0.0014115-0.00084217i,-0.0008138-0.00051081i,0.0010428+0.0014715i,0.002678+0.0015495i,0.0022347-0.00051599i,0.00046976-0.0018366i,-0.00074215-0.00071024i,-0.0016069+0.0010404i,-0.0017123+0.0010785i,-0.00070123+0.00054916i,-5.3247e-05-2.2384e-05i,-0.00018596-0.0003965i,-0.00034916-0.00016729i,0.00059512-9.2412e-05i,0.0010855-0.00023047i,0.00064651-5.0646e-05i,0.00090115+0.00015753i,0.00012819-0.00021998i,-0.0012815-0.00024116i,-0.00088124-7.6588e-05i,0.00040222-0.00030493i
0.0001144+0.00081701i,-0.00021542-6.2537e-05i,0.00032923-0.00039071i,0.00017905-0.00021415i,0.00039117+0.00020084i,0.0011258+0.00036479i,0.0011214-0.0001154i,0.00038678-0.00028196i,-0.00047415+1.1716e-05i,-0.00086434+0.00051423i,-0.00057341+0.00019158i,-0.00010854+7.9493e-05i,0.00034806+0.00067504i,-0.00020942+0.00038669i,-0.00045475+0.00045717i,0.00018011+0.00033838i,0.00049712-0.00012725i,8.497e-05-0.00011865i,-0.00079923-1.8236e-05i,-0.00085602-0.00021804i,-0.00046282-0.00042998i,-0.00083574-0.0001175i,-0.00084825-8.7911e-05i
0.00032245-0.00039291i,0.00013795+0.0005727i,0.0005224+2.5747e-05i,0.00057855-3.6555e-05i,0.0014062-7.6908e-05i,0.0024652-0.0012489i,0.0014153-0.001636i,6.5074e-05-0.0012898i,-0.00078292-0.00016929i,-0.00087022+0.0013863i,-0.00038269+0.0013765i,9.1933e-05+0.00043325i,0.00022945-0.00038048i,6.7262e-06-0.00074382i,-5.4388e-06-0.00047374i,0.00049547-0.00059736i,0.00076951-0.00064999i,0.00051549-0.00046658i,0.00026447-0.00039945i,-8.2591e-05-0.000398i,0.00026979-0.0007796i,0.00056353-0.00070696i,-0.00013835-0.00036333i
-8.6819e-06+0.00014941i,-0.00014349-0.00024286i,0.00059089+0.00051432i,0.00029358+0.0016637i,0.00093508+0.0020885i,0.0022113+0.0011736i,0.0015777-0.00055814i,-0.00021123-0.00077657i,-0.00093137-0.00045416i,-0.00055312+4.151e-05i,-0.00086187+0.00083545i,-0.00096204+0.0011707i,-0.00040126+0.0012811i,0.00012419+0.001072i,-9.2254e-05+0.00019652i,0.00029308+6.8444e-05i,0.00040284+0.00036522i,-0.00014002-0.00051365i,-0.0001237-0.0011696i,-0.00055683-0.001104i,-0.00082886-0.00028071i,5.2407e-06+0.00091209i,0.00049879+0.0014822i
