-0.0015292+0.00077732i,-0.00056682+2.4655e-05i,-0.0011538-0.00062578i,-0.0012654-0.00049309i,-0.0010752+0.00028204i,-0.00023609+0.00042994i,0.00046503+0.0016052i,0.00097719+0.0021046i,0.0019592+0.0014984i,0.0021807+0.00049183i,0.001555-0.00041359i,0.00046089-0.00020486i,0.00026773-0.00028296i,0.00010122-0.001281i,3.9959e-05-0.0012967i,-0.00017563-0.00053747i,-0.00022368+0.00014045i,-7.674e-05+0.00034672i,-0.00013414+0.00060566i,-0.00010181+0.0006932i,-0.00011066-0.00027871i,-0.00032787-0.00065374i,-5.7883e-05-0.00044717i
0.0001498-0.0012015i,0.0012948-0.0020501i,0.00093757-0.0030892i,-0.00035677-0.0024013i,-0.001404-0.0014634i,-0.0017795-0.0011703i,-0.00096838-0.00010462i,-0.0005634-0.00026508i,0.00012157-0.00047713i,0.0010961+0.00012798i,0.0006902+0.0007034i,0.00060957+0.00079286i,0.00071804+0.00050913i,0.00041445+0.00016492i,0.00060815+0.00018594i,0.00073267+0.00036014i,0.00050736-9.7657e-05i,6.4942e-05-0.00015938i,-6.3221e-05-0.00036641i,-0.00044275+8.6339e-05i,-0.000716+0.00081017i,-0.00045403+0.00045591i,-0.00033871-3.0872e-05i
0.00086779+0.0024848i,0.0016385+0.0020135i,0.0019212+0.0023236i,0.0024152+0.0011052i,0.0023786-0.00048007i,-0.00045174-0.00081382i,-0.0010087+0.00036836i,-0.00055303+0.00070896i,-0.0011226-0.00023524i,-0.00068448-0.0003115i,0.0001849+0.00026751i,0.00044357+0.00066658i,0.00016428+0.00092388i,0.00018216+0.00059261i,-4.3767e-05+0.00072139i,-0.00066734+0.00089494i,4.1381e-05+0.00045022i,0.00030503+0.00024614i,-0.00048776+0.0003079i,-0.00068399-0.00035498i,-0.0010324-0.00070334i,-0.0010288-0.00063621i,-0.00065686-0.0010638i
0.00044015-0.0021009i,-0.00096466-0.0015325i,-0.0012761-0.0015356i,5.9913e-05-0.00097957i,0.00066152-0.0001337i,-0.00021591+0.00032318i,-2.3201e-05+0.0011485i,0.0002839+0.0010034i,0.0005969+0.00098763i,0.00092005+0.00095577i,0.00038234+0.00018967i,-9.1291e-05+3.7023e-05i,0.0003839+0.00051661i,0.00081011+0.00097019i,0.00089769+0.00087319i,0.0004794+0.00062973i,0.00050705+0.00032434i,0.0011471+4.7707e-05i,0.0012718-0.000193i,0.00073581-0.00023001i,-0.00018957-0.00055309i,-0.0013009-0.0013475i,-0.0011739-0.00097405i
0.00068714+0.0010552i,0.00073253+0.00068476i,0.00043704+0.00031923i,0.00030141+0.00011127i,0.00069819+0.00019779i,-0.00024067+0.0002654i,-0.0012168+8.5102e-05i,9.7965e-05+0.00012426i,0.0012232+0.00076618i,0.0013477+0.0010015i,0.00071978+0.00061051i,0.00056925+0.00043026i,0.00058061-0.00026232i,-0.00028423-0.00012134i,-0.00028599+0.00044613i,0.00019286+0.00063205i,0.00067073+0.00062235i,0.0009123+9.0618e-05i,0.00029707-0.00043219i,-0.00033109-0.00028748i,-0.00013158+0.00011287i,2.5996e-05+1.3321e-06i,0.00024175+0.00017399i
0.00045386+0.0012609i,0.00080967+0.00083746i,0.0010144-0.00015791i,0.00028317-0.0018841i,-0.0012566-0.0019531i,-0.001656-0.000701i,-0.00060221+0.00051494i,7.5131e-05+0.00014169i,-0.0003867-0.00017325i,-0.00023454+6.7164e-05i,0.00052055-0.00042009i,0.00042595-0.00073701i,-0.00021944-0.00036534i,-0.00021876+0.00018974i,-0.00027242+0.00041105i,-0.00064441+0.00031528i,-0.00022752+0.00031365i,-4.3865e-05-0.00033126i,4.7778e-05-0.00033421i,-0.00020922+0.0004276i,-0.001243+0.00013592i,-0.0009758+1.6733e-05i,-0.00039222+2.4476e-05i
-9.5487e-05-0.00047403i,-0.0011889-0.0005082i,-0.0017728-0.00060741i,-0.00095492-0.00084216i,0.00072541+0.00025216i,0.00078693+0.0010896i,0.00015807+0.001397i,0.00056732+0.0023693i,0.0010311+0.0021584i,0.0010616+0.00087402i,0.00033934-0.00024735i,-0.00066456-0.00077286i,-0.00037216-0.000211i,9.2241e-05+0.00086292i,-0.00039305+0.001341i,-0.00032747+0.0010185i,-0.00010599+0.00024756i,-0.0002048-0.0002955i,-0.00076416-0.00014836i,-0.001073+0.00057178i,-7.643e-05+0.00049449i,0.00062017-0.00048449i,0.0003869-0.00069682i
-0.00028358-0.0021024i,0.00046043-0.001968i,0.00084011-0.0018333i,7.243e-05-0.002476i,-0.00077693-0.0022012i,-0.00079517-0.00092583i,-0.00041566+0.00043597i,0.00018979+0.00040768i,-0.00032014+0.00028427i,-0.0005506+0.00034172i,0.00037469+0.00016256i,0.0004661+0.00014221i,6.4813e-05-5.6517e-05i,-0.00037711+0.00036352i,0.00011263+0.00042502i,0.0010534-0.00026485i,0.00075075-0.00054007i,5.4302e-05+6.7796e-05i,-0.00053144+0.00063036i,-0.00033436+5.9405e-05i,-0.00041813-0.00049877i,-0.0010486-0.00052785i,-0.0010233+7.1587e-05i
0.0011031+0.00026764i,0.0010176+0.00077565i,0.000844+0.00031461i,-0.00017692-0.00099453i,-0.0009598-0.0019768i,-0.0015134-0.00033931i,-0.0011801+0.0011967i,1.1178e-05+0.0012552i,0.00066879+0.0010928i,0.00078273+0.00040251i,-5.3691e-05+3.0921e-05i,-0.00076504+0.00017855i,0.00026411+9.4974e-05i,0.00064334-2.4667e-05i,0.00080656+5.7608e-05i,0.0013543+0.00032618i,0.00096585+0.00059816i,0.00049491+0.00018555i,0.0005553-0.00049991i,0.0008131-0.00066635i,0.00038556-4.9794e-05i,-0.00018189+0.00070318i,4.1826e-05+0.00070232i
0.002112-0.00077164i,0.0017843-0.0018521i,0.0023429-0.0027243i,0.0027374-0.0025309i,0.0015339-0.0020653i,-0.000235-0.0011187i,-0.00025103+0.00019083i,0.00038111+0.0010248i,0.00048566+0.0010333i,0.00070016+0.00077642i,0.0011561+0.0010986i,0.000883+0.0010053i,-0.00018959+0.00029748i,-0.00023484+0.0002594i,-7.8779e-05+0.00013946i,-0.0001014-0.00017851i,0.00036039-0.00028302i,0.00034417-0.00012895i,-0.00071875-0.00028945i,-0.0011381-0.00072688i,-0.00075383+0.00028193i,-0.00038562+0.00081249i,-0.00022759+0.00018823i
-0.0014816-0.00035044i,-0.0013529-0.00033334i,-0.0015251+0.00033389i,-0.0010918+0.00066423i,-0.00085364+0.00058193i,-0.00082486+0.00017816i,-5.2918e-05-0.00031356i,2.6038e-05-0.00029156i,-0.00013725+0.00049144i,0.00031712+6.0658e-05i,0.00037604-0.00040176i,-6.3707e-06-0.00018644i,-0.00051459-0.00016438i,-0.00086624-0.00041465i,-0.00046811-0.00020273i,-0.00019539+0.00011279i,-0.00012785-0.00032075i,-8.7607e-05-0.00070346i,0.00034689-0.00084221i,0.00047614-0.00050754i,0.00042561+0.00021898i,0.00031232+0.00032995i,-1.6136e-05-5.4693e-05i
