-0.0036869+0.00072671i,-0.0019063+0.0010737i,-0.0014619+0.0018827i,-0.00059866+0.003683i,-0.00028806+0.0048501i,0.00050949+0.0035505i,0.0012705+0.0025949i,0.00058597+0.002371i,-1.9095e-05+0.0013385i,-0.00063038+0.00069996i,-0.00043186+0.00022264i,0.00058772-0.00084741i,0.00097962-0.0014595i,0.00041542-0.001424i,9.259e-05-0.0014384i,0.00012061-0.0010671i,-0.00060188-0.0011289i,-0.0011513-0.00092285i,-0.00041181-0.00061276i,-6.3298e-06-0.00038267i,-0.00021954+3.5624e-05i,-0.00050208+7.541e-05i,-0.00042988+0.00080017i
0.00080368-0.00045374i,0.0014612-0.00050616i,0.0013251-0.00032272i,-0.00041344-0.00035167i,-0.0019675-0.00031859i,-0.0020375+0.00010413i,-0.00054133+8.0145e-05i,0.00035856-0.00033769i,-8.8803e-05-0.00020007i,1.5748e-05+0.00029501i,0.00040304+0.00038847i,0.00014511-2.8094e-05i,0.00036693-5.5059e-05i,0.00083643+0.00030374i,0.00046629+0.00035418i,0.00020712+0.00046241i,-6.5504e-06+0.00049022i,-0.00030235+0.00023906i,-0.00014298-0.00010614i,6.198e-05+0.00029652i,0.00085019+0.00039548i,0.0012333-0.00073443i,0.00074226-0.00078732i
-0.0022756+0.00070865i,-0.0023978+0.0011736i,-0.0015702+0.0037611i,0.00052866+0.0048i,0.0023239+0.0036974i,0.0027775+0.0020901i,0.001885+0.00085091i,0.00055868-0.00019672i,-0.00044726+7.1469e-05i,-0.00077165+0.00035236i,-0.00029018-0.00016024i,0.00019919-0.00029495i,0.00029981-0.00038293i,0.00013266-0.00062957i,0.00019403-0.00033375i,0.00036158-0.00023774i,0.00025007-0.00055512i,0.00064158+9.9363e-05i,0.0013117+0.00088102i,0.00082346+0.00018639i,7.6114e-05-0.00013567i,8.3266e-05+0.00031689i,5.4752e-05+2.9809e-05i
0.00096566-0.00055564i,0.00057132-0.0014379i,0.00019523-0.0022431i,-0.00012584-0.0020866i,-0.0010441-0.00049424i,-0.001698+0.00072586i,-0.002229+0.00030332i,-0.0023564-0.00016412i,-0.0018539-0.00065811i,-0.0020727-0.0006851i,-0.0020427-0.00023897i,-0.00095579-0.00079187i,-0.00026168-0.00099947i,-0.0002102-0.00060445i,-0.00045917-5.2854e-05i,-0.00071695+0.00017186i,-0.00068048+0.00043316i,-0.00078658+0.00078207i,-0.00072394+0.00013196i,8.5237e-05-0.00065865i,0.00030287-0.00040966i,-0.0002156-0.00035325i,3.4055e-05-0.00060133i
-0.00073503-0.0011728i,-0.00072815-0.00099416i,-0.0013175-0.00018247i,-0.0015762+0.0010478i,-0.001096+0.0018836i,-0.00093824+0.002482i,-0.0015415+0.0025274i,-0.0031807+0.0020242i,-0.0031745+0.0007509i,-0.0025942+0.00093748i,-0.002059+0.0013977i,-0.0011204+0.00069332i,-0.0011885+7.8258e-05i,-0.00091868-0.00012788i,-0.00042756-0.00060825i,-0.00011254-0.00072314i,0.00021648-0.00067681i,0.00032587-0.00078275i,-8.1417e-06-0.00029723i,-0.00042652+0.00012239i,-0.0010519+0.00058652i,-0.0011921+0.001069i,-0.00086368+0.0003667i
0.0010023+7.7956e-05i,0.0010102-0.0004197i,0.0013322-0.00092771i,0.0007407-0.0010747i,-0.0002926-0.00038151i,-0.0012284+0.00080947i,-0.0015682+0.0016185i,-0.0014975+0.0020194i,-0.0011642+0.0013954i,-0.00070293+0.0007072i,-0.00033687+0.00059289i,-0.00052897+0.0010475i,-0.0006311+0.00053851i,-0.00056577-0.00030572i,-0.00030304-8.9982e-05i,-0.00014649-2.6561e-05i,-0.00026805+0.00026148i,-0.00075258+4.5071e-05i,-0.00159-0.00040871i,-0.0013397-0.00068307i,-0.0012875-0.00042874i,-0.001428+0.00036496i,-0.00076562+0.0011061i
0.00095793+2.9679e-05i,-0.00025659-0.00088434i,-0.00084354-0.0013125i,-0.00067162-0.00040936i,-0.00045214+0.00024453i,-0.00070831-0.00011015i,-0.00011116+0.00051298i,0.0011123+0.00099077i,0.00046949+0.00037584i,2.4885e-05-0.00057294i,0.00032088-0.00035638i,0.00071436+1.217e-05i,0.00065405+4.1954e-05i,-0.00025186+7.2837e-05i,-0.00037747-1.9008e-05i,7.0979e-05+0.00040306i,-0.00022911+0.00050391i,-0.00053913+0.00045984i,-0.0003051+0.0016456i,0.0001251+0.0017073i,-0.00011468+0.00014813i,-0.00076937-0.00082306i,-0.00029297-0.00093658i
0.00048897+0.0014633i,0.00024804+0.00097087i,0.00041762+3.3796e-05i,0.00034695-2.7502e-05i,0.00031881+0.00067155i,0.00082027+0.00090376i,0.0011624+0.0004983i,0.0011527-0.00031515i,0.00080211-0.00066524i,0.00031257-0.00074033i,0.00070605-0.00091433i,0.00091692-0.00042077i,0.00022913-0.0005685i,0.00064614-0.00054503i,0.0012087+0.00042311i,0.001209+0.00019699i,0.00066931-0.00024579i,-0.00016608-6.5328e-06i,0.00018664-6.1123e-05i,0.00068974-0.00038575i,0.0002199-0.00012313i,-6.5812e-05+0.00020931i,-3.2075e-05+5.0639e-06i
-0.00021718+0.00052641i,-0.00013265+0.00038052i,-0.00021229+0.00073521i,-0.00013122+0.0016472i,-0.00092287+0.0013862i,-0.001692+0.0008665i,-0.0016801+0.00032062i,-0.0012529-0.00083193i,-0.0010963-0.0016454i,-0.0010222-0.0010859i,-0.00087099-0.00055522i,-0.00060978-0.00040932i,-0.00069139-0.00039898i,-0.00088823-0.0013614i,-0.00079828-0.001301i,-0.00089196-0.0005962i,-0.00030975+0.00031503i,0.00028428+0.0011453i,0.00036474+0.00098355i,0.00041296+2.3161e-06i,0.00051405-0.00059755i,-0.0001027-0.001033i,-0.00035845-0.00092329i
-0.00015754-0.0012535i,1.8002e-05+0.00035111i,0.0003011+0.00011671i,-0.00021805-0.00040832i,-0.0010901+0.00015197i,-0.0019424+0.00060853i,-0.0030657+0.00063429i,-0.0033828+3.11e-05i,-0.0032341-0.00085434i,-0.0031681-0.00040913i,-0.001949+0.00023381i,-0.00066168+0.00024392i,-5.6692e-05-0.00020076i,4.6665e-05-0.00024027i,-0.00052631+0.00014839i,-0.00043065+0.00010835i,0.00028651+0.00025025i,0.00054796+0.0005258i,3.8299e-05+0.00033845i,-0.00024899-1.388e-05i,1.4383e-05-0.00049316i,-0.00026913-0.00094642i,-0.0010988-0.00098234i
0.0014972-0.0021803i,0.00073642-0.0021855i,-0.00060565-0.0019799i,-0.001378-0.0012174i,-0.00076233-0.0015007i,-0.00106-0.0003457i,-0.0021873+0.0021247i,-0.0029224+0.0025669i,-0.0033377+0.0019033i,-0.0022896+0.0015885i,-0.00026027+0.00061401i,0.00017363-8.7636e-05i,2.5644e-05+0.00098972i,0.00030638+0.0013804i,0.00039426+0.0011687i,0.00010869+0.00084405i,0.00018269-2.5302e-05i,0.00014908-0.00028386i,-9.034e-05+5.3607e-05i,-0.0005533+0.00010359i,-0.001017-0.00047806i,-0.0011438-0.00053752i,-0.00065799-0.0001956i
-0.0017179-0.00033274i,-0.0015719-0.0004718i,-0.0019417-1.2664e-05i,-0.0021247+0.0013208i,-0.0009072+0.0019971i,0.0011467+0.0025724i,0.00089264+0.0028382i,-0.00033145+0.0025251i,-0.00086102+0.0020073i,-0.0016992+0.0016471i,-0.0014389+0.00073825i,1.1071e-05+0.00026569i,0.0007392+0.0003211i,0.00058692-0.00014934i,0.00013935-0.00058845i,6.3514e-05-0.0003171i,0.00018653+0.00049704i,0.00024882+0.00040886i,0.00065906-0.00015486i,0.00061402-0.00012348i,4.3415e-05+0.00028355i,5.5564e-05+5.3676e-05i,-2.9275e-06-0.0001515i
-0.00027192-0.001776i,-0.0020817-0.0016742i,-0.0037416-0.0016184i,-0.0031472-0.0010421i,-0.0014824+0.00098611i,-0.00019349+0.0022477i,0.0012905+0.00038959i,0.00232-0.0012398i,0.0016129-0.0014403i,0.0003414-0.0005318i,-7.5802e-06+0.00030454i,0.00039619+0.00082563i,0.00019328+0.00085596i,0.00048877-0.00019425i,0.0010813-0.00016791i,0.0011113+2.0114e-05i,0.00022953-0.0001916i,-0.00022984-0.00020234i,0.00058486+0.00095457i,0.00085392+0.0015361i,0.00064344+0.0016037i,0.00054958+0.0014218i,1.4966e-05+0.00098175i
0.00012477+0.0012554i,0.0019656+0.0010492i,0.0023216+0.0013069i,0.00047727+0.0018485i,-0.0019686+0.0013675i,-0.0024805+0.0010039i,-0.0024437-5.3661e-05i,-0.001109-0.0022112i,-0.00029589-0.0030061i,-0.00026121-0.0022795i,0.00032783-0.00078864i,-0.00011961+0.00015322i,-0.00047147-0.00031412i,-0.0007498-0.00023253i,-0.00047121-0.00012338i,1.6332e-05-0.00053834i,0.00030904-0.00069662i,0.00052138-0.00065505i,0.00017341-0.00076869i,0.00077289-0.00023354i,0.0012259+0.00023053i,0.00045439-0.00028323i,-0.00036848-0.00072388i
0.00052887+0.00051071i,0.00025185-0.000457i,-0.00027041-7.7392e-05i,-0.0013196+0.00071194i,-0.0016593+0.00087671i,-0.0020288+0.00093852i,-0.0032949+0.00055001i,-0.0036855-0.00081915i,-0.0036019-0.0016076i,-0.0034152-0.0013991i,-0.0023981-0.0014358i,-0.00077751-0.00081169i,-0.0003371-5.5762e-05i,-0.00070139+0.00011005i,-0.00067747+6.3739e-05i,-0.0006154+0.00075042i,-0.00054123+0.0014043i,0.00025181+0.0010089i,0.00082983+0.0010663i,0.0009764+0.00085662i,7.0381e-05-9.0833e-05i,-0.00038796-0.0006675i,-0.00021008-0.00052572i
-0.00052285-0.00088135i,-0.0011167-0.00050048i,-0.0010429-0.00064552i,-1.8171e-05-0.00011636i,0.0011119+0.0010718i,0.0012473+0.0020846i,-0.00043287+0.0022987i,-0.0026928+0.0020099i,-0.0040037+0.0019909i,-0.0040156+0.0017752i,-0.0033154+0.00064981i,-0.0018145+7.4157e-05i,-0.00039598+0.00056381i,-0.000371+0.00077454i,-8.7471e-05+0.00055812i,0.00056799+0.00014389i,0.00075389-9.9673e-05i,0.00072468+0.00066268i,0.00022619+0.0013073i,-0.00061629+0.00053103i,-0.00086828+0.00029075i,-0.0007427+8.6208e-05i,-0.0011538+0.00052071i
-0.0010735+0.0012105i,-0.00060924+0.001173i,-0.00068082+0.0014795i,-0.00054492+0.0016861i,-0.00044101+0.0012928i,-0.00056046+0.0014317i,-0.0010225+0.0024621i,-0.00098154+0.0035955i,-0.0012801+0.0046649i,-0.0017393+0.0035602i,-0.0012074+0.0019386i,-0.00039636+0.001709i,0.00033935+0.0015411i,0.00081103+0.00049109i,0.00021706-0.00067852i,-0.00069236-0.0014212i,-0.00035891-0.0012069i,0.00016931-0.00064192i,0.00026074-4.1707e-05i,-0.00035641+0.00020649i,-0.00023646-0.00023457i,0.00051956-0.00013145i,0.00025593+0.00011483i
0.0018434-0.00088078i,0.00087649-0.00098043i,0.00037246-0.0012534i,0.00058107-0.0011911i,0.00010786-0.0014499i,-0.00016318-0.0011043i,0.00094408+0.0001025i,0.0025064+0.00036184i,0.0025683+0.00043479i,0.001495+0.00079223i,0.0014001+0.00089812i,0.0010212+0.00049266i,0.00063943+8.0782e-05i,0.0011072+0.00010948i,0.0011194-0.000583i,0.00067651-1.1932e-05i,8.0995e-05+0.0014796i,-0.00031396+0.00095112i,-0.00041753+0.00030223i,-0.00041089+0.00042046i,-0.00057899+0.00059468i,-0.00095411+0.00094553i,-0.00087267+0.00010055i
-0.0017253-0.00042749i,-0.0027794+0.00039345i,-0.0040266+0.0014413i,-0.0031633+0.0028902i,-0.0025199+0.0036259i,-0.0012621+0.0023044i,0.00021762-0.0010453i,-0.0003874-0.0029857i,-0.00080367-0.0029997i,-0.00013394-0.0020503i,0.00048142-0.0015507i,0.0011896-0.0013902i,0.001707-0.0014052i,0.0014625-0.0011724i,0.00052209-0.00076715i,-0.00066229-7.2541e-05i,-0.00074195+0.00012417i,-4.5643e-05-0.00084682i,0.00035826-2.3068e-05i,0.00013129+0.00094046i,-0.00076595+0.00056681i,-0.00075329+0.0001129i,-0.00027609-0.00030921i
-0.00090869+0.0031484i,0.0012252+0.0012067i,0.003762+0.0014204i,0.0037702+0.0021866i,0.0025872+0.0022257i,0.00069682+0.00060962i,-0.0012929-0.00095747i,-0.0028031-0.0021231i,-0.0032515-0.0031182i,-0.0022232-0.0027205i,-0.0016581-0.0021267i,-0.0017781-0.0018386i,-0.0017041-0.00085954i,-0.0011186-0.00024403i,-0.00077214-0.00053931i,-0.00061769-0.00042566i,-0.00031548+0.00064187i,-0.00053733+0.0012678i,0.00049881+0.0010579i,0.0011171+0.00020611i,0.00035482-0.00059107i,-0.00023849-0.00080611i,-0.00050997-0.00050129i
0.00060881+0.0011763i,0.0018351+0.00054708i,0.0013695-0.00082609i,0.00025322-0.001838i,-0.00047704-0.0016974i,0.00024505-0.00048917i,-0.00095754+0.00061402i,-0.0044471+0.00049491i,-0.0057811-3.5389e-05i,-0.0046554-0.00032339i,-0.0034697-0.00046556i,-0.0018945+0.00017496i,-0.0010585+0.00079493i,-0.00071509+0.00033148i,-0.00022858+0.00027389i,-0.00052186+0.00034893i,8.9131e-05+0.00080613i,0.00063338+0.001381i,5.7849e-05+0.00091264i,-0.00042917-8.1742e-05i,-0.00017001-0.00075246i,-9.6368e-05-0.00092621i,-0.00065012-0.00091072i
0.0009233-0.0019904i,-0.00042679-0.0011961i,-0.0019902-0.0009582i,-0.0017983-0.00087407i,-0.0015039+0.0002196i,-0.0013895+0.0012064i,-0.0014077+0.0023497i,-0.0025047+0.0037448i,-0.0030542+0.0038419i,-0.0025462+0.0033338i,-0.0020026+0.0029915i,-0.0017555+0.0026635i,-0.0011492+0.0014689i,-0.00061213+0.00062428i,-0.0004021+0.00068851i,-0.00050245+0.00027398i,-0.00015685-2.9652e-05i,0.0009064+0.00017798i,0.00072099+0.00019607i,-6.2855e-05+5.7214e-06i,-0.00033872+0.00031679i,-0.00074091+0.0010493i,-0.00075813+0.0009796i
-0.0028044+0.00086711i,-0.0028015+0.0022175i,-0.0018912+0.0035432i,-0.00087121+0.0041247i,0.0003189+0.0037949i,0.0017152+0.0030536i,0.0024248+0.0032283i,0.0023182+0.0035633i,0.0021919+0.0022655i,0.0019968+0.0017543i,0.0014395+0.0019948i,0.0014659+0.0011219i,0.0013808+0.00024422i,0.00046091+0.00015399i,-0.00029949+0.00032096i,-0.00093647+0.00048738i,-0.00094034+0.00053701i,-0.00012453+0.00033581i,1.9969e-05+0.00088371i,-0.00012987+0.0012275i,4.5675e-05+0.00054721i,0.00010507-6.1964e-05i,0.00081205-0.00016071i
-0.00015267-0.0013757i,-0.0012163-0.0014207i,-0.0024269-0.001273i,-0.0019819+0.00093492i,-0.0013497+0.0035453i,-0.001613+0.0028843i,-0.00073011+0.0016555i,0.001818-0.00055571i,0.0032583-0.0022685i,0.0024782-0.0016407i,0.0012274-0.00051897i,0.0014423-0.00014546i,0.0020471-0.00043217i,0.0014876-0.0001605i,0.00093385+0.00085349i,0.00069967+0.0004577i,-0.00020785-0.0003937i,-0.00075064-2.2242e-05i,-0.00027705+0.00086404i,0.00085518+0.00068775i,0.0010735-0.00026787i,-0.00031527-0.00051206i,-0.0011978-0.00033544i
-0.0022491-0.00023649i,-0.0016047-5.6292e-06i,-0.00013486+0.0010504i,0.0012454+0.0013066i,0.0021217+0.0010913i,0.0021232-0.00056404i,0.00082967-0.0030743i,-0.0012923-0.0045791i,-0.0023275-0.0050447i,-0.0015515-0.0048483i,-0.0003714-0.0037647i,8.2935e-06-0.0027659i,-0.0003984-0.0023199i,-0.00049569-0.0018793i,7.5447e-05-0.0010113i,0.00042485-0.00064781i,0.00037199-0.0011557i,0.00018213-0.00074909i,0.00039021+0.00063891i,0.00010611+0.0010413i,-0.00022748+0.0002337i,-0.00019276-0.00047512i,-0.00075334-0.00013804i
-0.0027459+0.0001978i,-0.0021303+4.6079e-05i,-0.0013398+0.0005141i,0.00061773+0.0012586i,0.0012538+0.0017381i,0.00013642+0.000527i,-0.0027595-0.00092589i,-0.0056519-0.0023015i,-0.0070249-0.0037224i,-0.0063635-0.0030648i,-0.0045665-0.0013544i,-0.0024937-0.00069153i,-0.00067473-0.00071744i,-0.00044992-0.00094679i,-0.00084728-0.0010154i,-0.00087812-0.0011767i,7.7682e-05-0.00082425i,0.00031259-0.00025687i,-4.249e-05-2.1753e-05i,0.00013066-7.2988e-05i,-0.00019887-0.00092236i,-0.0008672-0.0013043i,-0.00083331-0.00096181i
0.0013109-0.00056988i,0.00081547-0.00044831i,-0.0001748-0.0011012i,-0.0018918-0.0011769i,-0.0037333-0.00092257i,-0.0048539+0.00058628i,-0.005034+0.0033335i,-0.0049633+0.0049972i,-0.0047614+0.0044206i,-0.0040223+0.0028194i,-0.0032133+0.0021362i,-0.0020015+0.0022156i,7.0953e-06+0.0023492i,0.00066229+0.0011773i,0.00020983+0.00032044i,-0.00026267+0.00044918i,-0.00029037-0.00010873i,0.00082672+5.5325e-05i,0.0012915+0.0010521i,0.00061662+0.00071351i,0.00018973+0.00053142i,-0.00036593+0.00043808i,-0.0012327+0.00021101i
-0.00035341+0.0018631i,0.0004025+0.0012182i,0.001287+0.00088608i,0.0010691+0.0012587i,0.00081922+0.001438i,0.00033234+0.0017085i,-1.7336e-05+0.0032588i,0.00050606+0.0047141i,0.00098408+0.0051i,0.0015027+0.0045422i,0.0012198+0.0032895i,0.00033927+0.0022326i,0.00025971+0.0012783i,-0.00016014+0.00089125i,-0.0012964+0.0013505i,-0.0020016+0.002221i,-0.0019676+0.0019641i,-0.00076991+0.00068073i,0.00056185+0.00041572i,0.0009972-1.8694e-05i,0.0011207-0.00042536i,0.00039103-0.00032942i,-0.00071516-0.00085179i
-0.0017472-0.0018412i,-0.0016841-0.00088494i,-0.0027064+0.00058991i,-0.0021976+0.0034453i,-0.00094602+0.006225i,0.00060008+0.0054715i,0.002527+0.0028242i,0.0035595+0.00071828i,0.0032767-1.8566e-05i,0.0022532-4.3226e-05i,0.0024422+0.00039853i,0.0023386+0.00048243i,0.0011218-0.00037302i,0.00074256-0.0010793i,0.00056788-0.0010816i,0.0010852-9.1969e-06i,0.0016383+0.0010806i,0.0016202+0.00089339i,0.0014147+0.0004849i,0.00056841+0.00039319i,0.00059248+0.00045504i,0.00074596+0.00013851i,0.00042553-0.00050409i
0.001184-0.0012745i,0.00040434-0.0015632i,-0.00076248-0.0022625i,-0.00093601-0.0027455i,0.00058243-0.0024632i,0.0013808-0.002162i,0.00096538-0.0040048i,0.00039552-0.0067069i,-8.5273e-05-0.0068332i,-0.00058715-0.0052709i,-0.00018849-0.0035961i,0.0011204-0.0019133i,0.0015564-0.00013217i,0.00058467+4.8033e-05i,-0.00040907-0.0007882i,0.00026256-0.00077225i,0.0014706+0.00016705i,0.0012262+0.00063852i,0.00067219+0.00034979i,0.0006341+0.00011861i,0.0001801-0.00097654i,0.00036105-0.0017743i,0.00069063-0.0016191i
0.0001881-0.00059253i,-0.00075294-0.00065957i,-0.001298-0.0011055i,-0.0014279-0.0018272i,-0.0015837-0.0021668i,-0.0031581-0.0017311i,-0.004776-0.0015794i,-0.0054732-0.0016919i,-0.0061313-0.0019675i,-0.0058788-0.0025507i,-0.0046672-0.0026723i,-0.0025603-0.0018342i,-0.0012169-0.0007264i,-0.0015796-0.00055372i,-0.0015063-0.0014573i,-0.0010161-0.0021763i,-0.0010846-0.0017089i,-0.0003811-0.00101i,0.0010943-0.0003015i,0.001274-0.00023757i,0.00066599-0.0007141i,0.00030662+5.971e-05i,-0.0008631+0.00033307i
-0.0020196+0.0011202i,-0.0013455+0.0011171i,5.2028e-05+0.00062493i,-0.0002322+0.0005337i,-0.00069422+0.0003447i,-0.0015273+0.0001684i,-0.0032157+0.0020589i,-0.0051742+0.0039435i,-0.0062142+0.0037061i,-0.0055394+0.0029234i,-0.0038104+0.0017451i,-0.002171+0.00077694i,-0.0011886+0.00091776i,-0.00071872+0.00088782i,-0.00074896+0.00062473i,-0.00075596+0.0013364i,-0.0010148+0.00085235i,-0.00051492+0.0009766i,0.00019024+0.0015497i,0.00040071+0.00067705i,0.00037815-0.00014725i,0.00021165-0.00069194i,-0.00079799-0.00043526i
-0.0012106-0.0013528i,-0.00040179-0.00089434i,-0.00085858+0.00032893i,-0.0018859+0.0020224i,-0.0019961+0.0036175i,-0.0016788+0.0042708i,-0.0015242+0.004442i,-0.0013595+0.004802i,-0.00066755+0.0057855i,-0.0003636+0.0048467i,-0.00037114+0.003378i,-0.00023974+0.0025431i,0.00011454+0.00097253i,5.1893e-05+1.9251e-05i,-0.00034093-4.6182e-05i,-0.0010599+0.00069034i,-0.0012491+0.0017608i,-0.00081255+0.0016588i,2.075e-05+0.00064715i,0.00051845+0.00049381i,0.00010634+0.0010713i,-0.00027361+0.0010326i,0.00010282+0.00034737i
-0.00026602-0.0012109i,-0.00010616-0.001155i,-0.00050461-0.00091377i,-0.0017015+0.0014696i,-0.0018146+0.0036958i,-0.00041001+0.0049066i,0.0019458+0.0046487i,0.004219+0.0034942i,0.0047135+0.0020381i,0.0038707+0.00048909i,0.0027292+0.0017529i,0.0014611+0.0018017i,0.00084307-0.00033345i,0.0009938-0.00081037i,0.0020693-0.00018665i,0.002146+0.00066613i,0.0021548+0.0010365i,0.0019329+0.00090183i,0.0010615+0.00020556i,0.00055879-0.00064924i,8.5289e-05-0.00049569i,9.4598e-05+0.00052511i,0.00050093+0.0010461i
0.00038162+8.4215e-05i,0.00022474-0.00051362i,0.00024045+0.00024614i,0.00089122+0.00034234i,0.0023222+0.00045864i,0.0023009+0.00083065i,0.00090276-0.00083055i,0.00027712-0.0037928i,0.00017419-0.0053175i,-0.00041475-0.0053527i,0.00028567-0.0042238i,0.001468-0.0025242i,0.0012602-0.0010617i,0.00059659-0.0008852i,-8.6658e-05-0.0014685i,4.3602e-05-0.0019187i,0.00053163-0.001575i,0.00068055-0.0010738i,0.00072214-0.00045984i,0.00040725-0.00048174i,0.00057296-0.0006451i,0.0010871-0.00029936i,0.00068992-0.00020493i
-0.0015078+0.0024525i,-0.00013501+0.0026335i,0.00026712+0.0024609i,0.00031565+0.0011575i,0.0010738-0.00023339i,0.00032165-0.0018244i,-0.0013483-0.0029011i,-0.0038423-0.0038273i,-0.0055528-0.0042504i,-0.0049148-0.0038694i,-0.0029399-0.0032976i,-0.0011398-0.0028046i,-0.00071491-0.0019614i,-0.00076828-0.00098675i,-0.00092412-0.00078621i,-0.0009833-0.0016435i,-0.00045077-0.0017639i,-0.00016855-0.00077002i,-0.00052777+0.00052743i,-0.0011382+0.00072651i,-0.0017105-0.00024609i,-0.0013291+7.6969e-05i,-9.9897e-05+0.00081847i
-0.00026952+0.0017799i,-6.8827e-05+0.0007399i,0.00021257+0.0014672i,-0.00042715+0.001712i,-0.0013454+0.0014116i,-0.0022119+1.0478e-05i,-0.003354-0.00027602i,-0.0061061+0.0011582i,-0.0077+0.0021918i,-0.0053911+0.0027469i,-0.002476+0.0016999i,-0.0014674+0.00077734i,-0.0016175+0.0012126i,-0.0019551+0.0017403i,-0.0022108+0.0016262i,-0.0021073+0.00096748i,-0.0010809+0.00015175i,-0.00046085+6.7529e-06i,-0.00011354+0.00052906i,-0.00015607+0.0010187i,-0.00049464+0.0004157i,-0.00047247+0.00020167i,-0.00052121+0.00014967i
-0.00086322-0.00069638i,-0.00080846-2.2614e-05i,-0.0011833+0.00077476i,-0.0017373+0.0011038i,-0.0025897+0.00086844i,-0.0034245+0.0011917i,-0.0038433+0.0022664i,-0.0029685+0.0043436i,-0.0017759+0.0056165i,-0.00075+0.0051035i,-0.00054052+0.0043349i,-0.0010053+0.0024721i,-0.00032336+0.0011171i,0.00047114+0.00052695i,0.00038523-0.00022758i,-0.00020345-0.00015841i,-0.0009533+0.0011488i,-0.00059036+0.0016693i,0.00032957+0.00090068i,0.00083803+0.00045815i,0.00080807+0.00087049i,0.00032171+0.0007764i,0.00013918+0.00010183i
-0.0011104-0.00071492i,-0.00032452-0.00053893i,3.6469e-05+0.00031247i,0.00044155+0.0020159i,0.0013635+0.0044728i,0.0015538+0.005047i,0.0017882+0.0048058i,0.0033439+0.0044484i,0.0045215+0.0024902i,0.0040296+0.00042923i,0.0031744-9.6896e-05i,0.0020343+7.8222e-05i,0.0012743-0.00034735i,0.0012826-0.0010571i,0.0011057-0.00049875i,0.0011938+0.00069667i,0.00097258+0.0014957i,0.0009322+0.00090662i,0.00095364+0.00024445i,0.00088624-0.00046903i,0.00096585-0.0015148i,0.00010629-0.0014096i,-0.0010204-0.00082625i
0.00061304-0.0010786i,0.00032717-0.00096853i,6.1703e-05-0.00054775i,0.00011201+0.0005159i,-0.00021763+0.0021167i,0.00046552+0.0026586i,0.0016112+0.0016217i,0.0011592-0.00031443i,0.00041423-0.0029663i,-7.0601e-05-0.0040173i,-5.6705e-05-0.0025227i,0.00094159-0.0015683i,0.00061496-0.0007668i,-0.00080319-0.00092112i,-0.00029454-0.0023443i,0.00077838-0.0017852i,0.00096573-0.00077822i,0.00042858-0.00036913i,3.7302e-05-0.00021407i,4.9534e-05-0.00036122i,-0.00026441-8.3769e-05i,-0.00032202-0.00016447i,6.0851e-05-0.0013168i
-0.0013659+0.00059748i,-0.0021877+0.0014292i,-0.0015444+0.0019996i,-0.00059297+0.0011474i,0.0013191-0.00072345i,0.0022359-0.0014116i,0.0016826-0.0027275i,-0.00018434-0.0053506i,-0.0031548-0.0065088i,-0.0048511-0.0048715i,-0.0036651-0.0025457i,-0.0015659-0.0019218i,-0.00035988-0.0022534i,-0.00065984-0.0020909i,-0.0012527-0.0011614i,-0.0012264-0.00074663i,-0.0010967-0.0011674i,-0.00073394-0.00099283i,2.0379e-05-0.00011278i,0.00035151+0.00083804i,0.00016792+0.00068654i,-0.00030701-0.0004535i,-0.00045776-0.00060366i
0.002082+0.001632i,0.0023169-2.0302e-05i,0.0021109-0.0014265i,1.0276e-05-0.0014797i,-0.0016808-0.0022324i,-0.0025689-0.0035474i,-0.0037597-0.0035441i,-0.0063321-0.0017017i,-0.0073612-5.7943e-07i,-0.0057092+0.0004221i,-0.0035805+0.00081382i,-0.0020141+0.0013375i,-0.0013648+0.0013383i,-0.0015946+0.0011906i,-0.0013381+0.0012253i,-0.0016775+0.0011022i,-0.002109+0.0011535i,-0.001043+0.0011722i,-0.00033275+0.00044313i,0.00044199+0.00017611i,0.001076+0.00073042i,-0.00021675+0.001294i,-0.0010147+0.0012062i
-0.00049797+0.0032736i,7.6778e-05+0.0022302i,0.0014761+0.0014549i,0.0014913+0.0012693i,-0.00082044-0.00047564i,-0.0040661-0.0020819i,-0.0060623-0.00024062i,-0.0065997+0.002873i,-0.0048617+0.0044119i,-0.0017065+0.0040608i,-0.00028666+0.0026144i,-0.00021702+0.0015508i,-0.00056736+0.00053164i,-0.00091733+0.0008475i,-5.7876e-05+0.002146i,0.00033316+0.0034261i,0.00060595+0.0032374i,0.0014373+0.0016062i,0.0014957+0.00038836i,0.00041601+0.00014522i,-9.128e-05-6.9311e-05i,-3.0879e-05+0.00030386i,0.0003123+0.00054835i
-0.0030045-0.0011645i,-0.0032471+0.00076344i,-0.0038581+0.0031221i,-0.0027323+0.0051968i,-0.0015214+0.0076924i,-0.00041512+0.008279i,0.0016961+0.0075811i,0.0026571+0.0067576i,0.0029166+0.0042027i,0.0036857+0.0023291i,0.0030609+0.0015797i,0.0020869+0.00048181i,0.0022288-0.00092585i,0.0024408-0.0012255i,0.0024842-0.00093679i,0.0021847-0.0006774i,0.0015944-0.00017691i,0.0013044-0.00028601i,0.00074056-0.0010546i,0.00075044-0.0013939i,0.00076695-0.0011636i,0.00021051-0.0011411i,-0.00030821-0.0009486i
