-0.0036869+0.00072671i,-0.0019063+0.0010737i,-0.0014619+0.0018827i,-0.00059866+0.003683i,-0.00028806+0.0048501i,0.00050949+0.0035505i,0.0012705+0.0025949i,0.00058597+0.002371i,-1.9095e-05+0.0013385i,-0.00063038+0.00069996i,-0.00043186+0.00022264i,0.00058772-0.00084741i,0.00097962-0.0014595i,0.00041542-0.001424i,9.259e-05-0.0014384i,0.00012061-0.0010671i,-0.00060188-0.0011289i,-0.0011513-0.00092285i,-0.00041181-0.00061276i,-6.3298e-06-0.00038267i,-0.00021954+3.5624e-05i,-0.00050208+7.541e-05i,-0.00042988+0.00080017i
-0.00091205+0.00075539i,0.00037612+0.00070888i,0.00088746+0.00016848i,0.00056465+3.6626e-05i,0.00089705+0.001049i,0.0021396+0.0015637i,0.0018209+0.0011113i,-0.00028139+0.0011648i,-0.0022276+0.0016328i,-0.002184+0.0015694i,-0.00080678+0.0010564i,0.0003922-3.821e-05i,-0.00048705-0.00085407i,-0.0016835-0.00074612i,-0.0014873+0.00044236i,-0.00026699+0.0017563i,0.00012844+0.001409i,0.00019381+0.00033389i,0.00041715-7.4628e-05i,-0.00014582+7.4011e-05i,-0.00069166+0.00028828i,-0.0010307+0.00051278i,-0.00081482-4.2736e-05i
-5.9324e-05-0.00067408i,0.00034308-0.0010643i,-4.685e-06-0.00031491i,-0.0011378+0.00031096i,-0.0011026+0.001648i,-0.00038336+0.0018114i,-6.2267e-05+0.00042951i,0.00010073+0.00011664i,-0.00075341+0.00017667i,-0.0013191-8.1358e-05i,-0.001393+0.00055151i,-0.001173+0.0007355i,-0.0011264+0.00045549i,-0.00025369+3.6888e-05i,0.00076278-0.00049049i,0.00013643-0.00053846i,-0.00021195-8.2678e-05i,0.00035044+0.00037796i,0.0010858+0.00020585i,0.00066032-0.00018932i,0.00018947-0.00021012i,0.00016271-0.00047212i,4.7495e-05-0.00061736i
0.00087643-0.00063631i,0.00082983-0.00069186i,0.00064667-0.00098391i,0.00080333-0.00078898i,0.0005383-5.8116e-05i,5.6749e-05+0.00069353i,-8.7417e-05+0.0012626i,-0.00026491+0.00141i,-0.00030036+0.0010372i,-0.00050344+4.9846e-05i,-0.00052943-0.00092307i,0.00018269-0.00063625i,4.2498e-05-0.00025844i,-0.00041592-0.00036545i,-0.00097812+0.0001713i,-0.0013639-5.9872e-06i,-0.00062146-0.00042087i,-0.00013682-0.00017893i,-9.7572e-05-0.00014195i,1.1841e-05+0.00014158i,-0.00058534+4.4436e-05i,-0.00075317-0.00067267i,-0.000629-0.00068638i
0.00043313+0.00087938i,0.0012754+0.00012487i,0.0023165+3.3669e-05i,0.0015282-9.5438e-05i,0.001238-0.00016302i,0.0010299-0.00041441i,0.00015144-0.00060464i,0.00023573-0.00038133i,0.00010191+0.0001532i,0.00016006+0.0006102i,0.00021685+0.00039636i,-0.00024625-0.0002547i,-3.194e-05+5.3682e-05i,0.00047974+0.00036066i,0.00087684-2.0942e-05i,0.00040653+6.9628e-05i,-0.00037878-0.00038438i,-0.00052131-0.00052045i,-0.0005215-0.00026663i,-0.00046692+1.8931e-05i,0.00014213+0.0002211i,0.00026371+0.00019834i,2.2017e-05+0.00056891i
-0.00078383+0.00078995i,0.00064805+0.00089583i,0.001395+0.0013966i,0.00057267+0.0013431i,0.0010265+0.0013828i,0.00078071+0.00191i,-0.00018757+0.0019693i,6.5601e-05+0.0017422i,-0.00017845+0.0013731i,-0.00021899+0.00056311i,0.0003777+0.0009102i,0.00027229+0.00084748i,-0.00022833-2.3375e-05i,-0.00037981-0.00039397i,-0.00075791+0.0001069i,-0.00079918+0.00069635i,-0.00029987+0.00070511i,-2.3756e-05+0.00058603i,0.0007305+0.00032974i,0.0016926+0.00037351i,0.0013316+0.00028973i,0.00017368-2.8549e-05i,-0.00091598+0.00015886i
-0.00050468+0.00045475i,0.0009265+0.00085963i,0.00087491+0.0018668i,0.0010659+0.0016906i,0.0016571+0.0012552i,0.0013206+0.00078041i,0.0004638+0.0005448i,-0.00045026+0.0012099i,-0.0003612+0.0013114i,-0.00048392+0.00086164i,-0.00027526+0.00047037i,0.0010112-0.00012629i,0.00089292-0.00050109i,-0.00021988-9.0979e-05i,-0.0005332+0.00059771i,-0.00034404+0.00096424i,-0.00012203+0.00079483i,0.00022151+0.00055909i,0.00095804+0.00063354i,0.00011628+0.00024353i,-0.000802-3.9757e-05i,-0.00064184+0.00040028i,-0.00029194+0.0011075i
-0.0013939-0.00011535i,-0.0019778-0.00017758i,-0.0022692+0.00030758i,-0.0028366+0.0019473i,-0.0028243+0.0027905i,-0.0028172+0.0025257i,-0.0019191+0.00059771i,-0.00037142-0.00035532i,-0.00081994+0.0005939i,-0.00071184+0.0012322i,-0.00036021+0.00038971i,-0.00056473+3.4689e-05i,-0.00030717+6.7497e-05i,0.00037274-0.00013181i,0.00025074-0.00021402i,-0.00045396-0.00060422i,-0.00054236-0.00053114i,-0.00014173+0.0007186i,-2.4559e-05+0.00048638i,-0.00043352-0.00088216i,-0.00043175-0.00089383i,-0.00058-0.00021503i,-0.0002604+0.00056939i
-0.00033092+0.00064001i,-0.0008163+0.00056264i,-0.00090387+0.00082421i,0.00023144+0.00024679i,0.0010813-0.00029129i,0.00042831+0.00010164i,8.7726e-05+0.00072005i,0.00012921+0.001522i,0.00018121+0.0021983i,0.00036044+0.0013474i,7.9777e-05+0.00072602i,0.00010389+0.00085527i,0.00015529+0.00029465i,4.1892e-05+9.4414e-05i,-0.00035278+0.00063933i,-0.00060157+0.00093171i,1.6441e-05+0.00095229i,0.00019402+0.00061897i,-9.2106e-05+0.00015567i,-2.8497e-05-0.0004031i,-1.4566e-05-0.00048554i,6.501e-05-0.00014066i,7.5695e-05-0.00016315i
-0.00070813+0.00016061i,-0.0012002-0.00012602i,-0.00086639-1.1075e-05i,8.3618e-05+0.00115i,0.0020027+0.0011888i,0.0028744+0.00080596i,0.00034879+0.00063826i,-0.0016917+0.0010556i,-0.0021168+0.00099219i,-0.0011512+0.00067354i,0.00026335+0.00088436i,0.00038387+0.00076506i,-0.00027429+0.00051062i,-0.00066069+0.00040942i,-0.00057331+0.00046253i,-0.00064439+0.0003122i,-0.00027562+0.00032594i,0.00055133+0.0010893i,2.2953e-05+0.001036i,-0.00080509+0.0001014i,-0.00067638-0.00041363i,-0.0001274-0.00014281i,0.00018392+0.00033826i
-0.0005254-0.0029216i,-0.0021185-0.002045i,-0.0028982-0.0016585i,-0.0030823-0.0004983i,-0.0028542+0.0012825i,-0.0027411+0.0025622i,-0.0021276+0.0023869i,-0.0014017+0.00093705i,-0.0017855-8.3135e-05i,-0.0019017-0.00043411i,-0.00092879-0.00082062i,0.0001906-0.00060668i,0.00017872-0.00013569i,0.00014272-0.00046464i,0.00010811-0.00076807i,1.1768e-05-4.984e-05i,0.00040111+0.00027103i,0.00051864-0.000575i,0.00012833-0.0011164i,-0.00026198-0.00046831i,-0.00060148-1.4526e-05i,-0.00056426+0.00015134i,-0.00089886+0.0005741i
