-0.0021191-0.00024098i,-0.0029399-0.00062462i,-0.0043191-0.00087015i,-0.0029338-0.001029i,-0.0012626-2.1024e-05i,-0.00045131+0.0011717i,-0.00085232+0.00076158i,-0.00077462+0.00048405i,-3.6462e-05-1.3898e-05i,0.00049369-0.0010579i,0.00046501-0.00089441i,-0.00013175-0.00046873i,-0.00027347-0.00089046i,-0.00050618-0.00059062i,-0.00075153-7.6925e-05i,-2.4615e-05-0.00043746i,0.00057486-0.00047393i,0.00093432-0.00026733i,0.00075358-0.00033624i,0.00013591-0.0002347i,-0.00023657+3.2565e-05i,-0.00023018-0.00018975i,-0.0004252-0.00046818i
-0.00013581+0.00072927i,0.000722-8.4533e-05i,0.0016572-0.00060711i,0.0014906-0.00023135i,0.00060245+0.00066994i,-0.00012833+0.0012717i,-0.00010804+0.0015085i,0.00015334+0.00063086i,0.00049054-5.3359e-05i,0.0005977+0.00015457i,0.00020351+5.4595e-05i,-5.865e-05-0.00015792i,-0.00025226-0.00030793i,-0.00055265+6.1862e-05i,-0.00076887+0.00022989i,-0.00057975-0.0004994i,-0.000716-0.00095719i,-0.00065497-0.00072075i,-0.00073644-0.00093549i,-0.00034046-0.00053231i,0.00017341-0.00012962i,-5.1096e-05-0.00016797i,0.00016641-0.00014023i
0.0016276-0.00086431i,0.0021394-0.00034134i,0.0016955+9.4599e-05i,0.00072097-0.0012424i,0.00077705-0.0012109i,0.00025233-0.00024767i,-0.00059445+0.00062836i,-0.00059776+0.00022617i,-0.0003213-0.00077844i,0.00025431-0.00096485i,0.00029988-0.00063362i,-0.00015792-0.00034445i,0.0003817+1.2564e-05i,0.00013463+0.0010908i,-0.00024705+0.0013675i,2.9002e-05+0.0010103i,-0.0003261+0.0011142i,-0.00021166+0.0011689i,2.5947e-05+0.00049331i,-0.00018979-0.00050934i,-0.00019339-0.00087203i,-0.00018939-0.00027381i,-2.0197e-05+3.8402e-05i
-0.0014537-4.8512e-05i,-0.00077462+0.0013976i,-0.00047763+0.0014183i,-0.00046357+0.00041292i,0.00027377+0.00075416i,0.000638+0.0018946i,-0.00011503+0.0016121i,-0.00079675+0.00052097i,-0.00058969+0.00043178i,-3.7878e-05+0.0006168i,0.00018334+8.8972e-05i,0.00025881-0.00014522i,-0.00016344+0.00010917i,-0.00024553-0.00018784i,0.00018829-0.001122i,0.00035586-0.00094637i,0.00026106-0.00042486i,0.00029531-0.00027577i,9.257e-05-0.00032118i,-0.0001916-0.00035602i,-0.00012791-0.00034436i,0.00020541-0.00026436i,0.00034302-0.00012242i
0.0011937-0.00052413i,0.00050422-0.00017487i,0.00031475+0.00044017i,-4.5188e-05+0.0005543i,-0.00023064-0.000112i,-0.00080785-7.2107e-05i,-0.001084-1.9372e-05i,-0.00010199-0.00040069i,0.00082301-6.1198e-05i,0.00051764+0.00012837i,0.00017126-0.00052769i,0.0005691-0.00048349i,0.00028054-1.8292e-05i,-0.00024594-6.6466e-05i,-0.00092664+6.2209e-05i,-5.1579e-05+0.00056553i,0.00066473+0.00072923i,-0.00017508-0.00024922i,-0.0002858-0.0014882i,-9.7631e-05-0.0015306i,-0.00032647-0.00051456i,-6.5759e-06+4.6659e-05i,0.00070665+0.00071645i
-0.00059335+0.0012473i,0.00021006+0.0012839i,0.00040674+0.0015214i,0.00067886+0.000995i,0.002055+0.00073447i,0.0019027+0.00042816i,0.00038065+3.8295e-05i,-1.8345e-05-0.00012372i,-0.0003237-8.7618e-05i,-0.00041939-0.0001722i,4.5127e-05-0.00027972i,-0.00025972-0.00039311i,-0.00048267-8.8798e-06i,0.00020938+0.00033001i,0.00085434+0.00075698i,0.00031865+0.00027639i,4.562e-05-0.00032681i,-0.00028495+0.00031627i,-0.00085448+0.00093064i,-0.00093319+0.00049087i,-0.00079081+0.00014614i,-0.00028745+0.0002382i,9.4196e-05+0.00021403i
-5.4725e-05-0.00019384i,0.00022945+0.00013692i,0.00038497+0.00067455i,0.00080878+0.00031704i,0.00091607-9.9109e-05i,0.00084371-0.0010401i,4.3176e-05-0.0014121i,-0.00086729-0.00086163i,-0.00066369-0.00048304i,-0.0003753-0.00013386i,-0.00032493-0.00046026i,-6.5003e-05-0.00010064i,-0.0005085+0.00050714i,-0.0010144+0.0001407i,-0.00073358+0.00030552i,-0.00030999+0.00083985i,0.00023071+0.0010157i,0.00073407+0.001104i,0.00017221+0.0011975i,0.00025521+0.00050749i,0.00043006-0.00073563i,3.4884e-05-0.0010285i,7.7165e-05-0.00055966i
-0.00040447-0.0012763i,0.00094373-0.00060135i,0.0014476-0.00067308i,-0.00015438-0.00072433i,-0.00075566+0.00072827i,-7.6051e-05+0.0019917i,4.8102e-05+0.0020054i,-0.00028963+0.0012376i,-0.00016137+0.00029919i,-0.00040002-0.0003329i,-0.001064-0.0012474i,-0.00037001-0.0012025i,4.9746e-05-0.00032553i,-0.00010743-0.00037176i,6.331e-05-0.00036299i,-0.00014976-0.00029869i,-0.00041019-0.00047846i,-0.00013664-0.00082704i,0.00038825-0.00029524i,0.00031496+0.00044954i,-0.00020714+6.7646e-05i,-5.7097e-05+0.00014542i,0.00021005+0.00051735i
0.00091723-0.001897i,0.00021974-0.0026717i,-0.0012548-0.00252i,-0.0019809-0.0016029i,-0.0021244-0.00049721i,-0.0015567+0.00079636i,-2.4624e-05+0.0018853i,-8.0223e-05+0.0012226i,-0.00082095-0.0001418i,-0.00059539-0.00039574i,0.00047095-0.00040078i,0.00051475-0.00043508i,9.3832e-05-0.00042573i,0.00017832-0.0004336i,0.00089193-0.00024883i,0.0006135+3.9411e-05i,2.123e-05-0.00024466i,-0.00018557-0.00048043i,-0.0007361-0.00044461i,-0.00063821-0.00031921i,-0.00014903+3.6496e-05i,-0.00043444+9.2828e-05i,-0.0002682+0.00021622i
0.00022743-0.00028639i,0.0012292-0.00013434i,0.0011755-6.0705e-05i,0.00097366+0.00012022i,0.00089096+0.00010045i,0.00076858+0.00023202i,0.00057126+0.00014396i,5.3042e-06-0.00010532i,-0.00033418-0.00023052i,-5.1859e-05-0.00075578i,0.00042516-0.0010718i,5.5966e-05-0.001117i,-0.00010721-0.00081535i,0.00033718-0.00041122i,0.0004635-0.00040955i,-8.8106e-05-0.00075497i,-6.5489e-05-0.0011359i,0.00053362-0.00070069i,0.00050928-0.00056263i,0.00084928-0.001014i,0.0010546-0.00053828i,0.00027851+0.00029056i,-4.7718e-05+0.00029635i
0.00071463-0.0002196i,0.0013252-0.00049725i,0.00071656-0.00026867i,0.00034119-0.00046651i,0.0014959-0.00027311i,0.0012506-0.00025661i,-0.00014423-6.1227e-05i,-0.00023837-0.00022408i,0.00061315-0.00095728i,0.00099023-0.00039069i,0.00011493+0.00031538i,-0.00050419+0.00022885i,-0.00048593+0.00020005i,-0.00048123+0.00027468i,-0.00081708+0.00062264i,-0.0010676+0.00068405i,-0.0010693+0.0008812i,-0.00082311+0.00084037i,-0.00032758+0.00039717i,-0.00036326+7.4079e-05i,-8.7054e-05-6.2056e-05i,0.0007718-0.00024906i,0.00030701+0.00061949i
