-0.0022766+0.00016143i,-0.00077395+0.00027899i,-0.00027883-1.8638e-05i,-0.00026748-6.2984e-05i,-9.7151e-05+0.00099764i,0.00069882+0.0015318i,0.00097195+0.00078105i,0.00034528+0.00028514i,-0.00050816+5.9001e-05i,-0.00013206-4.0638e-05i,0.00079509-0.0002377i,0.00052652-0.00086424i,-0.00078217-0.0010432i,-0.0014246-0.00091409i,-0.0010143-0.00096546i,-0.00052037-0.0005038i,-0.0012315+0.00036938i,-0.0016226+0.00048582i,-0.00072216+0.00016237i,-0.00048972+6.045e-05i,-0.00075468-0.00016408i,-0.00040702-0.00034041i,0.00024938+0.0006581i
0.00090291+0.00019296i,0.00071631+0.00011099i,0.00066232+0.00095909i,0.00055034+0.00076892i,0.00032293+0.00060593i,0.00028623+0.0010574i,0.00058453+0.0013844i,-0.00041969+0.00058377i,-0.0006302-0.00035719i,0.00074939+0.00045728i,0.0014473+0.00041402i,0.0012931+0.0005226i,0.00011712+0.00060247i,-0.00047896+0.00025088i,-0.00013613-5.2486e-05i,-0.00013448+2.1441e-05i,0.00012062+0.0003892i,0.00051052-3.0437e-05i,0.00038647-0.00040737i,-0.0002419-0.00036335i,-0.0002435-0.00018146i,0.00050466+0.00067486i,0.00050183+0.0002848i
0.00082163+0.00020047i,0.0013648+0.001458i,0.001874+0.0017617i,0.0021198+0.00093626i,0.0014059+0.00026699i,-0.00011423+0.00047694i,-0.00011538-8.0178e-05i,-0.00050533-0.00016061i,-0.0014202+0.00057703i,-0.0015214+0.0003898i,-0.00092458+0.00019614i,-0.00051294+0.00025931i,0.0005018-1.2345e-05i,0.0013043+0.00014231i,0.00072742+0.00028679i,8.0038e-05-0.00028652i,-0.00031917-0.00073109i,3.0462e-05-0.00018886i,0.00058196-0.00016503i,0.00087949+7.5213e-05i,0.00017487+0.00083907i,-0.00078553+0.00090668i,-0.00068361+0.00064128i
-0.0016521+0.0013687i,-0.0012991+0.0015045i,-0.00021106+0.0016931i,0.0013011+0.0014334i,0.0011413+0.0016139i,0.0012231+0.0017137i,0.0016949+0.00013453i,0.00094259-0.00084449i,-0.00016259+8.359e-05i,-0.00046151+0.0012205i,-0.00060641+0.00066429i,-0.00049565-0.00033992i,-0.0006185-0.00026328i,-0.00096083+0.00043294i,-0.00042811+0.00036472i,0.00045516-0.00098541i,0.0002934-0.0010634i,0.00040659-0.00031174i,-2.3895e-05+0.00016531i,-0.00099826+0.00073507i,-0.00073207+0.0002354i,-0.00039438-0.00012729i,-0.0008481-6.9981e-05i
0.0013977+0.0018416i,0.0010496+0.0015905i,0.0017253+0.00088322i,0.0012624-0.00049492i,0.00063599-0.0010273i,0.00087851-7.46e-05i,0.00033352-0.0002555i,-0.00063163-0.00074968i,-0.0014307+0.00010711i,-0.0013418+0.00041245i,-0.00035306-4.6022e-05i,-0.00030508-0.00033895i,-0.00088889-0.00058773i,-0.00044798+2.3045e-05i,-0.00029891+0.00083608i,-0.00030198+0.00069136i,0.00041169+0.00056234i,0.00038344+0.00069772i,0.000304+0.00027625i,0.00055187+0.00023701i,-0.00017382+0.00046412i,-0.00090938+0.00065698i,-0.00031925+0.00046918i
-0.0006749-0.00069517i,-9.3458e-05-0.00029432i,-0.00065571-0.00021636i,-0.00017133-0.00043455i,0.00045472-0.00061084i,0.0011807-0.00047583i,0.001339+1.5063e-05i,0.00043892+0.0001036i,0.00034815-3.4237e-06i,-8.6553e-05+0.00019428i,-0.00041819+6.6182e-05i,0.0003263+0.00019881i,0.00056517+0.00069069i,-0.00017113+5.7405e-05i,-0.00076082-0.00053887i,-0.00062451-0.0004523i,-0.00057293-0.00086918i,-0.00042287-0.00097195i,-0.00039613-0.00042229i,-0.00043079-0.00011791i,3.3322e-05-0.00041508i,0.00037402-0.0006495i,0.00015335-0.00012292i
-0.0001456+0.0024057i,0.00025413+0.0022992i,0.0006553+0.0024986i,-9.06e-05+0.0014608i,-0.00062782+0.00051032i,-0.00025947-0.00010722i,0.00054303-0.00067627i,0.00067572-0.00026304i,1.8305e-05+0.00040068i,-0.00017457+0.00087505i,-0.00025916+0.00088284i,-0.0012559+0.00054426i,-0.0014847+0.00014272i,-0.00082696-0.00059534i,-0.00015834-0.00021597i,-2.5357e-05+0.0011837i,0.00020334+0.00053078i,0.00029797-0.00022519i,-0.00049316-0.00024465i,-0.00058836-0.00034619i,0.00045096+0.00044962i,0.00060962+0.00043075i,0.00027198-0.00012903i
0.00049521-0.00011374i,0.00085997+0.00080274i,0.00068495+0.0010026i,0.00024135+0.00066437i,-2.2839e-05+0.00085919i,0.00049579+0.00086703i,0.00072722+0.00018239i,-0.00023762-0.0001097i,-0.00065576-0.00029928i,-0.00044418-5.271e-05i,0.00031945+0.00045317i,0.00079763+0.00034317i,0.00050328-0.00035073i,0.00028782-0.001287i,0.00086781-0.0011169i,0.00091325-0.0007897i,-0.00032429-0.00064881i,-0.00023709+0.00010059i,0.00062552+0.00073073i,0.00044137+0.0012361i,-0.00021305+0.0016136i,-0.0001331+0.001228i,7.2677e-06+0.0005501i
-0.00041821+0.001379i,0.00046242+0.0023112i,0.00028027+0.0022446i,-0.00030475+0.00095676i,6.5538e-05-0.00030585i,0.00030242-0.00062014i,0.00031795-0.00018089i,6.6908e-05-0.0002078i,-0.00023428-0.00047757i,-0.00045189-0.00040562i,-3.5016e-05-0.00060004i,3.1056e-05-0.00043249i,-0.00050693+0.00020907i,-0.00036847+0.0012603i,-0.00066997+0.00093407i,-0.00039918-0.00040672i,-0.00018063-0.00082903i,-0.00052894-0.00014048i,-0.00081066+0.00052532i,2.9782e-05+0.00061542i,0.0007714+0.00050732i,0.00013173+0.00029015i,-0.00017689+0.0002826i
0.00095822+0.00022629i,0.0018064+0.00011289i,0.0013906+0.00061741i,0.00027863+0.00081275i,-0.0002312+0.0007006i,0.00077756+0.0012416i,0.0014158+0.00095679i,0.00061283+0.00030919i,-0.00058124+3.7652e-05i,-0.0010043-0.00041949i,-0.00065898-0.00093326i,7.9554e-07-0.0010149i,0.00099939-0.0011912i,0.00098661-0.00088203i,0.00018376+7.9941e-06i,-0.00059639+6.7259e-05i,-0.00087837-0.00063852i,-0.000402-0.00048974i,-0.00044254+0.00047575i,-0.00034454+0.00096925i,-0.00032604+0.0011819i,-0.00015446+0.00056766i,0.00034708+0.00091897i
0.0011557+0.001743i,0.00068122+0.0029359i,0.00094357+0.0017705i,0.0013257+0.00050071i,0.00048987-0.00038074i,-0.00017415-0.0010186i,-0.00011635-0.00070907i,5.7107e-05-0.00094326i,0.00043234-0.0010942i,0.0003573-0.00061723i,5.1266e-05-0.00071774i,0.00053473-0.00042582i,0.00064454-0.00022911i,0.00064738-0.000216i,0.00047669-0.00019948i,0.00023751-0.00016837i,-0.00022594-0.00061329i,-0.0003961-0.00089999i,-0.00051791-0.00078818i,-0.00058409-0.0008565i,-0.00038638-0.00046566i,0.00035047+0.00054186i,0.00061238+0.00065636i
